resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,
,,,,,,,,,,,,112-0A-CLB-AHU007-VAV-005,Holyoake HCV-175,Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,VAV QA checklist,,
,,,,,,,,,,,,112-0A-AHU007-ATT-005,NCS Cylindrical Attenuator HP-2D-M 600L x Ø315,210 L/s Attenuator ,Attenuator QA checklist,,
,,,,,,,,,,,,SD ,Smoke Damper 600x400 ,Smoke Damper ,Smoke Damper QA check list,,
,,,,,,,,,,,,FD,Fire Damper 600x400,Fire Damper ,Fire Damper QA check list,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00CLB049,Corridor ,S04,Holyoake CFPP 600/30 600x600,Supply Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,R06,Holyoake EC-125 600x600,Return Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T06,Holyoake EC-125 600x600,Extract/Transfer Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,E02,Holyoake EC-125 300x300,Extract/Transfer Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T02,Holyoake EC-125 300x300,Extract/Transfer Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,SD,Smoke Damper 750x250,Smoke Damper ,Smoke Damper QA check list,,
,,,,,,,,,,,,SD,Smoke Damper 350x300,Smoke Damper ,Smoke Damper QA check list,,
,,,,,,,,,,,,FD,Fire Damper 750x250,Fire Damper    ,Fire Damper QA check list,,
,,,,,,,,,,,,FD,Fire Damper 350x300,Fire Damper    ,Fire Damper QA check list,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00CLB042,Ensuite - Special,E02,Holyoake EC-125 300x300,Extract/Transfer Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T02,Holyoake EC-125 300x300,Extract/Transfer Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00CLB043,Toilet - Public,E01,Holyoake EC-125 200x200,Extract/Transfer Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T01,Holyoake EC-125 200x200,Extract/Transfer Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00CLA046,Store - Consumables ,S04,Holyoake CFPP 600/30 600x600,Supply Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T02,Holyoake EC-125 300x300,Extract/Transfer Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00CLA003,Reception/Clerical (Antenatal) ,E02,Holyoake EC-125 300x300,Extract/Transfer Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,S25,Holyoake CFPP-R 615-30 600x600,Supply Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,112-0A-CLA-AHU005-VAV-010,Holyoake HCV-175,Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,VAV QA Checklist ,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00CLA007,Waiting - Antenatal ,S05,Holyoake CFPP 600/30 600x600,Supply Grille  ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,E06,Holyoake EC-125 600x600,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00FHO007,Reception Clerical ,112-0A-FHO-H-001,EcoGeekCo Project Black Under Desk 327x627,Electric Under Desk Heater ,Radiant heater template,,
,,,,,,,,,,,,112-0A-FHO-H-002,EcoGeekCo Project Black Under Desk 327x627,Electric Under Desk Heater ,Radiant heater template,,
,,,,,,,,,,,,112-0A-FHO-H-003,EcoGeekCo Project Black Under Desk 327x627,Electric Under Desk Heater ,Radiant heater template,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,Ceiling ,,,,Ductwork,Steel duct Install QA,,
,,,,,,,,,,,,,,Flexiduct,Flexi duct QA check list,,
,,,,,,,,,,,,,,Chilled Water Black Steel,Steel Pipe QA Checklist ,,
,,,,,,,,,,,,,,Low Temperature Hot Water Black Steel,Steel Pipe QA Checklist ,,
,,,,,,,,,,,,,,Drain Condensate PVC,PVC Pipework Intall,,
,,,,,,,,,,,,,,,,,
,,,,,,,,Zone 4,,,,,,,,,
,,,,,,,,,,00RTO001,Retail,R06,Holyoake EC-125 600x600,Return Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,S07,Holyoake CFPP 450/24 600x600,Supply Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,S11,Holyoake VS-5 Ø400,Jet Diffuser,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,S11,Holyoake VS-5 Ø400,Jet Diffuser,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,S11,Holyoake VS-5 Ø400,Jet Diffuser,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,S05,Holyoake CFPP 600/30 600x600,Supply Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,S05,Holyoake CFPP 600/30 600x600,Supply Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,R07,Holyoake EC-125 600x600,Return Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,S07,Holyoake CFPP 450/24 600x600,Supply Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,S06,Holyoake CFPP 450/24 600x600,Supply Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,S07,Holyoake CFPP 450/24 600x600,Supply Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,R06,Holyoake EC-125 600x600,Return Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,R07,Holyoake EC-125 600x600,Return Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,112-0A-MEP5-AHU004-FCU-007, Temperzone IMD280Y,FCU 30 L/S OA,FCU Install QA,FCU Template ,
,,,,,,,,,,,,112-0A-MEP5-AHU004-FCU-005, Temperzone IMD280Y,FCU 185 L/S OA,FCU Install QA,FCU Template ,
,,,,,,,,,,,,112-0A-MEP5-AHU004-FCU-008, Temperzone IMD135Y,FCU 85 L/S OA,FCU Install QA,FCU Template ,
,,,,,,,,,,,,112-0A-MEP5-AHU004-FCU-006, Temperzone IMD210Y,FCU 75 L/S OA,FCU Install QA,FCU Template ,
,,,,,,,,,,,,112-0A-MEP5-AHU004-FCU-009, Temperzone IMD280Y,FCU 175 L/S OA,FCU Install QA,FCU Template ,
,,,,,,,,,,,,FD,Fire Damper 650x250,Fire Damper ,Fire Damper QA check list,,
,,,,,,,,,,,,FD,Fire Damper 350x250,Fire Damper ,Fire Damper QA check list,,
,,,,,,,,,,,,FD,Fire Damper 200x200,Fire Damper ,Fire Damper QA check list,,
,,,,,,,,,,,,FD,Fire Damper 600x350,Fire Damper ,Fire Damper QA check list,,
,,,,,,,,,,,,FD,Fire Damper 600x400,Fire Damper ,Fire Damper QA check list,,
,,,,,,,,,,,,FD,Fire Damper 300x300,Fire Damper ,Fire Damper QA check list,,
,,,,,,,,,,,,SD,Smoke Damper 300x300,Smoke Damper ,Smoke Damper QA check list,,
,,,,,,,,,,,,AGS,,Anesthetic Gas Scavenging Copper Line ,HTM02 -01 B1 carcus test,HTM02-01 B3_4 Leakage Test ,"HTM 02-01 B12 Verification of Drawings, HTM 02-01 B13 - Purging and Filling HTM 02-01 B14 - Quality Specifications "
,,,,,,,,,,,,MA,,Medical Air Copper Line ,HTM02 -01 B1 carcus test,HTM02-01 B3_4 Leakage Test ,"HTM 02-01 B12 Verification of Drawings, HTM 02-01 B13 - Purging and Filling HTM 02-01 B14 - Quality Specifications "
,,,,,,,,,,,,CO2,,Co2 Copper Line ,HTM02 -01 B1 carcus test,HTM02-01 B3_4 Leakage Test ,"HTM 02-01 B12 Verification of Drawings, HTM 02-01 B13 - Purging and Filling HTM 02-01 B14 - Quality Specifications "
,,,,,,,,,,,,VAC,,Dental Vacuum PVC/PET line ,HTM02 -01 B1 carcus test,HTM02-01 B3_4 Leakage Test ,"HTM 02-01 B12 Verification of Drawings, HTM 02-01 B13 - Purging and Filling HTM 02-01 B14 - Quality Specifications "
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00FHO004,Bay - Water Dispenser ,112-0A-FHO-AC-002,Avon Electric Frico ARFEC3520E18 2000mm ,Electric Air Curtian ,Air Curtain Check list,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00FHO009,Bay - Mobile Equipment ,R08,Holyoake EC-125 600x600,Return Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00FHO008,Volunteers Desk,S27,Holyoake CFPP-R 615-30 600x600,Supply Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,Ceiling,,,,Ducting ,Steel duct Install QA,,
,,,,,,,,,,,,,,Flexiduct,Flexi duct QA check list,,
,,,,,,,,,,,,,,Chilled Water Black Steel ,Steel Pipe QA Checklist ,,
,,,,,,,,,,,,,,Low Temperature Heated Water Black Steel  ,Steel Pipe QA Checklist ,,
,,,,,,,,,,,,,,Drain Condensate PVC,PVC Pipework Intall,,
,,,,,,,,,,,,,,Motorised Valve Low Temperature Heated Water (x2),part of pipe QA,,
,,,,,,,,,,,,,,Motorised Valve Chilled Water (x2) ,part of pipe QA,,
,,,,,,,,,,,,,,,,,
,,,,,,,,Zone 5,,,,,,,,,
,,,,,,,,,,00CLB036,Meeting 12m2,S05,Holyoake CFPP 600/30 600x600,Supply Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T06,Holyoake EC-125 600x600,Extract/Transfer Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,112-0A-AHU007-ATT-006,NCS Cylindrical Attenuator HP-2D-M 600L x Ø315,210 L/s Attenuator ,Attenuator QA checklist,,
,,,,,,,,,,,,112-0A-CLB-AHU007-VAV-006,Holyoake HCV-150,Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,VAV QA checklist,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00CLB035,Consult ,S05,Holyoake CFPP 600/30 600x600,Supply Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T06,Holyoake EC-125 600x600,Extract/Transfer Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,112-0A-CLB-AHU007-VAV-007,Holyoake HCV-225,Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,VAV QA checklist,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00CLB033,Consult,S04,Holyoake CFPP 600/30 600x600,Supply Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T06,Holyoake EC-125 600x600,Extract/Transfer Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00CLB032,Consult,S05,Holyoake CFPP 600/30 600x600,Supply Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T06,Holyoake EC-125 600x600,Extract/Transfer Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00CLB030,Consult/Treatment ,S05,Holyoake CFPP 600/30 600x600,Supply Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T06,Holyoake EC-125 600x600,Extract/Transfer Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,112-0A-CLB-AHU007-VAV-021,Holyoake HCV-150,Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,VAV QA checklist,,
,,,,,,,,,,,,OUT202,,Oxygen Outlet ,HTM02 -01 B1 carcus test,HTM02-01 B3_4 Leakage Test ,"HTM 02-01 B7a Functional Test of Terminal Units, HTM 02-01 B8 Design Flow Performance Test HTM 02-01 B12 Verification of Drawings, HTM 02-01 B13 - Purging and Filling HTM 02-01 B14 - Quality Specifications HTM 02-01 - Functional Test of NIST connectors, HTM 02 01 B15"
,,,,,,,,,,,,OUT502,,Medical Vacuum Outlet ,HTM02 -01 B1 carcus test,HTM02-01 B3_4 Leakage Test ,"HTM 02-01 B7a Functional Test of Terminal Units, HTM 02-01 B8 Design Flow Performance Test HTM 02-01 B12 Verification of Drawings, HTM 02-01 B13 - Purging and Filling HTM 02-01 B14 - Quality Specifications HTM 02-01 - Functional Test of NIST connectors, HTM 02 01 B15 "
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00CLB050,Corridor ,R07,Holyoake EC-125 600x600,Return Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T05,Holyoake EC-125 450x450,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,R07,Holyoake EC-125 600x600,Return Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T05,Holyoake EC-125 450x450,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T06,Holyoake EC-125 600x600,Extract/Transfer Grille ,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T02,Holyoake EC-125 300x300,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,R07,Holyoake EC-125 600x600,Return Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T05,Holyoake EC-125 450x450,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,FD,Fire Damper 1000x750,Fire Damper ,Fire Damper QA check list,,
,,,,,,,,,,,,FD,Fire Damper 900x600,Fire Damper ,Fire Damper QA check list,,
,,,,,,,,,,,,FD,Fire Damper 600x400,Fire Damper ,Fire Damper QA check list,,
,,,,,,,,,,,,FD,Fire Damper 750x600,Fire Damper ,Fire Damper QA check list,,
,,,,,,,,,,,,FD,Fire Damper 450x400,Fire Damper ,Fire Damper QA check list,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00CLB003,Staff Base,S26,Holyoake CFPP-R 615/30 600x600,Supply Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,, ,,,,
,,,,,,,,,,00CLB004,Bay - Photocopy/Stationary ,E02,Holyoake EC-125 300x300,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00CLB006,Store - Equpment ,112-0A-CLB-AHU007-VAV-008,Holyoake HCV-150,Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,VAV QA checklist,,
,,,,,,,,,,,,112-0A-CLB-AHU007-VAV-009,Holyoake HCV-150,Variable Air Volume Terminal w/ 200mm spacer and access panel between VAV assembly and reheat coil ,VAV QA checklist,,
,,,,,,,,,,,,E02,Holyoake EC-125 300x300,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T06,Holyoake EC-125 600x600,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00CLB007,Store -  Consumables ,S02,Holyoake CFPP 420/24 450x450,Supply Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00CLB008,Consult ,S04,Holyoake CFPP 600/30 600x600,Supply Grillele,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,T02,Holyoake EC-125 300x300,Extract/Transfer Grille,,Grilles & Diffusers QA Checklist,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,00CLB043,Consult,S05,Holyoake CFPP 600/30 600x600,Supply Grille,,Grilles & Diffusers QA Checklist,
