"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"883e0405-ea15-447c-bf83-728c9c0b5b27","","folder-normal","work-in-progress","","step","TRUE","FALSE","Block A"
"52919794-a52a-4f88-a022-9d8cdf43a864","","folder-normal","not-started","","step","TRUE","FALSE","Block A","Ground Floor"
"135c8b01-6af4-42a8-ab12-444f0a551729","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 4","Kitchen"
"c7a7a3d4-dc69-4840-8a03-c895b99a1045","","folder-normal","not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 4","Bathroom"
"754f0ce2-b1b6-4f4d-9405-38f3857946d1","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 4","Bathroom","Toilet"
"9c5c8e94-bfc5-4b83-9470-7ddfbeb23862","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 4","Bathroom","Whb"
"38f6531f-edc8-46ac-9ee0-1b54bd17fa96","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 4","Bathroom","Shower"
"76912e65-6a5b-4bca-8405-27b4d48307c1","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 4","Laundry"
"bf3684bb-4436-4abd-a487-a57dac638428","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 4","Cylinder"
"4f92eb19-bf0d-473f-883d-0156021f600c","","folder-normal","not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 5"
"dbdd3737-56e2-482f-b4e9-f8e8ec60b7d2","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 5","Kitchen"
"50aaabdf-c30e-48c5-a60a-e64621986d3e","","folder-normal","not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 5","Bathroom"
"7b4f16ca-8574-4cfe-b889-aaf94dda7e52","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 5","Bathroom","Toilet"
"02e964b4-db66-4706-8355-fa0e352fdb03","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 5","Bathroom","Whb"
"b832bcbd-cff2-40cf-bd54-78ea8a4526d7","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 5","Bathroom","Shower"
"4121a18a-5a14-41c1-899e-e5338764f505","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 5","Laundry"
"6e9f56a3-9481-4a8e-86c1-66a8ba8f98e9","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 5","Cylinder"
"f91f0c01-6faa-4aec-bc46-4d265bcede88","","folder-normal","not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 6"
"47d6f16b-6d33-4b41-ac72-aeec6bd392b5","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 6","Kitchen"
"6a87d06e-022e-4e89-b328-ae1ca116dbb3","","folder-normal","not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 6","Bathroom"
"553d376d-953b-4ed6-9f42-489c64ce7037","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 6","Bathroom","Toilet"
"032376c5-730c-4050-a034-f57742cee280","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 6","Bathroom","Whb"
"e1df031c-abf8-4f80-b978-d7c11de9366d","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 6","Bathroom","Shower"
"62678d3b-9e5d-4bb1-8058-8be9503ff85e","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 6","Laundry"
"566a42f5-6ac7-4606-8885-5739875bc2d0","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 6","Cylinder"
"8487c6f5-6e5e-4aef-9963-539d91cb8f9b","","folder-normal","not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 7"
"ee0a9458-2af2-490b-856b-949c7ef926a3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 7","Kitchen"
"92923839-33b4-4c71-98c4-c96e527e2e54","","folder-normal","not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 7","Bathroom"
"f2d3f522-1454-4678-84c4-f7669a9368ad","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 7","Bathroom","Toilet"
"cf74bf25-1087-491e-990c-ff07fe848d5a","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 7","Bathroom","Whb"
"3711f66d-84c1-47f7-87ae-bc6f604b18d2","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 7","Bathroom","Shower"
"5113b02f-5e65-46a4-80e0-49a8489bccdc","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 7","Laundry"
"b5653293-3cef-4762-875b-c0befc989bf1","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 7","Cylinder"
"500a8acc-b54a-4c81-a3b6-a103bb657f62","","folder-normal","not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 8"
"124f5d8d-40b7-47b4-84f4-d39a2aa6ab86","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 8","Kitchen"
"41927dbe-8921-4ced-8826-32530eb12d1a","","folder-normal","not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 8","Bathroom"
"b3d8157c-2a50-4727-9e7c-e7f352b2d3db","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 8","Bathroom","Toilet"
"0e689cf4-601c-4eea-a46c-63a60058d92a","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 8","Bathroom","Whb"
"a5b981a5-75fa-4422-8303-81f613f8ea2f","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 8","Bathroom","Shower"
"e2e39ac6-4ffe-477d-ab85-244d1dcd87fe","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 8","Laundry"
"5536dc37-5b54-4eee-a794-22bde9a92ff2","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 8","Cylinder"
"50df5652-9f4f-43ee-b610-4a261f6fea2e","","folder-normal","not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 9"
"7a930b1a-fb01-4793-8914-41ac0e90f032","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 9","Kitchen"
"ecfbc202-6a27-47f0-9b07-47f3e47fcff6","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 9","Laundry"
"687b8a9b-3e7e-415c-8204-4de7a625bdc4","","folder-normal","not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 10"
"9c1c7b79-761e-4580-a2d0-819f57234718","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 10","Kitchen"
"1444d557-a914-4aaf-a8fe-be84cb88f203","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 10","Laundry"
"f8b2d4ea-a9b4-48f2-aa38-41eb33c40e67","","folder-normal","not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 11"
"957839e0-f3f3-4639-8d04-ec57e0b60a36","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 11","Kitchen"
"3e1fb00e-803c-478e-9c3e-d97bdc1c7f39","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 11","Laundry"
"3526c6f7-6256-4c77-831d-6b0521a08c24","","folder-normal","not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 12"
"d69ff575-c929-486b-9d93-776363d36105","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 12","Kitchen"
"903a5ba6-a1bc-4a10-9743-dde15ed77d7f","","folder-normal","not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 12","Bathroom"
"8ad10a87-f9f2-4e71-8bb7-0a75d12bde3c","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 12","Bathroom","Toilet"
"38998e50-a0c0-4969-bb9f-5eb1f4caca61","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 12","Bathroom","Whb"
"5f31db38-d1c8-419b-a9a7-67c24b9f4122","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 12","Bathroom","Shower"
"e38178b1-95cb-41bf-9850-7ac78bd85705","","folder-normal","not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 13"
"5f7c3893-94e8-4b91-be2c-e8e10c72e09b","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 13","Kitchen"
"2a098553-0ce9-4664-a83e-fb0bda7018d3","","folder-normal","not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 13","Bathroom"
"3ec134b2-5298-4052-a902-3fd1c8e25c46","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 13","Bathroom","Toilet"
"2f1ccbdb-01b6-4589-8a4f-cd444a14c672","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 13","Bathroom","Whb"
"2bc86ff2-f22c-473d-8f88-36274200dc57","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 13","Bathroom","Shower"
"851a3105-74f1-474b-b0be-e35f477d33a3","","folder-normal","not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 14"
"e2962bc8-17f3-41d9-8eef-b2be724b6c75","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 14","Kitchen"
"67fbbd29-3e6a-4d01-a492-fb2743c45966","","folder-normal","not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 14","Bathroom"
"5779fce7-e474-44b4-aab6-e1d231ccc550","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 14","Bathroom","Toilet"
"51d14c4f-7350-457c-9e29-8bad75cbc571","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 14","Bathroom","Whb"
"3dbbf803-072e-4abe-9e02-b6bc6381c455","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 14","Bathroom","Shower"
"23fb5eaa-a7b9-4f6b-a5ae-32fbcd993957","","folder-normal","not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 15"
"1a468cc7-289d-4df9-9e08-0d03daf66065","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 15","Kitchen"
"68bf099e-3b9b-407c-bcab-e6d6d8dea0dc","","folder-normal","not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 15","Bathroom"
"4c415608-443d-4393-8bd5-39b575fe3a6f","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 15","Bathroom","Toilet"
"7743a005-31c1-44b7-ba24-d7bb92e13bbd","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 15","Bathroom","Whb"
"2dbb4a9c-d0b9-43ed-a348-ddb8f0aa1b41","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 15","Bathroom","Shower"
"5d42cdec-83ba-4b34-a0f0-83a8f2ef03d3","","folder-normal","not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 16"
"ca29f4dd-b2a3-4343-9655-a20bb5c5fef1","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 16","Kitchen"
"2584386e-1276-4173-96b3-dee62667e42f","","folder-normal","not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 16","Bathroom"
"c54513d7-ffb9-4d40-a359-975dbe44a626","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 16","Bathroom","Toilet"
"b6556a0b-5125-46b3-9298-6a8000dab2ca","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 16","Bathroom","Whb"
"29e6e1aa-5522-4d30-99e9-f90e00ca6779","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 16","Bathroom","Shower"
"25565fd8-d43a-4f64-b1c2-fe913ff5de41","","folder-normal","not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 17"
"d5b9e2b9-a343-4c8c-b4c1-3006217b0997","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 17","Kitchen"
"c21fbac4-0b89-46b1-a7a5-c1cea1c8edc9","","folder-normal","not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 17","Bathroom"
"b7d42362-3fff-4b27-b7a6-8cde74b1e6d8","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 17","Bathroom","Toilet"
"c25ca630-2255-4f73-afb0-345f05d7a2c8","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 17","Bathroom","Whb"
"c8afa203-2bfd-4fc8-8f47-220e30e09087","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 17","Bathroom","Shower"
"f5d45f5b-8774-4e5d-a3d0-cc0e029a4238","","folder-normal","not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 18"
"6c82e6c8-441f-48b7-97a1-a6e3e195193d","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 18","Kitchen"
"86fb9496-5f76-44a7-9818-5ed3aedc89b2","","folder-normal","not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 18","Bathroom"
"6f217189-a7d7-4509-b089-c9e9bc6ba87c","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 18","Bathroom","Toilet"
"c2143ff4-788c-4f17-bf98-e43ca7d64756","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 18","Bathroom","Whb"
"31d26180-67a8-478b-b530-aae6ce1bec38","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 18","Bathroom","Shower"
"655437de-c48d-4989-b417-e82773a05570","","folder-normal","not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 19"
"205bc4a0-109d-4877-9dfd-274ee38e9e57","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 19","Kitchen"
"3a66a1aa-b572-4679-a333-1e3079fbb9fd","","folder-normal","not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 19","Bathroom"
"cc170cb1-5490-47ee-bdff-43b9dfc850f8","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 19","Bathroom","Toilet"
"9f39d402-3796-43dd-bc7b-9dcf0682bb45","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 19","Bathroom","Whb"
"83ddc827-830c-4539-b1dd-18edf0f8a66f","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 19","Bathroom","Shower"
"f1807245-ed57-44c3-b868-8051b067e649","","folder-normal","not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 20"
"f9b86d18-0814-44f4-82f3-d6b8908ae77b","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 20","Kitchen"
"bbbd0c2a-8e3e-409b-b9bb-db77c8104afd","","folder-normal","not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 20","Bathroom"
"979ffaa5-8ad9-4b6e-a2ec-09bdc79908f6","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 20","Bathroom","Toilet"
"838a7f76-0013-4de7-b147-2c53f19303fb","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 20","Bathroom","Whb"
"d9e6370e-39d7-4536-ae37-ac4080087d04","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 20","Bathroom","Shower"
"0d48aaaa-bb16-4094-81ac-3a6c13081c73","","folder-normal","not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 21"
"94501562-1987-4240-a84d-ee35a9767004","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 21","Kitchen"
"df6424c3-90e8-4046-9152-63c28d20eb91","","folder-normal","not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 21","Bathroom"
"69f8f779-1016-4b24-b0bc-89bbb52f397a","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 21","Bathroom","Toilet"
"0ae6aae9-db83-4d43-b70a-81fbf4fc7c49","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 21","Bathroom","Whb"
"c34ec822-5dff-483e-8b21-71e7e4f87bca","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 21","Bathroom","Shower"
"3ec9ca7b-6db2-4ac0-b81f-b181f7e156db","","folder-normal","not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 22"
"95e6b426-931f-4849-aca0-9e6e5144ccae","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 22","Kitchen"
"777da9f2-ef82-43a8-bf90-9feb1d6bfaa9","","folder-normal","not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 22","Bathroom"
"40c422ff-4e59-4bb6-b826-9c3c000df834","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 22","Bathroom","Toilet"
"c47fed45-9f1b-4915-aa90-5e2b951b99cc","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 22","Bathroom","Whb"
"73736c0e-c97b-4f87-bf09-2eb4669a2c50","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 22","Bathroom","Shower"
"8441e236-4208-4225-b76d-7cdf3b537852","","folder-normal","not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 23"
"e0366340-5ab7-49c8-8bbb-a065d563c9b0","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 23","Kitchen"
"b27c1ce0-93fc-4d9b-87d0-66ddc252b909","","folder-normal","not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 23","Bathroom"
"9008cbd2-e6d3-4f45-b8fe-b39cbfbff774","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 23","Bathroom","Toilet"
"d99b8cc9-8d96-4ed1-932f-f3e33a27df5a","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 23","Bathroom","Whb"
"fc59bc3c-4108-4921-85af-1683e21f2a02","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 23","Bathroom","Shower"
"8983ed99-6f8a-4d57-8936-13f5a752f964","","folder-normal","not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 24"
"fce2a14e-da59-44f1-b023-301dfd27d9a0","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 24","Kitchen"
"ec0bee00-715b-4af4-a253-6dfbad3b1dcc","","folder-normal","not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 24","Bathroom"
"bdc8163f-bd34-43f6-9977-c8d0de450bad","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 24","Bathroom","Toilet"
"4670b4bc-c0a7-4521-8e33-dcbdfc4115c5","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 24","Bathroom","Whb"
"ce160f94-08b1-4c51-9cff-846286f42507","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 24","Bathroom","Shower"
"e4586bcc-b69f-4a58-9828-0ca954614e71","","folder-normal","not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 25"
"1863790a-85db-4988-845e-edd69556e2ef","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 25","Kitchen"
"9e874593-63db-47fd-a590-322661050062","","folder-normal","not-started","","step","TRUE","FALSE","Block A","Ground Floor","Unit 25","Bathroom"
"b26c848d-fd1b-4b18-b3bf-a42fd52e6041","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 25","Bathroom","Toilet"
"4d757e8e-f421-4d5d-a6e9-eff8c11862d3","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 25","Bathroom","Whb"
"c4fa22ff-7576-4d87-957c-e2faaef45add","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Block A","Ground Floor","Unit 25","Bathroom","Shower"
"977fbfa6-6a77-45ae-bb74-4ae48eea40fa","","folder-normal","work-in-progress","","step","TRUE","FALSE","Block A","Drainage"
"ec4b80a4-5c67-47f6-961e-01e5ab283177","","folder-normal","work-in-progress","","step","TRUE","FALSE","Block A","Drainage","Unit 1"
"82656b85-5c3d-4204-90ab-69be3555af8e","","checklist-flat","pass","Drainage Checklist","checklist-flat","FALSE","FALSE","Block A","Drainage","Unit 1","Drainage Checklist"
"861be917-1ab9-45f6-a384-58f2f8f3d47d","","checklist-flat","not-started","Cesspit Checklist","checklist-flat","FALSE","FALSE","Block A","Drainage","Unit 1","Cesspit"
"5a8b983e-d0a0-4f16-bc28-86b4f892f37f","","checklist-flat","not-started","ORG Checklist","checklist-flat","FALSE","FALSE","Block A","Drainage","Unit 1","ORG Checklist"
"c1d2b35f-4c40-4c56-bc48-07bfd048dd8b","","folder-normal","work-in-progress","","step","TRUE","FALSE","Block A","Drainage","Unit 2"
"88827b4b-01c3-422a-85f7-dbe483ea24ba","","checklist-flat","pass","Drainage Checklist","checklist-flat","FALSE","FALSE","Block A","Drainage","Unit 2","Drainage Checklist"
"ff806169-e19c-416a-a392-280a7f062f05","","checklist-flat","not-started","Cesspit Checklist","checklist-flat","FALSE","FALSE","Block A","Drainage","Unit 2","Cesspit"
"4c3b91db-91bc-4689-a9ef-413f53314d2c","","checklist-flat","not-started","ORG Checklist","checklist-flat","FALSE","FALSE","Block A","Drainage","Unit 2","ORG Checklist"
"3e624f51-36b5-4cae-a4c4-728e0fac5a7f","","folder-normal","work-in-progress","","step","TRUE","FALSE","Block A","Drainage","Unit 3"
"7303091a-660b-44ba-8eb3-3c58e8fa70ff","","checklist-flat","pass","Drainage Checklist","checklist-flat","FALSE","FALSE","Block A","Drainage","Unit 3","Drainage Checklist"
"b49a1d0d-535c-495f-ab94-e952206edc38","","checklist-flat","not-started","Cesspit Checklist","checklist-flat","FALSE","FALSE","Block A","Drainage","Unit 3","Cesspit"
"5a6e4586-569e-4338-80a2-cea9db4e27b7","","checklist-flat","not-started","ORG Checklist","checklist-flat","FALSE","FALSE","Block A","Drainage","Unit 3","ORG Checklist"
"cfd7be97-909e-402a-b744-7a363c0e8bd0","","folder-normal","work-in-progress","","step","TRUE","FALSE","Block A","Drainage","Unit 4"
