"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2becbf41-5882-46e9-a06d-f4e9d2857056","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"1470b2d5-797b-48e4-b9fd-3dc95eca1e1b","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Slab"
"df533d8c-5d82-4edd-9c94-e9ea977e4602","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Slab","Level 4"
"153c66ca-6f97-4efa-bb00-cb37b37d5738","","folder-normal","not-started","","step","FALSE","FALSE","Site QA","Slab","Level 4","East"
"71b2da2d-e3d8-4000-b451-022c55e24d6e","","checklist-flat","not-started","F19A - Pre-Pour ITP","checklist-flat","FALSE","FALSE","Site QA","Slab","Level 4","East","F19A - Pre-Pour ITP"
"d4ae5dd9-1a88-5006-b25d-f17bed3ac566","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab","Level 4","East","F19A - Pre-Pour ITP","AusPT leading hand and Built sign-off attached below"
"c53d91d7-3d69-4cea-97fa-003017be6d15","","checklist-flat","not-started","F19B - Post-Pour ITP","checklist-flat","FALSE","FALSE","Site QA","Slab","Level 4","East","F19B - Post-Pour ITP"
"35636f62-0f8c-566e-8253-20566dbd58a5","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab","Level 4","East","F19B - Post-Pour ITP","Drawings and Revisions - uploaded below as necessary"
"016d6489-daee-5188-822e-8ff22a22c76a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab","Level 4","East","F19B - Post-Pour ITP","Are the anchor blocks and wedges installed?"
"d4d1f498-1d93-522f-ad71-6a5e42953180","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab","Level 4","East","F19B - Post-Pour ITP","Has an initial stress (39kN) been carried out as per design requirements?"
"bc0126f5-1d38-583f-ae3a-8612d235c0be","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab","Level 4","East","F19B - Post-Pour ITP","Has AusPT received confirmation via Aconex/sighted of the concrete test report prior to commencement of full stress?"
"ca4e705c-8714-5ded-9cd0-0c71bf715280","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab","Level 4","East","F19B - Post-Pour ITP","Has the concrete test results reached minimum required strength (25mPa) as per Engineer’s requirements? Make a hold point."
"aa8b03ad-e8d9-5a13-8b40-43c98afb0198","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab","Level 4","East","F19B - Post-Pour ITP","Has a full stress (156kN) been carried out as per the design requirements?"
"af96ea1a-3b32-53ce-a4ed-f1ebf8a93df5","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab","Level 4","East","F19B - Post-Pour ITP","Have the extensions been recorded and submitted?"
"bc74af99-4976-5628-a31a-0a96a68396b1","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab","Level 4","East","F19B - Post-Pour ITP","Have the extensions been approved and received? Make hold point."
"7d84bc21-ee6e-5039-9cb4-32a737c7a21e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab","Level 4","East","F19B - Post-Pour ITP","Have the tendons been cut & sealed?"
"6ad98651-231c-5a15-9c91-851aad4a7286","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab","Level 4","East","F19B - Post-Pour ITP","Confirmation of Structural engineers’ acceptance of stressing record via to grouting"
"3a20829e-10b6-5edd-8ecd-0477c1e008c4","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab","Level 4","East","F19B - Post-Pour ITP","Have the tendons been grouted?"
"02e2223d-4656-5eff-8578-978939fd0e8b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab","Level 4","East","F19B - Post-Pour ITP","Batch ID and expiration date for grout entered below"
"5301f920-caa2-571c-84b4-a5ca0b2ab008","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab","Level 4","East","F19B - Post-Pour ITP","AusPT leading hand and Built sign-off attached below"
"9540dbba-ad62-422d-89d3-cf0e9bb4b2a0","","checklist-flat","not-started","AusPT Tendon Extension Report Upload #1","checklist-flat","FALSE","FALSE","Site QA","Slab","Level 4","East","Post-tensioning Extension #1"
"aed8e0df-b768-5e6f-9561-893a5f45a023","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab","Level 4","East","Post-tensioning Extension #1","Tendon Extension Report uploaded below"
"beb7de6b-3717-4155-b4eb-94be78bc15a1","","checklist-flat","not-started","AusPT Tendon Extension Report Upload #1","checklist-flat","FALSE","FALSE","Site QA","Slab","Level 4","East","Post-tensioning Extension #2"
"9e7d5f6c-2c2d-5d97-859c-b6ec801263a3","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab","Level 4","East","Post-tensioning Extension #2","Tendon Extension Report uploaded below"
"17f06e8c-318e-48ac-a7ae-f0a7d97a0cec","","folder-normal","work-in-progress","","step","FALSE","FALSE","Site QA","Slab","Level 4","South"
"4750d173-2fb9-40d7-bbdd-226589faf90f","","checklist-flat","pass","F19A - Pre-Pour ITP","checklist-flat","FALSE","FALSE","Site QA","Slab","Level 4","South","F19A - Pre-Pour ITP"
"5754bc30-6f65-5514-8edf-c1ed959564bc","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","South","F19A - Pre-Pour ITP","Drawings and Revisions - uploaded below as necessary"
"3ba3ad29-90bc-5fca-a32d-528c184688f0","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","South","F19A - Pre-Pour ITP","Are the Anchorages securely fixed and anti-burst installed?"
"6762fc3b-a3bb-57c2-b013-27614370d8e7","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","South","F19A - Pre-Pour ITP","Is the duct placed in the correct position and alignment, with joints sealed?"
"f2116ce4-2ee3-529b-84aa-c81b1abaf413","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","South","F19A - Pre-Pour ITP","Has the tendon been installed with the correct position and alignment, with joints sealed?"
"a3a1102d-a4ec-5157-8d6b-bc2e7c4269f1","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","South","F19A - Pre-Pour ITP","Strand Information entered below"
"0a5065ee-c077-5e6e-a3f9-746447c40b76","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","South","F19A - Pre-Pour ITP","Are the Circle Dead Ends used, including anti-burst installed (onion or swage)?"
"dd2a97cf-3b5f-5f43-be86-e3c4b20fcf28","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","South","F19A - Pre-Pour ITP","Are tendons profiled correctly and supporting chairs secured?"
"887e9e65-f972-5344-a914-727dd044f74f","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","South","F19A - Pre-Pour ITP","All pans to have minimum 50mm clearance off of deck"
"b4475aaf-00eb-509f-be4b-8b4a0f602d40","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","South","F19A - Pre-Pour ITP","Are grout hoses installed with anchorages sealed?"
"49af2c3e-2e4b-54dc-895f-b9ace19eca91","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","South","F19A - Pre-Pour ITP","Has the post-tensioning system been inspected and signed off by an Engineer?"
"f850a840-97b5-54d3-ab34-87c1fe8d01f2","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","South","F19A - Pre-Pour ITP","AusPT leading hand and Built sign-off attached below"
"accf4ca8-f341-4cb5-88cb-4a7e4e80660c","","checklist-flat","not-started","F19B - Post-Pour ITP","checklist-flat","FALSE","FALSE","Site QA","Slab","Level 4","South","F19B - Post-Pour ITP"
"8a670dbe-2dfa-5959-8cc0-25845555a2f3","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab","Level 4","South","F19B - Post-Pour ITP","Drawings and Revisions - uploaded below as necessary"
"319eedc5-41df-5023-855f-e371f861518f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab","Level 4","South","F19B - Post-Pour ITP","Are the anchor blocks and wedges installed?"
"0cfb4279-10a2-5ed7-996f-9749b7579f3f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab","Level 4","South","F19B - Post-Pour ITP","Has an initial stress (39kN) been carried out as per design requirements?"
"851fcaf7-a981-5a05-a973-7d7ca80b5481","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab","Level 4","South","F19B - Post-Pour ITP","Has AusPT received confirmation via Aconex/sighted of the concrete test report prior to commencement of full stress?"
"1f728f95-3841-595b-91e7-f48cc56b8a49","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab","Level 4","South","F19B - Post-Pour ITP","Has the concrete test results reached minimum required strength (25mPa) as per Engineer’s requirements? Make a hold point."
"6577a684-a01b-503e-a47c-2a2e65de18bb","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab","Level 4","South","F19B - Post-Pour ITP","Has a full stress (156kN) been carried out as per the design requirements?"
"29640b5f-2610-5422-b986-14dbafcb3007","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab","Level 4","South","F19B - Post-Pour ITP","Have the extensions been recorded and submitted?"
"78367afb-8e08-58ec-bb38-caa966bcec3c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab","Level 4","South","F19B - Post-Pour ITP","Have the extensions been approved and received? Make hold point."
"86040b84-84c9-5ffd-94e7-32cebcc5ba0f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab","Level 4","South","F19B - Post-Pour ITP","Have the tendons been cut & sealed?"
"a084e661-2e8c-599e-b23f-57f89408b769","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab","Level 4","South","F19B - Post-Pour ITP","Confirmation of Structural engineers’ acceptance of stressing record via to grouting"
"f3acfcfb-e7c8-569d-8c29-6cf789eba7ec","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab","Level 4","South","F19B - Post-Pour ITP","Have the tendons been grouted?"
"c314522e-5494-5ff2-8e74-4c9aa058078a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab","Level 4","South","F19B - Post-Pour ITP","Batch ID and expiration date for grout entered below"
"c57751bd-6e15-56a0-bfe9-659ba26413e6","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab","Level 4","South","F19B - Post-Pour ITP","AusPT leading hand and Built sign-off attached below"
"d6685224-23e5-4e71-9ed9-0d1fbf81352e","","checklist-flat","not-started","AusPT Tendon Extension Report Upload #1","checklist-flat","FALSE","FALSE","Site QA","Slab","Level 4","South","Post-tensioning Extension #1"
"dfd345f5-125a-5f4a-8be0-687df30e1106","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab","Level 4","South","Post-tensioning Extension #1","Tendon Extension Report uploaded below"
"2337d340-cb50-4e41-98db-c29ee89775fa","","checklist-flat","not-started","AusPT Tendon Extension Report Upload #1","checklist-flat","FALSE","FALSE","Site QA","Slab","Level 4","South","Post-tensioning Extension #2"
"0913fff7-cfce-5d0a-a0bb-9b6f2156a2bb","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab","Level 4","South","Post-tensioning Extension #2","Tendon Extension Report uploaded below"
"be479494-a3ab-451e-bbcd-109099c80579","","folder-normal","work-in-progress","","step","FALSE","FALSE","Site QA","Slab","Level 4","West"
"73a153e2-5874-44c4-8b14-d8be9e6476e6","","checklist-flat","pass","F19A - Pre-Pour ITP","checklist-flat","FALSE","FALSE","Site QA","Slab","Level 4","West","F19A - Pre-Pour ITP"
"be4ab0a8-c7af-51bf-9012-a034eda78605","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","West","F19A - Pre-Pour ITP","Drawings and Revisions - uploaded below as necessary"
"bdc53a48-6c8a-5f37-bca0-e2631dc6bf69","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","West","F19A - Pre-Pour ITP","Are the Anchorages securely fixed and anti-burst installed?"
"0c6fecb8-2a9b-5657-8d44-195750c8ef1a","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","West","F19A - Pre-Pour ITP","Is the duct placed in the correct position and alignment, with joints sealed?"
"f4c28d3b-8dfd-5b36-8350-31cc0b82bc11","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","West","F19A - Pre-Pour ITP","Has the tendon been installed with the correct position and alignment, with joints sealed?"
"a68a771e-4399-58e4-a12a-8e6ffe588a27","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","West","F19A - Pre-Pour ITP","Strand Information entered below"
"1cb8b3e1-ab2c-563d-975d-5d3bc64e30fe","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","West","F19A - Pre-Pour ITP","Are the Circle Dead Ends used, including anti-burst installed (onion or swage)?"
"cc7df20e-e520-5bfa-a71d-b608ac1fd229","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","West","F19A - Pre-Pour ITP","Are tendons profiled correctly and supporting chairs secured?"
"1d831829-bd0d-5ea0-94c3-3ad79872b993","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","West","F19A - Pre-Pour ITP","All pans to have minimum 50mm clearance off of deck"
"2bd20288-d040-5f2d-b3aa-8be2f96ab10d","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","West","F19A - Pre-Pour ITP","Are grout hoses installed with anchorages sealed?"
"5f8bef92-5f9c-5dc9-b597-1b728b0128b9","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","West","F19A - Pre-Pour ITP","Has the post-tensioning system been inspected and signed off by an Engineer?"
"8106ed99-e14b-5f2f-beec-73875daf536e","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","West","F19A - Pre-Pour ITP","AusPT leading hand and Built sign-off attached below"
"a795c158-564d-4611-ac25-a901b1aa5e74","","checklist-flat","pass","F19B - Post-Pour ITP","checklist-flat","FALSE","FALSE","Site QA","Slab","Level 4","West","F19B - Post-Pour ITP"
"ffec567e-212f-5f97-85b4-2b9a37f5cd2e","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","West","F19B - Post-Pour ITP","Drawings and Revisions - uploaded below as necessary"
"fdd89a6e-be5a-575c-aaf2-32401c6a85d4","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","West","F19B - Post-Pour ITP","Are the anchor blocks and wedges installed?"
"42b3cbe3-bcf5-5130-9bc6-4f93bc39c3de","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","West","F19B - Post-Pour ITP","Has an initial stress (39kN) been carried out as per design requirements?"
"9e4c70d7-d6a8-5e38-9e44-6befffa8dd4c","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","West","F19B - Post-Pour ITP","Has AusPT received confirmation via Aconex/sighted of the concrete test report prior to commencement of full stress?"
"137d8359-bdfe-575e-8dc2-13ccc21cf79f","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","West","F19B - Post-Pour ITP","Has the concrete test results reached minimum required strength (25mPa) as per Engineer’s requirements? Make a hold point."
"612f09b8-5d0f-5d87-84e5-5a770722675b","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","West","F19B - Post-Pour ITP","Has a full stress (156kN) been carried out as per the design requirements?"
"dcd48761-7fa1-5d31-b2f1-2dea5c8e8d74","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","West","F19B - Post-Pour ITP","Have the extensions been recorded and submitted?"
"f94ee76b-c4d0-5b42-bc3f-6cedcb8df8eb","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","West","F19B - Post-Pour ITP","Have the extensions been approved and received? Make hold point."
"b69d9954-b4dd-58fa-a8e7-53097a36bb11","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","West","F19B - Post-Pour ITP","Have the tendons been cut & sealed?"
"bfe821cf-8936-542f-ad34-f155e643a881","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","West","F19B - Post-Pour ITP","Confirmation of Structural engineers’ acceptance of stressing record via to grouting"
"0ab2fd67-a138-5e20-b89f-e980849780ad","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","West","F19B - Post-Pour ITP","Have the tendons been grouted?"
"622b07e3-6710-5c7b-8731-20bafc4c651e","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","West","F19B - Post-Pour ITP","Batch ID and expiration date for grout entered below"
"e4fea0fc-d61b-5089-bac8-bf66b0246622","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","West","F19B - Post-Pour ITP","AusPT leading hand and Built sign-off attached below"
"ab7af500-fb0d-44c8-ad8a-47c5fd5a4dd3","","checklist-flat","not-started","AusPT Tendon Extension Report Upload #1","checklist-flat","FALSE","FALSE","Site QA","Slab","Level 4","West","Post-tensioning Extension #1"
"47e44389-9eba-514f-ba4b-1db49d4999db","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab","Level 4","West","Post-tensioning Extension #1","Tendon Extension Report uploaded below"
"46d54748-d987-417a-9599-254eade449b2","","checklist-flat","not-started","AusPT Tendon Extension Report Upload #1","checklist-flat","FALSE","FALSE","Site QA","Slab","Level 4","West","Post-tensioning Extension #2"
"9ea3eb1f-a175-5dbc-a2da-a714571726b5","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab","Level 4","West","Post-tensioning Extension #2","Tendon Extension Report uploaded below"
"d8500480-f78b-4645-98cd-aa2f089a4ff2","","folder-normal","work-in-progress","","step","FALSE","FALSE","Site QA","Slab","Level 4","North"
"3d3c514a-9186-48de-9940-4a85f9151d23","","checklist-flat","pass","F19A - Pre-Pour ITP","checklist-flat","FALSE","FALSE","Site QA","Slab","Level 4","North","F19A - Pre-Pour ITP"
"0c6e258a-4aa0-5dce-b3ef-4248b40c31d1","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","North","F19A - Pre-Pour ITP","Drawings and Revisions - uploaded below as necessary"
"66f21108-4a37-5656-9710-bbae331f4e47","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","North","F19A - Pre-Pour ITP","Are the Anchorages securely fixed and anti-burst installed?"
"21bcf339-4391-5d5d-8f05-6831dcfeca78","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","North","F19A - Pre-Pour ITP","Is the duct placed in the correct position and alignment, with joints sealed?"
"4d091e3f-44f7-5a3f-942e-3a55b5d58cb0","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","North","F19A - Pre-Pour ITP","Has the tendon been installed with the correct position and alignment, with joints sealed?"
"eb982aaa-99dd-5eb1-a672-096e314cdd9f","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","North","F19A - Pre-Pour ITP","Strand Information entered below"
"41184a36-1617-5a73-906d-c94c30bdeff6","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","North","F19A - Pre-Pour ITP","Are the Circle Dead Ends used, including anti-burst installed (onion or swage)?"
"97f2ffb6-ef5f-53b8-81a4-80eb36c9a89a","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","North","F19A - Pre-Pour ITP","Are tendons profiled correctly and supporting chairs secured?"
"98eb9a0f-c2a8-5156-9856-02d65bb9711f","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","North","F19A - Pre-Pour ITP","All pans to have minimum 50mm clearance off of deck"
"84703c8c-20f9-5e2f-ab98-f9a0053c61b2","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","North","F19A - Pre-Pour ITP","Are grout hoses installed with anchorages sealed?"
"de666dae-07b9-5471-8258-1ba0af0a2822","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","North","F19A - Pre-Pour ITP","Has the post-tensioning system been inspected and signed off by an Engineer?"
"533e4b09-0be7-5b79-a437-48cf88718f02","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","North","F19A - Pre-Pour ITP","AusPT leading hand and Built sign-off attached below"
"56ca14f8-2e62-4cdf-bb28-e5634c803b2a","","checklist-flat","pass","F19B - Post-Pour ITP","checklist-flat","FALSE","FALSE","Site QA","Slab","Level 4","North","F19B - Post-Pour ITP"
"06a81edc-8509-5ce7-9175-595e57e42ad2","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","North","F19B - Post-Pour ITP","Drawings and Revisions - uploaded below as necessary"
"2a8c45a3-5190-58dc-875c-235cdaff30d1","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","North","F19B - Post-Pour ITP","Are the anchor blocks and wedges installed?"
"432ab9d9-8985-54bf-b5ee-ed978055b1f3","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","North","F19B - Post-Pour ITP","Has an initial stress (39kN) been carried out as per design requirements?"
"abe48bf8-c3bc-52b8-8e58-64a39ed632f0","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","North","F19B - Post-Pour ITP","Has AusPT received confirmation via Aconex/sighted of the concrete test report prior to commencement of full stress?"
"826539d3-b644-50c2-a440-272de18c29af","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","North","F19B - Post-Pour ITP","Has the concrete test results reached minimum required strength (25mPa) as per Engineer’s requirements? Make a hold point."
"5588d28b-0f7c-5599-a006-26228eba314c","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","North","F19B - Post-Pour ITP","Has a full stress (156kN) been carried out as per the design requirements?"
"e0d9070f-394f-50bd-b289-77f90764ad5f","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","North","F19B - Post-Pour ITP","Have the extensions been recorded and submitted?"
"2573f195-c3a2-507a-be89-2e24de038874","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","North","F19B - Post-Pour ITP","Have the extensions been approved and received? Make hold point."
"7c4aeefd-928b-59f9-af33-e8cac1a4d143","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","North","F19B - Post-Pour ITP","Have the tendons been cut & sealed?"
"aedeab86-a49b-5d42-981a-34f57e7d2fc4","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","North","F19B - Post-Pour ITP","Confirmation of Structural engineers’ acceptance of stressing record via to grouting"
"beb9edea-b637-59b1-bf2b-7cb6b1161241","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","North","F19B - Post-Pour ITP","Have the tendons been grouted?"
"8bf765bf-439a-5547-8e9d-0f5964fba547","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","North","F19B - Post-Pour ITP","Batch ID and expiration date for grout entered below"
"e53949bd-eb60-5375-aa19-a778b20da2a9","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","North","F19B - Post-Pour ITP","AusPT leading hand and Built sign-off attached below"
"752ceceb-def1-4916-b25c-5f9f6e77e5d6","","checklist-flat","pass","AusPT Tendon Extension Report Upload #1","checklist-flat","FALSE","FALSE","Site QA","Slab","Level 4","North","Post-tensioning Extension #1"
"9cbb3e16-ec5a-5ebd-98ca-cf51d547fc5b","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Slab","Level 4","North","Post-tensioning Extension #1","Tendon Extension Report uploaded below"
"1f357043-c45a-4242-b21c-e94398d89cb3","","checklist-flat","not-started","AusPT Tendon Extension Report Upload #1","checklist-flat","FALSE","FALSE","Site QA","Slab","Level 4","North","Post-tensioning Extension #2"
"7529a02d-e4a0-57d0-b2b2-ff82b4ff9186","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab","Level 4","North","Post-tensioning Extension #2","Tendon Extension Report uploaded below"
"d906e4db-441d-4d08-afb4-1713edd7c8c0","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Slab","Level 5"
"14f2de31-e421-40dd-a7d8-577014dc1dc0","","folder-normal","not-started","","step","FALSE","FALSE","Site QA","Slab","Level 5","East"
"54488bd8-6668-41e7-a041-80ad036ad252","","checklist-flat","not-started","F19A - Pre-Pour ITP","checklist-flat","FALSE","FALSE","Site QA","Slab","Level 5","East","F19A - Pre-Pour ITP"
"40945cb8-c8ed-526a-b242-a2536fff3480","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab","Level 5","East","F19A - Pre-Pour ITP","Drawings and Revisions - uploaded below as necessary"
