"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8694a193-97c7-4e80-ad0d-b54dd8d55f8f","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"17e49912-61b9-45dd-8ff5-9284172a5b6f","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Area Ready"
"edc13f3e-e97d-46a5-8888-4a96b8fb3f95","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Area Ready","WING A"
"b524576b-21ef-494d-8261-6b15496f72f4","","checklist-sectioned","not-started","Area Ready Checklist","checklist","FALSE","FALSE","Site QA","Area Ready","WING A","A.01 BED"
"7012f61f-16f5-5023-8a1d-3e90d1373bba","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Area Ready","WING A","A.01 BED","Substrate"
"0001a033-077d-5d7c-969e-774fe47538c1","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.02 ACCESS BED","Substrate","Substrate Acceptable"
"64a0461d-e161-5990-b35c-7e972ea8f07b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.02 ACCESS BED","Substrate","Wet Area Screed Installed"
"f983a68c-c8b0-5faf-94ba-24b866b34b9f","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Area Ready","WING A","A.02 ACCESS BED","Walls / Ceiling"
"1c4c377a-aa49-5b59-a44b-a4feea83a908","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.02 ACCESS BED","Walls / Ceiling","Ceiling Installed"
"c6e636da-351c-59f3-9dc6-0c6d4b8c31ae","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.02 ACCESS BED","Walls / Ceiling","Gyprock"
"3f378666-8047-5573-86c0-9f4a35be1501","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.02 ACCESS BED","Walls / Ceiling","Plastered"
"39eb43b1-0693-5a3d-a013-147becb45b3b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.02 ACCESS BED","Walls / Ceiling","Plaster Sanded"
"06602321-0131-5ad0-bf0c-5a436bb319ad","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.02 ACCESS BED","Walls / Ceiling","Painted"
"fa43c23e-5081-441b-b2b9-ce069e4c8c25","","checklist-sectioned","not-started","Area Ready Checklist","checklist","FALSE","FALSE","Site QA","Area Ready","WING A","A.02A ENSUITE"
"79b480de-e52b-5332-b228-8dbd24e96838","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Area Ready","WING A","A.02A ENSUITE","Substrate"
"eea82203-25bf-5742-b183-5f7e4f1ce1f2","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.02A ENSUITE","Substrate","Substrate Acceptable"
"7f5b385a-eb8c-5d22-9731-a529f6af6e29","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.02A ENSUITE","Substrate","Wet Area Screed Installed"
"b981ecb1-1ad0-5994-b403-29ff95fccf5f","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Area Ready","WING A","A.02A ENSUITE","Walls / Ceiling"
"b27c8f26-03de-5535-839c-d1c9f5cc1682","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.02A ENSUITE","Walls / Ceiling","Ceiling Installed"
"02a8953e-0c3a-59f7-a3cc-6c032030d791","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.02A ENSUITE","Walls / Ceiling","Gyprock"
"ea3e06a1-e8d6-56b3-875c-bc6f72dab3cf","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.02A ENSUITE","Walls / Ceiling","Plastered"
"66c43395-4dbe-5ea2-a4c1-7a09a6cec187","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.02A ENSUITE","Walls / Ceiling","Plaster Sanded"
"0dd1f10f-3c33-54d6-b20a-b33d73ce4d7a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.02A ENSUITE","Walls / Ceiling","Painted"
"8a0dde98-217b-4d3a-8e33-89e6bf1d4370","","checklist-sectioned","not-started","Area Ready Checklist","checklist","FALSE","FALSE","Site QA","Area Ready","WING A","A.03 BED"
"5b42fd8f-c613-592e-ab67-b44c5d89bdbe","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Area Ready","WING A","A.03 BED","Substrate"
"d23a1425-1858-5bf3-abdd-6c59b63f2037","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.03 BED","Substrate","Substrate Acceptable"
"c529ada7-1b33-5352-9076-e891e7f2fe28","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.03 BED","Substrate","Wet Area Screed Installed"
"852f4d47-ec13-5e96-8cc4-f1c57dfa517b","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Area Ready","WING A","A.03 BED","Walls / Ceiling"
"8eb5ae5d-79dc-54c5-90ed-f89066f7145d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.03 BED","Walls / Ceiling","Ceiling Installed"
"6c0daf43-7c42-58cb-9b97-9ed99ebe7ab5","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.03 BED","Walls / Ceiling","Gyprock"
"7a99c6f7-b321-5a4b-b0de-5a7290704946","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.03 BED","Walls / Ceiling","Plastered"
"3624a332-8da0-5fdb-b858-1637ebc30a0d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.03 BED","Walls / Ceiling","Plaster Sanded"
"765405b8-aa8e-54dd-ae34-faa4991fd3b0","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.03 BED","Walls / Ceiling","Painted"
"6b24b034-fcfe-44fa-ba55-3a613dc9c3f8","","checklist-sectioned","not-started","Area Ready Checklist","checklist","FALSE","FALSE","Site QA","Area Ready","WING A","A.03A ENSUITE"
"e9740f54-fce7-5c3d-a1d1-3d4d7daeed1f","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Area Ready","WING A","A.03A ENSUITE","Substrate"
"c962a89b-5dd0-5b02-bd2f-466a4e91a9d5","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.03A ENSUITE","Substrate","Substrate Acceptable"
"75d0d7ff-1e3f-55e4-8a47-2f084b6c04d0","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.03A ENSUITE","Substrate","Wet Area Screed Installed"
"e223016d-0e3a-53b6-be2f-0cf3aad6c56b","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Area Ready","WING A","A.03A ENSUITE","Walls / Ceiling"
"4fc8b325-a539-54c5-8f9c-f2f70f68ea35","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.03A ENSUITE","Walls / Ceiling","Ceiling Installed"
"dcb793ee-6e47-5cb7-8f5e-d71746186a81","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.03A ENSUITE","Walls / Ceiling","Gyprock"
"801b8d4a-7399-551d-bab4-a29b3239e977","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.03A ENSUITE","Walls / Ceiling","Plastered"
"ce729b34-f73d-5ae8-829b-9be494e7cedb","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.03A ENSUITE","Walls / Ceiling","Plaster Sanded"
"777cdb7b-efef-528a-a9b7-044123f6437c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.03A ENSUITE","Walls / Ceiling","Painted"
"24cc29a0-aa5f-4f32-96f5-12c5e00d7e20","","checklist-sectioned","not-started","Area Ready Checklist","checklist","FALSE","FALSE","Site QA","Area Ready","WING A","A.04 BED"
"19d9a3df-7edc-5c3d-9aa6-29e041622c73","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Area Ready","WING A","A.04 BED","Substrate"
"2ab2d18a-cd5f-55b6-9d2c-dc32bbcc09c9","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.04 BED","Substrate","Substrate Acceptable"
"f30174c0-b696-575b-a568-9a9f502c094a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.04 BED","Substrate","Wet Area Screed Installed"
"2ceaece7-e3c8-56f0-af20-de5344725083","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Area Ready","WING A","A.04 BED","Walls / Ceiling"
"5ed6388e-b1fb-5761-8b68-3d625c75cd14","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.04 BED","Walls / Ceiling","Ceiling Installed"
"d0bf1268-fbdd-5529-a8ef-0e638f272922","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.04 BED","Walls / Ceiling","Gyprock"
"659f2578-b772-512c-bdfd-cfc7a534dbca","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.04 BED","Walls / Ceiling","Plastered"
"f2138cf6-ea1f-5dfc-9602-7154f79e91e5","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.04 BED","Walls / Ceiling","Plaster Sanded"
"c9d002d3-6342-5261-8fef-46ef5cf9b13d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.04 BED","Walls / Ceiling","Painted"
"34be7a9e-fccb-4f1c-a779-265f81221925","","checklist-sectioned","not-started","Area Ready Checklist","checklist","FALSE","FALSE","Site QA","Area Ready","WING A","A.04A ENSUITE"
"43d39ed8-e8cd-55ba-9ad2-cf969ab486c5","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Area Ready","WING A","A.04A ENSUITE","Substrate"
"69dce190-dc0a-5334-9890-fd8bbca00e54","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.04A ENSUITE","Substrate","Substrate Acceptable"
"436c3dee-65b7-55b9-bdc2-d544bb46a46f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.04A ENSUITE","Substrate","Wet Area Screed Installed"
"95f32323-6e44-5842-ba5b-b985d5f6d872","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Area Ready","WING A","A.04A ENSUITE","Walls / Ceiling"
"b7d92fe9-12a2-52e4-8920-818268df9eec","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.04A ENSUITE","Walls / Ceiling","Ceiling Installed"
"5eb4c9d7-3243-50ae-a755-f2ccd538921e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.04A ENSUITE","Walls / Ceiling","Gyprock"
"1a78d653-c6f7-5f38-9ad9-539cdc36cf04","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.04A ENSUITE","Walls / Ceiling","Plastered"
"e29ab3f6-506f-5cba-a402-afb18108482c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.04A ENSUITE","Walls / Ceiling","Plaster Sanded"
"dd9e3b63-cdde-59d4-8ac7-c3d5e9ae32fc","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.04A ENSUITE","Walls / Ceiling","Painted"
"a27223a7-501f-4d11-b2c7-8d81a208c922","","checklist-sectioned","not-started","Area Ready Checklist","checklist","FALSE","FALSE","Site QA","Area Ready","WING A","A.05A ENSUITE"
"87af6178-e891-5a7a-b906-71a62187bb3e","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Area Ready","WING A","A.05A ENSUITE","Substrate"
"e8cc9535-ad28-5c29-9e55-edc3a681ca5d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.05A ENSUITE","Substrate","Substrate Acceptable"
"f90b2027-de44-51f0-b852-081a0825ee15","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.05A ENSUITE","Substrate","Wet Area Screed Installed"
"cf877602-46f1-502f-b7b1-484235847f57","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Area Ready","WING A","A.05A ENSUITE","Walls / Ceiling"
"a4b6e3e9-3f33-5fea-b682-a6fbe3900323","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.05A ENSUITE","Walls / Ceiling","Ceiling Installed"
"71f91baa-8098-57df-9eda-08716cbbbc16","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.05A ENSUITE","Walls / Ceiling","Gyprock"
"dfe562cd-9654-5a14-9729-5644ad4ef529","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.05A ENSUITE","Walls / Ceiling","Plastered"
"a8c07f0c-b3aa-5eb3-a605-2828b1f6fce6","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.05A ENSUITE","Walls / Ceiling","Plaster Sanded"
"d4a72f35-161a-59b4-8b0d-7d3432ad27e7","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.05A ENSUITE","Walls / Ceiling","Painted"
"56233fb5-4b58-498c-a999-35984ee464ec","","checklist-sectioned","not-started","Area Ready Checklist","checklist","FALSE","FALSE","Site QA","Area Ready","WING A","A.06 BED"
"9b93bfc5-36af-5d31-90ef-b45ab3dfe853","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Area Ready","WING A","A.06 BED","Substrate"
"5f5971bb-bc5b-5dfb-8ee5-c972e359fc9f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.06 BED","Substrate","Substrate Acceptable"
"dcf91b97-22ad-5bc6-9650-97bac61b6636","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.06 BED","Substrate","Wet Area Screed Installed"
"b08d0d24-c10c-511e-860c-2edbb2103492","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Area Ready","WING A","A.06 BED","Walls / Ceiling"
"ca67a2eb-e81d-5418-bcfa-042333331480","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.06 BED","Walls / Ceiling","Ceiling Installed"
"9d45a803-1444-5772-ac9e-d1d272f3a00f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.06 BED","Walls / Ceiling","Gyprock"
"4e5e632e-6141-50d8-bf75-2863e399c9bf","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.06 BED","Walls / Ceiling","Plastered"
"a0e39899-8e59-53a7-aee8-c58dfcd47145","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.06 BED","Walls / Ceiling","Plaster Sanded"
"2ec9dd5d-e940-5446-b34c-c20ed0c606ca","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.06 BED","Walls / Ceiling","Painted"
"2ff52a8c-6c45-4924-9f25-8fa693555d45","","checklist-sectioned","not-started","Area Ready Checklist","checklist","FALSE","FALSE","Site QA","Area Ready","WING A","A.07 BED"
"2ebb483d-1741-5108-b77c-20e9c5a0a2bf","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Area Ready","WING A","A.07 BED","Substrate"
"74149ebf-bcac-5194-bd3e-b4761bebb460","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.07 BED","Substrate","Substrate Acceptable"
"3da190c7-f6f6-5a3b-9928-d0c567d59215","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.07 BED","Substrate","Wet Area Screed Installed"
"09e3f103-4cd3-57fb-9996-d711837afbd4","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Area Ready","WING A","A.07 BED","Walls / Ceiling"
"e4df9e8d-8ff7-540d-a259-7211332771e0","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.07 BED","Walls / Ceiling","Ceiling Installed"
"8ebe0f87-939b-5a56-87b9-6f5e855fb4db","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.07 BED","Walls / Ceiling","Gyprock"
"bba9767e-53d2-5699-a7a1-2418a3bf368e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.07 BED","Walls / Ceiling","Plastered"
"10683324-0fbd-5200-9b5f-c34b05b6c773","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.07 BED","Walls / Ceiling","Plaster Sanded"
"7806510e-96cd-535c-b782-f2f514e27e08","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.07 BED","Walls / Ceiling","Painted"
"1edf1aad-13c5-4c92-a96a-2761efbba64e","","checklist-sectioned","not-started","Area Ready Checklist","checklist","FALSE","FALSE","Site QA","Area Ready","WING A","A.07A ENSUITE"
"090f11e8-ac89-5ff6-9a10-76b88b38cc89","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Area Ready","WING A","A.07A ENSUITE","Substrate"
"17170cca-a5e4-5e71-9eea-a7aca66ebe49","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.07A ENSUITE","Substrate","Substrate Acceptable"
"304e5e7d-cb4d-5fa4-a72c-802f3e7f9eec","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.07A ENSUITE","Substrate","Wet Area Screed Installed"
"3af398bb-f701-543f-b631-b0f0116040ed","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Area Ready","WING A","A.07A ENSUITE","Walls / Ceiling"
"ad7eb499-5a5c-5be9-acdd-17c4978b6a08","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.07A ENSUITE","Walls / Ceiling","Ceiling Installed"
"6685e5fc-fb23-5414-a08c-d6a7e9f4eb97","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.07A ENSUITE","Walls / Ceiling","Gyprock"
"9074d6d5-0a20-5e5d-b6ec-ea551729a3d1","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.07A ENSUITE","Walls / Ceiling","Plastered"
"e170d4bf-efc2-5bbc-be39-66f17e20a344","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.07A ENSUITE","Walls / Ceiling","Plaster Sanded"
"e8c1dc43-bde6-5149-9abc-8e97693b68d2","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.07A ENSUITE","Walls / Ceiling","Painted"
"ff4e3e6d-9759-4b35-a230-c77e5a946320","","checklist-sectioned","not-started","Area Ready Checklist","checklist","FALSE","FALSE","Site QA","Area Ready","WING A","A.08 BED"
"fb297fe2-69c4-5967-991a-4352998ff39e","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Area Ready","WING A","A.08 BED","Substrate"
"e34a2e52-fb0e-55fd-a5ee-ff592964346f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.08 BED","Substrate","Substrate Acceptable"
"7df7bbe8-07e5-5ec9-94ac-4fcdf983bef6","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.08 BED","Substrate","Wet Area Screed Installed"
"6b0ff1ac-43e2-58c1-8059-7fdfdf3483ae","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Area Ready","WING A","A.08 BED","Walls / Ceiling"
"dbb6acf8-b96f-5041-a8eb-6879868e4d0e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.08 BED","Walls / Ceiling","Ceiling Installed"
"66c1f722-7b78-5a4a-ab07-5c69993ba123","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.08 BED","Walls / Ceiling","Gyprock"
"491cb350-4a21-5f1a-8d64-a1960783d783","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.08 BED","Walls / Ceiling","Plastered"
"ab8dd613-8575-51b5-a044-9cfeea67fee9","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.08 BED","Walls / Ceiling","Plaster Sanded"
"9e62cee6-7884-53c2-adb8-71c173b7316e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.08 BED","Walls / Ceiling","Painted"
"327c3264-e449-4d57-8a54-8bde62cca80d","","checklist-sectioned","not-started","Area Ready Checklist","checklist","FALSE","FALSE","Site QA","Area Ready","WING A","A.08A ENSUITE"
"130bd602-458e-5a11-ae71-25ffe349edef","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Area Ready","WING A","A.08A ENSUITE","Substrate"
"3e0dc987-b3cd-54ad-9548-ca2a9181bdc0","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Area Ready","WING A","A.08A ENSUITE","Substrate","Substrate Acceptable"
