resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,,,
Painting,checklist,,,,,,508,,,,,,,,,,
Painting,checklist,,,,,,509,,,,,,,,,,
Painting,checklist,,,,,,510,,,,,,,,,,
,step,,,,,Level 6,,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,North Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,East Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,South Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,West Elevation,,,,,,,,,,
Painting,checklist,,,,,,Corridor,,,,,,,,,,
Painting,checklist,,,,,,601,,,,,,,,,,
Painting,checklist,,,,,,602,,,,,,,,,,
Painting,checklist,,,,,,603,,,,,,,,,,
Painting,checklist,,,,,,604,,,,,,,,,,
Painting,checklist,,,,,,605,,,,,,,,,,
Painting,checklist,,,,,,606,,,,,,,,,,
Painting,checklist,,,,,,607,,,,,,,,,,
Painting,checklist,,,,,,608,,,,,,,,,,
Painting,checklist,,,,,,609,,,,,,,,,,
Painting,checklist,,,,,,610,,,,,,,,,,
,step,,,,,Level 7,,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,North Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,East Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,South Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,West Elevation,,,,,,,,,,
Painting,checklist,,,,,,Corridor,,,,,,,,,,
Painting,checklist,,,,,,701,,,,,,,,,,
Painting,checklist,,,,,,702,,,,,,,,,,
Painting,checklist,,,,,,703,,,,,,,,,,
Painting,checklist,,,,,,704,,,,,,,,,,
Painting,checklist,,,,,,705,,,,,,,,,,
Painting,checklist,,,,,,706,,,,,,,,,,
Painting,checklist,,,,,,707,,,,,,,,,,
Painting,checklist,,,,,,708,,,,,,,,,,
Painting,checklist,,,,,,709,,,,,,,,,,
Painting,checklist,,,,,,710,,,,,,,,,,
,step,,,,,Level 8,,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,North Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,East Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,South Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,West Elevation,,,,,,,,,,
Painting,checklist,,,,,,Corridor,,,,,,,,,,
Painting,checklist,,,,,,801,,,,,,,,,,
Painting,checklist,,,,,,802,,,,,,,,,,
Painting,checklist,,,,,,803,,,,,,,,,,
Painting,checklist,,,,,,804,,,,,,,,,,
Painting,checklist,,,,,,805,,,,,,,,,,
Painting,checklist,,,,,,806,,,,,,,,,,
Painting,checklist,,,,,,807,,,,,,,,,,
Painting,checklist,,,,,,808,,,,,,,,,,
Painting,checklist,,,,,,809,,,,,,,,,,
Painting,checklist,,,,,,810,,,,,,,,,,
,step,,,,,Level 9,,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,North Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,East Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,South Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,West Elevation,,,,,,,,,,
Painting,checklist,,,,,,Corridor,,,,,,,,,,
Painting,checklist,,,,,,901,,,,,,,,,,
Painting,checklist,,,,,,902,,,,,,,,,,
Painting,checklist,,,,,,903,,,,,,,,,,
Painting,checklist,,,,,,904,,,,,,,,,,
Painting,checklist,,,,,,905,,,,,,,,,,
Painting,checklist,,,,,,906,,,,,,,,,,
Painting,checklist,,,,,,907,,,,,,,,,,
Painting,checklist,,,,,,908,,,,,,,,,,
Painting,checklist,,,,,,909,,,,,,,,,,
Painting,checklist,,,,,,910,,,,,,,,,,
,step,,,,,Level 10,,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,North Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,East Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,South Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,West Elevation,,,,,,,,,,
Painting,checklist,,,,,,Corridor,,,,,,,,,,
Painting,checklist,,,,,,1001,,,,,,,,,,
Painting,checklist,,,,,,1002,,,,,,,,,,
Painting,checklist,,,,,,1003,,,,,,,,,,
Painting,checklist,,,,,,1004,,,,,,,,,,
Painting,checklist,,,,,,1005,,,,,,,,,,
Painting,checklist,,,,,,1006,,,,,,,,,,
Painting,checklist,,,,,,1007,,,,,,,,,,
Painting,checklist,,,,,,1008,,,,,,,,,,
Painting,checklist,,,,,,1009,,,,,,,,,,
Painting,checklist,,,,,,1010,,,,,,,,,,
,step,,,,,Level 11,,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,North Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,East Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,South Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,West Elevation,,,,,,,,,,
Painting,checklist,,,,,,Corridor,,,,,,,,,,
Painting,checklist,,,,,,1101,,,,,,,,,,
Painting,checklist,,,,,,1102,,,,,,,,,,
Painting,checklist,,,,,,1103,,,,,,,,,,
Painting,checklist,,,,,,1104,,,,,,,,,,
Painting,checklist,,,,,,1105,,,,,,,,,,
Painting,checklist,,,,,,1106,,,,,,,,,,
Painting,checklist,,,,,,1107,,,,,,,,,,
Painting,checklist,,,,,,1108,,,,,,,,,,
Painting,checklist,,,,,,1109,,,,,,,,,,
Painting,checklist,,,,,,1110,,,,,,,,,,
,step,,,,,Level 12,,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,North Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,East Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,South Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,West Elevation,,,,,,,,,,
Painting,checklist,,,,,,Corridor,,,,,,,,,,
Painting,checklist,,,,,,1201,,,,,,,,,,
Painting,checklist,,,,,,1202,,,,,,,,,,
Painting,checklist,,,,,,1203,,,,,,,,,,
Painting,checklist,,,,,,1204,,,,,,,,,,
Painting,checklist,,,,,,1205,,,,,,,,,,
Painting,checklist,,,,,,1206,,,,,,,,,,
Painting,checklist,,,,,,1207,,,,,,,,,,
Painting,checklist,,,,,,1208,,,,,,,,,,
Painting,checklist,,,,,,1209,,,,,,,,,,
Painting,checklist,,,,,,1210,,,,,,,,,,
,step,,,,,Level 13,,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,North Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,East Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,South Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,West Elevation,,,,,,,,,,
Painting,checklist,,,,,,Corridor,,,,,,,,,,
Painting,checklist,,,,,,1301,,,,,,,,,,
Painting,checklist,,,,,,1302,,,,,,,,,,
Painting,checklist,,,,,,1303,,,,,,,,,,
Painting,checklist,,,,,,1304,,,,,,,,,,
Painting,checklist,,,,,,1305,,,,,,,,,,
Painting,checklist,,,,,,1306,,,,,,,,,,
Painting,checklist,,,,,,1307,,,,,,,,,,
Painting,checklist,,,,,,1308,,,,,,,,,,
Painting,checklist,,,,,,1309,,,,,,,,,,
Painting,checklist,,,,,,1310,,,,,,,,,,
,step,,,,,Level 14,,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,North Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,East Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,South Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,West Elevation,,,,,,,,,,
Painting,checklist,,,,,,Corridor,,,,,,,,,,
Painting,checklist,,,,,,1401,,,,,,,,,,
Painting,checklist,,,,,,1402,,,,,,,,,,
Painting,checklist,,,,,,1403,,,,,,,,,,
Painting,checklist,,,,,,1404,,,,,,,,,,
Painting,checklist,,,,,,1405,,,,,,,,,,
Painting,checklist,,,,,,1406,,,,,,,,,,
Painting,checklist,,,,,,1407,,,,,,,,,,
Painting,checklist,,,,,,1408,,,,,,,,,,
Painting,checklist,,,,,,1409,,,,,,,,,,
Painting,checklist,,,,,,1410,,,,,,,,,,
,step,,,,,Level 15,,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,North Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,East Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,South Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,West Elevation,,,,,,,,,,
Painting,checklist,,,,,,Corridor,,,,,,,,,,
Painting,checklist,,,,,,1501,,,,,,,,,,
Painting,checklist,,,,,,1502,,,,,,,,,,
Painting,checklist,,,,,,1503,,,,,,,,,,
Painting,checklist,,,,,,1504,,,,,,,,,,
Painting,checklist,,,,,,1505,,,,,,,,,,
Painting,checklist,,,,,,1506,,,,,,,,,,
Painting,checklist,,,,,,1507,,,,,,,,,,
Painting,checklist,,,,,,1508,,,,,,,,,,
Painting,checklist,,,,,,1509,,,,,,,,,,
Painting,checklist,,,,,,1510,,,,,,,,,,
,step,,,,,Level 16,,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,North Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,East Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,South Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,West Elevation,,,,,,,,,,
Painting,checklist,,,,,,Corridor,,,,,,,,,,
Painting,checklist,,,,,,1601,,,,,,,,,,
Painting,checklist,,,,,,1602,,,,,,,,,,
Painting,checklist,,,,,,1603,,,,,,,,,,
Painting,checklist,,,,,,1604,,,,,,,,,,
Painting,checklist,,,,,,1605,,,,,,,,,,
Painting,checklist,,,,,,1606,,,,,,,,,,
Painting,checklist,,,,,,1607,,,,,,,,,,
Painting,checklist,,,,,,1608,,,,,,,,,,
Painting,checklist,,,,,,1609,,,,,,,,,,
Painting,checklist,,,,,,1610,,,,,,,,,,
,step,,,,,Level 17,,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,North Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,East Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,South Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,West Elevation,,,,,,,,,,
Painting,checklist,,,,,,Corridor,,,,,,,,,,
Painting,checklist,,,,,,1701,,,,,,,,,,
Painting,checklist,,,,,,1702,,,,,,,,,,
Painting,checklist,,,,,,1703,,,,,,,,,,
Painting,checklist,,,,,,1704,,,,,,,,,,
Painting,checklist,,,,,,1705,,,,,,,,,,
Painting,checklist,,,,,,1706,,,,,,,,,,
Painting,checklist,,,,,,1707,,,,,,,,,,
Painting,checklist,,,,,,1708,,,,,,,,,,
Painting,checklist,,,,,,1709,,,,,,,,,,
Painting,checklist,,,,,,1710,,,,,,,,,,
,step,,,,,Level 18,,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,North Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,East Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,South Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,West Elevation,,,,,,,,,,
Painting,checklist,,,,,,1801,,,,,,,,,,
Painting,checklist,,,,,,1802,,,,,,,,,,
Painting,checklist,,,,,,1803,,,,,,,,,,
Painting,checklist,,,,,,1804,,,,,,,,,,
Painting,checklist,,,,,,1805,,,,,,,,,,
Painting,checklist,,,,,,1806,,,,,,,,,,
Painting,checklist,,,,,,1807,,,,,,,,,,
Painting,checklist,,,,,,1808,,,,,,,,,,
Painting,checklist,,,,,,1809,,,,,,,,,,
Painting,checklist,,,,,,1810,,,,,,,,,,
,step,,,,,Level 19,,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,North Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,East Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,South Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,West Elevation,,,,,,,,,,
Painting,checklist,,,,,,1901,,,,,,,,,,
Painting,checklist,,,,,,1902,,,,,,,,,,
Painting,checklist,,,,,,1903,,,,,,,,,,
Painting,checklist,,,,,,1904,,,,,,,,,,
Painting,checklist,,,,,,1905,,,,,,,,,,
Painting,checklist,,,,,,1906,,,,,,,,,,
Painting,checklist,,,,,,1907,,,,,,,,,,
,step,,,,,Level 20,,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,North Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,East Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,South Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,West Elevation,,,,,,,,,,
,step,,,,Building B,,,,,,,,,,,,
,step,,,,,Ground Floor,,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,North Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,East Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,South Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,West Elevation,,,,,,,,,,
Painting,checklist,,,,,,Lobby,,,,,,,,,,
Painting,checklist,,,,,,G08,,,,,,,,,,
Painting,checklist,,,,,,G09,,,,,,,,,,
,step,,,,,Level 1,,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,North Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,East Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,South Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,West Elevation,,,,,,,,,,
Painting,checklist,,,,,,Corridor,,,,,,,,,,
Painting,checklist,,,,,,102,,,,,,,,,,
Painting,checklist,,,,,,103,,,,,,,,,,
Painting,checklist,,,,,,104,,,,,,,,,,
Painting,checklist,,,,,,105,,,,,,,,,,
Painting,checklist,,,,,,106,,,,,,,,,,
Painting,checklist,,,,,,107,,,,,,,,,,
Painting,checklist,,,,,,108,,,,,,,,,,
Painting,checklist,,,,,,109,,,,,,,,,,
Painting,checklist,,,,,,110,,,,,,,,,,
Painting,checklist,,,,,,111,,,,,,,,,,
Painting,checklist,,,,,,112,,,,,,,,,,
Painting,checklist,,,,,,113,,,,,,,,,,
Painting,checklist,,,,,,114,,,,,,,,,,
Painting,checklist,,,,,,115,,,,,,,,,,
Painting,checklist,,,,,,116,,,,,,,,,,
,step,,,,,Level 2,,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,North Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,East Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,South Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,West Elevation,,,,,,,,,,
Painting,checklist,,,,,,211,,,,,,,,,,
Painting,checklist,,,,,,212,,,,,,,,,,
Painting,checklist,,,,,,213,,,,,,,,,,
Painting,checklist,,,,,,214,,,,,,,,,,
Painting,checklist,,,,,,215,,,,,,,,,,
Painting,checklist,,,,,,216,,,,,,,,,,
Painting,checklist,,,,,,217,,,,,,,,,,
Painting,checklist,,,,,,218,,,,,,,,,,
Painting,checklist,,,,,,219,,,,,,,,,,
Painting,checklist,,,,,,220,,,,,,,,,,
Painting,checklist,,,,,,221,,,,,,,,,,
Painting,checklist,,,,,,222,,,,,,,,,,
Painting,checklist,,,,,,223,,,,,,,,,,
Painting,checklist,,,,,,224,,,,,,,,,,
Painting,checklist,,,,,,225,,,,,,,,,,
,step,,,,,Level 3,,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,North Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,East Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,South Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,West Elevation,,,,,,,,,,
Painting,checklist,,,,,,311,,,,,,,,,,
Painting,checklist,,,,,,312,,,,,,,,,,
Painting,checklist,,,,,,313,,,,,,,,,,
Painting,checklist,,,,,,314,,,,,,,,,,
Painting,checklist,,,,,,315,,,,,,,,,,
Painting,checklist,,,,,,316,,,,,,,,,,
Painting,checklist,,,,,,317,,,,,,,,,,
Painting,checklist,,,,,,318,,,,,,,,,,
Painting,checklist,,,,,,319,,,,,,,,,,
Painting,checklist,,,,,,320,,,,,,,,,,
Painting,checklist,,,,,,321,,,,,,,,,,
Painting,checklist,,,,,,322,,,,,,,,,,
Painting,checklist,,,,,,323,,,,,,,,,,
Painting,checklist,,,,,,324,,,,,,,,,,
Painting,checklist,,,,,,325,,,,,,,,,,
,step,,,,,Level 4,,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,North Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,East Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,South Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,West Elevation,,,,,,,,,,
Painting,checklist,,,,,,411,,,,,,,,,,
Painting,checklist,,,,,,412,,,,,,,,,,
Painting,checklist,,,,,,413,,,,,,,,,,
Painting,checklist,,,,,,414,,,,,,,,,,
Painting,checklist,,,,,,415,,,,,,,,,,
Painting,checklist,,,,,,416,,,,,,,,,,
Painting,checklist,,,,,,417,,,,,,,,,,
Painting,checklist,,,,,,418,,,,,,,,,,
Painting,checklist,,,,,,419,,,,,,,,,,
Painting,checklist,,,,,,420,,,,,,,,,,
Painting,checklist,,,,,,421,,,,,,,,,,
Painting,checklist,,,,,,422,,,,,,,,,,
Painting,checklist,,,,,,423,,,,,,,,,,
Painting,checklist,,,,,,424,,,,,,,,,,
Painting,checklist,,,,,,425,,,,,,,,,,
,step,,,,,Level 5,,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,North Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,East Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,South Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,West Elevation,,,,,,,,,,
Painting,checklist,,,,,,511,,,,,,,,,,
Painting,checklist,,,,,,512,,,,,,,,,,
Painting,checklist,,,,,,513,,,,,,,,,,
Painting,checklist,,,,,,514,,,,,,,,,,
Painting,checklist,,,,,,515,,,,,,,,,,
Painting,checklist,,,,,,516,,,,,,,,,,
Painting,checklist,,,,,,517,,,,,,,,,,
Painting,checklist,,,,,,518,,,,,,,,,,
Painting,checklist,,,,,,519,,,,,,,,,,
Painting,checklist,,,,,,520,,,,,,,,,,
Painting,checklist,,,,,,521,,,,,,,,,,
Painting,checklist,,,,,,522,,,,,,,,,,
Painting,checklist,,,,,,523,,,,,,,,,,
Painting,checklist,,,,,,524,,,,,,,,,,
Painting,checklist,,,,,,525,,,,,,,,,,
,step,,,,,Level 6,,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,North Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,East Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,South Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,West Elevation,,,,,,,,,,
Painting,checklist,,,,,,611,,,,,,,,,,
Painting,checklist,,,,,,612,,,,,,,,,,
Painting,checklist,,,,,,613,,,,,,,,,,
Painting,checklist,,,,,,614,,,,,,,,,,
Painting,checklist,,,,,,615,,,,,,,,,,
Painting,checklist,,,,,,616,,,,,,,,,,
Painting,checklist,,,,,,617,,,,,,,,,,
Painting,checklist,,,,,,618,,,,,,,,,,
Painting,checklist,,,,,,619,,,,,,,,,,
Painting,checklist,,,,,,620,,,,,,,,,,
Painting,checklist,,,,,,621,,,,,,,,,,
Painting,checklist,,,,,,622,,,,,,,,,,
Painting,checklist,,,,,,623,,,,,,,,,,
Painting,checklist,,,,,,624,,,,,,,,,,
Painting,checklist,,,,,,625,,,,,,,,,,
,step,,,,,Level 7,,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,North Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,East Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,South Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,West Elevation,,,,,,,,,,
Painting,checklist,,,,,,711,,,,,,,,,,
Painting,checklist,,,,,,712,,,,,,,,,,
Painting,checklist,,,,,,713,,,,,,,,,,
Painting,checklist,,,,,,714,,,,,,,,,,
Painting,checklist,,,,,,715,,,,,,,,,,
Painting,checklist,,,,,,716,,,,,,,,,,
Painting,checklist,,,,,,717,,,,,,,,,,
Painting,checklist,,,,,,718,,,,,,,,,,
Painting,checklist,,,,,,719,,,,,,,,,,
Painting,checklist,,,,,,720,,,,,,,,,,
Painting,checklist,,,,,,721,,,,,,,,,,
Painting,checklist,,,,,,722,,,,,,,,,,
Painting,checklist,,,,,,723,,,,,,,,,,
Painting,checklist,,,,,,724,,,,,,,,,,
Painting,checklist,,,,,,725,,,,,,,,,,
,step,,,,,Level 8,,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,North Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,East Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,South Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,West Elevation,,,,,,,,,,
Painting,checklist,,,,,,811,,,,,,,,,,
Painting,checklist,,,,,,812,,,,,,,,,,
Painting,checklist,,,,,,813,,,,,,,,,,
Painting,checklist,,,,,,814,,,,,,,,,,
Painting,checklist,,,,,,815,,,,,,,,,,
Painting,checklist,,,,,,816,,,,,,,,,,
Painting,checklist,,,,,,817,,,,,,,,,,
Painting,checklist,,,,,,818,,,,,,,,,,
Painting,checklist,,,,,,819,,,,,,,,,,
Painting,checklist,,,,,,820,,,,,,,,,,
Painting,checklist,,,,,,821,,,,,,,,,,
Painting,checklist,,,,,,822,,,,,,,,,,
Painting,checklist,,,,,,823,,,,,,,,,,
Painting,checklist,,,,,,824,,,,,,,,,,
Painting,checklist,,,,,,825,,,,,,,,,,
,step,,,,,Level 9,,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,North Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,East Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,South Elevation,,,,,,,,,,
Hebel Facade Painting,checklist,,,,,,West Elevation,,,,,,,,,,
Painting,checklist,,,,,,911,,,,,,,,,,
Painting,checklist,,,,,,912,,,,,,,,,,
Painting,checklist,,,,,,913,,,,,,,,,,
Painting,checklist,,,,,,914,,,,,,,,,,
Painting,checklist,,,,,,915,,,,,,,,,,
Painting,checklist,,,,,,916,,,,,,,,,,
Painting,checklist,,,,,,917,,,,,,,,,,
Painting,checklist,,,,,,918,,,,,,,,,,
Painting,checklist,,,,,,919,,,,,,,,,,
Painting,checklist,,,,,,920,,,,,,,,,,
Painting,checklist,,,,,,921,,,,,,,,,,
Painting,checklist,,,,,,922,,,,,,,,,,
Painting,checklist,,,,,,923,,,,,,,,,,
Painting,checklist,,,,,,924,,,,,,,,,,
Painting,checklist,,,,,,925,,,,,,,,,,
,step,,,,,Level 10,,,,,,,,,,,
