"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"6352b649-6754-48f3-a944-d9347c7e490f","","folder-normal","not-started","","step","TRUE","FALSE","Site QA"
"8162d69e-18d3-4676-ae90-fd5c3beb44ba","","checklist-flat","not-started","OSD Tank","checklist-flat","FALSE","FALSE","Site QA","OSD Tank"
"4f0a09ec-ef82-416a-828e-bab1e41a4e03","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 1"
"2c833571-f3aa-4852-8f91-1ea39f4e1629","","checklist-flat","not-started","External Area ITP","checklist-flat","FALSE","FALSE","Site QA","Level 1","Terraces"
"e65be823-7c62-49f7-a1ed-c3bd5adc4e05","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 2"
"c676530f-b269-4e8f-8248-63a26c94344f","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 2","Unit 201"
"0c8723da-2c17-4081-ba31-76619689b396","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 2","Unit 202"
"ef9bbcba-4989-4f0f-827a-91d7aece6f3e","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 2","Unit 203"
"6af188d8-4482-47fa-8f1c-79f51eb25951","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 2","Unit 204"
"77514cfd-027f-49ab-963a-d8439a2c1f01","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 2","Unit 205"
"5cb16c87-a13a-44e5-99cc-7d53c741ea57","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 2","Unit 206"
"36e2f48d-58a7-4834-a813-6ded52c50edb","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 2","Unit 207"
"060ef5bb-85fa-47ab-845e-96606d49bb60","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 2","Unit 208"
"5c53564e-570b-46d0-916c-72a1a49af7f6","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 2","Unit 209"
"995a79aa-3dcb-4078-8f27-a1b532dfefdc","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 2","Unit 210"
"f7eec43b-befd-4165-a7c5-2337e2d03029","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 2","Unit 211"
"ee5cd596-ee23-4d4a-995a-5f4d5cf5a2dd","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 2","Unit 212"
"4bdf5196-40aa-4161-b22b-ce1df3e1146e","","checklist-flat","not-started","External Area ITP","checklist-flat","FALSE","FALSE","Site QA","Level 2","Planter Boxes"
"8c36946f-1926-4f9c-9fb2-9ba643e8057d","","checklist-flat","not-started","External Area ITP","checklist-flat","FALSE","FALSE","Site QA","Level 2","Terraces"
"d55c8719-8097-49cc-b132-f542d811e066","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 3"
"2162e7bb-d60e-432c-bd82-002042615a9e","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 3","Unit 301"
"446c6e09-85f9-49f8-bdb8-7cc8a40048bb","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 3","Unit 302"
"9511d554-7487-4c86-ae85-e16640d44d0e","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 3","Unit 303"
"fb988ce6-b3fb-4b0a-b0f5-fd385d23cbce","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 3","Unit 304"
"d0f11532-49f0-4731-a6e9-08a158ecf70b","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 3","Unit 305"
"2eb0a30c-d6ae-4503-b012-ba42e4da2a0d","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 3","Unit 306"
"18b098f9-c2df-4051-8154-a13cee02d557","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 3","Unit 307"
"b57d52af-09cf-4c3f-8a9b-8968177bcf47","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 3","Unit 308"
"aec01c76-e722-4ffe-a690-1572c963e39e","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 3","Unit 309"
"512bd3a2-dd82-4a7a-8ace-e306576b59a5","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 3","Unit 310"
"6e2569df-766d-4253-a185-4d1388789cdf","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 3","Unit 311"
"9cfcdb61-fc5f-4ff3-b273-bd9a9543c482","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 3","Unit 312"
"0bcfc0e6-a1de-46e8-a52b-47c29c69f829","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 4"
"7f6908e8-89fb-425b-9d66-4ef4d9f4e1f8","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 4","Unit 401"
"3242fa0d-b6a6-4d17-9a40-52c1a24dd4fb","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 4","Unit 402"
"2fe00584-6ea1-45ed-806f-4f65b43e45dd","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 4","Unit 403"
"84ea8f8d-573a-4aca-a13f-a9e08a45c320","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 4","Unit 404"
"89178a45-0deb-474d-a18d-9a850d273f29","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 4","Unit 405"
"e5ad566c-25a5-4e58-8b7c-cfe624c7d1c0","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 4","Unit 406"
"9f1c86cf-50e7-400f-9557-2591d6e99489","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 4","Unit 407"
"8ba08f2c-9bb3-4ba1-a9f2-27c911b68b11","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 4","Unit 408"
"eaeaaab5-1b33-441b-ba11-c626c250a4e7","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 4","Unit 409"
"fe289a85-aef5-475d-9361-586dc684b827","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 4","Unit 410"
"f910c168-75e4-46cb-a68d-d3c01a9dc5ea","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 4","Unit 411"
"d91f921f-aa31-4dab-9401-915f0e7b2f01","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 5"
"4f53f72d-c8df-440d-ab39-f055a7c7d4e1","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 5","Unit 501"
"f7216a14-a23d-4e20-904a-5160d8aec84e","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 5","Unit 502"
"455fce15-4dd5-4b63-9dde-47c0d569b0e2","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 5","Unit 503"
"287b3434-7c3a-48e3-a0d2-2e27fc07cf2b","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 5","Unit 504"
"bfef12fb-830d-4abe-aaa5-4ecdcd47c6d0","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 5","Unit 505"
"9b8dac2a-2fd8-40ca-9dfb-e2eb4b1d9f76","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 5","Unit 506"
"77cb66dc-1091-4152-9529-73fe12e6fed8","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 5","Unit 507"
"b1756790-7c1e-44ec-b786-169c8f7cb5c3","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 5","Unit 508"
"1c5951fe-54fd-4f4a-aa4b-1052f06af164","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 5","Unit 509"
"c63aea9f-4544-49a1-aa3b-b08bc4cce9c7","","checklist-flat","not-started","Internal Liquid Waterproofing ITP","checklist-flat","FALSE","FALSE","Site QA","Level 5","Unit 510"
"57186239-d7cc-4d3c-a133-75f3e2e34f91","","checklist-flat","not-started","Roof Tops & Exposed Areas","checklist-flat","FALSE","FALSE","Site QA","Roof Top"
