"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"3ed6052e-8507-4755-91ca-e9fe7a3b391d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Stage 2 - THB 01"
"475912bc-dbb4-4554-a314-3d6862ed0430","","folder-normal","pass","","step","TRUE","FALSE","Stage 2 - THB 01","Project Build QA"
"b07dee81-c6d4-46c8-8e7c-13157155593f","","folder-normal","pass","","step","TRUE","FALSE","Stage 2 - THB 01","Project Build QA","TH 01"
"b6052377-a8e2-49d3-a80a-046ecc727c50","","checklist-flat","pass","QA - Timber - Framing (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 01","Project Build QA","TH 01","Timber Framing"
"55d606b9-c0ea-451d-83b0-6fd267003e48","","checklist-flat","pass","QA - Trusses (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 01","Project Build QA","TH 01","Trusses"
"e27016f2-de9e-4a8a-8068-620e5ef8d6bd","","checklist-flat","pass","QA - External Envelope (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 01","Project Build QA","TH 01","External Envelope"
"eb600487-95b6-418a-b35b-90e14bfebc11","","checklist-flat","pass","QA - Windows & Sliders (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 01","Project Build QA","TH 01","Windows & Sliders"
"22f2a5b0-7486-4818-8409-53454c8545cb","","checklist-flat","pass","QA -  Skirting and Architrave (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 01","Project Build QA","TH 01","Skirting and Architrave"
"5444a78f-e3f4-4f1f-b809-5db8215f1b68","","checklist-flat","pass","QA - Hardware Installation - First fix preparation (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 01","Project Build QA","TH 01","Hardware Installation - First fix preparation"
"157eeae9-cb48-4e4d-8a4c-b7c93fb4c52d","","checklist-flat","pass","QA - Internal Doors (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 01","Project Build QA","TH 01","Internal Doors"
"0d3040ab-3872-41af-8d5e-b80f7d12d947","","checklist-flat","pass","QA - Handrails  (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 01","Project Build QA","TH 01","Handrails"
"cfc202d0-81e7-4f72-97db-359659f36e38","","checklist-flat","pass","QA - Bathroom Checks (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 01","Project Build QA","TH 01","Bathroom Checks"
"2d2fea26-80c9-4e38-9c74-9e5bfa52af0c","","checklist-flat","pass","QA - Flat Roofs & Gutter (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 01","Project Build QA","TH 01","Flat Roofs & Gutter"
"ab383eec-51b7-4a11-83ed-287479c9502d","","folder-normal","pass","","step","TRUE","FALSE","Stage 2 - THB 01","Project Build QA","TH 02"
"9a48c980-2f65-419a-b51a-90b0aa239f78","","checklist-flat","pass","QA - Timber - Framing (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 01","Project Build QA","TH 02","Timber Framing"
"39c4812f-bdd3-4ceb-8375-f950d5971f72","","checklist-flat","pass","QA - Trusses (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 01","Project Build QA","TH 02","Trusses"
"45777f73-5922-4ef0-a07c-f8573a58df74","","checklist-flat","pass","QA - External Envelope (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 01","Project Build QA","TH 02","External Envelope"
"734c9468-e815-41cd-a78c-84511e738b6a","","checklist-flat","pass","QA - Windows & Sliders (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 01","Project Build QA","TH 02","Windows & Sliders"
"0a9936f8-487d-47f6-9196-7e391d4325b1","","checklist-flat","pass","QA -  Skirting and Architrave (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 01","Project Build QA","TH 02","Skirting and Architrave"
"0cc56c94-51fc-474c-83bf-f94c11754bea","","checklist-flat","pass","QA - Hardware Installation - First fix preparation (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 01","Project Build QA","TH 02","Hardware Installation - First fix preparation"
"3538ff47-d345-4988-96e7-6fae4493a2a8","","checklist-flat","pass","QA - Internal Doors (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 01","Project Build QA","TH 02","Internal Doors"
"80989fb4-6b5a-40e5-b365-42f9d9b80f58","","checklist-flat","pass","QA - Handrails  (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 01","Project Build QA","TH 02","Handrails"
"f7cbd958-e9fa-40ed-b599-c27ad42c6272","","checklist-flat","pass","QA - Bathroom Checks (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 01","Project Build QA","TH 02","Bathroom Checks"
"46f81ef9-8f5d-4c64-a3eb-8d628c2011cd","","checklist-flat","pass","QA - Flat Roofs & Gutter (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 01","Project Build QA","TH 02","Flat Roofs & Gutter"
"81bae0f6-4105-4fac-8722-722ba91da547","","checklist-flat","not-started","Compliance Documentation (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 01","Compliance Documentation"
"e2f616d2-4617-416c-8eeb-3a39f3557684","","folder-normal","pass","","step","TRUE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12"
"10f644b3-a601-46f1-9977-ed217396d183","","checklist-sectioned","pass","9bf1b3c1259c1701f1818e8019030a4ba45d20eaf87e511f2ca9afb9ce13adc1","checklist","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Pre-Commencement Checks"
"f9407ebb-7f08-41aa-9779-e2cead9c9a9a","","folder-normal","pass","","step","TRUE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA"
"059aaef0-7bd0-4f40-b6f6-9989c0867717","","folder-normal","pass","","step","TRUE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 02"
"fcd9ac3b-bb94-48a8-b9de-7abd1ae50321","","folder-normal","pass","","step","TRUE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 02","TH 03"
"d348d2bb-6bbd-4939-bd8f-2aa76976335c","","checklist-flat","pass","QA -  Skirting and Architrave (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 02","TH 05","Skirting and Architrave"
"ea1e522f-13b6-4534-9638-90c488f36727","","checklist-flat","pass","QA - Hardware Installation - First fix preparation (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 02","TH 05","Hardware Installation - First fix preparation"
"6ae88c4a-0e77-4c88-9d04-0829581d73d1","","checklist-flat","pass","QA - Internal Doors (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 02","TH 05","Internal Doors"
"0cd779aa-32fb-44f0-9eb1-35708f440728","","checklist-flat","pass","27a2101523c43b27560e3bc490e6d5ad6ae8343bcd5693ecbabe3843281e4ee2","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 02","TH 05","Handrails"
"119b7994-b562-481b-b4dc-644faaddae46","","checklist-flat","pass","QA - Bathroom Checks (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 02","TH 05","Bathroom Checks"
"b5c04c2c-85df-44c4-9b77-f0aa169c1cda","","folder-normal","pass","","step","TRUE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 02","TH 06"
"f7ab78f5-8eb1-4868-b30b-2798f2ca43d1","","checklist-flat","pass","QA - Timber - Framing (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 02","TH 06","Timber Framing"
"45e8311c-199f-41a2-aa84-29aafb16ea6f","","checklist-flat","pass","QA - Trusses (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 02","TH 06","Trusses"
"32e13b86-35ba-48b6-b86a-282c0a31d5ae","","checklist-flat","pass","QA - External Envelope (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 02","TH 06","External Envelope"
"7c0cc82c-4df8-46ac-83dc-1c58b96a1cde","","checklist-flat","pass","QA - Windows & Sliders (V2)","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 02","TH 06","Windows & Sliders"
"71cbebe6-58b1-405f-a2a2-2759bb4ebbf2","","checklist-flat","pass","QA -  Skirting and Architrave (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 02","TH 06","Skirting and Architrave"
"3b7471d7-0239-4ce2-a350-d7eb6e08727a","","checklist-flat","pass","QA - Hardware Installation - First fix preparation (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 02","TH 06","Hardware Installation - First fix preparation"
"c80e155c-a024-42b6-8494-638532659b8b","","checklist-flat","pass","QA - Internal Doors (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 02","TH 06","Internal Doors"
"0e2b747a-9b8e-4bb0-a021-1dc820fb3559","","checklist-flat","pass","27a2101523c43b27560e3bc490e6d5ad6ae8343bcd5693ecbabe3843281e4ee2","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 02","TH 06","Handrails"
"fbc35d7a-724f-4749-a828-8ab1fc69a2d6","","checklist-flat","pass","QA - Bathroom Checks (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 02","TH 06","Bathroom Checks"
"5fbc6c0e-7486-4ebb-8e92-bbfdb4c9a303","","folder-normal","pass","","step","TRUE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 03"
"bc1a6fb4-d8e8-4a10-a6a1-68f1e18047db","","folder-normal","pass","","step","TRUE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 03","TH 07"
"eadcc370-8355-4a88-b50b-c1122e83cd85","","checklist-flat","pass","QA - Timber - Framing (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 03","TH 07","Timber Framing"
"05df665f-1537-449d-bfc8-e665294f8374","","checklist-flat","pass","QA - Trusses (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 03","TH 07","Trusses"
"9af0837d-5d16-4a64-a55c-19711bb085c5","","checklist-flat","pass","QA - External Envelope (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 03","TH 07","External Envelope"
"5186fd1b-ec48-4491-a74f-b7e2d60aa29a","","checklist-flat","pass","QA - Windows & Sliders (V2)","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 03","TH 07","Windows & Sliders"
"368f44a4-5486-44c9-88a7-0dce8b3a3f98","","checklist-flat","pass","QA -  Skirting and Architrave (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 03","TH 07","Skirting and Architrave"
"5169a420-0179-46dd-9045-d21ec78cb4f4","","checklist-flat","pass","QA - Hardware Installation - First fix preparation (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 03","TH 07","Hardware Installation - First fix preparation"
"926c5e3e-4221-440a-ae01-400359700d9f","","checklist-flat","pass","QA - Internal Doors (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 03","TH 07","Internal Doors"
"7c91f20a-308f-474d-9ebe-76d93b8ab1ac","","checklist-flat","pass","27a2101523c43b27560e3bc490e6d5ad6ae8343bcd5693ecbabe3843281e4ee2","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 03","TH 07","Handrails"
"b57e6a1a-8e17-4855-bba9-e0370dc4f0cb","","checklist-flat","pass","QA - Bathroom Checks (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 03","TH 07","Bathroom Checks"
"a8dd6e70-2ee7-4cfb-ab89-ad750b10015c","","folder-normal","pass","","step","TRUE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 03","TH 08"
"fdabd66a-d54a-4312-be60-dc47a0c1d93c","","checklist-flat","pass","QA - Timber - Framing (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 03","TH 08","Timber Framing"
"19d63a8f-8eb6-422a-bd48-ac8bec31d8b0","","checklist-flat","pass","QA - Trusses (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 03","TH 08","Trusses"
"6e7b421c-0c52-4c4a-a8da-7058deeb3082","","checklist-flat","pass","QA - External Envelope (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 03","TH 08","External Envelope"
"5c3a183f-c410-4dc0-a252-5ee3e42360f3","","checklist-flat","pass","QA - Windows & Sliders (V2)","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 03","TH 08","Windows & Sliders"
"3d7aa6a0-a877-4e7a-b17e-8509609af2b4","","checklist-flat","pass","QA -  Skirting and Architrave (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 03","TH 08","Skirting and Architrave"
"022d092d-39d4-4d35-b877-f504f613f07f","","checklist-flat","pass","QA - Hardware Installation - First fix preparation (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 03","TH 08","Hardware Installation - First fix preparation"
"dfd8237f-8780-451e-a47c-78005fa79d1b","","checklist-flat","pass","QA - Internal Doors (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 03","TH 08","Internal Doors"
"4b429b00-f848-4a9f-8ecb-ea52f92230ac","","checklist-flat","pass","27a2101523c43b27560e3bc490e6d5ad6ae8343bcd5693ecbabe3843281e4ee2","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 03","TH 08","Handrails"
"10a5ee00-4c2d-4b99-a3c1-62b428a71ee6","","checklist-flat","pass","QA - Bathroom Checks (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 03","TH 08","Bathroom Checks"
"79bf62fa-dd8a-44db-bfc5-9eacf68f1ae7","","folder-normal","pass","","step","TRUE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 03","TH 09"
"83a14208-f2a3-4140-b7bd-33e2dc8dc6bd","","checklist-flat","pass","QA - Timber - Framing (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 03","TH 09","Timber Framing"
"a929fe32-8e6a-471f-b615-9765c485530e","","checklist-flat","pass","QA - Trusses (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 03","TH 09","Trusses"
