type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,,
label,Method - Visual Inspection & Delivery Docket,,,,,,,,,,,,,,,,,
label,Frequency - Each load,,,,,,,,,,,,,,,,,
label,Category - WP,,,,,,,,,,,,,,,,,
label,Responsibility - Asphalt Foreman,,,,,,,,,,,,,,,,,
label,Verifying Documents - Completed ITP,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,
checkpoint,3.4 - Traceability ,,,,,,,,,,,,,,,,,
label,Reference - Fulton Hogan Quality Plan,,,,,,,,,,,,,,,,,
label,"Acceptance Criteria - Ability to locate asphalt test results placed in three dimensions i.e. start/end chainage, offset/lane and layer",,,,,,,,,,,,,,,,,
label,Method - Measure and Record on Daily Lot Record,,,,,,,,,,,,,,,,,
label,Frequency - Each lot,,,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,,,
label,Responsibility - Fulton Hogan Foreman/ Engineer,,,,,,,,,,,,,,,,,
label,Verifying Documents - Completed ITP,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,
checkpoint,3.5 - Layer Thickness and Level Control,,,,,,,,,,,,,,,,,
label,"Reference - Pavement Design Details 407.25(a),(b)",,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Thickness of asphalt layer conforms to asphalt thickness on drawings or specifications,,,,,,,,,,,,,,,,,
label,Method - Dips using ruler or dip stick,,,,,,,,,,,,,,,,,
label,Frequency - Regularly during paving,,,,,,,,,,,,,,,,,
label,Category - WP,,,,,,,,,,,,,,,,,
label,Responsibility - Asphalt Foreman,,,,,,,,,,,,,,,,,
label,Verifying Documents - Completed ITP,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,
checkpoint,3.6 - Spreading and Paver Stoppages,,,,,,,,,,,,,,,,,
label,Reference - 407.25 (c),,,,,,,,,,,,,,,,,
label,"Acceptance Criteria - All asphalt shall be spread with a purpose designed asphalt paving machine to form a uniformly smooth asphalt mat complying with the requirements of Clause 407.29 without segregation, tearing or gouging. In areas that are not accessible by a paver placement of asphalt by other means is permitted.",,,,,,,,,,,,,,,,,
label,○ The width of a single paving run shall not exceed 6 metres unless paving in echelon is proposed or procedures are in place to ensure that a uniform asphalt layer free of segregation can be achieved.,,,,,,,,,,,,,,,,,
label,○ The Contractor shall conduct spreading operations to ensure that the paver speed matches the rate of supply so that stoppages are minimised.,,,,,,,,,,,,,,,,,
label,"○ If the paver is required to stop and asphalt in front of the screed cools to below 120C, a transverse joint shall be constructed.",,,,,,,,,,,,,,,,,
label,"○ For asphalt work carried out on a road to be opened for traffic at the completion of work each day, each layer of asphalt shall cover the full width of the trafficked area.  The requirements of Clause 407.21(f) shall be followed in respect of the treatment required for exposed edges.",,,,,,,,,,,,,,,,,
label,Method - Thermometer,,,,,,,,,,,,,,,,,
label,Frequency - If paver stops,,,,,,,,,,,,,,,,,
label,Category - WP,,,,,,,,,,,,,,,,,
label,Responsibility - Asphalt Foreman,,,,,,,,,,,,,,,,,
label,Verifying Documents - Completed ITP,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,
checkpoint,3.7 - Surface Finish of Wearing Course,,,,,,,,,,,,,,,,,
label,Reference - 407.29 (a) (i),,,,,,,,,,,,,,,,,
label,"Acceptance Criteria - The finished surface of asphalt wearing course shall be of uniform appearance, free of dragged areas, cracks, open textured  patches and roller marks",,,,,,,,,,,,,,,,,
label,Method - Visual Inspection,,,,,,,,,,,,,,,,,
label,Frequency - During paving and after final roll,,,,,,,,,,,,,,,,,
label,Category - WP,,,,,,,,,,,,,,,,,
label,Responsibility - Asphalt Foreman,,,,,,,,,,,,,,,,,
label,Verifying Documents - Completed ITP,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,
checkpoint,3.8 - Kerb and Channel,,,,,,,,,,,,,,,,,
label,Reference - 407.29 (a)(ii),,,,,,,,,,,,,,,,,
label,Acceptance Criteria - The edge of the wearing course shall be either flush with or not more than 5 mm above the lip of the channel unless otherwise specified,,,,,,,,,,,,,,,,,
label,Method - Visual Inspection & Measurement,,,,,,,,,,,,,,,,,
label,Frequency - During paving and after final roll,,,,,,,,,,,,,,,,,
label,Category - WP,,,,,,,,,,,,,,,,,
label,Responsibility - Asphalt Foreman,,,,,,,,,,,,,,,,,
label,Verifying Documents - Completed ITP,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,
checkpoint,3.9 - Shape,,,,,,,,,,,,,,,,,
label,Reference - 407.29 (a)(iii),,,,,,,,,,,,,,,,,
label,"Acceptance Criteria - No point on the finished surface of the wearing course shall lie more than 4 mm below a 3 m straight edge laid either parallel to the centreline of the pavement or, except on crowned sections, at right angles to the centreline.  For intermediate and base course layers, the distance below the straight edge shall not exceed 6 mm and 10 mm respectively.",,,,,,,,,,,,,,,,,
label,Method - Visual Inspection & Measurement,,,,,,,,,,,,,,,,,
label,Frequency - During paving and after final roll,,,,,,,,,,,,,,,,,
label,Category - WP,,,,,,,,,,,,,,,,,
label,Responsibility - Asphalt Foreman,,,,,,,,,,,,,,,,,
label,Verifying Documents - Completed ITP,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,
checkpoint,3.10 - Alignment ,,,,,,,,,,,,,,,,,
label,Reference - 407.29 (a)(iv),,,,,,,,,,,,,,,,,
label,"Acceptance Criteria - Where asphalt pavement is not placed against a concrete edging, the edge of asphalt layers shall not be more than 50 mm inside nor more than 100 mm outside, the designed offset from centreline or design line.  Within these tolerances, the rate of change of offset of the edge of layer shall not be greater than 25 mm in 10 m.",,,,,,,,,,,,,,,,,
label,Method - Visual Inspection & Measurement,,,,,,,,,,,,,,,,,
label,Frequency - During paving and after final roll,,,,,,,,,,,,,,,,,
label,Category - WP,,,,,,,,,,,,,,,,,
label,Responsibility - Asphalt Foreman,,,,,,,,,,,,,,,,,
label,Verifying Documents - Completed ITP,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,
checkpoint,3.11 - Width,,,,,,,,,,,,,,,,,
label,Reference - 407.29 (a)(v),,,,,,,,,,,,,,,,,
label,"Acceptance Criteria - Where asphalt pavement is not placed against a concrete edging, the width of asphalt layers shall not be less than the design or specified width of layer by more than 50 mm or greater than the design or specified width by more than 100 mm.  The average width over any 300 m shall not be less than the design or specified width.",,,,,,,,,,,,,,,,,
label,Method - Visual Inspection & Measurement,,,,,,,,,,,,,,,,,
label,Frequency - During paving and after final roll,,,,,,,,,,,,,,,,,
label,Category - WP,,,,,,,,,,,,,,,,,
label,Responsibility - Asphalt Foreman,,,,,,,,,,,,,,,,,
label,Verifying Documents - Completed ITP,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,
checkpoint,3.12 - Trafficking pavement after placment,,,,,,,,,,,,,,,,,
label,"Reference - 407.28, 404.14",,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Trafficking or placement of asphalt over previously constructed layers is not permitted unless the majority of the previously constructed asphalt has a surface temperature of 50°C or less and Falling.,,,,,,,,,,,,,,,,,
label,Method - Visual Inspection & Thermometert,,,,,,,,,,,,,,,,,
label,Frequency - After final Roll,,,,,,,,,,,,,,,,,
label,Category - HP,,,,,,,,,,,,,,,,,
label,Responsibility - Asphalt Foreman,,,,,,,,,,,,,,,,,
label,Verifying Documents - Completed ITP,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,
section,4. Testing,,,,,,,,,,,,,,,,,
checkpoint,4.1 - Compaction Testing (Open Graded Apshalt),,,,,,,,,,,,,,,,,
label,Reference - 417.12,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Accpetance of compaction shall be on a procedural basis,,,,,,,,,,,,,,,,,
label,Method - OGA/SMA Compaction Procedure,,,,,,,,,,,,,,,,,
label,Frequency - Per lot,,,,,,,,,,,,,,,,,
label,Category - TP,,,,,,,,,,,,,,,,,
label,Responsibility - Fulton Hogan Laboratory Technician,,,,,,,,,,,,,,,,,
label,Verifying Documents - Completed ITP,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,
checkpoint,4.2 - Compaction Testing (Stone Mastic Apshalt),,,,,,,,,,,,,,,,,
label,"Reference - 404.15, 404.14 OGA/SMA Compaction Procedure",,,,,,,,,,,,,,,,,
label,"Acceptance Criteria - Per lot, the Characteristic Density Ratio must meet the minimum limit of 96.0%",,,,,,,,,,,,,,,,,
label,"○ For layers thinner than 25mm, accpetance may be on a procedural basis",,,,,,,,,,,,,,,,,
label,"Method - Nuclear Density Test, OGA/SMA Compaction Procedure",,,,,,,,,,,,,,,,,
label,Frequency - Per lot,,,,,,,,,,,,,,,,,
label,Category - TP,,,,,,,,,,,,,,,,,
label,Responsibility - Fulton Hogan Laboratory Technician,,,,,,,,,,,,,,,,,
label,"Verifying Documents - Completed ITP, Compaction reports",,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,
checkpoint,4.3 - Compaction Testing (Dense Graded Apshalt),,,,,,,,,,,,,,,,,
label,"Reference - Section 407.27(a),(c.) 407, Section 173, Dense Graded Compaction Procedure",,,,,,,,,,,,,,,,,
label,"Acceptance Criteria - Test Lots >500m2, Per lot, the Characteristic Density Ratio must meet the following Minimum Limits:",,,,,,,,,,,,,,,,,
label,>50mm layer depth = 96.0%,,,,,,,,,,,,,,,,,
label,<50mm layer depth = 95.0%,,,,,,,,,,,,,,,,,
label,○ Additional Test must be undertaken on the longitudinal joints for wearing courses,,,,,,,,,,,,,,,,,
label,"○ Test Lots 50m2-500m2, may be treated as a small area,in which the mean of 3x test sites must exceed the appropriate compaction requirement by 2.0%",,,,,,,,,,,,,,,,,
label,"○ Test Lots <50m2, compaction for all lots shall be accepted on a procedural basis",,,,,,,,,,,,,,,,,
label,"○ Mix Types where total contract supply <300t, compaction for all lots shall be accepted on a procedural basis",,,,,,,,,,,,,,,,,
label,"Method - Nuclear Density Test, DGA Compaction Procedure",,,,,,,,,,,,,,,,,
label,Frequency - Per Lot,,,,,,,,,,,,,,,,,
label,Category - TP,,,,,,,,,,,,,,,,,
label,"Responsibility - Fulton Hogan Laboratory Technician, Asphalt Foreman / Engineer",,,,,,,,,,,,,,,,,
label,"Verifying Documents - Completed ITP, Compaction rerports",,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,
checkpoint,4.4 - Level Conformance,,,,,,,,,,,,,,,,,
label,"Reference - 407.30, 407.29",,,,,,,,,,,,,,,,,
label,"Acceptance Criteria - The mean surface level and the variation in surface level for the base, intermediate and wearing courses within each lot shall meet the requirements as specified in 407.30 (b)",,,,,,,,,,,,,,,,,
label,Method - Survey Results,,,,,,,,,,,,,,,,,
label,Frequency - Each Lot,,,,,,,,,,,,,,,,,
label,Category - WP,,,,,,,,,,,,,,,,,
label,Responsibility - Surveyor,,,,,,,,,,,,,,,,,
label,"Verifying Documents - Completed ITP, Survey Conformance Results",,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,
checkpoint,Final Inspection,,,,,,,,,,,,,,,,,
label,"On behalf of Metropolitan Roads Program Alliance, it is hereby certified that the Works represented by the item of work listed have been tested in accordance with the Project Quality Plan and conform in all respects with the requirements of the Contract.",,,,,,,,,,,,,,,,,
text,Name:,,,,,,,,,,,,,,,,,
text,Position:,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,
holdpoint,Sign ITP,,,,,,,,,,,,,,,,,
