"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9cfacfed-d8cc-4ccf-a506-bca445eff534","","folder-normal","work-in-progress","","step","TRUE","FALSE","Nellie Melba "
"5a2ad7f2-81be-4795-8208-088aeddfda3e","","checklist-flat","pass","Main Building & Townhouse Spiderproofing","checklist-flat","FALSE","FALSE","Nellie Melba ","Spider Control  1A & B, 2A, B, C, 3"
"8c9a77d5-27ce-503c-8d58-483b15585d1d","","checkpoint-status","pass","","","TRUE","TRUE","Nellie Melba ","Australian Window Cleaning - sign off - 1A & B, 2A, B, C, 3","Euroclad Representative to sign off that cleaning completed"
"11db3a77-940c-539f-b4ea-5d8a87364fa4","","checkpoint-status","pass","","","TRUE","TRUE","Nellie Melba ","Australian Window Cleaning - sign off - 1A & B, 2A, B, C, 3","Ryman Representative to sign off that cleaning completed"
"dceb09da-05a4-4587-93a0-55dfaf441001","","checklist-flat","not-started","Australian Window Cleaning - Sign Off","checklist-flat","FALSE","FALSE","Nellie Melba ","Washdown - sign off - 1A & B, 2A, B, C, 3"
"f6681ea2-45f8-5d46-8f09-725ee5ab76c6","","checkpoint-status","not-started","","","TRUE","TRUE","Nellie Melba ","Washdown - sign off - 1A & B, 2A, B, C, 3","Euroclad Representative to sign off that cleaning completed"
"34fcd08f-0caf-560b-8de0-f1b5463fbaaa","","checkpoint-status","not-started","","","TRUE","TRUE","Nellie Melba ","Washdown - sign off - 1A & B, 2A, B, C, 3","Ryman Representative to sign off that cleaning completed"
"17176277-683b-4af3-93b7-05d0a9547170","","checklist-flat","not-started","Main Building & Townhouse Spiderproofing","checklist-flat","FALSE","FALSE","Nellie Melba ","Spider Control 1A & B, 2A, B, C, 3  - 2"
"623f688a-c56c-5250-9042-79865a06c98c","","checkpoint-status","not-started","","","TRUE","TRUE","Nellie Melba ","Spider Control 1A & B, 2A, B, C, 3  - 2","Scope area & notes"
"6ab7b37a-dfdc-51e1-844a-e3dac3b2fa0c","","checkpoint-status","not-started","","","TRUE","TRUE","Nellie Melba ","Spider Control 1A & B, 2A, B, C, 3  - 2","Continuous application of the spiderproofing product by Sprayer to the areas as described"
"ddf60a2b-8617-42db-a83b-e1aa0bdd9a41","","checklist-flat","not-started","Main Building & Townhouse Spiderproofing","checklist-flat","FALSE","FALSE","Nellie Melba ","Spider Control - 1A & B, 2A, B, C, 3  - 3"
"b25df256-13f9-5de7-a414-b547f9d54648","","checkpoint-status","not-started","","","TRUE","TRUE","Nellie Melba ","Spider Control - 1A & B, 2A, B, C, 3  - 3","Scope area & notes"
"65496cd2-d1d5-5a4f-8a91-97abc733c9ea","","checkpoint-status","not-started","","","TRUE","TRUE","Nellie Melba ","Spider Control - 1A & B, 2A, B, C, 3  - 3","Continuous application of the spiderproofing product by Sprayer to the areas as described"
"f6247837-f6d7-42a2-a903-fe969bb0f1d4","","checklist-flat","not-started","Main Building & Townhouse Spiderproofing","checklist-flat","FALSE","FALSE","Nellie Melba ","Spider Control  1A & B, 2A, B, C, 3 - 4"
"002f4a62-b3bf-5b99-999b-ff56aee67635","","checkpoint-status","not-started","","","TRUE","TRUE","Nellie Melba ","Spider Control  1A & B, 2A, B, C, 3 - 4","Scope area & notes"
"018fb2d1-3360-588c-b2a9-5786d01bf361","","checkpoint-status","not-started","","","TRUE","TRUE","Nellie Melba ","Spider Control  1A & B, 2A, B, C, 3 - 4","Continuous application of the spiderproofing product by Sprayer to the areas as described"
"e12a476e-9a9d-4e84-8ac1-9b763dfff1a3","","checklist-flat","not-started","Path Treatments & Lamp Cleaning","checklist-flat","FALSE","FALSE","Nellie Melba ","Path Treatments & Lamp Cleaning - 2"
"812908ce-743e-5fa1-a758-515c50cdfa6c","","checkpoint-status","not-started","","","TRUE","TRUE","Nellie Melba ","Path Treatments & Lamp Cleaning - 2","Scope area & notes"
"ed2da1c9-d182-5e97-bf6d-721e374986e0","","checkpoint-status","not-started","","","TRUE","TRUE","Nellie Melba ","Path Treatments & Lamp Cleaning - 2","Paths should be fully cover with the Wet and Leave Product"
"c97edee7-f556-5c7d-b299-2b726357c524","","checkpoint-status","not-started","","","TRUE","TRUE","Nellie Melba ","Path Treatments & Lamp Cleaning - 2","Lamps cleaned with a wet broom to remove spider webs and dirt"
"08d2e932-1c1b-4864-b2f3-3a97e2af9915","","checklist-flat","not-started","Main Building Gutter Debris Removal","checklist-flat","FALSE","FALSE","Nellie Melba "," Guttering On All Buildings-  1A & B, 2A, B, C, 3 - 2"
"5aa4d8ca-73b6-51e8-acbc-a5c393829d18","","checkpoint-status","not-started","","","TRUE","TRUE","Nellie Melba "," Guttering On All Buildings-  1A & B, 2A, B, C, 3 - 2","Scope area & notes"
"3770795b-4027-508a-ae50-fc1be69efdac","","checkpoint-status","not-started","","","TRUE","TRUE","Nellie Melba "," Guttering On All Buildings-  1A & B, 2A, B, C, 3 - 2","Post completion the gutters should be clear and free of all loose material  i.e grass, leaves, and other debris."
"9d1449dc-e9ae-53c3-a844-a81db8eb7af1","","checkpoint-status","not-started","","","TRUE","TRUE","Nellie Melba "," Guttering On All Buildings-  1A & B, 2A, B, C, 3 - 2","Wet dirt may remain in gutters with inadequate fall."
"66729813-fa22-5366-aca8-4fc9f0ac58e4","","checkpoint-status","not-started","","","TRUE","TRUE","Nellie Melba "," Guttering On All Buildings-  1A & B, 2A, B, C, 3 - 2","Gutters sections with leaf guards cannot be cleared, and water may be used in these areas"
"a256a5d7-60d4-4961-a73a-400baab768ca","","checklist-flat","not-started","Main Building Gutter Debris Removal","checklist-flat","FALSE","FALSE","Nellie Melba ","Guttering On All Buildings - 1A & B, 2A, B, C, 3 - 1"
"45cce6a1-0abe-5c5f-92f6-bde04f8883fd","","checkpoint-status","not-started","","","TRUE","TRUE","Nellie Melba ","Guttering On All Buildings - 1A & B, 2A, B, C, 3 - 1","Scope area & notes"
"61cf671b-bd3c-539b-872c-6a6a1b94b126","","checkpoint-status","not-started","","","TRUE","TRUE","Nellie Melba ","Guttering On All Buildings - 1A & B, 2A, B, C, 3 - 1","Post completion the gutters should be clear and free of all loose material  i.e grass, leaves, and other debris."
"3dbdaca3-5dd5-59f9-8bf6-10ac90982e06","","checkpoint-status","not-started","","","TRUE","TRUE","Nellie Melba ","Guttering On All Buildings - 1A & B, 2A, B, C, 3 - 1","Wet dirt may remain in gutters with inadequate fall."
"9f80d173-46e1-5465-a77f-6ae074d049d3","","checkpoint-status","not-started","","","TRUE","TRUE","Nellie Melba ","Guttering On All Buildings - 1A & B, 2A, B, C, 3 - 1","Gutters sections with leaf guards cannot be cleared, and water may be used in these areas"
"f4301cba-c722-4e2e-9251-e769ca8e2409","","checklist-flat","not-started","Exterior Inspections - Brickwork","checklist-flat","FALSE","FALSE","Nellie Melba ","Exterior Inspections - Brickwork"
"44df4f17-6ae7-5349-a18f-bb9729c74987","","checkpoint-status","not-started","","","TRUE","TRUE","Nellie Melba ","Exterior Inspections - Brickwork","Is the brickwork clean"
"e72011af-988a-5e73-b971-d918c293fecd","","checkpoint-status","not-started","","","TRUE","TRUE","Nellie Melba ","Exterior Inspections - Brickwork","Is there step Cracking to brickwork"
"22150465-886d-5df4-a0bc-92fc083203aa","","checkpoint-status","not-started","","","TRUE","TRUE","Nellie Melba ","Exterior Inspections - Brickwork","Is there any whitening to the brickwork"
"ba022b36-f9c1-54f2-b80c-f352015bcf2b","","checkpoint-status","not-started","","","TRUE","TRUE","Nellie Melba ","Exterior Inspections - Brickwork","Gutter, fascia, and Fascia Faces Clean"
"e013bd38-6b80-433b-a31e-951f57c0c701","","checklist-flat","not-started","Exterior Inspections - Plaster Finish","checklist-flat","FALSE","FALSE","Nellie Melba ","Exterior Inspections - Plaster Finish"
"a3b7d76d-9a62-5689-b525-4d6f3a852ae3","","checkpoint-status","not-started","","","TRUE","TRUE","Nellie Melba ","Exterior Inspections - Plaster Finish","Is the Plaster clean"
"ce9c29cb-09a4-5bbe-9c54-3bf98ed38734","","checkpoint-status","not-started","","","TRUE","TRUE","Nellie Melba ","Exterior Inspections - Plaster Finish","Are there any cracks to the Plaster"
"08f25b2b-1cb4-5547-9ccd-37a0d1ace177","","checkpoint-status","not-started","","","TRUE","TRUE","Nellie Melba ","Exterior Inspections - Plaster Finish","Is there any separation to Soffits or Windows Jamb lines"
"11c46b3b-ffc2-5a32-bb75-5411163d73e9","","checkpoint-status","not-started","","","TRUE","TRUE","Nellie Melba ","Exterior Inspections - Plaster Finish","Paint Condition"
"3a6995f1-71a4-51b6-b9d7-3e17f8a4c65c","","checkpoint-status","not-started","","","TRUE","TRUE","Nellie Melba ","Exterior Inspections - Plaster Finish","Gutter, fascia, and Fascia Faces Clean"
"16879032-26cc-4408-a480-e4257735882d","","checklist-flat","not-started","Exterior Inspections - Roof","checklist-flat","FALSE","FALSE","Nellie Melba ","Exterior Inspections - Roof"
"a5c10ef2-63ab-5fa9-b3ab-7953915f4d30","","checkpoint-status","not-started","","","TRUE","TRUE","Nellie Melba ","Exterior Inspections - Roof","Is the roof clear of Lichen, moss and Mould"
"b1640eb2-e7a4-5849-a6f8-44e7fda89a4a","","checkpoint-status","not-started","","","TRUE","TRUE","Nellie Melba ","Exterior Inspections - Roof","Are there any cracked Roof tiles, or loose parging, hip tiles"
"c8ed97d5-58ea-40c5-95c7-e2e55430dc83","","checklist-flat","not-started","Exterior Inspections - Common Areas","checklist-flat","FALSE","FALSE","Nellie Melba ","Exterior Inspections - Common Areas"
"336bab47-d173-5aa3-8d81-c983f88cd8b4","","checkpoint-status","not-started","","","TRUE","TRUE","Nellie Melba ","Exterior Inspections - Common Areas","Paths and Patios are clear of moss and mould"
"9ee6364c-6875-5887-a01e-82dc2282a246","","checkpoint-status","not-started","","","TRUE","TRUE","Nellie Melba ","Exterior Inspections - Common Areas","Effectiveness of spiderproofing"
"8eb88c84-0bfb-4a54-98d5-5a35fe0e77aa","","folder-normal","not-started","","step","TRUE","FALSE","Weary Dunlop"
"4c66897f-b2f6-49ae-81fc-ea829b83f6af","","checklist-flat","not-started","Main Building & Townhouse Spiderproofing","checklist-flat","FALSE","FALSE","Weary Dunlop","Spider Control "
"d9303b40-faf5-5a4f-ba3d-d3e3e63710eb","","checkpoint-status","not-started","","","TRUE","TRUE","Weary Dunlop","Spider Control ","Scope area & notes"
"87a98d85-695a-53a0-b271-b350663273dc","","checkpoint-status","not-started","","","TRUE","TRUE","Weary Dunlop","Spider Control ","Continuous application of the spiderproofing product by Sprayer to the areas as described"
"9dcee237-1bb1-438c-9785-01256b61b82d","","checklist-flat","not-started","Main Building Gutter Debris Removal","checklist-flat","FALSE","FALSE","Weary Dunlop","Guttering On All Buildings"
"c6f87e77-4f39-52ee-af64-4b0f482a42c3","","checkpoint-status","not-started","","","TRUE","TRUE","Weary Dunlop","Guttering On All Buildings","Scope area & notes"
"923009b5-00b5-5de1-92b2-507ac46f4306","","checkpoint-status","not-started","","","TRUE","TRUE","Weary Dunlop","Guttering On All Buildings","Post completion the gutters should be clear and free of all loose material  i.e grass, leaves, and other debris."
"054877d6-3af7-58d6-bc3f-0085818b04ce","","checkpoint-status","not-started","","","TRUE","TRUE","Weary Dunlop","Guttering On All Buildings","Wet dirt may remain in gutters with inadequate fall."
"d9380122-44f1-5f7a-9071-75e4e1e78116","","checkpoint-status","not-started","","","TRUE","TRUE","Weary Dunlop","Guttering On All Buildings","Gutters sections with leaf guards cannot be cleared, and water may be used in these areas"
"5308d491-afd8-465f-bdb8-c1bc9e6dc9ae","","checklist-flat","not-started","Main Building Brickwork Washdown","checklist-flat","FALSE","FALSE","Weary Dunlop","Brickwork Washdown"
"8d68cb99-27b9-5690-8ddc-d88fa3470e5d","","checkpoint-status","not-started","","","TRUE","TRUE","Weary Dunlop","Brickwork Washdown","Scope area & notes"
"efcef1ec-3632-51a8-8d7f-a224564490c7","","checkpoint-status","not-started","","","TRUE","TRUE","Weary Dunlop","Brickwork Washdown","Surface clean and free of loose detritus material"
"0c405fca-49c9-54d8-ada5-c821f18eca8d","","checkpoint-status","not-started","","","TRUE","TRUE","Weary Dunlop","Brickwork Washdown","Moss and Mould removed"
"5581eff1-e159-4f3b-bb7b-2c4de33810bc","","checklist-flat","not-started","Main Building Plaster Wall Washdowns","checklist-flat","FALSE","FALSE","Weary Dunlop","Main Building Plaster Wall Washdowns"
"7fdc255f-5044-55ba-87f9-5193edaed656","","checkpoint-status","not-started","","","TRUE","TRUE","Weary Dunlop","Main Building Plaster Wall Washdowns","Scope area & notes"
"3ba73c12-aed6-5641-9b35-258addb11dbe","","checkpoint-status","not-started","","","TRUE","TRUE","Weary Dunlop","Main Building Plaster Wall Washdowns","Surface clean and free of loose detritus material"
"8c0ebb75-8543-5868-b7ed-28feac0a9ad2","","checkpoint-status","not-started","","","TRUE","TRUE","Weary Dunlop","Main Building Plaster Wall Washdowns","Moss and Mould removed"
"3283dc41-1859-5011-961c-b278f580e24b","","checkpoint-status","not-started","","","TRUE","TRUE","Weary Dunlop","Main Building Plaster Wall Washdowns","On a Full Plaster Village (please see scope/notes) the fascia, soffit and external guttering"
"ea61d632-bb6f-47fb-87d6-4349824201d8","","checklist-flat","not-started","Path Treatments & Lamp Cleaning","checklist-flat","FALSE","FALSE","Weary Dunlop","Path Treatments & Lamp Cleaning"
"2e97dead-7e5e-5ba0-aa0c-efe769c25983","","checkpoint-status","not-started","","","TRUE","TRUE","Weary Dunlop","Path Treatments & Lamp Cleaning","Scope area & notes"
"482ea882-b675-582f-9128-50b4fc28e482","","checkpoint-status","not-started","","","TRUE","TRUE","Weary Dunlop","Path Treatments & Lamp Cleaning","Paths should be fully cover with the Wet and Leave Product"
"2a3eff0b-def0-5de8-add0-60db712417e4","","checkpoint-status","not-started","","","TRUE","TRUE","Weary Dunlop","Path Treatments & Lamp Cleaning","Lamps cleaned with a wet broom to remove spider webs and dirt"
"7addfa08-ae1a-4f50-88ca-3bddb09cb06d","","checklist-flat","not-started","Australian Window Cleaning - Sign Off","checklist-flat","FALSE","FALSE","Weary Dunlop","Australian Window Cleaning - sign off"
"ca54d7e9-0c7f-5faa-ae6e-378d1ea29c61","","checkpoint-status","not-started","","","TRUE","TRUE","Weary Dunlop","Australian Window Cleaning - sign off","Euroclad Representative to sign off that cleaning completed"
"5a9369ee-cd66-5ad1-a9cd-e781972190f4","","checkpoint-status","not-started","","","TRUE","TRUE","Weary Dunlop","Australian Window Cleaning - sign off","Ryman Representative to sign off that cleaning completed"
"c43937cc-a536-465b-a01f-516c3fa07be4","","checklist-flat","not-started","Australian Exterior Window Wash","checklist-flat","FALSE","FALSE","Weary Dunlop","Australian Exterior Window Wash"
"861d61ca-9515-5122-89da-4ff0cc013ef8","","checkpoint-status","not-started","","","TRUE","TRUE","Weary Dunlop","Australian Exterior Window Wash","Window washed down with purified water"
"89647e5b-8f8f-521d-a59b-50fe86e90d78","","checkpoint-status","not-started","","","TRUE","TRUE","Weary Dunlop","Australian Exterior Window Wash","Any damage or visual scratches"
"20c85d58-d5a7-4a5f-b99d-fd360a10d357","","checklist-flat","not-started","Australian Interior Window Wash","checklist-flat","FALSE","FALSE","Weary Dunlop","Australian Interior Window Wash"
"058f0d08-1e5d-555b-972f-863769c271ad","","checkpoint-status","not-started","","","TRUE","TRUE","Weary Dunlop","Australian Interior Window Wash","Fly screens removed, washed and reinstalled"
"a057422b-4c60-55b2-81db-0c0fdc0b97fb","","checkpoint-status","not-started","","","TRUE","TRUE","Weary Dunlop","Australian Interior Window Wash","Windows washed, bladed and sills wiped"
"3cc41799-725f-558c-ae40-38495be55102","","checkpoint-status","not-started","","","TRUE","TRUE","Weary Dunlop","Australian Interior Window Wash","Any damage or visual scratches"
"09ebd6ce-170d-431a-a1e5-ee94ebea9655","","checklist-flat","not-started","Australian Window Cleaning - Sign Off","checklist-flat","FALSE","FALSE","Weary Dunlop","Washdown - sign off"
"c5384435-66d1-513f-992d-6c124261786b","","checkpoint-status","not-started","","","TRUE","TRUE","Weary Dunlop","Washdown - sign off","Euroclad Representative to sign off that cleaning completed"
"0453b9aa-7d13-53bf-b30f-e87eb6eb2b1f","","checkpoint-status","not-started","","","TRUE","TRUE","Weary Dunlop","Washdown - sign off","Ryman Representative to sign off that cleaning completed"
"3ab95c9a-7839-44ab-867d-e7b6f22d585a","","checklist-flat","not-started","Australian Window Cleaning - Sign Off","checklist-flat","FALSE","FALSE","Weary Dunlop","Australian Window Cleaning - sign off"
"5c338c9b-9fd7-5df6-9b84-3b5a8fe1bd41","","checkpoint-status","not-started","","","TRUE","TRUE","Weary Dunlop","Australian Window Cleaning - sign off","Euroclad Representative to sign off that cleaning completed"
"cb3190e3-93b5-5662-9ad7-22a5e5938aff","","checkpoint-status","not-started","","","TRUE","TRUE","Weary Dunlop","Australian Window Cleaning - sign off","Ryman Representative to sign off that cleaning completed"
"8e00121b-6b98-43b5-bf67-8598e3c6a2f5","","checklist-flat","not-started","Main Building & Townhouse Spiderproofing","checklist-flat","FALSE","FALSE","Weary Dunlop","Spider Control - 2"
"c9f65724-95df-5295-b062-c6f6a8207914","","checkpoint-status","not-started","","","TRUE","TRUE","Weary Dunlop","Spider Control - 2","Scope area & notes"
"2c9329b1-6ae9-5763-8460-52314be769a6","","checkpoint-status","not-started","","","TRUE","TRUE","Weary Dunlop","Spider Control - 2","Continuous application of the spiderproofing product by Sprayer to the areas as described"
"d3096f39-f0ac-4a48-861f-e368f751f97a","","checklist-flat","not-started","Main Building & Townhouse Spiderproofing","checklist-flat","FALSE","FALSE","Weary Dunlop","Spider Control  - 3"
"032f452c-d815-50cf-9f62-d4db6fad27e2","","checkpoint-status","not-started","","","TRUE","TRUE","Weary Dunlop","Spider Control  - 3","Scope area & notes"
"c1bc0475-e69f-5a46-a643-dd5db35a7440","","checkpoint-status","not-started","","","TRUE","TRUE","Weary Dunlop","Spider Control  - 3","Continuous application of the spiderproofing product by Sprayer to the areas as described"
"801bc673-f8d6-4ee6-b9b6-3a942dae72fd","","checklist-flat","not-started","Main Building & Townhouse Spiderproofing","checklist-flat","FALSE","FALSE","Weary Dunlop","Spider Control  - 4"
"e6d6bc8d-b992-563b-a96c-a39c8ae9bd01","","checkpoint-status","not-started","","","TRUE","TRUE","Weary Dunlop","Spider Control  - 4","Scope area & notes"
"14a84e7e-73fb-582d-8ed5-4ee7dc5dde7d","","checkpoint-status","not-started","","","TRUE","TRUE","Weary Dunlop","Spider Control  - 4","Continuous application of the spiderproofing product by Sprayer to the areas as described"
"fef3d091-047f-4409-8eb7-013ab7a6c873","","checklist-flat","not-started","Main Building Gutter Debris Removal","checklist-flat","FALSE","FALSE","Weary Dunlop","Guttering On All Buildings - 2"
"85369999-4ec0-5241-aaac-2ec8efada8e8","","checkpoint-status","not-started","","","TRUE","TRUE","Weary Dunlop","Guttering On All Buildings - 2","Scope area & notes"
"d354c90c-f169-5900-bdb1-b3b2fde324d6","","checkpoint-status","not-started","","","TRUE","TRUE","Weary Dunlop","Guttering On All Buildings - 2","Post completion the gutters should be clear and free of all loose material  i.e grass, leaves, and other debris."
"af55d845-3ca2-5385-b2fb-4ac122366606","","checkpoint-status","not-started","","","TRUE","TRUE","Weary Dunlop","Guttering On All Buildings - 2","Wet dirt may remain in gutters with inadequate fall."
"80d85bdd-1d57-5b97-93ee-1fd8ea00b277","","checkpoint-status","not-started","","","TRUE","TRUE","Weary Dunlop","Guttering On All Buildings - 2","Gutters sections with leaf guards cannot be cleared, and water may be used in these areas"
"965141c6-637a-4339-80d5-1538de6e4596","","checklist-flat","not-started","Main Building Gutter Debris Removal","checklist-flat","FALSE","FALSE","Weary Dunlop","Guttering On All Buildings"
"1589e69b-9c1e-53a0-9321-f6893331c489","","checkpoint-status","not-started","","","TRUE","TRUE","Weary Dunlop","Guttering On All Buildings","Scope area & notes"
"4390e155-6a46-5b2e-8ed4-320a9e603b4a","","checkpoint-status","not-started","","","TRUE","TRUE","Weary Dunlop","Guttering On All Buildings","Post completion the gutters should be clear and free of all loose material  i.e grass, leaves, and other debris."
"d671e618-248e-5451-be5c-54a16e2eb067","","checkpoint-status","not-started","","","TRUE","TRUE","Weary Dunlop","Guttering On All Buildings","Wet dirt may remain in gutters with inadequate fall."
"1ba5ce5e-87dc-57bd-bc18-dcf81284857d","","checkpoint-status","not-started","","","TRUE","TRUE","Weary Dunlop","Guttering On All Buildings","Gutters sections with leaf guards cannot be cleared, and water may be used in these areas"
"69189ee8-ee4e-4e38-8341-31e120417b70","","folder-normal","fail","","step","TRUE","FALSE","John Flynn"
"72d7894d-079d-4725-b593-fa62e5a4db9e","","checklist-flat","pass","Main Building & Townhouse Spiderproofing","checklist-flat","FALSE","FALSE","John Flynn","Spider Control, 1A, 1B, Building 2"
"09ad73b6-28ce-5d42-b385-a24c7d573cb7","","checkpoint-status","pass","","","TRUE","TRUE","John Flynn","Spider Control, 1A, 1B, Building 2","Scope area & notes"
"2bda6e42-aa5e-57e6-95d2-23d029c5db61","","checkpoint-status","pass","","","TRUE","TRUE","John Flynn","Spider Control, 1A, 1B, Building 2","Continuous application of the spiderproofing product by Sprayer to the areas as described"
"a5ac3a3c-56e6-4d7e-b7ed-69847f2eec81","","checklist-flat","pass","Main Building Brickwork Washdown","checklist-flat","FALSE","FALSE","John Flynn","Brickwork Washdown"
"f62dceea-d141-5b1c-97bc-1e6491bad85a","","checkpoint-status","pass","","","TRUE","TRUE","John Flynn","Brickwork Washdown","Scope area & notes"
"edd41570-3f49-59c4-a434-e6456cd9682a","","checkpoint-status","pass","","","TRUE","TRUE","John Flynn","Brickwork Washdown","Surface clean and free of loose detritus material"
"5f9b450f-9432-5176-bc66-0c9b243d6e67","","checkpoint-status","pass","","","TRUE","TRUE","John Flynn","Brickwork Washdown","Moss and Mould removed"
"9a328a66-7b14-4e7b-bd79-d0720fbf8da3","","checklist-flat","not-started","Main Building Gutter Debris Removal","checklist-flat","FALSE","FALSE","John Flynn","Guttering on roofs of 1A, 1B & Building 2"
"9c86d819-360d-5e82-9d14-70adb4079c3a","","checkpoint-status","not-started","","","TRUE","TRUE","John Flynn","Guttering on roofs of 1A, 1B & Building 2","Scope area & notes"
"9582a7ba-dd28-512d-a801-a122e406ad64","","checkpoint-status","not-started","","","TRUE","TRUE","John Flynn","Guttering on roofs of 1A, 1B & Building 2","Post completion the gutters should be clear and free of all loose material  i.e grass, leaves, and other debris."
"54982dc3-5939-580a-95bd-75deab98052b","","checkpoint-status","not-started","","","TRUE","TRUE","John Flynn","Guttering on roofs of 1A, 1B & Building 2","Wet dirt may remain in gutters with inadequate fall."
"986a0413-a46c-53ea-9754-27ae22c74c98","","checkpoint-status","not-started","","","TRUE","TRUE","John Flynn","Guttering on roofs of 1A, 1B & Building 2","Gutters sections with leaf guards cannot be cleared, and water may be used in these areas"
