resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Cleaners Room 7.1.04.01.034,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Store Room 7.1.90.001,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Stair 7.1.93.003,,,,,,,,
,,,step,,,,,Level 1,,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Print Store 7.1.04.05.014,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,MSSB 7.1.90.009,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Concierge 7.1.04.01.054,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Print 7.1.04.05.013,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Office 7.1.04.05.012,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Small MTG Room 1 - 7.1.04.04.002,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Small MTG Room 2 - 7.1.04.04.003,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Circulation Corridors 7.1.04.06.001 / 7.1.04.IDC.014,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Tutorial 7.1.04.04.001,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Interview 7.1.04.04.007,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Interview 7.1.04.04.008,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Interview 7.1.04.04.009,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Kitchen 7.1.04.05.004,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Cleaner 7.1.04.01.066,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Store 7.1.04.01.065,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Flexible/ Clinical 7.1.04.04.004,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,ACC. Female 7.1.04.01.067,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,AMB Female 7.1.04.01.069,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Female WC 7.1.04.01.070,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,ACC. Male 7.1.04.01.068,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,AMB Male 7.1.04.01.073,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Male WC 7.1.04.01.072,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Store 7.1.04.01.071,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Store 7.1.04.01.048,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Telehealth 3 - 7.1.04.04.013,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Telehealth 4 - 7.1.04.04.014,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Telehealth 2 - 7.1.04.04.012,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Store/ Future Comms 7.1.04.01.075,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Quiet Study 7.1.04.01.074,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Computer Lab 7.1.04.04.006,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Telehealth 1 - 7.1.04.04.011,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Office 7.1.04.05.016,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Office 7.1.04.05.015,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,NWOW Collab 7.1.04.04.005,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Meeting 7.1.04.04.016,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Office 7.1.04.01.055,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Stair 7.1.04.01.060,,,,,,,,
,,,step,,,,Building B,,,,,,,,,,
,,,step,,,,,Ground,,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Staff Quiet room 7.1.03.03.018,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Staff Room 7.1.03.03.011,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Access Quiet Room 7.1.03.03.017,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,WC 7.1.03.03.016,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,WC 7.1.03.02.014,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Consult Room 1 - 7.1.03.02.010,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Consult Room 2 - 7.1.03.02.013,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Reception 7.1.03.01.001,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Store General 7.1.03.02.012,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Corridor/ Waiting Lounge 7.1.03.IDC.002,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Group Rooms 7.1.03.02.003/ 7.1.03.02.004,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Public Acc. WC 7.1.03.01.005,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Comms Room 7.1.90.006,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Lift Lobby/ Corridor 7.1.91.008,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Wait 7.1.01.003,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Recep 7.1.01.01.001,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,W'Space 7.1.01.05.002,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,WC Male 7.1.01.01.009,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,WC Female 7.1.01.01.008,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Sub wait/ Corridor 7.1.01.03.001,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Store 7.1.01.04.004,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Meet/ EDU 7.1.01.03.003,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,2p Quiet room 7.1.01.05.001,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Store 7.1.01.03.008,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Plant Room 7.1.90.005,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,MSSB 7.1.90.008,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,MSB 7.1.90.007,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Staff/ Meeting Room 7.1.01.05.005,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Quiet Room 7.1.01.03.007,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,D/U 7.1.01.03.007,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,C/U 7.1.01.04.002,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Public WC 7.1.01.01.007,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,WC ACC. 7.1.01.01.006,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Cons 7.1.01.02.002,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Cons 7.1.01.02.001,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Cons Acc 7.1.01.02.003,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,INTV 7.1.01.02.004,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Corridor 7.1.01.IDC.001 / 7.1.01.IDC.002,,,,,,,,
,,,step,,,,,Level 1,,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,DS 1 - 7.1.05.02.016,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,DS 2 - 7.1.05.02.019,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,DS 3 - 7.1.05.02.015,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,DS 4 - 7.1.05.02.014,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,DS 5 - 7.1.05.02.013,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,DS 6 - 7.1.05.02.012,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,DS 7 - 7.1.05.02.011,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,DS 8 - 7.1.05.02.010,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,DS 9 - 7.1.05.02.009,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,DS 10 - 7.1.05.02.004,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,DS 11 - 7.1.05.02.006,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,DS 12 - 7.1.05.02.020,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,DS 13 - 7.1.05.02.007,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,DS 14 - 7.1.05.02.008,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,C/UP DISP 7.1.05.03.008,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Corridor 7.1.05.IDC.003/004,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Store - Clean 7.1.05.03.009,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Store - Gen 7.1.05.03.010,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Files 7.1.05.01.003,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Recep/ Photocopy 7.1.05.02.006/008,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,WC AMB Male 7.1.05.01.001,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,WC ACC 7.1.05.01.005,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Wait 7.1.05.01.004,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Coms Room 7.1.90.018,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Entry Lobby 7.1.05.01.002,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Workspace 7.1.05.04.006,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Workspace 7.1.05.04.010,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Corridor 7.1.05.IDC.002,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Staff/ Meeting Room 7.1.05.04.005/003,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,WC AMB Female 7.1.05.04.001,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,WC AMB Male 7.1.05.04.009,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,WC ST Female 7.1.05.04.015,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,CLNR 7.1.05.03.007,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Dental Workroom 7.1.05.03.003,,,,,,,,
