Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,,,,
,,Ground - Stage 1 - GCS - Common Area Data - Nurse Station G.29 - 6 Data,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 1,GCS,Common Area Data,Nurse Station G.29 - 6 Data,Fit Off
,,Ground - Stage 1 - GCS - Common Area Data - DB CBD G.27 - 4 Data,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 1,GCS,Common Area Data,DB CBD G.27 - 4 Data,Fit Off
,,Ground - Stage 1 - GCS - Common Area Data - Plant Room - 2 Data,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 1,GCS,Common Area Data,Plant Room - 2 Data,Fit Off
,,Ground - Stage 1 - GCS - Common Area Data - Wind Lobby Intercom G.12 - 1 Data,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 1,GCS,Common Area Data,Wind Lobby Intercom G.12 - 1 Data,Fit Off
,,Ground - Stage 1 - GCS - WIFI - Lounge G.02 - WIFI,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 1,GCS,WIFI,Lounge G.02 - WIFI,Fit Off
,,Ground - Stage 1 - GCS - WIFI - CIRC G.17 - WIFI,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 1,GCS,WIFI,CIRC G.17 - WIFI,Fit Off
,,Ground - Stage 1 - GCS - WIFI - CIRC G.22 - WIFI,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 1,GCS,WIFI,CIRC G.22 - WIFI,Fit Off
,,Ground - Stage 1 - GCS - Comms Room - Services (Riser),,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 1,GCS,Comms Room,Services (Riser),Fit Off
,,Ground - Stage 1 - ESS - Doors - CIRC G.03 Double Door,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 1,ESS,Doors,CIRC G.03 Double Door,Fit Off
,,Ground - Stage 1 - ESS - Doors - Wind Lobby G.12 Slidding Door,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 1,ESS,Doors,Wind Lobby G.12 Slidding Door,Fit Off
,,Ground - Stage 1 - ESS - Doors - CRIC G.22 Double Door,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 1,ESS,Doors,CRIC G.22 Double Door,Fit Off
,,Ground - Stage 1 - ESS - Doors - DLY CON 1 G.25 Double Door,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 1,ESS,Doors,DLY CON 1 G.25 Double Door,Fit Off
,,Ground - Stage 1 - ESS - Cameras - C-G01,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 1,ESS,Cameras,C-G01,Fit Off
,,Ground - Stage 1 - ESS - Cameras - C-G02,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 1,ESS,Cameras,C-G02,Fit Off
,,Ground - Stage 1 - ESS - Cameras - C-G03,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 1,ESS,Cameras,C-G03,Fit Off
,,Ground - Stage 1 - ESS - Cameras - C-G04,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 1,ESS,Cameras,C-G04,Fit Off
,,Ground - Stage 2 - PERS - Rooms - Room G.31,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 2,PERS,Rooms,Room G.31,Fit Off
,,Ground - Stage 2 - PERS - Rooms - Room G.32,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 2,PERS,Rooms,Room G.32,Fit Off
,,Ground - Stage 2 - PERS - Rooms - Room G.33,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 2,PERS,Rooms,Room G.33,Fit Off
,,Ground - Stage 2 - PERS - Rooms - Room G.35,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 2,PERS,Rooms,Room G.35,Fit Off
,,Ground - Stage 2 - PERS - Rooms - Room G.36,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 2,PERS,Rooms,Room G.36,Fit Off
,,Ground - Stage 2 - PERS - Rooms - Room G.37,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 2,PERS,Rooms,Room G.37,Fit Off
,,Ground - Stage 2 - PERS - Displays - Display 3 CIRC G.34 DF,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 2,PERS,Displays,Display 3 CIRC G.34 DF,Fit Off
,,Ground - Stage 2 - GCS - WIFI - CIRC G.34 - WIFI,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 2,GCS,WIFI,CIRC G.34 - WIFI,Fit Off
,,Ground - Stage 2 - GCS - WIFI - OUTSIDE G.31 - WIFI,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 2,GCS,WIFI,OUTSIDE G.31 - WIFI,Fit Off
,,Ground - Stage 2 - GCS - WIFI - OUTSIDE G.32 - WIFI,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 2,GCS,WIFI,OUTSIDE G.32 - WIFI,Fit Off
,,Ground - Stage 3 - PERS - Common areas - Lounge G.49.1 A,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 3,PERS,Common areas,Lounge G.49.1 A,Fit Off
,,Ground - Stage 3 - PERS - Common areas - Lounge G.49.1 B,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 3,PERS,Common areas,Lounge G.49.1 B,Fit Off
,,Ground - Stage 3 - PERS - Common areas - Dining G.49 A,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 3,PERS,Common areas,Dining G.49 A,Fit Off
,,Ground - Stage 3 - PERS - Common areas - Dining G.49 B,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 3,PERS,Common areas,Dining G.49 B,Fit Off
,,Ground - Stage 3 - PERS - Common areas - Strair G.55,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 3,PERS,Common areas,Strair G.55,Fit Off
,,Ground - Stage 3 - PERS - Rooms - Room G.41,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 3,PERS,Rooms,Room G.41,Fit Off
,,Ground - Stage 3 - PERS - Rooms - Room G.42,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 3,PERS,Rooms,Room G.42,Fit Off
,,Ground - Stage 3 - PERS - Rooms - Room G.43,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 3,PERS,Rooms,Room G.43,Fit Off
,,Ground - Stage 3 - PERS - Rooms - Room G.44,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 3,PERS,Rooms,Room G.44,Fit Off
,,Ground - Stage 3 - PERS - Rooms - Room G.45,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 3,PERS,Rooms,Room G.45,Fit Off
,,Ground - Stage 3 - PERS - Rooms - Room G.47,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 3,PERS,Rooms,Room G.47,Fit Off
,,Ground - Stage 3 - PERS - Rooms - Room G.48,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 3,PERS,Rooms,Room G.48,Fit Off
,,Ground - Stage 3 - PERS - Displays - Display 4 SF,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 3,PERS,Displays,Display 4 SF,Fit Off
,,Ground - Stage 3 - GCS - Common Area Data - MSR G.38 - 2 Data,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 3,GCS,Common Area Data,MSR G.38 - 2 Data,Fit Off
,,Ground - Stage 3 - GCS - Common Area Data - Lounge G.49.1 - 2 Data,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 3,GCS,Common Area Data,Lounge G.49.1 - 2 Data,Fit Off
,,Ground - Stage 3 - GCS - Common Area Data - CM Kitchen G.51 - 6 Data,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 3,GCS,Common Area Data,CM Kitchen G.51 - 6 Data,Fit Off
,,Ground - Stage 3 - GCS - WIFI - Outside G.41 - WIFI,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 3,GCS,WIFI,Outside G.41 - WIFI,Fit Off
,,Ground - Stage 3 - GCS - WIFI - CIRC G.46 - WIFI,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 3,GCS,WIFI,CIRC G.46 - WIFI,Fit Off
,,Ground - Stage 3 - GCS - WIFI - CIRC G.50 - WIFI,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 3,GCS,WIFI,CIRC G.50 - WIFI,Fit Off
,,Ground - Stage 3 - GCS - WIFI - CIRC G.57 - WIFI,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 3,GCS,WIFI,CIRC G.57 - WIFI,Fit Off
,,Ground - Stage 3 - ESS - Doors - MSR G.38 Single Door Mortise,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 3,ESS,Doors,MSR G.38 Single Door Mortise,Fit Off
,,Ground - Stage 3 - ESS - Doors - CM Kitchen G.51 Double Door,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 3,ESS,Doors,CM Kitchen G.51 Double Door,Fit Off
,,Ground - Stage 3 - ESS - Doors - Stair G.55 Double Door with Door Reed,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 3,ESS,Doors,Stair G.55 Double Door with Door Reed,Fit Off
,,Ground - Stage 3 - ESS - Doors - Sluice G.58 Single Door,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 3,ESS,Doors,Sluice G.58 Single Door,Fit Off
,,Ground - Stage 3 - ESS - Cameras - C-G05,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 3,ESS,Cameras,C-G05,Fit Off
,,Ground - Stage 3 - ESS - Cameras - C-G06,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 3,ESS,Cameras,C-G06,Fit Off
,,Ground - Stage 3 - ESS - Cameras - C-G07,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 3,ESS,Cameras,C-G07,Fit Off
,,Ground - Stage 3 - MATV - Common Area - Lounge G.49.1 - 1 TV,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 3,MATV,Common Area,Lounge G.49.1 - 1 TV,Fit Off
,,Ground - Stage 4 - PERS - Common areas - Memory Pod G.90 A,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 4,PERS,Common areas,Memory Pod G.90 A,Fit Off
,,Ground - Stage 4 - PERS - Common areas - Memory Pod G.90 B,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 4,PERS,Common areas,Memory Pod G.90 B,Fit Off
,,Ground - Stage 4 - PERS - Common areas - WC G.92,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 4,PERS,Common areas,WC G.92,Fit Off
,,Ground - Stage 4 - PERS - Common areas - Stairs G.83,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 4,PERS,Common areas,Stairs G.83,Fit Off
,,Ground - Stage 4 - PERS - Memory Rooms - Memory G.65,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 4,PERS,Memory Rooms,Memory G.65,Fit Off
,,Ground - Stage 4 - PERS - Memory Rooms - Memory G.66,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 4,PERS,Memory Rooms,Memory G.66,Fit Off
,,Ground - Stage 4 - PERS - Memory Rooms - Memory G.67,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 4,PERS,Memory Rooms,Memory G.67,Fit Off
,,Ground - Stage 4 - PERS - Memory Rooms - Memory G.73,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 4,PERS,Memory Rooms,Memory G.73,Fit Off
,,Ground - Stage 4 - PERS - Memory Rooms - Memory G.74,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 4,PERS,Memory Rooms,Memory G.74,Fit Off
,,Ground - Stage 4 - PERS - Memory Rooms - Memory G.75,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 4,PERS,Memory Rooms,Memory G.75,Fit Off
,,Ground - Stage 4 - PERS - Memory Rooms - Memory G.76,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 4,PERS,Memory Rooms,Memory G.76,Fit Off
,,Ground - Stage 4 - PERS - Memory Rooms - Memory G.77,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 4,PERS,Memory Rooms,Memory G.77,Fit Off
,,Ground - Stage 4 - PERS - Memory Rooms - Memory G.78,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 4,PERS,Memory Rooms,Memory G.78,Fit Off
,,Ground - Stage 4 - PERS - Memory Rooms - Memory G.79,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 4,PERS,Memory Rooms,Memory G.79,Fit Off
,,Ground - Stage 4 - PERS - Memory Rooms - Memory G.80,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 4,PERS,Memory Rooms,Memory G.80,Fit Off
,,Ground - Stage 4 - PERS - Memory Rooms - Memory G.82,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 4,PERS,Memory Rooms,Memory G.82,Fit Off
,,Ground - Stage 4 - PERS - Memory Rooms - Memory G.87,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 4,PERS,Memory Rooms,Memory G.87,Fit Off
,,Ground - Stage 4 - PERS - Memory Rooms - Memory G.88,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 4,PERS,Memory Rooms,Memory G.88,Fit Off
,,Ground - Stage 4 - PERS - Memory Rooms - Memory G.89,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 4,PERS,Memory Rooms,Memory G.89,Fit Off
,,Ground - Stage 4 - PERS - Displays - Display 4 CIRC G.81 DF,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 4,PERS,Displays,Display 4 CIRC G.81 DF,Fit Off
,,Ground - Stage 4 - PERS - Displays - Display 4 CIRC G.62 DF,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 4,PERS,Displays,Display 4 CIRC G.62 DF,Fit Off
,,Ground - Stage 4 - GCS - Common Area Data - QUIET G.64 - 2 Data,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 4,GCS,Common Area Data,QUIET G.64 - 2 Data,Fit Off
,,Ground - Stage 4 - GCS - Common Area Data - Drug G.69 - 2 Data,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 4,GCS,Common Area Data,Drug G.69 - 2 Data,Fit Off
,,Ground - Stage 4 - GCS - Common Area Data - Wind Lobby Intercom G.60,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 4,GCS,Common Area Data,Wind Lobby Intercom G.60,Fit Off
,,Ground - Stage 4 - GCS - WIFI - CIRC G.62 - WIFI,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 4,GCS,WIFI,CIRC G.62 - WIFI,Fit Off
,,Ground - Stage 4 - GCS - WIFI - CIRC G.63 - WIFI,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 4,GCS,WIFI,CIRC G.63 - WIFI,Fit Off
,,Ground - Stage 4 - GCS - WIFI - OUTSIDE MEMORY G.76 - WIFI,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 4,GCS,WIFI,OUTSIDE MEMORY G.76 - WIFI,Fit Off
,,Ground - Stage 4 - GCS - WIFI - OUTSIDE MEMORY G.80 - WIFI,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 4,GCS,WIFI,OUTSIDE MEMORY G.80 - WIFI,Fit Off
,,Ground - Stage 4 - GCS - WIFI - OUTSIDE MEMORY G.87 - WIFI,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 4,GCS,WIFI,OUTSIDE MEMORY G.87 - WIFI,Fit Off
,,Ground - Stage 4 - GCS - WIFI - OUTSIDE MEMORY G.89 - WIFI,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 4,GCS,WIFI,OUTSIDE MEMORY G.89 - WIFI,Fit Off
,,Ground - Stage 4 - GCS - WIFI - MEMORY POD G.90 - WIFI,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 4,GCS,WIFI,MEMORY POD G.90 - WIFI,Fit Off
,,Ground - Stage 4 - GCS - Comms Room - Services (Riser),,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 4,GCS,Comms Room,Services (Riser),Fit Off
,,Ground - Stage 4 - ESS - Doors - Wind Lobby G.60 Slidding Door,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 4,ESS,Doors,Wind Lobby G.60 Slidding Door,Fit Off
,,Ground - Stage 4 - ESS - Doors - Waiting G.61 Double Door,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 4,ESS,Doors,Waiting G.61 Double Door,Fit Off
,,Ground - Stage 4 - ESS - Doors - Drug G.69 Single Door Mortise,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 4,ESS,Doors,Drug G.69 Single Door Mortise,Fit Off
,,Ground - Stage 4 - ESS - Doors - CIRC G.62 Double Door,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 4,ESS,Doors,CIRC G.62 Double Door,Fit Off
,,Ground - Stage 4 - ESS - Doors - Memory Pod G.90 Double Door,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 4,ESS,Doors,Memory Pod G.90 Double Door,Fit Off
,,Ground - Stage 4 - ESS - Doors - Dly Con 2 G.84 Single Door,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 4,ESS,Doors,Dly Con 2 G.84 Single Door,Fit Off
,,Ground - Stage 4 - ESS - Doors - Stair Memory Door,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 4,ESS,Doors,Stair Memory Door,Fit Off
,,Ground - Stage 4 - ESS - Cameras - C-G08,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 4,ESS,Cameras,C-G08,Fit Off
,,Ground - Stage 4 - ESS - Cameras - C-G09,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 4,ESS,Cameras,C-G09,Fit Off
,,Ground - Stage 4 - ESS - Cameras - C-G10,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 4,ESS,Cameras,C-G10,Fit Off
,,Ground - Stage 4 - ESS - Cameras - C-G11,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 4,ESS,Cameras,C-G11,Fit Off
,,Ground - Stage 4 - ESS - Cameras - C-G12,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 4,ESS,Cameras,C-G12,Fit Off
,,Ground - Stage 4 - MATV - Common Area - Quiet G.64 - 1 TV,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 4,MATV,Common Area,Quiet G.64 - 1 TV,Fit Off
,,Ground - Stage 4 - MATV - Common Area - Memory Pod G.90 - 1 TV,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 4,MATV,Common Area,Memory Pod G.90 - 1 TV,Fit Off
,,Level 1 - Stage 1 - PERS - Common areas - Lift Lobby Hallway,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 1,PERS,Common areas,Lift Lobby Hallway,Fit Off
,,Level 1 - Stage 1 - PERS - Common areas - Library 1.56,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 1,PERS,Common areas,Library 1.56,Fit Off
,,Level 1 - Stage 1 - PERS - Rooms - Room 1.01,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 1,PERS,Rooms,Room 1.01,Fit Off
,,Level 1 - Stage 1 - PERS - Rooms - Room 1.02,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 1,PERS,Rooms,Room 1.02,Fit Off
,,Level 1 - Stage 1 - PERS - Rooms - Room 1.03,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 1,PERS,Rooms,Room 1.03,Fit Off
,,Level 1 - Stage 1 - PERS - Rooms - Room 1.11,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 1,PERS,Rooms,Room 1.11,Fit Off
,,Level 1 - Stage 1 - PERS - Rooms - Room 1.12,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 1,PERS,Rooms,Room 1.12,Fit Off
,,Level 1 - Stage 1 - PERS - Rooms - Room 1.13,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 1,PERS,Rooms,Room 1.13,Fit Off
,,Level 1 - Stage 1 - PERS - Rooms - Room 1.14,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 1,PERS,Rooms,Room 1.14,Fit Off
,,Level 1 - Stage 1 - PERS - Rooms - Room 1.15,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 1,PERS,Rooms,Room 1.15,Fit Off
,,Level 1 - Stage 1 - PERS - Rooms - Room 1.16,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 1,PERS,Rooms,Room 1.16,Fit Off
,,Level 1 - Stage 1 - PERS - Displays - Display 7 CIRC 1.04 SF,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 1,PERS,Displays,Display 7 CIRC 1.04 SF,Fit Off
,,Level 1 - Stage 1 - PERS - Displays - Display 8 CIRC 1.10 DF,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 1,PERS,Displays,Display 8 CIRC 1.10 DF,Fit Off
,,Level 1 - Stage 1 - GCS - Common Area Data - Staff Room 1.17 - 1 Data,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 1,GCS,Common Area Data,Staff Room 1.17 - 1 Data,Fit Off
,,Level 1 - Stage 1 - GCS - Common Area Data - MDR 1.20 - 6 Data,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 1,GCS,Common Area Data,MDR 1.20 - 6 Data,Fit Off
,,Level 1 - Stage 1 - GCS - Common Area Data - Nurse Station 1.19 - 6 Data,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 1,GCS,Common Area Data,Nurse Station 1.19 - 6 Data,Fit Off
,,Level 1 - Stage 1 - GCS - Common Area Data - Electrical Board - 4 Data,,Site QA,Pohutukawa Care Building,Second Fix,Level 1,Stage 1,GCS,Common Area Data,Electrical Board - 4 Data,Fit Off
