"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e89f6a09-c360-4b0c-9098-e42655ea6633","","folder-normal","","","step","TRUE","FALSE","Site QA"
"7fdf9b96-6be4-43de-9d22-88c6bfe8ce60","","folder-normal","","","step","TRUE","FALSE","Site QA","BUILDING A"
"ee31a614-25c9-48ca-ae9a-5bd87add9b22","","folder-normal","","","step","TRUE","FALSE","Site QA","BUILDING A","Basement 1"
"bb2bc9b4-adcd-4e43-8994-ccb30e09c076","","folder-normal","","","step","TRUE","FALSE","Site QA","BUILDING A","Basement 1","Common door"
"d05d7cc2-2f8d-42ca-b760-2434806c07d2","","checklist-flat","","Service Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","GF","Common door","FIRE STAIR - G0A-05"
"acc56115-6b5a-4ca2-a0cf-6c578e6901fc","","checklist-flat","","Service Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","GF","Common door","FE- G0A-06"
"42a5eb5f-671f-4a26-b6ec-3a1ad1080af2","","checklist-flat","","Service Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","GF","Common door","FE - G0A-07"
"4cde6146-68a6-4bd5-bb89-8d72a36a2739","","checklist-flat","","Service Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","GF","Common door","FE- G0A-08"
"833b88f2-23f1-4364-8b5c-4b56f24ce4db","","checklist-flat","","Service Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","GF","Common door","FIP - G0A-09"
"849ed001-6ff2-47d7-8249-bf0964ce7351","","checklist-flat","","Service Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","GF","Common door","SCV - G0A-10"
"3b7dd39f-9ee5-4e2e-8374-0981909d37b0","","checklist-flat","","Service Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","GF","Common door","FE- G0A-11"
"3ff860c8-3001-4321-9a09-b5911f1097e4","","checklist-flat","","Service Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","GF","Common door","FE- G0A-12"
"b025d36b-3c39-4b33-a830-dac4834d8a66","","checklist-flat","","Service Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","GF","Common door","FE- G0A-13"
"2d093b1a-90a5-4a34-90cd-31337d3e5733","","checklist-flat","","Service Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","GF","Common door","FIRE STAIR 2- G0A-16"
"4da66409-681d-4eb3-974d-3471433c21ed","","checklist-flat","","Service Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","GF","Common door","HYD. RISER - G0A-17"
"3543c0b5-6e0e-4863-923c-e097464169e4","","checklist-flat","","Service Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","GF","Common door","COMMS- G0A-19"
"63a28ff3-7172-4198-92f1-fcf22d5bdb0b","","checklist-flat","","Service Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","GF","Common door","ELEC.- G0A-20"
"7c4cb902-6618-4d2d-bdcd-b893b6274833","","checklist-flat","","Service Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","GF","Common door","ELEC.- G0A-21"
"585338c3-3a3b-49ba-a71e-a7d8a5e610df","","checklist-flat","","Service Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","GF","Common door","BIKE STORE- G0A-23"
"cc576ba3-6bf5-4f32-8b49-2c7b6ea7cbee","","checklist-flat","","Service Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","GF","Common door","WATER- G0A-25"
"0ba0b9ca-af66-43d6-a2b4-751b87fc8138","","checklist-flat","","Service Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","GF","Common door","WATER- G0A-26"
"0a29447a-3c4c-4054-aac4-cdc3976d319a","","checklist-flat","","Service Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","GF","Common door","WASTE RM - G0A-27"
"696cd0be-0a9a-4065-8b9e-e7d09341fb50","","checklist-flat","","Service Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","GF","Common door","SMOKE LOBBY - G0A-29"
"75883b62-2d9f-4292-a16f-1ddf574d2880","","checklist-flat","","Service Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","GF","Common door","SMOKE LOBBY - G0A-30"
"4badc185-0ff7-4013-a79f-a83667079a3f","","checklist-flat","","Service Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","GF","Common door","SMOKE LOBBY - G0A-31"
"c15111bb-a5eb-44a0-b6fa-35c90a15ab6e","","checklist-flat","","Service Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","GF","Common door","SMOKE LOBBY - G0A-32"
"5b5cce1b-6e35-4406-a1ea-938d0a397246","","checklist-flat","","Service Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","GF","Common door","ELECTRICAL - G0A-33"
"416339a8-c05c-403e-ab6b-08ea2d834f58","","checklist-flat","","Service Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","GF","Common door","ELECTRICAL - G0A-34"
"df3e7b11-ce45-4f18-8414-e59bd62639a6","","checklist-flat","","Skirting Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","GF","Common Skirting"
"6d29a457-b37b-4b8b-aa2c-a7712dd8018c","","checklist-flat","","Mail Box Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","GF","Mailbox"
"65d76362-99eb-4774-9c44-4bd00261fde7","","folder-normal","","","step","TRUE","FALSE","Site QA","BUILDING A","APT. G01A"
"9711c24e-5f23-4c90-8f86-9142a8c0978c","","folder-normal","","","step","TRUE","FALSE","Site QA","BUILDING A","APT. G01A","Door"
"65cbb79a-9c82-473c-b66c-ec81c199caaa","","checklist-flat","","Entry Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G01A","Door","ENTRY"
"13e01c68-713d-4170-9c45-830c8d1c3cd3","","checklist-flat","","Split-jamb Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G01A","Door","BEDROOM 1"
"c30a0a70-00ad-49f7-85de-1db8140cb87c","","checklist-flat","","Cavity Slider Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G01A","Door","BATHROOM"
"4baad3cb-50a4-42f6-8a24-9f7e49b70392","","checklist-flat","","Split-jamb Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G01A","Door","LAUNDRY"
"0a606326-2370-47de-a2b6-2b3cd45ec4b9","","folder-normal","","","step","TRUE","FALSE","Site QA","BUILDING A","APT. G01A","Skirting"
"6226e33f-2c94-455b-8e76-76e1edc361dc","","checklist-flat","","Skirting Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G01A","Skirting","LIVING ROOM"
"b1665bea-a2a5-4dde-8899-68b636d99eb9","","checklist-flat","","Skirting Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G01A","Skirting","BEDROOM 1"
"9aa41071-ea74-4bb2-a242-c04a2bb99aec","","folder-normal","","","step","TRUE","FALSE","Site QA","BUILDING A","APT. G01A","Sanitary"
"d0bf2333-7fef-4787-b57a-48d6368e0f8b","","checklist-flat","","Sanitary Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G01A","Sanitary","BATHROOM"
"be5abca5-d80e-4f45-960a-b53108af7400","","folder-normal","","","step","TRUE","FALSE","Site QA","BUILDING A","APT. G01A","Robe Jamb"
"07b5008a-63df-4310-ab4a-5ed7cf6e2d25","","checklist-flat","","Robe Jamb Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G01A","Robe Jamb","BEDROOMS"
"c5726793-54ca-4783-a8fb-4105559385c7","","folder-normal","","","step","TRUE","FALSE","Site QA","BUILDING A","APT. G02A"
"e401b4e8-3f35-4258-8f66-58f4b4ae7ab1","","folder-normal","","","step","TRUE","FALSE","Site QA","BUILDING A","APT. G02A","Door"
"043976ae-d1db-4ea9-830f-56ca7959ff60","","checklist-flat","","Entry Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G02A","Door","ENTRY"
"52546443-1da9-4bb6-bd0a-280daca0080b","","checklist-flat","","Split-jamb Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G02A","Door","BEDROOM 1"
"e4abf087-a2ee-423e-a87b-ee4e38555d30","","checklist-flat","","Cavity Slider Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G02A","Door","BATHROOM"
"7a633e94-9bdc-463e-9332-6a1eb1a2d177","","checklist-flat","","Split-jamb Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G02A","Door","LAUNDRY"
"0c541c57-e2a9-442f-82b0-50a56843a7ca","","folder-normal","","","step","TRUE","FALSE","Site QA","BUILDING A","APT. G02A","Skirting"
"077dcf49-927e-46d1-9181-1731fa816683","","checklist-flat","","Skirting Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G02A","Skirting","LIVING ROOM"
"6152e826-902b-4701-aa05-2810cc39951a","","checklist-flat","","Skirting Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G02A","Skirting","BEDROOM 1"
"2eab2405-a1e2-450f-9dce-d65172d9cdce","","folder-normal","","","step","TRUE","FALSE","Site QA","BUILDING A","APT. G02A","Sanitary"
"73c65483-bafb-478b-8890-473ce9b5b6b4","","checklist-flat","","Sanitary Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G02A","Sanitary","BATHROOM"
"406f47e5-f636-4835-82a5-6845cf47fb78","","folder-normal","","","step","TRUE","FALSE","Site QA","BUILDING A","APT. G02A","Robe Jamb"
"6c301e2e-cf82-40ff-8249-1399410acedf","","checklist-flat","","Robe Jamb Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G02A","Robe Jamb","BEDROOMS"
"36c87208-7d5d-4bf3-91d9-56b08e2c30cb","","folder-normal","","","step","TRUE","FALSE","Site QA","BUILDING A","APT. G03A"
"9a71e077-592d-4b97-9c67-98f28fa2bd30","","folder-normal","","","step","TRUE","FALSE","Site QA","BUILDING A","APT. G03A","Door"
"658c7971-4813-4d1f-b670-bff3fe778fba","","checklist-flat","","Entry Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G03A","Door","ENTRY"
"891bcaff-bb84-4ae0-a593-57b0a8fde448","","checklist-flat","","Split-jamb Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G03A","Door","BEDROOM 1"
"405f8447-1a11-4e56-8015-921e2253ebbf","","checklist-flat","","Cavity Slider Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G03A","Door","BATHROOM"
"0edd0968-71ee-49a4-935f-a6d339bf3d52","","checklist-flat","","Split-jamb Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G03A","Door","LAUNDRY"
"af3a6d77-726f-47ed-a972-4549a60116b2","","folder-normal","","","step","TRUE","FALSE","Site QA","BUILDING A","APT. G03A","Skirting"
"3ca2662f-5c56-4e6b-9c3e-49c8d0395caa","","checklist-flat","","Skirting Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G03A","Skirting","LIVING ROOM"
"dd465a96-1689-4b77-8df2-e473e0ac969f","","checklist-flat","","Skirting Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G03A","Skirting","BEDROOM 1"
"b0fec6f5-250f-4b98-bef7-b3a2e98ef914","","folder-normal","","","step","TRUE","FALSE","Site QA","BUILDING A","APT. G03A","Sanitary"
"02f78eaa-d916-4f96-bcf0-7c269d26b146","","checklist-flat","","Sanitary Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G03A","Sanitary","BATHROOM"
"16262e46-5879-49b9-b723-750f26167950","","folder-normal","","","step","TRUE","FALSE","Site QA","BUILDING A","APT. G03A","Robe Jamb"
"07f67996-c7ed-42f4-aafb-9c3a7c6d0d00","","checklist-flat","","Robe Jamb Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G03A","Robe Jamb","BEDROOMS"
"00c440ff-b544-4291-9556-8d5c28b8701b","","folder-normal","","","step","TRUE","FALSE","Site QA","BUILDING A","APT. G04A"
"5714cad2-cac1-41e3-868f-5e102854e749","","folder-normal","","","step","TRUE","FALSE","Site QA","BUILDING A","APT. G04A","Door"
"6b8f5e7b-791a-4c3c-8b4b-41c4390654dc","","checklist-flat","","Entry Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G04A","Door","ENTRY"
"c1d512fe-8d47-4b91-8b93-bdd177bd0198","","checklist-flat","","Split-jamb Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G04A","Door","BEDROOM 1"
"cef7da56-961e-41ba-9ff0-d45099921858","","checklist-flat","","Cavity Slider Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G04A","Door","BATHROOM"
"96442f06-32c7-45a7-be98-2459ee20bfd5","","checklist-flat","","Split-jamb Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G04A","Door","LAUNDRY"
"0526bf7a-3081-440c-88bc-616e393a7012","","folder-normal","","","step","TRUE","FALSE","Site QA","BUILDING A","APT. G04A","Skirting"
"189e1270-4694-471a-8586-71029a102acf","","checklist-flat","","Skirting Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G04A","Skirting","LIVING ROOM"
"8dd4b45d-123c-418b-8bb3-65e091f84c85","","checklist-flat","","Skirting Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G04A","Skirting","BEDROOM 1"
"a5c2cb75-e8c4-43e4-93d9-0e46fe13a0e4","","folder-normal","","","step","TRUE","FALSE","Site QA","BUILDING A","APT. G04A","Sanitary"
"0c49df01-8546-4a4c-95eb-d9c9035dd36b","","checklist-flat","","Sanitary Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G04A","Sanitary","BATHROOM"
"060ade32-2e07-4f6f-baa7-92b67da44a89","","folder-normal","","","step","TRUE","FALSE","Site QA","BUILDING A","APT. G04A","Robe Jamb"
"f1825395-e246-4375-a478-f9c5dfa588bf","","checklist-flat","","Robe Jamb Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G04A","Robe Jamb","BEDROOMS"
"fbe85b0c-b8a1-44a8-a98b-33191f7df99c","","folder-normal","","","step","TRUE","FALSE","Site QA","BUILDING A","APT. G05A"
"a287d350-5cd1-4c3f-907f-4a808f8dcaa5","","folder-normal","","","step","TRUE","FALSE","Site QA","BUILDING A","APT. G05A","Door"
"7c20c3ea-e03a-4c7e-855a-b9978e11c0be","","checklist-flat","","Entry Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G05A","Door","ENTRY"
"46c396af-7701-4f8f-b0d1-6da3d8984cc8","","checklist-flat","","Split-jamb Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G05A","Door","BEDROOM 1"
"119ad039-71c9-431f-8b8d-299ac52324bc","","checklist-flat","","Cavity Slider Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G05A","Door","BATHROOM"
"0504189e-0137-4495-b741-757558b02faf","","checklist-flat","","Split-jamb Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G05A","Door","LAUNDRY"
"9ec6b8f3-7333-45ab-8273-13920b256d3c","","folder-normal","","","step","TRUE","FALSE","Site QA","BUILDING A","APT. G05A","Skirting"
"266d63de-2279-44e2-8660-45c08143ad8b","","checklist-flat","","Skirting Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G05A","Skirting","LIVING ROOM"
"4d0c6ce0-eb13-4a1e-9e38-2d49e966bc78","","checklist-flat","","Skirting Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G05A","Skirting","BEDROOM 1"
"bfab5062-1609-4aec-84d9-96d4a1c96695","","folder-normal","","","step","TRUE","FALSE","Site QA","BUILDING A","APT. G05A","Sanitary"
"7159f2b1-2dd4-4ee8-96f7-1cc478162141","","checklist-flat","","Sanitary Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G05A","Sanitary","BATHROOM"
"682fc23f-8eea-473f-a73d-d508bc715e27","","folder-normal","","","step","TRUE","FALSE","Site QA","BUILDING A","APT. G05A","Robe Jamb"
"22c87d7f-b420-4f8a-a86d-c8e3a98656d4","","checklist-flat","","Robe Jamb Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G05A","Robe Jamb","BEDROOMS"
"70c68404-3106-48b0-8538-6f89325bcc9d","","folder-normal","","","step","TRUE","FALSE","Site QA","BUILDING A","APT. G06A"
"01dc6b5b-108f-410d-8cf3-63a874b06089","","folder-normal","","","step","TRUE","FALSE","Site QA","BUILDING A","APT. G06A","Door"
"3cef0e14-4412-47ca-8c3f-0869bca9342b","","checklist-flat","","Entry Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G06A","Door","ENTRY"
"076131f0-ac6e-43a9-ad3e-65066412aefc","","checklist-flat","","Split-jamb Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G06A","Door","BEDROOM 1"
"73743e6a-7b52-4a3b-9362-b613566ab20f","","checklist-flat","","Cavity Slider Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G06A","Door","BATHROOM"
"b4a3526f-fbdb-4b47-87da-fe4791d5a5b8","","checklist-flat","","Split-jamb Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G06A","Door","LAUNDRY"
"6c6a0349-9749-4f46-90b1-cbffc3a3962f","","folder-normal","","","step","TRUE","FALSE","Site QA","BUILDING A","APT. G06A","Skirting"
"e506dc3f-6e7d-4130-99cc-ea26349a44ed","","checklist-flat","","Skirting Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G06A","Skirting","LIVING ROOM"
"a1513d30-5fd4-4cbd-b890-8c5f557ec52c","","checklist-flat","","Skirting Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G06A","Skirting","BEDROOM 1"
"948686d2-e04c-4ff7-a96a-3efaca23feb1","","folder-normal","","","step","TRUE","FALSE","Site QA","BUILDING A","APT. G06A","Sanitary"
"c39f0649-9458-4ab5-a94f-e8d5b8994501","","checklist-flat","","Sanitary Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G06A","Sanitary","BATHROOM"
"52f53224-4fd0-42e3-86b0-d9b5deab3cc0","","folder-normal","","","step","TRUE","FALSE","Site QA","BUILDING A","APT. G06A","Robe Jamb"
"4517669c-310f-4266-bce7-49193a722abe","","checklist-flat","","Robe Jamb Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G06A","Robe Jamb","BEDROOMS"
"83ce2229-90df-4c4a-9ff7-13319b751a1e","","checklist-flat","","Decking Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G06A","Decking"
"773e20f9-5d3a-4dba-9ee7-410352ab2547","","folder-normal","","","step","TRUE","FALSE","Site QA","BUILDING A","APT. G07A"
"a76d9796-5463-4027-809a-b49212e22b63","","folder-normal","","","step","TRUE","FALSE","Site QA","BUILDING A","APT. G07A","Door"
"a6d14263-4987-4816-9cdd-de2cb6b2eb16","","checklist-flat","","Entry Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G07A","Door","ENTRY"
"9d1e4847-b793-4a1e-9b31-41a8b98999ee","","checklist-flat","","Split-jamb Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G07A","Door","BEDROOM 1"
"d2a67a93-7b52-4543-b284-72420c511548","","checklist-flat","","Cavity Slider Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G07A","Door","BATHROOM"
"40601a70-6125-4516-8bd9-32622beda10f","","checklist-flat","","Split-jamb Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G07A","Door","LAUNDRY"
"0c35d836-c7c1-40be-8290-88dfb2f5b758","","folder-normal","","","step","TRUE","FALSE","Site QA","BUILDING A","APT. G07A","Skirting"
"4ae87ed9-e560-42cc-af28-952af6aaf089","","checklist-flat","","Skirting Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G07A","Skirting","LIVING ROOM"
"bd852798-6126-4493-b464-8e2f3bc12073","","checklist-flat","","Skirting Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G07A","Skirting","BEDROOM 1"
"08ac5044-0c08-4bd3-bfec-8ad5c9aace27","","folder-normal","","","step","TRUE","FALSE","Site QA","BUILDING A","APT. G07A","Sanitary"
"f85cf31d-1c52-452d-a54b-a8e0ae502c74","","checklist-flat","","Sanitary Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G07A","Sanitary","BATHROOM"
"71d30a2d-8727-4e26-9a35-f4e5f57ae159","","folder-normal","","","step","TRUE","FALSE","Site QA","BUILDING A","APT. G07A","Robe Jamb"
"085a0da1-7c72-4cfd-b10f-d3aeb25937ff","","checklist-flat","","Robe Jamb Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G07A","Robe Jamb","BEDROOMS"
"c5253e05-4131-4dc5-a2ed-b311b666408b","","checklist-flat","","Decking Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G07A","Decking"
"eb936f5b-f2f3-4337-bf1d-18a57e8204dd","","folder-normal","","","step","TRUE","FALSE","Site QA","BUILDING A","APT. G08A"
"8122669a-f14b-4b34-9ff9-1d3423a385dc","","folder-normal","","","step","TRUE","FALSE","Site QA","BUILDING A","APT. G08A","Door"
"4cb73271-7df2-41ce-8ea9-f2be3b360cca","","checklist-flat","","Entry Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G08A","Door","ENTRY"
"5556b616-76df-4786-b422-9d791c7974a2","","checklist-flat","","Split-jamb Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G08A","Door","BEDROOM 1"
"479fe01e-0a6d-4436-8491-fb14e4583df2","","checklist-flat","","Split-jamb Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G08A","Door","BEDROOM 2"
"2178e633-1ecd-4d36-860c-5d2d49b73f1c","","checklist-flat","","Split-jamb Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G08A","Door","BATHROOM"
"c3bb07e4-568a-408a-ac37-4c2eaeadbe49","","checklist-flat","","Cavity Slider Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G08A","Door","ENSUITE"
"d0b540e7-d7f7-4b54-8fca-47810438c3d5","","folder-normal","","","step","TRUE","FALSE","Site QA","BUILDING A","APT. G08A","Skirting"
"7abb6d51-8492-4f22-9769-e4de1342eeab","","checklist-flat","","Skirting Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G08A","Skirting","LIVING ROOM"
"b0ee7d07-b63b-42ff-8a88-c1b3555b6daf","","checklist-flat","","Skirting Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G08A","Skirting","BEDROOM 1"
"0a3261a6-4ded-4ee4-a225-ce1a75cd5b7a","","checklist-flat","","Skirting Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G08A","Skirting","BEDROOM 2"
"cce529a9-c512-4f73-b7eb-36648c5ed5e6","","folder-normal","","","step","TRUE","FALSE","Site QA","BUILDING A","APT. G08A","Sanitary"
"5262bc10-c312-4b7b-82f1-3a0ffe33d9ff","","checklist-flat","","Sanitary Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G08A","Sanitary","ENSUITE"
"cf73e9db-5126-44e1-ae20-2edfefb23cb5","","checklist-flat","","Sanitary Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G08A","Sanitary","BATHROOM"
"86b65a10-fb2d-437c-b04e-82cf9ec4cd50","","folder-normal","","","step","TRUE","FALSE","Site QA","BUILDING A","APT. G08A","Robe Jamb"
"d5894b0d-5866-45af-acb3-a29f699a178e","","checklist-flat","","Robe Jamb Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G08A","Robe Jamb","BEDROOMS"
"cfb8376c-965f-4a44-b5f5-325f2ec4078a","","folder-normal","","","step","TRUE","FALSE","Site QA","BUILDING A","APT. G09A"
"742b0197-7cbe-42f7-813a-bfad93258874","","folder-normal","","","step","TRUE","FALSE","Site QA","BUILDING A","APT. G09A","Door"
"8a2ea985-37f2-4221-879e-9dc5c6369473","","checklist-flat","","Entry Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G09A","Door","ENTRY"
"411ef0f1-c147-4a40-b1e3-06f92094f4f9","","checklist-flat","","Split-jamb Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","APT. G09A","Door","BEDROOM 1"
