"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"10a353ae-59c5-4eb5-a430-4f310e17c290","","folder-progress","work-in-progress","","checklist","TRUE","FALSE","Site Works - Civil"
"09961241-9785-428d-af94-a905941a5ee2","","folder-progress","work-in-progress","","checklist","TRUE","FALSE","Site Works - Civil","Site Drainage"
"dc2aec0e-58a5-4c78-b1fc-967eabb3fb7c","","folder-progress","work-in-progress","","checklist","TRUE","FALSE","Site Works - Civil","Site Drainage","Stormwater"
"4f49ebcd-04e8-47ca-84f0-26037017b032","","folder-progress","work-in-progress","","checklist","TRUE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes"
"e4e80314-b341-42a2-a28f-d4995e38c6dd","","folder-progress","work-in-progress","","checklist","TRUE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 1."
"c6cc31da-2b34-49e7-ba74-34f67a49b6b3","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 1.","Manhole 1.1.A"
"ccfa4d16-0a12-48ef-bee7-07e7e8743129","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 1.","Manhole 1.2"
"ef40bff3-4697-4de6-9bed-70d8f93b1505","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 1.","Manhole 1.2.1"
"761890b7-1bd2-4bf0-9766-86f4c341afa3","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 1.","Manhole 1.3"
"929eab4b-26a2-473c-b743-ff6d2c2ba870","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 1.","Manhole 1.3.1"
"998dd427-8982-421c-9fb1-66dd7d44d467","","checklist-sectioned","work-in-progress","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 1.","Manhole 1.4"
"fe6db567-613e-491f-9852-c916278ed6fa","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 1.","Manhole 1.5"
"c04fc296-fe88-4359-b736-732adfbddf7c","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 1.","Manhole 1.5.1"
"4558a00c-89ac-462c-a129-2ad582c94a4a","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 1.","Manhole 1.5.2"
"8e08044b-0565-446a-bca8-ff195d3098fb","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 1.","Manhole 1.5.3"
"2f933839-148b-4c19-81cf-267707110f1e","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 1.","Manhole 1.6"
"667b4b74-d7c4-4cc5-90ad-4a3586c4ff6f","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 1."," Manhole 1.4.1"
"3b24326a-34e8-51d3-bfeb-e1a07aaf4adf","","checklist-sectioned","work-in-progress","e943ef559ce6e325a207088cd62e3cdbdc6d68232c022628c16ac9ed176a2917","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 1."," Manhole 1.4.1","Manhole Install"
"8fba6892-dc8b-454a-8d07-203a72e5302e","","folder-progress","no-status-not-started","","checklist","TRUE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 2."
"915c17f1-576f-4949-a557-6981185efc12","","folder-progress","not-started","","checklist","TRUE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3."
"362d0ee1-000f-4fda-8bdc-4294907a5e65","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","CP 3.3.a"
"5f3257ac-8ee4-4e76-a7c8-68a334e45d53","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","CP 3.4.a"
"54abc579-e3b5-4b35-99c9-76385825eb9d","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","CP 3.6.a"
"f0d752d9-aa26-46b6-97fb-13b7444e8b04","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","CP 3.7.1.a"
"8a95a272-bd63-4c53-b72f-8c0800ecf32d","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","CP 3.7.2.a"
"d1156be8-82aa-4677-b566-097ea5f4d903","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","CP 3.7.3.a"
"3f6585f0-d6ec-4922-af15-3441a00fc8b1","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","CP 3.7.4.a"
"84b63623-d3cc-476d-a509-5c8df6dbc655","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","CP 3.7.4.b"
"05b0d7f2-fbc6-42cd-8188-7d2e818c2da4","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","CP 3.7.5.a"
"b0c08726-211e-45bd-b4c3-99f17e9c2d7f","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","CP 3.7.5.b"
"807ec4be-e3af-46c9-90be-d790609bb791","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","CP 3.7.6.a"
"f98724fa-a18f-4fe7-9a4c-5a91602c47ad","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","CP 3.7.7.a"
"4e435856-de1c-4e73-bf83-0c9111794d6d","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","CP 3.7.8.a"
"cf356092-a432-45ef-af2a-cd2195fcd062","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","CP 3.7.8.b"
"12131021-0e21-4a9e-a3ca-4ad74c5ec300","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","CP 3.7.9.a"
"9070711f-0a6a-4b2b-a17c-90d7866470f7","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","CP 3.7.a"
"a3c45243-31a4-4acc-a3a0-cc9de723cde1","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","CP 3.7.b"
"e330a88d-e1c5-4897-b409-fcb74e56f254","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","CP 3.8.2.a"
"1256e8b5-5745-4ef6-b34c-4801bb4d9ec5","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","CP 3.8.3.a"
"26e06867-ef8e-428f-b86b-4ca31b05855c","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","CP 3.8.a"
"4dffd0db-958b-4ffb-ae0e-03bed7607821","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","CP 3.9.a"
"351c2706-237c-4f00-b039-7742e709b8bf","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","CP 3.9.b"
"63d64fd4-ac5e-4ce5-b2af-3d4e69500c61","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","CP 3.10.a"
"fce85bd6-6bce-48aa-91dd-49611015bfa2","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","Manhole 3.3"
"b9d54921-0924-4883-aece-3e4fff1276af","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","Manhole 3.3.1"
"dfb38815-a50f-404a-bcbd-cf68a5af7648","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","Manhole 3.4"
"e5a6f005-324f-4bbc-9c84-8e6578f26eee","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","Manhole 3.5"
"b988871c-408d-48fc-9e93-3fab8722f55c","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","Manhole 3.5.A"
"526a89f0-27dd-4efb-a9bc-57814f8efe67","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","Manhole 3.5.A.1"
"d9b29cb2-b767-4d97-a236-5190a7c001a3","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","Manhole 3.6"
"523183b1-101e-49cb-9bf3-2cc1cdf1aabb","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","Manhole 3.6.1"
"28c63a0b-6f3e-456e-b104-0210f4ce698c","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","Manhole 3.6.A"
"b01053d1-ce86-4727-b9dc-4fb257a4a8bb","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","Manhole 3.6.A.1"
"ccb35d79-d295-4f77-8ada-20212ba6ff93","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","Manhole 3.6.A.2"
"a6a8b594-b18e-4c29-b211-6fe2a2da7fa4","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","Manhole 3.6.A.3"
"273ba478-bb53-429a-88a2-04e060d067fa","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","Manhole 3.6.B"
"3504523c-fd07-4a58-855a-97d263146046","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","Manhole 3.7"
"d65bfd49-f7cf-4f39-b2bb-c24da87a1386","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","Manhole 3.7.1"
"8732b329-6e17-4cc4-9170-48715d941411","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","Manhole 3.7.2"
"afec3c0a-0c09-4e45-95dc-4247b75cfd6b","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","Manhole 3.7.3"
"fc80f2e8-ecfd-4d73-b0fd-45da89939fc0","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","Manhole 3.7.4"
"afa36e8e-933d-4734-8dcd-26429ea06aba","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","Manhole 3.7.5"
"0555a525-e70d-452a-aef8-5e1ff5576201","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","Manhole 3.7.6"
"68e48898-2c63-4594-81f3-9f4bfff39218","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","Manhole 3.7.7"
"3a4f9a4d-3eb5-4fb1-983f-5cc690934e1a","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","Manhole 3.7.8"
"83aed409-97d6-4966-857f-84a7e239e97a","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","Manhole 3.7.9"
"42f0375e-5b23-4a34-99a8-2cf566421e7d","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","Manhole 3.7.A"
"7586bfd9-6414-4dab-9c0c-b575d599daff","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","Manhole 3.7.B"
"e805963e-f94a-43de-9059-527d345df547","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","Manhole 3.8"
"d4fb982c-12e9-4ce3-8ec3-ffc0dcf8a786","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","Manhole 3.8.1"
"622d3381-8297-4789-882f-a8e9da6eafe7","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","Manhole 3.8.2"
"3b858a29-9290-480d-8153-b7bf383b1837","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","Manhole 3.8.3"
"7f76ad47-f2d7-48ab-a60c-7ae0c6b3c89d","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","Manhole 3.8.4"
"51c2db2d-8161-45f7-804c-d47308943b93","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","Manhole 3.8.5"
"08647c21-da9e-49f0-871c-fa79e7c136f0","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","Manhole 3.8.A"
"10af073d-cf97-4542-a51c-2676ed803819","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","Manhole 3.9"
"80bf9021-7c82-409c-9a2c-48043ee7813d","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 3.","Manhole 3.10"
"17df695c-ce39-4617-a42c-5e84dc9ac21f","","folder-progress","no-status-not-started","","checklist","TRUE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 4."
"5710da63-4db2-4302-9a36-7111960f5f2e","","folder-progress","not-started","","checklist","TRUE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 5."
"8eba657d-ea8c-4f78-87b8-e1ace78920cf","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 5.","CP 5.0.a"
"222864fa-fc02-45a0-86ae-b634674ba53d","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 5.","Manhole 5.0"
"6aa30765-0604-42e5-b0ee-324e4def34f0","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 5.","Manhole 5.1"
