type,name,values,prefix,postfix,usage count,user addable,template name,,,,,
button,Pressure boxes installed,"Yes,No,N/A",,,,,,,,,,
button,Pressure box rough-in sealed,"Yes,No,N/A",,,,,,,,,,
button,Fire rated boxes installed,"Yes,No,N/A",,,,,,,,,,
button,Cut outs marked,"Yes,No,N/A",,,,,,,,,,
button,Noggins installed as marked,"Yes,No,N/A",,,,,,,,,,
holdpoint,Subcontractor presheet works complete (S/C to sign),,,,,,,,,,,
checkpoint,AV - SKS - Pass once below is completed,,,,,,,,,,,
button,Rough-in complete,"Yes,No,N/A",,,,,,,,,,
button,Pressure boxes installed,"Yes,No,N/A",,,,,,,,,,
button,Pressure box rough-in sealed,"Yes,No,N/A",,,,,,,,,,
button,Fire rated boxes installed,"Yes,No,N/A",,,,,,,,,,
button,Cut outs marked,"Yes,No,N/A",,,,,,,,,,
button,Noggins installed as marked / TV support,"Yes,No,N/A",,,,,,,,,,
holdpoint,Subcontractor presheet works complete (S/C to sign),,,,,,,,,,,
checkpoint,Joinery - GOSA/Jacaranda -Pass once below is completed,,,,,,,,,,,
button,Noggins installed as marked,"Yes,No,N/A",,,,,,,,,,
button,Cut outs framed as marked (mental health),"Yes,No,N/A",,,,,,,,,,
holdpoint,Subcontractor presheet works complete (S/C to sign),,,,,,,,,,,
checkpoint,Sanitary Hardware - Casello - Pass once below is completed,,,,,,,,,,,
button,Cut outs framed as marked (mental health),"Yes,No,N/A",,,,,,,,,,
button,Noggins installed as marked,"Yes,No,N/A",,,,,,,,,,
holdpoint,Subcontractor presheet works complete (S/C to sign),,,,,,,,,,,
checkpoint,Plaster - Expo / Express - Pass once below is completed,,,,,,,,,,,
button,All rough-in complete,"Yes,No,N/A",,,,,,,,,,
button,Studs installed @ correct centres (max 600mm) and framing noggins as per wall type,"Yes,No,N/A",,,,,,,,,,
button,Wall cavity clean / no waste / vacuumed,"Yes,No,N/A",,,,,,,,,,
button,No screws in head track,"Yes,No,N/A",,,,,,,,,,
button,Secondary steel (walls) as marked - (drug safe / drop down rails / gun safes etc),"Yes,No,N/A",,,,,,,,,,
button,Door frames installed and filled when in fire rated wall,"Yes,No,N/A",,,,,,,,,,
button,Special door openings framing and noggins for autoclosers etc,"Yes,No,N/A",,,,,,,,,,
button,Insulation installed,"Yes,No,N/A",,,,,,,,,,
button,Noggins installed as marked,"Yes,No,N/A",,,,,,,,,,
holdpoint,Subcontractor presheet works complete (S/C to sign),,,,,,,,,,,
checkpoint,MPX FINAL SIGN-OFF,,,,,,,,,,,
button,All services signed off,"Yes,No,N/A",,,,,,,,,,
button,Wall cavity clean and free of any rubbish / dust,"Yes,No,N/A",,,,,,,,,,
button,Photos taken of all walls prior to sheeting,"Yes,No,N/A",,,,,,,,,,
holdpoint,MPX sign-off,,,,,,,,,,,
,,,,,,,,,,,,
checklist-flat,Pre Grid Sign off,,,,,,Pre grid install Ceilings,,,,,
checkpoint,Electrical - Apps Electrical - Pass once below is completed,,,,,,,,,,,
button,Rough in complete,"Yes,No,N/A",,,,,,,,,,
button,Access Panel / ceiling set out location marked,"Yes,No,N/A",,,,,,,,,,
button,All cables through fire rated / smoke / pressurized walls are all sealed,"Yes,No,N/A",,,,,,,,,,
button,"Fire rated penetrations have stickers, and photos taken","Yes,No,N/A",,,,,,,,,,
holdpoint,Subcontractor presheet works complete (S/C to sign),,,,,,,,,,,
checkpoint,Hydraulics - Planet Plumbing - Pass once below is completed,,,,,,,,,,,
button,Rough in complete including lagging to drains and pipes,"Yes,No,N/A",,,,,,,,,,
button,All pipes through fire rated / smoke / pressurized walls are all sealed,"Yes,No,N/A",,,,,,,,,,
button,"Fire rated penetrations have stickers, and photos taken","Yes,No,N/A",,,,,,,,,,
button,Access Panel locations marked and isolation valves accessible,"Yes,No,N/A",,,,,,,,,,
button,Pressure test completed and passed,"Yes,No,N/A",,,,,,,,,,
holdpoint,Subcontractor presheet works complete (S/C to sign),,,,,,,,,,,
checkpoint,Mechanical - DE-ELLIS - Pass once below is completed,,,,,,,,,,,
button,Rough in complete including lagging to drains and pipes,"Yes,No,N/A",,,,,,,,,,
button,All penetrations through fire rated / smoke /pressurized walls are all sealed,"Yes,No,N/A",,,,,,,,,,
button,Fire dampers installed correctly and sealed and labeled,"Yes,No,N/A",,,,,,,,,,
button,"Fire rated penetrations have stickers, and photos taken","Yes,No,N/A",,,,,,,,,,
button,Access Panel / ceiling set out location marked,"Yes,No,N/A",,,,,,,,,,
button,Pressure test completed and passed,"Yes,No,N/A",,,,,,,,,,
holdpoint,Subcontractor presheet works complete (S/C to sign),,,,,,,,,,,
checkpoint,Medical Gas - DE-ELLIS -Pass once below is completed,,,,,,,,,,,
button,Rough in complete,"Yes,No,N/A",,,,,,,,,,
button,All pipes through fire rated / smoke / pressurized walls are all sealed,"Yes,No,N/A",,,,,,,,,,
button,"Fire rated penetrations have stickers, and photos taken","Yes,No,N/A",,,,,,,,,,
button,Pressure test completed and passed,"Yes,No,N/A",,,,,,,,,,
holdpoint,Subcontractor presheet works complete (S/C to sign),,,,,,,,,,,
checkpoint,Pneumatic Piping - DE-ELLIS -Pass once below is completed,,,,,,,,,,,
button,Rough in complete,"Yes,No,N/A",,,,,,,,,,
button,All pipes through fire rated / smoke / pressurized walls are all sealed,"Yes,No,N/A",,,,,,,,,,
button,"Fire rated penetrations have stickers, and photos taken","Yes,No,N/A",,,,,,,,,,
button,Pressure test completed and passed,"Yes,No,N/A",,,,,,,,,,
holdpoint,Subcontractor presheet works complete (S/C to sign),,,,,,,,,,,
checkpoint,Wet Fire - Contract Fire -Pass once below is completed,,,,,,,,,,,
button,Rough in complete,"Yes,No,N/A",,,,,,,,,,
button,All pipes through fire rated / smoke / pressurized walls are all sealed,"Yes,No,N/A",,,,,,,,,,
button,Ceiling set out marked,"Yes,No,N/A",,,,,,,,,,
button,"Fire rated penetrations have stickers, and photos taken","Yes,No,N/A",,,,,,,,,,
button,In ceiling sprinklers / detectors have been fitted off / spray pattern unobstructed,"Yes,No,N/A",,,,,,,,,,
button,Pressure test completed and passed,"Yes,No,N/A",,,,,,,,,,
holdpoint,Subcontractor presheet works complete (S/C to sign),,,,,,,,,,,
checkpoint,Dry Fire - Jaycon -Pass once below is completed,,,,,,,,,,,
button,Rough in complete,"Yes,No,N/A",,,,,,,,,,
button,All cables through fire rated / smoke / pressurized walls are all sealed,"Yes,No,N/A",,,,,,,,,,
button,Ceiling set out marked,"Yes,No,N/A",,,,,,,,,,
button,"Fire rated penetrations have stickers, and photos taken","Yes,No,N/A",,,,,,,,,,
holdpoint,Subcontractor presheet works complete (S/C to sign),,,,,,,,,,,
checkpoint,Security- Honeywell -Pass once below is completed,,,,,,,,,,,
button,Rough in complete,"Yes,No,N/A",,,,,,,,,,
button,All cables through fire rated / smoke / pressurized walls are all sealed,"Yes,No,N/A",,,,,,,,,,
button,"Fire rated penetrations have stickers, and photos taken","Yes,No,N/A",,,,,,,,,,
holdpoint,Subcontractor presheet works complete (S/C to sign),,,,,,,,,,,
checkpoint,Data - SKS -Pass once below is completed,,,,,,,,,,,
button,Rough in complete,"Yes,No,N/A",,,,,,,,,,
button,All cables through fire rated / smoke / pressurized walls are all sealed,"Yes,No,N/A",,,,,,,,,,
button,"Fire rated penetrations have stickers, and photos taken","Yes,No,N/A",,,,,,,,,,
button,Service separation to power verified,"Yes,No,N/A",,,,,,,,,,
holdpoint,Subcontractor presheet works complete (S/C to sign),,,,,,,,,,,
checkpoint,Nurse Call - APPS Electrical-Pass once below is completed,,,,,,,,,,,
button,Rough in complete,"Yes,No,N/A",,,,,,,,,,
button,All cables through fire rated / smoke / pressurized walls are all sealed,"Yes,No,N/A",,,,,,,,,,
button,"Fire rated penetrations have stickers, and photos taken","Yes,No,N/A",,,,,,,,,,
holdpoint,Subcontractor presheet works complete (S/C to sign),,,,,,,,,,,
checkpoint,AV - SKS -Pass once below is completed,,,,,,,,,,,
button,Rough in complete,"Yes,No,N/A",,,,,,,,,,
button,All cables through fire rated / smoke / pressurized walls are all sealed,"Yes,No,N/A",,,,,,,,,,
button,TV support poles installed,"Yes,No,N/A",,,,,,,,,,
button,"Fire rated penetrations have stickers, and photos taken","Yes,No,N/A",,,,,,,,,,
holdpoint,Subcontractor presheet works complete (S/C to sign),,,,,,,,,,,
checkpoint,Patient lifters- -Pass once below is completed,,,,,,,,,,,
button,Patient lifter track / hanger system installed,"Yes,No,N/A",,,,,,,,,,
button,Patient lifter track / hanger system load test completed and passed,"Yes,No,N/A",,,,,,,,,,
button,Power supply correctly located,"Yes,No,N/A",,,,,,,,,,
holdpoint,Subcontractor presheet works complete (S/C to sign),,,,,,,,,,,
checkpoint,Equipment pendants - Device technologies -Pass once below is completed,,,,,,,,,,,
button,Pendant supports installed,"Yes,No,N/A",,,,,,,,,,
holdpoint,Subcontractor presheet works complete (S/C to sign),,,,,,,,,,,
checkpoint,Plaster - Express / Expo - Pass once below is completed,,,,,,,,,,,
button,All penetrations through fire rated / smoke / pressurized walls are all sealed,"Yes,No,N/A",,,,,,,,,,
button,All walls caulked to slab and soffitt / joints and screws stopped,"Yes,No,N/A",,,,,,,,,,
button,No screws in top track,"Yes,No,N/A",,,,,,,,,,
button,Screws installed to correct centers as per specification to walls,"Yes,No,N/A",,,,,,,,,,
holdpoint,Subcontractor presheet works complete (S/C to sign),,,,,,,,,,,
checkpoint,MPX FINAL SIGN-OFF,,,,,,,,,,,
button,All subcontractors signed off,"Yes,No,N/A",,,,,,,,,,
button,Building Surveyor Fire Wall inspection complete,"Yes,No,N/A",,,,,,,,,,
button,No Fixings to Head Track or Between Stud & Top Track,"Yes,No,N/A",,,,,,,,,,
button,Photos taken of all walls prior to sheeting,"Yes,No,N/A",,,,,,,,,,
holdpoint,MPX sign-off,,,,,,,,,,,
,,,,,,,,,,,,
checklist-flat,Pre Ceiling Sign off,,,,,,Pre sheet install Ceilings,,,,,
checkpoint,Electrical - Apps Electrical - Pass once below is completed,,,,,,,,,,,
button,Ceiling fitting / rough-in complete and correctly located,"Yes,No,N/A",,,,,,,,,,
button,Access Panel Openings Constructed and equipment is accessible,"Yes,No,N/A",,,,,,,,,,
button,All cables through fire rated / smoke / pressurized walls are all sealed,"Yes,No,N/A",,,,,,,,,,
button,Ceiling noggins installed,"Yes,No,N/A",,,,,,,,,,
button,"Fire rated penetrations have stickers, and photos taken","Yes,No,N/A",,,,,,,,,,
holdpoint,Subcontractor presheet works complete (S/C to sign),,,,,,,,,,,
checkpoint,Hydraulics - Planet Plumbing - Pass once below is completed,,,,,,,,,,,
button,All pipes connected,"Yes,No,N/A",,,,,,,,,,
button,All pipes through fire rated / smoke / pressurized walls are all sealed,"Yes,No,N/A",,,,,,,,,,
button,"Fire rated penetrations have stickers, and photos taken","Yes,No,N/A",,,,,,,,,,
button,Access Panel openings constructed and isolation valves accessible,"Yes,No,N/A",,,,,,,,,,
button,Lagging complete to pipes and drains,"Yes,No,N/A",,,,,,,,,,
button,Pressure test completed and passed,"Yes,No,N/A",,,,,,,,,,
holdpoint,Subcontractor presheet works complete (S/C to sign),,,,,,,,,,,
checkpoint,Mechanical - DE-ELLIS - Pass once below is completed,,,,,,,,,,,
button,In ceiling fit off complete,"Yes,No,N/A",,,,,,,,,,
button,All penetrations through fire rated / smoke /pressurized walls are all sealed,"Yes,No,N/A",,,,,,,,,,
button,Fire dampers installed correctly and sealed and labeled,"Yes,No,N/A",,,,,,,,,,
button,"Fire rated penetrations have stickers, and photos taken","Yes,No,N/A",,,,,,,,,,
button,Access Panel Openings Constructed and equipment is accessible for servicing,"Yes,No,N/A",,,,,,,,,,
button,Lagging complete to pipes,"Yes,No,N/A",,,,,,,,,,
button,Pressure test completed and passed,"Yes,No,N/A",,,,,,,,,,
holdpoint,Subcontractor presheet works complete (S/C to sign),,,,,,,,,,,
checkpoint,Medical Gas - DE-ELLIS -Pass once below is completed,,,,,,,,,,,
button,In ceiling fit off complete,"Yes,No,N/A",,,,,,,,,,
button,All pipes through fire rated / smoke / pressurized walls are all sealed,"Yes,No,N/A",,,,,,,,,,
button,"Fire rated penetrations have stickers, and photos taken","Yes,No,N/A",,,,,,,,,,
button,Pressure test completed and passed,"Yes,No,N/A",,,,,,,,,,
holdpoint,Subcontractor presheet works complete (S/C to sign),,,,,,,,,,,
checkpoint,Pneumatic Piping - DE-ELLIS -Pass once below is completed,,,,,,,,,,,
button,In ceiling fit off complete,"Yes,No,N/A",,,,,,,,,,
button,All pipes through fire rated / smoke / pressurized walls are all sealed,"Yes,No,N/A",,,,,,,,,,
button,"Fire rated penetrations have stickers, and photos taken","Yes,No,N/A",,,,,,,,,,
button,Pressure test completed and passed,"Yes,No,N/A",,,,,,,,,,
holdpoint,Subcontractor presheet works complete (S/C to sign),,,,,,,,,,,
checkpoint,Wet Fire - Contract Fire -Pass once below is completed,,,,,,,,,,,
button,In ceiling sprinklers / detectors have been fitted off / spray pattern unobstructed,"Yes,No,N/A",,,,,,,,,,
button,Fit off to ceiling grid complete,"Yes,No,N/A",,,,,,,,,,
button,All pipes through fire rated / smoke / pressurized walls are all sealed,"Yes,No,N/A",,,,,,,,,,
button,"Fire rated penetrations have stickers, and photos taken","Yes,No,N/A",,,,,,,,,,
button,Pressure test completed and passed,"Yes,No,N/A",,,,,,,,,,
holdpoint,Subcontractor presheet works complete (S/C to sign),,,,,,,,,,,
checkpoint,Dry Fire - Jaycon -Pass once below is completed,,,,,,,,,,,
button,In ceiling rough in complete and cables correctly located,"Yes,No,N/A",,,,,,,,,,
button,All cables through fire rated / smoke / pressurized walls are all sealed,"Yes,No,N/A",,,,,,,,,,
button,"Fire rated penetrations have stickers, and photos taken","Yes,No,N/A",,,,,,,,,,
holdpoint,Subcontractor presheet works complete (S/C to sign),,,,,,,,,,,
checkpoint,Security- Honeywell -Pass once below is completed,,,,,,,,,,,
button,All cables through fire rated / smoke / pressurized walls are all sealed,"Yes,No,N/A",,,,,,,,,,
button,"Fire rated penetrations have stickers, and photos taken","Yes,No,N/A",,,,,,,,,,
holdpoint,Subcontractor presheet works complete (S/C to sign),,,,,,,,,,,
checkpoint,Data - SKS -Pass once below is completed,,,,,,,,,,,
button,In ceiling rough in complete and cables correctly located,"Yes,No,N/A",,,,,,,,,,
button,All cables through fire rated / smoke / pressurized walls are all sealed,"Yes,No,N/A",,,,,,,,,,
button,"Fire rated penetrations have stickers, and photos taken","Yes,No,N/A",,,,,,,,,,
holdpoint,Subcontractor presheet works complete (S/C to sign),,,,,,,,,,,
checkpoint,Nurse Call -Pass once below is completed,,,,,,,,,,,
button,In ceiling rough in complete and cables correctly located,"Yes,No,N/A",,,,,,,,,,
button,All cables through fire rated / smoke / pressurized walls are all sealed,"Yes,No,N/A",,,,,,,,,,
button,"Fire rated penetrations have stickers, and photos taken","Yes,No,N/A",,,,,,,,,,
holdpoint,Subcontractor presheet works complete (S/C to sign),,,,,,,,,,,
checkpoint,AV - SKS -Pass once below is completed,,,,,,,,,,,
button,In ceiling rough in complete and cables correctly located,"Yes,No,N/A",,,,,,,,,,
button,All cables through fire rated / smoke / pressurized walls are all sealed,"Yes,No,N/A",,,,,,,,,,
button,TV support poles / noggins installed,"Yes,No,N/A",,,,,,,,,,
button,"Fire rated penetrations have stickers, and photos taken","Yes,No,N/A",,,,,,,,,,
holdpoint,Subcontractor presheet works complete (S/C to sign),,,,,,,,,,,
checkpoint,Patient lifters- -Pass once below is completed,,,,,,,,,,,
button,Patient lifter track / hanger system installed,"Yes,No,N/A",,,,,,,,,,
button,Patient lifter track / hanger system load test completed and passed,"Yes,No,N/A",,,,,,,,,,
button,Power supply correctly located,"Yes,No,N/A",,,,,,,,,,
holdpoint,Subcontractor presheet works complete (S/C to sign),,,,,,,,,,,
checkpoint,Equipment pendants - Device Technologies -Pass once below is completed,,,,,,,,,,,
button,Pendant supports clear of ceiling grid and level correct,"Yes,No,N/A",,,,,,,,,,
button,Pendant services rough in complete (Power and Medical gas),"Yes,No,N/A",,,,,,,,,,
button,Framed opening in ceiling installed as per detail,"Yes,No,N/A",,,,,,,,,,
holdpoint,Subcontractor presheet works complete (S/C to sign),,,,,,,,,,,
checkpoint,Plaster - Express / Expo - Pass once below is completed,,,,,,,,,,,
button,All penetrations through fire rated / smoke / pressurized walls are all sealed,"Yes,No,N/A",,,,,,,,,,
button,All walls caulked to slab and soffitt / joints and screws stopped,"Yes,No,N/A",,,,,,,,,,
button,Ceiling grid installed as per design,"Yes,No,N/A",,,,,,,,,,
button,Thermal and acoustic insulation installed,"Yes,No,N/A",,,,,,,,,,
button,Ceiling Grid frame is clear from Ceiling Services,"Yes,No,N/A",,,,,,,,,,
button,Access Panel Openings Constructed as marked,"Yes,No,N/A",,,,,,,,,,
holdpoint,Subcontractor presheet works complete (S/C to sign),,,,,,,,,,,
checkpoint,MPX FINAL SIGN-OFF,,,,,,,,,,,
button,All subcontractors signed off,"Yes,No,N/A",,,,,,,,,,
button,Photos taken of all ceiling system / services prior to sheeting,"Yes,No,N/A",,,,,,,,,,
holdpoint,MPX sign-off,,,,,,,,,,,
