"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"aefef8f5-f914-4e5b-964d-dbaebed14fbb","","folder-normal","fail","","step","TRUE","FALSE","Project QA"
"bce1d63e-8772-41c7-a70b-8c020c7ac21f","","folder-normal","fail","","step","TRUE","FALSE","Project QA","Concrete QA"
"3d46900f-2ee0-4cdf-a9bc-b251bac48b6d","","checklist-flat","work-in-progress","H&S - Daily Prestart","checklist-flat","FALSE","FALSE","Health and Safety","Pre-Start","Daily Prestart16/10/2023"
"db81d574-c5e4-4e99-87bb-569b5f2d7450","","checklist-flat","not-started","H&S - Daily Prestart","checklist-flat","FALSE","FALSE","Health and Safety","Pre-Start","Daily Prestart18/10/2023"
"825f66e7-e8bd-5751-b34c-fbfddc37999d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Health and Safety","Toolbox"
"f00f4d34-75f8-5dff-ac24-92d4f7eef02d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","Jun-23"
"d36b9219-6161-5b4a-a828-83703f44b6f0","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","Jul-23"
"2e891125-bced-5fd3-8a05-5643a756c831","","folder-normal","not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","Aug-23"
"fe2b5247-5737-4ac6-b51d-479cb9818c41","","checklist-sectioned","not-started","H&S - Toolbox Meeting Minutes","checklist","FALSE","FALSE","Health and Safety","Toolbox","Aug-23","H&S - Toolbox Meeting Minutes"
"8ab495b4-dde1-4375-b812-484a453fead1","","checklist-flat","not-started","Add Daily Pre Start Checklist","checklist-flat","FALSE","FALSE","Health and Safety","Toolbox","Aug-23","Daily Pre Start Checklist"
"dbb5500f-a74e-4f80-86a8-051e4c9dec1a","","checklist-flat","not-started","Add Site Toolbox Meeting Checklist","checklist-flat","FALSE","FALSE","Health and Safety","Toolbox","Aug-23","Site Toolbox Meeting Checklist"
"c402a1ee-c98c-5523-8393-50f7c2a43848","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","Sep-23"
"26e629f0-7dff-526e-98e9-1a146fa7ff04","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","Oct-23"
"7c78e6ff-4f88-5191-b55c-8870267793bc","","folder-normal","not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","Nov-23"
"67d14c7c-b53d-4342-8c54-0b15bae7011e","","checklist-flat","not-started","Add Daily Pre Start Checklist","checklist-flat","FALSE","FALSE","Health and Safety","Toolbox","Nov-23","Daily Pre Start Checklist"
"3a58cbb5-a1e3-59a2-940d-eda0a3fc8cf2","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","Dec-23"
"06af89b8-18a8-5436-b343-bb9189228e72","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","Jan-24"
"c8736d6d-1062-5f35-b685-fcfd69d3e543","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","Feb-24"
"2a637590-810e-560d-bc9c-b59479e49c7c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","Mar-24"
"8e5c7ae0-ae18-5f36-a8e2-eb5584ed4d0d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","Apr-24"
"a46d476d-dfdf-50d1-9abe-cc08ae5f2b8f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","May-24"
"d0e6cb60-2536-50b8-80d2-a096c3e1a1e7","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","Jun-24"
"09dbfd3a-e242-59df-a199-e43cacb506fb","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","Jul-24"
"cef7cde4-ea82-55c9-8a35-64c98ac883e3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","Aug-24"
"83228fe7-622a-579d-9072-9925b78509cb","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","Sep-24"
"99ae849a-49ec-5222-bc5b-9561e9dc9838","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Toolbox","Oct-24"
"a15bef64-583e-4a7a-b327-0d5c23440285","","checklist-flat","work-in-progress","Add Site Toolbox Meeting Checklist","checklist-flat","FALSE","FALSE","Health and Safety","Toolbox","Site Toolbox Meeting Checklist 11/10/23"
"6a9b46e8-404f-4ddd-9f5f-5dddab9c14a8","","checklist-flat","work-in-progress","Add Site Toolbox Meeting Checklist","checklist-flat","FALSE","FALSE","Health and Safety","Toolbox","5981-Toolbox Meeting Checklist 11/10/23"
"5568e13d-9c25-40fb-b863-d436b5a6f474","","checklist-flat","pass","Add Site Toolbox Meeting Checklist","checklist-flat","FALSE","FALSE","Health and Safety","Toolbox","Site Toolbox Meeting Checklist11/10/2023"
"a0d8c68e-17d8-4ee7-abae-ef3e589bfd7e","","checklist-flat","pass","Add Site Toolbox Meeting Checklist","checklist-flat","FALSE","FALSE","Health and Safety","Toolbox","Site Toolbox Meeting Checklist18/10/2023"
"2242ae97-bdfd-5ffd-882b-94e89f054c9f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection"
"021eb267-571e-57fc-a807-faca65351154","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","Jun-23"
"b208d8cf-b40d-595b-bd27-a9da54a81531","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","Jul-23"
"ecf8fdf7-bcc4-5208-8c15-5880c9c28ed6","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","Aug-23"
"fb61a1ee-babd-5261-af8f-f3a344bde6bd","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","Sep-23"
"8955c023-d2c7-5685-8388-89828aa99e15","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","Oct-23"
"6235b8ca-09fb-5f6d-9ca1-040b717e6b67","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","Nov-23"
"c44f9765-1ee3-5cd2-ae40-6a738c1680fd","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","Dec-23"
"09f65490-e4f4-5706-b3d0-8889739ed763","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","Jan-24"
"0e0edd0a-a76e-5d9a-85b4-dd81a32f40b2","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","Feb-24"
"4f9f2817-c1dc-5539-ac8d-30570a14b829","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","Mar-24"
"3cadb075-73a6-5086-bb22-de83a8173cc2","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","Apr-24"
"f518c7af-347e-5194-a2df-f676ada8cd23","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","May-24"
"d96c141e-2773-5cf1-9a72-aca043edda87","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","Jun-24"
"cffefbd3-42a2-5632-8bdc-d6f6c134a325","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","Jul-24"
"fa0d3037-a8ac-5f15-bb38-87ed300ae3a4","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","Aug-24"
"71e8d06e-6255-5f44-be98-9942afa98c45","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","Sep-24"
"d29ae0d7-03c4-54a0-b0be-a5f4a0753f1a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","Oct-24"
"0e51d725-5eda-55aa-933f-08a77b34487c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation"
"82edc919-dcc4-5b9c-9eb8-6f10557b5d93","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Jun-23"
"3bc72147-fc01-50fe-acc6-5289e779b9e5","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Jul-23"
"e7dc37fd-9f24-56e2-a0c8-45316cef7edb","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Aug-23"
"aa5fb8a0-2951-52db-befe-bb5a31165d3f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Sep-23"
"d3f21537-4edd-52e5-aae5-c84a237b5a80","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Oct-23"
"3b667703-9150-583c-9373-77609fe75cc1","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Nov-23"
"f24a5c84-8c89-54ac-a95c-5dabac065aa6","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Dec-23"
"3013a54b-1cd7-5fa5-90c1-67064ad8cabd","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Jan-24"
"9a885a85-68c2-5c02-beeb-19fa7027383a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Feb-24"
"39d5061f-51c9-5df6-80a4-99afed235b7f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Mar-24"
"99a6fd9f-49e4-551f-bde6-1984b32cb879","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Apr-24"
"ac29b7cf-a17a-5cde-ba86-2f239195adcd","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","May-24"
"72d936a3-4792-5faa-885d-3cbd21386146","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Jun-24"
"7a49608c-34a9-56aa-9d1b-cca2d1dce468","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Jul-24"
"ddd95654-2070-587d-b526-b78508c4516a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Aug-24"
"1cfd295c-5bfe-527d-b3c3-5cd25b36de03","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Sep-24"
"ec921ac1-70b4-5f9a-9190-8650450e0c28","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Oct-24"
"7fae898b-8d41-59df-bc58-3ec00312f55c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping"
"faa94341-990e-5fb7-a8b0-a68a9a26337d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Jun-23"
"dcb6de36-a33b-5ddc-a010-89fa2d80518d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Jul-23"
"c5646d6e-31e8-5bbc-9ba2-e55ef06981ed","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Aug-23"
"62ca419b-0b40-5787-85ba-9b8d9742aeed","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Sep-23"
"2bc84048-f960-57f3-8595-7ca5dec23f00","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Oct-23"
"348e6b4d-66ac-5364-b0a2-bf45e2fb9d33","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Nov-23"
"0931249b-d360-53ab-9d8c-339c6ede9f1c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Dec-23"
"fd412f42-1801-5a78-93cd-a9228041e934","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Jan-24"
"5b163002-8289-5b6b-a583-8754ba0ff3f2","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Feb-24"
"cd0df5ca-3f3b-5cd5-8347-8ef45d9393ae","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Mar-24"
"9d3532fc-6bce-50f1-bcf1-111032070891","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Apr-24"
"6cf491c4-9ad4-53da-a741-aa40779500c5","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","May-24"
"f34df80a-06af-5d72-9a9a-171d9a7a9c71","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Jun-24"
"da3e9ab1-56bc-50b8-a0ee-eea27dcd3a3f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Jul-24"
"3de271f1-3e10-5537-8c16-1f44be28ed88","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Aug-24"
"5ead255e-c41e-5e2e-af1b-4ad28ec5fef5","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Sep-24"
"c432742f-b151-591d-891a-10d9a52d9f05","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Oct-24"
"3b7788a4-49e9-52f1-bd39-5b371572a01c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA"
"5150aaeb-e533-51c8-b388-1459ff13ab26","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","Jun-23"
"52d801fa-c0f4-5d26-ad01-eb4c9840843e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","Jul-23"
"1030e188-f4bb-5848-a9c5-e0eb1064df28","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","Aug-23"
"f41a1f95-1815-5751-b2e4-5c238d4da707","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","Sep-23"
"c356940f-9a78-5370-b5ae-9e62c82ada30","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","Oct-23"
"4247d217-cc93-5bf6-a7d9-e9a0cf275fe8","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","Nov-23"
"48d78d6f-0e72-51a0-b579-d8ca4f1a0731","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","Dec-23"
"91049f8d-f2b3-59cd-b103-2d767cf3a13a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","Jan-24"
"e5033239-aa6a-59cf-81f2-c13c7441e276","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","Feb-24"
"3d55ed78-26a1-5b9b-906b-6c5eb7418539","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","Mar-24"
"af794e94-722c-5d1b-aed0-d746ff9e03df","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","Apr-24"
"9a0e63a3-5e74-51f0-8d32-92a82394df15","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","May-24"
"e06ae2d9-c90c-58a2-a11b-8e924a3d4801","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","Jun-24"
"fab6490b-f888-5ccc-9549-0f7640de4dbf","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","Jul-24"
"b7dbc0ee-e2e6-5e94-91eb-2e774a68a033","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","Aug-24"
"4e0591d9-d494-5755-9997-23a8932d4dbe","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","Sep-24"
"91b99ac2-bcb2-5bc4-979e-a25677d1ff11","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","Oct-24"
"d17a088a-b701-51f8-b30c-a72d24f38663","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Stand Down"
"08310f7f-ce5c-5e93-b660-3cf9ff7cbdfa","","folder-normal","not-started","","step","TRUE","FALSE","Health and Safety","Documents"
"2a68f94e-e4d8-4547-ac5b-7ac01699a3c2","","checklist-sectioned","not-started","H&S - Toolbox Meeting Minutes","checklist","FALSE","FALSE","Health and Safety","Documents","H&S - Toolbox Meeting Minutes"
"32223b69-e1ee-4046-8a61-6f06f01ccdbb","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Romanos#5983"
"9d6c361a-8060-4a8d-ae89-d02300273152","","checklist-flat","not-started","Site Establishment Pre-start Checklist","checklist-flat","FALSE","FALSE","Site Establishment Pre-start Checklist"
"cb87c4f6-f8d2-484e-8bae-f579e9a54401","","checklist-sectioned","not-started","Topping Slab Checklist","checklist","FALSE","FALSE","Topping Slab: TEST"
