"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"35576cc0-2b37-49af-916f-a45fc7ac2800","","folder-normal","not-started","","step","TRUE","FALSE","Site QA"
"de4f1e85-fa48-4c41-9eb3-5fdfa83e8a68","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Slab PT"
"2e685f9d-35ee-453a-9d62-9a0ff7e9190a","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Slab PT","Level 1"
"d177ee29-ebf5-4bdc-b31f-2398be9cb5d0","","checklist-flat","not-started","PT Pre-Pour ITP","checklist-flat","FALSE","FALSE","Site QA","Slab PT","Level 1","Pre-Pour"
"670b3e45-ad74-5cde-9657-6baf741a5b82","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 1","Post-Pour","Has a full stress (156kN) been carried out as per the design requirements?"
"3bb0867a-19d5-5ffc-906a-33e621407c45","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 1","Post-Pour","Have the extensions been recorded and submitted?"
"4aa2ad4d-a475-5438-ae51-36e2c55d3dc6","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 1","Post-Pour","Have the extensions been approved and received?"
"b99bced1-75bd-5102-8f91-bf89a3d9bb0b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 1","Post-Pour","Have the tendons been cut & sealed?"
"afd9f67f-dc59-5a81-8245-5f8e290994b2","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 1","Post-Pour","Confirmation of Structural engineers’ acceptance of stressing record via to grouting"
"86139a1a-4f05-5a44-b809-3318ff222fa0","","holdpoint","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 1","Post-Pour","HOLDPOINT - Click here to request Engineer signoff"
"e9d1c766-80f7-566f-8bdb-f4bfc5519af6","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 1","Post-Pour","Have the tendons been grouted?"
"735ed5df-94c5-589a-b336-a73153460044","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 1","Post-Pour","Batch ID and expiration date for grout enterred below"
"5b8d0934-38d0-4927-9bb8-5b08d59cf93b","","checklist-flat","not-started","PT Tendon Extension Report Upload","checklist-flat","FALSE","FALSE","Site QA","Slab PT","Level 1","PT Tendon Extension Report"
"371d6a75-01be-5b8c-9195-945cfa452c36","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 1","PT Tendon Extension Report","Tendon Extension Report uploaded below"
"61b22429-84b8-49dc-a7d8-bccbbf540d23","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Slab PT","Level 2"
"d9934290-dc75-43ca-9898-7b678872ba3a","","checklist-flat","not-started","PT Pre-Pour ITP","checklist-flat","FALSE","FALSE","Site QA","Slab PT","Level 2","Pre-Pour"
"089c036d-d4e4-5e37-89f6-43de07ed50d4","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 2","Pre-Pour","Drawings and Revisions - uploaded below as necessary"
"d20f1095-a07e-5c4e-8b37-a879b9b930e8","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 2","Pre-Pour","Are the Anchorages securely fixed and anti-burst installed?"
"74051d93-cddf-5090-a054-029212016061","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 2","Pre-Pour","Is the duct placed in the correct position and alignment, with joints sealed?"
"3e4399d4-5de3-56db-b125-f1c481569bff","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 2","Pre-Pour","Has the tendon been installed with the correct position and alignment, with joints sealed?"
"38053f0f-2343-528a-a34c-bbad3bdc2349","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 2","Pre-Pour","Strand Information entered below"
"64fae38f-e698-56ef-ad1d-6e76bbbfd2d3","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 2","Pre-Pour","Are the Circle Dead Ends used, including anti-burst installed (onion or swage)?"
"8f2e7068-8022-5c7d-86a6-4c83b89b0197","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 2","Pre-Pour","Are tendons profiled correctly and supporting chairs secured?"
"b64e8d8e-52ba-541d-aa51-c84c154b52e9","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 2","Pre-Pour","All pans to have minimum 50mm clearance off of deck"
"f10cdc4c-cf69-58dc-863a-b07e5c0a606e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 2","Pre-Pour","Are grout hoses installed with anchorages sealed?"
"ef7e5a8d-5279-5c28-b9ba-1b42e8d9a774","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 2","Pre-Pour","Has the post-tensioning system been inspected and signed off by an Engineer?"
"a5e3a890-be5a-404a-bca2-8773ae046151","","checklist-flat","not-started","5a575ff13251ffbd4b43763e34f1c29779161973cbeb4e446eb56ebea5b5d74c","checklist-flat","FALSE","FALSE","Site QA","Slab PT","Level 2","Post-Pour"
"2bb83e7d-5974-5b2c-9977-69060acbb54c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 2","Post-Pour","Drawings and Revisions - uploaded below as necessary"
"ed22d2a1-7b50-552f-9510-944af3366739","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 2","Post-Pour","Are the anchor blocks and wedges installed?"
"d6632ac1-96a3-5ac1-9257-563c071ab3b7","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 2","Post-Pour","Has an initial stress (39kN) been carried out as per design requirements?"
"c65b47ce-a77a-56a7-8bf7-145380e31d75","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 2","Post-Pour","Has AusPT received confirmation via Aconex/sighted of the concrete test report prior to commencement of full stress?"
"ad7d4faa-ed4e-52c9-a7e8-c67418cb46e6","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 2","Post-Pour","Has the concrete test results reached minimum required strength (25mPa) as per Engineer’s requirements? Make a hold point."
"4d3b9bf9-aaf2-5c4e-bdd8-12ec67d8a283","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 2","Post-Pour","Has a full stress (156kN) been carried out as per the design requirements?"
"9cc91d84-75b0-5b7c-a242-b8215b25390f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 2","Post-Pour","Have the extensions been recorded and submitted?"
"8658cc63-5c1a-573e-99e7-32afadc1bf17","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 2","Post-Pour","Have the extensions been approved and received?"
"c85c21e0-6a5b-5edc-89f6-832be4f1dcc2","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 2","Post-Pour","Have the tendons been cut & sealed?"
"6af2afc8-0d11-5c1d-afc3-b4a5d324389e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 2","Post-Pour","Confirmation of Structural engineers’ acceptance of stressing record via to grouting"
"128010eb-45ed-5378-9c58-aa58e8d59a6b","","holdpoint","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 2","Post-Pour","HOLDPOINT - Click here to request Engineer signoff"
"738441af-4ef5-5b62-8df3-1f1dbe209cc0","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 2","Post-Pour","Have the tendons been grouted?"
"a261ce50-3699-53b0-98b0-bdd83df4ce6a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 2","Post-Pour","Batch ID and expiration date for grout enterred below"
"d70f004d-eeb8-4ec6-a5ff-ac9633e6675f","","checklist-flat","not-started","PT Tendon Extension Report Upload","checklist-flat","FALSE","FALSE","Site QA","Slab PT","Level 2","PT Tendon Extension Report"
"fa6336ef-6690-5163-94c5-13c48ce282aa","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 2","PT Tendon Extension Report","Tendon Extension Report uploaded below"
"b75ffed8-f644-49c0-bc18-9a1a2aba2d78","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Slab PT","Level 3"
"53cc88a2-7d39-45b4-9a5e-461559618512","","checklist-flat","not-started","PT Pre-Pour ITP","checklist-flat","FALSE","FALSE","Site QA","Slab PT","Level 3","Pre-Pour"
"db218026-e5d2-56ef-acb8-1ebecfe86740","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 3","Pre-Pour","Drawings and Revisions - uploaded below as necessary"
"7b02785e-32df-5db2-a369-a981ee9226a6","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 3","Pre-Pour","Are the Anchorages securely fixed and anti-burst installed?"
"b9986a55-a058-5821-b73d-b66550131008","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 3","Pre-Pour","Is the duct placed in the correct position and alignment, with joints sealed?"
"8c82e1c7-b918-5220-bb8e-9249879becdc","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 3","Pre-Pour","Has the tendon been installed with the correct position and alignment, with joints sealed?"
"0ca6a4cf-48a4-5ca4-bc07-a21709db07f0","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 3","Pre-Pour","Strand Information entered below"
"af73c0ac-b461-5c8a-b554-bc094bfba6ac","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 3","Pre-Pour","Are the Circle Dead Ends used, including anti-burst installed (onion or swage)?"
"fce44a20-e3a5-5374-a417-0c16a8d674f2","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 3","Pre-Pour","Are tendons profiled correctly and supporting chairs secured?"
"9f748688-ff89-5658-98f1-a1af42f2326e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 3","Pre-Pour","All pans to have minimum 50mm clearance off of deck"
"54c50daf-5dc7-5bc9-b25e-938066e7f406","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 3","Pre-Pour","Are grout hoses installed with anchorages sealed?"
"89f98653-f1d0-5317-9f6b-e6a222cdc20e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 3","Pre-Pour","Has the post-tensioning system been inspected and signed off by an Engineer?"
"ab21f0db-4846-4e18-be23-6a479e9fb568","","checklist-flat","not-started","5a575ff13251ffbd4b43763e34f1c29779161973cbeb4e446eb56ebea5b5d74c","checklist-flat","FALSE","FALSE","Site QA","Slab PT","Level 3","Post-Pour"
"a6656f27-bfc2-5a6a-94aa-e0a2b79d6806","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 3","Post-Pour","Drawings and Revisions - uploaded below as necessary"
"6df790b1-7e93-58d6-bdd6-459c8712389f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 3","Post-Pour","Are the anchor blocks and wedges installed?"
"c7c95eb6-5246-5029-a696-80c5e7d7baa7","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 3","Post-Pour","Has an initial stress (39kN) been carried out as per design requirements?"
"5e81e96f-050b-5223-99e9-feaf2b164714","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 3","Post-Pour","Has AusPT received confirmation via Aconex/sighted of the concrete test report prior to commencement of full stress?"
"02f4b589-1f7b-54c1-97e2-0a3525accacc","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 3","Post-Pour","Has the concrete test results reached minimum required strength (25mPa) as per Engineer’s requirements? Make a hold point."
"18659791-16bb-5969-82c8-e573ec714f1c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 3","Post-Pour","Has a full stress (156kN) been carried out as per the design requirements?"
"da6d6919-2cf9-52db-b5ee-41a9a0232b20","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 3","Post-Pour","Have the extensions been recorded and submitted?"
"d589ba72-4532-5a97-bac9-bda911a1ff40","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 3","Post-Pour","Have the extensions been approved and received?"
"bb85f7eb-1fb6-58c9-b8aa-dc1f5a003fb6","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 3","Post-Pour","Have the tendons been cut & sealed?"
"a1b13c10-3e8b-5462-ace8-8bdf2975bd8f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 3","Post-Pour","Confirmation of Structural engineers’ acceptance of stressing record via to grouting"
"57876eb5-6839-51f4-bf58-943fea2d4558","","holdpoint","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 3","Post-Pour","HOLDPOINT - Click here to request Engineer signoff"
"97fa040a-b7bc-5781-9a72-bbabc984c6e3","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 3","Post-Pour","Have the tendons been grouted?"
"10e10e76-e001-571f-b21d-0150205f178e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 3","Post-Pour","Batch ID and expiration date for grout enterred below"
"74424093-1326-4eef-bd96-977188c5517b","","checklist-flat","not-started","PT Tendon Extension Report Upload","checklist-flat","FALSE","FALSE","Site QA","Slab PT","Level 3","PT Tendon Extension Report"
"8add87a7-c1c7-531a-8001-4849f084a38e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 3","PT Tendon Extension Report","Tendon Extension Report uploaded below"
"f5d02794-9186-4abe-8b94-8719c0478961","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Slab PT","Level 4"
"e67c7a66-4313-4207-8d8f-bc06d5191e6b","","checklist-flat","not-started","PT Pre-Pour ITP","checklist-flat","FALSE","FALSE","Site QA","Slab PT","Level 4","Pre-Pour"
"0422c545-5ab3-5ecd-84cb-f369a1253ab3","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 4","Pre-Pour","Drawings and Revisions - uploaded below as necessary"
"6b8f3671-93fd-52be-aa6f-00ed116be490","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 4","Pre-Pour","Are the Anchorages securely fixed and anti-burst installed?"
"2867416a-d45a-5116-a0cd-fee639335925","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 4","Pre-Pour","Is the duct placed in the correct position and alignment, with joints sealed?"
"ee59e337-d6ce-50a9-8f48-7b505cedbb00","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 4","Pre-Pour","Has the tendon been installed with the correct position and alignment, with joints sealed?"
"b58f44fe-98da-56aa-bbcc-d3484e79a8fc","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 4","Pre-Pour","Strand Information entered below"
"63135aee-63e0-57b7-ac98-0fb992ce06ad","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 4","Pre-Pour","Are the Circle Dead Ends used, including anti-burst installed (onion or swage)?"
"696a05ac-d8c0-5403-b6a2-21a41ba92a24","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 4","Pre-Pour","Are tendons profiled correctly and supporting chairs secured?"
"b7f2ecbb-3efc-5e26-944c-f9a76f314df1","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 4","Pre-Pour","All pans to have minimum 50mm clearance off of deck"
"00b17911-b44a-5b96-9bc5-cdcf70792bc7","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 4","Pre-Pour","Are grout hoses installed with anchorages sealed?"
"644069c4-718f-550f-9676-96e3805b33fc","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 4","Pre-Pour","Has the post-tensioning system been inspected and signed off by an Engineer?"
"72d47bb1-aafe-43e2-a2f1-96515d99df85","","checklist-flat","not-started","5a575ff13251ffbd4b43763e34f1c29779161973cbeb4e446eb56ebea5b5d74c","checklist-flat","FALSE","FALSE","Site QA","Slab PT","Level 4","Post-Pour"
"71be877c-104e-5420-8d47-185f0af81c40","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 4","Post-Pour","Drawings and Revisions - uploaded below as necessary"
"19fc6b65-22bb-517e-81ca-7ff8da56a36a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 4","Post-Pour","Are the anchor blocks and wedges installed?"
"a5c9a8db-0d38-5ed8-8c76-16586bf672f8","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 4","Post-Pour","Has an initial stress (39kN) been carried out as per design requirements?"
"9726e924-cdf0-59a9-a756-488910c77039","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 4","Post-Pour","Has AusPT received confirmation via Aconex/sighted of the concrete test report prior to commencement of full stress?"
"ea758851-161a-5cd8-9c8c-3f3e1873f712","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 4","Post-Pour","Has the concrete test results reached minimum required strength (25mPa) as per Engineer’s requirements? Make a hold point."
"c7fbf409-ae1e-5cb0-bf9e-5003948e6ade","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 4","Post-Pour","Has a full stress (156kN) been carried out as per the design requirements?"
"586f2d14-f453-52bc-abbf-a139e28718fb","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 4","Post-Pour","Have the extensions been recorded and submitted?"
"831b41f7-3f69-5c5f-ad1e-9907d32a3dcc","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 4","Post-Pour","Have the extensions been approved and received?"
"ec12b75e-23fa-57d7-b7bc-718ea5c86dfd","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 4","Post-Pour","Have the tendons been cut & sealed?"
"c5eca9aa-8844-514c-95c9-98dbb67cd311","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 4","Post-Pour","Confirmation of Structural engineers’ acceptance of stressing record via to grouting"
"31519395-b534-50f4-a5af-aa573a5e1456","","holdpoint","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 4","Post-Pour","HOLDPOINT - Click here to request Engineer signoff"
"026fc794-98a9-5fd8-adee-f66bd6b05cad","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 4","Post-Pour","Have the tendons been grouted?"
"840f4ead-b91e-573d-a48b-62072c4545ea","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 4","Post-Pour","Batch ID and expiration date for grout enterred below"
"c30d0d35-0b8a-4ef3-8a45-3f3e8f22a41a","","checklist-flat","not-started","PT Tendon Extension Report Upload","checklist-flat","FALSE","FALSE","Site QA","Slab PT","Level 4","PT Tendon Extension Report"
"dfc3072e-9df4-5e77-a8af-8d730cda5702","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 4","PT Tendon Extension Report","Tendon Extension Report uploaded below"
"2318796d-5dc8-425f-b137-b00922b75ea7","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Slab PT","Level 5"
"55c185ce-aaeb-40ee-9e7a-33441d2a78ab","","checklist-flat","not-started","PT Pre-Pour ITP","checklist-flat","FALSE","FALSE","Site QA","Slab PT","Level 5","Pre-Pour"
"257b238b-40f3-5447-beb1-be67df0568cf","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 5","Pre-Pour","Drawings and Revisions - uploaded below as necessary"
"eca5c4c5-dcdb-5aed-9743-79a705bc0357","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 5","Pre-Pour","Are the Anchorages securely fixed and anti-burst installed?"
"9de0ded0-caa3-5639-99a1-4c114eae2df6","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 5","Pre-Pour","Is the duct placed in the correct position and alignment, with joints sealed?"
"f32d512a-2201-5d95-8e08-39f0b662e1fb","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 5","Pre-Pour","Has the tendon been installed with the correct position and alignment, with joints sealed?"
"2d592779-1d0b-5816-828d-21b5627d649c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 5","Pre-Pour","Strand Information entered below"
"f02c2011-10a2-51e2-bcd6-562f002e2a8a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 5","Pre-Pour","Are the Circle Dead Ends used, including anti-burst installed (onion or swage)?"
"d6f5a0ac-d1e6-5338-a483-d15dc4bb0c94","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 5","Pre-Pour","Are tendons profiled correctly and supporting chairs secured?"
"0ae6df66-5feb-5323-9a3c-dce0c9cc6945","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 5","Pre-Pour","All pans to have minimum 50mm clearance off of deck"
"e6c93373-14aa-5e28-bbb1-77d6ee3daa83","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 5","Pre-Pour","Are grout hoses installed with anchorages sealed?"
"be289c90-7c86-5774-b986-34df436cec30","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 5","Pre-Pour","Has the post-tensioning system been inspected and signed off by an Engineer?"
"31ce8bfb-9af7-4322-a135-d37be99c8f82","","checklist-flat","not-started","5a575ff13251ffbd4b43763e34f1c29779161973cbeb4e446eb56ebea5b5d74c","checklist-flat","FALSE","FALSE","Site QA","Slab PT","Level 5","Post-Pour"
"ad983150-1ba5-5458-b6d1-fd5d27281c47","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 5","Post-Pour","Drawings and Revisions - uploaded below as necessary"
"0c62fa90-d953-5bc3-932e-0e3b1ba9f67b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 5","Post-Pour","Are the anchor blocks and wedges installed?"
"e4463c51-4136-5079-bbe8-c454489e7083","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 5","Post-Pour","Has an initial stress (39kN) been carried out as per design requirements?"
"714691d2-993c-50df-8f20-41a24e54241a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 5","Post-Pour","Has AusPT received confirmation via Aconex/sighted of the concrete test report prior to commencement of full stress?"
"1aaad6ca-f94a-50c4-92f5-aa46dec27bba","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 5","Post-Pour","Has the concrete test results reached minimum required strength (25mPa) as per Engineer’s requirements? Make a hold point."
"1124aa83-219f-51a2-b2e9-294c4999ec1c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 5","Post-Pour","Has a full stress (156kN) been carried out as per the design requirements?"
"c7ab99b1-9c8d-5049-8030-5b195e4b2bab","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 5","Post-Pour","Have the extensions been recorded and submitted?"
"dc97c02e-fc52-55dc-ba6a-38feeaabb714","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 5","Post-Pour","Have the extensions been approved and received?"
"61c4efb3-280a-59ef-b201-7a42b83c42db","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 5","Post-Pour","Have the tendons been cut & sealed?"
"07463ea8-26fc-5d61-8bb1-ed398ef6cdda","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 5","Post-Pour","Confirmation of Structural engineers’ acceptance of stressing record via to grouting"
