Type,Name,Values,Prompting Name,Postfix,Resource Id
date,Date:,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
checklist,FH-927-QU-ITP005 - Asphalt Placement - Rev 0,itp,ITP005 - Asphalt Placement,,
section,"1.0 - Paving Plant, Tools and Equipment",,,,
checkpoint,1.1 - Commencement of any work period,,,,
label,Frequency - Prior to commencement of any work period,,,,
label,"Acceptance Criteria - Prior to movement of any plant on to site of works, submission of daily plant inspection verification checklist",,,,
label,Reference Documents - Volume 1: HP-5113-1,,,,
label,Inspection/Test Method - Submission,,,,
label,Record of conformity - Plant Inspection verification Checklist,,,,
label,HP,,,,
label,Responsibility - Construction Manager,,,,
date,Date Completed:,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,
checkpoint,1.2 - Asphalt Haul Trucks,,,,
label,Frequency - Each Lot,,,,
label,"Acceptance Criteria - All asphalt haul trucks must be suitably equipped to avoid spilling the mix in front of the asphalt spreaders. The internal surfaces of the truck bodies must be smooth, clean and uniformly coated with a suitable release agent (nonpetroleum based material) to prevent adhesion of the mixture to the bodies.",,,,
label,Reference Documents - Volume 1: Clause 5113 (e),,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - This ITP signed by Contractor,,,,
label,IP,,,,
label,Responsibility - Construction Manager,,,,
date,Date Completed:,,,,
checkpoint,1.3 - Asphalt Spreaders,,,,
label,Frequency - Each Lot,,,,
label,"Acceptance Criteria - The spreaders must be a self- propelled mechanical device designed for spreading, screeding and compacting hot asphalt and having a capacity to complete the planned works within the time available in a paving shift. Specific details are shown in clause 5113 (f)",,,,
label,Reference Documents - Volume 1: Clause 5113 (f),,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - This ITP signed by Contractor,,,,
label,IP,,,,
label,Responsibility - Construction Manager,,,,
date,Date Completed:,,,,
checkpoint,1.4 - Steel Wheel Rollers,,,,
label,Frequency - Each Lot,,,,
label,"Acceptance Criteria - Steel wheel rollers must have an all up mass between 6 and 11 t.Vibrating steel wheel rollers must have two (2) vibrating drums each of which must have a roll diameter and width of not less than 1.00 m and 1.37 m respectively, a static mass of at least 2.8 t per lineal m of width of drum, and a dynamic loading intensity under operating conditions of between 4.2 t and 6.8 t per lineal metre of width of drum. When operating in the vibrating mode the amplitude must not exceed 0.5 mm and the frequency of vibration must not be less than 2700 cycles per minute",,,,
label,Reference Documents - Volume 1: Clause 5113 (h),,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - This ITP signed by Contractor,,,,
label,IP,,,,
label,Responsibility - Construction Manager,,,,
date,Date Completed:,,,,
checkpoint,1.5 - Pneumatic Tyre Rollers,,,,
label,Frequency - Each Lot,,,,
label,Acceptance Criteria - Medium pneumatic tyred rollers must be rollers having an all up mass of not less than 18 t and wheel loads of not less than 2.5 t. The tyre pressure must not be less than 850 kPa.,,,,
label,"○ The application of water, soaps or propriety additives to the tyres must be the minimum necessary to prevent adhesion /pick- up of the mix.",,,,
label,Reference Documents - Volume 1: Clause 5113 (i),,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - This ITP signed by Contractor,,,,
label,IP,,,,
label,Responsibility - Construction Manager,,,,
date,Date Completed:,,,,
checkpoint,1.6 - Edge Compactor,,,,
label,Frequency - Each Lot,,,,
label,"Acceptance Criteria - At least one steel wheel roller must be fitted with an edge compactor capable of compacting joints and edges of newly placed asphalt between vertical and 45° to the vertical, without dislodging or disturbing the material forming the joint or edge.",,,,
label,Reference Documents - Volume 1: Clause 5113 (j),,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - This ITP signed by Contractor,,,,
label,IP,,,,
label,Responsibility - Construction Manager,,,,
date,Date Completed:,,,,
checkpoint,1.7 - Mechanical Brooms,,,,
label,Frequency - Each Lot,,,,
label,Acceptance Criteria - Mechanical brooms may be skid steer loaders capable of being fitted with both a bucket and a broom/bucket combination.,,,,
label,○ All brooms/broom stocks must have non-metallic bristles.,,,,
label,Reference Documents - Volume 1: Clause 5113 (l)(ii),,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - This ITP signed by Contractor,,,,
label,IP,,,,
label,Responsibility - Construction Manager,,,,
date,Date Completed:,,,,
checkpoint,1.10 - Vacuum Sweepers,,,,
label,Frequency - Each Lot,,,,
label,"Acceptance Criteria - At least one (1) vacuum sweeper must be a machine purpose built to vacuum clean a width of pavement of at least two metres per pass with no reliance on brooming for lateral collection of material. Airfield Schwarze sweepers manufactured by Schwarze Industries Australia, or similar approved, are suitable.",,,,
label,Reference Documents - Volume 1: Clause 5113 (l)(iii),,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - This ITP signed by Contractor,,,,
label,IP,,,,
label,Responsibility - Construction Manager,,,,
date,Date Completed:,,,,
checkpoint,1.11 - Coring machine,,,,
label,Frequency - Each Lot,,,,
label,Acceptance Criteria - The coring machine must be easily portable and capable of rapidly cutting clean 100 mm or 150 mm diameter cores from the finished courses of asphalt in accordance with the requirements of AS 2891.1.2. The core drills fitted to the machine must be either diamond tipped or carborundum types.,,,,
label,Reference Documents - Volume 1: Clause 5113 (n),,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - This ITP signed by Contractor,,,,
label,IP,,,,
label,Responsibility - Construction Manager,,,,
date,Date Completed:,,,,
checkpoint,1.12 - Manual Straight Edge,,,,
label,Frequency - Each Lot,,,,
label,"Acceptance Criteria - Not less than 1 hand held straight edge must be provided for each operating paver to facilitate the location of defects in the smoothness of the finished surface. Straight edges must be constructed of a material and in a manner that ensures rigidity and accuracy, and must be 3.5m long and must be placed directly onto the mat.",,,,
label,Reference Documents - Volume 1: Clause 5113 (o)(i),,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - This ITP signed by Contractor,,,,
label,IP,,,,
label,Responsibility - Construction Manager,,,,
date,Date Completed:,,,,
checkpoint,1.13 - Hand tools,,,,
label,Frequency - Each Lot,,,,
label,"Acceptance Criteria - Hand tools must consist of wooden spreaders, shovels, steel lutes and tampers, hand brooms, a portable heater for heating tampers, hand held blowers and any other hand tools as may be required.",,,,
label,Reference Documents - Volume 1: Clause 5113 (p),,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - This ITP signed by Contractor,,,,
label,IP,,,,
label,Responsibility - Construction Manager,,,,
date,Date Completed:,,,,
checkpoint,1.14 - Thermometers,,,,
label,Frequency - Each Lot,,,,
label,"Acceptance Criteria - The Contractor must provide one calibrated immersion stem thermometer (0 - 200 °C) and one calibrated pavement surface thermometer (bi-metal or infra-red), (0 - 200 °C), with each operating spreader. The thermometers must be held on site at all times when asphalt is being placed.",,,,
label,Reference Documents - Volume 1: Clause 5113 (q),,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - This ITP signed by Contractor,,,,
label,IP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
section,2.0 - Weather Restrictions,,,,
checkpoint,2.1 - Weather Restrictions,,,,
label,Frequency - Each Lot,,,,
label,Acceptance Criteria - The surface on which the asphalt is to be placed must be essentially dry and free of any surface water.,,,,
label,"○ Asphalt must not be placed during periods of rain or when rain is imminent. Any asphalt placed during rain must be removed from the Works and replaced, unless otherwise determined by the Contract Administrator.",,,,
label,○ Asphalt must not be placed if the surface temperature falls below the minimum surface temperature as specified in Table 5115-1,,,,
label,Reference Documents - Volume 1: Clause 5115 Table 5115-1,,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - This ITP signed by Contractor,,,,
label,IP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
section,3.0 - Transport and Delivery of Asphalt,,,,
checkpoint,3.1 - General,,,,
label,Frequency - Each Lot,,,,
label,"Acceptance Criteria - Asphalt delivery must adhere to AS 2150 standards, ensuring completion of spreading and compaction by the work period's end. Each truckload requires a docket with details such as truck number, dispatch time, temperature, and mix specifications. Delivery vehicles cannot access freshly laid asphalt, and loads must be covered with heavy canvas and insulated to maintain temperature.",,,,
label,Reference Documents - Volume 1: Clause 5117 (a),,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - This ITP signed by Contractor,,,,
label,IP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
checkpoint,3.2 - Delivery Temperature,,,,
label,Frequency - Each Lot,,,,
label,"Acceptance Criteria - The asphalt mix must be delivered at the minimum temperature specified in Table 5117-1 for the bitumen and must allow for initial compaction before cooling. Loads below this temperature, with cold crusts, wet from rain, or contaminated, must be rejected.",,,,
label,○ Miinimum asphalt temperature for compaction are indicated inTable 5121-1,,,,
label,"Reference Documents - Volume 1: Clause 5117 (c), Table 5117-1 and Table 5121-1",,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - This ITP signed by Contractor,,,,
label,IP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
section,4.0 - Surface Preparation and Tack Coat,,,,
checkpoint,4.1 - Surface Preparation,,,,
label,Frequency - Each Lot,,,,
label,"Acceptance Criteria - Before applying the tack coat, remove loose materials within a 300 mm buffer, using power brooms or hand sweeping if needed. Clean oil spills with detergent and let the area dry. Ensure the surface is dry, debris-free, and mostly dust-free.",,,,
label,Reference Documents - Volume 1: Clause 5118,,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - This ITP signed by Contractor,,,,
label,IP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
checkpoint,4.2 - Application of Tack Coat,,,,
label,Frequency - Each Lot,,,,
label,Acceptance Criteria - Tack coat must be applied to the prepared surfaces such that a uniform cover at the specified application rate over the full surface is achieved.,,,,
label,○ The residual bitumen application rate of emulsion tack coat must be between 0.15 ℓ/m2 and 0.25 ℓ/m2.,,,,
label,Reference Documents - Volume 1: Clause 5119,,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - This ITP signed by Contractor,,,,
label,HP*,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
section,5.0 - Placing Asphalt,,,,
checkpoint,5.1 - Placing of Asphalt,,,,
label,Frequency - Each Lot,,,,
label,Acceptance Criteria - Asphalt placing must not commence until all of the treatments within the paving lane and adjacent paving lane are completed and inspected by the Contract Administrator.,,,,
label,Reference Documents - Volume 1: HP 5120-1,,,,
label,Inspection/Test Method - Submission,,,,
label,Record of conformity - This ITP signed by Contract Adminstrato r,,,,
label,HP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,
checkpoint,5.2 - Layer Thickness,,,,
label,Frequency - Each Lot,,,,
label,Acceptance Criteria - The minimum and maximum layer thicknesses for different nominal asphalt sizes must be in accordance with Table 5120-1.,,,,
label,Reference Documents - Volume 1: Clause 5120 (b)(i),,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - This ITP signed by Contractor,,,,
label,IP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
section,6.0 - Compaction of Asphalt,,,,
checkpoint,6.1 - Compaction temperature Requirements,,,,
label,Frequency - Each Lot,,,,
label,"Acceptance Criteria - The asphalt must be compacted while the mix temperature is above the respective minimum values specified in Table 5121-1 for the relevant bitumen used in the production of the mix and roller type, unless otherwise determined and approved during the construction trials. The asphalt must be compacted with rollers meeting the requirements of Technical Specs, Volume 1",,,,
label,"Reference Documents - Volume 1: Clause 5121 (b), Table 5121-1",,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - This ITP signed by Contractor,,,,
label,IP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
checkpoint,6.2 - Compaction temperature Requirements,,,,
label,Frequency - Each Lot,,,,
label,"Acceptance Criteria - The contractor must maintain detailed records of the temperatures of the asphalt mix during delivery, placement and compaction and must submit these records as part of the lot submission",,,,
label,Reference Documents - Volume 1: Clause 5121 (b),,,,
label,Inspection/Test Method - Submission,,,,
label,"Record of conformity - Asphalt Temperature Records (Delivery, placement and Compaction)",,,,
label,IP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
checkpoint,6.3 - Compaction Requirements,,,,
label,Frequency - Each Lot,,,,
label,Acceptance Criteria - All of the rolling must be performed in a definite pattern previously determined by the Contractor and must be supervised continuously by the Contractor for the duration of the work.,,,,
label,○ The in-situ voids requirements for the asphalt must comply with the requirements of Table 5121-2.,,,,
label,Reference Documents - Volume 1: Clause 5121 (c),,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - This ITP signed by Contractor,,,,
label,IP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
checkpoint,6.4 - Breakdown rolling,,,,
label,Frequency - Each Lot,,,,
label,"Acceptance Criteria - Breakdown rolling requires a non-vibrating steel wheel roller with up to two passes. Start at the lower edge, overlap the lane edges by 200 mm, and progress across, overlapping previous tracks by 100 mm to 200 mm and extending 6 m beyond. For subsequent lanes, start at the free edge and overlap about 100 mm onto the previous lane.",,,,
label,Reference Documents - Volume 1: Clause 5121 (d),,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - This ITP signed by Contractor,,,,
label,IP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
checkpoint,6.5 - Vibrating rolling,,,,
label,Frequency - Each Lot,,,,
label,"Acceptance Criteria - Vibrating rolling follows breakdown rolling. For vibrating steel-wheeled rollers, keep vibration amplitude at or below 0.5 mm, unless the layer thickness exceeds 50 mm, allowing for greater amplitude at the Contractor's discretion.",,,,
label,Reference Documents - Volume 1: Clause 5121 (e),,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - This ITP signed by Contractor,,,,
label,IP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
checkpoint,6.6 - Pneumatic Tyre Rolling,,,,
label,Frequency - Each Lot,,,,
label,"Acceptance Criteria - Pneumatic tyred rolling must follow vibrating rolling, requiring at least six passes before the asphalt cools below the specified temperature showed in Table 5121-1 to ensure a tightly bonded surface.",,,,
label,Reference Documents - Volume 1: Clause 5121 (f),,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - This ITP signed by Contractor,,,,
label,IP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
section,7.0 - Joints,,,,
checkpoint,7.1 - General,,,,
label,Frequency - Each Lot,,,,
label,"Acceptance Criteria - All paving joints must match the surrounding surface's texture, density and smoothness.",,,,
label,"○ Longitudinal joints between lanes need to ensure a continuous bond and minimized cold joints. If the surface finish is below standard, a non-conformance report must be issued. Longitudinal joints in overlays must be offset by at least 200 mm.",,,,
label,Reference Documents - Volume 1: Clause 5122 (a),,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - This ITP signed by Contractor,,,,
label,IP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
checkpoint,7.2 - Longitudinal Joints – Warm Joints,,,,
label,Frequency - Each Lot,,,,
label,"Acceptance Criteria - To treat the joint between asphalt lanes as a warm joint, place the adjoining lane within 1 hour while maintaining the required compaction temperature specified in Table 5121-1. Procedure is detailled in Clause 5122 (b)(ii)",,,,
label,Reference Documents - Volume 1: Clause 5122 (b)(ii),,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - This ITP signed by Contractor,,,,
label,IP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
checkpoint,7.3 - Transverse Joints,,,,
label,Frequency - Each Lot,,,,
label,Acceptance Criteria - Transverse joints must be at right angles to the direction of placing and must be cut to a straight face between vertical and 45° to the vertical to the full depth of the course. Procedure is detailed in Clause 5122 (c),,,,
label,Reference Documents - Volume 1: Clause 5122 (c),,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - This ITP signed by Contractor,,,,
label,IP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
section,"8.0 - Finished Surface Level, Surface Smoothnes and Finish",,,,
checkpoint,8.1 - Thickness and Surface Level Tolerances,,,,
label,Frequency - Within one working day of completion of the survey,,,,
label,Acceptance Criteria - The Contractor must provide the Contract Administrator with a record of the finished surface levels together with a summary indicating the magnitude of the departures from the specified finished surface levels shown on the drawings within one(1) working day of completion of the survey,,,,
label,Reference Documents - Volume 1: HP5124-1 & Clause 5124 (b ),,,,
label,Inspection/Test Method - Submission,,,,
label,Record of conformity - Survey Report,,,,
label,HP/ SCP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,
checkpoint,8.2 - Surface Smoothness Tolerances,,,,
label,Frequency - Each Lot,,,,
label,Acceptance Criteria - The finished surface of all asphalt surfacing courses must not deviate from the testing edge of an approved 3.5 m straight edge by more the requirements in Table 5124-1,,,,
label,Reference Documents - Volume 1: Clause 5124 (c),,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - This ITP signed by Contractor,,,,
label,HP*,,,,
label,Responsibility -,,,,
date,Date Completed:,,,,
checkpoint,8.3 - Pavement Cleanliness,,,,
label,Frequency - Each Lot,,,,
label,Acceptance Criteria - Inspection of completed pavement with the Contract Administrator,,,,
label,Reference Documents - Volume 1: WP 5126-1 & Clause 5126,,,,
label,Inspection/Test Method - Notificatio n,,,,
label,Record of conformity - This ITP signed by Contractor,,,,
label,WP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
section,9.0 - Quality Assurance – Construction,,,,
