"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"acae8e9e-4bd2-4cb9-92e9-2f5391bdedc6","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)"
"d653557b-d41e-445b-9a57-fdb20ca75bb2","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground"
"c7fb5a79-cb6b-4e9b-9673-1939dde6b86a","","checklist-flat","","Reference Drawing","checklist-flat","FALSE","FALSE","Zone A (Building B)","Lower Ground","Reference Drawing"
"8753136d-4a51-4c61-b4b8-6ed3db6a1ed6","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A"
"c155ff40-ede8-4cef-9221-353145c7a1d6","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","CONS (LG.B.001)"
"b10e0988-12fd-41c2-8010-37d138100609","","checklist-sectioned","","Pre sheet install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","PBTR NA (LG.B.007)","Pre Ceiling Sign off"
"11b2f39a-f9bc-4b8a-826c-7209ff4cb011","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","PBTR NA (LG.B.008)"
"b9216b18-d6e0-479b-8b4f-3e4dcb775bed","","checklist-sectioned","","d5e18135643396fa473fe5432bcc718be44b53a476ddefa2042251e8f76d9c2c","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","PBTR NA (LG.B.008)","Pre Sheet Sign off"
"f58ab364-4c7e-4702-8ba2-ecafe30fff8b","","checklist-sectioned","","Pre grid install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","PBTR NA (LG.B.008)","Pre Grid Sign off"
"0c0959fe-7835-4623-8bce-0ddcb0ac5d99","","checklist-sectioned","","Pre sheet install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","PBTR NA (LG.B.008)","Pre Ceiling Sign off"
"3fa0ca53-6a2f-4131-b8da-94986a3ed66f","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","WCPT (LG.B.009)"
"4beab9b0-0142-4ed0-8df8-10077d49ca32","","checklist-sectioned","","d5e18135643396fa473fe5432bcc718be44b53a476ddefa2042251e8f76d9c2c","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","WCPT (LG.B.009)","Pre Sheet Sign off"
"74f6c5c8-0c11-4665-bf78-685038da2511","","checklist-sectioned","","Pre grid install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","WCPT (LG.B.009)","Pre Grid Sign off"
"afce31ef-c70f-4e1a-ab77-05abc3005b64","","checklist-sectioned","","Pre sheet install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","WCPT (LG.B.009)","Pre Ceiling Sign off"
"3ef04c3c-19fb-494a-b83b-b605f346a3dd","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","BMEQ (LG.B.010)"
"0eb7b02f-d185-4746-b157-a710969d6ee6","","checklist-sectioned","","d5e18135643396fa473fe5432bcc718be44b53a476ddefa2042251e8f76d9c2c","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","BMEQ (LG.B.010)","Pre Sheet Sign off"
"aee67ba5-bc46-4931-a04f-a919fe206ac2","","checklist-sectioned","","Pre grid install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","BMEQ (LG.B.010)","Pre Grid Sign off"
"806e2f6b-a078-424d-aa72-4b1aaa3a186a","","checklist-sectioned","","Pre sheet install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","BMEQ (LG.B.010)","Pre Ceiling Sign off"
"954a5c80-d819-42f7-86d6-42a42d9c87dd","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","HWPPE (LG.B.011)"
"90d8406e-1777-4c77-b8c6-ad52cccd470b","","checklist-sectioned","","d5e18135643396fa473fe5432bcc718be44b53a476ddefa2042251e8f76d9c2c","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","HWPPE (LG.B.011)","Pre Sheet Sign off"
"8fedc61c-d56f-44d7-8c46-5dee8660b1b0","","checklist-sectioned","","Pre grid install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","HWPPE (LG.B.011)","Pre Grid Sign off"
"49b85cc9-7476-4413-9a21-b37b4877ac19","","checklist-sectioned","","Pre sheet install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","HWPPE (LG.B.011)","Pre Ceiling Sign off"
"53c95054-ddee-448d-9cfa-15103bfcb08e","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","PBTR NA (LG.B.012)"
"790680ad-384f-4eb9-9c8e-79bd0dfad528","","checklist-sectioned","","d5e18135643396fa473fe5432bcc718be44b53a476ddefa2042251e8f76d9c2c","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","PBTR NA (LG.B.012)","Pre Sheet Sign off"
"50251c2c-a737-4ab6-bc3d-75cb8ba4082c","","checklist-sectioned","","Pre grid install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","PBTR NA (LG.B.012)","Pre Grid Sign off"
"1e8b6691-351d-428b-9401-f665e3f633e6","","checklist-sectioned","","Pre sheet install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","PBTR NA (LG.B.012)","Pre Ceiling Sign off"
"0af3ca4e-36d9-49fe-b3e9-2d7348c8d568","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","PBTR NA (LG.B.013)"
"1465b467-62da-47f8-975e-f60b1261d5aa","","checklist-sectioned","","d5e18135643396fa473fe5432bcc718be44b53a476ddefa2042251e8f76d9c2c","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","PBTR NA (LG.B.013)","Pre Sheet Sign off"
"8a26a1f8-ada3-4691-bf21-0d93523ddbf0","","checklist-sectioned","","Pre grid install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","PBTR NA (LG.B.013)","Pre Grid Sign off"
"6828cba5-2c67-4afb-9d91-48b796eff889","","checklist-sectioned","","Pre sheet install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","PBTR NA (LG.B.013)","Pre Ceiling Sign off"
"6e8908b7-3db0-44a8-a5df-368a1336be4b","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","WAIT (LG.B.014)"
"aa03d192-994f-48c0-8d87-09c9c085dbbb","","checklist-sectioned","","d5e18135643396fa473fe5432bcc718be44b53a476ddefa2042251e8f76d9c2c","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","WAIT (LG.B.014)","Pre Sheet Sign off"
"4744e9c4-7733-4abe-ae98-14a60bf0daf8","","checklist-sectioned","","Pre grid install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","WAIT (LG.B.014)","Pre Grid Sign off"
"4bce0c15-60b6-4ec3-a328-1039c61bf4fb","","checklist-sectioned","","Pre sheet install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","WAIT (LG.B.014)","Pre Ceiling Sign off"
"04fa8f2c-7d72-4c02-bac3-4c4fd9673fd9","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","DU SUB (LG.B.016)"
"59f28149-be9c-4dda-8141-357beda4b17a","","checklist-sectioned","","d5e18135643396fa473fe5432bcc718be44b53a476ddefa2042251e8f76d9c2c","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","DU SUB (LG.B.016)","Pre Sheet Sign off"
"e6d3e511-b768-44b4-8532-8c60eada5e8d","","checklist-sectioned","","Pre grid install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","DU SUB (LG.B.016)","Pre Grid Sign off"
"939ce31b-eaee-4c9c-940c-37cd2b57b8a3","","checklist-sectioned","","Pre sheet install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","DU SUB (LG.B.016)","Pre Ceiling Sign off"
"8e0e7211-1053-445a-86e0-3854dda0c59c","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","OFF CW (LG.B.017)"
"bf1a6113-1879-474f-82f7-2c10ebc67d6a","","checklist-sectioned","","d5e18135643396fa473fe5432bcc718be44b53a476ddefa2042251e8f76d9c2c","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","OFF CW (LG.B.017)","Pre Sheet Sign off"
"504509da-8989-4c50-ad85-353423fe12a8","","checklist-sectioned","","Pre grid install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","OFF CW (LG.B.017)","Pre Grid Sign off"
"2cc580e6-4285-4d5f-9405-24825753a5cf","","checklist-sectioned","","Pre sheet install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","OFF CW (LG.B.017)","Pre Ceiling Sign off"
"9fcd9590-0606-4e84-91d7-fd843d71ae43","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","RL2 Riser Bulkhead (LG.B.017)"
"83f6cdd0-db99-4baa-a0ff-ede849aac600","","checklist-sectioned","","d5e18135643396fa473fe5432bcc718be44b53a476ddefa2042251e8f76d9c2c","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","RL2 Riser Bulkhead (LG.B.017)","Pre Sheet Sign off"
"eba3751d-efba-465f-9bd4-355555ac66ac","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","WB IN (LG.B.018)"
"616adced-dabb-48d3-a80d-d67b7038a83c","","checklist-sectioned","","d5e18135643396fa473fe5432bcc718be44b53a476ddefa2042251e8f76d9c2c","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","WB IN (LG.B.018)","Pre Sheet Sign off"
"182dec5f-841b-4b18-bd74-04fa1b9932d6","","checklist-sectioned","","Pre grid install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","WB IN (LG.B.018)","Pre Grid Sign off"
"b83f8152-d4f7-4730-95a2-65a71c41a905","","checklist-sectioned","","Pre sheet install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","WB IN (LG.B.018)","Pre Ceiling Sign off"
"957b6cf0-238a-4308-b258-b04f43404ea3","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","WB IN (LG.B.019)"
"82b49163-4d28-4fdd-8bba-e1865774a160","","checklist-sectioned","","d5e18135643396fa473fe5432bcc718be44b53a476ddefa2042251e8f76d9c2c","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","WB IN (LG.B.019)","Pre Sheet Sign off"
"ad52f41d-eea4-4fa3-89bf-825c288e9278","","checklist-sectioned","","Pre grid install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","WB IN (LG.B.019)","Pre Grid Sign off"
"5fe21d20-fac9-4f6c-ac2c-851e079da63b","","checklist-sectioned","","Pre sheet install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","WB IN (LG.B.019)","Pre Ceiling Sign off"
"017cea8b-3128-4c37-9aef-b7b9d209b441","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","ST STATION (LG.B.020)"
"edcb384a-d554-46bc-93f2-24b65fa089a6","","checklist-sectioned","","d5e18135643396fa473fe5432bcc718be44b53a476ddefa2042251e8f76d9c2c","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","ST STATION (LG.B.020)","Pre Sheet Sign off"
"0985644e-096a-4871-b346-9cc2c99c9d8d","","checklist-sectioned","","Pre grid install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","ST STATION (LG.B.020)","Pre Grid Sign off"
"9f7e3e82-bcbd-4ac0-adc9-afc5eec9d81c","","checklist-sectioned","","Pre sheet install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","ST STATION (LG.B.020)","Pre Ceiling Sign off"
"e456e62f-4bff-4a20-bd1e-7c8e597f6210","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","BRES (LG.B.021)"
"5e0489c8-d389-4a12-a50f-2e9779148b3f","","checklist-sectioned","","d5e18135643396fa473fe5432bcc718be44b53a476ddefa2042251e8f76d9c2c","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","BRES (LG.B.021)","Pre Sheet Sign off"
"9e1e0814-f25c-4797-b38e-3e8f226e9310","","checklist-sectioned","","Pre grid install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","BRES (LG.B.021)","Pre Grid Sign off"
"c49b1b2f-5805-4d59-814b-62ec68cd6cf9","","checklist-sectioned","","Pre sheet install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","BRES (LG.B.021)","Pre Ceiling Sign off"
"e44f78e3-f921-4258-b5d1-772438012190","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","CU MED (LG.B.022)"
"d1863e12-7d77-485e-aa96-dc3700888874","","checklist-sectioned","","d5e18135643396fa473fe5432bcc718be44b53a476ddefa2042251e8f76d9c2c","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","CU MED (LG.B.022)","Pre Sheet Sign off"
"4ad0379d-cee6-4ba0-9c48-4e5d279e106b","","checklist-sectioned","","Pre grid install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","CU MED (LG.B.022)","Pre Grid Sign off"
"b644fd5a-8461-4aaf-a9e3-44a3b5551e2e","","checklist-sectioned","","Pre sheet install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","CU MED (LG.B.022)","Pre Ceiling Sign off"
"efb61082-a98d-4ddb-9d1e-8f63729088e6","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","PROCED ENT/EYE (LG.B.023)"
"6d8e2485-3b60-49c7-8468-c36584d3a821","","checklist-sectioned","","d5e18135643396fa473fe5432bcc718be44b53a476ddefa2042251e8f76d9c2c","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","PROCED ENT/EYE (LG.B.023)","Pre Sheet Sign off"
"cec48619-b9d0-4873-9cce-e7deefca9fa0","","checklist-sectioned","","Pre grid install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","PROCED ENT/EYE (LG.B.023)","Pre Grid Sign off"
"42f17fb6-6034-4860-b73a-a1509402f794","","checklist-sectioned","","Pre sheet install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","PROCED ENT/EYE (LG.B.023)","Pre Ceiling Sign off"
"be3abf46-3b4e-42cd-9d5b-16f0c15b3841","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","PROCED FT/ACUTE (LG.B.024)"
"b9c1518a-7aa8-402c-80b1-1c74ad8dc2e7","","checklist-sectioned","","d5e18135643396fa473fe5432bcc718be44b53a476ddefa2042251e8f76d9c2c","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","PROCED FT/ACUTE (LG.B.024)","Pre Sheet Sign off"
"00050e20-6bf4-4eea-bb0b-e13e748bf09f","","checklist-sectioned","","Pre grid install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","PROCED FT/ACUTE (LG.B.024)","Pre Grid Sign off"
"0d84b69e-1f22-4d02-b451-d27656cf8e9c","","checklist-sectioned","","Pre sheet install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","PROCED FT/ACUTE (LG.B.024)","Pre Ceiling Sign off"
"dd9245ef-d192-474c-8565-4fab5aff4c54","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","CIRC (LG.B.025)"
"069c2feb-743f-48c8-88f5-a5a76c21b236","","checklist-sectioned","","d5e18135643396fa473fe5432bcc718be44b53a476ddefa2042251e8f76d9c2c","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","CIRC (LG.B.025)","Pre Sheet Sign off"
"194a07c6-f924-429b-9b60-1ce18c5b922b","","checklist-sectioned","","Pre grid install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","CIRC (LG.B.025)","Pre Grid Sign off"
"b47dcacd-ca75-4767-a7d8-cf7d09db8c03","","checklist-sectioned","","Pre sheet install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","CIRC (LG.B.025)","Pre Ceiling Sign off"
"69b14804-9508-4f61-b19a-aee29b41ff8d","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","CIRC (LG.B.026)"
"1444352b-16ab-4fe6-8767-96d846779d7c","","checklist-sectioned","","d5e18135643396fa473fe5432bcc718be44b53a476ddefa2042251e8f76d9c2c","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","CIRC (LG.B.026)","Pre Sheet Sign off"
"142af41f-720b-4e0a-9772-68e5ecc15aa9","","checklist-sectioned","","Pre grid install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","CIRC (LG.B.026)","Pre Grid Sign off"
"5c4b4ba6-a426-4515-a3d1-4c1a06cbc1ad","","checklist-sectioned","","Pre sheet install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","CIRC (LG.B.026)","Pre Ceiling Sign off"
"d9e6a8af-c5e1-44e1-84a2-9e751a59d2ce","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","TRIAGE (LG.B.027)"
"232dce39-576e-414b-a130-09870832bd0d","","checklist-sectioned","","d5e18135643396fa473fe5432bcc718be44b53a476ddefa2042251e8f76d9c2c","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","TRIAGE (LG.B.027)","Pre Sheet Sign off"
"31904aeb-a863-4a2e-bf2b-39f7b5754c8f","","checklist-sectioned","","Pre grid install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","TRIAGE (LG.B.027)","Pre Grid Sign off"
"d1c9e162-e71e-47a4-ac87-1b05f2461c8b","","checklist-sectioned","","Pre sheet install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","TRIAGE (LG.B.027)","Pre Ceiling Sign off"
"42fd133b-c9a2-4511-be47-81b8ba89d0ce","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","TRIAGE (LG.B.028)"
"0dec7f7f-5149-46be-a4ed-8cb324079bbe","","checklist-sectioned","","d5e18135643396fa473fe5432bcc718be44b53a476ddefa2042251e8f76d9c2c","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","TRIAGE (LG.B.028)","Pre Sheet Sign off"
"ad88f922-4b59-4465-bd89-983f3290a5e7","","checklist-sectioned","","Pre grid install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","TRIAGE (LG.B.028)","Pre Grid Sign off"
"f26c8c37-73c9-4211-9f37-4c49397d5cf0","","checklist-sectioned","","Pre sheet install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","TRIAGE (LG.B.028)","Pre Ceiling Sign off"
"d3dfbbdc-299b-4963-b47b-80e49d801032","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","TRIAGE REGISTRATION (LG.B.030)"
"34810418-3271-403b-ac62-a3b6ee6e40b0","","checklist-sectioned","","d5e18135643396fa473fe5432bcc718be44b53a476ddefa2042251e8f76d9c2c","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","TRIAGE REGISTRATION (LG.B.030)","Pre Sheet Sign off"
"089c1c7c-fb96-4a2d-9013-d5e36ed62097","","checklist-sectioned","","Pre grid install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","TRIAGE REGISTRATION (LG.B.030)","Pre Grid Sign off"
"0c74bb22-df3d-4f3e-8de0-d6c57d921761","","checklist-sectioned","","Pre sheet install Ceilings","checklist","FALSE","FALSE","Zone A (Building B)","Lower Ground","Area A","TRIAGE REGISTRATION (LG.B.030)","Pre Ceiling Sign off"
"f8437cca-35fd-4c6d-91fa-278e07a78219","","folder-normal","","","step","TRUE","FALSE","Zone A (Building B)","Lower Ground","Area A","WELCOME (LG.B.067)"
