"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"14562b8e-e7e4-486c-8d2c-b7efa16730bd","","folder-normal","work-in-progress","","step","TRUE","FALSE","B01"
"1a99604a-8f65-4c98-a2f3-1102830f0a84","","folder-normal","work-in-progress","","step","TRUE","FALSE","B01","Basement"
"f5be140f-f4dc-41fd-83f9-5085b6be93bf","","checklist-flat","work-in-progress","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Basement","Bike Store"
"863ad967-ad49-400d-b687-27f9e93c8286","","checklist-flat","work-in-progress","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Basement","Store"
"8fd87b92-d32e-4019-a43f-83d5f817af62","","checklist-flat","work-in-progress","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Basement","MSB"
"720ef1bc-ca0f-45e9-9fa1-bf4e7a4b3798","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Basement","Rubbish Store"
"389aabf9-97a2-4147-b156-6f715f3c2f92","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Basement","Generator Room"
"33632080-d606-4f09-87a9-0948989672a1","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Basement","Gardners"
"776a8533-663d-4d77-9d2e-85dbc6d238b5","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Basement","Commerc ial  Laundry"
"9a72301a-9b3d-448a-a700-5482f22ebb96","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Basement","Linen"
"62a9220d-ca41-4f4d-9012-418659d802a2","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Basement","Kitchen"
"81aacbdc-a3ff-4cb4-9f64-774a1775ec5a","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Basement","Pantry"
"b5cff65b-77a9-46c0-a804-8609cd665cb6","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Basement","Dishwashing"
"5e4083d2-d8d1-473f-9c39-789892f8e09c","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Basement","Resident Workshop"
"b1fcea22-31f2-4865-a1fd-17f780c35890","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Basement","Buggy Store"
"97792628-bd66-458e-a442-5b9ceb2d8f9c","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Basement","Staff Corridoor"
"ca76deb5-76df-4ba5-a3f9-2e72c4d22ad5","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Basement","Public Corridoor"
"0f552404-239f-40c3-b7eb-14a6243a4087","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Basement","SPK CV"
"a1603e1f-af39-4ab8-beec-a8f65919e1bd","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Basement","Domestic Hot Water Plant"
"4f1b94d2-763f-4d8f-9510-e2e8792c66e1","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Basement","Locker Store"
"a950add1-6994-4f52-88e1-dc95c8a0b7b1","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Basement","Change Rooms"
"b33e572a-2f49-4cfa-9219-755f425f2402","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Basement","Gym"
"4c9ee913-d758-4090-9bd5-97580b39a7b5","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Basement","Plant Room"
"8375e8e6-518d-4fbd-ab2f-054d9c7c5ec4","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Basement","Fire Break Tank & Pump Room"
"40b2ae20-b27b-49ce-9155-85119a5b4083","","checklist-flat","not-started","Stairwell Checklist","checklist-flat","FALSE","FALSE","B01","Basement","Stairwell 2"
"0e92e138-aa7f-4a53-a165-0a6ba69c722c","","checklist-flat","not-started","Stairwell Checklist","checklist-flat","FALSE","FALSE","B01","Basement","Stairwell 5"
"2d63e610-0edc-45d8-b48a-cf4d59d67f34","","checklist-flat","not-started","Common Area Checklist","checklist-flat","FALSE","FALSE","B01","Basement","Lift Lobby 1"
"07c1c33e-c80f-4c87-a2b0-aebc176b7088","","folder-normal","work-in-progress","","step","TRUE","FALSE","B01","Ground Level"
"f67dce23-7c1e-4d21-bf67-51edbdfb8333","","folder-normal","work-in-progress","","step","TRUE","FALSE","B01","Ground Level","Serviced Apartments (ALS G26 - ALS  G32)"
"31155e17-8959-4e13-a89e-7c886a809d40","","folder-normal","work-in-progress","","step","TRUE","FALSE","B01","Ground Level","Serviced Apartments (ALS G26 - ALS  G32)","ALS - G26"
"9ded20ae-42de-4e94-967d-4d7c4e7d8c08","","checklist-flat","work-in-progress","Apartment Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Ground Level","Serviced Apartments (ALS G26 - ALS  G32)","ALS - G31","Fit Off"
"0630ebd3-65b6-455d-a5f4-37aeb2082bad","","folder-normal","work-in-progress","","step","TRUE","FALSE","B01","Ground Level","Serviced Apartments (ALS G26 - ALS  G32)","ALS - G32"
"fc01ca67-a95c-4731-9fa9-a496471f121c","","checklist-flat","work-in-progress","Apartment Rough In Checklist","checklist-flat","FALSE","FALSE","B01","Ground Level","Serviced Apartments (ALS G26 - ALS  G32)","ALS - G32","Rough In"
"7339ed46-3422-4dc8-96fc-390a95074999","","checklist-flat","work-in-progress","Apartment Installation Checklist","checklist-flat","FALSE","FALSE","B01","Ground Level","Serviced Apartments (ALS G26 - ALS  G32)","ALS - G32","Installation"
"42d16df5-4375-4b47-a8c0-b6f9e4b63a88","","checklist-flat","work-in-progress","Apartment Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Ground Level","Serviced Apartments (ALS G26 - ALS  G32)","ALS - G32","Fit Off"
"4a417dc4-5358-4b76-a9f6-cdac7581e9dc","","folder-normal","work-in-progress","","step","TRUE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)"
"bd7779df-fa46-42ab-8043-622db49b200f","","folder-normal","work-in-progress","","step","TRUE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - AC - G1"
"e03edf0c-5a1d-4f6a-b0c7-f9125bc03616","","checklist-flat","pass","Apartment Rough In Checklist","checklist-flat","FALSE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - AC - G1","Rough In"
"9bfb08b2-841d-4398-abde-c796ad5bee2b","","checklist-flat","work-in-progress","Apartment Installation Checklist","checklist-flat","FALSE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - AC - G1","Installation"
"2eef3a62-02e5-4ad0-9ebb-b41c9eab208f","","checklist-flat","work-in-progress","Apartment Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - AC - G1","Fit Off"
"093c8783-88da-4902-8018-004f365a23d2","","folder-normal","work-in-progress","","step","TRUE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - G2"
"d8e4e63b-82fe-449c-92e9-9949b20c997e","","checklist-flat","pass","Apartment Rough In Checklist","checklist-flat","FALSE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - G2","Rough In"
"9c03746e-c729-4b0f-9eb4-656e0e04c317","","checklist-flat","work-in-progress","Apartment Installation Checklist","checklist-flat","FALSE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - G2","Installation"
"f0b96e0f-61e9-4816-be84-2b6387c8a0a6","","checklist-flat","work-in-progress","Apartment Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - G2","Fit Off"
"515b225f-978e-4abc-980d-8bbf49fe0630","","folder-normal","work-in-progress","","step","TRUE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - AC - G3"
"1e770f86-8c6a-4c9c-8ece-8617d6a49149","","checklist-flat","pass","Apartment Rough In Checklist","checklist-flat","FALSE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - AC - G3","Rough In"
"ca4a5e9d-07b1-4d4c-8229-81391431306f","","checklist-flat","work-in-progress","Apartment Installation Checklist","checklist-flat","FALSE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - AC - G3","Installation"
"2778d3c1-dd1c-4ef3-9f8a-cc36b4080814","","checklist-flat","work-in-progress","Apartment Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - AC - G3","Fit Off"
"a4ca0711-2ac5-42ef-99d1-de005977a56e","","folder-normal","work-in-progress","","step","TRUE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - G4"
"4ad8bb42-b681-49d7-a438-c9fd1c4ff6d6","","checklist-flat","pass","Apartment Rough In Checklist","checklist-flat","FALSE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - G4","Rough In"
"4fea22ce-e38f-42df-948c-7ca6149b80c3","","checklist-flat","work-in-progress","Apartment Installation Checklist","checklist-flat","FALSE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - G4","Installation"
"75a9de03-56d6-4c44-b15f-c41f46d23f92","","checklist-flat","not-started","Apartment Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - G4","Fit Off"
"81f2006c-f94f-495c-b0cf-114f37f60685","","folder-normal","work-in-progress","","step","TRUE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - G5"
"8eff1460-291f-460f-938a-f943c254bc84","","checklist-flat","pass","Apartment Rough In Checklist","checklist-flat","FALSE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - G5","Rough In"
"dccfab51-1e51-4239-9d78-6aa0913085c7","","checklist-flat","not-started","Apartment Installation Checklist","checklist-flat","FALSE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - G5","Installation"
"9271d7dc-a8ff-449d-8e36-203ff4e5ddb9","","checklist-flat","not-started","Apartment Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - G5","Fit Off"
"cb23b6bc-bf59-4ad9-8ce1-877d572a71a0","","folder-normal","work-in-progress","","step","TRUE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - G6"
"95e5fb63-b3b0-4443-b2c1-a0f62b89386a","","checklist-flat","pass","Apartment Rough In Checklist","checklist-flat","FALSE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - G6","Rough In"
"60dfe40d-c6fe-46ec-b521-2699ed249892","","checklist-flat","not-started","Apartment Installation Checklist","checklist-flat","FALSE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - G6","Installation"
"68cc4201-294b-4b14-8867-820e7ab69c2e","","checklist-flat","not-started","Apartment Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - G6","Fit Off"
"47a9f237-e95d-4947-aae8-7bb550f95836","","folder-normal","work-in-progress","","step","TRUE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - G7"
"0078649e-1088-412c-8dcc-2ee99d985dad","","checklist-flat","pass","Apartment Rough In Checklist","checklist-flat","FALSE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - G7","Rough In"
"4ae0ae47-caef-4d78-bb16-bf4e5e647a4e","","checklist-flat","not-started","Apartment Installation Checklist","checklist-flat","FALSE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - G7","Installation"
"b40b7fbf-6166-4fa3-ab0a-dbf176d7985d","","checklist-flat","not-started","Apartment Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - G7","Fit Off"
"cd1cfdd5-f3f0-479a-ade0-cf4f8d692b02","","folder-normal","work-in-progress","","step","TRUE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - G8"
"7d952b00-552e-4e5b-af5e-c5cbb85a1837","","checklist-flat","pass","Apartment Rough In Checklist","checklist-flat","FALSE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - G8","Rough In"
"c1a3524d-2269-4273-b3bc-cfd313b39db4","","checklist-flat","not-started","Apartment Installation Checklist","checklist-flat","FALSE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - G8","Installation"
"fc211607-3157-4fe7-8cd8-d87e718e11f4","","checklist-flat","not-started","Apartment Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - G8","Fit Off"
"eb76a0de-a260-4003-91bc-332fb6367ee9","","folder-normal","work-in-progress","","step","TRUE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - G9"
"6b0aca5f-24d6-46f9-92a9-eea15c1ecbfc","","checklist-flat","pass","Apartment Rough In Checklist","checklist-flat","FALSE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - G9","Rough In"
"c53b7c94-c709-4733-9805-0e0b84c7c6e6","","checklist-flat","not-started","Apartment Installation Checklist","checklist-flat","FALSE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - G9","Installation"
"b6858193-36d9-4bdc-866e-adf678c6bd83","","checklist-flat","not-started","Apartment Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - G9","Fit Off"
"0d35c1dc-7b00-4a7a-ab47-e586b8b40bac","","folder-normal","work-in-progress","","step","TRUE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - G10"
"b570842d-70f1-4f59-b32d-db3a7b999df8","","checklist-flat","pass","Apartment Rough In Checklist","checklist-flat","FALSE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - G10","Rough In"
"daa0d68c-b827-4051-9d26-8ae2f9558626","","checklist-flat","not-started","Apartment Installation Checklist","checklist-flat","FALSE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - G10","Installation"
"443ee3ab-9c8a-4b61-b952-431db2ea1244","","checklist-flat","not-started","Apartment Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - G10","Fit Off"
"e1be30bc-ef40-4ba5-ac45-c34efdb22ea0","","folder-normal","work-in-progress","","step","TRUE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - G11"
"bc4efe43-0af6-4272-ab27-b05be4cbb76c","","checklist-flat","pass","Apartment Rough In Checklist","checklist-flat","FALSE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - G11","Rough In"
"172a162e-8451-499a-b732-4fcf33e25dde","","checklist-flat","not-started","Apartment Installation Checklist","checklist-flat","FALSE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - G11","Installation"
"a7f9687a-f0ae-4eb9-8a67-6cf09ed976ce","","checklist-flat","not-started","Apartment Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - G11","Fit Off"
"339ad5e5-0bec-4858-8d65-64604ad18497","","folder-normal","work-in-progress","","step","TRUE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - G12"
"88ee9252-d301-40f4-9732-e6b72c1eec90","","checklist-flat","pass","Apartment Rough In Checklist","checklist-flat","FALSE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - G12","Rough In"
"1ffa6b92-c70f-4bef-b007-87c8298f686f","","checklist-flat","not-started","Apartment Installation Checklist","checklist-flat","FALSE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - G12","Installation"
"970463ea-2ed6-4ae4-94f4-fe5e0d1260a2","","checklist-flat","not-started","Apartment Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - G12","Fit Off"
"ce4d1ef1-1e66-4549-b7f9-dffcc38bf0ff","","folder-normal","work-in-progress","","step","TRUE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - G13"
"93a9352b-b864-49f0-9ef3-f83519e8d4a3","","checklist-flat","pass","Apartment Rough In Checklist","checklist-flat","FALSE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - G13","Rough In"
"0b5e2aae-db27-40ab-bbfe-09b06088498b","","checklist-flat","not-started","Apartment Installation Checklist","checklist-flat","FALSE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - G13","Installation"
"38879867-5761-468b-80ed-82c455eeed5d","","checklist-flat","not-started","Apartment Fit Off Checklist","checklist-flat","FALSE","FALSE","B01","Ground Level","Care Rooms (CARE AC G1 -  CARE G20)","CARE - G13","Fit Off"
