"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a2b7b887-6070-4f39-b40b-fa28f49d5dd4","","checklist-flat","not-started","SYS - PT - Job Details","checklist-flat","FALSE","FALSE","Job Details"
"9f173bbc-495a-5d21-bfdc-e3f21897ce77","","checkpoint-status","not-started","","","TRUE","TRUE","Job Details","Site Information Recorded"
"5698bc66-f11e-4a4f-818f-3f9ffacaa913","","folder-normal","not-started","","step","TRUE","FALSE","Job Pre-Commencement Checks"
"08bd6363-dcdf-4519-b6fc-3780fdbea85a","","checklist-flat","not-started","SYS - PT - H&S","checklist-flat","FALSE","FALSE","Job Pre-Commencement Checks","H&S Pre-Commencement"
"87f6fe66-0c24-55c1-903b-df41b85511c1","","checkpoint-status","not-started","","","TRUE","TRUE","Job Pre-Commencement Checks","H&S Pre-Commencement","All Pre-Commencment Health & Safety documentation completed & attached"
"22abb56e-9813-5998-90eb-82e767944585","","holdpoint","not-started","","","TRUE","TRUE","Job Pre-Commencement Checks","H&S Pre-Commencement","Request Signoff"
"ce689311-77cd-4317-8fd4-6d44d4df8c06","","checklist-flat","not-started","SYS - PT - Quality","checklist-flat","FALSE","FALSE","Job Pre-Commencement Checks","Quality Pre-Commencement"
"204e094a-7765-51cd-8527-9d96b1a92858","","checkpoint-status","not-started","","","TRUE","TRUE","Job Pre-Commencement Checks","Quality Pre-Commencement","All Pre-Commencment QC/QA checks completed & Conqa setup"
"ff866cc6-17f6-5f19-b053-2d73c5339be6","","holdpoint","not-started","","","TRUE","TRUE","Job Pre-Commencement Checks","Quality Pre-Commencement","Request Signoff"
"ed7faaa3-bfdd-4312-b4db-5742c2fb39ef","","folder-normal","fail","","step","FALSE","FALSE","On Site QA"
"db2eb78c-47c7-4923-9736-e57e46c0a96a","","folder-normal","fail","","step","FALSE","FALSE","On Site QA","Enabling Works Halsey East underside of level 01"
"20a358c8-3862-445e-828d-9187aa5078c8","","folder-normal","fail","","step","FALSE","FALSE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep"
"433d8835-1da1-49b7-8840-36a1d7ac8bed","","folder-normal","fail","","step","TRUE","FALSE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist"
"d602f93f-32ab-40e2-86e7-e22aaa13a06e","","checklist-sectioned","pass","1. Add Daily QC Checklist","checklist","FALSE","FALSE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist:30.08.23 waterblast canopies U/S Level 1"
"cf626e9e-af4f-5668-95db-ca520fa079dd","","checkpoint-group","pass","","","FALSE","FALSE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist:30.08.23 waterblast canopies U/S Level 1","Preparation"
"1c808241-a0c6-5943-87fb-4a1885aad2d3","","checkpoint-status","pass","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 02.09.23 prep and apply gpe to canopies U/S Level 1","Preparation","Hold Point Inspections"
"fe998367-4e69-5bc3-b264-94499a4d4a53","","checkpoint-status","pass","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 02.09.23 prep and apply gpe to canopies U/S Level 1","Preparation","Surface Conditions"
"168aa7fb-d808-52fb-8637-b6feaa25dbf6","","checkpoint-status","not-applicable","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 02.09.23 prep and apply gpe to canopies U/S Level 1","Preparation","Ambient Conditions"
"dae9f1dc-2907-5b15-9421-095993adf26e","","checkpoint-status","pass","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 02.09.23 prep and apply gpe to canopies U/S Level 1","Preparation","Surface Preparation"
"d1c53c2b-fe24-5501-b6bc-7497e49bc822","","checkpoint-group","pass","","","FALSE","FALSE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 02.09.23 prep and apply gpe to canopies U/S Level 1","Application"
"c4771945-edc7-528f-9ea1-6322ce9544f3","","checkpoint-status","pass","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 02.09.23 prep and apply gpe to canopies U/S Level 1","Application","Ambient Conditions"
"2d4db89c-0c24-5c83-8684-c3dc57b8daa4","","checkpoint-status","pass","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 02.09.23 prep and apply gpe to canopies U/S Level 1","Application","Coat"
"d5ed3440-918d-4f00-8d0a-a5c7136cff02","","checklist-sectioned","fail","1. Add Daily QC Checklist","checklist","FALSE","FALSE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 03.09.23 primer to canopies (rained off) U/S Level 1"
"ab35712b-3005-5152-baef-a9230e20e421","","checkpoint-group","fail","","","FALSE","FALSE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 03.09.23 primer to canopies (rained off) U/S Level 1","Preparation"
"a09a8684-f469-578e-b071-0ff3bbefc849","","checkpoint-status","pass","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 03.09.23 primer to canopies (rained off) U/S Level 1","Preparation","Hold Point Inspections"
"de2c296a-daac-5a6a-a9ef-98d188dd189c","","checkpoint-status","fail","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 03.09.23 primer to canopies (rained off) U/S Level 1","Preparation","Surface Conditions"
"342e7266-f781-5deb-bf8e-f0cd40766cbe","","checkpoint-status","fail","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 03.09.23 primer to canopies (rained off) U/S Level 1","Preparation","Ambient Conditions"
"97673ac9-31b4-534a-aa95-09d5003a8277","","checkpoint-status","not-applicable","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 03.09.23 primer to canopies (rained off) U/S Level 1","Preparation","Surface Preparation"
"f97bcc8a-4241-504e-9526-98ed87ef6377","","checkpoint-group","not-applicable","","","FALSE","FALSE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 03.09.23 primer to canopies (rained off) U/S Level 1","Application"
"ec52ab18-765a-588e-8eba-6cf423f83acf","","checkpoint-status","not-applicable","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 03.09.23 primer to canopies (rained off) U/S Level 1","Application","Ambient Conditions"
"f8032595-8104-55ce-be77-bbfc9e9d2cfc","","checkpoint-status","not-applicable","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 03.09.23 primer to canopies (rained off) U/S Level 1","Application","Coat"
"d4065c9a-4bbb-42ce-90b1-9d4402f9c96b","","checklist-sectioned","fail","1. Add Daily QC Checklist","checklist","FALSE","FALSE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 05.09.23 canopies(rained off) U/S Level 1"
"767e7b8a-2825-586d-abde-7161e5faf0ec","","checkpoint-group","fail","","","FALSE","FALSE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 05.09.23 canopies(rained off) U/S Level 1","Preparation"
"93862f82-2434-59d7-83b4-2a7e613a0d78","","checkpoint-status","pass","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 05.09.23 canopies(rained off) U/S Level 1","Preparation","Hold Point Inspections"
"76724002-9ede-5652-a8c7-ffb5dc78f6f0","","checkpoint-status","fail","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 05.09.23 canopies(rained off) U/S Level 1","Preparation","Surface Conditions"
"cca2730a-f5cc-58a5-8ea0-f64c6fbde37f","","checkpoint-status","fail","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 05.09.23 canopies(rained off) U/S Level 1","Preparation","Ambient Conditions"
"d46a8f2e-82cd-51cc-966b-31e253bcb336","","checkpoint-status","not-applicable","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 05.09.23 canopies(rained off) U/S Level 1","Preparation","Surface Preparation"
"3f5ed1b9-dcc7-5c0c-a626-9ade6fbcd70b","","checkpoint-group","not-started","","","FALSE","FALSE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 05.09.23 canopies(rained off) U/S Level 1","Application"
"eb7b6235-c449-5a81-b8be-3d51b2dd3f69","","checkpoint-status","not-started","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 05.09.23 canopies(rained off) U/S Level 1","Application","Ambient Conditions"
"a741e138-da29-50d8-8072-963fe89c8e2a","","checkpoint-status","not-started","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 05.09.23 canopies(rained off) U/S Level 1","Application","Coat"
"27a5cd63-949d-4c24-adb3-dd88e4308301","","checklist-sectioned","pass","1. Add Daily QC Checklist","checklist","FALSE","FALSE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 07.09.23 gpe to canopies U/S Level 1"
"2061033b-3249-55e6-abf6-d0f2eb0fb71a","","checkpoint-group","pass","","","FALSE","FALSE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 07.09.23 gpe to canopies U/S Level 1","Preparation"
"ec810baf-b944-59c4-8584-062200da94a1","","checkpoint-status","pass","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 07.09.23 gpe to canopies U/S Level 1","Preparation","Hold Point Inspections"
"69210fc0-0a23-5ab2-8987-a85e9882a556","","checkpoint-status","pass","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 07.09.23 gpe to canopies U/S Level 1","Preparation","Surface Conditions"
"36fc9c00-2c7f-5819-9b7c-879187e705b9","","checkpoint-status","not-applicable","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 07.09.23 gpe to canopies U/S Level 1","Preparation","Ambient Conditions"
"ba485b6a-dec8-50a5-80ca-cf14c812b66d","","checkpoint-status","pass","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 07.09.23 gpe to canopies U/S Level 1","Preparation","Surface Preparation"
"11354f02-78e0-5fe0-89c4-c9f2b15014e7","","checkpoint-group","pass","","","FALSE","FALSE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 07.09.23 gpe to canopies U/S Level 1","Application"
"59744e38-fca0-5f8a-9dff-4441a041f600","","checkpoint-status","pass","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 07.09.23 gpe to canopies U/S Level 1","Application","Ambient Conditions"
"ade48ee6-9e52-5787-b7b9-137ca616d31c","","checkpoint-status","pass","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 07.09.23 gpe to canopies U/S Level 1","Application","Coat"
"2af8e798-719a-47f3-a2f3-2272cd078f58","","checklist-sectioned","pass","1. Add Daily QC Checklist","checklist","FALSE","FALSE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 08.09.23 gpe to canopies  and k brace U/S Level 1"
"5eb1a2d3-11e6-524c-aba8-53645e41181a","","checkpoint-group","pass","","","FALSE","FALSE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 08.09.23 gpe to canopies  and k brace U/S Level 1","Preparation"
"ff2bbf40-2205-52b1-8b65-aa156ca18cdb","","checkpoint-status","pass","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 08.09.23 gpe to canopies  and k brace U/S Level 1","Preparation","Hold Point Inspections"
"b1266dcb-2f4d-50ec-a1e7-f7c5d008259d","","checkpoint-status","pass","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 08.09.23 gpe to canopies  and k brace U/S Level 1","Preparation","Surface Conditions"
"e86835e9-e6f3-5146-b3ef-a5f895830bf8","","checkpoint-status","not-applicable","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 08.09.23 gpe to canopies  and k brace U/S Level 1","Preparation","Ambient Conditions"
"9005742e-cec4-5525-8716-e8db2c8e774f","","checkpoint-status","not-applicable","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 08.09.23 gpe to canopies  and k brace U/S Level 1","Preparation","Surface Preparation"
"c50df97a-b047-5838-b58f-ee4679b09809","","checkpoint-group","pass","","","FALSE","FALSE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 08.09.23 gpe to canopies  and k brace U/S Level 1","Application"
"0d8ec3ae-85d5-5bb6-a645-ff53972bb226","","checkpoint-status","pass","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 08.09.23 gpe to canopies  and k brace U/S Level 1","Application","Ambient Conditions"
"b9e18c95-3950-56ba-98fa-17655f14b994","","checkpoint-status","pass","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 08.09.23 gpe to canopies  and k brace U/S Level 1","Application","Coat"
"ed0ad075-d73f-4a25-a5fc-255dc97bbffb","","checklist-sectioned","pass","1. Add Daily QC Checklist","checklist","FALSE","FALSE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 11.09.23 waterblast liftshaft area  and some more of Halsey east U/S Level 1"
"0fb0bf4e-dc41-52c1-a2a4-9ecfe34edf77","","checkpoint-group","pass","","","FALSE","FALSE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 11.09.23 waterblast liftshaft area  and some more of Halsey east U/S Level 1","Preparation"
"1b7bf9ac-089b-59e5-9229-81872ca6a369","","checkpoint-status","pass","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 11.09.23 waterblast liftshaft area  and some more of Halsey east U/S Level 1","Preparation","Hold Point Inspections"
"035ffce1-447f-546f-a1ed-89e496041865","","checkpoint-status","pass","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 11.09.23 waterblast liftshaft area  and some more of Halsey east U/S Level 1","Preparation","Surface Conditions"
"db6fd469-7fda-57c1-b37e-067efc2b3ac2","","checkpoint-status","not-applicable","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 11.09.23 waterblast liftshaft area  and some more of Halsey east U/S Level 1","Preparation","Ambient Conditions"
"e50b0ba8-7ce6-528b-be66-096e451d9a1a","","checkpoint-status","pass","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 11.09.23 waterblast liftshaft area  and some more of Halsey east U/S Level 1","Preparation","Surface Preparation"
"c5904c2a-d915-59ab-9d42-e072daabfcac","","checkpoint-group","not-applicable","","","FALSE","FALSE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 11.09.23 waterblast liftshaft area  and some more of Halsey east U/S Level 1","Application"
"d399bf4f-830b-583d-b1f5-c5a9316f208d","","checkpoint-status","not-applicable","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 11.09.23 waterblast liftshaft area  and some more of Halsey east U/S Level 1","Application","Ambient Conditions"
"1e71e0dc-45c8-58de-b866-b8303fd73597","","checkpoint-status","not-applicable","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 11.09.23 waterblast liftshaft area  and some more of Halsey east U/S Level 1","Application","Coat"
"2a1372ca-89d9-4f8e-9ce9-fd70067f35b1","","checklist-sectioned","pass","1. Add Daily QC Checklist","checklist","FALSE","FALSE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 12.09.23 prep and apply gpe to liftshaft area U/S Level 1"
