"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"99a34497-b193-4c25-b2e4-5bb61d744510","","checklist-flat","no-status-not-started","Site Details","checklist-flat","FALSE","FALSE","Site Details"
"a7a47fe3-03bf-463e-8779-55e2ed7b7b7b","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY"
"d2eb102d-443c-4a99-80c2-1c58c5c5645c","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P001"
"b822e9f6-eecc-4e8e-92df-41c285e1b2b7","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P004","Concrete Delivery Checklist"
"673f1908-1dff-4167-8a31-00d3978ed6da","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P005"
"72b53e03-e44b-4abc-8d23-50462fd308b7","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P005","Pre-Pour Checklist 1"
"d3676103-8d25-4cfe-a9e7-87aa8468c56e","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P005","Concrete Delivery Checklist"
"d0d80871-0ba1-4c3d-81a8-067ce3e8f59c","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P006"
"c2e16c48-4c29-43bb-813d-0f9b795358df","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P006","Pre-Pour Checklist 1"
"3320fa5a-1359-4fb6-a97e-a9f94f12d577","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P006","Concrete Delivery Checklist"
"9e176e5f-de04-4103-858d-2f8eae0fe9a5","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P007"
"6d390ee6-3a78-4483-9b66-e6474a1a99e1","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P007","Pre-Pour Checklist 1"
"274dacf7-a68a-41fd-ad3d-49a7b51d7dbe","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P007","Concrete Delivery Checklist"
"c38abde8-8909-4943-b23f-db12b7085d49","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P008"
"351851ef-433d-41dc-be16-14842f6cfe11","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P008","Pre-Pour Checklist 1"
"078c2172-b097-42eb-a2dc-b69798174b5b","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P008","Concrete Delivery Checklist"
"01327c62-333f-4382-9595-f2766a2ec745","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P009"
"ce7b9458-bd35-4951-a540-2316664258e2","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P009","Pre-Pour Checklist 1"
"f4aaed85-2da7-4c1e-870a-68b5250e9743","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P009","Concrete Delivery Checklist"
"96d49a91-8776-4731-9952-fe31581b45e3","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P010"
"f71ecff0-1723-4f44-bff9-c7d587aa796e","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P010","Pre-Pour Checklist 1"
"1110164f-7aed-42a7-b3bc-9d93985ef3d5","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P010","Concrete Delivery Checklist"
"e9ed8c9d-983d-4069-87ba-7cc143757d25","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Transport to site"
"f178cc55-28b5-49cd-b513-af732f0524e5","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site Install"
"6e1403dc-67e9-42dc-a392-b40fdaa2908c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Install Paper Work"
