"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"de66ced1-70a8-427b-850e-7d404c06f4dc","","checklist-flat","no-status-not-started","Site Details","checklist-flat","FALSE","FALSE","Site Details"
"79739953-4765-4b4b-bfa7-70f1252e1e3a","","folder-normal","work-in-progress","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY"
"c5b93565-110c-47a5-a027-e7face674cdd","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P00A"
"4fe603d2-8832-4258-b70c-e0a9d5ffef0c","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P00F","Pre-Pour Checklist"
"8cd82cdd-7e67-4cfe-ae8b-90786013e7a7","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P00F","Concrete Delivery Checklist"
"3614d8d1-2961-4a82-85b1-d9cd661ba9e8","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P00F1"
"0a3fff02-d47a-45c3-a28b-b5c9e3351f61","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P00F1","Pre-Pour Checklist"
"fbcc06ae-ed54-4e0f-b91d-b81082d35897","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P00F1","Concrete Delivery Checklist"
"b90e16ca-f044-46b3-b5aa-d217c4bed9a5","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P00G"
"dbfca950-e9ba-435b-9649-d74dac2d7d65","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P00G","Pre-Pour Checklist"
"a1207684-e965-4f83-9e6b-31bdcfed3d2c","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P00G","Concrete Delivery Checklist"
"86f1f040-b517-4173-9698-692e123dfed4","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P00H"
"c7cbdffe-1669-4bf6-abf4-d94f8bd02573","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P00H","Pre-Pour Checklist"
"ba2c76bb-39af-4854-8b53-9078740018af","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P00H","Concrete Delivery Checklist"
"fc1d44a6-ec3f-4ae5-b426-0b94a8690113","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P00I"
"1ade44b1-a8bb-45da-a5e2-877dc540e57d","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P00I","Pre-Pour Checklist"
"37b17a09-fc4b-433f-848f-7ef938d8c197","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P00I","Concrete Delivery Checklist"
"6cff7117-b2c3-4c05-a9ae-e48dc167cb60","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P00J"
"b47f9af9-7103-41a1-8234-a49fc6c1bcce","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P00J","Pre-Pour Checklist"
"bee44a93-92eb-4b16-912d-6f4df42f0435","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P00J","Concrete Delivery Checklist"
"23fcb1ad-79c0-4976-b00f-6ebb742b38ef","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Transport to site"
"fbc65bf0-f141-464c-9f12-d2057c37ba73","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site Install"
"f16252f0-9dc8-48ba-bc71-7a95601e0ad2","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Install Paper Work"
