"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f54d08c9-d36a-4117-90a5-cbf9b16de40e","","pass","","folder","TRUE","FALSE","Manufacture QA"
"5a9b7da0-8160-4248-9ce4-7fa13130709a","","pass","","folder","TRUE","FALSE","Manufacture QA","BB.1"
"e4b8819e-12d1-484b-a1d9-a5d70ef6baf5","","pass","DECA Inspector sign off","checklist","FALSE","FALSE","Manufacture QA","BW.1 -14","The DECA Inspector sign off"
"ad64437d-bde6-401f-8098-9d2478a7996d","","pass","Concrete Delivery Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -14","Concrete Delivery Checklist"
"78d40031-1bd4-4c33-8961-9c9a07807fdd","","pass","Post-pour Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -14","Post-pour Checklist"
"5e5b2d49-7991-4c95-ab3a-ae2d9a4e8c6a","","pass","","folder","TRUE","FALSE","Manufacture QA","BW.1 -15"
"961d23b0-bc82-4e55-8ca4-3d844b0f99a3","","pass","Pre-Pour Checklist 1 (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -15","Pre-Pour Checklist 1"
"3d0a289b-0637-4a76-8091-fc11ec6a24b4","","pass","DECA Inspector sign off","checklist","FALSE","FALSE","Manufacture QA","BW.1 -15","The DECA Inspector sign off"
"12aebc80-8738-474b-ba65-d0994150595a","","pass","Concrete Delivery Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -15","Concrete Delivery Checklist"
"ee7f79fc-e8d1-4511-aee5-147ea7160ebe","","pass","Post-pour Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -15","Post-pour Checklist"
"f8218acb-ae72-493d-afc5-9d478c05d894","","pass","","folder","TRUE","FALSE","Manufacture QA","BW.1 -16"
"45074617-fdf3-412a-9889-d4db79516f5c","","pass","Pre-Pour Checklist 1 (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -16","Pre-Pour Checklist 1"
"1ec656af-02e2-4e13-b79b-0b986ba87ac2","","pass","DECA Inspector sign off","checklist","FALSE","FALSE","Manufacture QA","BW.1 -16","The DECA Inspector sign off"
"5f1c5f5e-2aba-45c4-a2f6-9a2c6a8dd48f","","pass","Concrete Delivery Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -16","Concrete Delivery Checklist"
"ef42a798-c931-47d6-8bff-f424c31223be","","pass","Post-pour Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -16","Post-pour Checklist"
"0db3bcbe-a424-488d-8d58-80e628384ae0","","pass","","folder","TRUE","FALSE","Manufacture QA","BW.1 -17"
"b6a6206e-b855-476b-b5b1-9317f15e87f6","","pass","Pre-Pour Checklist 1 (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -17","Pre-Pour Checklist 1"
"410a2648-ce92-43ff-9183-75e01f6300d1","","pass","DECA Inspector sign off","checklist","FALSE","FALSE","Manufacture QA","BW.1 -17","The DECA Inspector sign off"
"3375b918-b715-4123-8966-edfe3f03ed6e","","pass","Concrete Delivery Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -17","Concrete Delivery Checklist"
"460081eb-6038-4326-a592-8a158ed2be60","","pass","Post-pour Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -17","Post-pour Checklist"
"88d90d7a-96f2-49dd-bbff-2344d35dad37","","pass","","folder","TRUE","FALSE","Manufacture QA","BW.1 -18"
"4578dbb0-fd98-43fd-b6c7-09f4a642d33b","","pass","Pre-Pour Checklist 1 (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -18","Pre-Pour Checklist 1"
"ff2574f9-16f0-4eb9-9175-a85a524d25bf","","pass","DECA Inspector sign off","checklist","FALSE","FALSE","Manufacture QA","BW.1 -18","The DECA Inspector sign off"
"96d870f8-9c44-4424-8a9c-ff099cc5e96d","","pass","Concrete Delivery Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -18","Concrete Delivery Checklist"
"81878334-f3af-4899-bcd6-9df6e25e3295","","pass","Post-pour Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -18","Post-pour Checklist"
"cdd76689-7264-48e9-a39f-1b618c31f470","","pass","","folder","TRUE","FALSE","Manufacture QA","BW.1 -19"
"811c025a-f44e-401b-9791-9085f737818f","","pass","Pre-Pour Checklist 1 (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -19","Pre-Pour Checklist 1"
"0be1d506-e341-4213-a7a0-a1863d472f10","","pass","DECA Inspector sign off","checklist","FALSE","FALSE","Manufacture QA","BW.1 -19","The DECA Inspector sign off"
"af85c31c-e5ad-48b6-8113-f78b59d105d5","","pass","Concrete Delivery Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -19","Concrete Delivery Checklist"
"5e2153a9-87b8-4de0-9605-9efe9a5be521","","pass","Post-pour Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -19","Post-pour Checklist"
"d7a2557d-e46c-4069-a7b3-2d159a67350d","","pass","","folder","TRUE","FALSE","Manufacture QA","BW.1 -20"
"a9cf01e0-40ad-490d-9250-ec601143db00","","pass","Pre-Pour Checklist 1 (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -20","Pre-Pour Checklist 1"
"fe8de19d-7d15-4665-9aea-91f6534fe31c","","pass","DECA Inspector sign off","checklist","FALSE","FALSE","Manufacture QA","BW.1 -20","The DECA Inspector sign off"
"7e662e72-a86f-4a71-8dfe-475e9d2ae836","","pass","Concrete Delivery Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -20","Concrete Delivery Checklist"
"00121974-ce19-4fd9-beaf-d3c8d9bd5dc8","","pass","Post-pour Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -20","Post-pour Checklist"
"815e58b8-5501-4066-90ac-27581551aad5","","pass","","folder","TRUE","FALSE","Manufacture QA","BW.1 -21"
"2d09e77c-6a6e-49b2-b7d5-6fcb1cb97706","","pass","Pre-Pour Checklist 1 (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -21","Pre-Pour Checklist 1"
"16b27878-b137-4739-b543-fa7e61380ec8","","pass","DECA Inspector sign off","checklist","FALSE","FALSE","Manufacture QA","BW.1 -21","The DECA Inspector sign off"
"dc772456-a9f1-4c20-b820-bbc98bf5c7df","","pass","Concrete Delivery Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -21","Concrete Delivery Checklist"
"7db4b548-c92e-4fab-aa74-7e330fb026a1","","pass","Post-pour Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -21","Post-pour Checklist"
"ac9ff674-8abd-499f-b59f-328e771f8248","","pass","","folder","TRUE","FALSE","Manufacture QA","BW.1 -22"
"1bba4de2-71b7-41b8-8bdc-076e26c3ea2b","","pass","Pre-Pour Checklist 1 (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -22","Pre-Pour Checklist 1"
"59f70541-8545-4375-807a-10b793adff21","","pass","DECA Inspector sign off","checklist","FALSE","FALSE","Manufacture QA","BW.1 -22","The DECA Inspector sign off"
"e059d9bc-c7e6-4689-9e81-09590c01cec8","","pass","Concrete Delivery Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -22","Concrete Delivery Checklist"
"d1992db9-ee69-48a8-89ac-83f7b67a8d04","","pass","Post-pour Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -22","Post-pour Checklist"
"56b4b513-dfed-4c2c-8c78-28c1e3c7bf67","","pass","","folder","TRUE","FALSE","Manufacture QA","BW.1 -23"
"d9b19df7-95cf-46d0-b3eb-658a9d1ae8a9","","pass","Pre-Pour Checklist 1 (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -23","Pre-Pour Checklist 1"
"a34b6ffd-28b3-4506-84f7-deac9b0802a8","","pass","DECA Inspector sign off","checklist","FALSE","FALSE","Manufacture QA","BW.1 -23","The DECA Inspector sign off"
"fbf83726-3e87-4075-a848-a4c6257b2856","","pass","Concrete Delivery Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -23","Concrete Delivery Checklist"
"326284ba-9525-454c-b7dd-dc6cf14f8e36","","pass","Post-pour Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -23","Post-pour Checklist"
"86683d57-322e-47f1-afe7-df612a19d202","","pass","","folder","TRUE","FALSE","Manufacture QA","BW.1 -24"
"306f30ca-0e69-4c17-b9f1-01b938942a21","","pass","Pre-Pour Checklist 1 (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -24","Pre-Pour Checklist 1"
"e5c6e3ac-0803-496d-a5c9-b188fa9e7a93","","pass","DECA Inspector sign off","checklist","FALSE","FALSE","Manufacture QA","BW.1 -24","The DECA Inspector sign off"
"e63bf648-7ac9-48a5-b899-d46fc878f86f","","pass","Concrete Delivery Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -24","Concrete Delivery Checklist"
"bb72ab1d-9074-4cea-a75c-3c3a7ff3e522","","pass","Post-pour Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -24","Post-pour Checklist"
"b2179c33-36f4-493b-a3e5-44564aa4a4bf","","pass","","folder","TRUE","FALSE","Manufacture QA","BW.1 -25"
"dbc60a6d-86bf-4387-9232-e7021cbc57e8","","pass","Pre-Pour Checklist 1 (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -25","Pre-Pour Checklist 1"
"3d291c1b-b804-48ee-bcb1-0da1a5c889b6","","pass","DECA Inspector sign off","checklist","FALSE","FALSE","Manufacture QA","BW.1 -25","The DECA Inspector sign off"
"450b2e8e-b2a8-4ed7-b81e-e6f255c8f1e9","","pass","Concrete Delivery Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -25","Concrete Delivery Checklist"
"120ea422-947b-4329-91cf-ff0f4eb9f138","","pass","Post-pour Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -25","Post-pour Checklist"
"5c2457e2-002b-439f-baf7-82c1cb4ec0a7","","pass","","folder","TRUE","FALSE","Manufacture QA","BW.1 -26"
"0fbc543c-e496-407e-855e-0ac4a588583e","","pass","Pre-Pour Checklist 1 (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -26","Pre-Pour Checklist 1"
"c7e42a48-b430-4e08-94cc-7fcc96ca7705","","pass","DECA Inspector sign off","checklist","FALSE","FALSE","Manufacture QA","BW.1 -26","The DECA Inspector sign off"
"282658dd-b74a-4a82-b809-1db8c434d52d","","pass","Concrete Delivery Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -26","Concrete Delivery Checklist"
"ef73bf5f-40fb-4959-9053-f82ea8850957","","pass","Post-pour Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -26","Post-pour Checklist"
"e435509e-371b-4655-9ab0-bd61f2294110","","pass","","folder","TRUE","FALSE","Manufacture QA","BW.1 -27"
"a66e3d91-d53a-41c2-be74-3a62be8d053e","","pass","Pre-Pour Checklist 1 (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -27","Pre-Pour Checklist 1"
"4e903c59-1583-48aa-962c-32ab9f4c28a9","","pass","DECA Inspector sign off","checklist","FALSE","FALSE","Manufacture QA","BW.1 -27","The DECA Inspector sign off"
"556cf107-1291-405f-8c9a-808e1bf29894","","pass","Concrete Delivery Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -27","Concrete Delivery Checklist"
"b03b0021-8f9f-4908-9fa5-0e1df6429673","","pass","Post-pour Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -27","Post-pour Checklist"
"a1da2fce-5c2a-4ac5-b05e-7cf2b7bf8fe9","","pass","","folder","TRUE","FALSE","Manufacture QA","BW.1 -28"
"9d8ceeb3-6a62-4d69-bd22-bc7fee9ce5be","","pass","Pre-Pour Checklist 1 (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -28","Pre-Pour Checklist 1"
"2d5514d7-8fbb-4d9f-b001-0d05277dc085","","pass","DECA Inspector sign off","checklist","FALSE","FALSE","Manufacture QA","BW.1 -28","The DECA Inspector sign off"
"4afcbe5e-2bb8-4f5a-8290-6f0d32240ccd","","pass","Concrete Delivery Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -28","Concrete Delivery Checklist"
"60d56681-11a1-49f8-bcb1-de957e8b0ee9","","pass","Post-pour Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -28","Post-pour Checklist"
"a74bf01a-4143-4545-b512-056b523c8b21","","pass","","folder","TRUE","FALSE","Manufacture QA","BW.1 -29"
"3d2cf9d6-e3bd-4119-8233-435353cefb6a","","pass","Pre-Pour Checklist 1 (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -29","Pre-Pour Checklist 1"
