"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9afe8068-6025-4bf9-aea0-61e6b47f5f9a","","folder-normal","","","step","TRUE","FALSE","Site Diary"
"03aa2e42-947a-4d32-a7db-f53794f8f1b7","","folder-normal","","","step","TRUE","FALSE","Site Diary","Undocumented variations"
"1d7493af-becd-4ba9-b89e-6050c1388f8b","","checklist-flat","","Hydrant/Sprinkler Mains/Risers/Hose Reel Checklist","checklist-flat","FALSE","FALSE","Site QA","Hydrant/ Sprinkler Mains / Risers / Hose Reels","B2"
"76c8d70f-2494-41a8-8c48-a291bdc1a7c9","","checklist-flat","","Hydrant/Sprinkler Mains/Risers/Hose Reel Checklist","checklist-flat","FALSE","FALSE","Site QA","Hydrant/ Sprinkler Mains / Risers / Hose Reels","Ground"
"ab7beeae-764d-4f15-a0f8-6f2f2b46e968","","checklist-flat","","Hydrant/Sprinkler Mains/Risers/Hose Reel Checklist","checklist-flat","FALSE","FALSE","Site QA","Hydrant/ Sprinkler Mains / Risers / Hose Reels","Level 1"
"0742a52c-1943-4f95-a559-92293000ed78","","checklist-flat","","Hydrant/Sprinkler Mains/Risers/Hose Reel Checklist","checklist-flat","FALSE","FALSE","Site QA","Hydrant/ Sprinkler Mains / Risers / Hose Reels","Level 2"
"b1543e5c-8dd8-4c35-9e67-0f04fcbab1d7","","checklist-flat","","Hydrant/Sprinkler Mains/Risers/Hose Reel Checklist","checklist-flat","FALSE","FALSE","Site QA","Hydrant/ Sprinkler Mains / Risers / Hose Reels","Level 3"
"3e3ec5b7-3d02-4a81-bd13-11e466afe0a4","","checklist-flat","","Hydrant/Sprinkler Mains/Risers/Hose Reel Checklist","checklist-flat","FALSE","FALSE","Site QA","Hydrant/ Sprinkler Mains / Risers / Hose Reels","Level 4"
"669fba2b-16cc-4b77-8a89-4c75fffda611","","checklist-flat","","Hydrant/Sprinkler Mains/Risers/Hose Reel Checklist","checklist-flat","FALSE","FALSE","Site QA","Hydrant/ Sprinkler Mains / Risers / Hose Reels","Level 5"
"b548bd5e-924c-4f80-a8ea-3d0101789a0e","","checklist-flat","","Hydrant/Sprinkler Mains/Risers/Hose Reel Checklist","checklist-flat","FALSE","FALSE","Site QA","Hydrant/ Sprinkler Mains / Risers / Hose Reels","Level 6"
"76f8375d-d4e9-4f31-b5df-c093b48aaab2","","checklist-flat","","Sprinkler Control Valves Checklist","checklist-flat","FALSE","FALSE","Site QA","Sprinkler Control Valves"
"e1667428-240e-4826-b943-24ff61795f9a","","checklist-flat","","Fire Booster Cupboard Checklist","checklist-flat","FALSE","FALSE","Site QA","Fire Booster Cupboard"
"335ed378-5762-42bc-83f8-227a5e854a7f","","folder-normal","","","step","TRUE","FALSE","Site QA","Fire Extinguishers/Blankets"
"dc0f6842-7138-464f-8edd-eee07ce3f6ac","","checklist-flat","","Fire Extinguishers/Blankets","checklist-flat","FALSE","FALSE","Site QA","Fire Extinguishers/Blankets","B1"
"c7ec296f-af81-414b-a5f5-04614c619d22","","checklist-flat","","Fire Extinguishers/Blankets","checklist-flat","FALSE","FALSE","Site QA","Fire Extinguishers/Blankets","B2"
"9e620934-c6f6-40e4-a84c-c099d19fdfd5","","checklist-flat","","Fire Extinguishers/Blankets","checklist-flat","FALSE","FALSE","Site QA","Fire Extinguishers/Blankets","Ground"
"64b38000-a644-428b-9d68-c9bbbf1c6e15","","checklist-flat","","Fire Extinguishers/Blankets","checklist-flat","FALSE","FALSE","Site QA","Fire Extinguishers/Blankets","Level 1"
"212f61ed-5ee7-41a3-bf54-374dc84227e2","","checklist-flat","","Fire Extinguishers/Blankets","checklist-flat","FALSE","FALSE","Site QA","Fire Extinguishers/Blankets","Level 2"
"6452a62a-36e9-4680-bf09-1d311f25856c","","checklist-flat","","Fire Extinguishers/Blankets","checklist-flat","FALSE","FALSE","Site QA","Fire Extinguishers/Blankets","Level 3"
"5d8c049f-bd2a-4ed1-ae26-cec01e6dcf31","","checklist-flat","","Fire Extinguishers/Blankets","checklist-flat","FALSE","FALSE","Site QA","Fire Extinguishers/Blankets","Level 4"
"620bf83a-44ef-4651-9db9-a1358eddced9","","checklist-flat","","Fire Extinguishers/Blankets","checklist-flat","FALSE","FALSE","Site QA","Fire Extinguishers/Blankets","Level 5"
"d3c49a96-56ce-42ef-bc59-56aeea86b91e","","checklist-flat","","Fire Extinguishers/Blankets","checklist-flat","FALSE","FALSE","Site QA","Fire Extinguishers/Blankets","Level 6"
"27636005-bfea-4f1d-b2c4-bb6927959f44","","checklist-flat","","Commissioning","checklist-flat","FALSE","FALSE","Site QA","Commissioning"
"b1a3d3b4-0ef5-4e93-9c28-7293fc98b0ff","","folder-normal","","","step","TRUE","FALSE","Variations"
"c60f29bf-766b-420e-b775-370f0537773f","","folder-normal","","","step","TRUE","FALSE","Incident Reports"
