"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a52bebed-a08d-494f-b777-33c66b65a1bd","","fail","","folder","TRUE","FALSE","Site QA"
"fa149cf2-0d3c-4a8d-b021-e7fdf0fa8486","","pass","","folder","TRUE","FALSE","Site QA","Basement"
"5f37cc6f-3967-532b-b6fb-746056421317","","pass","QA - Sewer Stacks / Storm water stacks","checklist","FALSE","FALSE","Site QA","Basement","Sewer Stacks / Storm Water Stacks"
"59b2a98e-40e0-50a4-8447-31b68466421a","","pass","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Basement","Commissioning"
"c13370b0-c293-4282-bf55-40a16f4cd828","","pass","","folder","TRUE","FALSE","Site QA","Lower Ground"
"848d8aed-79f6-4025-ad4a-e1f4fbf4d56c","","pass","Basement & LG Rough in Checklist","checklist","FALSE","FALSE","Site QA","Lower Ground","Plumbing Rough-In"
"4b190447-4959-58ea-b12e-5d422d58f95a","","pass","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Lower Ground","Fit Off"
"005e7e39-9976-50a8-a59c-36dd3ed57794","","pass","QA - Sewer Stacks / Storm water stacks","checklist","FALSE","FALSE","Site QA","Lower Ground","Sewer Stacks / Storm Water Stacks"
"e8808c02-728f-57dc-9b8a-0b3475c8d855","","pass","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Lower Ground","Commissioning"
"57b31524-11b0-49e3-ae32-ea15dea3fbf6","","pass","","folder","TRUE","FALSE","Site QA","Block C - Lower Ground"
"acacbbf2-06de-4c6b-b8c9-9bc2b4acd1d3","","pass","","folder","TRUE","FALSE","Site QA","Block C - Lower Ground","Lobby"
"15c2e1ad-bd92-54b2-9c1f-55c1271dbb45","","pass","QA - Meter Cupboard / Copper Riser","checklist","FALSE","FALSE","Site QA","Block C - Lower Ground","Lobby","Meter Cupboard / Copper Riser"
"a4f4a117-0567-473b-b9fb-66bc8206700c","","pass","","folder","TRUE","FALSE","Site QA","Block C - Lower Ground","CLG.01"
"6000171a-5287-522f-8ebd-78b84944c05d","","pass","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block C - Lower Ground","CLG.01","Plumbing Rough-In"
"252e741e-d7af-48a2-a946-3f998cac35fc","","pass","Plumbing Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block C - Lower Ground","CLG.01","Fit Off"
"ec576bcf-18fa-56d5-9b1e-9da04bd1a000","","pass","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block C - Lower Ground","CLG.01","Commissioning"
"f536577c-a37d-458c-8e2a-6a4250c3c80f","","pass","","folder","TRUE","FALSE","Site QA","Block C - Lower Ground","CLG.02"
"1393f4cc-ca74-50b6-83ea-5c408b8ce9f8","","pass","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block C - Lower Ground","CLG.02","Plumbing Rough-In"
"8c556f70-b7ea-4b87-8e64-694117dcc444","","pass","Plumbing Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block C - Lower Ground","CLG.02","Fit Off"
"ca79fbd6-55ff-587d-bedb-5b85b12e16c6","","pass","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block C - Lower Ground","CLG.02","Commissioning"
"34b464b7-7bf7-4705-8ee8-f25376b0da75","","fail","","folder","TRUE","FALSE","Site QA","Block A"
"5bcfa4da-5337-4f39-be05-e03859a2c434","","fail","","folder","TRUE","FALSE","Site QA","Block A","Ground Floor"
"b9a84ee3-4514-463b-b6c3-a22d58747314","","not-started","","folder","TRUE","FALSE","Site QA","Block A","Ground Floor","Lobby"
"c9b10193-4391-59cd-9fa1-4f12c4c771ce","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.05","Commissioning"
"98a6c24f-f5c7-40eb-b8ef-d0f14be3c3c5","","fail","","folder","TRUE","FALSE","Site QA","Block A","Ground Floor","AG.06"
"debdf89e-08ec-5909-870f-4ea0131dd6f6","","not-started","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.06","Plumbing Rough-In"
"54055091-ee63-46f7-b977-aa58bbb17c31","","fail","Plumbing Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.06","Fit Off"
"4cdf97fd-728e-5f64-ae7f-1b55c361227c","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.06","Commissioning"
"d7ad8e79-d5ee-43fc-8ab6-e1842804029b","","fail","","folder","TRUE","FALSE","Site QA","Block A","Ground Floor","AG.07"
"fba24ef9-94d0-50c9-85da-744fc7e88d04","","not-started","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.07","Plumbing Rough-In"
"4c6b265e-88fd-4d60-afe9-8356bc839554","","fail","Plumbing Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.07","Fit Off"
"ddac0596-76a5-5e1a-817f-4b217b533927","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.07","Commissioning"
"3f76f2ef-e906-4658-8eb6-9c02b2149dca","","fail","","folder","TRUE","FALSE","Site QA","Block A","Ground Floor","AG.08"
"fe9308ae-eb82-5510-bd26-4be6a7fc31af","","not-started","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.08","Plumbing Rough-In"
"31966785-413a-4d3a-8f0c-20faa0c07595","","fail","Plumbing Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.08","Fit Off"
"006a4f43-3713-58f9-b661-fe61e44e57fb","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.08","Commissioning"
"1786c549-cc19-4920-bd6b-ceca82d1e7a9","","fail","","folder","TRUE","FALSE","Site QA","Block A","Level 1"
"fa85774d-5155-4acb-9a79-b70c07b9ff80","","work-in-progress","","folder","TRUE","FALSE","Site QA","Block A","Level 1","A1.01"
"559ea973-e486-450c-868b-07fe5315205d","","work-in-progress","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.01","Commissioning"
"875cc547-65a4-548f-8dfb-199b3402d32f","","not-started","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.01","Plumbing Rough-In"
"209622a7-d4ec-513a-afc1-999ae6cb6875","","work-in-progress","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.01","Fit Off"
"7cc155e4-68b1-4a71-8b7a-836e61b4fc6e","","work-in-progress","","folder","TRUE","FALSE","Site QA","Block A","Level 1","A1.02"
"ba42f45c-7a92-5a8a-b73c-9d55bb503868","","not-started","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.02","Plumbing Rough-In"
"173f6b4e-2420-5eea-8781-04fcb73c1970","","work-in-progress","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.02","Fit Off"
"ea0700bb-9e25-5f9e-bc18-77de771067d0","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.02","Commissioning"
"ed1b2cdd-d59a-496f-be08-e7f6cfde6384","","fail","","folder","TRUE","FALSE","Site QA","Block A","Level 1","A1.03"
"27e10816-af91-5082-9758-5181d0c38bca","","not-started","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.03","Plumbing Rough-In"
"87df171a-1542-56b2-bbc2-7ba49207ccbc","","fail","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.03","Fit Off"
"d97f8f12-3735-5214-ab4c-573e3a74afb0","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.03","Commissioning"
"5096398c-226b-46f7-b440-bb530d15829a","","work-in-progress","","folder","TRUE","FALSE","Site QA","Block A","Level 1","A1.04"
"00748b98-0d93-5a3e-b34b-f0062cd05e1d","","not-started","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.04","Plumbing Rough-In"
"8be514db-b90b-5605-a2cf-c343d8af96d1","","work-in-progress","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.04","Fit Off"
"8f2c8036-e5f4-567b-be08-f2332d38c7d6","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.04","Commissioning"
"bae05098-17f9-4074-a3ff-7ae433ea2be9","","work-in-progress","","folder","TRUE","FALSE","Site QA","Block A","Level 1","A1.05"
"81e4cbf9-4448-50f2-bad7-18525d0012c3","","not-started","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.05","Plumbing Rough-In"
"a23ab5ed-12b7-5d41-8d8b-0c9a8fc35421","","work-in-progress","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.05","Fit Off"
"50191b07-0a77-52ab-9e3a-b9cf491e6fc6","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.05","Commissioning"
"423af9ad-3c56-4a11-b521-9d6a49b3ec07","","work-in-progress","","folder","TRUE","FALSE","Site QA","Block A","Level 1","A1.06"
"be3f5946-a8fe-599d-a891-baa8cb110050","","not-started","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.06","Plumbing Rough-In"
"85b8e9f1-da95-5797-b238-4ba63310df94","","work-in-progress","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.06","Fit Off"
"1fbefa22-4aaf-5a85-b7c9-150667a96d33","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.06","Commissioning"
"b2ff1595-d736-4c8a-9124-6ec3bd061aaf","","work-in-progress","","folder","TRUE","FALSE","Site QA","Block A","Level 1","A1.07"
"90b76385-084e-5d59-b290-6c9707a2388b","","not-started","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.07","Plumbing Rough-In"
"81d3e852-b1e4-539c-8289-a66e6b80678d","","work-in-progress","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.07","Fit Off"
"8f155bea-af8a-539d-8fb9-5bd29a8e2cd2","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.07","Commissioning"
"32153303-0c2e-4dda-bdcc-0843ea0917c8","","work-in-progress","","folder","TRUE","FALSE","Site QA","Block A","Level 1","A1.08"
"87168945-0764-5982-9add-c4bc6824f1a1","","not-started","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.08","Plumbing Rough-In"
"3c19dbdb-024f-5a06-b5f9-7c86cb86177f","","work-in-progress","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.08","Fit Off"
"640281fe-f256-5ab4-9437-e4d65640f0d2","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.08","Commissioning"
"74677f53-0dcf-4790-aa76-8385b0a752a5","","work-in-progress","","folder","TRUE","FALSE","Site QA","Block A","Level 2"
"0c0b2d64-80d4-478b-bd7c-cfe1a539456c","","work-in-progress","","folder","TRUE","FALSE","Site QA","Block A","Level 2","A2.01"
"210ab2a3-874d-52e1-9f4c-4134beee3709","","not-started","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 2","A2.01","Plumbing Rough-In"
"79471b23-9c1a-59b8-bc13-4f3626e28ffa","","work-in-progress","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 2","A2.01","Fit Off"
"88a8699b-325c-500c-a37a-5a1940eee470","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 2","A2.01","Commissioning"
"1bf3be0b-75c2-4550-ad63-317cb9c89ea8","","work-in-progress","","folder","TRUE","FALSE","Site QA","Block A","Level 2","A2.02"
"ebb0f089-2cb2-555f-93c8-69fd44d7fa75","","not-started","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 2","A2.02","Plumbing Rough-In"
"11f1cc4d-8acc-545a-8d1d-058e070913fc","","work-in-progress","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 2","A2.02","Fit Off"
"b54872d2-b5cd-5489-8cd0-ec680282021a","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 2","A2.02","Commissioning"
"fd43005b-a6ff-46df-adb5-dc103db3ddc3","","work-in-progress","","folder","TRUE","FALSE","Site QA","Block A","Level 2","A2.03"
"789d0369-f68f-5866-8aab-815b607de5d2","","not-started","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 2","A2.03","Plumbing Rough-In"
"e45f5048-741b-5454-838d-83d9e63c31d7","","work-in-progress","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 2","A2.03","Fit Off"
"0d066d85-acdc-5dae-8346-ab997a13b3a2","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 2","A2.03","Commissioning"
"1f794bd0-ff41-46dd-a1fe-e9c0b57cd539","","work-in-progress","","folder","TRUE","FALSE","Site QA","Block A","Level 2","A2.04"
"ef081764-e391-5446-bf2e-b6e0d568684c","","not-started","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 2","A2.04","Plumbing Rough-In"
"9f7b1054-5f5d-5d74-a7c8-53b861862c4b","","work-in-progress","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 2","A2.04","Fit Off"
"bf99b1bb-1602-5868-9677-ecc0c35d94e6","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 2","A2.04","Commissioning"
"abe26263-5923-457d-a7e1-116e5287fe4a","","work-in-progress","","folder","TRUE","FALSE","Site QA","Block A","Level 2","A2.05"
"a24e917c-a955-5398-9d40-ff2729225ca2","","not-started","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 2","A2.05","Plumbing Rough-In"
"f4c48473-f781-51bd-8f53-8ff833149680","","work-in-progress","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 2","A2.05","Fit Off"
"3f16bd37-f426-5809-ae4d-fbb7a5a73bd6","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 2","A2.05","Commissioning"
"48c7511c-60a7-4483-9b80-7d808f9fddb0","","work-in-progress","","folder","TRUE","FALSE","Site QA","Block A","Level 2","A2.06"
"809c8d3e-452f-5431-bbc7-e152deb4a210","","not-started","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 2","A2.06","Plumbing Rough-In"
"21bcdb60-6717-5d1d-807a-b6f7b5edc4ed","","work-in-progress","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 2","A2.06","Fit Off"
"cae51a8b-bb4f-575b-bae0-ebd3ec8cb2bc","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 2","A2.06","Commissioning"
"93e8dc11-9af4-48c0-bc3f-3b2f74599ba4","","work-in-progress","","folder","TRUE","FALSE","Site QA","Block A","Level 2","A2.07"
"173f60e4-3433-5410-b02d-9ff52dc86ad1","","not-started","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 2","A2.07","Plumbing Rough-In"
"154270f5-2f55-591b-a39a-8b036e438791","","work-in-progress","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 2","A2.07","Fit Off"
"86bc23a6-feaf-57a8-82e9-85a05d7f3618","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 2","A2.07","Commissioning"
"ba08b118-17fd-4bd4-91e9-fedb2f1415ca","","work-in-progress","","folder","TRUE","FALSE","Site QA","Block A","Level 2","A2.08"
"e0663606-a57e-5d39-990f-362215dfcc67","","not-started","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 2","A2.08","Plumbing Rough-In"
"dccb5eaf-a046-55d5-8fcf-a6fe7208281e","","work-in-progress","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 2","A2.08","Fit Off"
"2eb7aeeb-5d36-5414-bf12-a41d2a5e4db2","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 2","A2.08","Commissioning"
"8707335e-2aec-43b9-8271-be4d6e57093c","","work-in-progress","","folder","TRUE","FALSE","Site QA","Block A","Level 3"
"c36a8290-ad7e-458d-8b47-25a7b427b090","","work-in-progress","","folder","TRUE","FALSE","Site QA","Block A","Level 3","A3.01"
"991c0fd4-f10f-5430-b5c6-bb25f58dbb8a","","not-started","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 3","A3.01","Plumbing Rough-In"
"6811074f-9c6d-5285-b6aa-022aaa9198c7","","work-in-progress","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 3","A3.01","Fit Off"
"39f9d632-0599-5541-9279-deeb0b933225","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 3","A3.01","Commissioning"
"8d8c0df6-8e3c-4cd0-896a-d5855ca5f905","","work-in-progress","","folder","TRUE","FALSE","Site QA","Block A","Level 3","A3.02"
"eda483f4-7a76-5cc9-982d-23fed645cee2","","not-started","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 3","A3.02","Plumbing Rough-In"
"35482806-83e4-5834-94f8-6c11e74c0a7b","","work-in-progress","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 3","A3.02","Fit Off"
"693a768c-9323-56f4-8a32-0b1e44f75798","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 3","A3.02","Commissioning"
"13eb6dc8-cdfc-488d-b550-151bb4b55b28","","work-in-progress","","folder","TRUE","FALSE","Site QA","Block A","Level 3","A3.03"
"cdbb610c-1980-5fb0-af3a-ee88b68d85ab","","not-started","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 3","A3.03","Plumbing Rough-In"
"cc172ca4-4959-5fe0-8880-26666483deb1","","work-in-progress","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 3","A3.03","Fit Off"
"33728e55-fdd0-5547-81a8-b6292161cf22","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 3","A3.03","Commissioning"
"aa664d30-f98f-4ff0-94ab-298799e3734b","","work-in-progress","","folder","TRUE","FALSE","Site QA","Block A","Level 3","A3.04"
