"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"fee11faa-f657-498d-bbce-fe3daebdfbca","","fail","","folder","TRUE","FALSE","Site QA"
"8b3e1123-c892-45bb-b849-daafb8ec4f49","","pass","","folder","TRUE","FALSE","Site QA","Basement "
"e1411e92-9d9a-557e-a7a0-dd96bec35885","","pass","Internal Drainage ","checklist","FALSE","FALSE","Site QA","Basement ","Internal Drainage "
"50d11548-9dce-5ae0-8cd1-05888ec9716b","","pass","Internal Stormwater ","checklist","FALSE","FALSE","Site QA","Basement ","Internal Stormwater "
"2360c92d-a97f-58b1-878c-74a5a60645cc","","pass","Sewer Stacks / Storm water stacks","checklist","FALSE","FALSE","Site QA","Basement ","Sewer Stacks / Storm water stacks"
"d705c98c-0f51-418e-a955-ab84a023d8e2","","pass","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Basement ","Commissioning"
"95cd7b53-adfe-432d-b5c5-ecdcedd30898","","pass","","folder","TRUE","FALSE","Site QA","Lower Basement"
"d57df22a-a4d2-5f43-9de1-37953bfc19f9","","pass","Internal Drainage ","checklist","FALSE","FALSE","Site QA","Lower Basement","Internal Drainage "
"0dfc56c8-deb1-593e-952c-d63cbfc0db54","","pass","Internal Stormwater ","checklist","FALSE","FALSE","Site QA","Lower Basement","Internal Stormwater "
"156f9b1a-cd20-5679-9a22-0bd50d0e701c","","pass","Sewer Stacks / Storm water stacks","checklist","FALSE","FALSE","Site QA","Lower Basement","Sewer Stacks / Storm water stacks"
"63f0d304-b1ff-41d9-8987-816b00d421ca","","pass","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Lower Basement","Commissioning"
"1ee666c7-a011-4c0b-87f2-45cda7e834c6","","fail","","folder","TRUE","FALSE","Site QA","Block A"
"1ee1f6b0-97a1-43d7-9c98-5b40e96b7f2b","","pass","","folder","TRUE","FALSE","Site QA","Block A","Lower Ground"
"8ec1d1bb-7d5a-5ee6-a48c-b8f0c854fee8","","pass","Internal Drainage ","checklist","FALSE","FALSE","Site QA","Block A","Lower Ground","Internal Drainage "
"93b9a074-1a13-50d9-9eba-393c83d8c028","","pass","Internal Stormwater ","checklist","FALSE","FALSE","Site QA","Block A","Lower Ground","Internal Stormwater "
"45621a69-1416-5d4a-b6f0-20fbc421cd3c","","pass","Sewer Stacks / Storm water stacks","checklist","FALSE","FALSE","Site QA","Block A","Lower Ground","Sewer Stacks / Storm water stacks"
"018a0853-0e64-4f2f-8359-d66caf77956f","","pass","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Lower Ground","Commissioning"
"7f3efae2-b1f0-5419-b03d-31831f3afb8d","","pass","Meter Cupboard / Copper Riser","checklist","FALSE","FALSE","Site QA","Block A","Lower Ground","Corridor"
"96c695ff-13b0-47fc-99ac-ae69611a9411","","pass","","folder","TRUE","FALSE","Site QA","Block A","Lower Ground","ALG.03"
"e368326d-8170-51fd-8cf8-6f7daf004bf9","","pass","Plumbing Rough-In Water/Gas/Sewer Checklist V1","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.04","Plumbing Rough-In"
"146a625d-ed03-5812-8aa1-9c9eabb57663","","pass","Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.04","Fit Off"
"ad76ab23-519d-40d5-a5e9-94c9a1b3deb3","","pass","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.04","Commissioning"
"318dc0fd-07d6-4f49-a6a4-49d730740e4e","","pass","","folder","TRUE","FALSE","Site QA","Block A","Level 1","A1.05"
"c6953700-e373-5b73-9a05-9a680c6845eb","","pass","Plumbing Rough-In Water/Gas/Sewer Checklist V1","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.05","Plumbing Rough-In"
"2eb5b25c-39aa-5f26-b215-2ac644585d95","","pass","Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.05","Fit Off"
"0be9a869-3583-414d-af23-44209b210091","","pass","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.05","Commissioning"
"5b581b0d-2899-46ed-b79a-6adc4bc60e9c","","pass","","folder","TRUE","FALSE","Site QA","Block A","Level 1","A1.06"
"a5194048-5a73-50fa-aa94-cf6195bdc8e6","","pass","Plumbing Rough-In Water/Gas/Sewer Checklist V1","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.06","Plumbing Rough-In"
"b990fdd7-6c79-5965-956e-5ffd3262ec28","","pass","Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.06","Fit Off"
"fbc0249b-28d9-45f2-a1fe-db21d4ff4b40","","pass","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.06","Commissioning"
"9fb66650-f8eb-4cc5-abca-1b957681927f","","pass","","folder","TRUE","FALSE","Site QA","Block A","Level 1","A1.07"
"69c4dc31-80e0-5087-b345-5e28feec4bfa","","pass","Plumbing Rough-In Water/Gas/Sewer Checklist V1","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.07","Plumbing Rough-In"
"2b23db6e-fc72-525c-b3de-8b31dafe276d","","pass","Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.07","Fit Off"
"4665ce4e-a596-42d6-9459-de200c662457","","pass","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.07","Commissioning"
"6515a951-1eba-4183-bd4a-e5bceaaf6bac","","pass","","folder","TRUE","FALSE","Site QA","Block A","Level 1","A1.08"
"06a68fd2-b287-5226-aace-1015167a4fa9","","pass","Plumbing Rough-In Water/Gas/Sewer Checklist V1","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.08","Plumbing Rough-In"
"da977475-d283-5274-a874-082d59142b2f","","pass","Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.08","Fit Off"
"b29d98da-1b40-4b0c-9c11-22b6171fc8a3","","pass","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.08","Commissioning"
"a4dc71d8-78bc-438d-914f-141cb1cbca87","","pass","","folder","TRUE","FALSE","Site QA","Block A","Level 1","A1.09"
"df8f07a6-ce85-52f8-934e-f9ccc9f301b5","","pass","Plumbing Rough-In Water/Gas/Sewer Checklist V1","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.09","Plumbing Rough-In"
"5dad7990-8708-535a-b35d-30738c020df2","","pass","Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.09","Fit Off"
"e692105c-8bdc-487e-a1fd-2746e368ceb9","","pass","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.09","Commissioning"
"878d1884-bc6f-408d-99cc-0f369ae103c5","","pass","","folder","TRUE","FALSE","Site QA","Block A","Level 1","A1.10"
"3545380b-7880-5e13-8964-157cfad91aae","","pass","Plumbing Rough-In Water/Gas/Sewer Checklist V1","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.10","Plumbing Rough-In"
"4b8ed503-83f1-5cf5-a1b1-d8dfaa9e7446","","pass","Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.10","Fit Off"
"eb47cfb6-4335-4d15-ab67-d1a2f45626af","","pass","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.10","Commissioning"
"cf5526dd-2bec-41a2-b2c2-16facc699f3f","","pass","","folder","TRUE","FALSE","Site QA","Block A","Level 1","A1.11"
"9074cea1-22fa-5f79-a64f-5a97d912f3c7","","pass","Plumbing Rough-In Water/Gas/Sewer Checklist V1","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.11","Plumbing Rough-In"
"2e58faf6-a830-55ff-a7c1-cd49d2eccd67","","pass","Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.11","Fit Off"
"cc725dde-8277-4226-a66c-e8818cdcc9ad","","pass","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.11","Commissioning"
"7cc2b9a7-442f-4b05-b374-ea1e28d517dd","","pass","","folder","TRUE","FALSE","Site QA","Block A","Level 1","A1.12"
"b718cc19-9d7b-599d-a78b-188f75fac096","","pass","Plumbing Rough-In Water/Gas/Sewer Checklist V1","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.12","Plumbing Rough-In"
"406da1ef-44b5-5fa9-b1fd-56a3fab808f3","","pass","Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.12","Fit Off"
"62cbda7e-f41a-47b4-bf7c-360f0704a254","","pass","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.12","Commissioning"
"c526e12e-d195-45d2-b0d8-e2245d0b5a27","","pass","","folder","TRUE","FALSE","Site QA","Block A","Level 1","A1.13"
"9821bc13-31d9-58a7-83a8-c02bdd132f78","","pass","Plumbing Rough-In Water/Gas/Sewer Checklist V1","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.13","Plumbing Rough-In"
"8b335938-d171-532b-90fc-77fab05e88d4","","pass","Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.13","Fit Off"
"0c2e46b4-0dca-41d8-957b-8f4c0d8381b6","","pass","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.13","Commissioning"
"5f015b02-857e-4d81-bdbb-2bd27013c484","","pass","","folder","TRUE","FALSE","Site QA","Block A","Level 1","A1.14"
"13afca69-b174-51fa-8811-c2c5b8740aee","","pass","Plumbing Rough-In Water/Gas/Sewer Checklist V1","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.14","Plumbing Rough-In"
"58e74537-1bd4-5c2a-a69d-153f9996bd1a","","pass","Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.14","Fit Off"
"c9a928c4-79e4-4cd6-8ea3-669c4cdb51c3","","pass","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.14","Commissioning"
"37f4b648-2410-4e4b-9989-9a4bf3ca921c","","pass","","folder","TRUE","FALSE","Site QA","Block A","Level 2"
"6e417e11-df99-422a-9881-63f8dc2048b5","","pass","","folder","TRUE","FALSE","Site QA","Block A","Level 2","A2.01"
