"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"be5367ca-c410-4b05-9a93-d8f8656a0c6c","","checklist-flat","no-status-started","734b9d363aedb7dda42c38a805789356110a5ecc0dc38ec6ebe7d6973e97b96f","checklist-flat","FALSE","FALSE","Overall Pre-set"
"fcb5d62d-9294-40d5-938c-7babe45d6400","","checkpoint-no-status","no-status-started","","","FALSE","FALSE","Overall Pre-set","Overall Pre-set"
"8714d73b-4de9-4719-a2a2-769e283edc3b","","checkpoint-no-status","no-status-started","","","FALSE","FALSE","Overall Pre-set","System information:"
"9342516f-9cdb-4803-aebc-8473faf6610e","","checkpoint-no-status","no-status-started","","","FALSE","FALSE","Overall Pre-set","SSP Attached"
"087ef42b-4f21-45e8-aece-643045877e38","","checkpoint-no-status","no-status-not-started","","","FALSE","FALSE","Overall Pre-set","Task Analysis Attached"
"e328aee1-04e4-4341-9ffe-5196531c882e","","checkpoint-no-status","no-status-started","","","FALSE","FALSE","Overall Pre-set","Relevant Drawings Attached"
"70c1b5cc-a35f-4731-987d-31960b7c9101","","folder-normal","work-in-progress","","step","TRUE","FALSE"," QA"
"854ed428-f616-4417-93d6-f8b229029e49","","folder-normal","work-in-progress","","step","TRUE","FALSE"," QA","RoofSafe Cable Line Systems"
"f41e9a09-bfcc-40fa-a889-5a054f6c7ee8","","folder-normal","work-in-progress","","step","TRUE","FALSE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 01"
"0c8e6d02-46c9-4d29-9b67-bb13a51df862","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 01","Pre-Fit Off Checklist - Line 01"
"d48ce553-ada6-40da-b083-5116d881d9e5","","checkpoint-status","pass","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 03","Pre-Fit Off Checklist - Line 03","Confirm structure is in accordance to the details provided"
"104172d7-4287-4387-ad61-aac247857a07","","holdpoint","pass","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 03","Pre-Fit Off Checklist - Line 03","EMAIL PM"
"669c7a17-b6fb-4bc6-8820-85bd1d5a2f55","","checkpoint-status","pass","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 03","Pre-Fit Off Checklist - Line 03","Plinths/ bases/post installed in accordance with details provided"
"56624898-90db-45bd-8f36-8f14338a205b","","checkpoint-status","pass","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 03","Pre-Fit Off Checklist - Line 03","Photos taken"
"a63e7c4e-21d1-460f-bff3-06e73ed89db0","","checklist-flat","work-in-progress","Fit Off Checklist - Line","checklist-flat","FALSE","FALSE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 03","Fit Off Checklist - Line 03"
"8822caaa-671d-4129-9ea4-e75b61bd91c5","","checkpoint-status","pass","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 03","Fit Off Checklist - Line 03","Confirm the structure is in accordance with the details supplied by PBI"
"76a5ff67-fb93-49d2-aa4d-2187fdbb31c7","","holdpoint","pass","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 03","Fit Off Checklist - Line 03","EMAIL PM"
"de4769f8-2353-4894-a8f6-8a2bcbf79cd8","","checkpoint-status","pass","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 03","Fit Off Checklist - Line 03","Photo taken of line pull test and swages"
"f9f0fc1a-c65a-4865-8049-6f852dc17a7a","","checkpoint-status","pass","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 03","Fit Off Checklist - Line 03","Photo taken of Engraved Line Plate / ID Tag"
"e974ee23-f906-4bd6-99ce-942f0cbab5fa","","checkpoint-status","work-in-progress","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 03","Fit Off Checklist - Line 03","Video taken of system"
"e20763df-7119-43c6-a8c7-5541f17340ed","","checkpoint-status","pass","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 03","Fit Off Checklist - Line 03","Installed as per PBI drawings supplied and manufacturer's requirements"
"7945033b-7982-475c-9106-dcf1a0d8eda6","","folder-normal","work-in-progress","","step","TRUE","FALSE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 04"
"8bfbfc93-2844-4aa5-ad56-e719d48b0b76","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 04","Pre-Fit Off Checklist - Line 04"
"6df7a3fd-43f9-4a16-ab3a-49c22fab22b4","","checkpoint-status","pass","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 04","Pre-Fit Off Checklist - Line 04","Confirm structure is in accordance to the details provided"
"2e6a56b7-9be2-42c4-a4dd-6b70a93cf879","","holdpoint","pass","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 04","Pre-Fit Off Checklist - Line 04","EMAIL PM"
"63a9bc5e-7db2-4213-b213-9e1823946e8c","","checkpoint-status","pass","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 04","Pre-Fit Off Checklist - Line 04","Plinths/ bases/post installed in accordance with details provided"
"c8b78cfa-4f36-47ec-b356-88a42b81eec6","","checkpoint-status","pass","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 04","Pre-Fit Off Checklist - Line 04","Photos taken"
"43a8a0f7-abdc-4eac-89f9-afd83c45e85f","","checklist-flat","work-in-progress","Fit Off Checklist - Line","checklist-flat","FALSE","FALSE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 04","Fit Off Checklist - Line 04"
"339307fc-9e40-4a7a-b909-3d646398442d","","checkpoint-status","pass","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 04","Fit Off Checklist - Line 04","Confirm the structure is in accordance with the details supplied by PBI"
"426024d1-2dd8-419b-aa62-983d92b584ad","","holdpoint","pass","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 04","Fit Off Checklist - Line 04","EMAIL PM"
"a6295344-5795-4dd1-b5b8-3962e5778d02","","checkpoint-status","pass","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 04","Fit Off Checklist - Line 04","Photo taken of line pull test and swages"
"c2c4022d-1ed7-4e43-9627-93799ef7d76e","","checkpoint-status","work-in-progress","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 04","Fit Off Checklist - Line 04","Photo taken of Engraved Line Plate / ID Tag"
"27ecef56-f58e-4cd8-9429-8e6ec28dfa16","","checkpoint-status","work-in-progress","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 04","Fit Off Checklist - Line 04","Video taken of system"
"21a0f4c5-0271-4e86-ac2c-bf87e755b0a6","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 04","Fit Off Checklist - Line 04","Installed as per PBI drawings supplied and manufacturer's requirements"
"3c8a4833-785c-4924-a408-3b5f531d1fa5","","folder-normal","not-started","","step","TRUE","FALSE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 05"
"1772dfff-b197-4349-b3c9-d85de3f3a952","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 05","Pre-Fit Off Checklist - Line 05"
"ae5c874e-cf5d-4994-a742-6ccfc79d8e41","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 05","Pre-Fit Off Checklist - Line 05","Confirm structure is in accordance to the details provided"
"127c9b7b-bdf6-41f2-b9a7-e37ec1040ed6","","holdpoint","not-started","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 05","Pre-Fit Off Checklist - Line 05","EMAIL PM"
"d1dd8d8e-7e75-4575-9272-aab087feae11","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 05","Pre-Fit Off Checklist - Line 05","Plinths/ bases/post installed in accordance with details provided"
"28091709-b153-4c1c-939a-1cdf88c477c0","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 05","Pre-Fit Off Checklist - Line 05","Photos taken"
"7dc69021-01ea-4ef2-b9b6-ac8df691d944","","checklist-flat","not-started","Fit Off Checklist - Line","checklist-flat","FALSE","FALSE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 05","Fit Off Checklist - Line 05"
"691a9216-2fb6-45e4-8780-f0b30bf46ca6","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 05","Fit Off Checklist - Line 05","Confirm the structure is in accordance with the details supplied by PBI"
"368d9992-3120-4d19-b3b9-8e17b331b53c","","holdpoint","not-started","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 05","Fit Off Checklist - Line 05","EMAIL PM"
"67619d81-0793-4445-b5bc-69481514c2a7","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 05","Fit Off Checklist - Line 05","Photo taken of line pull test and swages"
"d7198d1e-653d-4c7f-a396-5a2c01544210","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 05","Fit Off Checklist - Line 05","Photo taken of Engraved Line Plate / ID Tag"
"dd3a8542-7d5c-4e32-b9c8-6e2d5402a0ec","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 05","Fit Off Checklist - Line 05","Video taken of system"
"bd507670-70b5-4046-8118-56635acc6ea4","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 05","Fit Off Checklist - Line 05","Installed as per PBI drawings supplied and manufacturer's requirements"
"0a5f5e3f-1a8e-4998-9029-6ba492127ac8","","folder-normal","work-in-progress","","step","TRUE","FALSE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 06"
"4fdbea71-c176-4925-9064-87a9af231a73","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 06","Pre-Fit Off Checklist - Line 06"
"f3550ff0-e7a5-410c-ad89-f0e9ccf4641f","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 06","Pre-Fit Off Checklist - Line 06","Confirm structure is in accordance to the details provided"
"16b44ca5-31d4-473a-9510-3b2d8c096add","","holdpoint","not-started","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 06","Pre-Fit Off Checklist - Line 06","EMAIL PM"
"4f00db61-be8b-4b27-9b56-0c1a055335c5","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 06","Pre-Fit Off Checklist - Line 06","Plinths/ bases/post installed in accordance with details provided"
"5b0326c4-c6b3-4004-97a5-716dfc2e8927","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 06","Pre-Fit Off Checklist - Line 06","Photos taken"
"f751c3db-bdcc-470c-95cb-9c71a2c91a7a","","checklist-flat","work-in-progress","Fit Off Checklist - Line","checklist-flat","FALSE","FALSE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 06","Fit Off Checklist - Line 06"
"68d3c0e0-f7a6-4144-8c0e-be2384effdd6","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 06","Fit Off Checklist - Line 06","Confirm the structure is in accordance with the details supplied by PBI"
"867b5e4b-73f9-4dde-9522-aca2157ef3a3","","holdpoint","not-started","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 06","Fit Off Checklist - Line 06","EMAIL PM"
"4e3a1d59-4ea8-4541-a692-051dd80c5f01","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 06","Fit Off Checklist - Line 06","Photo taken of line pull test and swages"
"4ed6ddab-f591-4d79-9352-f2a5935f86b0","","checkpoint-status","work-in-progress","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 06","Fit Off Checklist - Line 06","Photo taken of Engraved Line Plate / ID Tag"
"3e86e8e8-aade-47d2-8d82-489ac3ba5443","","checkpoint-status","work-in-progress","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 06","Fit Off Checklist - Line 06","Video taken of system"
"10fd3c04-73d6-46a6-8ac4-521e065a05d3","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 06","Fit Off Checklist - Line 06","Installed as per PBI drawings supplied and manufacturer's requirements"
"3282f7f3-c32e-4647-8229-7bef9fbff9e6","","folder-normal","not-started","","step","TRUE","FALSE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 07"
"d1d9062c-db3f-42d3-8bae-0c6a88b85a15","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 07","Pre-Fit Off Checklist - Line 07"
"77f808fd-f2c7-46a1-b578-45eb49b50593","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 07","Pre-Fit Off Checklist - Line 07","Confirm structure is in accordance to the details provided"
"cf09e8f1-6452-46b8-831a-bcba026e17ba","","holdpoint","not-started","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 07","Pre-Fit Off Checklist - Line 07","EMAIL PM"
"02d49d82-10d2-45b4-b13b-7113123a02c9","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 07","Pre-Fit Off Checklist - Line 07","Plinths/ bases/post installed in accordance with details provided"
"5fa43e76-0d22-4069-ad8e-7bf77da30ecc","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 07","Pre-Fit Off Checklist - Line 07","Photos taken"
"835ee281-32c8-47a3-aeb0-022079ff1fad","","checklist-flat","not-started","Fit Off Checklist - Line","checklist-flat","FALSE","FALSE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 07","Fit Off Checklist - Line 07"
"3382250d-ce89-4fc3-a9e4-8cbbedac637c","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 07","Fit Off Checklist - Line 07","Confirm the structure is in accordance with the details supplied by PBI"
"ad26d0fd-f2ac-42d4-9a53-a12cd34fdfe0","","holdpoint","not-started","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 07","Fit Off Checklist - Line 07","EMAIL PM"
"6cd5c406-f5db-46b1-85d1-5132ed22245e","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 07","Fit Off Checklist - Line 07","Photo taken of line pull test and swages"
"dc26e97a-01d4-4a8e-a0b4-6d9bc1ad7f11","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 07","Fit Off Checklist - Line 07","Photo taken of Engraved Line Plate / ID Tag"
"97fd23ee-ec72-4c37-86fe-216c9fcd0d5c","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 07","Fit Off Checklist - Line 07","Video taken of system"
"cf07909e-800d-46a5-ab2c-2200da30af0c","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 07","Fit Off Checklist - Line 07","Installed as per PBI drawings supplied and manufacturer's requirements"
"653e7421-82f1-4057-a504-3e4d55821fc9","","folder-normal","not-started","","step","TRUE","FALSE"," QA","HLL Cable Line System"
"53494afa-980e-4f14-b9b2-9672d311e3c3","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","HLL Cable Line System","Pre-Fit Off Checklist - HLL Line 01"
"49a120ed-4969-4bef-8bb7-8ad18cf4e2d0","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","HLL Cable Line System","Pre-Fit Off Checklist - HLL Line 01","Confirm structure is in accordance to the details provided"
"89872ab1-9031-46e7-afaa-65bb76fdfd32","","holdpoint","not-started","","","TRUE","TRUE"," QA","HLL Cable Line System","Pre-Fit Off Checklist - HLL Line 01","EMAIL PM"
"1b1adfbf-51a1-4170-a479-651618c278f3","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","HLL Cable Line System","Pre-Fit Off Checklist - HLL Line 01","Plinths/ bases/post installed in accordance with details provided"
"1ab56a4e-8c0c-4e3b-a731-9d89a7d52f01","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","HLL Cable Line System","Pre-Fit Off Checklist - HLL Line 01","Photos taken"
"0c30dfa5-2105-4fe1-8bbe-00e4d5f03c15","","checklist-flat","not-started","Fit Off Checklist - Line","checklist-flat","FALSE","FALSE"," QA","HLL Cable Line System","Fit Off Checklist - Line 01"
"be20d9f3-7146-4528-b12d-a5c33e4c28e6","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","HLL Cable Line System","Fit Off Checklist - Line 01","Confirm the structure is in accordance with the details supplied by PBI"
"463de916-9553-4106-aeae-24ca0c79bc67","","holdpoint","not-started","","","TRUE","TRUE"," QA","HLL Cable Line System","Fit Off Checklist - Line 01","EMAIL PM"
"41962c27-a5fb-472f-8ff0-4472dfd49b4c","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","HLL Cable Line System","Fit Off Checklist - Line 01","Photo taken of line pull test and swages"
"8eae28ac-2a02-449b-9f39-63c6d2c4e554","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","HLL Cable Line System","Fit Off Checklist - Line 01","Photo taken of Engraved Line Plate / ID Tag"
"1c9fc8df-bd1e-458d-a8db-d3f1b0bedc20","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","HLL Cable Line System","Fit Off Checklist - Line 01","Video taken of system"
"70dd6523-25b1-431c-9a4d-61bff066afd2","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","HLL Cable Line System","Fit Off Checklist - Line 01","Installed as per PBI drawings supplied and manufacturer's requirements"
"f8a3d5de-ffd2-4496-817b-67b3e9f40653","","folder-normal","work-in-progress","","step","TRUE","FALSE"," QA","FA Anchors"
"dd8d767c-7e93-476b-9386-87efb75aa16a","","folder-normal","work-in-progress","","step","TRUE","FALSE"," QA","FA Anchors","7no Type 01 FA Anchors"
"324cd021-6e45-47fd-87d8-097a37d3565a","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","FA Anchors","7no Type 01 FA Anchors","Pre-Fit Off Checklist - Type 01 FA Anchors "
"1df7fd5e-03c3-4ca0-873d-6a104db24a66","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","FA Anchors","7no Type 01 FA Anchors","Pre-Fit Off Checklist - Type 01 FA Anchors ","Confirm structure is in accordance to the details provided"
