"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"6ae5f494-0463-4ad5-a3a5-774cae30d614","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"dc0a4c0a-46ef-4245-aa19-7d7403b19b8c","","work-in-progress","","folder","TRUE","FALSE","Site QA","Stormwater"
"75d1e6f2-5e53-427d-b5b3-5f88de3242c5","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Stormwater","N0"
"59bee503-33bd-43a6-8172-ad1241fe0f37","","work-in-progress","","folder","TRUE","FALSE","Site QA","Stormwater","N1"
"a4817768-0cf0-4b05-a3c2-0292069c3fdd","","work-in-progress","2972ed2e599407c858d0bfefe6ec741c358aa6d9a4f802e41ef3b8b5a65826ee","checklist","FALSE","FALSE","Site QA","Stormwater","N1","ITP - Stormwater"
"ea39b08e-b815-5072-be34-43b2cef55b58","","work-in-progress","","section","FALSE","FALSE","Site QA","Stormwater","N1","ITP - Stormwater","1. Pre-construction (P&G / EStablishment"
"91458ca0-9cb0-5447-bd65-d30ccef9b5a3","","not-started","","signoff","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","2. Material, Personnel & third party approval","AUTHORITY HOLDPOINT"
"644c832e-4552-5e36-84ae-bf7f23e3baf9","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","2. Material, Personnel & third party approval","2.4 - Geotextile/Geogrid"
"0bbfae73-5a2e-5741-affd-5223b0c7a28a","","not-started","","section","FALSE","FALSE","Site QA","Stormwater","N1","ITP - Stormwater","3.1 SW Pipeline Construction"
"9512c148-eb5e-5939-8601-676a944bbe39","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","3.1 SW Pipeline Construction","3.1.1 - Foundation Compliance"
"1a19d67f-1785-5e2d-b73b-e424927ec62f","","not-started","","signoff","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","3.1 SW Pipeline Construction","AUTHORITY HOLDPOINT"
"8a8d1952-d053-5ee8-8f5c-4e9e8b9f1b58","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","3.1 SW Pipeline Construction","3.1.2 - Undercut Backfill Compliance"
"1c3e21d5-8b7d-5abc-9bd0-b1fe1c29dd07","","not-started","","signoff","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","3.1 SW Pipeline Construction","AUTHORITY HOLDPOINT"
"09120443-cf21-580e-9cdf-612301054ece","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","3.1 SW Pipeline Construction","3.1.3 - Bedding Compaction Testing"
"a1eb48f9-87ab-505d-8b25-25649ec77132","","not-started","","signoff","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","3.1 SW Pipeline Construction","AUTHORITY HOLDPOINT"
"1b2c3190-7778-5590-aea9-89e2434f2d4e","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","3.1 SW Pipeline Construction","3.1.4 - Haunch Zone Compaction Testing Haunch Zone shall extend from top of bedding to 0.3 times the outside dia of pipe"
"bea15d7f-a3d4-5ac7-bcbe-2d3ed1cbde26","","not-started","","signoff","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","3.1 SW Pipeline Construction","AUTHORITY HOLDPOINT"
"b63aa1df-af7b-5568-ab82-8f49e66ba882","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","3.1 SW Pipeline Construction","3.1.5 - Side Zone Compaction Testing Side Zone shall extend from top of Haunch Zone to 0.5 times the outside dia of pipe"
"e48b0306-d193-5ed6-aae1-f55b7e7a2278","","not-started","","signoff","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","3.1 SW Pipeline Construction","AUTHORITY HOLDPOINT"
"eca83341-aac3-5189-9f0d-f50183338382","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","3.1 SW Pipeline Construction","3.1.6 - Overlay Compaction Testing Overlay zone shall extend from top of Side Zone to 600mm above the top of the pipe. 2 lifts of 300mm should be placed."
"438cde17-4cb8-53a1-895a-e88e70305948","","not-started","","signoff","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","3.1 SW Pipeline Construction","AUTHORITY HOLDPOINT"
"d53176a6-0738-51d2-bc4e-ca81c2cee835","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","3.1 SW Pipeline Construction","3.1.7 - Backfill Inspection"
"463da1d5-9c6e-54a3-b6cf-6f3b570f769e","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","3.1 SW Pipeline Construction","3.1.8 - Survey"
"d5aae6e1-f0c4-54a5-ae1f-d6dd67820e11","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","3.1 SW Pipeline Construction","3.1.9 - Backfill Compaction Testing"
"1f4a483c-2dda-582d-aecd-f3732b50bae7","","not-started","","signoff","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","3.1 SW Pipeline Construction","AUTHORITY HOLDPOINT"
"1cbb0084-e7ba-54e1-b28d-c3646ebad17f","","not-started","","section","FALSE","FALSE","Site QA","Stormwater","N1","ITP - Stormwater","3.2 SW Manhole Construction"
"d9e6429d-cd51-5d1b-94db-4a61b50d8cc6","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","3.2 SW Manhole Construction","3.2.1 - Foundation Compliance"
"b64d2a32-dd68-50fb-805f-5188b65d8b0a","","not-started","","signoff","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","3.2 SW Manhole Construction","AUTHORITY HOLDPOINT"
"aed7fbff-778f-5668-b00a-29c0d8cb39e0","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","3.2 SW Manhole Construction","3.2.2 - Undercut Backfill Compliance"
"d537c915-9de9-5976-9d14-b14991934715","","not-started","","signoff","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","3.2 SW Manhole Construction","AUTHORITY HOLDPOINT"
"0958e02b-4753-5dd2-a192-3c960434b21e","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","3.2 SW Manhole Construction","3.2.3 - Bedding Compaction Testing"
"6ce97932-c4e4-5b6a-826d-40afa94ea3c7","","not-started","","signoff","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","3.2 SW Manhole Construction","AUTHORITY HOLDPOINT"
"272846d0-8f20-5078-bb72-d0eba7684194","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","3.2 SW Manhole Construction","3.2.4 - Backfill Inspection"
"291bb6c5-8e51-5525-9863-fa101cae7a39","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","3.2 SW Manhole Construction","3.2.5 - Survey"
"20d4f351-aed7-5cb7-aee6-20bb90f56892","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","3.2 SW Manhole Construction","3.2.6 - Backfill Compaction Testing"
"61985357-4c5a-5406-9473-bcf9c979c2bf","","not-started","","signoff","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","3.2 SW Manhole Construction","AUTHORITY HOLDPOINT"
"0a2003df-ddab-5e51-9fe9-adbc0204eb27","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","3.2 SW Manhole Construction","3.2.7 - Haunching"
"8784d3af-ddd8-5c31-8d0d-615c33073c63","","not-started","","section","FALSE","FALSE","Site QA","Stormwater","N1","ITP - Stormwater","3.3 SW Catchpit Construction"
"178072df-409b-5776-a31f-529d374a8fe2","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","3.3 SW Catchpit Construction","3.3.1 - Foundation Compliance"
"cee7ec7e-04c6-59d7-b3d0-5a813aa5b0ca","","not-started","","signoff","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","3.3 SW Catchpit Construction","AUTHORITY HOLDPOINT"
"0594d04c-31fb-5c4f-8c19-49dac114575d","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","3.3 SW Catchpit Construction","3.3.2 - Undercut Backfill Compliance"
"839cc1e8-dd0c-5218-b0f1-433c769c7c96","","not-started","","signoff","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","3.3 SW Catchpit Construction","AUTHORITY HOLDPOINT"
"da980f11-6793-55f4-b838-1778a9760443","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","3.3 SW Catchpit Construction","3.3.3 - Bedding Compaction Testing"
"6a6f5565-0975-594d-9036-ac3d5802441a","","not-started","","signoff","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","3.3 SW Catchpit Construction","AUTHORITY HOLDPOINT"
"a7025513-0e44-5615-b394-be9e2dcc681b","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","3.3 SW Catchpit Construction","3.3.4 - Backfill Inspection"
"233a21c9-8815-5e99-9805-04e46a8cbe64","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","3.3 SW Catchpit Construction","3.3.5 - Survey"
"8d2346bb-c17c-5bce-88c4-65d74c6c8078","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","3.3 SW Catchpit Construction","3.3.6 - Backfill Compaction Testing"
"6805ca45-389c-5518-8c86-ee22bc85ff0f","","not-started","","signoff","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","3.3 SW Catchpit Construction","AUTHORITY HOLDPOINT"
"477115dd-f908-5d9c-9320-97bf5c1fe1ca","","not-started","","section","FALSE","FALSE","Site QA","Stormwater","N1","ITP - Stormwater","3.4 Riprap & Boulders Installation"
"40422122-ee2b-5aa4-8e64-1e01433db02d","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","3.4 Riprap & Boulders Installation","3.4.1 - Rip-Rap Material"
"e6ce2167-72d3-5702-bd40-304c01d6cf44","","not-started","","signoff","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","3.4 Riprap & Boulders Installation","AUTHORITY HOLDPOINT"
"cab2796f-fd07-5831-9f11-ac5ae0620e87","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","3.4 Riprap & Boulders Installation","3.4.2 - Soil Rip-Rap Material"
"fd40a88b-2ac9-543f-bd7e-5b65e8bea498","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","3.4 Riprap & Boulders Installation","3.4.3 - Void Filling Rip-Rap Material"
"16be8cb6-8948-597c-adb7-6fbbd9ba4369","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","3.4 Riprap & Boulders Installation","3.4.4 - Grouted Boulder"
"5b137341-410d-5236-8ba9-2ef9a787bf4e","","not-started","","signoff","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","3.4 Riprap & Boulders Installation","AUTHORITY HOLDPOINT"
"8da6b1fb-2f9d-5546-99e9-0b0af9a51899","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","3.4 Riprap & Boulders Installation","3.4.5 - Achieving Required Depths"
"6ff382b1-29f9-5311-8dd8-3e578bddd69e","","not-started","","signoff","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","3.4 Riprap & Boulders Installation","AUTHORITY HOLDPOINT"
"3dbd3ad0-4ecf-5c1c-a7e0-f09c256881df","","work-in-progress","","section","FALSE","FALSE","Site QA","Stormwater","N1","ITP - Stormwater","3.5 CCTV & Reinstatement"
"2c417926-2acc-533a-98b1-7b6d193a41b3","","work-in-progress","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","3.5 CCTV & Reinstatement","3.5.1 - CCTV Inspection"
"8f958fda-554c-5246-b858-bdd53ca9a410","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","3.5 CCTV & Reinstatement","3.5.2 - Reinstatement"
"cb6f8bb1-195e-533a-af4f-4fb4680ebe30","","not-started","","section","FALSE","FALSE","Site QA","Stormwater","N1","ITP - Stormwater","4. Post-construction (Final Inspection & Handover)"
"55158108-2884-5e93-b5b7-6566f21a9f82","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","4. Post-construction (Final Inspection & Handover)","4.1 - Survey Redline Drawings"
"f9a28590-9231-5a41-b17a-3a5cceb0f49e","","not-started","","signoff","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","4. Post-construction (Final Inspection & Handover)","AUTHORITY HOLDPOINT"
"7d2d8943-be0e-41f6-a413-302876aac58e","","not-started","Concrete Pre-pour Inspection","checklist","FALSE","FALSE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection"
"106dda47-fa58-50dd-85e7-fb15a4b8ca4e","","not-started","","section","FALSE","FALSE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Preliminary"
"121abeb7-3c11-5391-9813-a9c69d2afa0c","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Preliminary","Engineer notified of pour"
"6c13e689-e9e8-5037-b7f0-2c55ce42c482","","not-started","","section","FALSE","FALSE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Formwork"
"daaa5d9f-07ec-5037-bc6d-5907f8dc2f3b","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Formwork","Installed as per formwork design"
"fdc5c642-c4c9-5dfb-96e2-5068ae96ad16","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Formwork","Permit to load issued"
"f4d64901-7060-5aae-a8af-95ad912e2851","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Formwork","Dimensions correct"
"18f12d5f-94a9-55b0-98b4-763c7401bb04","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Formwork","Position and orientation correct"
"ca7f2f22-0dc6-58e8-ad98-786c88ac1c18","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Formwork","Forms vertical, plumb and true"
"2e5077b3-14be-5a00-b48a-448b80208b58","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Formwork","Forms coated with release agent"
"4f01166d-78a5-5395-b1b1-139e8029856f","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Formwork","Forms clean and clear of debris"
"188421b5-bddc-5a71-a86e-0664a2763447","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Formwork","Joints sealed"
"08bd86fb-b8fc-5d3b-8715-2cb38cefe7b4","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Formwork","Pour level marks"
"6eb70f5c-661f-5b23-9193-f669fd888db2","","not-started","","section","FALSE","FALSE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Reinforcement"
"91dc7250-e8d9-59ad-a4c1-20e0261e9029","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Reinforcement","Correct grade reinforcement"
"fe731437-ca6c-5894-8e28-0fe482fa899d","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Reinforcement","Correct bar size"
"6011cc86-ad85-54b2-8449-2ad728f7d704","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Reinforcement","Correct number of bars"
"a17f8b7c-9e28-52b0-8e08-008ec443b062","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Reinforcement","Correct spacing"
"d6a1098b-03be-579c-b638-a6653bd65636","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Reinforcement","Starters bars included"
"e7a6ba24-24d6-5fd7-8f43-679b505ce982","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Reinforcement","Correct cover (min 75mm against ground, 50mm where protected from soil during casting, 40mm otherwise. max 100mm end cover on hoizontal bars)"
"6f675627-b6db-59d7-8478-fca076264714","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Reinforcement","Correct weld lengths (min 10 x bar diameter)"
"2155f2e6-c08a-5d06-80cd-816cf59dd402","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Reinforcement","Correct lap length (min 50 x bar diamenter or as per drawing)"
"5738fb0f-2fad-5200-8984-3b400ed54b0b","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Reinforcement","Correct lap position (staggered appropriately)"
"2a930143-8adf-594f-9c5a-965ffd0ed673","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Reinforcement","Longitudinal bars terminate with 90 or 180 deg hook)"
"cace1434-daa2-5558-aab0-6db531d637d7","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Reinforcement","Reid bar couplers tightened fully and filled with EPCON C8 Extreme"
"da3ec868-d474-5198-b305-2bd802e9120d","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Reinforcement","Reinforcing adequately tied"
"016dadd8-4930-5e21-9545-56b1f90211fc","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Reinforcement","Chairs or spacers fixed in place"
"5e054c27-1757-5ba9-af80-0b6fa4145620","","not-started","","section","FALSE","FALSE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Embedded items"
"8dc01c42-454b-50d6-b53b-2ad65a97aba4","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Embedded items","Block-outs, ducts & cast in items installed"
"a9aa9d4d-ce7d-51b8-9242-43ddffa74912","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Embedded items","Correct position, level & alignment"
"d9ee5c36-52f6-5d6a-876a-60f365a8eaa7","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Embedded items","Securely fixed in place"
"557b44e0-115d-581f-a3be-ff29a6f530ba","","not-started","","section","FALSE","FALSE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Construction Joints"
"b3d28afe-33dd-5327-9194-aa8b2ffd4b81","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Construction Joints","Correct location"
"86071714-9d58-5d91-94bc-0bc4c3b9ab32","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Construction Joints","Adequately prepped"
"3ac62e90-70ac-5d76-b714-fa06e4301c0a","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Construction Joints","Joint board installed"
"74091493-75e1-4e24-8e42-1418a8591891","","not-started","Concrete Pre-pour Inspection","checklist","FALSE","FALSE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection"
"8b1900ed-5571-5130-985a-7a41e96d5149","","not-started","","section","FALSE","FALSE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Preliminary"
"2783dd6d-cd65-59c2-8f9d-91c3cd3c5f25","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Preliminary","Engineer notified of pour"
"a257ec3a-d46f-5a33-bfc6-acf735c3ae25","","not-started","","section","FALSE","FALSE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Formwork"
"824940e8-5ff4-5e51-a685-1f46c7e08423","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Formwork","Installed as per formwork design"
"6fd24a2e-9e99-5825-9608-5d4b538e697b","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Formwork","Permit to load issued"
"76d076f4-2a2b-54b5-b6fd-e579ff4aeac9","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Formwork","Dimensions correct"
"636ed456-a55f-53f5-9f63-3b9a17e4aac1","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Formwork","Position and orientation correct"
"2c0aab3d-3fa8-501e-a1f7-5c9485409f24","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Formwork","Forms vertical, plumb and true"
"973f4b10-fa5d-5f77-a4b5-5488e716177c","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Formwork","Forms coated with release agent"
"8fc3876d-0375-5083-bbf7-9816398fbda3","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Formwork","Forms clean and clear of debris"
"a57d3fe4-3b05-508c-8536-5b3bb67a0181","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Formwork","Joints sealed"
"8eb901be-02ab-5dd0-9f25-84e4659cd2a1","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Formwork","Pour level marks"
"f2283114-9902-5383-a0e5-588450902cdb","","not-started","","section","FALSE","FALSE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Reinforcement"
"54d1f2d5-89b0-5ce5-98ad-5ac615ed5319","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Reinforcement","Correct grade reinforcement"
"156b924a-0412-5fed-99e4-80a7c205c237","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Reinforcement","Correct bar size"
"3fc44250-2d4d-5423-b619-9329cd2e5c12","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Reinforcement","Correct number of bars"
"1246a86b-7e06-5807-a506-dcbe837726a4","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Reinforcement","Correct spacing"
"5a7de551-7fb4-57d0-a22a-a25c66ed4af8","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Reinforcement","Starters bars included"
"d8921b47-8f1c-5b6b-bf55-28f8366e8ac1","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Reinforcement","Correct cover (min 75mm against ground, 50mm where protected from soil during casting, 40mm otherwise. max 100mm end cover on hoizontal bars)"
"3ccd93b5-57dd-5dfa-ba65-26f78aef3ae3","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Reinforcement","Correct weld lengths (min 10 x bar diameter)"
"3fe1623d-ffe5-55c9-b2a7-c50d27019cb0","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Reinforcement","Correct lap length (min 50 x bar diamenter or as per drawing)"
"24cdafb0-05eb-5b60-b880-5ddfcd7f50e3","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Reinforcement","Correct lap position (staggered appropriately)"
"77637eef-aac7-55f6-b727-de10089c1c26","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","Concrete Pre-pour Inspection","Reinforcement","Longitudinal bars terminate with 90 or 180 deg hook)"
