"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"58687a08-9b10-4bb2-945e-166516ed4327","","folder-normal","","","step","TRUE","FALSE","Site QA"
"035b3d62-d5f0-4c66-a0ff-a2cafbfe52a9","","folder-normal","","","step","TRUE","FALSE","Site QA","Level 16"
"3632b9a9-ba56-414c-a45f-3f3956cc558f","","checklist-sectioned","","Hoist","checklist","FALSE","FALSE","Site QA","Level 30","Hoist"
"2e54c09d-abcd-40ba-ad08-58b1770a1f9a","","checklist-sectioned","","Screens","checklist","FALSE","FALSE","Site QA","Level 30","Screens"
"5e7ae86f-2a4f-49ec-b35c-44f04f6a9dd3","","folder-normal","","","step","TRUE","FALSE","Site QA","Level 31 Plant Deck"
"8b0d8a68-346d-4791-8248-02894ced2ded","","checklist-flat","","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 31 Plant Deck","Columns"
"6a20e0e9-6be6-4337-8864-820dc78f36d8","","checklist-sectioned","","Hoist","checklist","FALSE","FALSE","Site QA","Level 31 Plant Deck","Hoist"
"b3904241-fdae-47ee-9f80-6e8989695e5d","","checklist-flat","","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 31 Plant Deck","Walls"
"8ba3edba-a323-4678-87fc-d21ac3494a30","","checklist-sectioned","","Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 31 Plant Deck","Climb Track Checklist"
"a0597577-7b49-4f44-b5f4-dad77140bbec","","checklist-sectioned","","Core Lids Checklist","checklist","FALSE","FALSE","Site QA","Level 31 Plant Deck","Core lids"
"e2bf6256-e86d-4295-81d2-c78e822b40e3","","checklist-sectioned","","Screens","checklist","FALSE","FALSE","Site QA","Level 31 Plant Deck","Screens"
"5b991c2e-8c55-4fc0-98e1-1e5c9747c2dc","","folder-normal","","","step","TRUE","FALSE","Site Diary"
"5900c6a4-5219-47a0-9bde-dd74a4547c42","","folder-normal","","","step","TRUE","FALSE","Site Diary","Jan-23"
"e193f3d0-521a-4eee-8867-5afc4dc28362","","folder-normal","","","step","TRUE","FALSE","Site Diary","Feb-23"
"9e7e7133-cca5-40c9-be96-01baba643df8","","folder-normal","","","step","TRUE","FALSE","Site Diary","Mar-23"
"c6486c36-bd95-4483-9db8-5e79ec486bee","","folder-normal","","","step","TRUE","FALSE","Site Diary","Apr-23"
"a4fbd4de-152a-4d2e-807b-3009405c1ee6","","folder-normal","","","step","TRUE","FALSE","Site Diary","May-23"
"e1b92a5a-c9ec-448e-854b-9f8ec104e81d","","folder-normal","","","step","TRUE","FALSE","Site Diary","Jun-23"
"3040cc23-6b98-4258-b38d-6889806bdce9","","folder-normal","","","step","TRUE","FALSE","Toolbox"
"83f11161-8fbe-4b2a-8fbe-1445a3911ae0","","folder-normal","","","step","TRUE","FALSE","Toolbox","Jan-23"
"86a9afbc-7b4f-4a36-bd84-0757f867b92a","","checklist-flat","","Toolbox Meeting","checklist-flat","FALSE","FALSE","Toolbox","Jan-23","Toolbox Meeting 10.01.2023"
"dc4c507f-06fc-41ab-a116-149f39ef5aba","","folder-normal","","","step","TRUE","FALSE","Toolbox","Feb-23"
"e8fae98a-19a2-430d-af21-72324974942a","","folder-normal","","","step","TRUE","FALSE","Toolbox","Mar-23"
"84a601b2-fce0-4516-b8bc-1c3947eb1aa0","","folder-normal","","","step","TRUE","FALSE","Toolbox","Apr-23"
"87155daa-9c4d-48fd-b6ac-c9e6f2fca413","","folder-normal","","","step","TRUE","FALSE","Toolbox","May-23"
"7211f365-bc85-4a35-85da-860d4a274de5","","checklist-flat","","Toolbox Meeting","checklist-flat","FALSE","FALSE","Toolbox","May-23","Toolbox Meeting Screen incident 18.05.2023"
"c57d60b9-864d-4d6e-996a-79f70ae8e171","","folder-normal","","","step","TRUE","FALSE","Toolbox","Jun-23"
"a27a8b28-602c-4c6e-9f9f-8733efa81195","","folder-normal","","","step","TRUE","FALSE","Toolbox","Oct-23"
"ea291cac-0f26-498c-a215-e2f722e71c78","","checklist-flat","","Toolbox Meeting","checklist-flat","FALSE","FALSE","Toolbox","Oct-23","Toolbox Meeting 10.09.2023"
"e7c77c92-2978-4952-83b7-3da987ff5286","","folder-normal","","","step","TRUE","FALSE","Pre Start"
"8fea004c-2e67-42c7-afb9-d9c717b04376","","folder-normal","","","step","TRUE","FALSE","Pre Start","Jan-23"
"e0298f63-e063-4f14-b632-2ee2b0af30b2","","checklist-flat","","Daily Pre Start","checklist-flat","FALSE","FALSE","Pre Start","Jan-23","Daily Pre Start 13.01.2023"
"4a5d4c79-3f6e-4e79-b46d-04e5ccedc814","","folder-normal","","","step","TRUE","FALSE","Pre Start","Feb-23"
"1512d890-b5fd-4baa-a01c-c3876ce17eb7","","folder-normal","","","step","TRUE","FALSE","Pre Start","Mar-23"
"02718acd-d166-4b4d-8d49-b374058cc811","","folder-normal","","","step","TRUE","FALSE","Pre Start","Apr-23"
"a5235f86-7b09-44ac-9700-ebabeec0ea12","","folder-normal","","","step","TRUE","FALSE","Pre Start","May-23"
"8752b56e-243d-4529-9cdc-d5b74eac1806","","folder-normal","","","step","TRUE","FALSE","Pre Start","Jun-23"
"2c04a078-4dbe-4e58-ac41-ded7af4cf507","","folder-normal","","","step","TRUE","FALSE","Pre Start","July-23"
"a04f1d98-675e-4969-afd9-b3c672656953","","folder-normal","","","step","TRUE","FALSE","Pre Start","August-23"
"6188921a-ca9c-4046-b342-160fa0f044cc","","checklist-flat","","Daily Pre Start","checklist-flat","FALSE","FALSE","Pre Start","August-23","Daily Pre Start"
"92e6dec4-ed1e-4b71-91ed-240ecb9c9e9d","","checklist-flat","","Columns Checklist","checklist-flat","FALSE","FALSE","Pre Start","August-23","Columns Checklist"
"b432b306-0a54-4da1-a344-14485f0546c3","","checklist-flat","","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Pre Start","August-23","Suspended Slab Checklist"
"86f4d60e-7f83-401c-becc-2dca03632c87","","checklist-sectioned","","Stairs Checklist","checklist","FALSE","FALSE","Pre Start","August-23","Stairs Checklist"
"b90d7d24-0869-48e4-b167-4e01457a370c","","checklist-flat","","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Pre Start","August-23","Suspended Slab Checklist"
"1f28c5b6-2140-467e-b7ad-0d69052a6151","","checklist-sectioned","","Stairs Checklist","checklist","FALSE","FALSE","Pre Start","August-23","Stairs Checklist"
"c900a4f7-b319-42e6-be1a-70f103bc6f3a","","folder-normal","","","step","TRUE","FALSE","Pre Start","Sep-23"
"22f797e7-3dd6-4ebc-af7c-04bd6b3d9a32","","checklist-flat","","Daily Pre Start","checklist-flat","FALSE","FALSE","Pre Start","Sep-23","Daily Pre Start"
"28896533-20f3-4d80-a558-86483d3e7668","","folder-normal","","","step","TRUE","FALSE","Incident Report"
"0ca6da71-29c8-4677-b02f-dc5f7997a501","","folder-normal","","","step","TRUE","FALSE","Incident Report","Jan-23"
"0fb2e872-2f6c-4ccb-b641-55bc0bea9aa6","","checklist-flat","","Injury Form","checklist-flat","FALSE","FALSE","Incident Report","Jan-23","06.01.2023 Injury Form lee sadlier horuq"
"29ce3c4d-dc15-4276-8331-d26d847cf84c","","folder-normal","","","step","TRUE","FALSE","Incident Report","Feb-23"
"2183c4db-41a2-4892-ad81-54f734c04b15","","folder-normal","","","step","TRUE","FALSE","Incident Report","Mar-23"
"3adab4bb-5643-444b-adc1-ff7d6e10292d","","folder-normal","","","step","TRUE","FALSE","Incident Report","Apr-23"
"a0312635-4cb7-43fc-a05e-2243a2ecf7bf","","folder-normal","","","step","TRUE","FALSE","Incident Report","May-23"
"cdc46b03-0fa0-4263-b8c8-77e84f31fd60","","checklist-flat","","Toolbox Meeting","checklist-flat","FALSE","FALSE","Incident Report","May-23","Toolbox Meeting Falling concrete from stair shaft"
"9232926b-668f-4470-a62b-030e66d38d25","","folder-normal","","","step","TRUE","FALSE","Incident Report","Jun-23"
"f9ed87c3-657a-4041-8936-58786a5196d3","","folder-normal","","","step","TRUE","FALSE","Variations / SI"
"61619c19-6e43-4300-9e02-0ca566b4dab4","","folder-normal","","","step","TRUE","FALSE","Variations / SI","Dec-22"
"f98cc5d4-bbb7-464a-b1b3-2e74338c676c","","folder-normal","","","step","TRUE","FALSE","Variations / SI","Jan-23"
"ebcc1038-ae58-4af2-9288-78a62b0a1391","","folder-normal","","","step","TRUE","FALSE","Variations / SI","Feb-23"
"5d4fdfcd-4184-4921-b89e-04b59c6a5c3a","","folder-normal","","","step","TRUE","FALSE","Variations / SI","Mar-23"
"261d3d61-d38f-4227-b3f3-fa55d970af9f","","folder-normal","","","step","TRUE","FALSE","Variations / SI","Apr-23"
"b0f9cbd0-f018-4601-ad00-887446fe4aaa","","folder-normal","","","step","TRUE","FALSE","Variations / SI","May-23"
"f2e96689-a680-4d28-8346-cd3b2952e10f","","folder-normal","","","step","TRUE","FALSE","Variations / SI","Jun-23"
"da712288-bfe6-4f66-8f1e-6f0c1dc7934e","","folder-normal","","","step","TRUE","FALSE","Weekly Labour Hire Control"
"6b9c599d-5aaf-47bb-8c2a-9a8fd5e829b6","","folder-normal","","","step","TRUE","FALSE","Weekly Labour Hire Control","Dec-22"
"fba6b129-c531-48ff-a774-0a44b5e7a51c","","checklist-flat","","Weekly Labour Hire Control","checklist-flat","FALSE","FALSE","Weekly Labour Hire Control","Dec-22","Weekly Labour Hire Control W/E 06.12.2022 test"
"ae536a1f-cb4d-4174-bfd1-6cf74ed70234","","checklist-flat","","Weekly Labour Hire Control","checklist-flat","FALSE","FALSE","Weekly Labour Hire Control","Dec-22","Weekly Labour Hire Control W/E 13.12.2022"
"bea4c0ba-b541-4716-be8e-949ef796794d","","checklist-flat","","Weekly Labour Hire Control","checklist-flat","FALSE","FALSE","Weekly Labour Hire Control","Dec-22","Weekly Labour Hire Control W/E 20.12.2022"
