"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"31e50bbc-c9d5-4118-a167-c188a04eb37c","","not-started","","folder","TRUE","FALSE","Workstations"
"0dab8af7-164c-402b-8db3-5d6391e3e09b","","not-started","","folder","TRUE","FALSE","Workstations","Level 1"
"a19dff4a-44b9-4ee4-8721-2a1ef7b280f0","","not-started","Equipment Installation","checklist","FALSE","FALSE","Workstations","Level 1","Workstations Installation"
"d0715ca8-a4c8-405c-ae98-438f55c7d6bd","","no-status-not-started","","folder","TRUE","FALSE","Lockers"
"643ad56b-14bc-4f8f-951e-51b84265abf5","","work-in-progress","","folder","TRUE","FALSE","Mental Health"
"4fd45f9c-91e9-414b-9214-a02ee9d1e995","","work-in-progress","","folder","TRUE","FALSE","Mental Health","Building B"
"62e2f4d3-a219-4c91-98a0-197062fb65d4","","not-started","","folder","TRUE","FALSE","Mental Health","Building B","Lower Ground"
"5d0ad603-d3a0-4f81-aaa9-8f234c6a407e","","not-started","","folder","TRUE","FALSE","Mental Health","Building B","Lower Ground","Room - 049"
"6fb642ac-c35b-47e3-af12-3841b90db1d0","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Lower Ground","Room - 060","FQBS-510 - chair 2"
"295c513b-dbe3-4624-8235-8bbe6807abfb","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Lower Ground","Room - 060","FQTA-508 - table"
"23496e3d-774b-4481-829a-4c54f95818f1","","not-started","","folder","TRUE","FALSE","Mental Health","Building B","Lower Ground","Room - 061"
"8ca030fa-8238-475d-bca5-cda0699f1613","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Lower Ground","Room - 061","FQBS-512 - lounge 1"
"1a34d136-5f19-4c8a-8c46-b686cd66e482","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Lower Ground","Room - 061","FQBS-512 - lounge 2"
"10f35cbb-8c10-4ef7-86d9-d007221d07f2","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Lower Ground","Room - 061","FQTA-085 - table"
"1b7c2cff-ba2d-4fb9-a0f8-5081d89a187c","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Lower Ground","Room - 061","FQBS-510 - chair 1"
"48bc59c7-d6aa-49fb-b716-bde106486fd5","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Lower Ground","Room - 061","FQBS-510 - chair 2"
"d117a56c-6eeb-47ba-8d2d-be9c97875277","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Lower Ground","Room - 061","FQTA-508 - table"
"0a4ff1cd-fc72-4870-9df5-1460b23319e1","","not-started","","folder","TRUE","FALSE","Mental Health","Building B","Lower Ground","Room - 063"
"eb332a93-5699-4419-83ec-73b803c8cbd6","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Lower Ground","Room - 063","FQBS-509 - chair 1"
"5e561fe8-f235-4301-a4e0-96815a93d564","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Lower Ground","Room - 063","FQBS-509 - chair 2"
"adc51efb-6687-4409-b5d1-185edd680899","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Lower Ground","Room - 063","FQBS-509 - chair 3"
"bbca98fd-23fb-416d-902a-4230e39b838f","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Lower Ground","Room - 063","FQBS-509 - chair 4"
"288548e0-9458-445d-a97f-fa0692197c5d","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Lower Ground","Room - 063","FQBS-509 - chair 5"
"1087813a-9161-4022-9781-2dafe378fefc","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Lower Ground","Room - 063","FQBS-509 - chair 6"
"1c146ef5-598f-46c4-b456-3902d8b73f77","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Lower Ground","Room - 063","FQBS-509 - chair 7"
"1fdba54f-1392-42f4-aaf4-2d5709ee0cd7","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Lower Ground","Room - 063","FQBS-509 - chair 8"
"42fe6567-19ea-4a34-b0c4-8924ff5075df","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Lower Ground","Room - 063","FQBS-549 - chair 1"
"29c08faa-e0ca-497b-af65-05ed8c2ed152","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Lower Ground","Room - 063","FQBS-549 - chair 2"
"cc82d94c-ebca-496f-b1ea-edf26d3ac6d1","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Lower Ground","Room - 063","FQBS-511 - lounge 1"
"d992adf1-76d4-46f1-b179-61241b9210af","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Lower Ground","Room - 063","FQBS-511 - lounge 2"
"a99b6043-95e4-4d18-aa7a-770b7901fc0a","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Lower Ground","Room - 063","FQBS-511 - lounge 3"
"aa5fa1cd-ff57-44f0-86ed-3ca410f85be1","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Lower Ground","Room - 063","FQTA-510 - table 1"
"57aff2bd-5e82-47ff-8543-e412b1a3a073","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Lower Ground","Room - 063","FQTA-510 - table 2"
"0acba8c6-3084-4e7e-9485-d7e1f4c53f18","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Lower Ground","Room - 063","FQTA-085 - table 1"
"547f4ef4-165c-42e3-adf0-2be447f8f4e8","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Lower Ground","Room - 063","FQTA-085 - table 2"
"214ed686-eb28-4bd2-842f-7c40e19550c5","","not-started","","folder","TRUE","FALSE","Mental Health","Building B","Lower Ground","Room - 065"
"afa3683a-8714-4034-a3c4-98186899d49a","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Lower Ground","Room - 065","FQBS-512 - lounge 1"
"d169b6c6-3bac-4554-8394-fd9053cfdd31","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Lower Ground","Room - 065","FQBS-512 - lounge 2"
"1d4cdcc2-c789-4e41-862a-c06d36f8bdeb","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Lower Ground","Room - 065","FQTA-085 - table"
"3fea4678-abde-4989-b4fd-42df3dffa2d7","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Lower Ground","Room - 065","FQBS-510 - chair 1"
"37f1b7c5-eeac-4699-bbd1-f1d9f1f7bebe","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Lower Ground","Room - 065","FQBS-510 - chair 2"
"8619c0f9-c684-4392-be49-0f8f369809d1","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Lower Ground","Room - 065","FQTA-508 - table"
"66541a19-78d4-4adc-870d-9b24c8221ce8","","not-started","","folder","TRUE","FALSE","Mental Health","Building B","Ground Floor"
"92a88fdb-d4cc-4087-838d-122d7f253bb7","","not-started","","folder","TRUE","FALSE","Mental Health","Building B","Ground Floor","Room - 116"
"b97518a0-168d-416b-9a2a-6b020148399f","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Ground Floor","Room - 116","FQBS-512 - lounge 1"
"c805d4e1-4b47-49ec-90ae-235c1ed91712","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Ground Floor","Room - 116","FQBS-512 - lounge 2"
"c38fbe52-8805-4cb2-b399-5bf55a5cc1e6","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Ground Floor","Room - 116","FQTA-085 - table"
"4c3a8a6d-e820-4219-9786-b3cec3d7ef7d","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Ground Floor","Room - 116","FQBS-510 - chair 1"
"49102a2d-1751-4707-a886-75616e88214d","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Ground Floor","Room - 116","FQBS-510 - chair 2"
"b3003d1a-7ee3-41f8-a0d3-bc730c4ccb32","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Ground Floor","Room - 116","FQTA-508 - table"
"1e92d53b-ab9b-4212-b298-79b0d250a16b","","not-started","","folder","TRUE","FALSE","Mental Health","Building B","Ground Floor","Room - 149"
"e6adbf3f-b27e-465b-85d4-fd41e86beeb8","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Ground Floor","Room - 149","FQBS-512 - lounge 1"
"247ca6c5-5561-4b8d-916b-d9990bcb326b","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Ground Floor","Room - 149","FQBS-512 - lounge 2"
"e0cab300-df0f-4fe2-a88e-afdc9dcd3a17","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Ground Floor","Room - 149","FQTA-085 - table"
"539fdd57-57ad-4968-8c29-cdc7715b4fe5","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Ground Floor","Room - 149","FQBS-510 - chair 1"
"6601b0dd-1cd1-469b-8403-7ab17d66b4d2","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Ground Floor","Room - 149","FQBS-510 - chair 2"
"282855a1-7b58-4f37-b632-84d2ba6512bb","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Ground Floor","Room - 149","FQTA-508 - table"
"a4305eb9-090c-4f11-a45f-c62cfdf88df9","","not-started","","folder","TRUE","FALSE","Mental Health","Building B","Ground Floor","Room - 152"
"7062729c-9952-4b00-bd8c-f17c2a722569","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Ground Floor","Room - 152","FQBS-512 - Lounge 1"
"3237d086-878d-4587-b1e1-4b1749d7b9c7","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Ground Floor","Room - 152","FQBS-512 - Lounge 2"
"6d8436d7-e904-443e-8bcc-6d9bab72f52c","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Ground Floor","Room - 152","FQTA-085 - Table"
"6e0d2aef-4bb5-4f23-80fd-cb90c970bdc6","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Ground Floor","Room - 152","FQBS-510 - Chair 1"
"1fe39fa9-9f58-4f79-9d70-fecc3d14c7e2","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Ground Floor","Room - 152","FQBS-510 - Chair 2"
"f8f1c4d8-c80d-423a-a87f-63666adb10d0","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Ground Floor","Room - 152","FQTA-508 - Table"
"19b2a01d-978c-4f30-bde0-aa59f41e5501","","not-started","","folder","TRUE","FALSE","Mental Health","Building B","Level 1"
"82d24f6e-c867-49e4-99b0-50d21fc51ab9","","not-started","","folder","TRUE","FALSE","Mental Health","Building B","Level 1","Room - 002"
"9023c5de-9b90-4d4f-ad57-eaf3948f37a6","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Level 1","Room - 002","FQBS-510 - chair 1"
"c125bbf5-479b-4253-8906-b1e29af2013c","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Level 1","Room - 002","FQBS-510 - chair 2"
"1474f198-a103-4652-affa-47d16e16383f","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Level 1","Room - 002","FQBS-510 - chair 3"
"c3b8b181-cc35-4249-99b2-d278b1d7aa59","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Level 1","Room - 002","FQBS-510 - chair 4"
"90477c05-9740-4537-ae7f-bc031f0e7983","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Level 1","Room - 002","FQTA-508 - table"
"0257f463-355a-4a5f-b86a-50d339d13f74","","not-started","","folder","TRUE","FALSE","Mental Health","Building B","Level 1","Room - 003"
"20ae6e18-808f-4083-acd0-64e1e2587852","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Level 1","Room - 003","FQBS-512 - Lounge 1"
"8ba3949b-aa45-4749-b3ad-97591c80d5d1","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Level 1","Room - 003","FQBS-512 - Lounge 2"
"64bd03e6-ce33-4684-bb61-4ee57a8c9052","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Level 1","Room - 003","FQTA-085 - Table"
"3365adcf-7026-467f-a542-683b9d4cc5bb","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Level 1","Room - 003","FQBS-510 - Chair 1"
"898cf73c-2893-4048-b29c-aaacf847c6de","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Level 1","Room - 003","FQBS-510 - Chair 2"
"cf8736c2-6237-424b-9160-c0aefd0ebf14","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Level 1","Room - 003","FQTA-508 - Table"
"d118025d-de25-4048-bc1a-78c591fd8e80","","not-started","","folder","TRUE","FALSE","Mental Health","Building B","Level 1","Room - 008"
"c3dc3156-1f58-42bc-9b03-af8786022a6d","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Level 1","Room - 008","FQBS-003 - bed"
"4f7b81e3-377f-4894-93ed-d216b590066b","","not-started","","folder","TRUE","FALSE","Mental Health","Building B","Level 1","Room - 011"
"ed0c1bee-6825-4bbe-a2ce-0d3db3f40381","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Level 1","Room - 011","FQBS-003 - bed"
"d11b67ed-ccac-44eb-b026-c0da37e03a90","","not-started","","folder","TRUE","FALSE","Mental Health","Building B","Level 1","Room - 013"
"4f565066-a4ef-4de1-830d-1c8fab854fa3","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Level 1","Room - 013","FQBS-003 - bed"
"897207fa-1c60-42a4-8608-9f4fa79c3a1e","","not-started","","folder","TRUE","FALSE","Mental Health","Building B","Level 1","Room - 016"
"768e5bf7-1b15-4a55-97fa-de2531e43844","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Level 1","Room - 016","FQBS-003 - bed"
"eb8bc758-021a-4ea5-aaef-f3a816df3e79","","not-started","","folder","TRUE","FALSE","Mental Health","Building B","Level 1","Room - 021"
"65034c76-0445-4d61-9189-ea87e2bd1f2c","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Level 1","Room - 021","FQBS-510 - chair 1"
"2d5f4844-d52b-4eca-903d-7fcf33b77817","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Level 1","Room - 021","FQBS-510 - chair 2"
"81883900-1230-4bc5-8c5a-a86d7d6a616b","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Level 1","Room - 021","FQBS-510 - chair 3"
"7fe6b16f-d191-436e-b17b-28d2cfbe473f","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Level 1","Room - 021","FQBS-510 - chair 4"
"89b89669-0d1a-46f3-a444-97b436fac831","","not-started","","folder","TRUE","FALSE","Mental Health","Building B","Level 1","Room - 022"
"743dcfd1-a715-43ff-bb0b-ffa052a673c8","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Level 1","Room - 022","FQBS-512 - Lounge 1"
"8b8dc98d-1e99-4db6-ad6a-dea0e8e5eb44","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Level 1","Room - 022","FQBS-512 - Lounge 2"
"8998666f-fb3e-4fbf-86c1-adf386566a05","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Level 1","Room - 022","FQTA-085 - Table"
"b00ea7e3-b079-471a-978b-2783d8933a81","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Level 1","Room - 022","FQBS-510 - Chair 1"
"27d49d6c-02a5-4ee8-9e39-ca4bd0fcc15e","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Level 1","Room - 022","FQBS-510 - Chair 2"
"b2ecf5da-b24f-466f-a155-3324a88759d6","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Level 1","Room - 022","FQTA-508 - Table"
"ac7e0ea5-c199-4a0a-8086-38525ae32442","","not-started","","folder","TRUE","FALSE","Mental Health","Building B","Level 1","Room - 032"
"e8c4a803-c944-46fe-bac1-509ac45b4097","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Level 1","Room - 032","MMBE-707 - bed"
"8a64cd7b-2387-4818-9325-d7b65eb6b51c","","not-started","","folder","TRUE","FALSE","Mental Health","Building B","Level 1","Room - 034"
"5ec1d972-a31b-4b93-8ccb-6097e6cea1f5","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Level 1","Room - 034","FQBS-003 - bed"
"c98983f0-ecc7-42b4-9840-879cfe89069a","","not-started","","folder","TRUE","FALSE","Mental Health","Building B","Level 1","Room - 035"
"e23c5713-8b2e-4c6e-a4fb-4632fff681a5","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Level 1","Room - 035","FQBS-003 - bed"
"ea09eec8-5fc8-4d7f-9fed-d43dae651806","","not-started","","folder","TRUE","FALSE","Mental Health","Building B","Level 1","Room - 038"
"d830452e-1c6e-41c9-aec5-bd8da92f8cc6","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Level 1","Room - 038","FQBS-003 - bed"
"eb4be3f0-5a3f-4897-9a24-e698ac3264af","","not-started","","folder","TRUE","FALSE","Mental Health","Building B","Level 1","Room - 040"
"eb657bc3-2e9c-42cb-865f-9e7e56935c59","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Level 1","Room - 040","FQBS-003 - bed"
"ff1723ec-85f3-4867-b899-d59529b4cfe3","","not-started","","folder","TRUE","FALSE","Mental Health","Building B","Level 1","Room - 043"
"29e67f64-4e8e-4e60-be05-470d8ad76478","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Level 1","Room - 043","FQBS-003 - bed"
"4aadb9a4-682e-42d8-a658-4829c248264e","","not-started","","folder","TRUE","FALSE","Mental Health","Building B","Level 1","Room - 044"
"d8c2b1d3-8a5f-461f-b2c5-65a23569291b","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Level 1","Room - 044","FQBS-003 - bed"
"a665701e-e5cf-43a5-8acb-a3746db7d2e4","","not-started","","folder","TRUE","FALSE","Mental Health","Building B","Level 1","Room - 047"
"9959e353-6596-423d-ac5a-371fcca46b09","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Level 1","Room - 047","FQBS-003 - bed"
"b968d904-e026-4806-a44e-3e61c58538e6","","not-started","","folder","TRUE","FALSE","Mental Health","Building B","Level 1","Room - 049"
"a04456ba-fcd1-4430-b9fd-3bc30daa319b","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Level 1","Room - 049","FQBS-003 - bed"
"0d3b9158-02a7-4957-a6c5-dca0bb67cc0a","","not-started","","folder","TRUE","FALSE","Mental Health","Building B","Level 1","Room - 050"
"82cfe5a8-af18-444d-a460-38c7170d623b","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Level 1","Room - 050","FQBS-003 - bed"
"da9c78ab-13c1-4631-90c9-0eac2fc79618","","not-started","","folder","TRUE","FALSE","Mental Health","Building B","Level 1","Room - 053"
"664dc34e-a58f-4d9e-bb1f-5a1c02606174","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Level 1","Room - 053","FQBS-003 - bed"
"19d432be-c2d6-4213-939d-32c092005ca8","","not-started","","folder","TRUE","FALSE","Mental Health","Building B","Level 1","Room - 054"
"519813fb-9de2-4a62-96c9-db3d7b796b52","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Level 1","Room - 054","FQBS-003 - bed"
"dd9c12be-11d1-4771-a020-13e7c9fd688a","","not-started","","folder","TRUE","FALSE","Mental Health","Building B","Level 1","Room - 062"
"bc8bfa9f-98b1-44fa-9f2c-2b15faf3a26b","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Level 1","Room - 062","FQBS-512 - Lounge 1"
"c7ccea9d-9cc2-41a3-8ab9-8c75528a6613","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Level 1","Room - 062","FQBS-512 - Lounge 2"
"0010c4b1-0c2a-4d27-92b1-094592c468bd","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Level 1","Room - 062","FQTA-085 - Table"
"ef65172b-b1fd-4517-a831-8bcbb994cc06","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Level 1","Room - 062","FQBS-510 - Chair 1"
"7fc1594b-72de-40d1-a97c-8848e94ccecf","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Level 1","Room - 062","FQBS-510 - Chair 2"
"55ef7bba-f59d-41ac-9051-c7f426b58f90","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Level 1","Room - 062","FQTA-508 - Table"
"77af3747-1ab2-43aa-8a60-11e2ee733c31","","not-started","","folder","TRUE","FALSE","Mental Health","Building B","Level 1","Room - 074"
"487e17ba-cea3-46d4-9e63-ae11cfcd6293","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Level 1","Room - 074","FQBS-512 - Lounge 1"
"fba7cd79-b922-4977-8f97-bd4aafef18ae","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Level 1","Room - 074","FQBS-512 - Lounge 2"
"c5a504b0-d436-45ea-a621-7f9d1d75c81f","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Level 1","Room - 074","FQTA-085 - Table"
