Type,Name,Values,Prompting Name,Postfix,Resource Id
date,Date Completed:,,,,
checkpoint,3.3 - Commencement of production of asphalt in each working period,,,,
label,Frequency - Not less than 48 hours prior to the commencement of a work period,,,,
label,Acceptance Criteria - Submission of production plan which must demonstrate that the hot storage capacity and the production capacity of the mixing plant is capable of suppling asphalt to complete the work proposed to be undertaken within that work period on time and to make the runway suitable for aircraft operation in the event of an asphalt plant breakdown,,,,
label,Reference Documents - Volume 1: HP 5116-1,,,,
label,Inspection/Test Method - Submission,,,,
label,Record of conformity - Production Plan,,,,
label,HP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,
checkpoint,3.4 - Mixing Temperature Requirements,,,,
label,Frequency - Each Lot,,,,
label,"Acceptance Criteria - Tolerances of bitumen temperature, temperature of aggregates and Asphalt temperature when introduced into the mix are shown in Clause 5116 (f)",,,,
label,Reference Documents - Volume 1: Clause 5116 (f),,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - Asphalt Production Records,,,,
label,IP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
checkpoint,3.5 - Mixing Efficiency,,,,
label,Frequency - Each Lot,,,,
label,"Acceptance Criteria - For asphalt production, hot aggregate, filler, and bitumen must be mixed until particles are at least 97% coated, ensuring a homogeneous mixture per ASTM D2489.",,,,
label,Reference Documents - Volume 1: Clause 5116 (g),,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - This ITP Signed,,,,
label,IP,,,,
label,Responsibility - Plant Operator,,,,
date,Date Completed:,,,,
checkpoint,3.6 - Mixing Times,,,,
label,Frequency - Each Lot,,,,
label,"Acceptance Criteria - Mixing time for asphalt should balance efficiency and prevent bitumen hardening. Dry mixing must last at least 10 seconds, while wet mixing should include bitumen addition (max 10 seconds) and ensure complete coating of all particles.",,,,
label,Reference Documents - Volume 1: Clause 5116 (h),,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - This ITP Signed,,,,
label,IP,,,,
label,Responsibility - Plant Operator,,,,
date,Date Completed:,,,,
checkpoint,3.7 - Production Tolerances,,,,
label,Frequency - Each Lot,,,,
label,"Acceptance Criteria - All asphalt produced in accordance with the 'job mix' must comply with the properties specified in Tables 5116-4, 5116-5, 5116-6, & 5116-7",,,,
label,Reference Documents - Volume 1: Clause 5116 (j),,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - Asphalt Mix Test Report,,,,
label,TP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
checkpoint,3.8 - Non-Conformed Production of Asphalt,,,,
label,Frequency - As required,,,,
label,"Acceptance Criteria - If during the progress of the Works asphalt produced, with an aggregate particle size distribution and bitumen content within the tolerances specified in Table 5116-7, a non- conformance report and proposed disposition must be recorded and submitted",,,,
label,Reference Documents - Volume 1: HP 5116-2 and Table 5116-7,,,,
label,Inspection/Test Method - Notification,,,,
label,Record of conformity - NCR,,,,
label,HP,,,,
label,Responsibility - Quality Enginer,,,,
date,Date Completed:,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,
checkpoint,3.9 - Non-Conforming Material,,,,
label,Frequency - As required,,,,
label,"Acceptance Criteria - Asphalt that is overheated, inadequately mixed, contains moisture, or does not meet specifications is deemed nonconforming and must be removed from the site.",,,,
label,Reference Documents - Volume 1: Clause 5116 (k),,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - This ITP signed by Contractor,,,,
label,TP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
section,4.0 - Quality Assurance – Production,,,,
checkpoint,4.1 - Sampling and Testing – Coarse Aggregates and Fine Aggregates,,,,
label,Frequency - Not less than 5 days prior the use of the aggregate in production of asphalt,,,,
label,Acceptance Criteria - The minimum frequency of sampling and testing for each coarse aggregate fraction must comply with the requirements of Table 5131-1.,,,,
label,○ The minimum frequency of sampling and testing for each fine aggregate fraction must comply with the requirements of Table 5131-2.,,,,
label,Reference Documents - Volume 1: HP 5131-1,,,,
label,Inspection/Test Method - Submission,,,,
label,Record of conformity - Aggregate Test Reports,,,,
label,HP/ TP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,
checkpoint,4.2 - Added Filler,,,,
label,Frequency - Not later than 24 hours after each delivery,,,,
label,"Acceptance Criteria - A test certificate confirming that the hydrated lime meets 5106 must be included with each delivery to the asphalt mixing plant. This certificate, along with the delivery docket, must be submitted to the Contract Administrator",,,,
label,Reference Documents - Volume 1: Clause 5131 (b),,,,
label,Inspection/Test Method - Submission,,,,
label,Record of conformity - Added filler Certificate and docket,,,,
label,IP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
checkpoint,4.3 - Bitumen Test Certificates,,,,
label,Frequency - Not later than 24 hours after each delivery.,,,,
label,"Acceptance Criteria - Each delivery of bitumen to the asphalt mixing plant must include a test certificate verifying compliance with specifications and corresponding to the delivered lot. The delivery docket, detailing quantity and delivery time, must be submitted to the Contract Administrator, along with a testing certificate for each new batch.",,,,
label,Reference Documents - Volume 1: Clause 5131 (e)(i),,,,
label,Inspection/Test Method - Submission,,,,
label,Record of conformity - Bitumen Certificate and docket,,,,
label,IP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
checkpoint,4.4 - Sampling of bitumen from delivery vehicle at mixing plant,,,,
label,Frequency - 24 hours prior,,,,
label,Acceptance Criteria - Notice (24 hours prior) of time of bitumen delivery to mixing plant and taking of bitumen samples.,,,,
label,"○ Samples must be at least two (2) litres in sealed, 6ubmitte airtight steel cans with removable tops. They should be traceable to supplier records and handed to the Contract Administrator immediately after sampling.",,,,
label,Reference Documents - Volume 1: WP 5131-1 and Clause 5131 (e)(ii),,,,
label,Inspection/Test Method - Notification,,,,
label,Record of conformity - This ITP signed by Contractor,,,,
label,WP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
checkpoint,4.5 - Non-Conforming Bitumen,,,,
label,Frequency - As required,,,,
label,"Acceptance Criteria - If the test results indicate that the bitumen in the tank does not comply with the requirements of the Specification, the bitumen represented by the sample tested must be deemed to be non- conforming and must not be used to manufacture asphalt for the Works. A non-conformance report must be recorded and submitted immediately",,,,
label,Reference Documents - Volume 1: HP 5131-3,,,,
label,Inspection/Test Method - Submission,,,,
label,Record of conformity - NCR / This ITP signed by Contract Administrato r,,,,
label,HP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,
checkpoint,4.6 - Bitumen Emulsion and propriety products – Test Certificates,,,,
label,Frequency - Not later than 24 hours after each delivery,,,,
label,"Acceptance Criteria - Each bitumen emulsion delivery must include a compliance test certificate and a delivery docket detailing the quantity, time, and date, both submitted to the Contract Administrator.",,,,
label,Reference Documents - Volume 1: Clause 5131 (d)(i),,,,
label,Inspection/Test Method - Submission,,,,
label,Record of conformity - Bitumen Emulsion Certificate and docket,,,,
label,IP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
checkpoint,4.7 - Asphalt Production – Sampling & Testing,,,,
label,Frequency - Each Lot,,,,
label,Acceptance Criteria - The number of samples and sets of tests on each nominal size of asphalt produced in the work period must not be less than that specified in Table 5131-4,,,,
label,Reference Documents - Volume 1: Clause 5131 (e) (ii),,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - Test Report,,,,
label,TP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
checkpoint,4.8 - Daily Bitumen Usage,,,,
label,Frequency - Each Lot,,,,
label,"Acceptance Criteria - During each work period, the quantity of bitumen used in each production run for each nominal size of asphalt mix must be accurately recorded by dipping the bitumen storage tank or by recording the plant digital read- outs before and after each production run. The recorder bitumen usage must be included in the lot submission.",,,,
label,Reference Documents - Volume 1: Clause 5131 (e)(iii),,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - Asphalt Production Records,,,,
label,IP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
checkpoint,4.9 - Mass of Asphalt,,,,
label,Frequency - Each Lot,,,,
label,"Acceptance Criteria - The mass of each nominal size of asphalt mix produced in each work period must be determined, recorded and included in the lot submissions.",,,,
label,Reference Documents - Volume 1: Clause 5131 (e)(iv),,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - Asphalt Production Records,,,,
label,IP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
checkpoint,4.10 - Supplementary Bitumen Content Determination,,,,
label,Frequency - Each Lot,,,,
label,"Acceptance Criteria - Calculate and report the average bitumen content for each nominal size of asphalt based on the total bitumen used and asphalt mass produced, and include it in the lot submissions.",,,,
label,Reference Documents - Volume 1: Clause 5131 (e)(v),,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - Asphalt Production Records,,,,
label,IP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
checkpoint,4.11 - Bitumen Temperature Recording,,,,
label,Frequency - Each Lot,,,,
label,Acceptance Criteria - The temperature of the bitumen in the storage tank must be recorded at the time of taking every bitumen volumetric reading and at intervals of not less than once every work period.,,,,
label,Reference Documents - Volume 1: Clause 5131 (e)(vi),,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - This ITP Signed,,,,
label,IP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
checkpoint,4.12 - Asphalt moisture content,,,,
label,Frequency - Each Lot,,,,
label,Acceptance Criteria - Asphalt moisture content must be determined at least once per lot when approximately 50% of the asphalt for the planned shift has been manufactured.,,,,
label,Reference Documents - Volume 1: Clause 5131 (e)(vii),,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - Asphalt Production Records,,,,
label,IP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
checkpoint,Final Inspection,,,,
note,The signature below verifies that this ITP has been completed in accordance with the Fulton Hogan’s Quality system Procedures and verifies lot compliance with specifications.,,,,
textbox,Print Name:,,,,
textbox,Position:,,,,
date,Work Completed On:,,,,
date,Date:,,,,
