"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"518af03f-84a5-4f27-87b2-4bf913aa93b8","","folder-normal","pass","","step","TRUE","FALSE","In-Ground Works"
"7824f13e-1208-4ea2-baae-7792d14add68","","folder-normal","pass","","step","TRUE","FALSE","In-Ground Works","South & West"
"96bedfd2-c0f8-4f73-a33c-d52368f20593","","checklist-sectioned","pass","Excavation & Shoring - GPL-QSE-ITP-STRUC-001 (Rev 02)","checklist","FALSE","FALSE","In-Ground Works","South & West","South - Shoring + Excavation"
"9511dbed-3060-5a2f-b02a-c10170d08ef4","","checkpoint-group","pass","","","FALSE","FALSE","In-Ground Works","South & West","South - Shoring + Excavation","Shoring - Prior to Works Commencing"
"9872c102-547e-4a49-ae15-0ecb76a699d2","","checklist-sectioned","pass","Excavation & Shoring - GPL-QSE-ITP-STRUC-001 (Rev 02)","checklist","FALSE","FALSE","In-Ground Works","South & West","West - Shoring + Excavation"
"5d94307a-1a9f-56eb-9ae7-33ca862aea60","","checkpoint-group","pass","","","FALSE","FALSE","In-Ground Works","South & West","West - Shoring + Excavation","Shoring - Prior to Works Commencing"
"5d5455cf-348c-592f-b67a-4d61585e5e12","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","South & West","West - Shoring + Excavation","Shoring - Prior to Works Commencing","Locate all existing services"
"23f67c30-ec40-5431-9a7e-c00c2c4c1054","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","South & West","West - Shoring + Excavation","Shoring - Prior to Works Commencing","Confirm set out and piling/spring remains within the boundary"
"51513fa0-e9ae-5742-9ecc-72d117b5605e","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","South & West","West - Shoring + Excavation","Shoring - Prior to Works Commencing","Confirm vibration requirements"
"80c060cd-7f3c-51e2-9330-934ad6960cbc","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","South & West","West - Shoring + Excavation","Shoring - Prior to Works Commencing","Confirm boundary set back to shoring wall"
"87168abd-e22b-5964-8b3a-32e5759312af","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","South & West","West - Shoring + Excavation","Shoring - Prior to Works Commencing","Confirm RL levels to top of shoring wall"
"06b7ad35-7f0f-53fb-8332-4f7ab70f0c66","","checkpoint-group","pass","","","FALSE","FALSE","In-Ground Works","South & West","West - Shoring + Excavation","Shoring - During Works"
"7975a06d-8830-5c27-9491-6bb6c3eccdef","","checkpoint-status","not-applicable","","","TRUE","TRUE","In-Ground Works","South & West","West - Shoring + Excavation","Shoring - During Works","Confirm de-stressing procedure for anchors with engineer"
"6faea9ba-c856-5058-9b47-4bdc035c6163","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","South & West","West - Shoring + Excavation","Shoring - During Works","Confirm level of excavation permissible with shoring wall"
"3e4fa132-61d8-5ab0-ad20-4ee80a5db72d","","checkpoint-group","pass","","","FALSE","FALSE","In-Ground Works","South & West","West - Shoring + Excavation","Excavation - Prior to Works Commencing"
"14e5985a-ffba-5f9e-853a-3b56cdf0d3a3","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","South & West","West - Shoring + Excavation","Excavation - Prior to Works Commencing","Confirm dial before you dig documents are onsite"
"6024661e-29d6-5ea9-893f-845eba480732","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","South & West","West - Shoring + Excavation","Excavation - Prior to Works Commencing","Confirm correct disposal of classified material"
"cb7e47ed-990d-507a-b227-b35b6650e2d0","","checkpoint-status","not-applicable","","","TRUE","TRUE","In-Ground Works","South & West","West - Shoring + Excavation","Excavation - Prior to Works Commencing","Obtain geotech report, including load bearing capacity for scaffolder"
"551d645c-372a-5df2-8b4b-3f0182a2ebcd","","checkpoint-group","pass","","","FALSE","FALSE","In-Ground Works","South & West","West - Shoring + Excavation","Excavation - During Works"
"ae618e69-245b-5ecb-80c9-674d967d5c17","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","South & West","West - Shoring + Excavation","Excavation - During Works","Collection of tip dockets if required"
"6612e07c-fc67-5075-a029-1ba71543ca81","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","South & West","West - Shoring + Excavation","Excavation - During Works","Confirm set out of boundary's marked out"
"438d592d-486a-56f8-877f-296d831cbb97","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","South & West","West - Shoring + Excavation","Excavation - During Works","Confirm actual ERL is within design tolerance (nominal 20mm)"
"d45ef01c-4506-5f28-9d77-793edce5a8ea","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","South & West","West - Shoring + Excavation","Excavation - During Works","Confirm set out of footings and pads"
"f72aca2c-09c7-5e93-a417-83ed474ab724","","checkpoint-status","not-applicable","","","TRUE","TRUE","In-Ground Works","South & West","West - Shoring + Excavation","Excavation - During Works","Confirm set out of in ground drainage"
"fb0b5366-43ae-5e95-817c-d7dd27d449c7","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","South & West","West - Shoring + Excavation","Excavation - During Works","Excavation of footings not to exceed size as detailed on structural drawings"
"f9b16212-371e-5188-bd7e-895049163fd1","","checkpoint-status","not-applicable","","","TRUE","TRUE","In-Ground Works","South & West","West - Shoring + Excavation","Excavation - During Works","Certifier to inspect foundation in accordance with DA Conditions"
"49818729-1623-57cb-ac5a-14cfbb9aa940","","checkpoint-status","not-applicable","","","TRUE","TRUE","In-Ground Works","South & West","West - Shoring + Excavation","Excavation - During Works","Geotech inspection of footings/lift pads"
"b1990c98-3786-5539-bd83-01abe891aa0a","","checkpoint-status","not-applicable","","","TRUE","TRUE","In-Ground Works","South & West","West - Shoring + Excavation","Excavation - During Works","Confirm if and hand digging excavation close to underground services"
"455655e3-f14a-5673-91f4-d1ecb90a51c8","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","South & West","West - Shoring + Excavation","Excavation - During Works","Confirm top of concrete footings is below surrounding finishes"
"97d13d22-ef43-5828-9c32-747d27db9214","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","South & West","West - Shoring + Excavation","Excavation - During Works","Confirm subbase is compliant with engineers requirements"
"ab155c02-3310-527d-be05-a72d72b84849","","checkpoint-status","not-applicable","","","TRUE","TRUE","In-Ground Works","South & West","West - Shoring + Excavation","Excavation - During Works","Confirm as civil engineer inspection"
"a07e73df-5d32-5504-8ffa-ae3dbf28e2bd","","checkpoint-group","pass","","","FALSE","FALSE","In-Ground Works","South & West","West - Shoring + Excavation","After Works"
"ec98e445-65dd-532f-84f4-df256f3083ab","","checkpoint-status","not-applicable","","","TRUE","TRUE","In-Ground Works","South & West","West - Shoring + Excavation","After Works","Attach Subcontractor ITP"
"cda46c51-71d5-5888-a571-ee4ce96a50c5","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","South & West","West - Shoring + Excavation","After Works","Subcontractor Sign Off"
"d09b5e18-f01e-54fc-b39b-cad73da86c54","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","South & West","West - Shoring + Excavation","After Works","Orwell Sign Off"
"762146f2-0929-5868-b11c-dab7a7dc5a68","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","South & West","West - Shoring + Excavation","After Works","GPL-QSE-ITP-STRUC-001 Excavation & Shoring Rev 02"
"324f061d-cd10-41ef-bdcb-33a66a64c434","","folder-normal","pass","","step","TRUE","FALSE","In-Ground Works","East & North"
"7258665d-cbcb-44da-98dd-ee60dda41956","","checklist-sectioned","pass","Excavation & Shoring - GPL-QSE-ITP-STRUC-001 (Rev 02)","checklist","FALSE","FALSE","In-Ground Works","East & North","East - Shoring + Excavation"
"c53df818-67ec-503a-b4c1-c8814c072285","","checkpoint-group","pass","","","FALSE","FALSE","In-Ground Works","East & North","East - Shoring + Excavation","Shoring - Prior to Works Commencing"
"6e2e6f63-54ce-57b8-9a21-0210661057a9","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","East & North","East - Shoring + Excavation","Shoring - Prior to Works Commencing","Locate all existing services"
"9b048821-6569-556b-a6a9-66f791d18adc","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","East & North","East - Shoring + Excavation","Shoring - Prior to Works Commencing","Confirm set out and piling/spring remains within the boundary"
"7270726f-d34a-5015-a5fd-3eb09fd7d27f","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","East & North","East - Shoring + Excavation","Shoring - Prior to Works Commencing","Confirm vibration requirements"
"6f065945-465b-5375-b303-2c597cdbcd2b","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","East & North","East - Shoring + Excavation","Shoring - Prior to Works Commencing","Confirm boundary set back to shoring wall"
"f803c9a7-f3db-5fc9-aa18-296b27a4aa4b","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","East & North","East - Shoring + Excavation","Shoring - Prior to Works Commencing","Confirm RL levels to top of shoring wall"
"12855cf0-3df8-55ce-9eb9-15cc21e2249f","","checkpoint-group","pass","","","FALSE","FALSE","In-Ground Works","East & North","East - Shoring + Excavation","Shoring - During Works"
"a541e6d5-c048-5d0f-a710-6d68898121b0","","checkpoint-status","not-applicable","","","TRUE","TRUE","In-Ground Works","East & North","East - Shoring + Excavation","Shoring - During Works","Confirm de-stressing procedure for anchors with engineer"
"2f798ee7-0004-584e-b3e2-02ffdd6407f2","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","East & North","East - Shoring + Excavation","Shoring - During Works","Confirm level of excavation permissible with shoring wall"
"03598f39-0b24-543f-8708-931778af4a7a","","checkpoint-group","pass","","","FALSE","FALSE","In-Ground Works","East & North","East - Shoring + Excavation","Excavation - Prior to Works Commencing"
"74c5f655-33a9-50d7-b0a4-b49b37185d2e","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","East & North","East - Shoring + Excavation","Excavation - Prior to Works Commencing","Confirm dial before you dig documents are onsite"
"95105615-d1f1-5f58-8e1c-48a8b5759aba","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","East & North","East - Shoring + Excavation","Excavation - Prior to Works Commencing","Confirm correct disposal of classified material"
"e7b62b4c-85dd-5963-8acb-b1591e105890","","checkpoint-status","not-applicable","","","TRUE","TRUE","In-Ground Works","East & North","East - Shoring + Excavation","Excavation - Prior to Works Commencing","Obtain geotech report, including load bearing capacity for scaffolder"
"4ce5ca03-abd1-5c57-b6eb-80898fdc6e10","","checkpoint-group","pass","","","FALSE","FALSE","In-Ground Works","East & North","East - Shoring + Excavation","Excavation - During Works"
"b8303c99-f68b-55e8-aec8-4b1f1586a609","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","East & North","East - Shoring + Excavation","Excavation - During Works","Collection of tip dockets if required"
"749832e7-b056-5f91-8c92-2ecfe97c6428","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","East & North","East - Shoring + Excavation","Excavation - During Works","Confirm set out of boundary's marked out"
"11ed0c9e-78be-5b8e-ac1b-f48f9b1e09d5","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","East & North","East - Shoring + Excavation","Excavation - During Works","Confirm actual ERL is within design tolerance (nominal 20mm)"
"e62606bc-6e7e-5e4c-93ac-b8466c68f25e","","checkpoint-status","not-applicable","","","TRUE","TRUE","In-Ground Works","East & North","East - Shoring + Excavation","Excavation - During Works","Confirm set out of footings and pads"
"591dcb29-eed8-5ae3-98e2-f2106de9a72f","","checkpoint-status","not-applicable","","","TRUE","TRUE","In-Ground Works","East & North","East - Shoring + Excavation","Excavation - During Works","Confirm set out of in ground drainage"
"08c98811-b584-5370-9a29-d29276bd7989","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","East & North","East - Shoring + Excavation","Excavation - During Works","Excavation of footings not to exceed size as detailed on structural drawings"
"2045fd0b-2394-5c90-95bb-3765e0b98877","","checkpoint-status","not-applicable","","","TRUE","TRUE","In-Ground Works","East & North","East - Shoring + Excavation","Excavation - During Works","Certifier to inspect foundation in accordance with DA Conditions"
"772ba87e-2226-54e1-aa2f-ebccd5b45056","","checkpoint-status","not-applicable","","","TRUE","TRUE","In-Ground Works","East & North","East - Shoring + Excavation","Excavation - During Works","Geotech inspection of footings/lift pads"
"be351e70-601e-5fb4-bc01-3e7e228b4b57","","checkpoint-status","not-applicable","","","TRUE","TRUE","In-Ground Works","East & North","East - Shoring + Excavation","Excavation - During Works","Confirm if and hand digging excavation close to underground services"
"c452a565-5080-524f-bd70-fad8ae72c650","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","East & North","East - Shoring + Excavation","Excavation - During Works","Confirm top of concrete footings is below surrounding finishes"
"d9fb163c-a3af-579c-90ed-5b87133c5493","","checkpoint-status","not-applicable","","","TRUE","TRUE","In-Ground Works","East & North","East - Shoring + Excavation","Excavation - During Works","Confirm subbase is compliant with engineers requirements"
"911d43f4-6e58-5f13-9e75-91ee4d4f2e97","","checkpoint-status","not-applicable","","","TRUE","TRUE","In-Ground Works","East & North","East - Shoring + Excavation","Excavation - During Works","Confirm as civil engineer inspection"
"9e49354a-4c75-5fbe-8cc5-7d41629aaf93","","checkpoint-group","pass","","","FALSE","FALSE","In-Ground Works","East & North","East - Shoring + Excavation","After Works"
"2bc9c6cd-9f01-57b0-9d55-0672870ae5f9","","checkpoint-status","not-applicable","","","TRUE","TRUE","In-Ground Works","East & North","East - Shoring + Excavation","After Works","Attach Subcontractor ITP"
"4f8b50c6-c9dd-5d42-9122-a4ed66edb3b6","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","East & North","East - Shoring + Excavation","After Works","Subcontractor Sign Off"
"51671175-f951-5fa8-8c5f-d0382d52c172","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","East & North","East - Shoring + Excavation","After Works","Orwell Sign Off"
"56916931-7aa5-5f4b-8581-934a21713ad6","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","East & North","East - Shoring + Excavation","After Works","GPL-QSE-ITP-STRUC-001 Excavation & Shoring Rev 02"
"857f5edc-4b30-40ae-904a-d51413588954","","checklist-sectioned","pass","Excavation & Shoring - GPL-QSE-ITP-STRUC-001 (Rev 02)","checklist","FALSE","FALSE","In-Ground Works","East & North","North - Shoring + Excavation"
"0614318d-f2eb-58e5-a17b-7a196a0cb656","","checkpoint-group","pass","","","FALSE","FALSE","In-Ground Works","East & North","North - Shoring + Excavation","Shoring - Prior to Works Commencing"
"bcdd4853-c1fd-5458-8d38-226b4a5a8479","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","East & North","North - Shoring + Excavation","Shoring - Prior to Works Commencing","Locate all existing services"
"3dfa8dbb-9915-5930-a5e2-8dd843ee35b5","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","East & North","North - Shoring + Excavation","Shoring - Prior to Works Commencing","Confirm set out and piling/spring remains within the boundary"
"dee2abb3-5c3d-57e1-8fbd-dee5676d84b4","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","East & North","North - Shoring + Excavation","Shoring - Prior to Works Commencing","Confirm vibration requirements"
"dfc08dab-6a15-5941-a2b0-f154b1673a04","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","East & North","North - Shoring + Excavation","Shoring - Prior to Works Commencing","Confirm boundary set back to shoring wall"
"08f28e8c-37ed-54ca-81cd-c00b67d80cb7","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","East & North","North - Shoring + Excavation","Shoring - Prior to Works Commencing","Confirm RL levels to top of shoring wall"
"763d2766-9afe-5e0a-b16c-61fbd438667c","","checkpoint-group","pass","","","FALSE","FALSE","In-Ground Works","East & North","North - Shoring + Excavation","Shoring - During Works"
"c0eface8-9fdf-544a-b454-1b7e03acec42","","checkpoint-status","not-applicable","","","TRUE","TRUE","In-Ground Works","East & North","North - Shoring + Excavation","Shoring - During Works","Confirm de-stressing procedure for anchors with engineer"
"60eceb66-8a4b-53a8-98cc-5cd5f56c56ba","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","East & North","North - Shoring + Excavation","Shoring - During Works","Confirm level of excavation permissible with shoring wall"
"76e71889-7607-5230-b3a0-011ebecf8b2d","","checkpoint-group","pass","","","FALSE","FALSE","In-Ground Works","East & North","North - Shoring + Excavation","Excavation - Prior to Works Commencing"
"68de7615-884f-5318-bc22-c2ca101102ad","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","East & North","North - Shoring + Excavation","Excavation - Prior to Works Commencing","Confirm dial before you dig documents are onsite"
"8ec7a6f4-6a5f-5992-bee6-7cba383f3c2b","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","East & North","North - Shoring + Excavation","Excavation - Prior to Works Commencing","Confirm correct disposal of classified material"
"1c5163d3-3b1f-583b-b5a8-f98e5d201890","","checkpoint-status","not-applicable","","","TRUE","TRUE","In-Ground Works","East & North","North - Shoring + Excavation","Excavation - Prior to Works Commencing","Obtain geotech report, including load bearing capacity for scaffolder"
"0c0ae1d7-e92c-533d-b19f-e209785480b4","","checkpoint-group","pass","","","FALSE","FALSE","In-Ground Works","East & North","North - Shoring + Excavation","Excavation - During Works"
"1039d850-9a9a-57c6-b3e1-59b481e47472","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","East & North","North - Shoring + Excavation","Excavation - During Works","Collection of tip dockets if required"
"cb3b0585-ba7c-560c-8da3-8c16d49b5378","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","East & North","North - Shoring + Excavation","Excavation - During Works","Confirm set out of boundary's marked out"
"a107938b-2c96-590b-8063-89c18ab44543","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","East & North","North - Shoring + Excavation","Excavation - During Works","Confirm actual ERL is within design tolerance (nominal 20mm)"
"217c09de-6ac1-51b9-89b8-31fd9522c069","","checkpoint-status","not-applicable","","","TRUE","TRUE","In-Ground Works","East & North","North - Shoring + Excavation","Excavation - During Works","Confirm set out of footings and pads"
"af6f8bab-5617-5970-866c-640f6a6469d1","","checkpoint-status","not-applicable","","","TRUE","TRUE","In-Ground Works","East & North","North - Shoring + Excavation","Excavation - During Works","Confirm set out of in ground drainage"
"b0d43316-d49f-5a77-9468-ab86e4e8f627","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","East & North","North - Shoring + Excavation","Excavation - During Works","Excavation of footings not to exceed size as detailed on structural drawings"
"11f3e398-5bb3-5a23-82d4-e116ebd367c7","","checkpoint-status","not-applicable","","","TRUE","TRUE","In-Ground Works","East & North","North - Shoring + Excavation","Excavation - During Works","Certifier to inspect foundation in accordance with DA Conditions"
"7e54dbdc-f431-5a7a-93c2-fba1316f69d4","","checkpoint-status","not-applicable","","","TRUE","TRUE","In-Ground Works","East & North","North - Shoring + Excavation","Excavation - During Works","Geotech inspection of footings/lift pads"
"783eddb6-4ecf-58aa-a55f-e61fc1c079a9","","checkpoint-status","not-applicable","","","TRUE","TRUE","In-Ground Works","East & North","North - Shoring + Excavation","Excavation - During Works","Confirm if and hand digging excavation close to underground services"
"42226187-9573-5ff5-8676-94de94b5a1d0","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","East & North","North - Shoring + Excavation","Excavation - During Works","Confirm top of concrete footings is below surrounding finishes"
"8d412726-eb97-5275-970c-a30f7527623d","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","East & North","North - Shoring + Excavation","Excavation - During Works","Confirm subbase is compliant with engineers requirements"
"91a8e7be-abe2-5142-916d-be04559174a1","","checkpoint-status","not-applicable","","","TRUE","TRUE","In-Ground Works","East & North","North - Shoring + Excavation","Excavation - During Works","Confirm as civil engineer inspection"
"4438bbb8-5fb5-58a8-9621-ba3ab0e20c01","","checkpoint-group","pass","","","FALSE","FALSE","In-Ground Works","East & North","North - Shoring + Excavation","After Works"
"ca58d5a7-0e76-5f66-a0a7-58189603ec6e","","checkpoint-status","not-applicable","","","TRUE","TRUE","In-Ground Works","East & North","North - Shoring + Excavation","After Works","Attach Subcontractor ITP"
"dcaf5166-892b-5b97-bc95-9be346f9763c","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","East & North","North - Shoring + Excavation","After Works","Subcontractor Sign Off"
"64fb352e-ef92-5ca5-99f1-b2c521a0a6c5","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","East & North","North - Shoring + Excavation","After Works","Orwell Sign Off"
"36dd53a6-393c-528f-b760-dbd1503e23d0","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","East & North","North - Shoring + Excavation","After Works","GPL-QSE-ITP-STRUC-001 Excavation & Shoring Rev 02"
"9b2a48e2-a39a-4844-a5cd-94d94e6d0de8","","folder-normal","fail","","step","TRUE","FALSE","Structure"
"8b4e46d7-66a1-457c-b82c-8dd81fdd0ff4","","folder-normal","pass","","step","TRUE","FALSE","Structure","Pads"
