"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"6e4702a9-cbc0-4652-9312-fe5afe961d83","","work-in-progress","","folder","TRUE","FALSE","Stage 2 (B02)"
"98644afc-5567-4199-9d03-f6dfcd2d86f8","","work-in-progress","","folder","TRUE","FALSE","Stage 2 (B02)","Ground Floor"
"76e8fdcf-21b3-4266-a3eb-0d9b259e2838","","pass","","folder","TRUE","FALSE","Stage 2 (B02)","Ground Floor","Area B"
"c35a2201-cdfb-43d1-b5e3-e5806c3c7aef","","pass","","folder","TRUE","FALSE","Stage 2 (B02)","Ground Floor","Area B","G 25"
"0fbb4a37-4cbf-4f82-ba40-234de879057e","","pass","Split HW","checklist","FALSE","FALSE","Stage 2 (B02)","Ground Floor","Area B","G 30","Split HW"
"e8eb2775-405b-41ec-a183-94afbbd26093","","pass","Ext Fan","checklist","FALSE","FALSE","Stage 2 (B02)","Ground Floor","Area B","G 30","Ext Fan"
"97eeca5b-c687-4021-983f-1cc5efcba482","","pass","Kitchen Ext","checklist","FALSE","FALSE","Stage 2 (B02)","Ground Floor","Area B","G 30","Kitchen Ext"
"da2ecc79-7265-4401-9eb1-b142f6890e7f","","pass","","folder","TRUE","FALSE","Stage 2 (B02)","Ground Floor","Area B","Bin"
"fa660438-6d8b-4119-9c3b-e40348b9cf23","","pass","Ext Fan","checklist","FALSE","FALSE","Stage 2 (B02)","Ground Floor","Area B","Bin","Ext Fan"
"aab3002b-532f-44fc-bee2-e20ab83c66dd","","work-in-progress","","folder","TRUE","FALSE","Stage 2 (B02)","Ground Floor","Area A"
"b32e871d-d36f-41eb-9968-939e2c00b4a2","","work-in-progress","","folder","TRUE","FALSE","Stage 2 (B02)","Ground Floor","Area A","Carpark Bin"
"f843be61-02d1-43d9-aedb-9fca2cea35ed","","work-in-progress","Ext Fan","checklist","FALSE","FALSE","Stage 2 (B02)","Ground Floor","Area A","Carpark Bin","Ext Fan"
"43cc89a7-277b-446a-99fb-097a3ad14769","","pass","","folder","TRUE","FALSE","Stage 2 (B02)","Ground Floor","Area A","Comms"
"84879a3b-cf0a-4c7a-9245-1805b9be9eea","","pass","Split HW","checklist","FALSE","FALSE","Stage 2 (B02)","Ground Floor","Area A","Comms","Split HW"
"58c0daee-7312-49d7-bf7a-90ba7a360044","","work-in-progress","","folder","TRUE","FALSE","Stage 2 (B02)","Level 1"
"4970c13f-7236-467a-b5a1-194396be4d9b","","work-in-progress","","folder","TRUE","FALSE","Stage 2 (B02)","Level 1","Area A"
"faa61f16-db37-40ac-80c3-d326d089d14f","","not-started","","folder","TRUE","FALSE","Stage 2 (B02)","Level 1","Area A","IA 131"
"03a5b686-62b8-43f2-9f7a-a39c12c1ecd7","","not-started","Split HW","checklist","FALSE","FALSE","Stage 2 (B02)","Level 1","Area A","IA 131","Split HW"
"75580ba7-09e2-4d3a-9474-6ac5f92c28b4","","not-started","Ext Fan","checklist","FALSE","FALSE","Stage 2 (B02)","Level 1","Area A","IA 131","Ext Fan"
"97d18484-c2f6-497e-939a-8e4b487d8c38","","not-started","Kitchen Ext","checklist","FALSE","FALSE","Stage 2 (B02)","Level 1","Area A","IA 131","Kitchen Ext"
"bd618f86-2fb4-4138-b2f0-1b7a4c5eccf4","","work-in-progress","","folder","TRUE","FALSE","Stage 2 (B02)","Level 1","Area A","IA 132"
"59649c80-3c4c-46c3-9c92-36d2c2a68991","","pass","Split HW","checklist","FALSE","FALSE","Stage 2 (B02)","Level 1","Area A","IA 132","Split HW"
"d8cdfc38-4db0-4d73-97ec-5dbf05157f4a","","work-in-progress","Ext Fan","checklist","FALSE","FALSE","Stage 2 (B02)","Level 1","Area A","IA 132","Ext Fan"
"eeeacfac-c42b-4a23-b40e-aed56ae8c994","","work-in-progress","Kitchen Ext","checklist","FALSE","FALSE","Stage 2 (B02)","Level 1","Area A","IA 132","Kitchen Ext"
"f0b3e7a0-c81f-414f-89b4-552e7fa68b74","","work-in-progress","","folder","TRUE","FALSE","Stage 2 (B02)","Level 1","Area A","IA 133"
"0c217030-8a13-46b0-b8a7-a066cdc9d00c","","work-in-progress","Split HW","checklist","FALSE","FALSE","Stage 2 (B02)","Level 1","Area A","IA 133","Split HW"
"a62c53c1-2753-487a-89ac-b31cdd3c6519","","work-in-progress","Ext Fan","checklist","FALSE","FALSE","Stage 2 (B02)","Level 1","Area A","IA 133","Ext Fan"
"be4f821a-0db0-4ad0-8f82-a3d261632ccc","","work-in-progress","Kitchen Ext","checklist","FALSE","FALSE","Stage 2 (B02)","Level 1","Area A","IA 133","Kitchen Ext"
"72a22992-b6f8-44a8-895c-08236f978ea9","","work-in-progress","","folder","TRUE","FALSE","Stage 2 (B02)","Level 1","Area A","IA 134"
"03b6e2a1-f8aa-45bb-9d8b-5e76efca3c10","","pass","Split HW","checklist","FALSE","FALSE","Stage 2 (B02)","Level 1","Area A","IA 134","Split HW"
"6756d7a8-3d6c-4221-90ca-c9509001446d","","pass","Ext Fan","checklist","FALSE","FALSE","Stage 2 (B02)","Level 1","Area A","IA 134","Ext Fan"
"3b2c05a5-b1dd-411c-af2e-6b149bcea72f","","work-in-progress","Kitchen Ext","checklist","FALSE","FALSE","Stage 2 (B02)","Level 1","Area A","IA 134","Kitchen Ext"
"f46c1665-4afc-45cc-9e90-08bf4647d324","","work-in-progress","","folder","TRUE","FALSE","Stage 2 (B02)","Level 1","Area A","IA 135"
"e0c35938-c1ad-4ddb-997f-d6dc58cc7450","","pass","Split HW","checklist","FALSE","FALSE","Stage 2 (B02)","Level 1","Area A","IA 135","Split HW"
"47291508-cb18-447f-8264-e9b1cea837d9","","pass","Ext Fan","checklist","FALSE","FALSE","Stage 2 (B02)","Level 1","Area A","IA 135","Ext Fan"
"11fb4d17-1072-49e5-b82e-36194e154aa6","","not-started","Kitchen Ext","checklist","FALSE","FALSE","Stage 2 (B02)","Level 1","Area A","IA 135","Kitchen Ext"
"b5e0919c-d871-436a-91cd-f3a0f01f11fd","","work-in-progress","","folder","TRUE","FALSE","Stage 2 (B02)","Level 1","Area A","IA 136"
"db6508c6-58f1-4e60-a288-7f81ac3bb198","","pass","Split HW","checklist","FALSE","FALSE","Stage 2 (B02)","Level 1","Area A","IA 136","Split HW"
"1d07b1cf-2cb3-4b8e-9213-00cb3db8a824","","pass","Ext Fan","checklist","FALSE","FALSE","Stage 2 (B02)","Level 1","Area A","IA 136","Ext Fan"
"daaa3fba-a17e-446b-af15-4dc833f0e73e","","work-in-progress","Kitchen Ext","checklist","FALSE","FALSE","Stage 2 (B02)","Level 1","Area A","IA 136","Kitchen Ext"
"43ebd6cc-c428-4380-a3c3-a733c6e3bb8e","","not-started","","folder","TRUE","FALSE","Stage 2 (B02)","Level 1","Area A","Bin"
"306f8315-4a34-46a5-b712-c33c872d1e43","","not-started","Ext Fan","checklist","FALSE","FALSE","Stage 2 (B02)","Level 1","Area A","Bin","Ext Fan"
"97e25f4c-e9ba-4984-9540-f9761cda9767","","not-started","","folder","TRUE","FALSE","Stage 2 (B02)","Level 1","Area A","SF1"
"2499fe57-158f-4a3a-9c16-5b786649efcc","","not-started","SA","checklist","FALSE","FALSE","Stage 2 (B02)","Level 1","Area A","SF1","SA"
"ec9e9625-1615-467b-8dc8-f121c9989cac","","work-in-progress","","folder","TRUE","FALSE","Stage 2 (B02)","Level 1","Area B"
"50d237e0-29da-47ac-b66c-011db12efea6","","work-in-progress","","folder","TRUE","FALSE","Stage 2 (B02)","Level 1","Area B","IA 125"
"38554934-3f98-48ac-b146-fd7c28260bf3","","work-in-progress","Split HW","checklist","FALSE","FALSE","Stage 2 (B02)","Level 1","Area B","IA 125","Split HW"
"b49ef93b-47e1-4731-b61f-569ad819ee01","","work-in-progress","Ext Fan","checklist","FALSE","FALSE","Stage 2 (B02)","Level 1","Area B","IA 125","Ext Fan"
"f0ae063c-c6e0-4697-9e87-7d2fe57df50c","","pass","Kitchen Ext","checklist","FALSE","FALSE","Stage 2 (B02)","Level 1","Area B","IA 125","Kitchen Ext"
"e2525b7b-1696-4e32-b8ba-388e9e7545a3","","work-in-progress","","folder","TRUE","FALSE","Stage 2 (B02)","Level 1","Area B","IA 126"
"ae1fae42-8b78-4ccc-8e7d-d516b8151e98","","work-in-progress","Split HW","checklist","FALSE","FALSE","Stage 2 (B02)","Level 1","Area B","IA 126","Split HW"
"910d0c75-4f0b-478b-b337-018c5174851b","","work-in-progress","Ext Fan","checklist","FALSE","FALSE","Stage 2 (B02)","Level 1","Area B","IA 126","Ext Fan"
"b4b9bc59-2d61-4bdf-9009-d2d586330cd5","","work-in-progress","Kitchen Ext","checklist","FALSE","FALSE","Stage 2 (B02)","Level 1","Area B","IA 126","Kitchen Ext"
"61bcbf0e-2161-449b-acbd-aaff025877d6","","work-in-progress","","folder","TRUE","FALSE","Stage 2 (B02)","Level 1","Area B","IA 127"
"b301d6df-c516-4fe0-b8b6-9e430a4e0c55","","work-in-progress","Split HW","checklist","FALSE","FALSE","Stage 2 (B02)","Level 1","Area B","IA 127","Split HW"
"1957c9fc-0a59-441e-8567-713548bde76a","","work-in-progress","Ext Fan","checklist","FALSE","FALSE","Stage 2 (B02)","Level 1","Area B","IA 127","Ext Fan"
"1d4d6a0e-1cad-4c20-8c8f-5ddef6471833","","work-in-progress","Kitchen Ext","checklist","FALSE","FALSE","Stage 2 (B02)","Level 1","Area B","IA 127","Kitchen Ext"
"80c5764c-f2ac-4f7f-ab93-596b28030797","","work-in-progress","","folder","TRUE","FALSE","Stage 2 (B02)","Level 1","Area B","IA 128"
"4272ae00-7c05-4f64-b2ba-94fcec287acf","","work-in-progress","Split HW","checklist","FALSE","FALSE","Stage 2 (B02)","Level 1","Area B","IA 128","Split HW"
"0a84b4dd-6577-42a6-ad99-881cfe0c5620","","work-in-progress","Ext Fan","checklist","FALSE","FALSE","Stage 2 (B02)","Level 1","Area B","IA 128","Ext Fan"
"7effe2ad-7a74-42af-beff-c3f2678aa1a9","","work-in-progress","Kitchen Ext","checklist","FALSE","FALSE","Stage 2 (B02)","Level 1","Area B","IA 128","Kitchen Ext"
"fd3718ec-2a62-415d-acd6-1a4a52633291","","work-in-progress","","folder","TRUE","FALSE","Stage 2 (B02)","Level 1","Area B","IA 129"
"d2d61c50-6c99-4f67-93e9-95a762765e3d","","work-in-progress","Split HW","checklist","FALSE","FALSE","Stage 2 (B02)","Level 1","Area B","IA 129","Split HW"
"347635cb-5610-413f-ab57-23fba37204d1","","work-in-progress","Ext Fan","checklist","FALSE","FALSE","Stage 2 (B02)","Level 1","Area B","IA 129","Ext Fan"
"5791909c-f77a-4a6b-8762-e0d210b1efed","","work-in-progress","Kitchen Ext","checklist","FALSE","FALSE","Stage 2 (B02)","Level 1","Area B","IA 129","Kitchen Ext"
"bb06afd5-824e-4b77-9d00-8120be8cd3ea","","work-in-progress","","folder","TRUE","FALSE","Stage 2 (B02)","Level 1","Area B","IA 130"
"8970ec55-c16d-4c42-8fac-80394a4e51b6","","work-in-progress","Split HW","checklist","FALSE","FALSE","Stage 2 (B02)","Level 1","Area B","IA 130","Split HW"
"3c6bf0f9-ebbc-43c7-943c-859d7b2d43a1","","work-in-progress","Ext Fan","checklist","FALSE","FALSE","Stage 2 (B02)","Level 1","Area B","IA 130","Ext Fan"
"7ffd8062-6f24-4104-b97b-b9ada67cc557","","work-in-progress","Kitchen Ext","checklist","FALSE","FALSE","Stage 2 (B02)","Level 1","Area B","IA 130","Kitchen Ext"
"aadaebc1-5953-4f06-889b-ccb47f983e62","","not-started","","folder","TRUE","FALSE","Stage 2 (B02)","Completion Documents"
"259b10c2-e105-48d3-9a75-36d895ca168d","","not-started","CST - S - Completion Documents","checklist","FALSE","FALSE","Stage 2 (B02)","Completion Documents","CST - S - Completion Documents"
"211d9f41-b27c-4376-b311-b9d79e259e9d","","work-in-progress","","folder","TRUE","FALSE","Stage 3 (B03)"
"a44ca416-fed7-47f8-8bb5-82e426f1076a","","work-in-progress","","folder","TRUE","FALSE","Stage 3 (B03)","Ground Floor"
"4aefdd95-b3b8-46b8-8aac-f403691983e5","","pass","","folder","TRUE","FALSE","Stage 3 (B03)","Ground Floor","Area A"
"caaa1fd5-8aca-4b2f-87c6-47322d0ca778","","pass","","folder","TRUE","FALSE","Stage 3 (B03)","Ground Floor","Area A","G13"
"e9c33e32-2368-40f5-9c46-f069921efa49","","pass","Split HW","checklist","FALSE","FALSE","Stage 3 (B03)","Ground Floor","Area A","G13","Split HW"
"2d593df6-1d38-4e37-87f4-139d33275d92","","pass","Ext Fan","checklist","FALSE","FALSE","Stage 3 (B03)","Ground Floor","Area A","G13","Ext Fan"
"cdb20ed1-9598-4afe-92c7-69bd85bdcde1","","pass","Kitchen Ext","checklist","FALSE","FALSE","Stage 3 (B03)","Ground Floor","Area A","G13","Kitchen Ext"
"8f5242bd-bfde-4973-a424-064d4635f822","","pass","","folder","TRUE","FALSE","Stage 3 (B03)","Ground Floor","Area A","G14"
"c03197ef-590d-4ab5-a451-c7c3c69ff28a","","pass","Split HW","checklist","FALSE","FALSE","Stage 3 (B03)","Ground Floor","Area A","G14","Split HW"
"7d3d7a2b-765b-4d79-8aea-6b43fb04d4f4","","pass","Ext Fan","checklist","FALSE","FALSE","Stage 3 (B03)","Ground Floor","Area A","G14","Ext Fan"
"fec281d6-2276-4f52-b1d8-9cfb941dbe59","","pass","Kitchen Ext","checklist","FALSE","FALSE","Stage 3 (B03)","Ground Floor","Area A","G14","Kitchen Ext"
"b3d92143-f97f-462e-b4c8-a88ef6d3a3aa","","pass","","folder","TRUE","FALSE","Stage 3 (B03)","Ground Floor","Area A","G15"
"2471c0d5-a19f-417d-b0bf-4004157b9300","","pass","Split HW","checklist","FALSE","FALSE","Stage 3 (B03)","Ground Floor","Area A","G15","Split HW"
"c07224f2-6649-40f1-85de-4fe3c24d17ae","","pass","Ext Fan","checklist","FALSE","FALSE","Stage 3 (B03)","Ground Floor","Area A","G15","Ext Fan"
"b35cef3a-4803-44f2-84ff-09064fdfd703","","pass","Kitchen Ext","checklist","FALSE","FALSE","Stage 3 (B03)","Ground Floor","Area A","G15","Kitchen Ext"
"7869b790-1448-4199-b213-e9ae87973b9f","","pass","","folder","TRUE","FALSE","Stage 3 (B03)","Ground Floor","Area A","G16"
"1f8a883f-8887-4da2-bea2-e6a23ca94590","","pass","Split HW","checklist","FALSE","FALSE","Stage 3 (B03)","Ground Floor","Area A","G16","Split HW"
"fa32b2a8-0c02-4d7c-9772-a6f3c3ca1e42","","pass","Ext Fan","checklist","FALSE","FALSE","Stage 3 (B03)","Ground Floor","Area A","G16","Ext Fan"
"9f4163ad-6c10-43ce-9cba-2cb18a01bcf9","","pass","Kitchen Ext","checklist","FALSE","FALSE","Stage 3 (B03)","Ground Floor","Area A","G16","Kitchen Ext"
"168b4722-d26a-4d57-a9eb-f4dd8171319e","","pass","","folder","TRUE","FALSE","Stage 3 (B03)","Ground Floor","Area A","G17"
"d54788f1-bd56-4a2a-a1a1-bbf6c61c009c","","pass","Split HW","checklist","FALSE","FALSE","Stage 3 (B03)","Ground Floor","Area A","G17","Split HW"
"55aceeef-0cb3-401c-8c9c-bc12109cb5ba","","pass","Ext Fan","checklist","FALSE","FALSE","Stage 3 (B03)","Ground Floor","Area A","G17","Ext Fan"
"7fa1acf3-452a-495d-91ae-a9d3d1283298","","pass","Kitchen Ext","checklist","FALSE","FALSE","Stage 3 (B03)","Ground Floor","Area A","G17","Kitchen Ext"
"22783019-abed-4774-9681-285fb987a25c","","pass","","folder","TRUE","FALSE","Stage 3 (B03)","Ground Floor","Area A","G18"
"8e508ff8-a655-4d06-9b1a-a2f77164a43b","","pass","Split HW","checklist","FALSE","FALSE","Stage 3 (B03)","Ground Floor","Area A","G18","Split HW"
"d445fbba-8048-41b7-a092-343cc3ec53a3","","pass","Ext Fan","checklist","FALSE","FALSE","Stage 3 (B03)","Ground Floor","Area A","G18","Ext Fan"
"83a40f1f-85e6-4535-ae5d-99363904436d","","pass","Kitchen Ext","checklist","FALSE","FALSE","Stage 3 (B03)","Ground Floor","Area A","G18","Kitchen Ext"
"be46043e-ff35-4c49-a567-36409563f016","","pass","","folder","TRUE","FALSE","Stage 3 (B03)","Ground Floor","Area A","Bin"
"92d0485c-af82-4501-860a-faea430ae2c4","","pass","Ext Fan","checklist","FALSE","FALSE","Stage 3 (B03)","Ground Floor","Area A","Bin","Ext Fan"
"1930af99-9341-4cfc-9e79-ce1830e6a2fb","","work-in-progress","","folder","TRUE","FALSE","Stage 3 (B03)","Ground Floor","Area B"
"fc9b6f00-5af3-448b-b03a-a4c42f9e6e59","","pass","","folder","TRUE","FALSE","Stage 3 (B03)","Ground Floor","Area B","Carpark Bin"
"8c11ec7c-5e59-4ea1-97a9-8d2e9b73acfe","","pass","Ext Fan","checklist","FALSE","FALSE","Stage 3 (B03)","Ground Floor","Area B","Carpark Bin","Ext Fan"
"b5410587-b97c-4acc-8ca2-1854b99c95a7","","not-started","","folder","TRUE","FALSE","Stage 3 (B03)","Ground Floor","Area B","Comms"
"ed36460c-ac23-48e5-aa11-78504a164a57","","not-started","Split HW","checklist","FALSE","FALSE","Stage 3 (B03)","Ground Floor","Area B","Comms","Split HW"
"c57bc200-eda2-4e0a-8bd6-bc45d3845569","","work-in-progress","","folder","TRUE","FALSE","Stage 3 (B03)","Level 1"
"749a60c3-2211-41e4-bc76-950ff6587922","","work-in-progress","","folder","TRUE","FALSE","Stage 3 (B03)","Level 1","Area A"
"5e2dae28-7401-4d31-8b77-ec4a4427dc40","","work-in-progress","","folder","TRUE","FALSE","Stage 3 (B03)","Level 1","Area A","IA 119"
"cab39018-a2b4-4551-85cd-8dcbd10f1e05","","work-in-progress","Split HW","checklist","FALSE","FALSE","Stage 3 (B03)","Level 1","Area A","IA 119","Split HW"
"d07b3799-6a6b-4405-8706-4775d62ea974","","work-in-progress","Ext Fan","checklist","FALSE","FALSE","Stage 3 (B03)","Level 1","Area A","IA 119","Ext Fan"
"828866f0-9688-4c88-a2fa-9b11b5035790","","work-in-progress","Kitchen Ext","checklist","FALSE","FALSE","Stage 3 (B03)","Level 1","Area A","IA 119","Kitchen Ext"
"fac40900-a806-4245-8a70-5021ca7232a1","","work-in-progress","","folder","TRUE","FALSE","Stage 3 (B03)","Level 1","Area A","IA 120"
"e0be93e7-a55e-4acd-8be0-42b75c694f8d","","work-in-progress","Split HW","checklist","FALSE","FALSE","Stage 3 (B03)","Level 1","Area A","IA 120","Split HW"
"564faf52-d53a-4bd2-9dd1-f42b7f177047","","work-in-progress","Ext Fan","checklist","FALSE","FALSE","Stage 3 (B03)","Level 1","Area A","IA 120","Ext Fan"
"2cf49143-1dca-4eac-9294-97956bccfdc0","","work-in-progress","Kitchen Ext","checklist","FALSE","FALSE","Stage 3 (B03)","Level 1","Area A","IA 120","Kitchen Ext"
"2652c829-86e0-460b-a364-f669b6a49150","","work-in-progress","","folder","TRUE","FALSE","Stage 3 (B03)","Level 1","Area A","IA 121"
"2b06e394-ffa6-4828-bb03-28b3bb0a8d9a","","work-in-progress","Split HW","checklist","FALSE","FALSE","Stage 3 (B03)","Level 1","Area A","IA 121","Split HW"
"7e98ff36-efc8-41e4-909d-85c7896f2f84","","work-in-progress","Ext Fan","checklist","FALSE","FALSE","Stage 3 (B03)","Level 1","Area A","IA 121","Ext Fan"
"2b5455bd-9915-4f2e-8fd4-06eb42c11cab","","work-in-progress","Kitchen Ext","checklist","FALSE","FALSE","Stage 3 (B03)","Level 1","Area A","IA 121","Kitchen Ext"
"ecce9ac4-109a-4815-875e-fc274057ee49","","work-in-progress","","folder","TRUE","FALSE","Stage 3 (B03)","Level 1","Area A","IA 122"
"f9136eb0-34cb-4ae9-b00e-8334dd9da6b0","","work-in-progress","Split HW","checklist","FALSE","FALSE","Stage 3 (B03)","Level 1","Area A","IA 122","Split HW"
"0cfe9573-04d6-4bfc-8917-ab7514050743","","work-in-progress","Ext Fan","checklist","FALSE","FALSE","Stage 3 (B03)","Level 1","Area A","IA 122","Ext Fan"
"18194d03-a60f-4427-896b-ddb897786f5e","","work-in-progress","Kitchen Ext","checklist","FALSE","FALSE","Stage 3 (B03)","Level 1","Area A","IA 122","Kitchen Ext"
"ffb76581-af9d-4079-9ce8-c3eb41157eeb","","work-in-progress","","folder","TRUE","FALSE","Stage 3 (B03)","Level 1","Area A","IA 123"
"331fb4a4-038e-421a-bc77-8d8fc57b0f3d","","work-in-progress","Split HW","checklist","FALSE","FALSE","Stage 3 (B03)","Level 1","Area A","IA 123","Split HW"
"c9d6723c-0a52-4caa-b78d-f0a77731156a","","work-in-progress","Ext Fan","checklist","FALSE","FALSE","Stage 3 (B03)","Level 1","Area A","IA 123","Ext Fan"
"45ecb2df-fd9b-4781-87ae-68c9b97d7d64","","work-in-progress","Kitchen Ext","checklist","FALSE","FALSE","Stage 3 (B03)","Level 1","Area A","IA 123","Kitchen Ext"
"13cf90ed-6269-4504-93d3-3e8726e12029","","work-in-progress","","folder","TRUE","FALSE","Stage 3 (B03)","Level 1","Area A","IA 124"
"e6e56370-f095-41c3-8db2-c5f17e2af14c","","work-in-progress","Split HW","checklist","FALSE","FALSE","Stage 3 (B03)","Level 1","Area A","IA 124","Split HW"
"158095a7-12fd-4d63-86dc-448b023c1fab","","work-in-progress","Ext Fan","checklist","FALSE","FALSE","Stage 3 (B03)","Level 1","Area A","IA 124","Ext Fan"
"b1f9af13-c2d1-4dce-9a7c-294d0ddce6f8","","work-in-progress","Kitchen Ext","checklist","FALSE","FALSE","Stage 3 (B03)","Level 1","Area A","IA 124","Kitchen Ext"
"fed08f28-6ecc-444a-b8e3-9843c951eb0e","","pass","","folder","TRUE","FALSE","Stage 3 (B03)","Level 1","Area A","Bin"
"e1856318-235c-48d4-8b4a-70b39468f9cc","","pass","Ext Fan","checklist","FALSE","FALSE","Stage 3 (B03)","Level 1","Area A","Bin","Ext Fan"
"5f09204e-ad9a-423b-a057-dafe68095696","","pass","","folder","TRUE","FALSE","Stage 3 (B03)","Level 1","Area A","SF1"
"b2f025da-5ae2-4fbe-b8e2-9e55e03ea329","","pass","SA","checklist","FALSE","FALSE","Stage 3 (B03)","Level 1","Area A","SF1","SA"
"1fd55483-06b8-4977-a55e-443dc2486aaa","","pass","","folder","TRUE","FALSE","Stage 3 (B03)","Level 1","Area B"
"671f3296-ee86-4b17-ae52-f728b0ad4adf","","pass","","folder","TRUE","FALSE","Stage 3 (B03)","Level 1","Area B","IA 113"
"1f722eb0-551f-473a-bb74-30ad3f593502","","pass","Split HW","checklist","FALSE","FALSE","Stage 3 (B03)","Level 1","Area B","IA 113","Split HW"
"0d48036a-e6b5-4b5b-89e8-d6c4eb9e08c8","","pass","Ext Fan","checklist","FALSE","FALSE","Stage 3 (B03)","Level 1","Area B","IA 113","Ext Fan"
"64af5d59-1d1d-4f17-8f7d-7c65f96c078f","","pass","Kitchen Ext","checklist","FALSE","FALSE","Stage 3 (B03)","Level 1","Area B","IA 113","Kitchen Ext"
"09b3d85e-5c55-43bd-9e5a-d5a57e93a7a5","","pass","","folder","TRUE","FALSE","Stage 3 (B03)","Level 1","Area B","IA 114"
"e40ca42e-1e1c-4b02-acf8-002e84f5249a","","pass","Split HW","checklist","FALSE","FALSE","Stage 3 (B03)","Level 1","Area B","IA 114","Split HW"
"a0863f75-5e7a-421e-846f-e3ba44284219","","pass","Ext Fan","checklist","FALSE","FALSE","Stage 3 (B03)","Level 1","Area B","IA 114","Ext Fan"
"c647bb4a-8a05-4000-ad26-0e1b07bdb264","","pass","Kitchen Ext","checklist","FALSE","FALSE","Stage 3 (B03)","Level 1","Area B","IA 114","Kitchen Ext"
