"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f951413b-4152-46ae-ad16-058e88dee927","","folder-normal","work-in-progress","","step","TRUE","FALSE","Facade QA"
"963e5152-fd63-4f9a-8515-5350c28124b9","","folder-normal","work-in-progress","","step","TRUE","FALSE","Facade QA","South Elevation"
"1f7bbd21-96e7-4947-9f4c-1d8f44122de2","","folder-normal","work-in-progress","","step","TRUE","FALSE","Facade QA","South Elevation","Level 1"
"14029612-fd75-505e-8ee1-d8b96ca24685","","folder-normal","not-started","","step","TRUE","FALSE","Facade QA","South Elevation","Level 1","Panel Identification number"
"aa56cfa6-9710-59fc-aca0-68430e22a494","","checklist-sectioned","not-started","Panel Placement Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel Identification number","Panel Placement"
"07699581-d0ca-5919-87e7-61d640a0bc52","","checklist-sectioned","not-started","Flashing Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel Identification number","Flashing Installation"
"cb85be49-588b-5922-b11c-d343bec84549","","checklist-sectioned","not-started","Glass Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel Identification number","Glass Installation"
"90f175fe-f716-53d6-864e-572e25f4711d","","checklist-sectioned","not-started","Infill Horizontal / Vertical Cavity Barrier Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel Identification number","Infill Horizontal / Vertical Cavity Barrier Installation"
"6605b8ea-69a9-5971-9060-8778b83b279f","","checklist-sectioned","not-started","Infill Insulation Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel Identification number","Infill Insulation Installation"
"3093a7ac-99a6-55d8-9851-89e4a8e8edc9","","checklist-sectioned","not-started","Infill Top Hat Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel Identification number","Infill Top Hat Installation"
"ccb57cbd-3efc-5a8f-8f70-f4bf0e5c7755","","checklist-sectioned","not-started","Infill Cladding Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel Identification number","Infill Cladding Installation"
"4e75e10e-783d-53ea-9ea2-03476494e3e6","","folder-normal","not-started","","step","TRUE","FALSE","Facade QA","South Elevation","Level 1","Panel Identification number"
"11419c8b-67be-5054-82b9-3960ded7d203","","checklist-sectioned","not-started","Panel Delivery Quality Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel Identification number","Panel Delivery"
"78402035-469e-5ef3-aacd-6a2abaae55ed","","checklist-sectioned","not-started","Panel Placement Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel Identification number","Panel Placement"
"8fe433ec-2599-5ef1-bdbc-d0b63dd62f83","","checklist-sectioned","not-started","Flashing Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel Identification number","Flashing Installation"
"71496177-528b-5ee0-8c5b-bb22ed278dba","","checklist-sectioned","not-started","Glass Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel Identification number","Glass Installation"
"f8be7e49-a636-57b6-aff3-d08e02a928d4","","checklist-sectioned","not-started","Infill Horizontal / Vertical Cavity Barrier Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel Identification number","Infill Horizontal / Vertical Cavity Barrier Installation"
"89b134a2-01af-5145-9b54-3250ead3dcf0","","checklist-sectioned","not-started","Infill Insulation Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel Identification number","Infill Insulation Installation"
"4553caf8-47ce-5ca8-9ce4-291def8aa541","","checklist-sectioned","not-started","Infill Top Hat Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel Identification number","Infill Top Hat Installation"
"b0489834-2912-5893-a39a-4cf9f25150c3","","checklist-sectioned","not-started","Infill Cladding Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel Identification number","Infill Cladding Installation"
"6691d94e-a894-59f7-a39c-83564be03fe3","","folder-normal","not-started","","step","TRUE","FALSE","Facade QA","South Elevation","Level 1","Panel L01 - 010"
"ea76175e-406f-5e52-9307-d735f8828619","","checklist-sectioned","not-started","Panel Delivery Quality Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel L01 - 010","Panel Delivery"
"d65910dd-0178-5e73-85bf-487b1f84ea73","","checklist-sectioned","not-started","Panel Placement Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel L01 - 010","Panel Placement"
"85492bdd-1262-5ca9-8b40-2b25073dd981","","checklist-sectioned","not-started","Flashing Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel L01 - 010","Flashing Installation"
"1f30766e-7102-5e2a-b226-483c188ceaa7","","checklist-sectioned","not-started","Glass Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel L01 - 010","Glass Installation"
"6ae5f798-cb77-5f6f-b71a-bc893ca1fedc","","checklist-sectioned","not-started","Infill Horizontal / Vertical Cavity Barrier Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel L01 - 010","Infill Horizontal / Vertical Cavity Barrier Installation"
"482bd0c5-8cae-5380-8440-18a2232a8765","","checklist-sectioned","not-started","Infill Insulation Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel L01 - 010","Infill Insulation Installation"
"94ea58eb-806b-56a0-82dd-072e967c5312","","checklist-sectioned","not-started","Infill Top Hat Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel L01 - 010","Infill Top Hat Installation"
"07ee39d3-1955-5fa8-89de-30d93f80a89c","","checklist-sectioned","not-started","Infill Cladding Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel L01 - 010","Infill Cladding Installation"
"af488a23-ad38-5e15-ae33-e57193cb49ef","","folder-normal","not-started","","step","TRUE","FALSE","Facade QA","South Elevation","Level 1","Panel L01 - 011"
"5fa73c3f-0478-5c8e-b8a3-72fe8d9ab309","","checklist-sectioned","not-started","Panel Delivery Quality Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel L01 - 011","Panel Delivery"
"90e5b3d8-3b82-54f6-b11f-cab671190ee6","","checklist-sectioned","not-started","Panel Placement Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel L01 - 011","Panel Placement"
"592226e6-2ac5-52e7-8077-a07a82eb2a8f","","checklist-sectioned","not-started","Flashing Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel L01 - 011","Flashing Installation"
"25c3efee-d8ae-5fe4-9957-b9d007a223a8","","checklist-sectioned","not-started","Glass Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel L01 - 011","Glass Installation"
"e0f1f738-9612-544d-8e44-37bbef06ff75","","checklist-sectioned","not-started","Infill Horizontal / Vertical Cavity Barrier Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel L01 - 011","Infill Horizontal / Vertical Cavity Barrier Installation"
"35256ed6-0925-5df6-a358-dcd6783950d4","","checklist-sectioned","not-started","Infill Insulation Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel L01 - 011","Infill Insulation Installation"
"8b18ec05-90d6-5c01-8736-ca5c58160443","","checklist-sectioned","not-started","Infill Top Hat Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel L01 - 011","Infill Top Hat Installation"
"9075baa4-78e8-5668-a484-b82e75961a26","","checklist-sectioned","not-started","Infill Cladding Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel L01 - 011","Infill Cladding Installation"
"c8cbb214-971b-5c1a-84e3-31c9b677c3ee","","folder-normal","work-in-progress","","step","TRUE","FALSE","Facade QA","South Elevation","Level 1","Panel L01 - 012"
"88c6bda4-3e73-5415-9bbd-3a770bbeeb1f","","checklist-sectioned","pass","Panel Delivery Quality Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel L01 - 012","Panel Delivery"
"636e2244-9c42-5971-af26-f64d6c5e9286","","checklist-sectioned","work-in-progress","Panel Placement Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel L01 - 012","Panel Placement"
"9f38e104-b6e4-5380-a335-8ed87e24e9cf","","checklist-sectioned","not-started","Flashing Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel L01 - 012","Flashing Installation"
"bec75a99-d9e2-53e8-95a2-f783ec739a04","","checklist-sectioned","not-started","Glass Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel L01 - 012","Glass Installation"
"c3dbab01-5bf2-5a5c-b32d-63fba4abb752","","checklist-sectioned","not-started","Infill Horizontal / Vertical Cavity Barrier Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel L01 - 012","Infill Horizontal / Vertical Cavity Barrier Installation"
"5916069b-0801-59c0-9f5a-9bc271ed9569","","checklist-sectioned","not-started","Infill Insulation Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel L01 - 012","Infill Insulation Installation"
"2a1cf97d-4996-56b8-9a05-9c4ffc205022","","checklist-sectioned","not-started","Infill Top Hat Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel L01 - 012","Infill Top Hat Installation"
"d288f0cd-2b78-5971-b587-8df943fca4dd","","checklist-sectioned","not-started","Infill Cladding Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel L01 - 012","Infill Cladding Installation"
"0d5dc982-b2db-4c81-b483-21b70de00b98","","folder-normal","work-in-progress","","step","TRUE","FALSE","Facade QA","South Elevation","Level 1","Panel L01 - 013"
"b0731f5f-b202-4fee-8b61-f5d7dc444ed4","","checklist-sectioned","pass","Panel Delivery Quality Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel L01 - 013","Panel Delivery"
"d3f90c49-b7b0-439c-a5c7-36b04f48771d","","checklist-sectioned","work-in-progress","Panel Placement Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel L01 - 013","Panel Placement"
"80ac9675-5879-4f8f-851d-e084d7109e28","","checklist-sectioned","work-in-progress","Flashing Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel L01 - 013","Flashing Installation"
"d19d129f-f31f-4dbd-bc6a-121868b2d9ca","","checklist-sectioned","pass","Glass Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel L01 - 013","Glass Installation"
"658789ac-0804-4800-b45a-8c36d727d0f2","","checklist-sectioned","not-applicable","Infill Horizontal / Vertical Cavity Barrier Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel L01 - 013","Infill Horizontal / Vertical Cavity Barrier Installation"
"30cdc318-e05e-468e-88f6-27eff2045af8","","checklist-sectioned","pass","Infill Insulation Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel L01 - 013","Infill Insulation Installation"
"9994e68f-5c11-4b56-bf77-130c84b6d8ab","","checklist-sectioned","pass","Infill Top Hat Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel L01 - 013","Infill Top Hat Installation"
"80579942-d05e-43ce-91b0-65ea3675c042","","checklist-sectioned","not-started","Infill Cladding Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 1","Panel L01 - 013","Infill Cladding Installation"
"3649e580-6ed8-4fd3-a676-8987f2e689e1","","folder-normal","not-started","","step","TRUE","FALSE","Facade QA","South Elevation","Level 2"
"be6a00e3-0b69-4f09-a38d-2d09b4951c75","","folder-normal","not-started","","step","TRUE","FALSE","Facade QA","South Elevation","Level 2","Panel L02 - 013"
"0daa09e2-ab29-478a-ac5e-ce2a5a35147b","","checklist-sectioned","not-started","Panel Delivery Quality Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 2","Panel L02 - 013","Panel Delivery Quality Checklist"
"6e5ad9fa-ea4c-4933-8d1d-dc705d3c9cba","","checklist-sectioned","not-started","Panel Placement Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 2","Panel L02 - 013","Panel Placement Checklist"
"86c3cf10-44aa-4478-9c77-d46b15225061","","checklist-sectioned","not-started","Flashing Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 2","Panel L02 - 013","Flashing Installation Checklist"
"ac045e9e-d87d-4c3a-8b81-b03498d7e84e","","checklist-sectioned","not-started","Glass Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 2","Panel L02 - 013","Glass Installation Checklist"
"a306d48f-bc7e-4c60-9b51-b69c9df8df56","","checklist-sectioned","not-started","Infill Horizontal / Vertical Cavity Barrier Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 2","Panel L02 - 013","Infill Horizontal / Vertical Cavity Barrier Installation Checklist"
"edcaf7ca-287b-4fe8-ba81-6b73e4cf5e34","","checklist-sectioned","not-started","Infill Insulation Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 2","Panel L02 - 013","Infill Insulation Installation Checklist"
"6cc75375-70a4-468a-baa0-4bf0e731479e","","checklist-sectioned","not-started","Infill Top Hat Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 2","Panel L02 - 013","Infill Top Hat Installation Checklist"
"bd0ff786-7277-4067-af85-51c204b1ea09","","checklist-sectioned","not-started","Infill Cladding Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 2","Panel L02 - 013","Infill Cladding Installation Checklist"
"38b90913-5a64-4edc-9a52-09708ee736cf","","folder-normal","not-started","","step","TRUE","FALSE","Facade QA","South Elevation","Level 2","Panel L02 - 012"
"a8c3abaf-64b2-4b36-9582-54c2114ad405","","checklist-sectioned","not-started","Panel Delivery Quality Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 2","Panel L02 - 012","Panel Delivery Quality Checklist"
"102a503e-d667-45ea-8d1c-a037ceee13a0","","checklist-sectioned","not-started","Panel Placement Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 2","Panel L02 - 012","Panel Placement Checklist"
"76edcab4-d357-4089-879d-3370d73d1f23","","checklist-sectioned","not-started","Flashing Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 2","Panel L02 - 012","Flashing Installation Checklist"
"d57c7281-d26b-478a-a617-b6c23630c632","","checklist-sectioned","not-started","Glass Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 2","Panel L02 - 012","Glass Installation Checklist"
"a9fc29fa-34e9-43fc-bffb-e19a56dca775","","checklist-sectioned","not-started","Infill Horizontal / Vertical Cavity Barrier Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 2","Panel L02 - 012","Infill Horizontal / Vertical Cavity Barrier Installation Checklist"
"a105c081-7274-4964-827b-d9f513627438","","checklist-sectioned","not-started","Infill Insulation Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 2","Panel L02 - 012","Infill Insulation Installation Checklist"
"01fde079-d6fd-4d34-9667-af7708e6edad","","checklist-sectioned","not-started","Infill Top Hat Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 2","Panel L02 - 012","Infill Top Hat Installation Checklist"
"57cf3bf3-0612-4600-9409-f8d4987e006c","","checklist-sectioned","not-started","Infill Cladding Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 2","Panel L02 - 012","Infill Cladding Installation Checklist"
"6d0fd549-587a-41ef-9718-d9adc9e39625","","folder-normal","not-started","","step","TRUE","FALSE","Facade QA","South Elevation","Level 2","Panel L02 - 011"
"b98bba2c-4b3b-4d48-be74-8850fddebae7","","checklist-sectioned","not-started","Panel Delivery Quality Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 2","Panel L02 - 011","Panel Delivery Quality Checklist"
"fc377add-15a4-457d-b997-d678218e1836","","checklist-sectioned","not-started","Panel Placement Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 2","Panel L02 - 011","Panel Placement Checklist"
"0e4cd3a2-538b-4e34-9d83-9272a6b2880c","","checklist-sectioned","not-started","Flashing Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 2","Panel L02 - 011","Flashing Installation Checklist"
"4294299b-310d-44c6-bf3d-78b87b52b5b9","","checklist-sectioned","not-started","Glass Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 2","Panel L02 - 011","Glass Installation Checklist"
"0a191f40-2995-47e0-a462-d1a19c716a95","","checklist-sectioned","not-started","Infill Horizontal / Vertical Cavity Barrier Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 2","Panel L02 - 011","Infill Horizontal / Vertical Cavity Barrier Installation Checklist"
"60a0de0f-fc75-46dd-81c8-dacb944fafba","","checklist-sectioned","not-started","Infill Insulation Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 2","Panel L02 - 011","Infill Insulation Installation Checklist"
"ab5dbb44-009e-4c20-b6d2-3fe3cf1740b5","","checklist-sectioned","not-started","Infill Top Hat Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 2","Panel L02 - 011","Infill Top Hat Installation Checklist"
"b9dfd822-fac3-4599-b775-0843d6067db3","","checklist-sectioned","not-started","Infill Cladding Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 2","Panel L02 - 011","Infill Cladding Installation Checklist"
"0e04ccfb-b3d0-4099-ad8b-d544a22d366b","","folder-normal","not-started","","step","TRUE","FALSE","Facade QA","South Elevation","Level 3"
"354f38bb-6a5c-464f-a979-ee10273d7ff8","","folder-normal","not-started","","step","TRUE","FALSE","Facade QA","South Elevation","Level 3","Panel L03 - 013"
"c3a2c7d0-2095-48c3-8029-cd83d741f691","","checklist-sectioned","not-started","Panel Delivery Quality Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 3","Panel L03 - 013","Panel Delivery Quality Checklist"
"cfa7fcbc-e94b-4d10-a1a2-b39b101fe1d6","","checklist-sectioned","not-started","Panel Placement Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 3","Panel L03 - 013","Panel Placement Checklist"
"d3a3b679-a750-4753-80fa-24d8939e452e","","checklist-sectioned","not-started","Flashing Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 3","Panel L03 - 013","Flashing Installation Checklist"
"edf1b800-32e6-47f6-9fec-07185046efb1","","checklist-sectioned","not-started","Glass Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 3","Panel L03 - 013","Glass Installation Checklist"
"8b1239e9-7a01-48c5-9931-c5b9f21e0b03","","checklist-sectioned","not-started","Infill Horizontal / Vertical Cavity Barrier Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 3","Panel L03 - 013","Infill Horizontal / Vertical Cavity Barrier Installation Checklist"
"4afcd977-b96d-456a-959a-c8c6381e58d2","","checklist-sectioned","not-started","Infill Insulation Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 3","Panel L03 - 013","Infill Insulation Installation Checklist"
"ab323a87-e835-4bcd-aa7e-0408926a5738","","checklist-sectioned","not-started","Infill Top Hat Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 3","Panel L03 - 013","Infill Top Hat Installation Checklist"
"b7d2e508-5297-41cf-926e-cdf11640dbec","","checklist-sectioned","not-started","Infill Cladding Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 3","Panel L03 - 013","Infill Cladding Installation Checklist"
"d5790dcd-45aa-4906-a4de-c56934c9ae6d","","folder-normal","not-started","","step","TRUE","FALSE","Facade QA","South Elevation","Level 3","Panel L03 - 012"
"bf1a1b9e-ac2d-4d12-9ef1-059f68d023e9","","checklist-sectioned","not-started","Panel Delivery Quality Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 3","Panel L03 - 012","Panel Delivery Quality Checklist"
"a546eb18-4647-47b4-ac4c-ccd17dd4f765","","checklist-sectioned","not-started","Panel Placement Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 3","Panel L03 - 012","Panel Placement Checklist"
"1994a38b-4eff-4d6b-8cee-0256c01f28d3","","checklist-sectioned","not-started","Flashing Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 3","Panel L03 - 012","Flashing Installation Checklist"
"b6885c86-c2d5-48ca-b925-c573cb456afa","","checklist-sectioned","not-started","Glass Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 3","Panel L03 - 012","Glass Installation Checklist"
"eb705d8f-bf3f-4fb5-b70f-07acfbb45a14","","checklist-sectioned","not-started","Infill Horizontal / Vertical Cavity Barrier Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 3","Panel L03 - 012","Infill Horizontal / Vertical Cavity Barrier Installation Checklist"
"698a04db-3765-4717-9a6f-f174f2b88dc7","","checklist-sectioned","not-started","Infill Insulation Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 3","Panel L03 - 012","Infill Insulation Installation Checklist"
"fbc6632c-b320-44e1-b6fb-690e043bc823","","checklist-sectioned","not-started","Infill Top Hat Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 3","Panel L03 - 012","Infill Top Hat Installation Checklist"
"ab38654c-040f-4665-afb4-e98fdc1caf2f","","checklist-sectioned","not-started","Infill Cladding Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 3","Panel L03 - 012","Infill Cladding Installation Checklist"
"a01b8957-d4d3-48dc-8aaa-81b604bb056f","","folder-normal","not-started","","step","TRUE","FALSE","Facade QA","South Elevation","Level 3","Panel L03 - 011"
"27489601-f3ac-4f76-aeb6-7517b47c2ff2","","checklist-sectioned","not-started","Panel Delivery Quality Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 3","Panel L03 - 011","Panel Delivery Quality Checklist"
"0901ed00-d10f-4a1c-a1b0-514430a87e4d","","checklist-sectioned","not-started","Panel Placement Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 3","Panel L03 - 011","Panel Placement Checklist"
"c4ebc1d2-8593-4f6d-b031-79c0b17c313f","","checklist-sectioned","not-started","Flashing Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 3","Panel L03 - 011","Flashing Installation Checklist"
"c841b3e4-be82-42d9-a37e-b1d8fd708351","","checklist-sectioned","not-started","Glass Installation Checklist","checklist","FALSE","FALSE","Facade QA","South Elevation","Level 3","Panel L03 - 011","Glass Installation Checklist"
