"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"27b04da3-f2df-4258-bd8c-ecb93b158f32","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"fc2a1d22-e068-4438-b035-819f67b63e89","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building"
"8869dba3-c41d-4f0c-95ce-1153ce1545f7","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Ground floor"
"d050f0e6-62c6-40b3-addb-3b7d7985f336","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Ground floor","Corridor"
"b74823be-9ad7-457a-bfdf-617389852a61","","not-started","Door Frame Grouting","checklist","FALSE","FALSE","Site QA","Building","Level 6","602","Door Frame Grouting"
"640146df-3e1a-451c-bf0a-4a7d401ae6c3","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 6","603"
"07d2027f-5ac7-409b-b679-afaa95382676","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 6","603","Plastering & Internal Hebel/Alpha panel/speed panel"
"df431f37-4ee9-4f78-b16f-c9285346073e","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 6","603","External Alpha panel/cladding walls"
"371fd81c-174f-4c5e-be98-a88be64f859e","","not-started","Door Frame Grouting","checklist","FALSE","FALSE","Site QA","Building","Level 6","603","Door Frame Grouting"
"50557191-6273-4142-a5d3-a91ad8750cbc","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 7"
"6f932202-b007-482d-bc0a-967f27b11bdb","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 7","Corridor"
"53640ac8-875a-4ff8-a122-c431b60b4950","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 7","Corridor","Plastering & Internal Hebel/Alpha panel/speed panel"
"f4150527-1faa-4815-a8c1-a3819bd2e166","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 7","Corridor","External Alpha panel/cladding walls"
"27300e86-be66-416b-ac4c-822abd4773f8","","not-started","Door Frame Grouting","checklist","FALSE","FALSE","Site QA","Building","Level 7","Corridor","Door Frame Grouting"
"3c9de7ae-1287-4028-8273-b06b6d2adfe2","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 7","701"
"44f670e9-88ca-4163-abea-f431cd2359f4","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 7","701","Plastering & Internal Hebel/Alpha panel/speed panel"
"15429dd7-0cbc-4606-b63c-4a6e9875ac5e","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 7","701","External Alpha panel/cladding walls"
"af98cfc4-866a-4b4e-9723-87c39b1acbf3","","not-started","Door Frame Grouting","checklist","FALSE","FALSE","Site QA","Building","Level 7","701","Door Frame Grouting"
"002297c8-65ef-4166-8972-2eaaf0a8dda2","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 7","702"
"522d2a28-9a66-4d92-9c0f-1998075a1dab","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 7","702","Plastering & Internal Hebel/Alpha panel/speed panel"
"781b631c-0f06-46a5-bc64-2e03ed550ee6","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 7","702","External Alpha panel/cladding walls"
"3999a8e9-2cb9-40e0-bccd-54be0ab82213","","not-started","Door Frame Grouting","checklist","FALSE","FALSE","Site QA","Building","Level 7","702","Door Frame Grouting"
"7cc389ac-87bc-4b42-b1af-b3f31472de0b","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 8"
"6d003913-bfc4-4332-a437-582976de9484","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 8","Corridor"
"dcbb6241-43d4-4d66-ac97-a70f64382746","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 8","Corridor","Plastering & Internal Hebel/Alpha panel/speed panel"
"c2a55439-9ddd-44e8-8040-669108c0adc1","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 8","Corridor","External Alpha panel/cladding walls"
"806fc0cf-aeb8-4362-bdc4-b7b872ce8be9","","not-started","Door Frame Grouting","checklist","FALSE","FALSE","Site QA","Building","Level 8","Corridor","Door Frame Grouting"
"6b3653fc-ef40-4b12-a431-ef5e800e1c93","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 8","801"
"1a985d7d-3a5b-4bb4-abd3-53ec7787df97","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 8","801","Plastering & Internal Hebel/Alpha panel/speed panel"
"3fe0b8d8-73f9-4da6-acc3-69967060a8ca","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 8","801","External Alpha panel/cladding walls"
"af1923a9-b0c6-4650-b023-569ab423ee96","","not-started","Door Frame Grouting","checklist","FALSE","FALSE","Site QA","Building","Level 8","801","Door Frame Grouting"
"8286ed49-4159-4f0c-be3c-c630afb81bd3","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 8","802"
"d1883417-9e7c-418c-985a-b4ef63af2614","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 8","802","Plastering & Internal Hebel/Alpha panel/speed panel"
"c1a79eb3-a995-42e5-ab1d-ac1ca7c934e4","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 8","802","External Alpha panel/cladding walls"
"41c6262f-5098-456c-86a6-67a71228e972","","not-started","Door Frame Grouting","checklist","FALSE","FALSE","Site QA","Building","Level 8","802","Door Frame Grouting"
"b24b8c7c-7f48-40b9-b959-39f7fdf663f5","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 9"
"60c23559-c9a8-4803-9c52-ddd58a405b3c","","pass","","folder","TRUE","FALSE","Site QA","Building","Level 9","External wall "
"824de6dc-bc62-4944-b391-080d461504e2","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 9","External wall ","External Alpha panel/cladding walls"
"b78be30d-94b7-4483-ac67-2ffaf22af53a","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 9","901"
"88fb7e33-4f18-4f23-b180-0dca97e66b2e","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 9","901","External Alpha panel/cladding walls"
"c0463ca4-e727-4d50-a768-11cc995e3024","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 9","901","Plastering & Internal Hebel/Alpha panel/speed panel"
"7e582395-257d-46ba-89c2-2b02c70d3192","","not-started","Door Frame Grouting","checklist","FALSE","FALSE","Site QA","Building","Level 9","901","Door Frame Grouting"
"e5f2276c-721b-4057-979b-4034baae56d3","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Level 9","902"
"13d49aa7-69a6-453a-83e8-66debb955a47","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Level 9","902","Plastering & Internal Hebel/Alpha panel/speed panel"
"f1c564a4-396b-4949-9f5a-ce7dd4b8a845","","pass","External Alpha panel/cladding walls","checklist","FALSE","FALSE","Site QA","Building","Level 9","902","External Alpha panel/cladding walls"
"2773b620-c5ea-4c13-b627-b414f16473b3","","not-started","Door Frame Grouting","checklist","FALSE","FALSE","Site QA","Building","Level 9","902","Door Frame Grouting"
"6266ad07-a083-4486-8669-bf26025a0177","","pass","","folder","TRUE","FALSE","Site QA","Building","Western facade speedpanel shafts rectifications "
"785cdded-e867-4732-a0b2-7cd352711fc9","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Western facade speedpanel shafts rectifications ","Shaft No. 2"
"f302a810-2a35-43b8-9deb-b7fb9b726ca5","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Western facade speedpanel shafts rectifications ","Shaft No. 3"
"06e39b31-abea-497b-87bb-3cee3d7690fd","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Western facade speedpanel shafts rectifications ","Shaft N0. 1 "
"5ac2f2de-16fe-4723-b019-bb06273ddd7e","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Western facade speedpanel shafts rectifications ","Shaft No. 4"
"0e88325a-2aef-4117-bfcd-111fda24c07e","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Basement 3 "
"3387dd48-a7eb-4ac0-a996-9cbaca49ed96","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Basement 3 ","Plastering & Internal Hebel/Alpha panel/speed panel"
"08f0ef1f-b0ce-40d1-bc0d-2e53148ee1c4","","not-started","Door Frame Grouting","checklist","FALSE","FALSE","Site QA","Building","Basement 3 ","Door Frame Grouting"
"d185aa7f-0070-4cc3-8371-16fd6e38473f","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Basement 2"
"76eb8de3-c4f1-47c3-a0e2-07a4044a215f","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Basement 2","Plastering & Internal Hebel/Alpha panel/speed panel"
"259f52bf-8b1d-4f29-8fb9-cfb412e609bd","","not-started","Door Frame Grouting","checklist","FALSE","FALSE","Site QA","Building","Basement 2","Door Frame Grouting"
"b193352a-5054-485a-82f3-afc4db748f4d","","work-in-progress","","folder","TRUE","FALSE","Site QA","Building","Basement 1"
"5c315c8f-b8a4-4e23-bbd2-e6a9a23b6194","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Basement 1","Plastering & Internal Hebel/Alpha panel/speed panel"
"148f3973-b9b1-48e0-b9af-39c538a374e1","","not-started","Door Frame Grouting","checklist","FALSE","FALSE","Site QA","Building","Basement 1","Door Frame Grouting"
"3cb6c3b8-58c8-4707-bd0c-ba88b63f46aa","","pass","","folder","TRUE","FALSE","Site QA","Building","Basement 3 alphapanel "
"18a4fd73-ddb3-4fc9-bafa-b8763240ded4","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Basement 3 alphapanel ","Internal Alpha panel"
"b13ca273-fc33-4e93-8ad8-6a686c52c23e","","pass","","folder","TRUE","FALSE","Site QA","Building","Basement 2 alphapanel "
"f1ded968-813e-425d-a826-139595467b03","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Basement 2 alphapanel ","Internal Alpha panel"
"231488fa-e1a6-4464-b0b2-3022b5197e0e","","pass","","folder","TRUE","FALSE","Site QA","Building","Basement 1 alphapanel "
"96ab441b-56cd-46d5-8a96-79a6425b1b86","","pass","Plastering & Internal Hebel/Alpha panel/speed panel","checklist","FALSE","FALSE","Site QA","Building","Basement 1 alphapanel ","Internal Alpha panel"
