"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b1b44885-769a-474b-9770-80ca3df582f0","","checklist-flat","no-status-started","9be491f1c30e7d5d091f86202fdb952c95979007c64799c168f88db500017a73","checklist-flat","FALSE","FALSE","Job Details"
"4f8771e0-804e-41ba-b293-d904103a490f","","checkpoint-no-status","no-status-started","","","FALSE","FALSE","Job Details","Site Info"
"3e97ff3c-f707-4552-ab1a-631ef5ea69af","","checkpoint-no-status","no-status-started","","","FALSE","FALSE","Job Details","Latest Drawings"
"581cf87e-7bfe-43df-962c-49b117b7734a","","checkpoint-no-status","no-status-not-started","","","FALSE","FALSE","Job Details","Architectural Drawings"
"c8b83231-8036-4b3c-b65a-dd4c41c5a454","","checkpoint-no-status","no-status-not-started","","","FALSE","FALSE","Job Details","Plans"
"1a0b026e-50e5-4956-ac12-2f2d3a611e91","","checkpoint-no-status","no-status-started","","","FALSE","FALSE","Job Details","Additional Pre Start Docs"
"28301cf4-67dc-4131-a3f4-55957d5707c1","","checkpoint-no-status","no-status-not-started","","","FALSE","FALSE","Job Details","Order Numbers"
"477a3bd5-cf78-427e-a0e0-925651726787","","folder-normal","fail","","step","FALSE","FALSE","Health & Safety"
"724782fb-282b-455c-8908-042726ef4b5d","","checklist-flat","no-status-started","df00e11d689b0cd5fdda29373d1dc053d0812dccb7e91a591d365a6a64c0011e","checklist-flat","FALSE","FALSE","Health & Safety","Prestart H&S Documents"
"09231a51-320a-406a-840d-cd55d011715e","","checkpoint-no-status","no-status-started","","","FALSE","FALSE","Health & Safety","Prestart H&S Documents","All  Pre-start H&S Documentation Completed, Reviewed & Attached"
"1a7aebf2-defb-43c1-9b17-0b72a0dcbf86","","folder-normal","fail","","step","TRUE","FALSE","Health & Safety","Daily/Weekly Health & Safety"
"5304286b-e2f4-4b6b-b123-a20b485e59b4","","folder-normal","work-in-progress","","step","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Toolbox Talks"
"d1808901-f9e9-4165-abfa-301b58e9c7ae","","checklist-sectioned","work-in-progress","H&S - Toolbox Talk","checklist","FALSE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Toolbox Talks","Toolbox Checklist"
"e5fde7ad-a78f-5dcf-bd57-ca960d7e3517","","checkpoint-group","not-started","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Toolbox Talks","Toolbox Checklist","Details "
"61dd7644-faaa-5a13-9878-c70a08189088","","checkpoint-group","not-applicable","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Toolbox Talks","Toolbox Checklist","Other business"
"b4c5973b-dc8c-5edc-bd6b-27afb31a9517","","checkpoint-status","not-applicable","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Toolbox Talks","Toolbox Checklist","Other business","Item & Action"
"d0ef5037-1a67-52d8-b341-1f0a4296891d","","checkpoint-group","not-started","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Toolbox Talks","Toolbox Checklist","Attendees "
"6f63d890-84ec-5098-bc0f-411a2a4e83c0","","checkpoint-status","not-started","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Toolbox Talks","Toolbox Checklist","Attendees ","Add name and Photo of attendees"
"db0f892d-5ce3-59b5-9d00-acbc0f4feb6c","","checkpoint-group","not-started","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Toolbox Talks","Toolbox Checklist","Review by management"
"6b9aa368-776d-5518-af81-e2d31408cb48","","checkpoint-status","not-started","","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Toolbox Talks","Toolbox Checklist","Review by management","Reviewed and signed off "
"04edc043-0714-44ce-b442-6412399724e5","","folder-normal","fail","","step","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections"
"c749c02e-7b41-45f4-9a7f-06d078f2d70e","","checklist-sectioned","fail","Z - SYS - Site Inspection Checklist (old version)","checklist","FALSE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22"
"ca58f412-e77a-514a-b2e6-d7d2a2083b68","","checkpoint-group","pass","Z - SYS - Site Inspection Checklist (old version):c0ff30fc-5007-4a5e-ad82-85417510a22e","","FALSE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22","Site Control"
"615f1962-c02b-57e2-aa47-1373b9b63c1f","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist (old version):c0ff30fc-5007-4a5e-ad82-85417510a22e:b0e51779-aea5-4770-b6a2-166bd34cd879","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22","Site Control","Hazard Board and signage up-to-date"
"ef422926-6ac7-5ffe-b6a5-deb8a6a88d60","","checkpoint-status","not-applicable","Z - SYS - Site Inspection Checklist (old version):c0ff30fc-5007-4a5e-ad82-85417510a22e:f14c7657-426c-44de-b753-5610a6bab882","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22","Site Control","Environmental plan - issues"
"9da5b54c-89da-5b2b-98a4-a88f59cdff88","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist (old version):c0ff30fc-5007-4a5e-ad82-85417510a22e:b45d307a-81ce-4bef-9f7a-eb5993d49324","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22","Site Control","Safety inductions for all on-site"
"6e8082da-490a-5b2a-a42e-399f80c9f195","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist (old version):c0ff30fc-5007-4a5e-ad82-85417510a22e:ffe74285-c284-4238-84f4-ce3b3cf4d1bc","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22","Site Control","Safety notice board current"
"76b44d27-067c-5ad8-aa15-a3f9d5f6ab96","","checkpoint-group","pass","Z - SYS - Site Inspection Checklist (old version):84801aa5-095a-4a3a-9669-6231df5589ee","","FALSE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22","Site Facilities"
"b9bb2903-9e13-585e-ab8e-d0879fbec31d","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist (old version):84801aa5-095a-4a3a-9669-6231df5589ee:347061e7-1f94-4957-b62f-859bc3e4a9db","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22","Site Facilities","Offices clean, adequate & good lighting"
"11b35238-c434-5df3-bac2-1fd9b2c01b20","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist (old version):84801aa5-095a-4a3a-9669-6231df5589ee:3764eacf-acec-4299-a0ff-d480bd778c73","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22","Site Facilities","Smoko sheds - clean, portable water"
"0e2abca0-d27a-5edd-ae3f-8c72718d8524","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist (old version):84801aa5-095a-4a3a-9669-6231df5589ee:032637ba-200c-4a30-b752-64baaa8d6545","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22","Site Facilities","Toilets - clean, washing water"
"ac4abe1e-8d4e-5ef8-96cb-1f5b3e8701e7","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist (old version):84801aa5-095a-4a3a-9669-6231df5589ee:bc0f3e33-8703-44fe-baef-9dad2aeefc78","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22","Site Facilities","Tool /equipment sheds adequate"
"5affa20b-8723-5f4c-90e8-930a9419dce0","","checkpoint-group","pass","Z - SYS - Site Inspection Checklist (old version):0546ac16-ff08-4dc0-b7d4-0221eb74d684","","FALSE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22","General Site Tidiness and Access ways"
"ffc91b9a-249d-573b-b55f-91c923c3250e","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist (old version):0546ac16-ff08-4dc0-b7d4-0221eb74d684:498df4c0-a7af-4fa8-ac76-11a884a44bde","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22","General Site Tidiness and Access ways","Clear, safe access to work areas"
"2063f5d2-8c5d-520d-b01a-ee30b351a1af","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist (old version):0546ac16-ff08-4dc0-b7d4-0221eb74d684:06d3baa1-02a8-45bd-b603-e83ed25a012e","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22","General Site Tidiness and Access ways","Stairways and accessways clear"
"3658f533-a9a7-5c9f-bbe9-16d44b3699ff","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist (old version):0546ac16-ff08-4dc0-b7d4-0221eb74d684:6f826955-ee24-4035-8609-e82adbc56f96","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22","General Site Tidiness and Access ways","Hoardings /fence and gates secure"
"0187b074-15ff-504b-8c38-44dad3d3b38d","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist (old version):0546ac16-ff08-4dc0-b7d4-0221eb74d684:31b635bc-be51-4bbf-892f-968d12e2a996","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22","General Site Tidiness and Access ways","Loose materials secure from wind"
"62839d3e-4a6f-5e54-a8a2-8e5d9d2ac50e","","checkpoint-group","not-applicable","Z - SYS - Site Inspection Checklist (old version):db04840f-a04b-4781-8121-6910bf91ff2b","","FALSE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22","Notice of Delay/Damage"
"45d8bbf0-fc56-5183-a25e-989f88d66ec9","","checkpoint-status","not-applicable","Z - SYS - Site Inspection Checklist (old version):db04840f-a04b-4781-8121-6910bf91ff2b:3340c20f-005e-4915-9997-7c577c5d2fe9","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22","Notice of Delay/Damage","Notice of Delay/Damage"
"cb63c3ac-d969-502e-bf7d-c4e220163802","","checkpoint-status","not-applicable","Z - SYS - Site Inspection Checklist (old version):db04840f-a04b-4781-8121-6910bf91ff2b:c2dfa433-d7d2-45ca-afae-257baba6b670","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22","Notice of Delay/Damage","Delay/Damage Acknowledged"
"4eeaed5e-eaad-5441-a4f0-000d6f941071","","checkpoint-group","pass","Z - SYS - Site Inspection Checklist (old version):900a343a-9fc7-45e8-b297-2391a9646bf4","","FALSE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22","Personal Safety Equipment"
"85494090-e91d-501e-aa68-b29bce6a2f70","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist (old version):900a343a-9fc7-45e8-b297-2391a9646bf4:fccb35d5-df1a-4161-a18c-c729fa1a52a4","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22","Personal Safety Equipment","Signage displayed and legible"
"a0dc557e-52d9-50dc-9255-5d8ac53d0622","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist (old version):900a343a-9fc7-45e8-b297-2391a9646bf4:a33eae7c-bac1-456f-8afa-4aa5724f69b0","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22","Personal Safety Equipment","Hardhats being worn"
"ce19ce68-5203-5dce-a890-371c8f063f08","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist (old version):900a343a-9fc7-45e8-b297-2391a9646bf4:70e0edee-eb75-43bc-97f8-9394ba70ae71","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22","Personal Safety Equipment","Correct footwear being worn"
"7c92aed9-cd30-559f-abbf-01441f35aaa2","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist (old version):900a343a-9fc7-45e8-b297-2391a9646bf4:ab4f3faf-3cfb-4cd0-b2ce-7073db7135b7","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22","Personal Safety Equipment","Glasses /ear muffs /vests /masks used"
"b2681f26-8ad5-512a-8b2f-72c50a1c974e","","checkpoint-group","pass","Z - SYS - Site Inspection Checklist (old version):ef0bbc88-29df-4f2f-9d58-94592a19e09f","","FALSE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22","First Aid/Fire Prevention"
"e623df1d-66c2-5046-a0c6-96e1ab624ace","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist (old version):ef0bbc88-29df-4f2f-9d58-94592a19e09f:17f853ab-6f08-4f0d-a8bb-1379ae5c6728","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22","First Aid/Fire Prevention","First Aid Box Available"
"ccb7dde7-538e-5785-a87d-a1cf2c55a69b","","checkpoint-status","not-applicable","Z - SYS - Site Inspection Checklist (old version):ef0bbc88-29df-4f2f-9d58-94592a19e09f:5e56cec3-f4a5-4196-8790-32de0743118a","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22","First Aid/Fire Prevention","Accident register"
"14b0a5ed-ec54-561d-b5b9-592a780131c0","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist (old version):ef0bbc88-29df-4f2f-9d58-94592a19e09f:c658fb97-71cb-4cb5-a840-0cc03e5db4ff","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22","First Aid/Fire Prevention","Fire Extinguishers"
"2bb6428e-de1f-5de5-ac57-f417e52df2fe","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist (old version):ef0bbc88-29df-4f2f-9d58-94592a19e09f:6fe56068-8406-4a61-b473-b10cd33197c9","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22","First Aid/Fire Prevention","Evacuation"
"11130c73-1853-5fc3-89d7-95e1d81dd767","","checkpoint-group","pass","Z - SYS - Site Inspection Checklist (old version):386529ac-d27f-4651-b765-69aecfdcce6c","","FALSE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22","Cranes/hoist/lifting equipment"
"5337d405-0a6b-5959-bb2a-87251198fa12","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist (old version):386529ac-d27f-4651-b765-69aecfdcce6c:68e2fceb-9e5c-4aa3-b6ae-b243a7ce9691","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22","Cranes/hoist/lifting equipment","Proper lift assessment plan done"
"bab60ffb-e3a2-58c0-bbb5-5d52bc871934","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist (old version):386529ac-d27f-4651-b765-69aecfdcce6c:f6666474-5ae4-4b2f-aed3-c41bca6942f0","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22","Cranes/hoist/lifting equipment","Crane certification current"
"596fed2c-2d7b-5520-80fb-f4c007bb055c","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist (old version):386529ac-d27f-4651-b765-69aecfdcce6c:31a71301-460c-4a4b-8027-9aef215f1b64","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22","Cranes/hoist/lifting equipment","Slings/chains certified"
"3d638754-1e19-56df-b04c-ec2388e38741","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist (old version):386529ac-d27f-4651-b765-69aecfdcce6c:3d39e3f5-8c7e-4de9-bedd-a8d7827c6d85","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22","Cranes/hoist/lifting equipment","Operator procedures in place"
"e11ed346-a090-53df-8acc-9d50eba46447","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist (old version):386529ac-d27f-4651-b765-69aecfdcce6c:f42cb258-c30e-425b-81ac-606078f41d57","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22","Cranes/hoist/lifting equipment","Inspections being done"
"288a11dc-56da-5eb3-9bae-cdc8b492858f","","checkpoint-status","not-applicable","Z - SYS - Site Inspection Checklist (old version):386529ac-d27f-4651-b765-69aecfdcce6c:9741a79e-7ad6-4b27-aef3-c9a3d4fd89a8","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22","Cranes/hoist/lifting equipment","Man cage available"
"4a31b5f5-98fe-5b63-b14b-636707b306d0","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist (old version):386529ac-d27f-4651-b765-69aecfdcce6c:94e57e4e-b716-40b5-aede-9b7320ae03df","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22","Cranes/hoist/lifting equipment","Emergency plan in place"
"5ca16af5-d773-5e83-86ea-bd8dff014f0a","","checkpoint-group","not-applicable","Z - SYS - Site Inspection Checklist (old version):97b39fe2-c233-4552-83bb-f35ab2c38312","","FALSE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22","Compressed air equipment"
"37cc1d4c-ee66-56dc-ad29-feb37b99fb38","","checkpoint-status","not-applicable","Z - SYS - Site Inspection Checklist (old version):97b39fe2-c233-4552-83bb-f35ab2c38312:f87ddf65-28c8-4d33-9bc5-2b0580efd9a8","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22","Compressed air equipment","In good condition"
"b4db7fcb-dedd-540d-b9e0-5d3da60dee31","","checkpoint-status","not-applicable","Z - SYS - Site Inspection Checklist (old version):97b39fe2-c233-4552-83bb-f35ab2c38312:94c0c996-cf4b-4bd1-8e81-2a8ed73fbd38","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22","Compressed air equipment","Appropriate guards fitted"
"99901618-0b5b-5e50-8637-878d2aca257f","","checkpoint-status","not-applicable","Z - SYS - Site Inspection Checklist (old version):97b39fe2-c233-4552-83bb-f35ab2c38312:768ece19-756e-43a8-aaa0-83481026d886","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22","Compressed air equipment","Trained user"
"d815ea3d-eac0-5fa5-bf52-011f0b484e89","","checkpoint-group","not-applicable","Z - SYS - Site Inspection Checklist (old version):db10891e-7bef-4543-98d3-12a1c5f33354","","FALSE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22","Excavations"
"7f388679-6842-5baa-b9d8-9ae562e1ec1c","","checkpoint-status","not-applicable","Z - SYS - Site Inspection Checklist (old version):db10891e-7bef-4543-98d3-12a1c5f33354:f4c593a2-f93e-41c4-986c-ec300d8ac666","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22","Excavations","Correctly Shored"
"f5af6537-409f-56be-9a00-e89207aa8f27","","checkpoint-group","not-applicable","Z - SYS - Site Inspection Checklist (old version):e976a77b-6d94-4f04-ba1e-564faefe3592","","FALSE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22","Welding/gas cutting"
"410a77a3-e4c4-5e9c-ac06-1d5644ac0963","","checkpoint-status","not-applicable","Z - SYS - Site Inspection Checklist (old version):e976a77b-6d94-4f04-ba1e-564faefe3592:74762ca3-1bed-4508-998e-b043159fa29b","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22","Welding/gas cutting","Hot work permits being issued"
"2cb5e4cb-7151-52f9-9b39-96ad440388f3","","checkpoint-status","not-applicable","Z - SYS - Site Inspection Checklist (old version):e976a77b-6d94-4f04-ba1e-564faefe3592:f26eb653-bc98-44a5-a7ed-951aa9821726","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22","Welding/gas cutting","Fire extinguishers on hand"
"320cacd7-ecc1-54dd-8eb6-76581afc6604","","checkpoint-status","not-applicable","Z - SYS - Site Inspection Checklist (old version):e976a77b-6d94-4f04-ba1e-564faefe3592:8fc5d321-8880-4f04-b2f4-7edfafbab31b","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22","Welding/gas cutting","Operators using PPE"
"b7fb3678-76a6-559f-853f-34297879caf8","","checkpoint-group","work-in-progress","Z - SYS - Site Inspection Checklist (old version):5d18beae-8ab0-4197-82c7-c07a1db02059","","FALSE","FALSE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22","Electrical Equipment"
"edc9041a-145b-5747-9454-9b47b7c125b0","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist (old version):5d18beae-8ab0-4197-82c7-c07a1db02059:a7ff6082-5dfe-468f-a57b-816ca4921a31","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22","Electrical Equipment","Main board lockable /weatherproof"
"858151d7-f7cb-5ccb-8ca2-4614bff90016","","checkpoint-status","work-in-progress","Z - SYS - Site Inspection Checklist (old version):5d18beae-8ab0-4197-82c7-c07a1db02059:7fbeafff-7a96-48c6-91ff-613fb9267636","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22","Electrical Equipment","Current tagged and damage-free leads"
"3023a2df-21e9-5c61-ba19-8897422d6bb4","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist (old version):5d18beae-8ab0-4197-82c7-c07a1db02059:124d05b6-824b-4caa-baa8-bb7e4f017dc8","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22","Electrical Equipment","Current tagged plant"
"bae6c7f0-045e-53e7-a483-b9550105c413","","checkpoint-status","pass","Z - SYS - Site Inspection Checklist (old version):5d18beae-8ab0-4197-82c7-c07a1db02059:b1b70f27-56b0-4100-b7d4-bf0e059c3ae0","","TRUE","TRUE","Health & Safety","Daily/Weekly Health & Safety","Site Safety Inspections","Site Inspection 27.05.22","Electrical Equipment","Current tagged lifeguards"
