type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id,
checklist,Refrigeration Pipe Checklist,,,,,,,,
section,Refrigeration Pipe,,,,,,,,
checkpoint,Correct IDU & ODU installed as per latest drawing & schedule,,,,,,,,
checkpoint,Installed as per latest drawings,,,,,,,,
checkpoint,No other services suspended from pipe work (Attach Photos below),,,,,,,,
checkpoint,Installation damage free (Any Issues comment/attach Photos below),,,,,,,,
checkpoint,Correct supports used and support spacing,,,,,,,,
checkpoint,Pipe labelled after insulation - provide photo evidence,,,,,,,,
checkpoint,Pipe mains installation completed to drawings/specification,,,,,,,,
checkpoint,Pipework system pressure tested,,,,,,,,
checkpoint,Area left clean and tidy - photos of cleanliness or issues,,,,,,,,
,,,,,,,,,
checklist,All Subbie Rough-in Progression Checklist,,,,,,,,
section,All Subbie Rough-in Progression,,,,,,,,
checkpoint,All work in zone completed and appear compliant,,,,,,,,
label,Pass once all work complete,,,,,,,,
,,,,,,,,,
checklist,All Subbie Fit off & Testing Progression Checklist,,,,,,,,
section,All Subbie Fit off & Testing Progression,,,,,,,,
checkpoint,All work in zone completed and appear compliant,,,,,,,,
label,Pass once all work complete,,,,,,,,
,,,,,,,,,
checklist,As Builts Checklist,,,,,,,,
section,As Builts,,,,,,,,
checkpoint,Update As-Built's of any known changes,,,,,,,,
,,,,,,,,,
,,,,,,,,,
checklist,Fan Checklist,,,,,,,,
section,Fan,,,,,,,,
checkpoint,Fan installed as per latest drawing,,,,,,,,
checkpoint,Inspect the fan. Record and report for any issues,,,,,,,,
checkpoint,Fan is labelled clearly,,,,,,,,
checkpoint,Confirm ductwork connections to the fans are correct and include flexible connections,,,,,,,,
checkpoint,Confirm VSD is installed,,,,,,,,
checkpoint,"Confirm test points, sensors and gauges have been provided and installed as documented",,,,,,,,
checkpoint,Confirm correct eletrical connections to the fan,,,,,,,,
checkpoint,Adequate maintenance clearance maintained,,,,,,,,
checkpoint,Unit complete with acoustic wrapping as per documented,,,,,,,,
checkpoint,Installed as per manufacturer's requirements. Refer to specific equipment schedule for detail.,,,,,,,,
,,,,,,,,,
,,,,,,,,,
checklist,Plantroom Equipment Checklist,,,,,,,,
section,Plantroom Equipment,,,,,,,,
checkpoint,Coil correctly supported as per project engineering requirements,,,,,,,,
checkpoint,Pipework installed as per latest drawings,,,,,,,,
checkpoint,Pipework installed level and free of damage,,,,,,,,
checkpoint,All joins welded / crimped as per manufacturer's instructions,,,,,,,,
checkpoint,Air bleeds installed in pipework where required,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
