"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"190cf951-152c-400c-a22c-439364f19996","","folder-normal","pass","","step","TRUE","FALSE","Project QA"
"964bf660-4e2c-4f1a-892a-91010b39f71d","","checklist-sectioned","pass","10b265d7f7dd1f873665d81d7d30b1984c9fdfecf0eb99db3a5f8030315a75f4","checklist","FALSE","FALSE","Project QA","Date/Area: 7/12/22 Dry tipping ramp in 31 Bowden road, Mt Wellington "
"8a7e497f-dec3-4d5c-8ba4-d74b90eb56ff","","checklist-sectioned","pass","ST - S - Concrete Pour - Without Reo","checklist","FALSE","FALSE","Project QA","Tower Crane 1 - 08/08/2023"
"e890fe04-01d9-45a0-a931-b2d199956a43","","folder-normal","pass","","step","TRUE","FALSE","Health and Safety"
"88ccb41a-3635-4a7a-bba9-62b81611e7c2","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start"
"bc4534dd-4e14-4a83-b6f9-56b60fb22576","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Site Inspection","December 2023"
"4f0e63b4-c31d-466f-90b5-706cf2c0d29a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation"
"dd41afcf-79bd-4afd-9f8c-0a2e8b067836","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","August 2022"
"98853dec-09b3-4df8-ab18-eeac82c287b2","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","September 2022"
"e5e28291-f54e-46da-a891-9b883844ff55","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","October 2022"
"08f16408-512f-4c36-bb65-2890c68b78a4","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","November 2022"
"c0682cde-0bf3-4836-a632-6d8023531d7b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","December 2022"
"5eab1fff-b691-4d3b-93ed-6ff2cd09cf91","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","January 2023"
"47ae1757-056b-46fa-ace4-71941e86bbda","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","February 2023"
"117c4e06-b71b-4456-b22d-6a4176291712","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","March 2023"
"9db73dd5-ca69-409b-b93f-828fd403fb43","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","April 2023"
"ed4f0f7c-3caf-46b5-bda5-a72ece9d1cf4","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","May 2023"
"d5955554-73b6-4716-a07f-fd6538998938","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","June 2023"
"db6ae17c-1ddf-4c68-ae84-6905a5e58768","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","July 2023"
"3da5a42e-b68d-4340-a62f-1569260a7064","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","August 2023"
"5458ac8d-b683-487b-83d9-4a69aa48d88a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","September 2023"
"89e12dcd-e4af-4465-9de7-39f52ba687ee","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","October 2023"
"d81fec70-04f9-4038-af45-beb3aeb914da","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","November 2023"
"3292376c-70e6-4d12-96b7-1d3e3962d4e0","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","December 2023"
"6cd3141a-c0b0-428e-99c8-81f48e08e90d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping"
"75cb8690-64bd-477d-8244-d797e6d5c12d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","August 2022"
"1fc23a2c-9687-4aa3-a9c0-1ed2b9eb8c5d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","September 2022"
"8bc9fd5d-0865-4b5f-a2d9-8476a60760a6","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","October 2022"
"8c48b56b-dfc3-44fd-aa7a-6b160ed51cd0","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","November 2022"
"729c1a8a-bd89-4d98-918c-fd4bcfa7c2d0","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","December 2022"
"01b7d195-6e2d-4f42-b8a3-a066ab3aa120","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","January 2023"
"e90a28c0-4f29-4449-9605-ac74f18146c6","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","February 2023"
"94a4866d-0873-40d0-9df5-66c4b3506067","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","March 2023"
"a39f897c-bb25-49d7-87d9-7fd319491ebf","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","April 2023"
"edddd34d-751b-4dde-84c7-3bb5a15105b1","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","May 2023"
"1addd973-fdcf-4686-b834-80a7b4d172dc","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","June 2023"
"64f599ba-93bd-4487-a109-eee2636bf8b5","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","July 2023"
"8cf826d7-5056-4496-a75e-10afbe7db36b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","August 2023"
"4d49b7ad-b077-4863-b52b-d7a53255d37c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","September 2023"
"fe16c27c-a7fb-4721-9111-84f500f7486c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","October 2023"
"bc2dde80-be27-4023-b188-5f49448964d3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","November 2023"
"d3926d73-6db4-4262-a625-d1a1ddf907d1","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","December 2023"
"009cfa3d-db3a-4eea-95d1-dc3a682fd5fb","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA"
"9b5c5d4f-11bc-46f0-9e86-2c639908bf8d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","August 2022"
"8968e27a-946d-487a-800e-ba01d59c060b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","September 2022"
"c0100112-2b55-4baa-843e-322359a2aaa6","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","October 2022"
"e33f5a5c-938a-45cb-afe6-0e66bbbe5aaa","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","November 2022"
"27029e61-2f79-46a0-a051-624d86150c8f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","December 2022"
"f2b2f7a9-a7fe-485e-9a3f-7216f9223972","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","January 2023"
"c15bde1b-5782-4e98-8300-25c99993cace","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","February 2023"
"adaf37ff-b487-4040-9dfb-ae0747731ed8","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","March 2023"
"4bff1e58-408f-46c1-90e7-5049dad77901","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","April 2023"
"2c1a74b2-5d73-48cc-88f7-0ef383dc5890","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","May 2023"
"2cadb2c5-57f8-44d0-b59e-01bd236e2530","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","June 2023"
"e24226ed-f49e-4b61-ad14-a97c234ee8b7","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","July 2023"
"9a03b858-a46d-4eac-934c-8046a1982e40","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","August 2023"
"43f87c04-3495-4da3-a80f-0e8b31d74aab","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","September 2023"
"f3d17395-9ca3-4979-b25a-9469288dbad9","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","October 2023"
"fa220755-5141-4259-b796-f249483f0d10","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","November 2023"
"0f53b120-8431-44ae-9611-80dc738bf1e3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","TA/JSEA","December 2023"
"969559b5-bffb-4f92-8583-f3891c076c46","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Stand Down"
"84f424d5-255c-4102-9138-b30cb8ae03c3","","folder-normal","pass","","step","TRUE","FALSE","Health and Safety","Documents"
"05068188-62c0-4769-b6a2-b35bd26ec26f","","checklist-flat","pass","Miscellaneous Docs","checklist-flat","FALSE","FALSE","Health and Safety","Documents","Training and competency register"
"177fe051-57eb-4885-ae12-74c8533965f5","","folder-normal","not-started","","step","TRUE","FALSE","Template"
"2a3b0849-1f0e-4f5c-b5b2-6cdff62f14b9","","checklist-sectioned","not-started","Formwork Column Checklist","checklist","FALSE","FALSE","Template","Formwork Column Checklist"
"ac5efe90-fb8b-48fa-a967-a14cc8033307","","checklist-sectioned","not-started","Formwork Slab Checklist","checklist","FALSE","FALSE","Template","Formwork Slab Checklist"
"d795d44a-1c3f-401d-bf5d-e55001920ef4","","checklist-sectioned","not-started","Precast Placement Checklist","checklist","FALSE","FALSE","Template","Precast Placement Checklist"
"72dd2f15-d823-4b1f-b46a-8433326179c3","","checklist-flat","not-started","Reinforcing Checklist","checklist-flat","FALSE","FALSE","Template","Reinforcing Checklist"
