type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,,,,,
checkpoint-status,5.2 Test Roll,,,,,,,,,,,,,,,,,,,,
label,"REFERENCE: Section 173.03, Section 204.12",,,,,,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Each Layer shall be test rolled in accordance with Section 173. Where site access is restricted, verify with a pickaxe drop or similar, at the Nominated Authorities discretion.",,,,,,,,,,,,,,,,,,,,
label,METHOD: Test Roll as per 173.03,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each Lot/Layer,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE/Nominated Authority,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: Sign ITP,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
holdpoint,NOMINATED AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,
checkpoint-status,5.3 Compaction Testing,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: Table 204.131 Section 204.14 c) Table 204.142,,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Testing as per 204. Ensure testing is tracked and reports available.,,,,,,,,,,,,,,,,,,,,
label,Standard Compactive Effort,,,,,,,,,,,,,,,,,,,,
label,"○ For work to be tested for compliance with Scale A or Scale B compaction requirements, the number of tests per test lot shall be six.",,,,,,,,,,,,,,,,,,,,
label,"○ For work to be tested for compliance with Scale C compaction requirements, the number of tests per test lot shall be three.",,,,,,,,,,,,,,,,,,,,
label,Compaction and Moisture content,,,,,,,,,,,,,,,,,,,,
label,○ Scale A: Characteristic Density Ratio 99%.,,,,,,,,,,,,,,,,,,,,
label,○ Scale B: Characteristic Density Ratio 98%.,,,,,,,,,,,,,,,,,,,,
label,○ Scale C: Mean Value of Density Ratio: 100%,,,,,,,,,,,,,,,,,,,,
label,"Lot size - the leser of one day's production or 5,000sqm",,,,,,,,,,,,,,,,,,,,
label,ATTACH: COMPACTION TEST RESULTS,,,,,,,,,,,,,,,,,,,,
label,METHOD: Review Document,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Test the first 3 lots. Reduced min. frequency every 2nd lot of like material and work,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE/Site Supervisor,,,,,,,,,,,,,,,,,,,,
label,"VERIFYING DOCUMENTS: Sign ITP, Attach Compaction Test Report",,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-status,5.4 Preparation of final surface,,,,,,,,,,,,,,,,,,,,
label,"REFERENCE: Section 204.15, 204.03 (g)",,,,,,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: The top of the Type A material, Cut Floor Level and subgrade surfaces shall be prepared to level and shape within the tolerances specified in Clause 204.03 (g) to produce a smooth, hard, tightly bound surface, free from depressions capable of holding water).",,,,,,,,,,,,,,,,,,,,
label,METHOD: Measure,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Top layer,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: Signed ITP,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-group,Post-construction Activities,,,,,,,,,,,,,,,,,,,,
checkpoint-status,6.1 Post Compaction Material Property Testing,,,,,,,,,,,,,,,,,,,,
label,"REFERENCE: Table 204,041, Table 204.141 Section 204.14 a) or b)",,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Material Properties (Not Applicable for Scale C):,,,,,,,,,,,,,,,,,,,,
label,○ CBR ≥ 10% and Swell ≤ 1.5%,,,,,,,,,,,,,,,,,,,,
label,○ Max Permeability = 5X10-9 m/s,,,,,,,,,,,,,,,,,,,,
label,Grading:,,,,,,,,,,,,,,,,,,,,
label,○ 75.0mm 100%,,,,,,,,,,,,,,,,,,,,
label,○ 4.75mm 40-80%,,,,,,,,,,,,,,,,,,,,
label,○ 0.075mm 10-40%,,,,,,,,,,,,,,,,,,,,
label,"○ Max. PI x%Passing 0.425mm = 1000 , PI = 6 to 25",,,,,,,,,,,,,,,,,,,,
label,Scale A:,,,,,,,,,,,,,,,,,,,,
label,CBR & Swell,,,,,,,,,,,,,,,,,,,,
label,○ Initial - 1 Lot Test to determine Assigned CBR and swell,,,,,,,,,,,,,,,,,,,,
label,○ Reduced - 1 Single CBR test to confirm Assigned CBR and swell per every 2 lots,,,,,,,,,,,,,,,,,,,,
label,○ Max Permeability,,,,,,,,,,,,,,,,,,,,
label,○ Initial - 1 test per 2 lots,,,,,,,,,,,,,,,,,,,,
label,○ Reduced - 1 test per 4 lots,,,,,,,,,,,,,,,,,,,,
label,Grading:,,,,,,,,,,,,,,,,,,,,
label,○ Initial - 1 test for each lot tested for compaction,,,,,,,,,,,,,,,,,,,,
label,○ Reduced - 1 test for every second lot tested for compaction,,,,,,,,,,,,,,,,,,,,
label,○ Max. PI x%Passing 0.425mm & PI,,,,,,,,,,,,,,,,,,,,
label,○ Initial - 1 test per 2 lots,,,,,,,,,,,,,,,,,,,,
label,○ Reduced - 1 test per 4 lots,,,,,,,,,,,,,,,,,,,,
label,Scale B:,,,,,,,,,,,,,,,,,,,,
label,"○ 1 Lot Test to determine: Assigned CBR and swell, Grading & Max. Particle Dimension, PI and PIx%Passing 0.425mm and permeability.",,,,,,,,,,,,,,,,,,,,
label,"○ Where the first lot passes, no further testing required except where changes to the physical properties of the material are observed.",,,,,,,,,,,,,,,,,,,,
label,Attach: Post compaction test results:,,,,,,,,,,,,,,,,,,,,
label,METHOD: Review Document,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Refer to Section 204,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE/Site Supervisor,,,,,,,,,,,,,,,,,,,,
label,"VERIFYING DOCUMENTS: Sign ITP, Attach Material Property Test Report",,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-status,6.2 Survey Conformance,,,,,,,,,,,,,,,,,,,,
label,"REFERENCE: VicRoads 204.03f,g and h",,,,,,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: The level at any point on the subgrade shall not lie more than 20 mm below a 3 m straightedge laid in any direction, except across a crown and water shall not pond at any point.",,,,,,,,,,,,,,,,,,,,
label,Level tolerances Scale A:,,,,,,,,,,,,,,,,,,,,
label,"○ Range x = +5, -15mm",,,,,,,,,,,,,,,,,,,,
label,○ Max S = 12 mm,,,,,,,,,,,,,,,,,,,,
label,○ 80 measurements per lot,,,,,,,,,,,,,,,,,,,,
label,Level tolerances Scale B:,,,,,,,,,,,,,,,,,,,,
label,"○ Range x = +5, -25mm",,,,,,,,,,,,,,,,,,,,
label,○ Max S = 15 mm,,,,,,,,,,,,,,,,,,,,
label,○ 40 measurements per lot,,,,,,,,,,,,,,,,,,,,
label,Level tolerances Scale C:,,,,,,,,,,,,,,,,,,,,
label,"○ Where Scale C is nominated, random levelling is not required; however no point on the subgrade surface shall be more than 10 mm above or 30 mm below the specified level.",,,,,,,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Top of Type A/Verge,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,,,,,,,
label,"RESPONSIBILITY: Surveyor, SE/PE/SPE",,,,,,,,,,,,,,,,,,,,
label,"VERIFYING DOCUMENTS: This ITP, Survey Conformance Report",,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-status,6.3 Non-conformance Report (NCR) Closure,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: MRPA Quality Management Plan,,,,,,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Ensure that any NCRs pertaining to the lot / element / Work area that this ITP covers, have been closed in CAMs.",,,,,,,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,,,,,,,
label,"FREQUENCY: Once, prior to closure of this lot / element / Work area",,,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP*,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE/PE/SPE,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-status,Final Inspection,,,,,,,,,,,,,,,,,,,,
label,"On behalf of Metropolitan Roads Program Alliance, it is hereby certified that the Works represented by the item of work listed have been tested in accordance with the Project Quality Plan and conform in all respects with the requirements of the Contract.",,,,,,,,,,,,,,,,,,,,
text,Name:,,,,,,,,,,,,,,,,,,,,
text,Position:,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
holdpoint,Sign ITP,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
checklist-sectioned,ITP-090-CIV-PSDS-Site Clearing and Grubbing,itp,,,,Yes,ITP-090-CIV-PSDS-Site Clearing and Grubbing Rev 0,209ca522-e2e2-48e9-8278-8f0e401dc427,,,,,,,,,,,,,
checkpoint-group,Referenced Documentation,,,,,,,,,,,,,,,,,,,,
checkpoint-status,Referenced Documentation,,,,,,,,,,,,,,,,,,,,
label,Document Title: ITP-090-CIV-PSDS-Site Clearing and Grubbing,,,,,,,,,,,,,,,,,,,,
label,ITP Description: PSDS-Site Clearing and Grubbing,,,,,,,,,,,,,,,,,,,,
label,Document Number (in Teambinder): MRP-0000-MRPA-ALT-ITP-00XX,,,,,,,,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): 090-CIV,,,,,,,,,,,,,,,,,,,,
label,Revision Number: 0,,,,,,,,,,,,,,,,,,,,
label,Revision Date: 28/02/2023,,,,,,,,,,,,,,,,,,,,
label,ITP created by: Jason Lee,,,,,,,,,,,,,,,,,,,,
label,ITP approved for use by: Jon De Castro,,,,,,,,,,,,,,,,,,,,
label,1.1 Non Dependent,,,,,,,,,,,,,,,,,,,,
label,Reference: VicRoads Section 201 (Feb 2023),,,,,,,,,,,,,,,,,,,,
label,1.2 Non Dependent,,,,,,,,,,,,,,,,,,,,
label,Reference: VicRoads Section 204 (Dec 2015),,,,,,,,,,,,,,,,,,,,
label,1.3 Non Dependent,,,,,,,,,,,,,,,,,,,,
label,Reference: IFC Drawings,,,,,,,,,,,,,,,,,,,,
checkpoint-group,Preliminaries - Documentations,,,,,,,,,,,,,,,,,,,,
checkpoint-status,3.1 Environmental Controls,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: MRPA Environmental Management Plan,,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: All environmental measures to be implemented as per current EMP and local authorities.,,,,,,,,,,,,,,,,,,,,
label,○ Sediment control measures to be installed and protected vegetation to be clearly identified.,,,,,,,,,,,,,,,,,,,,
label,METHOD: Visual,,,,,,,,,,,,,,,,,,,,
label,"FREQUENCY: Where applicable, prior to starting Works",,,,,,,,,,,,,,,,,,,,
label,CATEGORY: WP,,,,,,,,,,,,,,,,,,,,
label,"RESPONSIBILITY: Supervisor, SE/PE/SPE",,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP Signed-off,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-status,3.2 Vegetation Removal Permit,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: MRPA Environmental Management Plan,,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Prior to removing any vegetation or habitat:,,,,,,,,,,,,,,,,,,,,
label,"i. arrange an on-site inspection with the Nominated Authority and relevant authorities to confirm and clearly identify and mark trees, vegetation or habitat to be removed, consistent with the Design Documents and any relevant permits.",,,,,,,,,,,,,,,,,,,,
label,"A qualified ecologist with appropriate permits/licenses shall be present on site during removal of vegetation to identify possible locations of fauna, discovery of significant flora or fauna and to examine any habitats likely to be affected by Works.",,,,,,,,,,,,,,,,,,,,
label,ii. fence and sign all sites nominated as No-Go Zones.,,,,,,,,,,,,,,,,,,,,
label,Attach: Vegetation Removal Permit,,,,,,,,,,,,,,,,,,,,
label,Attach: Ecologist's Report,,,,,,,,,,,,,,,,,,,,
label,"METHOD: Document Review, Visual",,,,,,,,,,,,,,,,,,,,
label,"FREQUENCY: Where applicable, prior to starting Works",,,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP*,,,,,,,,,,,,,,,,,,,,
label,"RESPONSIBILITY: Supervisor, SE/PE/SPE",,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP Signed-off,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-group,Pre-Construction Activities,,,,,,,,,,,,,,,,,,,,
checkpoint-status,4.1 Survey Set-out / Limits of Work,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: IFC Drawings Section 201.03,,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: The limits of clearing and grubbing shall be:,,,,,,,,,,,,,,,,,,,,
label,a. the limits defined on the IFC drawings,,,,,,,,,,,,,,,,,,,,
label,"b. the whole width between the outside edges of any batters, including any roundings, together with a further horizontal distance of 1m beyond the outside edges of batters but not beyond the road reserve boundary or, where catch drains are required, to the outside edges of catch drains",,,,,,,,,,,,,,,,,,,,
label,c. no more than the width required for completion of the Work under the Contract.,,,,,,,,,,,,,,,,,,,,
label,"METHOD: Measure, Visual",,,,,,,,,,,,,,,,,,,,
label,"FREQUENCY: Once, prior to starting Works",,,,,,,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,,,,,,,
label,"RESPONSIBILITY: Surveyor, SE/PE/SPE",,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP Signed-off,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-status,4.2 Cultural Heritage and Areas of Significance,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: MRPA Environmental Management Plan Section 201.10,,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Areas determined to be No-Go Zones are securely fenced and clearly identified by signage installed in the fencing.,,,,,,,,,,,,,,,,,,,,
label,○ Immediately notify the Nominated Authority if any Cultural Heritage is discovered or identified during construction and work to be suspended.,,,,,,,,,,,,,,,,,,,,
label,○ Works may recommence with the cultural heritage approval or if works can resume without risk to the discovered Cultural Heritage.,,,,,,,,,,,,,,,,,,,,
label,Attach: Cultural Heritage Report,,,,,,,,,,,,,,,,,,,,
label,"METHOD: Document Review, Visual",,,,,,,,,,,,,,,,,,,,
label,"FREQUENCY: Where applicable, prior to starting Works",,,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP*,,,,,,,,,,,,,,,,,,,,
label,"RESPONSIBILITY: Surveyor, SE/PE/SPE",,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP Signed-off,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-group,Construction Activities,,,,,,,,,,,,,,,,,,,,
checkpoint-status,5.1 Stripping of Topsoil,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: IFC Drawings Section 204.05,,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Topsoil shall be stripped for the full width of the formation.,,,,,,,,,,,,,,,,,,,,
label,"○ Declared noxious weeds, pests and pathogens shall be treated and monitored before stripping of topsoil and after spreading, to prevent and/or minimise the spread of weeds and other pathogens throughout the site.",,,,,,,,,,,,,,,,,,,,
label,"○ Stockpiles shall be maintained in a neat, well shaped state capable of shedding water. Topsoil shall be re-spread as soon as practicable.",,,,,,,,,,,,,,,,,,,,
label,METHOD: Visual,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each Site,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,,,,,,,
label,"RESPONSIBILITY: Supervisor, SE/PE/SPE",,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP Signed-off,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-status,5.2 Stockpiling,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: MRPA Environmental Management Plan Section 204.05,,,,,,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Where soil is stock piled on Site, such stockpiles shall be located, where possible, to provide a clearance of not less than 10 metres from waterways.",,,,,,,,,,,,,,,,,,,,
label,"○ If this clearance is not possible,additional protection shall be provided.",,,,,,,,,,,,,,,,,,,,
label,"○ Stockpiles shall be maintained in a neat, well shaped state capable of shedding water.",,,,,,,,,,,,,,,,,,,,
label,○ Topsoil shall be re-spread as soon as practicable.,,,,,,,,,,,,,,,,,,,,
label,METHOD: Visual,,,,,,,,,,,,,,,,,,,,
label,"FREQUENCY: Where applicable, each Site",,,,,,,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,,,,,,,
label,"RESPONSIBILITY: Supervisor, SE/PE/SPE",,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP Signed-off,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-status,5.3 Abandoned Services,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: IFC Drawings Excavation Permit Section 201.05,,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Removal and disposal of abandoned services and obsolete underground drainage lines which interfere with the execution of works to be done.,,,,,,,,,,,,,,,,,,,,
label,"○ Verify service is not likely to contain a hazardous material (sewage, asbestos pipe)",,,,,,,,,,,,,,,,,,,,
label,○ Decommissioned services to be disposed of in a suitable manner.,,,,,,,,,,,,,,,,,,,,
label,○ Decommissioned pits have been broken back to 0.3m below subgrade level. Remaining pipe openings shall be sealed with concrete.,,,,,,,,,,,,,,,,,,,,
label,METHOD: Visual,,,,,,,,,,,,,,,,,,,,
label,"FREQUENCY: Where applicable, each Site",,,,,,,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,,,,,,,
label,"RESPONSIBILITY: Supervisor, SE/PE/SPE",,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP Signed-off,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-status,5.4 Clearing of Trees and Vegetation,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: IFC Drawings Section 201.04,,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Clearing work shall not be undertaken outside of the specified limits of work.,,,,,,,,,,,,,,,,,,,,
label,"○ Tree branches extending over the carriageway shall be trimmed to provide a clearance of at least 6 m above the carriageway surface. Where whole branches are to be removed, the three cut method shall be used.",,,,,,,,,,,,,,,,,,,,
label,METHOD: Visual,,,,,,,,,,,,,,,,,,,,
label,"FREQUENCY: Where applicable, each Site",,,,,,,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,,,,,,,
label,"RESPONSIBILITY: Supervisor, SE/PE/SPE",,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP Signed-off,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-status,5.5 Grubbing of Vegetation,,,,,,,,,,,,,,,,,,,,
label,"REFERENCE: IFC Drawings Section 201.05, Section 201.06",,,,,,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: In areas where excavation will be made, all vegetation, refuse and obstructions shall be totally grubbed or grubbed to a depth of not less than 0.3m below the subgrade and batters, whichever is the lesser treatment.",,,,,,,,,,,,,,,,,,,,
label,"○ In areas to be covered by embankments, grubbing to be a depth of not less than 0.3m below the stripped surface or not less than 0.6m below the finished surface of the subgrade, whichever is the lesser treatment.",,,,,,,,,,,,,,,,,,,,
label,○ Holes resulting from grubbing shall be backfilled with material similar to the surrounding material and compacted to the same degree as the surrounding material and not less than density ratio of 95% (standard compactive effort).,,,,,,,,,,,,,,,,,,,,
label,"○ Unless otherwise shown on the drawings, trees and stumps within 10 m of any portion of a proposed bridge, or proposed culvert having a waterway area greater than 6 m2, shall be cleared and grubbed.",,,,,,,,,,,,,,,,,,,,
label,METHOD: Visual,,,,,,,,,,,,,,,,,,,,
label,"FREQUENCY: Where applicable, each Site",,,,,,,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,,,,,,,
label,"RESPONSIBILITY: Supervisor, SE/PE/SPE",,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP Signed-off,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,
checkpoint-group,Post-construction Activities,,,,,,,,,,,,,,,,,,,,
checkpoint-status,6.1 Disposal of Materials & Vegetation,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: Section 201.07,,,,,,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Salvagable material to be used wherever possible, the remainder is to be remove from site.",,,,,,,,,,,,,,,,,,,,
label,○ Salvagable concrete and bituminous materials greater than 50 mm shall be disposed of at approved recycling establishments.,,,,,,,,,,,,,,,,,,,,
label,○ Tree trunks and large branches shall be removed from the site.,,,,,,,,,,,,,,,,,,,,
