"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"79cb1f43-a2b9-4387-86c6-4f448726d9fd","","folder-normal","work-in-progress","","step","TRUE","FALSE","TM-ITP"
"e81e2c4a-3698-4414-b0e6-9db508d7553f","","folder-normal","work-in-progress","","step","TRUE","FALSE","TM-ITP","Waterproofing"
"317497b4-0a92-452a-af24-38402c70ecf7","","folder-normal","work-in-progress","","step","TRUE","FALSE","TM-ITP","Waterproofing","Ground Floor"
"bbad046e-4d52-4903-a11a-364e253dbc44","","folder-normal","work-in-progress","","step","TRUE","FALSE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities"
"8c91325f-a69c-49ab-8d98-baf4281757c6","","checklist-sectioned","work-in-progress","Waterproofing ITP","checklist","FALSE","FALSE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Male"
"6844d5f6-602e-5e7d-af43-5b58e34701f3","","checkpoint-group","work-in-progress","","","FALSE","FALSE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Male","Details"
"9f063e44-8c4e-54ad-9d0c-22298d304f5d","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Male","Details","11. Final Water Test Measure Completed - AS3740-2010"
"99969f86-7f62-50fa-97f6-45b52cfde5f6","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Male","Details","12. Drain Down by waterproof installer"
"e80d95e4-6592-56f5-bd3f-9e26e4e30bd8","","holdpoint","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Male","Details","13. Waterproof installer to check / provide go ahead"
"6fb5b6ef-a709-5789-9ddf-fc098bb4f9e9","","checkpoint-group","not-started","","","FALSE","FALSE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Male","14. RECTIFICATION ITEMS"
"d4a04d4b-7b27-5a53-bc58-82a28e22d836","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Male","14. RECTIFICATION ITEMS","RECTIFICATION ITEMS"
"daeb0e77-d708-5365-93c5-4cdb91e95b1c","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Male","14. RECTIFICATION ITEMS","15. Area Handover to Tiler"
"c2202272-6c5c-5b0b-9a62-891483e23b41","","holdpoint","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Male","14. RECTIFICATION ITEMS","Verify with Tiler"
"61a61e1a-5547-53be-9e6b-187b4fe32401","","checkpoint-group","not-started","","","FALSE","FALSE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Male","17. QUALITY ASSURANCE FROM BUILDER"
"a212b87e-355e-5222-91f4-d59a053e84f6","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Male","17. QUALITY ASSURANCE FROM BUILDER","Quality Assurance from Builder"
"e95c696a-fccb-55c3-a609-af34d3c5dbbc","","checkpoint-group","not-started","","","FALSE","FALSE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Male","18. FINAL INSPECTION"
"e59b5cd7-a116-5f52-b139-52ad9e6e5296","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Male","18. FINAL INSPECTION","Final Inspection (1)"
"6efbae50-b8b2-5123-9939-f2f1968fef7f","","holdpoint","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Male","18. FINAL INSPECTION","Prepared By:"
"7f2504a7-9852-5ba9-92df-9481ae8b99c4","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Male","18. FINAL INSPECTION","Final Inspection (2)"
"c2a49cec-4159-5881-856b-089897d1503b","","holdpoint","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Male","18. FINAL INSPECTION","Approved By:"
"0f924e2e-cf16-4b1d-a6bc-db0d5c1dfcb2","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Female"
"c902abdb-c86a-58a6-ae99-7ce56a2fe76a","","checkpoint-group","not-started","","","FALSE","FALSE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Female","Details"
"7435f084-d8c4-56d5-9dd6-37b008414630","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Female","Details","1. Waterproofer to inspect substrate to confirm acceptability. Ensure clean, dry, devoid of contamination and excess dust removed and vacuumed."
"e7949874-6173-5ccd-a5a4-f62b012b1ae5","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Female","Details","2. Polyurethane fillet to internal vertical corners in shower, at junction of concrete with puddleflange, clearout, pipework"
"3a7a1e19-0936-5ca1-a40d-04c7de3e1368","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Female","Details","3. Primer A Eco to be applied to porous substrate (Data Sheet attached) All concrete and wall linings"
"4c5d7bfa-faf7-511e-9247-5a8845f1c58c","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Female","Details","4. Prime Keragrip Eco for non porous primer (Data sheet attached) Angles, puddlefalnges, threaded pipework"
"fe87afda-8419-5bf7-a9e9-dd975e5daf32","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Female","Details","5. 1st Coat Kera Trade WPM (Data Sheet attached) Applied to floor 150mm high and 200mm above shower rose and extending 200mm past shower screen location. Extend to vanity 150mm min. surround to side and above vanity shelf. Extend 150mm below level of vanity."
"38b41291-317a-5803-ad94-3297246b7a09","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Female","Details","6. 24hr Curing (Typical*)"
"ef3dba18-14d8-56e0-b9f4-5ec501dacb65","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Female","Details","7. 2nd Coat Keratrade WPM applied"
"78be11a6-e3e1-5e32-9856-521a83ae5641","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Female","Details","8. 48hr Curing (Typical*)"
"8a4f52c8-8994-5cb8-891b-540ff2ef185c","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Female","Details","9. Dry Film Thickness (DFT) Test completed min 1.13mm"
"482b0278-a63c-5b63-b833-502e2295cbfe","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Female","Details","10. 24hr Water Test"
"430eb38e-751a-5776-b4a1-ff3da591ba3e","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Female","Details","11. Final Water Test Measure Completed - AS3740-2010"
"f6c45f05-8377-5bb5-92f7-c681e685faa1","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Female","Details","12. Drain Down by waterproof installer"
"0aea61db-fd47-5a2d-8d0d-133f76f2a8b2","","holdpoint","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Female","Details","13. Waterproof installer to check / provide go ahead"
"19ab0451-b602-5a77-90cd-19aefbf6ed3d","","checkpoint-group","not-started","","","FALSE","FALSE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Female","14. RECTIFICATION ITEMS"
"d8272ff1-0dc6-5e57-9cae-e16f8b2e5b07","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Female","14. RECTIFICATION ITEMS","RECTIFICATION ITEMS"
"4236d3f2-a376-5d37-9ea1-ad9a1f294c5f","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Female","14. RECTIFICATION ITEMS","15. Area Handover to Tiler"
"948b3cb0-4d8d-56c9-9104-d27dfd565407","","holdpoint","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Female","14. RECTIFICATION ITEMS","Verify with Tiler"
"abc341b5-518a-5396-9faf-269e739a9f6e","","checkpoint-group","not-started","","","FALSE","FALSE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Female","17. QUALITY ASSURANCE FROM BUILDER"
"cf15d85e-d314-51cb-9b91-bcd14423e094","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Female","17. QUALITY ASSURANCE FROM BUILDER","Quality Assurance from Builder"
"fb27133a-eaf1-546b-86ef-e0f9419d0ca7","","checkpoint-group","not-started","","","FALSE","FALSE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Female","18. FINAL INSPECTION"
"50699d9b-4437-5430-a688-4aec78843df0","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Female","18. FINAL INSPECTION","Final Inspection (1)"
"40c2fa78-a72c-513e-a8b9-c9b33cb5778a","","holdpoint","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Female","18. FINAL INSPECTION","Prepared By:"
"d0be746b-e9aa-5256-a02a-ffb46e2433a0","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Female","18. FINAL INSPECTION","Final Inspection (2)"
"73173686-edef-5a30-ba6d-b84528962d90","","holdpoint","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Female","18. FINAL INSPECTION","Approved By:"
"85df1e4c-7e00-4238-a890-26ba9b439d1f","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Accessible"
"ab02b48d-36b9-5be9-af45-fcdc44e5759d","","checkpoint-group","not-started","","","FALSE","FALSE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Accessible","Details"
"21ae8ece-ef86-53be-bbd3-c23832068e5e","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Accessible","Details","1. Waterproofer to inspect substrate to confirm acceptability. Ensure clean, dry, devoid of contamination and excess dust removed and vacuumed."
"bf6e6b1e-8b72-5cf8-9fb4-3d5dcbd46c6f","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Accessible","Details","2. Polyurethane fillet to internal vertical corners in shower, at junction of concrete with puddleflange, clearout, pipework"
"a794a773-910c-58e2-b584-a618ca9148d9","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Accessible","Details","3. Primer A Eco to be applied to porous substrate (Data Sheet attached) All concrete and wall linings"
"8a3c6c80-79f7-5fdc-98a4-528695a0a2ba","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Accessible","Details","4. Prime Keragrip Eco for non porous primer (Data sheet attached) Angles, puddlefalnges, threaded pipework"
"e910dffd-3e43-511c-b028-49bcfe4359c4","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Accessible","Details","5. 1st Coat Kera Trade WPM (Data Sheet attached) Applied to floor 150mm high and 200mm above shower rose and extending 200mm past shower screen location. Extend to vanity 150mm min. surround to side and above vanity shelf. Extend 150mm below level of vanity."
"aeb2359c-9d6e-5c5b-944e-626c321f126e","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Accessible","Details","6. 24hr Curing (Typical*)"
"c8258f1c-e7d1-519d-8d5b-71bcd080ab63","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Accessible","Details","7. 2nd Coat Keratrade WPM applied"
"65465132-7f5b-57eb-b8b9-868b064fe75e","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Accessible","Details","8. 48hr Curing (Typical*)"
"eb374cb3-7533-54d6-81c6-2911607976b5","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Accessible","Details","9. Dry Film Thickness (DFT) Test completed min 1.13mm"
"35cdcb4f-6ea7-562e-83c6-da634df9b4df","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Accessible","Details","10. 24hr Water Test"
"d36746ad-c188-5f7a-82e1-98acf9cc529c","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Accessible","Details","11. Final Water Test Measure Completed - AS3740-2010"
"d2392af2-eb51-5b46-bc01-ee78b7e29b89","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Accessible","Details","12. Drain Down by waterproof installer"
"530fad79-6310-5e4a-991c-c600b2c32c4c","","holdpoint","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Accessible","Details","13. Waterproof installer to check / provide go ahead"
"03ea40bd-0ffe-5249-9b8a-3925a243f72c","","checkpoint-group","not-started","","","FALSE","FALSE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Accessible","14. RECTIFICATION ITEMS"
"1e884a41-cac1-51f7-a939-5ec4c61e6728","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Accessible","14. RECTIFICATION ITEMS","RECTIFICATION ITEMS"
"9b6a6388-05af-591d-bfd7-19ece3996928","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Accessible","14. RECTIFICATION ITEMS","15. Area Handover to Tiler"
"52ab3f7f-bf48-5001-8502-3ad63d8b92b8","","holdpoint","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Accessible","14. RECTIFICATION ITEMS","Verify with Tiler"
"44fd8281-d981-562d-8098-cc5013e2920a","","checkpoint-group","not-started","","","FALSE","FALSE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Accessible","17. QUALITY ASSURANCE FROM BUILDER"
"312ec7e6-fd72-53dc-8e99-531060fd2bea","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Accessible","17. QUALITY ASSURANCE FROM BUILDER","Quality Assurance from Builder"
"0b2be059-d646-5692-bdc3-dcfc4acada17","","checkpoint-group","not-started","","","FALSE","FALSE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Accessible","18. FINAL INSPECTION"
"df9de99d-dcd8-5d4c-bbf4-b3d330961a74","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Accessible","18. FINAL INSPECTION","Final Inspection (1)"
"607bcf75-0795-59e1-af93-56138ebb1331","","holdpoint","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Accessible","18. FINAL INSPECTION","Prepared By:"
"b82beddb-d902-53bd-a310-9e2c95e8f027","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Accessible","18. FINAL INSPECTION","Final Inspection (2)"
"4487663b-a65a-5db7-9967-e91b14d5c2e6","","holdpoint","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Accessible","18. FINAL INSPECTION","Approved By:"
"a12519ca-b3d1-4bbd-87d1-1bc09401eb7d","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Cleaners"
"52a8bab8-a80b-5e49-bfa9-59f959b52ae8","","checkpoint-group","not-started","","","FALSE","FALSE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Cleaners","Details"
"aab839e9-1bdb-51e5-82a3-02e5fa4ffe38","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Cleaners","Details","1. Waterproofer to inspect substrate to confirm acceptability. Ensure clean, dry, devoid of contamination and excess dust removed and vacuumed."
"948ae74a-a879-5c6b-83a4-1fb4359d2a84","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Cleaners","Details","2. Polyurethane fillet to internal vertical corners in shower, at junction of concrete with puddleflange, clearout, pipework"
"3528275b-11f3-5f2e-9d01-9e9e88338a41","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Cleaners","Details","3. Primer A Eco to be applied to porous substrate (Data Sheet attached) All concrete and wall linings"
"fb983881-cea9-50d9-978d-d1bd72046ae2","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Cleaners","Details","4. Prime Keragrip Eco for non porous primer (Data sheet attached) Angles, puddlefalnges, threaded pipework"
"c1e79399-a954-5d94-8eac-722359e086b4","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Cleaners","Details","5. 1st Coat Kera Trade WPM (Data Sheet attached) Applied to floor 150mm high and 200mm above shower rose and extending 200mm past shower screen location. Extend to vanity 150mm min. surround to side and above vanity shelf. Extend 150mm below level of vanity."
"bd734d18-d1ad-577a-871c-f6e9fe5a9aa9","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Cleaners","Details","6. 24hr Curing (Typical*)"
"3628a259-798b-5002-aba7-4e8c3fbf76e7","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Cleaners","Details","7. 2nd Coat Keratrade WPM applied"
"c89434fc-449c-580f-96a2-1a6220087e80","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Cleaners","Details","8. 48hr Curing (Typical*)"
"a5f9f349-5435-5e8d-856d-7c42ba98cad1","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Cleaners","Details","9. Dry Film Thickness (DFT) Test completed min 1.13mm"
"588b2a1c-02b9-5dbf-bf75-8e22a95bd883","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Cleaners","Details","10. 24hr Water Test"
"3f01b56f-9c08-5134-84c6-578d75d83086","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Cleaners","Details","11. Final Water Test Measure Completed - AS3740-2010"
"8de0677d-c4d6-543a-b278-222f251e5e27","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Cleaners","Details","12. Drain Down by waterproof installer"
"3b24ef65-eafa-5689-b27d-336d2506b0ad","","holdpoint","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Cleaners","Details","13. Waterproof installer to check / provide go ahead"
"b391613f-e7fb-5bde-a8dc-10c509f3c6eb","","checkpoint-group","not-started","","","FALSE","FALSE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Cleaners","14. RECTIFICATION ITEMS"
"e1cd1172-d4ee-546c-b300-c6166ec40b1c","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Cleaners","14. RECTIFICATION ITEMS","RECTIFICATION ITEMS"
"018345c4-9fc4-5b2d-9a50-1938faeff34c","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Cleaners","14. RECTIFICATION ITEMS","15. Area Handover to Tiler"
"cf70e331-a7ce-59f9-b46d-c78ef7064d72","","holdpoint","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Cleaners","14. RECTIFICATION ITEMS","Verify with Tiler"
"c3e3ad6c-d230-5880-8ecf-b76a7671d382","","checkpoint-group","not-started","","","FALSE","FALSE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Cleaners","17. QUALITY ASSURANCE FROM BUILDER"
"9138510e-f838-582a-9a4c-2822bb7bd245","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Cleaners","17. QUALITY ASSURANCE FROM BUILDER","Quality Assurance from Builder"
"c322c445-55e3-5513-81f6-549fa5960225","","checkpoint-group","not-started","","","FALSE","FALSE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Cleaners","18. FINAL INSPECTION"
"34225611-f011-5107-a8ca-04b34ef19821","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Cleaners","18. FINAL INSPECTION","Final Inspection (1)"
"ea6c936a-9150-518f-8e3a-4de2b0cda6ee","","holdpoint","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Cleaners","18. FINAL INSPECTION","Prepared By:"
"f4a829a5-a82d-55bd-ac2d-48663b6d0f3c","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Cleaners","18. FINAL INSPECTION","Final Inspection (2)"
"2250d915-d544-5cbd-9379-b04f414a5eef","","holdpoint","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","North Lobby Amenities","Cleaners","18. FINAL INSPECTION","Approved By:"
"a96883d2-7fe1-4d35-a1fd-de8cbe114f5a","","folder-normal","not-started","","step","TRUE","FALSE","TM-ITP","Waterproofing","Ground Floor","South Lobby Amenities"
"b5fc12af-51d9-4789-8127-aac91b721515","","checklist-sectioned","not-started","Waterproofing ITP","checklist","FALSE","FALSE","TM-ITP","Waterproofing","Ground Floor","South Lobby Amenities","Male"
"dea4660c-8f25-5042-91e7-44578617495c","","checkpoint-group","not-started","","","FALSE","FALSE","TM-ITP","Waterproofing","Ground Floor","South Lobby Amenities","Male","Details"
"1195e893-46cd-5e0f-9b00-68e8c5a19f9e","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","South Lobby Amenities","Male","Details","1. Waterproofer to inspect substrate to confirm acceptability. Ensure clean, dry, devoid of contamination and excess dust removed and vacuumed."
"992fe2ac-676d-5bf3-bfb3-6f5d147958f7","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","South Lobby Amenities","Male","Details","2. Polyurethane fillet to internal vertical corners in shower, at junction of concrete with puddleflange, clearout, pipework"
"6bdc2097-05d9-5d3b-ac83-23033e5f2bd1","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","South Lobby Amenities","Male","Details","3. Primer A Eco to be applied to porous substrate (Data Sheet attached) All concrete and wall linings"
"ba20f466-e437-534f-8ca5-ae07a07a3873","","checkpoint-status","not-started","","","TRUE","TRUE","TM-ITP","Waterproofing","Ground Floor","South Lobby Amenities","Male","Details","4. Prime Keragrip Eco for non porous primer (Data sheet attached) Angles, puddlefalnges, threaded pipework"
