"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"5bd822eb-73dc-427f-a305-05ddaa91b3d0","","folder-normal","work-in-progress","","step","TRUE","FALSE","Stage 1 - B01"
"dc902f98-0eca-46d5-86fd-315440124e08","","folder-normal","work-in-progress","","step","TRUE","FALSE","Stage 1 - B01","B01 - Level 2"
"79585953-e2e9-432f-9c20-6d24813a7832","","folder-normal","work-in-progress","","step","TRUE","FALSE","Stage 1 - B01","B01 - Level 2","Area A"
"45a93894-a0ea-4356-80a1-85995ef1934e","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","ALS Corridor- Grid lines"
"593ae44f-46a0-4f6a-94a4-6848ca7874b0","","checklist-sectioned","not-started","POST - S - Stopping","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Comms","Stopping"
"b51a5da9-2629-4e69-990b-0b3a2c849b10","","checklist-flat","not-started","POST - S - Painting","checklist-flat","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Comms","Painting"
"eb173088-6e7d-4a25-b59e-b24f139339af","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Stair 1"
"0b752dbf-429b-483e-abf1-db535c7a167e","","checklist-sectioned","not-started","POST - S - Internal Lining - Ceilings","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Stair 1","Internal Lining - Ceilings"
"1fcb4a31-f065-4aff-83ca-79e273bcfa14","","checklist-sectioned","not-started","POST - S - Internal Lining - Walls","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Stair 1","Internal Lining - Walls"
"b9e3c662-4a73-4bb9-8206-df3ffd0e2680","","checklist-sectioned","not-started","POST - S - Stopping","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Stair 1","Stopping"
"4c4139dc-531e-48c3-933d-bb6c5a01dec8","","checklist-flat","not-started","POST - S - Painting","checklist-flat","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Stair 1","Painting"
"3887eebf-9948-4152-9161-fcfad40d8885","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Lifts 1 &2"
"bddc4119-18c0-4e3a-a3dd-72e09b43a2f3","","checklist-sectioned","not-started","POST - S - Internal Lining - Ceilings","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Lifts 1 &2","Internal Lining - Ceilings"
"79b074cc-745d-4fc7-8633-e14036b8a128","","checklist-sectioned","not-started","POST - S - Internal Lining - Walls","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Lifts 1 &2","Internal Lining - Walls"
"78000dff-c806-4ac7-b12e-94a2c4da1b44","","checklist-sectioned","not-started","POST - S - Stopping","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Lifts 1 &2","Stopping"
"1bf01987-9813-4497-82a5-94e825e01ead","","checklist-flat","not-started","POST - S - Painting","checklist-flat","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Lifts 1 &2","Painting"
"1436eb73-d499-4303-b33b-4317c475af78","","folder-normal","work-in-progress","","step","TRUE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 279"
"d0bd5c42-fbce-460d-86c8-2783e1058ab9","","checklist-sectioned","work-in-progress","POST - S - Internal Lining - Ceilings","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 279","Internal Lining - Ceilings"
"d1f080b5-2228-48ea-8cbc-874185cf8619","","checklist-sectioned","not-started","POST - S - Internal Lining - Walls","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 279","Internal Lining - Walls"
"e34c2e21-e8e4-4b22-8c2c-374084e2b23a","","checklist-sectioned","not-started","POST - S - Stopping","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 279","Stopping"
"925b9cf3-defd-4c3f-aa3d-b501dcc2e77b","","checklist-flat","not-started","POST - S - Painting","checklist-flat","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 279","Painting"
"0bad4481-12c0-4cc1-805b-fd1098f2d862","","folder-normal","work-in-progress","","step","TRUE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 280"
"31cd3df0-e5e0-4e6f-9f2f-3abfd1e1657e","","checklist-sectioned","work-in-progress","POST - S - Internal Lining - Ceilings","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 280","Internal Lining - Ceilings"
"b0df1b2e-9d53-4142-9860-400c198ae3e7","","checklist-sectioned","not-started","POST - S - Internal Lining - Walls","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 280","Internal Lining - Walls"
"104e4308-7075-4fed-a44b-f587ec01373e","","checklist-sectioned","not-started","POST - S - Stopping","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 280","Stopping"
"24402238-54cb-4bb4-87d5-19c7d8638530","","checklist-flat","not-started","POST - S - Painting","checklist-flat","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 280","Painting"
"eb0e255f-7f03-43d9-901a-d87f6c8a7b71","","folder-normal","work-in-progress","","step","TRUE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 281"
"6036c8e3-8981-470b-9201-e7fb32677157","","checklist-sectioned","work-in-progress","POST - S - Internal Lining - Ceilings","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 281","Internal Lining - Ceilings"
"ba5c6dac-5023-48ec-afe7-28744fa8e8c0","","checklist-sectioned","not-started","POST - S - Internal Lining - Walls","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 281","Internal Lining - Walls"
"a9277395-b844-43fa-ac17-84c9a69a51f1","","checklist-sectioned","not-started","POST - S - Stopping","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 281","Stopping"
"21eb9506-70a4-4ea5-8fbc-f679194c0465","","checklist-flat","not-started","POST - S - Painting","checklist-flat","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 281","Painting"
"6912d648-6a70-45b8-aa3d-dfef1d543cfe","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 282"
"180c8efc-fff2-4c8b-a4d3-9fc20bbd84b1","","checklist-sectioned","not-started","POST - S - Internal Lining - Ceilings","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 282","Internal Lining - Ceilings"
"33a7f489-f788-4612-a056-592dc13c1828","","checklist-sectioned","not-started","POST - S - Internal Lining - Walls","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 282","Internal Lining - Walls"
"0f435bb9-110f-4d41-85ed-73ec250b6583","","checklist-sectioned","not-started","POST - S - Stopping","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 282","Stopping"
"9cbac387-4839-4c07-961b-02d41e68fa35","","checklist-flat","not-started","POST - S - Painting","checklist-flat","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 282","Painting"
"e4b25d49-80f0-4eaa-b6da-b028bc16d404","","folder-normal","work-in-progress","","step","TRUE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 283"
"f84769b7-f07d-46f5-a6e8-80d27a8ab76e","","checklist-sectioned","work-in-progress","POST - S - Internal Lining - Ceilings","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 283","Internal Lining - Ceilings"
"9884ffe3-d223-476e-a553-ba986fb62a18","","checklist-sectioned","not-started","POST - S - Internal Lining - Walls","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 283","Internal Lining - Walls"
"5b9c6a88-92d5-4ddd-b8a8-dee678f382e3","","checklist-sectioned","not-started","POST - S - Stopping","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 283","Stopping"
"d1600f3a-9045-413f-832c-7a360eaf4e0c","","checklist-flat","not-started","POST - S - Painting","checklist-flat","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 283","Painting"
"438c7108-02d9-4a97-963e-ab8ae42bb2c6","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 284"
"dfd3b58a-b933-447c-9554-8608dba65323","","checklist-sectioned","not-started","POST - S - Internal Lining - Ceilings","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 284","Internal Lining - Ceilings"
"64f9e7d6-1967-4a15-9eee-2925d39a3c47","","checklist-sectioned","not-started","POST - S - Internal Lining - Walls","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 284","Internal Lining - Walls"
"6cdf3bd2-06d3-4689-b1e0-e7ba73992a7d","","checklist-sectioned","not-started","POST - S - Stopping","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 284","Stopping"
"e1b9e0d4-e10e-4549-989f-92ed4a4c0ae6","","checklist-flat","not-started","POST - S - Painting","checklist-flat","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 284","Painting"
"b3ea6847-e3ff-43d9-9c19-3d5943c714ea","","folder-normal","work-in-progress","","step","TRUE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 285"
"71642d6b-328d-4d46-88a0-4ce6ad85caf4","","checklist-sectioned","work-in-progress","POST - S - Internal Lining - Ceilings","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 285","Internal Lining - Ceilings"
"b275ae6c-3fc7-42f8-b942-6a8b41e5ed3c","","checklist-sectioned","not-started","POST - S - Internal Lining - Walls","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 285","Internal Lining - Walls"
"4f011319-fa25-4b07-9170-a42fd792baef","","checklist-sectioned","not-started","POST - S - Stopping","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 285","Stopping"
"5a96bf37-0269-4491-81cb-6749229f069f","","checklist-flat","not-started","POST - S - Painting","checklist-flat","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 285","Painting"
"1b01f5c0-b74a-4697-964d-3aa5fba622bc","","folder-normal","work-in-progress","","step","TRUE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 286"
"713fefc0-e524-4ba8-b48d-7d81f512c770","","checklist-sectioned","work-in-progress","POST - S - Internal Lining - Ceilings","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 286","Internal Lining - Ceilings"
"06dda3a7-ed27-4b03-a0d2-952169d420de","","checklist-sectioned","not-started","POST - S - Internal Lining - Walls","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 286","Internal Lining - Walls"
"e977059f-8739-48e6-9596-9bccdd112a41","","checklist-sectioned","not-started","POST - S - Stopping","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 286","Stopping"
"77f67558-5c20-497c-96e4-6ed91242fb9e","","checklist-flat","not-started","POST - S - Painting","checklist-flat","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 286","Painting"
"e1619d38-918d-46d5-858d-3a99227ce749","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 287"
"96fc27a6-71a8-4388-a5d8-8195946efd3f","","checklist-sectioned","not-started","POST - S - Internal Lining - Ceilings","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 287","Internal Lining - Ceilings"
"5c41b21b-ae16-43a9-8a60-0e804a4fcc9c","","checklist-sectioned","not-started","POST - S - Internal Lining - Walls","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 287","Internal Lining - Walls"
"32ef182c-378e-4610-90d2-c01f386e34b3","","checklist-sectioned","not-started","POST - S - Stopping","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 287","Stopping"
"b3d09170-d137-4dc9-809d-2f9784af1241","","checklist-flat","not-started","POST - S - Painting","checklist-flat","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 287","Painting"
"8a833be9-f08c-41a5-a199-c500df07f7ff","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 288"
"750b18b0-3672-4e51-89ca-dc87eb32e212","","checklist-sectioned","not-started","POST - S - Internal Lining - Ceilings","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 288","Internal Lining - Ceilings"
"a3c2c0e8-8c98-4e07-9bfc-39fcf0c7a21c","","checklist-sectioned","not-started","POST - S - Internal Lining - Walls","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 288","Internal Lining - Walls"
"4b5fcc7b-fcd4-4b98-aa78-bdf7ef5a2fd9","","checklist-sectioned","not-started","POST - S - Stopping","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 288","Stopping"
"e60ac5ce-a82f-4a19-821e-2af4034be3ac","","checklist-flat","not-started","POST - S - Painting","checklist-flat","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 288","Painting"
"149306f7-bea7-4dc9-b407-cefb711cfc74","","folder-normal","work-in-progress","","step","TRUE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 289"
"3f1c4627-0ea3-4e91-a85b-f0b9c5f762b0","","checklist-sectioned","work-in-progress","POST - S - Internal Lining - Ceilings","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 289","Internal Lining - Ceilings"
"f4b3cf59-1f97-4993-a3f0-25afd5b83454","","checklist-sectioned","not-started","POST - S - Internal Lining - Walls","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 289","Internal Lining - Walls"
"3b78013d-08b4-450f-aaa2-0234c6991916","","checklist-sectioned","not-started","POST - S - Stopping","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 289","Stopping"
"f1ff1da5-32be-4111-b309-15aa7032d4a6","","checklist-flat","not-started","POST - S - Painting","checklist-flat","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 289","Painting"
"44c04d51-fc36-4bf2-9bf7-017028a42dfb","","folder-normal","work-in-progress","","step","TRUE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 290"
"505f38c4-493f-4214-bd92-e9df702e0bc4","","checklist-sectioned","work-in-progress","POST - S - Internal Lining - Ceilings","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 290","Internal Lining - Ceilings"
"4dc5bc40-da37-40eb-b31e-871c195a18da","","checklist-sectioned","not-started","POST - S - Internal Lining - Walls","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 290","Internal Lining - Walls"
"daf677f9-b562-4cb1-bff6-67ffebf1e11e","","checklist-sectioned","not-started","POST - S - Stopping","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 290","Stopping"
"20166a4c-9895-4e46-91de-9f3e1554ba16","","checklist-flat","not-started","POST - S - Painting","checklist-flat","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area A","Apartment - ALS/Care 290","Painting"
"8b083985-6d63-4e7d-a60c-f4975fa5826a","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1 - B01","B01 - Level 2","Area B"
"a810e80b-5b16-49a2-978e-d95d504eb8f7","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1 - B01","B01 - Level 2","Area B","Corridor- Grid lines"
"c87be6fe-1355-45c0-9a94-aafd80b0e6a0","","checklist-sectioned","not-started","POST - S - Internal Lining - Ceilings","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area B","Corridor- Grid lines","Internal Lining - Ceilings"
"91feecae-9594-4050-9468-2a3ab5de5b79","","checklist-sectioned","not-started","POST - S - Internal Lining - Walls","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area B","Corridor- Grid lines","Internal Lining - Walls"
"7f6133cd-f144-4eab-a447-a71304b8d6df","","checklist-sectioned","not-started","POST - S - Stopping","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area B","Corridor- Grid lines","Stopping"
"277a5450-acc2-4f83-ae4c-8b42c74d3c5e","","checklist-flat","not-started","POST - S - Painting","checklist-flat","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area B","Corridor- Grid lines","Painting"
"d4ce4755-dba5-4fb1-af61-18ffe621459d","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1 - B01","B01 - Level 2","Area B","Lounge"
"250227f1-3ccd-4aae-bb41-33fc3d2a6aef","","checklist-sectioned","not-started","POST - S - Internal Lining - Ceilings","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area B","Lounge","Internal Lining - Ceilings"
"9fd1b2e3-fb15-4925-9c16-7601e2b16907","","checklist-sectioned","not-started","POST - S - Internal Lining - Walls","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area B","Lounge","Internal Lining - Walls"
"3a55439d-9684-4004-994f-4de67487a822","","checklist-sectioned","not-started","POST - S - Stopping","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area B","Lounge","Stopping"
"f95e644d-35c5-40a7-a718-e516b4e0f360","","checklist-flat","not-started","POST - S - Painting","checklist-flat","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area B","Lounge","Painting"
"02fb592e-e2c7-4f4e-8156-a334525ab1fc","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1 - B01","B01 - Level 2","Area B","Lounge 01"
"559fa2c2-107c-4608-9285-73214dbdb6ef","","checklist-sectioned","not-started","POST - S - Internal Lining - Ceilings","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area B","Lounge 01","Internal Lining - Ceilings"
"e27072af-b256-4984-812c-5b5f1cb1bafc","","checklist-sectioned","not-started","POST - S - Internal Lining - Walls","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area B","Lounge 01","Internal Lining - Walls"
"549e27e1-90d3-411e-bf16-f38dbc81c88b","","checklist-sectioned","not-started","POST - S - Stopping","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area B","Lounge 01","Stopping"
"b74ecc76-eff1-4c5a-9a78-d9241e8227c3","","checklist-flat","not-started","POST - S - Painting","checklist-flat","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area B","Lounge 01","Painting"
"e4ed5a45-2268-4976-a56e-fa86e5d0b840","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1 - B01","B01 - Level 2","Area B","Hoist"
"e6285996-648c-4746-b2de-07d9ebd3b70a","","checklist-sectioned","not-started","POST - S - Internal Lining - Ceilings","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area B","Hoist","Internal Lining - Ceilings"
"afe95ca9-6456-4934-aa9f-fc5c3fc6397e","","checklist-sectioned","not-started","POST - S - Internal Lining - Walls","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area B","Hoist","Internal Lining - Walls"
"5741c512-26c5-4c6a-9732-6204107fa325","","checklist-sectioned","not-started","POST - S - Stopping","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area B","Hoist","Stopping"
"2034c143-e2f3-4dd0-800f-0c846dfa3726","","checklist-flat","not-started","POST - S - Painting","checklist-flat","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area B","Hoist","Painting"
"d64055f9-7ba5-42c9-ad91-dd4755327788","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1 - B01","B01 - Level 2","Area B","Store"
"fee30403-9813-4529-ae0a-829c74af290b","","checklist-sectioned","not-started","POST - S - Internal Lining - Ceilings","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area B","Store","Internal Lining - Ceilings"
"f8efd611-5271-4af7-bf63-1daef6090020","","checklist-sectioned","not-started","POST - S - Internal Lining - Walls","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area B","Store","Internal Lining - Walls"
"12eaf02c-a023-45c9-aa5c-3cd8d4e72d0d","","checklist-sectioned","not-started","POST - S - Stopping","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area B","Store","Stopping"
"a072ee53-2457-4484-8eca-ef3f50d2b5ad","","checklist-flat","not-started","POST - S - Painting","checklist-flat","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area B","Store","Painting"
"177c27cf-d3d4-45f0-828b-260390f1e64b","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1 - B01","B01 - Level 2","Area B","Linen Store"
"4307561d-37e3-43fc-a832-bd36722ac4d9","","checklist-sectioned","not-started","POST - S - Internal Lining - Ceilings","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area B","Linen Store","Internal Lining - Ceilings"
"297540b1-91cc-458f-b086-d04eb04ca16d","","checklist-sectioned","not-started","POST - S - Internal Lining - Walls","checklist","FALSE","FALSE","Stage 1 - B01","B01 - Level 2","Area B","Linen Store","Internal Lining - Walls"
