type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id,,,
checkpoint,Adequate support under soaker to prevent ponding.,,,,,,,,,,
checkpoint,Side and front aprons / upstands formed to correct size ,,,,,,,,,,
checkpoint,To fit the purpose.,,,,,,,,,,
checkpoint,Adequate support around penetration to prevent roof,,,,,,,,,,
checkpoint,Sheet from buckling.,,,,,,,,,,
checkpoint,Area clean and free of debris,,,,,,,,,,
checkpoint,Materials in good condition,,,,,,,,,,
section,Signoffs,,,,,,,,,,
checkpoint,Inspected and accepted by S&H authorised representative as complying with relevant Australian Standard and legislation,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,
checkpoint,Inspected and accepted by Authorized Representative,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,
checkpoint,Reinspection requested by Subcontractor,,,,,,,,,,
text,Date:,,,,,,,,,,
checkpoint,Non-Conforming Items to be Rectified,,,,,,,,,,
checkpoint,Follow up work satisfactorily,,,,,,,,,,
text,Site Supervisor: ,,,,,,,,,,
checkpoint,All items have been completed and demonstrated satisfactorily,,,,,,,,,,
text,Client Representative:,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
checklist,Kingspan Installation,,,,,,Kingspan Installation Checklist (Insulated Panel Wall - East),,,,
section,Material Inspection,,,,,,,,,,
checkpoint,Panel: KS1000 RW with Standard Liner,,,,,,,,,,
checkpoint,Internal liner colour: Standard,,,,,,,,,,
checkpoint,External liner colour: Bright White / Surfmist,,,,,,,,,,
checkpoint,"14-14 x 135mm SDS, Hex, D/Thread, 25mm Bond. Washer class 4, Surfmist",,,,,,,,,,
checkpoint,"12-14 x 20mm Self-Drilling Screw, Hex with Neo, Class 3",,,,,,,,,,
checkpoint,Butyl tape to Gutter,,,,,,,,,,
checkpoint,Butyl tape to Soffit Flashing,,,,,,,,,,
section,Installation,,,,,,,,,,
checkpoint,Internal flashings installed straight and close fitting - joins hidden,,,,,,,,,,
checkpoint,Joins and fixings hidden,,,,,,,,,,
checkpoint,Butyl sealing tape installed to Kingspan Spec,,,,,,,,,,
checkpoint,Panels located correctly,,,,,,,,,,
checkpoint,Fixings as per Kingspan Spec,,,,,,,,,,
checkpoint,Stitching screws 350mm centres,,,,,,,,,,
checkpoint,Four way lapped joins installed correctly,,,,,,,,,,
section,Signoffs,,,,,,,,,,
checkpoint,Inspected and accepted by S&H authorised representative as complying with relevant Australian Standard and legislation,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,
checkpoint,Inspected and accepted by Authorized Representative,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,
checkpoint,Reinspection requested by Subcontractor,,,,,,,,,,
text,Date:,,,,,,,,,,
checkpoint,Non-Conforming Items to be Rectified,,,,,,,,,,
checkpoint,Follow up work satisfactorily,,,,,,,,,,
text,Site Supervisor: ,,,,,,,,,,
checkpoint,All items have been completed and demonstrated satisfactorily,,,,,,,,,,
text,Client Representative:,,,,,,,,,,
,,,,,,,,,,,
checklist,Flashing/Capping Installation,,,,,,Flashing/Capping Installation Checklist (Insulated Panel Wall - East),,,,
section,Material Inspection,,,,,,,,,,
checkpoint,Flashing Material: 0.61mm Colorbond,,,,,,,,,,
checkpoint,Capping Material: 0.61mm Colorbond to match,,,,,,,,,,
section,Installation,,,,,,,,,,
checkpoint,Flashings / Cappings: Straight and in correct plane.,,,,,,,,,,
checkpoint,Fixed adequately to hold flashing in place and prevent vibration in strong winds.,,,,,,,,,,
checkpoint,Adequate lap at joins.,,,,,,,,,,
checkpoint,Silicone sealed under laps and where necessary to make waterproof.,,,,,,,,,,
checkpoint,Rivets and fixings sealed where necessary,,,,,,,,,,
checkpoint,Adequate support to prevent buckling.,,,,,,,,,,
checkpoint,Area clean and free of debris,,,,,,,,,,
checkpoint,Materials in good condition,,,,,,,,,,
section,Signoffs,,,,,,,,,,
checkpoint,Inspected and accepted by S&H authorised representative as complying with relevant Australian Standard and legislation,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,
checkpoint,Inspected and accepted by Authorized Representative,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,
checkpoint,Reinspection requested by Subcontractor,,,,,,,,,,
text,Date:,,,,,,,,,,
checkpoint,Non-Conforming Items to be Rectified,,,,,,,,,,
checkpoint,Follow up work satisfactorily,,,,,,,,,,
text,Site Supervisor: ,,,,,,,,,,
checkpoint,All items have been completed and demonstrated satisfactorily,,,,,,,,,,
text,Client Representative:,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
checklist,Kingspan Installation,,,,,,Kingspan Installation Checklist (Insulated Panel Wall - West & South),,,,
section,Material Inspection,,,,,,,,,,
checkpoint,Panel: KSAWP with Standard Liner,,,,,,,,,,
checkpoint,Internal liner colour: Standard,,,,,,,,,,
checkpoint,External liner colour: Bright White / Surfmist,,,,,,,,,,
checkpoint,Screw to suit profile,,,,,,,,,,
checkpoint,Butyl tape to Gutter,,,,,,,,,,
checkpoint,Butyl tape to Soffit Flashing,,,,,,,,,,
section,Installation,,,,,,,,,,
checkpoint,Internal flashings installed straight and close fitting - joins hidden,,,,,,,,,,
checkpoint,Joins and fixings hidden,,,,,,,,,,
checkpoint,Butyl sealing tape installed to Kingspan Spec,,,,,,,,,,
checkpoint,Panels located correctly,,,,,,,,,,
checkpoint,Fixings as per Kingspan Spec,,,,,,,,,,
checkpoint,Stitching screws 350mm centres,,,,,,,,,,
checkpoint,Four way lapped joins installed correctly,,,,,,,,,,
section,Signoffs,,,,,,,,,,
checkpoint,Inspected and accepted by S&H authorised representative as complying with relevant Australian Standard and legislation,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,
checkpoint,Inspected and accepted by Authorized Representative,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,
checkpoint,Reinspection requested by Subcontractor,,,,,,,,,,
text,Date:,,,,,,,,,,
checkpoint,Non-Conforming Items to be Rectified,,,,,,,,,,
checkpoint,Follow up work satisfactorily,,,,,,,,,,
text,Site Supervisor: ,,,,,,,,,,
checkpoint,All items have been completed and demonstrated satisfactorily,,,,,,,,,,
text,Client Representative:,,,,,,,,,,
,,,,,,,,,,,
checklist,Flashing/Capping Installation,,,,,,Flashing/Capping Installation Checklist (Insulated Panel Wall - West & South),,,,
section,Material Inspection,,,,,,,,,,
checkpoint,Flashing Material: 0.61mm Colorbond,,,,,,,,,,
checkpoint,Capping Material: 0.61mm Colorbond to match,,,,,,,,,,
section,Installation,,,,,,,,,,
checkpoint,Flashings / Cappings: Straight and in correct plane.,,,,,,,,,,
checkpoint,Fixed adequately to hold flashing in place and prevent vibration in strong winds.,,,,,,,,,,
checkpoint,Adequate lap at joins.,,,,,,,,,,
checkpoint,Silicone sealed under laps and where necessary to make waterproof.,,,,,,,,,,
checkpoint,Rivets and fixings sealed where necessary,,,,,,,,,,
checkpoint,Adequate support to prevent buckling.,,,,,,,,,,
checkpoint,Area clean and free of debris,,,,,,,,,,
checkpoint,Materials in good condition,,,,,,,,,,
section,Signoffs,,,,,,,,,,
checkpoint,Inspected and accepted by S&H authorised representative as complying with relevant Australian Standard and legislation,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,
checkpoint,Inspected and accepted by Authorized Representative,,,,,,,,,,
text,Checked and Signed by: ,,,,,,,,,,
checkpoint,Reinspection requested by Subcontractor,,,,,,,,,,
text,Date:,,,,,,,,,,
checkpoint,Non-Conforming Items to be Rectified,,,,,,,,,,
checkpoint,Follow up work satisfactorily,,,,,,,,,,
text,Site Supervisor: ,,,,,,,,,,
checkpoint,All items have been completed and demonstrated satisfactorily,,,,,,,,,,
text,Client Representative:,,,,,,,,,,
,,,,,,,,,,,
checklist,COVID Contact Tracing Register - add additional register,,,,,,Record COVID Contact Tracing Details,e0d48544-4adf-4137-bee6-b947c879c636,,,
section,Details,,,,,,,,,,
checkpoint,All COVID Contact Tracing Register details inputted below,,,,,,,,,,
textbox,Building:,,,,,,,,,,
textbox,Work Area:,,,,,,,,,,
textbox,Employee Names:,,,,,,,,,,
textbox,Time Frames:,,,,,,,,,,
