"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9c3183e5-9497-43cc-89dd-6a45af15d5ad","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site Diary"
"3765fc7a-57e9-4306-af09-43101ca268c7","","folder-normal","not-started","","step","TRUE","FALSE","Site Diary","Undocumented variations"
"347f992a-4053-426b-b326-64a3deac78a7","","checklist-flat","not-started","Sprinkler Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","B1"
"77ba8062-f6e6-44e5-af32-060cce8d7052","","checklist-flat","fail","Sprinkler Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","B2"
"4840c456-8e1e-45ca-bda1-22ce98e0a6d5","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Rough In","Ground"
"f7d15fa7-b78b-4bed-814b-b84b14d6acaa","","checklist-flat","pass","Sprinkler Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Ground","Ground Carpark"
"8066a14d-6a94-4dbf-804f-dfed4fc7fd1a","","checklist-flat","pass","Sprinkler Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Ground","Ground Tenancies"
"5bf666fd-c04e-4972-8b53-063f9ad50a43","","checklist-flat","pass","Sprinkler Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Ground","Ground End of Trip"
"a645dffd-47ac-4754-98c9-03980c6c74a6","","checklist-flat","fail","Sprinkler Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Upper Ground"
"18757db5-f311-4e29-957e-5f4ad8413249","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rough In","Level 1"
"8ad71f3d-7548-4933-bd92-72a8a9a646fc","","checklist-flat","not-started","Sprinkler Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Level 1","Level 1 Carpark"
"f4e2910b-7e9c-4994-8354-dc59ad4201d8","","checklist-flat","not-started","Sprinkler Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Level 1","Level 1 Office"
"2240696d-4d1d-4782-b99a-05d2d41748d6","","checklist-flat","not-started","Sprinkler Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Level 1","Level 1 End of Trip"
"f51135e4-accc-48d5-b77d-3479631501e6","","checklist-flat","pass","Sprinkler Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Level 2"
"36c4fe95-7268-4bbb-ae7f-8fe2bf99beae","","checklist-flat","pass","Sprinkler Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Level 3"
"3ec24af1-b411-4fc9-a68d-d524b2e05378","","checklist-flat","pass","Sprinkler Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Level 4"
"4b261db8-2627-46a2-90de-71412eee7e01","","checklist-flat","pass","Sprinkler Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Level 5"
"b35deaa7-d6c7-40b5-bf5f-1417b6a171a3","","checklist-flat","pass","Sprinkler Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Level 6"
"4e08c345-4e24-4629-960a-b79502fc9bbe","","checklist-flat","pass","Sprinkler Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Level 7"
"48a38811-16f7-4209-bae4-e45027673ce2","","checklist-flat","pass","Sprinkler Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Level 8"
"2269aa30-661c-48e0-a965-87bbad549200","","checklist-flat","pass","Sprinkler Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Level 9"
"4ba01126-e45c-4045-be4b-57095176d4c6","","checklist-flat","pass","Sprinkler Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Level 10"
"983a6e21-86b6-4398-bbed-5dd354941fb4","","checklist-flat","not-started","Sprinkler Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Level 11"
"b6065237-cb02-4278-844f-2b38d7ceebdf","","checklist-flat","not-started","Sprinkler Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Level 12"
"5b0bc4e0-6d83-47c4-bd8d-8e4700c9da34","","checklist-flat","not-started","Sprinkler Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Roof"
"14cefe90-51b6-4d45-a3bf-c3811a5bd995","","checklist-flat","pass","Sprinkler Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Level 2 Wall Wetters"
"74da2b1c-62c6-4397-9145-50a2fab2be7c","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Fit Off"
"ad851258-dadd-4d78-abf7-a563fa7e64ba","","checklist-flat","not-started","Sprinkler Fit Off Checklist","checklist-flat","FALSE","FALSE","Site QA","Fit Off","B1"
"d2099f22-d0ca-4956-bb42-cd670b8fd2f9","","checklist-flat","not-started","Sprinkler Fit Off Checklist","checklist-flat","FALSE","FALSE","Site QA","Fit Off","B2"
"1875c18a-e837-423e-9cdd-83a617b41659","","checklist-flat","not-started","Sprinkler Fit Off Checklist","checklist-flat","FALSE","FALSE","Site QA","Fit Off","Ground"
"3d2dafaf-bc7b-48ac-bce8-23fac924b4c9","","checklist-flat","not-started","Sprinkler Fit Off Checklist","checklist-flat","FALSE","FALSE","Site QA","Fit Off","Upper Ground"
"4bb2916b-8a2b-4658-8521-4d9ad3080979","","checklist-flat","not-started","Sprinkler Fit Off Checklist","checklist-flat","FALSE","FALSE","Site QA","Fit Off","Level 1"
"e16aaab8-f228-4f26-bffb-eeb7fe62936d","","checklist-flat","not-started","Sprinkler Fit Off Checklist","checklist-flat","FALSE","FALSE","Site QA","Fit Off","Level 2"
"a37dfd0a-f741-486a-923b-d9e68f3b92d0","","checklist-flat","not-started","Sprinkler Fit Off Checklist","checklist-flat","FALSE","FALSE","Site QA","Fit Off","Level 3"
"c9309ff4-8ce7-4ada-bd19-e2b69f54014b","","checklist-flat","not-started","Sprinkler Fit Off Checklist","checklist-flat","FALSE","FALSE","Site QA","Fit Off","Level 4"
"bbee9a69-1e1f-4493-bb69-790b5788ece8","","checklist-flat","not-started","Sprinkler Fit Off Checklist","checklist-flat","FALSE","FALSE","Site QA","Fit Off","Level 5"
"37de66be-c50c-411c-941f-e408953ef4e5","","checklist-flat","not-started","Sprinkler Fit Off Checklist","checklist-flat","FALSE","FALSE","Site QA","Fit Off","Level 6"
"ed6c119c-698b-47bb-a8cd-cc384f076349","","checklist-flat","not-started","Sprinkler Fit Off Checklist","checklist-flat","FALSE","FALSE","Site QA","Fit Off","Level 7"
"9ee80972-9dae-46fd-9aeb-87c49f6b0078","","checklist-flat","not-started","Sprinkler Fit Off Checklist","checklist-flat","FALSE","FALSE","Site QA","Fit Off","Level 8"
"d86ca225-2e13-4626-a7cf-deb15fdce62e","","checklist-flat","not-started","Sprinkler Fit Off Checklist","checklist-flat","FALSE","FALSE","Site QA","Fit Off","Level 9"
"ce293a9f-c79a-4a59-8233-7ca3a65447c4","","checklist-flat","not-started","Sprinkler Fit Off Checklist","checklist-flat","FALSE","FALSE","Site QA","Fit Off","Level 10"
"15d941b8-8051-4891-a219-9168b3e4ff3d","","checklist-flat","not-started","Sprinkler Fit Off Checklist","checklist-flat","FALSE","FALSE","Site QA","Fit Off","Level 11"
"7fa9ac7f-54af-4a0b-b6f6-098b3ec3a55d","","checklist-flat","not-started","Sprinkler Fit Off Checklist","checklist-flat","FALSE","FALSE","Site QA","Fit Off","Level 12"
"ff403367-9a7d-4df7-83aa-8ee51c5021c4","","checklist-flat","not-started","Sprinkler Fit Off Checklist","checklist-flat","FALSE","FALSE","Site QA","Fit Off","Roof"
"78d10d54-5847-40cf-9741-7827be71905d","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Fire Penetrations"
"11dc70ee-9ebf-468e-a970-fcdd2d6a134f","","checklist-flat","not-started","Fire Penetrations Checklist","checklist-flat","FALSE","FALSE","Site QA","Fire Penetrations","B1"
"711816c2-a832-4fea-8ab3-00976ea7c3ee","","checklist-flat","not-started","Fire Penetrations Checklist","checklist-flat","FALSE","FALSE","Site QA","Fire Penetrations","B2"
"0e5a9da2-ef33-41f3-b8aa-18751b36cf65","","checklist-flat","not-started","Fire Penetrations Checklist","checklist-flat","FALSE","FALSE","Site QA","Fire Penetrations","Ground"
"6f44e1af-4dc1-4bb2-b5d6-13201e5e5cfd","","checklist-flat","not-started","Fire Penetrations Checklist","checklist-flat","FALSE","FALSE","Site QA","Fire Penetrations","Upper Ground"
"b960f684-a437-4651-a9ed-049584ac110c","","checklist-flat","not-started","Fire Penetrations Checklist","checklist-flat","FALSE","FALSE","Site QA","Fire Penetrations","Level 1"
"588ffe6a-2a02-4538-a50a-489ec404cf49","","checklist-flat","not-started","Fire Penetrations Checklist","checklist-flat","FALSE","FALSE","Site QA","Fire Penetrations","Level 2"
"2aa77482-e6d1-4eac-b3c7-598717cd6d64","","checklist-flat","not-started","Fire Penetrations Checklist","checklist-flat","FALSE","FALSE","Site QA","Fire Penetrations","Level 3"
"c26f4877-dc3a-4b85-915f-908f84d74f1b","","checklist-flat","not-started","Fire Penetrations Checklist","checklist-flat","FALSE","FALSE","Site QA","Fire Penetrations","Level 4"
"6d5252ab-3401-478e-8c5f-3b40cc66e768","","checklist-flat","not-started","Fire Penetrations Checklist","checklist-flat","FALSE","FALSE","Site QA","Fire Penetrations","Level 5"
"3e07ae7d-a9e2-4036-ae0b-19c22e4517a3","","checklist-flat","not-started","Fire Penetrations Checklist","checklist-flat","FALSE","FALSE","Site QA","Fire Penetrations","Level 6"
"f749ca81-f2a1-4b11-9e4a-265442a0ec8b","","checklist-flat","not-started","Fire Penetrations Checklist","checklist-flat","FALSE","FALSE","Site QA","Fire Penetrations","Level 7"
"a15d5070-bdff-4df0-bc31-448e27447980","","checklist-flat","not-started","Fire Penetrations Checklist","checklist-flat","FALSE","FALSE","Site QA","Fire Penetrations","Level 8"
"12bfbb0c-e1cc-45b8-9b7a-f02c5625ce25","","checklist-flat","not-started","Fire Penetrations Checklist","checklist-flat","FALSE","FALSE","Site QA","Fire Penetrations","Level 9"
"85ce9207-2bc2-4175-9e07-19f95b34a9bc","","checklist-flat","not-started","Fire Penetrations Checklist","checklist-flat","FALSE","FALSE","Site QA","Fire Penetrations","Level 10"
"f704694e-7dcf-47ef-a071-caead557cf8a","","checklist-flat","not-started","Fire Penetrations Checklist","checklist-flat","FALSE","FALSE","Site QA","Fire Penetrations","Level 11"
"d63730bf-a962-4a72-9e8d-7a5fcda62b80","","checklist-flat","not-started","Fire Penetrations Checklist","checklist-flat","FALSE","FALSE","Site QA","Fire Penetrations","Level 12"
"53d6ac2e-7b02-40f2-b446-2867d7947391","","checklist-flat","not-started","Fire Penetrations Checklist","checklist-flat","FALSE","FALSE","Site QA","Fire Penetrations","Roof"
"8768d9c1-61bc-46b3-b921-e2e10496e544","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Hydrant/ Sprinkler Mains / Risers / Hose Reels"
"e2bc8494-39e5-4056-b9a7-0bdd389ed43f","","checklist-flat","not-started","Hydrant/Sprinkler Mains/Risers/Hose Reel Checklist","checklist-flat","FALSE","FALSE","Site QA","Hydrant/ Sprinkler Mains / Risers / Hose Reels","B1"
"3e7ec8c4-1e0f-4745-bcc4-f51da92163db","","checklist-flat","not-started","Hydrant/Sprinkler Mains/Risers/Hose Reel Checklist","checklist-flat","FALSE","FALSE","Site QA","Hydrant/ Sprinkler Mains / Risers / Hose Reels","B2"
"2f525adc-b97d-462e-9009-678311e623cb","","checklist-flat","not-started","Hydrant/Sprinkler Mains/Risers/Hose Reel Checklist","checklist-flat","FALSE","FALSE","Site QA","Hydrant/ Sprinkler Mains / Risers / Hose Reels","Ground"
"0b5fb9fd-ca52-465e-8505-74363bc25f39","","checklist-flat","not-started","Hydrant/Sprinkler Mains/Risers/Hose Reel Checklist","checklist-flat","FALSE","FALSE","Site QA","Hydrant/ Sprinkler Mains / Risers / Hose Reels","Upper Ground"
"762622ca-6d24-44f3-8334-48d11fe4432a","","checklist-flat","not-started","Hydrant/Sprinkler Mains/Risers/Hose Reel Checklist","checklist-flat","FALSE","FALSE","Site QA","Hydrant/ Sprinkler Mains / Risers / Hose Reels","Level 1"
"9a439522-0ca7-48e0-ae57-9cccc52c41dd","","checklist-flat","not-started","Hydrant/Sprinkler Mains/Risers/Hose Reel Checklist","checklist-flat","FALSE","FALSE","Site QA","Hydrant/ Sprinkler Mains / Risers / Hose Reels","Level 2"
"26c84a0e-c22c-40d4-8183-36f19de5ee26","","checklist-flat","not-started","Hydrant/Sprinkler Mains/Risers/Hose Reel Checklist","checklist-flat","FALSE","FALSE","Site QA","Hydrant/ Sprinkler Mains / Risers / Hose Reels","Level 3"
"710c0f1f-2c0f-4342-9de9-5c42a06d820b","","checklist-flat","not-started","Hydrant/Sprinkler Mains/Risers/Hose Reel Checklist","checklist-flat","FALSE","FALSE","Site QA","Hydrant/ Sprinkler Mains / Risers / Hose Reels","Level 4"
"e42e2c88-5e3d-4d24-b3fd-d0377b174175","","checklist-flat","not-started","Hydrant/Sprinkler Mains/Risers/Hose Reel Checklist","checklist-flat","FALSE","FALSE","Site QA","Hydrant/ Sprinkler Mains / Risers / Hose Reels","Level 5"
"9c7fc932-97bb-40f7-a9df-626958d60c25","","checklist-flat","not-started","Hydrant/Sprinkler Mains/Risers/Hose Reel Checklist","checklist-flat","FALSE","FALSE","Site QA","Hydrant/ Sprinkler Mains / Risers / Hose Reels","Level 6"
"a51c8d4b-abc4-4e17-92d4-2e150fc81af6","","checklist-flat","not-started","Hydrant/Sprinkler Mains/Risers/Hose Reel Checklist","checklist-flat","FALSE","FALSE","Site QA","Hydrant/ Sprinkler Mains / Risers / Hose Reels","Level 7"
"eed031a2-93c3-47d4-a377-ec0e935bd9f8","","checklist-flat","not-started","Hydrant/Sprinkler Mains/Risers/Hose Reel Checklist","checklist-flat","FALSE","FALSE","Site QA","Hydrant/ Sprinkler Mains / Risers / Hose Reels","Level 8"
"488bc03b-1bb1-4a3f-b3cb-b7fde19e1a31","","checklist-flat","not-started","Hydrant/Sprinkler Mains/Risers/Hose Reel Checklist","checklist-flat","FALSE","FALSE","Site QA","Hydrant/ Sprinkler Mains / Risers / Hose Reels","Level 9"
"6007470a-e578-4242-9407-815faf8f2cab","","checklist-flat","not-started","Hydrant/Sprinkler Mains/Risers/Hose Reel Checklist","checklist-flat","FALSE","FALSE","Site QA","Hydrant/ Sprinkler Mains / Risers / Hose Reels","Level 10"
"fc338414-8f3d-4a5f-9843-1dc76a62530f","","checklist-flat","not-started","Hydrant/Sprinkler Mains/Risers/Hose Reel Checklist","checklist-flat","FALSE","FALSE","Site QA","Hydrant/ Sprinkler Mains / Risers / Hose Reels","Level 11"
"5292d656-61d6-4958-9b15-14f82f15d538","","checklist-flat","not-started","Hydrant/Sprinkler Mains/Risers/Hose Reel Checklist","checklist-flat","FALSE","FALSE","Site QA","Hydrant/ Sprinkler Mains / Risers / Hose Reels","Level 12"
"d24dff32-2c42-4265-b6ba-4c61e6e7c7cd","","checklist-flat","not-started","Hydrant/Sprinkler Mains/Risers/Hose Reel Checklist","checklist-flat","FALSE","FALSE","Site QA","Hydrant/ Sprinkler Mains / Risers / Hose Reels","Roof"
"6a57818a-22e3-4cf3-9228-8fb4f729710c","","checklist-flat","not-started","Sprinkler Control Valves Checklist","checklist-flat","FALSE","FALSE","Site QA","Sprinkler Control Valves"
"cbf08102-f98f-4a83-a29a-3423ecfba8dd","","checklist-flat","not-started","Fire Booster Cupboard Checklist","checklist-flat","FALSE","FALSE","Site QA","Fire Booster Cupboard"
"c6938bf9-8f77-42fe-9c1f-134bd3ab2cce","","checklist-flat","not-started","Fire Pumps/Tanks Checklist","checklist-flat","FALSE","FALSE","Site QA","Fire Pumps/Tanks"
"8dd946f1-0c04-4e77-bcbf-c056c9a01976","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Fire Extinguishers/Blankets"
"6075a804-6c1c-4bc3-a5b8-84b7fd25ad42","","checklist-flat","not-started","Fire Extinguishers/Blankets","checklist-flat","FALSE","FALSE","Site QA","Fire Extinguishers/Blankets","B1"
"7df73199-23dd-4972-a243-2cd509387c18","","checklist-flat","not-started","Fire Extinguishers/Blankets","checklist-flat","FALSE","FALSE","Site QA","Fire Extinguishers/Blankets","B2"
"a4c0a3e7-0b87-4107-97c9-6386dcd3778b","","checklist-flat","not-started","Fire Extinguishers/Blankets","checklist-flat","FALSE","FALSE","Site QA","Fire Extinguishers/Blankets","Ground"
"2d375607-96be-41e6-95b0-93384ee65b92","","checklist-flat","not-started","Fire Extinguishers/Blankets","checklist-flat","FALSE","FALSE","Site QA","Fire Extinguishers/Blankets","Upper Ground"
"c19bb195-b55a-4b87-92a1-5760cb4bcc69","","checklist-flat","not-started","Fire Extinguishers/Blankets","checklist-flat","FALSE","FALSE","Site QA","Fire Extinguishers/Blankets","Level 1"
"019c109d-7b78-43e3-813f-ab603d26bee4","","checklist-flat","not-started","Fire Extinguishers/Blankets","checklist-flat","FALSE","FALSE","Site QA","Fire Extinguishers/Blankets","Level 2"
"ca6498df-bb1a-48b1-9ae9-34d4f5475abf","","checklist-flat","not-started","Fire Extinguishers/Blankets","checklist-flat","FALSE","FALSE","Site QA","Fire Extinguishers/Blankets","Level 3"
"f6c53978-c7e6-47a9-8374-acd942ffb2a2","","checklist-flat","not-started","Fire Extinguishers/Blankets","checklist-flat","FALSE","FALSE","Site QA","Fire Extinguishers/Blankets","Level 4"
"6b61b01d-71eb-423e-8302-2181b69d9682","","checklist-flat","not-started","Fire Extinguishers/Blankets","checklist-flat","FALSE","FALSE","Site QA","Fire Extinguishers/Blankets","Level 5"
"8f4e6bf3-1987-4d0b-bac0-aa09bb886016","","checklist-flat","not-started","Fire Extinguishers/Blankets","checklist-flat","FALSE","FALSE","Site QA","Fire Extinguishers/Blankets","Level 6"
"0674c7e1-cf12-4ec0-986f-019bc1411b8c","","checklist-flat","not-started","Fire Extinguishers/Blankets","checklist-flat","FALSE","FALSE","Site QA","Fire Extinguishers/Blankets","Level 7"
"0f9badfe-0d0f-4aba-844d-29aaabee51ec","","checklist-flat","not-started","Fire Extinguishers/Blankets","checklist-flat","FALSE","FALSE","Site QA","Fire Extinguishers/Blankets","Level 8"
"23791bca-9c4e-4d5d-b333-d5e251fdc5b5","","checklist-flat","not-started","Fire Extinguishers/Blankets","checklist-flat","FALSE","FALSE","Site QA","Fire Extinguishers/Blankets","Level 9"
"5eaa59b5-e74a-4e98-aa9a-ea31493fe1c5","","checklist-flat","not-started","Fire Extinguishers/Blankets","checklist-flat","FALSE","FALSE","Site QA","Fire Extinguishers/Blankets","Level 10"
"214269de-b5d2-4f75-a4f9-fa3675333264","","checklist-flat","not-started","Fire Extinguishers/Blankets","checklist-flat","FALSE","FALSE","Site QA","Fire Extinguishers/Blankets","Level 11"
"39a8b3d7-dd38-48e4-93e1-043570146505","","checklist-flat","not-started","Fire Extinguishers/Blankets","checklist-flat","FALSE","FALSE","Site QA","Fire Extinguishers/Blankets","Level 12"
"3c34a39b-4b6b-4597-b1eb-99b443b6dbad","","checklist-flat","not-started","Fire Extinguishers/Blankets","checklist-flat","FALSE","FALSE","Site QA","Fire Extinguishers/Blankets","Roof"
"ec5062ec-262b-40bf-adea-6a4ac5b1c79f","","checklist-flat","not-started","Commissioning","checklist-flat","FALSE","FALSE","Site QA","Commissioning"
"59f24fb7-c83c-4751-83df-86649d39bc21","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Variations"
"f5337ca4-8348-434d-a6ee-197048cf45c4","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Incident Reports"
"9e28fdc3-a34e-4e59-905e-c03fd13032a4","","checklist-sectioned","not-started","Toolbox Meeting Checklist","checklist","FALSE","FALSE","Toolbox Meeting Checklist 8/12"
