"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"cc24d03a-7054-405c-8551-e20ac26911e9","","checklist-flat","not-started","Job Details Checklist","checklist-flat","FALSE","FALSE","Job Details"
"0b619aa2-839a-5ece-a4b2-b8c5a2c656d1","","checkpoint-status","not-started","","","TRUE","TRUE","Job Details","Project details entered below"
"1ec2e818-c8c6-4c93-8d4a-88fb411d1ec7","","folder-normal","not-started","","step","TRUE","FALSE","Panel QA"
"dd848cf3-c684-469e-8059-041f52888754","","folder-normal","not-started","","step","TRUE","FALSE","Panel QA","Panels"
"fb0ea07b-9172-4c82-9b33-adeb2e1e4f8a","","checklist-sectioned","not-started","Precast Panel QA (V1)","checklist","FALSE","FALSE","Panel QA","Panels","PG1-01"
"a674ea75-00b3-58fe-ad3e-d60b97ee9be6","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","PG1-01","Precast Element Details"
"9dd96f48-5d18-59d8-ae4c-19c324fd3e95","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-01","Prepour Checks","Shop Drawing Checked Off (attach photo)"
"45626e4b-f7fd-5e86-b614-22cae232df8e","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","PG1-01","Demould Inspection"
"c4d37c3b-42b8-5628-8ca3-8fe33b25af77","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-01","Demould Inspection","Demould Inspection complete"
"fc495f00-92a7-55b6-8b98-3ef8f3565b9c","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","PG1-01","Loading Out"
"773172b7-8ae0-5dca-a6ab-dc30b46797cb","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-01","Loading Out","Photo take of Panel on Truck"
"f40b8473-3c2c-5a72-b103-5f727b244353","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-01","Loading Out","No remedial work required on site"
"8bc07b35-b1b4-5580-a76f-7a2d84e23a20","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","PG1-01","Test Results, Certificates and Documentation"
"0533a86c-2b1b-5f66-80b0-1d7602a0fc99","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-01","Test Results, Certificates and Documentation","Upload reinforcing detail sheets"
"499a04d1-a7dc-5be9-aa51-1a8d52dbd4a3","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-01","Test Results, Certificates and Documentation","Concrete Docket Attached"
"ccf306f1-293f-54f1-9fb6-ea8af7736241","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-01","Test Results, Certificates and Documentation","Upload Concrete test results"
"36163802-4d22-54b5-b1a8-4d8a1471f43e","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-01","Test Results, Certificates and Documentation","Upload Photo of Reinforcing Cast # Tracking"
"20e1652c-5e12-59c7-add8-9971d44f6c38","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-01","Test Results, Certificates and Documentation","Upload Lift Designs"
"cecb8b9d-8c3a-4cf6-b40a-3ca7d26d4efe","","checklist-sectioned","not-started","Precast Panel QA (V1)","checklist","FALSE","FALSE","Panel QA","Panels","PG1-02"
"97b8ba58-5994-51e8-a391-bc1dc73eea4a","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","PG1-02","Precast Element Details"
"9bcae658-cd38-56df-bdaa-6b4d81618f61","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-02","Precast Element Details","Concrete Details Complete"
"2880d397-01fe-555e-856a-66b447820426","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","PG1-02","Formwork Set Up Checks"
"ee4553f0-85c0-5ce0-a63e-3f6311d655b4","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-02","Formwork Set Up Checks","Length/Width/Thickness/Cutouts/Diagonals"
"08e1a723-7089-5c50-89c8-e5f8f3cd7de9","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-02","Formwork Set Up Checks","Edge Details & Rebates"
"0419e5ff-61cf-5d5c-9f70-deb1c554942b","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-02","Formwork Set Up Checks","Inserts on MF (Weld plates, RB's, TIM's, Penetrations, DB Bottoms)"
"bb733aba-09ab-5034-8964-55508bdfd890","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-02","Formwork Set Up Checks","MF roughening's"
"99221eef-0ef5-58cb-bf43-31633a733991","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-02","Formwork Set Up Checks","Sides Straight & Magnets Fastened"
"4cec0a5e-65a4-5886-85ee-2f889d6fbb83","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-02","Formwork Set Up Checks","Mould Face Clean"
"3395ad1e-8579-5f1d-a857-15b67a5e6d54","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","PG1-02","Prepour Checks"
"d96ea80c-c0ea-54d1-a106-d6b61639c529","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-02","Prepour Checks","Mould Cleaned & Oiled"
"f2da6898-dd5a-5580-a845-088308a97ef9","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-02","Prepour Checks","Reinforcing details checked/highlighted off against shop drawing (Bar sizes, grades and spacings)"
"80c73cd8-00ae-52fc-840e-8ffa05fe6fb9","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-02","Prepour Checks","Check covers on all sides, MF and TF"
"a09ea4e0-dfde-53e4-bc56-f5ba9e2e59e0","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-02","Prepour Checks","There is sufficient cover to rebates around openings or weatherproofing details"
"3de17f1a-a284-54e3-98cd-a8d5809821a2","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-02","Prepour Checks","Starters (Size, Grade, Setout and Length)"
"7876de86-b03a-5b22-9255-acfc99dfe1d7","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-02","Prepour Checks","Inserts on TF (Weld plates, RB's, TIM's, Penetrations, DB's, Rebates)"
"b5a9844d-f380-5c83-8d61-b1efaa625473","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-02","Prepour Checks","Drossbach Locations and Length"
"94fd9536-f646-50b9-bb01-3c91e694a6bf","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-02","Prepour Checks","Lifters"
"0666d06a-8057-5cc5-a1ae-49b7be54ab41","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-02","Prepour Checks","Tie wire Trimmed"
"b3ceed44-fb61-55f9-8015-c5884fa2489e","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-02","Prepour Checks","Panel fully clean"
"f374939b-d60c-5f0d-9b55-2c32463b9833","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-02","Prepour Checks","General Photos Attached"
"0f9e34d1-0d4c-5b55-8a30-c86bdc2b39c9","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-02","Prepour Checks","Shop Drawing Checked Off (attach photo)"
"770524cc-cebe-539d-834f-2d4c19fbb8f7","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","PG1-02","Demould Inspection"
"4fb9ff55-35ae-5ab8-9f4f-c9a421e86583","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-02","Demould Inspection","Demould Inspection complete"
"b322e254-1fa7-5efc-a0ac-cf0479067019","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","PG1-02","Loading Out"
"703efd27-0f0d-53e3-b649-c8bc76e43bc9","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-02","Loading Out","Photo take of Panel on Truck"
"2025a6c1-1d74-5fdb-a6b5-670b17036ce7","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-02","Loading Out","No remedial work required on site"
"15868a46-13fe-5807-ad2c-e1709d76d8e1","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","PG1-02","Test Results, Certificates and Documentation"
"ff0d0d61-c79a-5672-ae46-8650bd432d37","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-02","Test Results, Certificates and Documentation","Upload reinforcing detail sheets"
"0e0f0286-e771-5fdd-a874-eac2e4d25c72","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-02","Test Results, Certificates and Documentation","Concrete Docket Attached"
"444990a4-2e81-524c-86c4-20da6700218a","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-02","Test Results, Certificates and Documentation","Upload Concrete test results"
"bd1780ea-f1ae-5477-802e-639d807ab115","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-02","Test Results, Certificates and Documentation","Upload Photo of Reinforcing Cast # Tracking"
"d8a6ec7c-f406-5cc2-997e-8762a25c324e","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-02","Test Results, Certificates and Documentation","Upload Lift Designs"
"9d179b3c-1fd0-40c7-b804-75fe5feaee60","","checklist-sectioned","not-started","Precast Panel QA (V1)","checklist","FALSE","FALSE","Panel QA","Panels","PG1-03"
"5f653bd2-a16b-506e-86f0-78562ed61a6a","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","PG1-03","Precast Element Details"
"dd3a3d1a-aaa9-5214-aaa8-6a91ddb32bca","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-03","Precast Element Details","Concrete Details Complete"
"97f41bba-4dc6-5432-9910-70e97eae7f94","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","PG1-03","Formwork Set Up Checks"
"1563a72b-8124-57c9-978a-f43108a4c6fb","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-03","Formwork Set Up Checks","Length/Width/Thickness/Cutouts/Diagonals"
"e86fb002-7685-5545-8208-c15a57832a5c","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-03","Formwork Set Up Checks","Edge Details & Rebates"
"8e878c4b-9355-576a-aa1e-9e48d2a34487","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-03","Formwork Set Up Checks","Inserts on MF (Weld plates, RB's, TIM's, Penetrations, DB Bottoms)"
"df517c20-d766-5bb6-8172-916d89d72315","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-03","Formwork Set Up Checks","MF roughening's"
"701d4642-5b0c-5bdc-9d71-3b5adda3f986","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-03","Formwork Set Up Checks","Sides Straight & Magnets Fastened"
"8193d234-cd7c-5aba-adbb-61f5928bd1c6","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-03","Formwork Set Up Checks","Mould Face Clean"
"c40e3d6f-78f7-59bd-a25f-e6db7c3c2a0b","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","PG1-03","Prepour Checks"
"65803ae4-eb47-5cc3-9185-7632000a770f","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-03","Prepour Checks","Mould Cleaned & Oiled"
"f8902ceb-61dc-5cde-b12f-cf5d89e2485c","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-03","Prepour Checks","Reinforcing details checked/highlighted off against shop drawing (Bar sizes, grades and spacings)"
"933769b0-3d4c-57c2-86dd-2978deead6a2","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-03","Prepour Checks","Check covers on all sides, MF and TF"
"4fe5164d-2461-5b00-a208-b85a52e44aef","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-03","Prepour Checks","There is sufficient cover to rebates around openings or weatherproofing details"
"29e3931d-5488-5750-99ba-0948f837556b","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-03","Prepour Checks","Starters (Size, Grade, Setout and Length)"
"2d36879c-5b32-5eef-894f-cce505d74838","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-03","Prepour Checks","Inserts on TF (Weld plates, RB's, TIM's, Penetrations, DB's, Rebates)"
"1ae50e68-444b-5069-b2cc-962bec5a3c12","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-03","Prepour Checks","Drossbach Locations and Length"
"544e5cb0-0a33-5f7e-8cd6-b68d76a7a22d","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-03","Prepour Checks","Lifters"
"25779035-9f1e-5f7e-9d37-55be9223048e","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-03","Prepour Checks","Tie wire Trimmed"
"7123661d-3c4d-5a51-9ce1-711fbc17da0f","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-03","Prepour Checks","Panel fully clean"
"aef05405-1b15-53b3-bccb-4a4b7bc6885a","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-03","Prepour Checks","General Photos Attached"
"205d83bf-d699-5d1f-a446-34c7134c8b2d","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-03","Prepour Checks","Shop Drawing Checked Off (attach photo)"
"6c2fb425-3ea9-5907-bd75-a30877b3a40a","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","PG1-03","Demould Inspection"
"7e86c75e-e054-5d36-abea-ddad4f7587b7","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-03","Demould Inspection","Demould Inspection complete"
"b541f6aa-5fd6-50c6-a50a-b4bcd09fea42","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","PG1-03","Loading Out"
"3d2dd986-afb1-5b68-86f2-b514a191b003","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-03","Loading Out","Photo take of Panel on Truck"
"a05a40c0-5c00-5bc6-9761-9eb5d5fee8bf","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-03","Loading Out","No remedial work required on site"
"5853fd44-60ae-5e7e-94bf-b77122dcd198","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","PG1-03","Test Results, Certificates and Documentation"
"7a34f2dd-f603-5814-b8bf-87accfa52ad0","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-03","Test Results, Certificates and Documentation","Upload reinforcing detail sheets"
"a9430788-9ab6-5a03-9925-2ea4f294fa74","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-03","Test Results, Certificates and Documentation","Concrete Docket Attached"
"9cbc0732-7bd7-56ea-a87a-ff52c060c7b7","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-03","Test Results, Certificates and Documentation","Upload Concrete test results"
"62278491-0c87-5638-8319-37d57cf8d8fb","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-03","Test Results, Certificates and Documentation","Upload Photo of Reinforcing Cast # Tracking"
"b696e5d5-ea38-5725-9606-123f2dc2238b","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-03","Test Results, Certificates and Documentation","Upload Lift Designs"
"8debe500-9525-4b7f-a99e-83a6edf95783","","checklist-sectioned","not-started","Precast Panel QA (V1)","checklist","FALSE","FALSE","Panel QA","Panels","PG1-04"
"1e056701-d838-5bb0-908b-3cd278976a1c","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","PG1-04","Precast Element Details"
"1b38e1e4-2cbd-5872-a3de-a816d5a0b3d6","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-04","Precast Element Details","Concrete Details Complete"
"98f560ef-a060-5512-97bd-0a35b43b75f5","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","PG1-04","Formwork Set Up Checks"
"2ff9db9b-60ed-5484-b4b0-f259aa642fd7","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-04","Formwork Set Up Checks","Length/Width/Thickness/Cutouts/Diagonals"
"e0cb45ff-13a5-5121-8ac2-019ce9177b83","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-04","Formwork Set Up Checks","Edge Details & Rebates"
"b1a7591b-214b-5883-89aa-9553258b4f6a","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-04","Formwork Set Up Checks","Inserts on MF (Weld plates, RB's, TIM's, Penetrations, DB Bottoms)"
"74d0c8a6-a34a-56ae-96ee-e1571037535a","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-04","Formwork Set Up Checks","MF roughening's"
"f90e664b-775f-5427-8f3a-d536f3a06c64","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-04","Formwork Set Up Checks","Sides Straight & Magnets Fastened"
"77851d01-c4ac-5219-bc3d-0cb637dc7236","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-04","Formwork Set Up Checks","Mould Face Clean"
"89bb3636-a5ea-539a-b38d-bb20af4e5444","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","PG1-04","Prepour Checks"
"a55a6bf2-eed6-5bc7-a299-63031beff017","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-04","Prepour Checks","Mould Cleaned & Oiled"
"4ef449b4-d396-5d8d-98ed-417ab2262d56","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-04","Prepour Checks","Reinforcing details checked/highlighted off against shop drawing (Bar sizes, grades and spacings)"
"e97941bf-a77e-5aeb-b656-e4b08849d5ed","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-04","Prepour Checks","Check covers on all sides, MF and TF"
"96dffdb9-f067-59ab-9d77-f072b2ea3879","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-04","Prepour Checks","There is sufficient cover to rebates around openings or weatherproofing details"
"a93b3211-7297-5b72-bb65-b331dd16cd6e","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-04","Prepour Checks","Starters (Size, Grade, Setout and Length)"
"d7d0c1a9-0fe7-5f76-8869-99caa1f92ef8","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-04","Prepour Checks","Inserts on TF (Weld plates, RB's, TIM's, Penetrations, DB's, Rebates)"
"1b466115-f771-59c0-9c9c-4056b7d753b8","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-04","Prepour Checks","Drossbach Locations and Length"
"0d7766ac-7e0b-5482-93ff-0b5d7073cdf6","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-04","Prepour Checks","Lifters"
"60062480-5831-5d78-87e0-b09dce374a88","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-04","Prepour Checks","Tie wire Trimmed"
"35811d9e-ebdb-57ef-803c-a8bbe232b025","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-04","Prepour Checks","Panel fully clean"
"eaedbdcf-d0d7-596b-9eed-642e15f9ab5a","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-04","Prepour Checks","General Photos Attached"
"dd7dbbec-441e-5455-a10e-5842be676b55","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-04","Prepour Checks","Shop Drawing Checked Off (attach photo)"
"6a10fa8b-b94d-50b3-b543-4c413ec42798","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","PG1-04","Demould Inspection"
"62bca04b-af2b-548f-a4d6-84f35d8e8362","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-04","Demould Inspection","Demould Inspection complete"
"ecae8510-3db1-5c81-bbfb-5c0c5ab6d18d","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","PG1-04","Loading Out"
"c7dde686-6540-568d-9e63-46ae5242c9b9","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-04","Loading Out","Photo take of Panel on Truck"
"90d3f5a8-e064-5cdb-9eaa-9738d7940f43","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-04","Loading Out","No remedial work required on site"
"6b3f8481-9ad8-5e5d-b39f-9887b20990f8","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","PG1-04","Test Results, Certificates and Documentation"
"f3e2ea5d-1a78-5bea-baa4-07572cc59129","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-04","Test Results, Certificates and Documentation","Upload reinforcing detail sheets"
"9a0d17ed-fbfb-5335-b72c-c17f72e5e00c","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-04","Test Results, Certificates and Documentation","Concrete Docket Attached"
"f163d3da-d8c0-592f-ba4a-69064c4e2d18","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-04","Test Results, Certificates and Documentation","Upload Concrete test results"
"8e36da0b-9045-5d76-b2b7-ff88b3047e1b","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-04","Test Results, Certificates and Documentation","Upload Photo of Reinforcing Cast # Tracking"
"2d44afb1-7001-53b6-8a4f-5e8c2cf25df3","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-04","Test Results, Certificates and Documentation","Upload Lift Designs"
"b0a97fda-ee8e-4f68-9dd9-3f514f0a5dd6","","checklist-sectioned","not-started","Precast Panel QA (V1)","checklist","FALSE","FALSE","Panel QA","Panels","PG1-05"
"736f02c3-09de-502f-8cdb-a12663e33722","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","PG1-05","Precast Element Details"
"ae7b67ba-7890-5458-90ea-8342846f9db1","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-05","Precast Element Details","Concrete Details Complete"
"643726cf-a8e5-5f6f-bcc9-cc5868debeca","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","PG1-05","Formwork Set Up Checks"
"63aed796-8387-559b-991f-1ab0fd1dfe1c","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-05","Formwork Set Up Checks","Length/Width/Thickness/Cutouts/Diagonals"
"2ae7d805-c340-56a8-90a3-4e1103f5a83c","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","PG1-05","Formwork Set Up Checks","Edge Details & Rebates"
