"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b77d4418-0961-49cf-9f22-61ebc83aa13e","","checklist-flat","not-started","62704a049dd677552a734504db8d241c90c356cc5b215f556be0ff7a150d0d41","checklist-flat","FALSE","FALSE","Job Details"
"e9e91281-622a-4cff-9768-c78c5b13381d","","checkpoint-status","not-started","","","FALSE","FALSE","Job Details","Project details entered below"
"73e1e2fd-e97d-4cf8-af6f-37e7db264f7a","","folder-normal","pass","","step","TRUE","FALSE"," Precast Manufacture"
"6ff6b8de-1fad-4a81-b4d9-da9b4c1fbbb8","","folder-normal","pass","","step","TRUE","FALSE"," Precast Manufacture","TL4-4"
"dd39ec36-4df1-4a5c-be63-b1214cdc215f","","checklist-sectioned","pass","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE"," Precast Manufacture","TL4-4","TL4-4-1"
"ffb022dd-5821-47eb-adf0-db9be178afa8","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-1","Pre-Pour Check"
"3bc2dc14-84e6-4adf-a81c-bfd2d883afc2","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-1","Post Pour Check","Bar Projections"
"24f10eeb-663e-4c12-a85a-5fb775bc9c33","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-1","Post Pour Check","Cast in items"
"3163e85d-b918-4c8a-a779-0e81a0edb45f","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-1","Stripping and Stacking"
"01ef4f98-3aca-4b92-bd97-5cb9a59f2df1","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-1","Stripping and Stacking","Stripping & Stacking"
"972565aa-6fa7-4eda-a74b-ec7e50899464","","checklist-sectioned","pass","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE"," Precast Manufacture","TL4-4","TL4-4-2"
"72f32cc2-7ac5-41e8-870f-bfd4ddeca8f5","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-2","Pre-Pour Check"
"f4c6f088-f1fc-46ac-87c7-a3ca086fe3ef","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-2","Pre-Pour Check","Dimensions"
"5a366127-e4bc-4e46-a698-d9f54b528a6e","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-2","Pre-Pour Check","Mould Clean"
"d07e3e8e-d256-48bf-a122-217be939ccd0","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-2","Pre-Pour Check","Mould Oiled"
"bb296e1b-15d4-438e-ac4d-1d15eae53e3c","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-2","Pre-Pour Check","Mould - Workmanship"
"e3139daf-a37f-4b47-b925-ffb04836c420","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-2","Pre-Pour Check","Reinforcing"
"a6418809-a056-4977-a9ae-e92b638f2035","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-2","Pre-Pour Check","Cast In Items"
"5715b54c-5d60-4ef7-b6e2-6f6e4a5af1a6","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-2","Pre-Pour Check","Marker Position and No."
"44fb2318-11cb-424c-9a52-5f74728cb0b2","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-2","Pre-Pour Check","Make mould to Green Status"
"b1c0c900-1478-4ed1-a886-1bf3a0295ea1","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-2","Concrete Works"
"be4ea8d4-82ae-469e-8bb5-86903ec05141","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-2","Concrete Works","Concrete Works Details"
"ae325311-9298-41ea-aa4a-89972b9146cc","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-2","Concrete Works","Wilco Sample Taken"
"ff89b620-e92a-4924-ac82-17d2aa045d8c","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-2","Concrete Works","Bridgeman Sample Taken"
"67cf7655-9d8c-4807-b0ed-a7b226eaea66","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-2","Concrete Works","Supervisor Approval"
"9fef7630-de76-4f5d-b720-6d406eebcfa5","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-2","Post Pour Check"
"dc6da566-be63-44a2-9734-279c33e0f65e","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-2","Post Pour Check","Edge Detail"
"e2a26a54-5690-4500-8ab9-f2f7e2825cdb","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-2","Post Pour Check","Bar Projections"
"43601306-31b5-4906-bf36-f4dfb812201f","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-2","Post Pour Check","Cast in items"
"18886941-0928-4d1f-82c6-9ae1c61fc596","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-2","Stripping and Stacking"
"ecf9600a-1b4c-4dbb-95c6-2465a4f8460f","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-2","Stripping and Stacking","Stripping & Stacking"
"b67f2aa8-cdaa-4426-9b51-077415928c00","","checklist-sectioned","pass","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE"," Precast Manufacture","TL4-4","TL4-4-3"
"b362a029-c120-446b-94ad-f5432be19cd6","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-3","Pre-Pour Check"
"40e96356-0d5e-4c93-8673-029f8982875d","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-3","Pre-Pour Check","Dimensions"
"1b8cb1c1-d6c5-4452-867f-9dd8e02c0295","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-3","Pre-Pour Check","Mould Clean"
"c0f802b7-25b3-42f4-b4c4-e8882bedf1b0","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-3","Pre-Pour Check","Mould Oiled"
"6fa3f847-286b-457a-bcae-02ddecf69152","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-3","Pre-Pour Check","Mould - Workmanship"
"8b7d85bf-b485-4b99-b315-56be8634f31a","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-3","Pre-Pour Check","Reinforcing"
"0f767c84-15d5-4f33-b4ce-d515bc03d9e0","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-3","Pre-Pour Check","Cast In Items"
"6a984e3a-72d1-4614-a148-adb10c689cf6","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-3","Pre-Pour Check","Marker Position and No."
"f775d0c3-96fb-49fe-9b4c-65faef5d5cb9","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-3","Pre-Pour Check","Make mould to Green Status"
"c57329e9-3b20-4831-94ba-44bcc50fa155","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-3","Concrete Works"
"456cd2c2-04a5-464f-95c7-3f973cd9a50d","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-3","Concrete Works","Concrete Works Details"
"ad5ec1fd-0742-4190-b7c5-6173ba2b1721","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-3","Concrete Works","Wilco Sample Taken"
"3f8e5288-16ae-4a56-8b54-c086bdf4e8e5","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-3","Concrete Works","Bridgeman Sample Taken"
"baf46544-64f6-43ce-be99-c3b198ecfbf5","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-3","Concrete Works","Supervisor Approval"
"327c1c26-aa23-45ec-8a52-4067eb1c0600","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-3","Post Pour Check"
"914399b0-9ee6-4cdf-af79-c4d222b0065f","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-3","Post Pour Check","Edge Detail"
"0f16cf2f-2d24-4476-80f5-1f9d480f648a","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-3","Post Pour Check","Bar Projections"
"8505c97f-9fa7-456a-9593-134d9961ede1","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-3","Post Pour Check","Cast in items"
"3979ff90-4d58-4da9-ac50-2131c3afadd8","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-3","Stripping and Stacking"
"10e70651-e143-40cd-9e8c-e8d57d61ec18","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-3","Stripping and Stacking","Stripping & Stacking"
"326b0251-3bb6-4d3a-b8bd-3acd61cb834c","","checklist-sectioned","pass","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE"," Precast Manufacture","TL4-4","TL4-4-4"
"e19e6c74-4f05-4d96-895a-c7371b9278a2","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-4","Pre-Pour Check"
"932cdb32-fd88-4092-b66b-769344ed9bb1","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-4","Pre-Pour Check","Dimensions"
"582d4413-2583-496f-9fa2-92805446c888","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-4","Pre-Pour Check","Mould Clean"
"3ceb387c-23a2-404b-a23a-f3225d78ff46","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-4","Pre-Pour Check","Mould Oiled"
"23edece8-7f86-437c-8618-87bc7436ed1f","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-4","Pre-Pour Check","Mould - Workmanship"
"bb0eeca0-e3c7-465d-abaf-b2c5606cf681","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-4","Pre-Pour Check","Reinforcing"
"a4769d8c-b76f-496a-bd84-17a00b9beb92","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-4","Pre-Pour Check","Cast In Items"
"0d4564e3-f847-46db-8b35-811477fcb00e","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-4","Pre-Pour Check","Marker Position and No."
"93bd41f3-9168-461e-9b74-a0b9632bdae5","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-4","Pre-Pour Check","Make mould to Green Status"
"661604a9-675a-4a4c-bd43-73400a3322e3","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-4","Concrete Works"
"ea0c5e00-23c7-4076-ac63-9074d02c9177","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-4","Concrete Works","Concrete Works Details"
"6ded1444-f4a7-4b8d-abdd-96ec8038da5a","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-4","Concrete Works","Wilco Sample Taken"
"f4521f2a-390f-4346-9282-22e30979bf5d","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-4","Concrete Works","Bridgeman Sample Taken"
"19ac4028-6d1e-468b-b441-c04bf482e80e","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-4","Concrete Works","Supervisor Approval"
"bcb651ed-393c-46ad-9374-72b9a25a632e","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-4","Post Pour Check"
"41e05bbc-ede7-459c-a628-b4d654d6ea4d","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-4","Post Pour Check","Edge Detail"
"a2e03d50-89af-4dba-ad8c-46d69376fc86","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-4","Post Pour Check","Bar Projections"
"099a0f78-fcaa-4ad1-bcf1-aa2548f21cd0","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-4","Post Pour Check","Cast in items"
"13fa3188-2272-4ffd-a916-5a81079ca5a7","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-4","Stripping and Stacking"
"12210e45-01f6-4f72-b473-40d30fd802ca","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-4","Stripping and Stacking","Stripping & Stacking"
"e1d463c6-ba77-4c75-a839-0eaa2addb234","","checklist-sectioned","pass","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE"," Precast Manufacture","TL4-4","TL4-4-5"
"daa835ff-d5f0-4d70-998a-e66df31b1456","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-5","Pre-Pour Check"
"71ca568d-62ae-4f0f-acc2-c39ec9e372c1","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-5","Pre-Pour Check","Dimensions"
"fcba522d-8996-4c06-8d1f-b6bda3ffcf58","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-5","Pre-Pour Check","Mould Clean"
"31431d5e-8ac1-4bc7-be48-793a8241b9c6","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-5","Pre-Pour Check","Mould Oiled"
"ecc4d2eb-6c50-4085-b35c-8a1ab92ef3af","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-5","Pre-Pour Check","Mould - Workmanship"
"f62bf137-b2ef-4e29-a427-9442c4f669bd","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-5","Pre-Pour Check","Reinforcing"
"78656d8e-91c6-4eaf-988f-0c81f2ea0287","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-5","Pre-Pour Check","Cast In Items"
"a47748ea-69fd-4539-8d99-843c9af73470","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-5","Pre-Pour Check","Marker Position and No."
"47ff8beb-20c4-426d-a8de-bb9a6abf09e8","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-5","Pre-Pour Check","Make mould to Green Status"
"ca479635-385a-4614-8ff0-f3489233cb19","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-5","Concrete Works"
"acc2ac7c-4f58-4fe9-9475-c3cf001be4e5","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-5","Concrete Works","Concrete Works Details"
"651ee5f6-bdcb-456d-a4a1-1de6caf98a93","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-5","Concrete Works","Wilco Sample Taken"
"b1c925bd-c710-4eb7-ae90-0cc5c78ac21a","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-5","Concrete Works","Bridgeman Sample Taken"
"15ead388-d5ef-4de3-8fae-eaab1dfb888b","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-5","Concrete Works","Supervisor Approval"
"ad2a836d-a49f-4356-b554-8eaf89c1540b","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-5","Post Pour Check"
"e362ab35-f3cc-4ed7-a96d-1724c1e90c0c","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-5","Post Pour Check","Edge Detail"
"05e4a618-14ba-4e50-9f8d-7ea9ec73126b","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-5","Post Pour Check","Bar Projections"
"8439fccb-edf2-4bf9-82ab-488c634871c8","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-5","Post Pour Check","Cast in items"
"e6b52657-28e9-4e0c-92e6-59a882fc273f","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-5","Stripping and Stacking"
"eb9c981d-b822-49a5-8242-aba273fa46ef","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-4","TL4-4-5","Stripping and Stacking","Stripping & Stacking"
"dc418ee6-4cac-4bce-a701-79ae37081f92","","folder-normal","pass","","step","TRUE","FALSE"," Precast Manufacture","TL4-5"
"ea984d85-0562-4afe-a782-b7e6dd61887d","","checklist-sectioned","pass","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE"," Precast Manufacture","TL4-5","TL4-5-1"
"7259c192-652c-42e5-b97c-32f5eb4b1c2b","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-5","TL4-5-1","Pre-Pour Check"
"61beda40-57a2-4138-bc7b-08e02952cafb","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-5","TL4-5-1","Pre-Pour Check","Dimensions"
"9daaf387-77f0-4148-a353-389ca109dd0d","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-5","TL4-5-1","Pre-Pour Check","Mould Clean"
"910e0416-c28a-49f7-a5e2-802d99f8db7b","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-5","TL4-5-1","Pre-Pour Check","Mould Oiled"
"efc0a19e-4459-4d1b-a94e-e570675a0909","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-5","TL4-5-1","Pre-Pour Check","Mould - Workmanship"
"ad2b33e1-7fbf-4463-bc2c-d1b4f50b7337","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-5","TL4-5-1","Pre-Pour Check","Reinforcing"
"81919905-44f5-46e5-9b67-341920ed0663","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-5","TL4-5-1","Pre-Pour Check","Cast In Items"
"d98ef281-4793-4ba7-9360-e104cea34ce4","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-5","TL4-5-1","Pre-Pour Check","Marker Position and No."
"e16fb9a0-8caa-45b9-8e60-d0658c600268","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-5","TL4-5-1","Pre-Pour Check","Make mould to Green Status"
"8d8c9a50-5f78-4488-bc90-706fb76ef234","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-5","TL4-5-1","Concrete Works"
"1b1286f1-0776-4da4-b632-af180be143a1","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-5","TL4-5-1","Concrete Works","Concrete Works Details"
"517c9305-3229-46cd-a317-92b189fb92ea","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","TL4-5","TL4-5-1","Concrete Works","Wilco Sample Taken"
"fbd8a443-8dcb-4cd5-96a3-379f714f5ffb","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","TL4-5","TL4-5-1","Concrete Works","Bridgeman Sample Taken"
"eeba87c9-fcf0-4504-98df-03a5f78ce851","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-5","TL4-5-1","Concrete Works","Supervisor Approval"
"3c158a0d-f9ff-4ab3-acbe-d221d0ae94de","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-5","TL4-5-1","Post Pour Check"
"4231df3b-dab2-45cf-8161-532831f1dd87","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-5","TL4-5-1","Post Pour Check","Edge Detail"
"95a7330f-c4fc-405a-b0f0-28011454b8be","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","TL4-5","TL4-5-1","Post Pour Check","Bar Projections"
"a750ab1a-4000-460c-a489-55a47c3b881e","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-5","TL4-5-1","Post Pour Check","Cast in items"
"6e2e6e01-89bb-4733-8379-b8e68287f985","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-5","TL4-5-1","Stripping and Stacking"
"7dc12a80-be4f-448b-a912-42989d21dc6f","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-5","TL4-5-1","Stripping and Stacking","Stripping & Stacking"
"739c50e8-58b8-4fd4-a48d-738ab234490d","","checklist-sectioned","pass","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE"," Precast Manufacture","TL4-5","TL4-5-2"
"253f333f-44a9-4205-97e9-f05153795e68","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-5","TL4-5-2","Pre-Pour Check"
"a144361b-c7b8-48bf-a6ca-d0c9260bb677","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-5","TL4-5-2","Pre-Pour Check","Dimensions"
"ad2d8276-9ca1-47bd-8b65-13ab1181d379","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-5","TL4-5-2","Pre-Pour Check","Mould Clean"
"0bf62ed3-b0f0-4d4d-98b8-8e4a3c93701a","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-5","TL4-5-2","Pre-Pour Check","Mould Oiled"
"6f409446-13f8-4a26-b38f-fc020d230ba2","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-5","TL4-5-2","Pre-Pour Check","Mould - Workmanship"
"a2447707-e959-41c6-b72d-7093ea1c34ad","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-5","TL4-5-2","Pre-Pour Check","Reinforcing"
"d50e6bdf-9757-437a-9be5-3fa5b3c2043b","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-5","TL4-5-2","Pre-Pour Check","Cast In Items"
"aeb93a83-57da-4d1d-8e69-1792cc805111","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-5","TL4-5-2","Pre-Pour Check","Marker Position and No."
"56833b07-f708-4209-ac85-0bbbdeca9a79","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-5","TL4-5-2","Pre-Pour Check","Make mould to Green Status"
"6e1af8e3-00bc-490f-8b91-c81309de0fee","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","TL4-5","TL4-5-2","Concrete Works"
