"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"106dbc0d-4261-4905-a639-ed95d108e71f","","checklist-flat","not-started","Job Details Checklist","checklist-flat","FALSE","FALSE","Job Details"
"0784552a-f365-568c-b74f-6231deb6262b","","checkpoint-status","not-started","Job Details Checklist:3d098030-e418-4675-b5b1-7520caf5ee77","","TRUE","TRUE","Job Details","Project details entered below"
"fd50a08e-64ed-4367-95a0-c41039a4aa02","","folder-normal","fail","","step","TRUE","FALSE","Precast Manufacture"
"8c92909c-7fcc-423f-9643-25b6fa49752e","","folder-normal","fail","","step","TRUE","FALSE","Precast Manufacture","Panels"
"18c969d6-94db-4f71-a1a7-e0bdb3de2593","","folder-normal","work-in-progress","","step","TRUE","FALSE","Precast Manufacture","Panels","Ground Floor"
"105e7f84-b059-47a3-b188-4e3737b504f0","","checklist-sectioned","work-in-progress","fd6110a285293145ff82c133ce5b7d10e8418059e447f725a231f08ab6602199","checklist","FALSE","FALSE","Precast Manufacture","Panels","Ground Floor","RRG-1"
"39d5d10e-d898-50c9-b65f-6cf1aecc33a3","","checkpoint-group","pass","","","FALSE","FALSE","Precast Manufacture","Panels","Ground Floor","RRG-1","Precast Element Details"
"a92174ed-730f-531a-b800-6ad9ad7c8c72","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-1","Prepour Checks (Tables QA)","Main Reinforcing"
"f02e27db-23a0-5f0e-a93b-9cbfedfb342b","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-1","Prepour Checks (Tables QA)","Starters"
"dcd920f0-b9fb-5a7d-be65-e2d5c8481d5d","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-1","Prepour Checks (Tables QA)","Stirrups"
"c0c20b9e-cb31-55f7-bdc5-4209ed923a90","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-1","Prepour Checks (Tables QA)","Lifters"
"63ae285d-8a36-5c89-a623-279cfa4e298e","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-1","Prepour Checks (Tables QA)","Mould Cleaned & Oiled"
"5cc666cf-f899-5a7d-8bac-3629858e4f02","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-1","Prepour Checks (Tables QA)","Tie wire Trimmed"
"333ddd9a-90ff-59ff-9696-5e27e22f3d1c","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-1","Prepour Checks (Tables QA)","General Photos Attached"
"5b323f81-a81a-5c14-947d-2488e220027c","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-1","Prepour Checks (Tables QA)","Concrete Docket Attached"
"ece73eda-8fc4-5323-9c6b-497c472d6156","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-1","Prepour Checks (Tables QA)","Shop Drawing Checked Off (attach photo)"
"9ea7c5c2-a0f8-5a3d-83ff-ca64acc8ac55","","checkpoint-group","not-started","","","FALSE","FALSE","Precast Manufacture","Panels","Ground Floor","RRG-1","Loading Out"
"79b29781-3cfe-5a95-a2b7-fc9177721d7c","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-1","Loading Out","Load Docket Given to Driver"
"20a9752b-e67d-5060-8382-a8cd903c4399","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-1","Loading Out","Photo take of Panel on Truck"
"2cfe334d-7626-5294-9c77-ba980c064ffb","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-1","Loading Out","No remedial work required on site"
"c9704a0f-faa5-5201-874e-a5d9d2638bf4","","checkpoint-group","work-in-progress","","","FALSE","FALSE","Precast Manufacture","Panels","Ground Floor","RRG-1","Test Results, Certificates and Documentation (Reo & Yard QA)"
"db287460-79e7-55c8-96c4-4b3a36e1cdb0","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-1","Test Results, Certificates and Documentation (Reo & Yard QA)","Upload reinforcing detail sheets"
"7cb7cba7-0ce2-56af-a46c-596d02c117a3","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-1","Test Results, Certificates and Documentation (Reo & Yard QA)","Upload Photo of Reinforcing Stock Bundle Tags (Cast # Tracking)"
"9f4a1a1f-485f-5110-b892-545327b21bdb","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-1","Test Results, Certificates and Documentation (Reo & Yard QA)","Upload Concrete test results"
"aea30e4b-9ca2-480d-bd8f-76455005da2c","","checklist-sectioned","work-in-progress","fd6110a285293145ff82c133ce5b7d10e8418059e447f725a231f08ab6602199","checklist","FALSE","FALSE","Precast Manufacture","Panels","Ground Floor","RRG-2"
"80806608-4de5-5956-97b0-8411f7429238","","checkpoint-group","pass","","","FALSE","FALSE","Precast Manufacture","Panels","Ground Floor","RRG-2","Precast Element Details"
"151cc6a4-2957-5287-add4-7a971bf09ef6","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-2","Precast Element Details","Concrete Details Complete"
"e97eda78-9a0a-517e-80c1-c14a41852f10","","checkpoint-group","work-in-progress","","","FALSE","FALSE","Precast Manufacture","Panels","Ground Floor","RRG-2","Reinforcing Yard Checks (Reo QA)"
"cd5fc2cd-cb7e-5575-98f7-171cfb2a7dc0","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-2","Reinforcing Yard Checks (Reo QA)","Operative on the reinforcing cutting line has uploaded clear photo of open stock bundle boar"
"3c699819-56c8-58a0-bb89-99abace4e78c","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-2","Reinforcing Yard Checks (Reo QA)","Cut and bent bars checked off against detail sheet"
"6e343bb6-f7e6-5249-b22f-19084b2026da","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-2","Reinforcing Yard Checks (Reo QA)","Perimeter bars and spacing marks confirmed"
"d7a19d96-276b-5c98-bbfb-74a7df690cd0","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-2","Reinforcing Yard Checks (Reo QA)","Cast in Items checked and marked on cage (Dross Ducts, Inserts Weld Plates)"
"74e1d912-6b0d-5ba6-8c8a-7f9fb6741ccd","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-2","Reinforcing Yard Checks (Reo QA)","Overall cage dimensions in plan checked and there will be sufficient concrete cover to edges"
"f3d5011b-a67d-576e-8bd7-2b42c833fb6b","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-2","Reinforcing Yard Checks (Reo QA)","Overall cage thickness checked and there will be sufficient cover to MF and TF"
"f725471d-7e65-5911-8f77-e5354001bfba","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-2","Reinforcing Yard Checks (Reo QA)","There is sufficient cover to rebates around openings or along edge forms"
"097548ea-31a4-5e76-8a13-801b898ca36a","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-2","Reinforcing Yard Checks (Reo QA)","Weld plates can be fitted to cage in correct locations?"
"12103479-18fb-55e7-9b42-dc57f78e37b9","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-2","Reinforcing Yard Checks (Reo QA)","Reinforcing details checked/highlighted off against shop drawing (upload photo)"
"a25225ed-f871-5ac6-8c6f-8601ea45c443","","checkpoint-group","pass","","","FALSE","FALSE","Precast Manufacture","Panels","Ground Floor","RRG-2","Formwork Set Up Checks"
"f9af2cfc-5681-5ca4-b4e5-ebae5f242eb2","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-2","Formwork Set Up Checks","Sides Straight & Magnets Fastened"
"b751986b-3744-5e0a-9c1a-e12e77167659","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-2","Formwork Set Up Checks","Mould Face Clean"
"3bbe9357-b121-55e2-a0de-9443236725ee","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-2","Formwork Set Up Checks","Length/Width/Thickness/Cutouts"
"f78bed62-7e7d-51c7-9efc-abbd06ea27d5","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-2","Formwork Set Up Checks","Edge Details & Rebates"
"92463321-5b79-5761-a148-824b895bc819","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-2","Formwork Set Up Checks","MF Weld plates in correct location and siliconed to table"
"06cef533-8193-522a-b811-2e466a1df645","","checkpoint-group","pass","","","FALSE","FALSE","Precast Manufacture","Panels","Ground Floor","RRG-2","Prepour Checks (Tables QA)"
"daf16336-7a99-5c04-ab7b-88fc39b125b2","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-2","Prepour Checks (Tables QA)","Main Reinforcing"
"ead0e19a-840c-5892-9490-16d89fb22655","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-2","Prepour Checks (Tables QA)","Starters"
"ab074ab8-ea36-5f0e-b6cf-d028389d43c3","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-2","Prepour Checks (Tables QA)","Stirrups"
"13356cdf-f044-5c91-887d-403026a51ab3","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-2","Prepour Checks (Tables QA)","Lifters"
"0003d0d5-4999-50b3-ae70-4b45d79efdf1","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-2","Prepour Checks (Tables QA)","Mould Cleaned & Oiled"
"0972c2eb-4fe1-5bcf-b7f0-dac7ea8483cf","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-2","Prepour Checks (Tables QA)","Tie wire Trimmed"
"55ddb13b-a923-5850-bbe9-9c9ed5d98065","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-2","Prepour Checks (Tables QA)","General Photos Attached"
"a6d61d16-7fdf-563c-abe9-92bfc5e29493","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-2","Prepour Checks (Tables QA)","Concrete Docket Attached"
"40dc63a0-5614-5791-ab24-c6a05a2854a6","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-2","Prepour Checks (Tables QA)","Shop Drawing Checked Off (attach photo)"
"7b1576ca-42d8-531f-88b3-45a60880b0b6","","checkpoint-group","not-started","","","FALSE","FALSE","Precast Manufacture","Panels","Ground Floor","RRG-2","Loading Out"
"81b5de08-63f1-5736-a156-471aebd89dec","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-2","Loading Out","Load Docket Given to Driver"
"b5a169cc-923d-5442-bcf4-359c00d4dcb5","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-2","Loading Out","Photo take of Panel on Truck"
"3a5f28a0-3b4f-511e-9326-5045b5d5165c","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-2","Loading Out","No remedial work required on site"
"1cd8422c-60e3-544e-96a8-949cbfeb28aa","","checkpoint-group","work-in-progress","","","FALSE","FALSE","Precast Manufacture","Panels","Ground Floor","RRG-2","Test Results, Certificates and Documentation (Reo & Yard QA)"
"f75de487-8432-5898-82f5-a8c27483cf5f","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-2","Test Results, Certificates and Documentation (Reo & Yard QA)","Upload reinforcing detail sheets"
"4acf9ec9-efd9-51a9-8b9b-142c3d522623","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-2","Test Results, Certificates and Documentation (Reo & Yard QA)","Upload Photo of Reinforcing Stock Bundle Tags (Cast # Tracking)"
"beed8ca9-8671-5e06-8369-0e41d00fc4c1","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-2","Test Results, Certificates and Documentation (Reo & Yard QA)","Upload Concrete test results"
"57215264-232e-4cf6-a281-16e30e53b4dc","","checklist-sectioned","work-in-progress","fd6110a285293145ff82c133ce5b7d10e8418059e447f725a231f08ab6602199","checklist","FALSE","FALSE","Precast Manufacture","Panels","Ground Floor","RRG-3"
"48aad757-0e1d-58ac-8704-03c7623cfcf5","","checkpoint-group","pass","","","FALSE","FALSE","Precast Manufacture","Panels","Ground Floor","RRG-3","Precast Element Details"
"f4841637-9dba-576f-973d-85db7dae5807","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-3","Precast Element Details","Concrete Details Complete"
"e61c891f-a849-587b-9bba-b63603836d06","","checkpoint-group","work-in-progress","","","FALSE","FALSE","Precast Manufacture","Panels","Ground Floor","RRG-3","Reinforcing Yard Checks (Reo QA)"
"074afc5f-0faf-54b4-9078-cdcf2e716505","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-3","Reinforcing Yard Checks (Reo QA)","Operative on the reinforcing cutting line has uploaded clear photo of open stock bundle boar"
"6bb741f4-eb3c-5870-8449-462e53106a8a","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-3","Reinforcing Yard Checks (Reo QA)","Cut and bent bars checked off against detail sheet"
"32394256-3960-5023-961f-1d3a11b75f7b","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-3","Reinforcing Yard Checks (Reo QA)","Perimeter bars and spacing marks confirmed"
"ffc07010-d219-58b3-bf47-8bcd7f44db3d","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-3","Reinforcing Yard Checks (Reo QA)","Cast in Items checked and marked on cage (Dross Ducts, Inserts Weld Plates)"
"a98b6d5c-745d-56a3-9519-77a0ad7e9ab0","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-3","Reinforcing Yard Checks (Reo QA)","Overall cage dimensions in plan checked and there will be sufficient concrete cover to edges"
"ec3a5b80-def3-5bae-ad77-2ed63d8b9bd3","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-3","Reinforcing Yard Checks (Reo QA)","Overall cage thickness checked and there will be sufficient cover to MF and TF"
"034fa9f0-8826-5eed-a223-cef7e6431fae","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-3","Reinforcing Yard Checks (Reo QA)","There is sufficient cover to rebates around openings or along edge forms"
"3009a89d-5fd0-5bf7-8f18-d542325081e7","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-3","Reinforcing Yard Checks (Reo QA)","Weld plates can be fitted to cage in correct locations?"
"9cb7cdd2-d9ce-5ab8-b2c4-04e48b25fcc2","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-3","Reinforcing Yard Checks (Reo QA)","Reinforcing details checked/highlighted off against shop drawing (upload photo)"
"d8442964-4ea2-593c-b24e-78c74b0737f8","","checkpoint-group","pass","","","FALSE","FALSE","Precast Manufacture","Panels","Ground Floor","RRG-3","Formwork Set Up Checks"
"b214b550-9073-5a31-863d-d772ee6c1a99","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-3","Formwork Set Up Checks","Sides Straight & Magnets Fastened"
"9246b089-f00f-5d5b-b5d4-3b1e30054f86","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-3","Formwork Set Up Checks","Mould Face Clean"
"d6b4d198-a986-506b-8a9d-07171094f9d8","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-3","Formwork Set Up Checks","Length/Width/Thickness/Cutouts"
"329fdc78-4fe1-5da0-8a33-6072fd2c5db8","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-3","Formwork Set Up Checks","Edge Details & Rebates"
"2b764545-a381-511b-a69c-2c5248a18995","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-3","Formwork Set Up Checks","MF Weld plates in correct location and siliconed to table"
"7dc3e37f-8fb8-5c75-98de-3aac3ced1e21","","checkpoint-group","pass","","","FALSE","FALSE","Precast Manufacture","Panels","Ground Floor","RRG-3","Prepour Checks (Tables QA)"
"1ad7a11d-e2fa-5c26-a1c3-fb3fff1e0650","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-3","Prepour Checks (Tables QA)","Main Reinforcing"
"84368ea6-1654-5570-951a-1652f82ec5e4","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-3","Prepour Checks (Tables QA)","Starters"
"07315bdc-7101-5c73-90da-6cba9fd8269d","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-3","Prepour Checks (Tables QA)","Stirrups"
"5750e8ee-479e-5c83-9851-66773c9d719b","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-3","Prepour Checks (Tables QA)","Lifters"
"7773dcf4-0719-58e7-932e-fec249e48517","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-3","Prepour Checks (Tables QA)","Mould Cleaned & Oiled"
"485a9b9a-ab4f-53bb-a0c6-6a6b1c33fb4a","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-3","Prepour Checks (Tables QA)","Tie wire Trimmed"
"728a58fd-cd7e-582a-8dec-c20f6389867d","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-3","Prepour Checks (Tables QA)","General Photos Attached"
"c08fa36d-eda0-5580-a0b0-f8e1f7d20a63","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-3","Prepour Checks (Tables QA)","Concrete Docket Attached"
"57dafc16-bd2b-501e-b97e-758490846789","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-3","Prepour Checks (Tables QA)","Shop Drawing Checked Off (attach photo)"
"c82035a5-2ee0-504c-9182-648ac957eae2","","checkpoint-group","not-started","","","FALSE","FALSE","Precast Manufacture","Panels","Ground Floor","RRG-3","Loading Out"
"f70d9756-ad40-5d50-9023-33e6f798405e","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-3","Loading Out","Load Docket Given to Driver"
"b2859db1-04ef-5d59-b213-cdc764125f66","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-3","Loading Out","Photo take of Panel on Truck"
"3dce0cdc-15f9-5a42-8aa3-e450dd6a30e5","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-3","Loading Out","No remedial work required on site"
"630e9f9b-751a-52e5-957e-4ae1e1cff7cd","","checkpoint-group","work-in-progress","","","FALSE","FALSE","Precast Manufacture","Panels","Ground Floor","RRG-3","Test Results, Certificates and Documentation (Reo & Yard QA)"
"1db7f9c8-6e63-5cfa-bc87-2ef16cdbf930","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-3","Test Results, Certificates and Documentation (Reo & Yard QA)","Upload reinforcing detail sheets"
"bc865ebc-e94a-5a10-ac0f-cb420ea9fd00","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-3","Test Results, Certificates and Documentation (Reo & Yard QA)","Upload Photo of Reinforcing Stock Bundle Tags (Cast # Tracking)"
"e63ca8e3-0ae7-5e64-a4d3-6c094e8cbb33","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-3","Test Results, Certificates and Documentation (Reo & Yard QA)","Upload Concrete test results"
"c4744e91-f613-4734-a4d0-ec91b62c0bc8","","checklist-sectioned","work-in-progress","fd6110a285293145ff82c133ce5b7d10e8418059e447f725a231f08ab6602199","checklist","FALSE","FALSE","Precast Manufacture","Panels","Ground Floor","RRG-4"
"67d50153-291e-54ab-9312-3b8db10ed56b","","checkpoint-group","pass","","","FALSE","FALSE","Precast Manufacture","Panels","Ground Floor","RRG-4","Precast Element Details"
"b95291d8-d0b7-51b0-a186-fe7f9293c22c","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-4","Precast Element Details","Concrete Details Complete"
"0e5d477e-58ae-5af9-b347-b55df49ce7d9","","checkpoint-group","work-in-progress","","","FALSE","FALSE","Precast Manufacture","Panels","Ground Floor","RRG-4","Reinforcing Yard Checks (Reo QA)"
"a5200ea3-54d0-566e-a218-c71c2ba8a9ed","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-4","Reinforcing Yard Checks (Reo QA)","Operative on the reinforcing cutting line has uploaded clear photo of open stock bundle boar"
"5b3fe790-78b9-5695-9a80-a0156f966f12","","checkpoint-status","pass","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-4","Reinforcing Yard Checks (Reo QA)","Cut and bent bars checked off against detail sheet"
"363e626f-1133-5002-b4a7-74b5ba159533","","checkpoint-status","not-started","","","TRUE","TRUE","Precast Manufacture","Panels","Ground Floor","RRG-4","Reinforcing Yard Checks (Reo QA)","Perimeter bars and spacing marks confirmed"
