"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"QA Stage 1 - B01A Progress (All Areas)"
,"Scope",,,"b01a"
,"Rows"
,,"entire basement",,"entire basement","b01a"
,,"level 1 - Common Areas","grouping","level 1","common areas","b01a"
,,"msb","expanded","b01b","service areas","msb","level 2"
,,"level 3 - Common Areas","grouping","common areas","b01b","level 3"
,,"laundry","expanded","b01b","common areas","laundry","level 3"
,,"level 3 - Service Areas","grouping","service areas","b01b","level 3"
,,"msb","expanded","b01b","service areas","msb","level 3"
,,"level 4 - Common Areas","grouping","level 4","common areas","b01b"
,,"laundry","expanded","level 4","b01b","common areas","laundry"
,,"level 4 - Service Areas","grouping","level 4","service areas","b01b"
,,"msb","expanded","level 4","b01b","service areas","msb"
,,"level 5 - Common Areas","grouping","level 5","common areas","b01b"
,,"laundry","expanded","level 5","b01b","common areas","laundry"
,,"level 5 - Service Areas","grouping","level 5","service areas","b01b"
,,"msb","expanded","level 5","b01b","service areas","msb"
,"Columns"
,,"Cabling Complete",,"cabling complete"
,,"Nogs Installed",,"nogs installed"
,,"Flush Box Fire Box Installed (Photos Attached Of Fire Box)",,"flush box fire box installed (photos attached of fire box)"
,,"Attach Photos Of Fire Penetrations",,"attach photos of fire penetrations"
,,"Lan Test Complete",,"lan test complete"
,,"Nurse Call Fit Off",,"nurse call fit off"
,,"Camera Fit Off",,"camera fit off"
,,"Intercom Fit Off",,"intercom fit off"
,,"Ac-Mags Fit Off",,"ac-mags fit off"
,,"Ac Fit Off",,"ac fit off"

"QA Stage 1 - B01B Progress (ALS Apartments)"
,"Scope",,,"b01b"
,"Rows"
,,"level 1 - ALS Apartments","grouping","level 1","b01b","als apartments"
,,"als 151","expanded","b01b","als apartments","level 1","als 151"
,,"als 152","expanded","b01b","als apartments","level 1","als 152"
,,"als 153","expanded","b01b","als apartments","als 153","level 1"
,,"als 154","expanded","b01b","als 154","als apartments","level 1"
,,"als 155","expanded","b01b","als 155","als apartments","level 1"
,,"level 2 - ALS Apartments","grouping","b01b","level 2","als apartments"
,,"als 251","expanded","b01b","als apartments","als 251","level 2"
,,"als 252","expanded","b01b","als apartments","als 252","level 2"
,,"als 253","expanded","b01b","als 253","als apartments","level 2"
,,"als 254","expanded","b01b","als 254","als apartments","level 2"
,,"als 255","expanded","als 255","b01b","als apartments","level 2"
,,"als 256","expanded","als 256","b01b","als apartments","level 2"
,,"als 257","expanded","b01b","als apartments","level 2","als 257"
,,"als 258","expanded","b01b","als apartments","als 258","level 2"
,,"als 259","expanded","b01b","als apartments","als 259","level 2"
,,"als 260","expanded","b01b","als apartments","level 2","als 260"
,,"als 261","expanded","b01b","als apartments","level 2","als 261"
,,"als 262","expanded","b01b","als apartments","als 262","level 2"
,,"level 3 - ALS Apartments","grouping","b01b","als apartments","level 3"
,,"als 351","expanded","b01b","als apartments","als 351","level 3"
,,"als 352","expanded","b01b","als 352","als apartments","level 3"
,,"als 353","expanded","b01b","als 353","als apartments","level 3"
,,"als 354","expanded","als 354","b01b","als apartments","level 3"
,,"als 355","expanded","als 355","b01b","als apartments","level 3"
,,"als 356","expanded","b01b","als apartments","als 356","level 3"
,,"als 357","expanded","b01b","als apartments","als 357","level 3"
,,"als 358","expanded","b01b","als apartments","als 358","level 3"
,,"als 359","expanded","b01b","als apartments","als 359","level 3"
,,"als 360","expanded","b01b","als apartments","als 360","level 3"
,,"als 361","expanded","b01b","als apartments","als 361","level 3"
,,"als 362","expanded","b01b","als apartments","als 362","level 3"
,,"level 4 - ALS Apartments","grouping","level 4","b01b","als apartments"
,,"als 451","expanded","level 4","b01b","als 451","als apartments"
,,"als 452","expanded","level 4","b01b","als 452","als apartments"
,,"als 453","expanded","level 4","als 453","b01b","als apartments"
,,"als 454","expanded","level 4","als 454","b01b","als apartments"
,,"als 455","expanded","level 4","b01b","als apartments","als 455"
,,"als 456","expanded","level 4","b01b","als apartments","als 456"
,,"als 457","expanded","level 4","b01b","als apartments","als 457"
,,"als 458","expanded","level 4","b01b","als apartments","als 458"
,,"als 459","expanded","level 4","b01b","als apartments","als 459"
,,"als 460","expanded","level 4","b01b","als apartments","als 460"
,,"als 461","expanded","level 4","b01b","als apartments","als 461"
,,"als 462","expanded","level 4","b01b","als 462","als apartments"
,,"level 5 - ALS Apartments","grouping","level 5","b01b","als apartments"
,,"als 551","expanded","level 5","b01b","als 551","als apartments"
,,"als 552","expanded","level 5","als 552","b01b","als apartments"
,,"als 553","expanded","als 553","level 5","b01b","als apartments"
,,"als 554","expanded","level 5","b01b","als apartments","als 554"
,,"als 555","expanded","level 5","b01b","als apartments","als 555"
,,"als 556","expanded","level 5","b01b","als apartments","als 556"
,,"als 557","expanded","level 5","b01b","als apartments","als 557"
,,"als 558","expanded","level 5","b01b","als apartments","als 558"
,,"als 559","expanded","level 5","b01b","als 559","als apartments"
,,"als 560","expanded","level 5","b01b","als apartments","als 560"
,,"als 561","expanded","level 5","b01b","als 561","als apartments"
,"Columns"
,,"Internal Cabling Complete",,"internal cabling complete"
,,"Main Cabling Complete (Photos Attached)",,"main cabling complete (photos attached)"
,,"Nogs Installed",,"nogs installed"
,,"Flush Boxes Installed",,"flush boxes installed"
,,"Fire Boxes Installed (Photos Attached)",,"fire boxes installed (photos attached)"
,,"Fire Walls Point Of Entry (Photos Attached)",,"fire walls point of entry (photos attached)"
,,"Install Db",,"install db"
,,"Fit Off Data Jacks",,"fit off data jacks"
,,"Fit Off F Connectors",,"fit off f connectors"
,,"Fit Off Db (Photo Attached)",,"fit off db (photo attached)"
,,"Lan Test Internals (Add Signature)",,"lan test internals (add signature)"
,,"Tv/Data Fit Off (Photos Attached)",,"tv/data fit off (photos attached)"
,,"Nurse Call Fit Off (Photos Attached)",,"nurse call fit off (photos attached)"

"QA Stage 2 Progress - (Common Areas) "
,"Scope",,,"qa - stage 2"
,"Rows"
,,"Basement",,"entire basement"
,,"level 1",,"common area","level 1"
,,"level 2",,"common area","level 2"
,,"level 3",,"common area","level 3"
,,"level 4",,"level 4","common area"
,"Columns"
,,"access available",,"access available"
,,"framework available",,"framework available"
,,"cabling completed (photos attached)",,"cabling completed (photos attached)"
,,"nogs installed",,"nogs installed"
,,"flush/fire boxes installed (photos attached)",,"flush/fire boxes installed (photos attached)"
,,"attach photos of fire baffles & specify location",,"attach photos of fire baffles & specify location"
,,"attach photos of fire penetrations & specify location",,"attach photos of fire penetrations & specify location"
,,"lan test completed (add signature)",,"lan test completed (add signature)"
,,"endpoints bagged (photos attached)",,"endpoints bagged (photos attached)"
,,"nurse call faceplates fitted off (photos attached)",,"nurse call faceplates fitted off (photos attached)"
,,"camera faceplates fitted off (photos attached)",,"camera faceplates fitted off (photos attached)"
,,"intercom faceplates fitted off (photos attached)",,"intercom faceplates fitted off (photos attached)"
,,"ac- mags faceplates fitted off (photos attached)",,"ac- mags faceplates fitted off (photos attached)"
,,"ac- plates fitted off (photos attached)",,"ac- plates fitted off (photos attached)"

"QA Stage 2 Progress - (Apartments)"
,"Scope",,,"qa - stage 2"
,"Rows"
,,"level 1","grouping","level 1"
,,"a1","expanded","a1","level 1"
,,"a2","expanded","a2","level 1"
,,"a3","expanded","level 1","a3"
,,"a4","expanded","level 1","a4"
,,"a5","expanded","a5","level 1"
,,"a6","expanded","a6","level 1"
,,"a7","expanded","level 1","a7"
,,"a8","expanded","level 1","a8"
,,"a9","expanded","a9","level 1"
,,"a10","expanded","a10","level 1"
,,"a11","expanded","a11","level 1"
,,"a12","expanded","level 1","a12"
,,"a13","expanded","level 1","a13"
,,"a14","expanded","a14","level 1"
,,"level 2","grouping","level 2"
,,"b1","expanded","level 2","b1"
,,"b2","expanded","b2","level 2"
,,"b3","expanded","b3","level 2"
,,"b4","expanded","b4","level 2"
,,"b5","expanded","level 2","b5"
,,"b6","expanded","b6","level 2"
,,"b7","expanded","b7","level 2"
,,"b8","expanded","b8","level 2"
,,"b9","expanded","level 2","b9"
,,"b10","expanded","b10","level 2"
,,"b11","expanded","level 2","b11"
,,"b12","expanded","b12","level 2"
,,"b13","expanded","b13","level 2"
,,"b14","expanded","b14","level 2"
,,"level 3","grouping","level 3"
,,"c1","expanded","c1","level 3"
,,"c2","expanded","level 3","c2"
,,"c3","expanded","c3","level 3"
,,"c4","expanded","c4","level 3"
,,"c5","expanded","c5","level 3"
,,"c6","expanded","c6","level 3"
,,"c7","expanded","c7","level 3"
,,"c8","expanded","c8","level 3"
,,"c9","expanded","c9","level 3"
,,"c10","expanded","c10","level 3"
,,"c11","expanded","c11","level 3"
,,"c12","expanded","c12","level 3"
,,"c13","expanded","c13","level 3"
,,"level 4","grouping","level 4"
,,"d1","expanded","level 4","d1"
,,"d2","expanded","level 4","d2"
,,"d3","expanded","level 4","d3"
,,"d4","expanded","level 4","d4"
,,"d5","expanded","level 4","d5"
,,"d6","expanded","level 4","d6"
,,"d7","expanded","level 4","d7"
,,"d8","expanded","level 4","d8"
,,"d9","expanded","level 4","d9"
,,"d10","expanded","level 4","d10"
,,"d11","expanded","level 4","d11"
,,"d12","expanded","level 4","d12"
,"Columns"
,,"access available",,"access available"
,,"framework available",,"framework available"
,,"internal cabling completed (photos attached)",,"internal cabling completed (photos attached)"
,,"mains cabling completed (photos attached)",,"mains cabling completed (photos attached)"
,,"nogs installed",,"nogs installed"
,,"flush boxes installed",,"flush boxes installed"
,,"fire boxes installed (photos attached)",,"fire boxes installed (photos attached)"
,,"attach photos of cabling (point of entry/within fire wall",,"attach photos of cabling (point of entry/within fire wall"
,,"attach photos of fire box (attach photos of each fire box)",,"attach photos of fire box (attach photos of each fire box)"
,,"install db",,"install db"
,,"fitoff data jacks",,"fitoff data jacks"
,,"fitoff f connectors for tv",,"fitoff f connectors for tv"
,,"fitoff db",,"fitoff db"
,,"lan test internals (add signature)",,"lan test internals (add signature)"
,,"endpoints bagged (photos attached)",,"endpoints bagged (photos attached)"
,,"tv/data faceplate fitted off (photos attached)",,"tv/data faceplate fitted off (photos attached)"
,,"nurse call faceplates fitted off (photos attached)",,"nurse call faceplates fitted off (photos attached)"

"QA Stage 3 - B03A Progress (All Areas)"
,"Scope",,,"b03a"
,"Rows"
,,"Level 1","grouping","b03a","level 1"
,,"carpark","expanded","b03a","level 1","carpark"
,,"lobby","expanded","b03a","level 1","lobby"
,,"corridors","expanded","b03a","level 1","corridors"
,,"Level 2","grouping","b03a","level 2"
,,"b15","expanded","b03a","level 2","b15"
,,"b16","expanded","b03a","b16","level 2"
,,"b17","expanded","b03a","b17","level 2"
,,"b18","expanded","b18","b03a","level 2"
,,"b19","expanded","b03a","level 2","b19"
,,"b20","expanded","b03a","b20","level 2"
,,"corridors","expanded","b03a","corridors","level 2"
,,"lobby","expanded","b03a","level 2","lobby"
,,"Level 3","grouping","b03a","level 3"
,,"c15","expanded","b03a","c15","level 3"
,,"c16","expanded","b03a","c16","level 3"
,,"c17","expanded","c17","b03a","level 3"
,,"c18","expanded","b03a","c18","level 3"
,,"c19","expanded","b03a","c19","level 3"
,,"c20","expanded","c20","b03a","level 3"
,,"corridors","expanded","b03a","corridors","level 3"
,,"lobby","expanded","b03a","lobby","level 3"
,,"Level 4","grouping","level 4","b03a"
,,"d15","expanded","level 4","b03a","d15"
,,"d16","expanded","level 4","d16","b03a"
,,"d17","expanded","level 4","b03a","d17"
,,"d18","expanded","level 4","b03a","d18"
,,"d19","expanded","level 4","b03a","d19"
,,"d20","expanded","level 4","b03a","d20"
,,"corridors","expanded","level 4","b03a","corridors"
,,"lobby","expanded","level 4","b03a","lobby"
,,"Level 5","grouping","level 5","b03a"
,,"e15","expanded","e15","level 5","b03a"
,,"e16","expanded","level 5","b03a","e16"
,,"e17","expanded","level 5","b03a","e17"
,,"e18","expanded","level 5","b03a","e18"
,,"corridors","expanded","level 5","b03a","corridors"
,,"lobby","expanded","level 5","b03a","lobby"
,"Columns"
,,"Access available",,"access available"
,,"Framework available",,"framework available"
,,"Cabling completed (photos attached)",,"cabling completed (photos attached)"
,,"Nogs installed",,"nogs installed"
,,"Flush/Fire boxes installed (photos attached)",,"flush/fire boxes installed (photos attached)"
,,"Attach photos of Fire Baffles & specify location",,"attach photos of fire baffles & specify location"
,,"Attach photos of Fire penetrations & specify location",,"attach photos of fire penetrations & specify location"
,,"LAN test completed (add signature)",,"lan test completed (add signature)"
,,"Endpoints bagged (photos attached)",,"endpoints bagged (photos attached)"
,,"Nurse Call faceplates fitted off (photos attached)",,"nurse call faceplates fitted off (photos attached)"
,,"Camera faceplates fitted off (photos attached)",,"camera faceplates fitted off (photos attached)"
,,"Intercom faceplates fitted off (photos attached)",,"intercom faceplates fitted off (photos attached)"
,,"AC- Mags faceplates fitted off (photos attached)",,"ac- mags faceplates fitted off (photos attached)"
,,"AC- Plates fitted off (photos attached)",,"ac- plates fitted off (photos attached)"
,,"QA has been reviewed and approved by the main contractor",,"qa has been reviewed and approved by the main contractor"

"QA Stage 3 - B03B Progress (Common Areas)"
,"Scope",,,"b03b"
,"Rows"
,,"Level 0","grouping","b03b","level 0"
,,"car park","expanded","b03b","level 0","car park"
,,"lobby","expanded","b03b","level 0","lobby"
,,"corridors","expanded","b03b","level 0","corridors"
,,"Level 1","grouping","b03b","level 1"
,,"car park","expanded","b03b","level 1","car park"
,,"lobby","expanded","b03b","level 1","lobby"
,,"corridors","expanded","b03b","level 1","corridors"
,,"Level 2","grouping","b03b","level 2"
,,"lobby","expanded","b03b","level 2","lobby"
,,"corridors","expanded","b03b","corridors","level 2"
,,"Level 3","grouping","b03b","level 3"
,,"lobby","expanded","b03b","lobby","level 3"
,,"corridors","expanded","b03b","corridors","level 3"
,,"Level 4","grouping","level 4","b03b"
,,"lobby","expanded","level 4","b03b","lobby"
,,"corridors","expanded","level 4","b03b","corridors"
,,"Level 5","grouping","b03b","level 5"
,,"lobby","expanded","b03b","level 5","lobby"
,,"corridors","expanded","b03b","level 5","corridors"
,"Columns"
,,"Cabling Complete",,"cabling complete"
