type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Date Completed: N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
section,Pre-construction / Pre-installation Activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint,4.1 Survey Set-Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: IFC Drawings,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Area has been set out in accordance with the drawings,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,ATTACH: LOT MARKED UP LOCATION ON THE IFC DRAWING (LOT MAP):,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,METHOD: Verify,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Prior to commencement of excavation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE/Surveyor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
section,Construction / Installation Activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint,5.1 Inspection of Subgrade Material-Subgrade Material Properties,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"REFERENCE: Section 204.06 (c), Section 204.06 (e) IFC Drawings",,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Prior to commencing excavation in any area and during excavation work, the Nominated Authority and the Contractor shall inspect each type of material encountered and subject to verification by appropriate laboratory testing, agree on the category of the material in accordance with Clause 204.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,○ In situ material within 400mm of cut floor level to be consistent with IFC Drawings,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,○ Assigned CBR ≥ 2.5% ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"○ If parameters are met, rip and re compact to a depth of 150mm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"○ If assumed design parameters not met, remove 400mm of material and replace with conforming Type A fill.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"○ If existing material needs to be removed and replaced with Type A Fill, ITP-CIV Type A Fill - Road is to be utilised.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Attach: Laboratory testing Verification:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
textbox,Enter: Type A fill Lot Number:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,METHOD: Verify-Document Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: PE/Nominated Authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP/Test Report/Referenced Lot number,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint,5.2 Material classified as silt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: Section 204.04 b),,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Material classified as silt, either before or after compaction, is not acceptable as Type A material without stablisation to the satisfaction of the Nominated Authority",,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Prior to commencing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE/Nominated Authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"VERIFYING DOCUMENTS: Superintendent satisfied with Stabilisation, Signed ITP/  records",,,,,,,,,,,,,,,,,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint,5.3 Acceptance of Rock Subgrade (where applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: Section 204.06 f),,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Prior to construction of the regulating layer, the areas of rock subgrade shall be presented to the Superintendent for acceptance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,○ Any necessary amendments to the subsurface drainage design including transverse subsurface drainage at the interfaces shall be presented to Superintendent for review. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,METHOD: Site Inspection/ Document Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Prior construction of the regulating layer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE/Nominated Authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint,5.4 Unsuitable Material,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: Section 204.07 d),,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Where Unsuitable material is encountered, proposed in-situ treatment must be submitted to the Nominated Authority for review.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,METHOD: Visual inspection,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE/Nominated Authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint,5.5 Groundwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: Section 204.06 h),,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Where groundwater is encountered the contractor shall notify the superintendent and submit proposed action for review. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,○ The Contractor shall submit any necessary approvals from relevant authorities for the treatment and disposal of this groundwater.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,METHOD: Visual inspection,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE/Nominated Authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint,5.6 Cut to Fill Zones,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: Section 204.06 g),,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: All pavement and verge areas at cut to fill zones shall be excavated to a minimum depth of 600mm below the cut floor level or top of the type A material, for a distance of not less than 15m into the cut and 30m under the fill from the cut-fill line at the upper surface of the Type A material. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,METHOD: Site Inspection,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE/Site Supervisor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: Sign ITP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint,5.7 Proof Roll,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: Section 173,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Proof rolls to be conducted in accordance with Section 173 of the VicRoads Standard Specification,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,METHOD: Visual inspection,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE/Nominated Authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint,5.8 Compaction Testing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,REFERENCE: Table 204.131,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: All Type A Material, Type B Material placed within 400 mm of top of Type B Material and ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,○ Ripped and re-compacted material below Cut Floor Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,○ Scale A: Characteristic Density Ratio 99%.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,○ Scale B: Characteristic Density Ratio 98%.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,○ Scale C: Mean Value of Density Ratio: 100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Attach: Compaction Test Result:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: PE/SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"VERIFYING DOCUMENTS: Sign ITP, Attach Test Report",,,,,,,,,,,,,,,,,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint,5.9 Post Compaction Material Property Testing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"REFERENCE: Section 204.04 (c), Section 204.14 (a) and Table 204.141 For Scal A Section 204.14 (b) for Scale B IFC Drawings",,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Material Properties (Not Applicable for Scale C):,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Scale A:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,CBR and Swell as per IFC for design packge:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,○ MRP-DPK-087-00-CDR-0002-0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,○ as per table VR 204.141,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Scale B:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,CBR and Swell as per IFC for design packge:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,○ MRP-DPK-087-00-CDR-0002-0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,○ First Lot for Max Particle Dimension:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,○ After compaction Type B material shall have a maximum particle dimension of not more than:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– 150 mm within 400 mm of the top of Type B material and 400 mm at depths greater than 400 mm below the top of Type B material.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"○ Where the first lot passes, no further testing required except where changes to the physical properties of the material are observed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Attach: Post compaction test results:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,METHOD: Review Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Refer to Section 204,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: PE/SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"VERIFYING DOCUMENTS: Sign ITP, Attach Material Property Test Report",,,,,,,,,,,,,,,,,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
section,Post Construction Activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint,6.1 Survey Conformance ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"REFERENCE: VicRoads 204.03f,g and h",,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: The level at any point on the subgrade shall not lie more than 20 mm below a 3 m straightedge laid in any direction, except across a crown and water shall not pond at any point.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Level tolerances (Scale A):,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"○ Range x = +5, -15mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,○ Max S = 12 mm ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,○ 80 measurements per lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Level tolerances (Scale B):,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"○ Range x = +5, -25mm",,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,○ Max S = 15 mm ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,○ 40 measurements per lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,Level tolerances (Scale C):,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"○ Where Scale C is nominated, random levelling is not required; however no point on the subgrade surface shall be more than 10 mm above or 30 mm below the specified level.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,METHOD: Review Document ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,FREQUENCY: Each lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,CATEGORY: SCP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE/Surveyor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"VERIFYING DOCUMENTS: Sign ITP, Attach Survey Report",,,,,,,,,,,,,,,,,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
checkpoint,Final Inspection,,,,,,,,,,,,,,,,,,,,,,,,,,,,
label,"On behalf of Metropolitan Roads Program Alliance, it is hereby certified that the Works represented by the item of work listed have been tested in accordance with the Project Quality Plan and conform in all respects with the requirements of the Contract.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
text,Name:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text,Position:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text,Date Completed:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holdpoint,Sign ITP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
