"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"7a5d1032-2e8e-4b5f-816b-d1d835b6eae2","Child PS1 Attached(a12a6c0e-46ab-5494-b865-03fa338b2f8e): checkpoint-status has incorrect meta.stepType checkpoint-no-status","checklist-flat","work-in-progress","SYS - PT - Overall Pre-start","checklist-flat","FALSE","FALSE","Overall Pre-start"
"8f9570c7-30a5-5966-b121-35eb0efa0012","","checkpoint-status","pass","","","TRUE","TRUE","Overall Pre-start","Overall Pre-start"
"eda5e2b1-06f4-5a19-94e1-b2a2e96ecc8f","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","System information:"
"a3adab03-b3ff-5509-a4bc-fb7559c5498e","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","SSP Attached"
"a12a6c0e-46ab-5494-b865-03fa338b2f8e","checkpoint-status has incorrect meta.stepType checkpoint-no-status","checkpoint-status","not-started","","","TRUE","TRUE","Overall Pre-start","PS1 Attached"
"4eb7a878-583a-58d6-b28c-f6dbddf763af","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-start","Relevant Drawings Attached"
"ff785a5f-e709-5ee5-942b-2f3efd738914","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Pre-Start Photos"
"d0703847-59aa-4ffb-b683-030d2685a9f2","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA"
"c909fca3-062b-4078-975f-70ec1430e044","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA","New Carpark Building "
"ede974c7-1e38-45e7-9736-904e586e9f15","","folder-normal","not-started","","step","TRUE","FALSE","QA","New Carpark Building ","9No AP Type 02 Fall Arrest Anchors"
"4fea99fb-3dab-459c-a57b-0ead02e0594a","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","9No AP Type 02 Fall Arrest Anchors","Pre-Fit Off Checklist"
"b04a94a7-e9d9-5331-bd15-8b53ead3708d","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","9No AP Type 02 Fall Arrest Anchors","Fit Off Checklist - Anchor 61","Required number of photo(s) taken of installed anchor(s)"
"6193e3f3-f5ba-5056-beb9-13f5ca654419","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","9No AP Type 02 Fall Arrest Anchors","Fit Off Checklist - Anchor 61","Installed as per PBI drawings supplied and manufacturer's requirements"
"cf18527c-23fe-4c4f-85cf-b2fd3840b455","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","9No AP Type 02 Fall Arrest Anchors","Fit Off Checklist - Anchor 62"
"9c954adf-3f6a-5ebb-a881-7e981d94a498","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","9No AP Type 02 Fall Arrest Anchors","Fit Off Checklist - Anchor 62","Required number of photo(s) taken of installed anchor(s)"
"17f3c1e3-c777-558b-8157-96eb0d79036d","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","9No AP Type 02 Fall Arrest Anchors","Fit Off Checklist - Anchor 62","Installed as per PBI drawings supplied and manufacturer's requirements"
"7fc2da95-3b1b-4691-976a-5955233e26ff","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor "
"b93794d0-8b61-4fef-9550-c851c189b0b4","","checklist-flat","work-in-progress","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Pre-Fit Off Checklist"
"a34873c7-680a-54bf-a5ee-266a1b7cee69","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"4369eb60-11b4-590b-8ecb-96f8f1df2349","","holdpoint","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Pre-Fit Off Checklist","EMAIL PM"
"82efec9f-231b-5a44-9d83-a69468398ae6","","checkpoint-status","not-applicable","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"da0be554-659e-4c2a-9941-3f73b8b0aa92","","checklist-flat","work-in-progress","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 63"
"3b638227-1489-53b9-ad7a-ec1eab2e8143","","checkpoint-status","work-in-progress","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 63","Required number of photo(s) taken of installed anchor(s)"
"df301c97-54df-58f0-9200-2875e7bc05da","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 63","Installed as per PBI drawings supplied and manufacturer's requirements"
"15ec7153-0579-41a0-8597-e88e22fb5a41","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 64"
"6790d197-3a12-5afb-8f75-8d781808196c","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 64","Required number of photo(s) taken of installed anchor(s)"
"1a6a6e95-753d-5750-b943-a6acb56990d6","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 64","Installed as per PBI drawings supplied and manufacturer's requirements"
"67a4fc9c-7d47-4303-917b-486ac02bf498","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 65"
"cc7571a6-7cd0-5d90-a123-79f20ce29a15","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 65","Required number of photo(s) taken of installed anchor(s)"
"b0d91537-702d-54a7-b9ac-9270060e5b60","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 65","Installed as per PBI drawings supplied and manufacturer's requirements"
"2dd7c68a-4635-4759-bbba-db7bba2506f9","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 66"
"61341572-53f3-54a5-9b8d-9fd1242eecd2","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 66","Required number of photo(s) taken of installed anchor(s)"
"83f86ced-f92d-57d3-8802-daa9e1a2815e","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 66","Installed as per PBI drawings supplied and manufacturer's requirements"
"292f6723-d67f-4d5a-b2d6-440b31d551c7","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 67"
"ac802ce2-1ab6-5d3e-9a9c-6ef084fcc384","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 67","Required number of photo(s) taken of installed anchor(s)"
"c55e96db-7692-5aec-b7b6-8dd4c085307d","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 67","Installed as per PBI drawings supplied and manufacturer's requirements"
"5ba28178-fffa-4c1c-a160-e92e19acff2f","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 68"
"0f457ac8-7a9d-52ad-a02c-28032a0fbecb","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 68","Required number of photo(s) taken of installed anchor(s)"
"6b259280-c1c8-57e7-9671-b3901cfe7524","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 68","Installed as per PBI drawings supplied and manufacturer's requirements"
"6bdd4b89-1f56-4ffd-b7f5-c440246efb0d","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 69"
"62f980ac-45f4-5ae5-bf1f-18eb1c25c54a","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 69","Required number of photo(s) taken of installed anchor(s)"
"88412b7c-9498-53d8-b3c4-0e32ba999601","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 69","Installed as per PBI drawings supplied and manufacturer's requirements"
"e35014b9-312c-4a37-85f4-a8d6c4945607","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 70"
"476992de-466e-5b7a-8e52-4a4e75df9062","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 70","Required number of photo(s) taken of installed anchor(s)"
"b60cb570-b562-537b-ac7f-f0cdea7a864b","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 70","Installed as per PBI drawings supplied and manufacturer's requirements"
"1ef1e308-05c5-48dc-b404-46d7e0773fb6","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 71"
"2998f044-bcde-5ffc-b4cf-3dd04962e4e3","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 71","Required number of photo(s) taken of installed anchor(s)"
"2363eb40-4d8c-5b11-8269-8b186b350532","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 71","Installed as per PBI drawings supplied and manufacturer's requirements"
"b2474f2a-6ce1-4321-a922-6592a6417b86","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 72"
"1411f35b-0aa3-5c63-9b32-dc5d70d2152a","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 72","Required number of photo(s) taken of installed anchor(s)"
"dc63ab3a-0e05-5992-a4f2-81c426971ccd","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 72","Installed as per PBI drawings supplied and manufacturer's requirements"
"3db73255-087f-4291-830d-f000731def22","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 73"
"dece3809-2880-5325-8c86-eeaee3a15611","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 73","Required number of photo(s) taken of installed anchor(s)"
"8a2a85bf-e4ce-58c4-8fbe-3f56b43dba89","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 73","Installed as per PBI drawings supplied and manufacturer's requirements"
"52d1634b-5a3e-4447-bcfd-1d0c1b95d650","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 74"
"45ca3a6f-aa4c-53b8-b190-e837133ae6f5","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 74","Required number of photo(s) taken of installed anchor(s)"
"96cf8b72-783e-5d78-8b41-f216a5601656","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 74","Installed as per PBI drawings supplied and manufacturer's requirements"
"f6b54e3b-4422-4b9f-8299-d35976e78d11","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 75"
"d1726cd4-3170-5088-95cd-66d90d28c048","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 75","Required number of photo(s) taken of installed anchor(s)"
"8ae8650e-2f88-5091-9280-187cca0c2d4c","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 75","Installed as per PBI drawings supplied and manufacturer's requirements"
"fb270fc8-c70d-4fef-8537-ae2a404f5a3e","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 76"
"b2e6bf25-9e7c-591d-a5a9-9fdf08fbdf9f","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 76","Required number of photo(s) taken of installed anchor(s)"
"430b22fe-5fc3-53cf-bbd0-9534c34cae6b","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 76","Installed as per PBI drawings supplied and manufacturer's requirements"
"11b1a4ad-0cdb-4028-afc5-07a3221fd257","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 77"
"1b303e14-3141-5fc6-9866-4dd6ec419b3a","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 77","Required number of photo(s) taken of installed anchor(s)"
"0472fddb-d0f8-5080-9073-f4176061c43c","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 77","Installed as per PBI drawings supplied and manufacturer's requirements"
"29eaa226-22ee-48a1-a287-dd82f3adeef2","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 78"
"875e0276-bcae-5f41-8fab-3a8a7bb10192","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 78","Required number of photo(s) taken of installed anchor(s)"
"61f17f4a-b9cb-520b-9e40-57cb2a6704d7","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 78","Installed as per PBI drawings supplied and manufacturer's requirements"
"9386b446-4aae-4f57-a9b1-73ff0b11cd46","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 79"
"047ab278-86aa-56cd-978b-66350a1656b8","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 79","Required number of photo(s) taken of installed anchor(s)"
"628f03ff-fb88-5589-ae26-7b105bedb6ba","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 79","Installed as per PBI drawings supplied and manufacturer's requirements"
"dc54ed4d-2ff3-411d-81b7-b9847d2fe982","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 80"
"4355f72e-5e6f-5e8b-974c-525002f0818f","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 80","Required number of photo(s) taken of installed anchor(s)"
"eb2a6af1-6172-5e9b-a70a-47b3d7e6732b","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 80","Installed as per PBI drawings supplied and manufacturer's requirements"
"d45e1277-c6ce-4edb-921b-d228c219ce59","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 81"
"ae1ae9c9-7d1e-51e0-81e1-8ed907345c99","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 81","Required number of photo(s) taken of installed anchor(s)"
"b9a28656-3dbb-5e7d-b52c-6acff8ec25df","","checkpoint-status","not-started","","","TRUE","TRUE","QA","New Carpark Building ","68No AP Type 03 Fall Arrest & Abseil Anchor ","Fit Off Checklist - Anchor 81","Installed as per PBI drawings supplied and manufacturer's requirements"
