type,name,,prefix,postfix,usage count,user addable,template name
checkpoint,Pipework installed level and free of damage,,,,,,
checkpoint,All joins welded / crimped as per manufacturer's instructions,,,,,,
checkpoint,Air bleeds installed in pipework where required,,,,,,
checkpoint,Riser or area branch valve access panel coordinated and marked,,,,,,
checkpoint,Correct hanger spacing / supports installed for pipe runs,,,,,,
checkpoint,No other services suspended from pipework,,,,,,
checkpoint,Correct coil valves installed as per schedule,,,,,,
checkpoint,"Test points, drains and bleeders installed where required",,,,,,
checkpoint,Coil valves accessible and not blocking any service points,,,,,,
checkpoint,Coil valveset access panel coordinated and marked,,,,,,
checkpoint,Pipework lagged where required and correct thickness,,,,,,
checkpoint,Pipework labelled,,,,,,
checkpoint,Pipework secitons though fire walls lagged as per test report,,,,,,
checkpoint,Photo of each set of pipes correctly fire sealed and labelled,,,,,,
checkpoint,HHW Pressure Test – ITR attached,,,,,,
checkpoint,"HHW Flushed - plan, photos of flow readings and water quality attached",,,,,,
checkpoint,CHW Pressure Test – ITR attached,,,,,,
checkpoint,"CHW Flushed - plan, photos of flow readings and water quality attached",,,,,,
checkpoint,Drain trapped where required,,,,,,
checkpoint,Correct hanger spacing / fall,,,,,,
checkpoint,Drain tested,,,,,,
checkpoint,Drain pump installed level and tested,,,,,,
checkpoint,Drain terminates at a tundish,,,,,,
checkpoint,"Drains, pump and tundish access for maintenance.",,,,,,
,,,,,,,
checklist-flat,Indoor Equipment,,,,,,Indoor Equipment Checklist
checkpoint,Indoor Unit (IDU) correctly supported as per project engineering requirements,,,,,,
checkpoint,Correct IDU installed as per latest drawing,,,,,,
checkpoint,Flexible connections installed and sealed,,,,,,
checkpoint,Access to filter bank / filters installed,,,,,,
checkpoint,Access to all relevant controls and isolators,,,,,,
checkpoint,IDU access panel coordinated and marked,,,,,,
checkpoint,Ventilation fan correctly supported as per project engineering requirements,,,,,,
checkpoint,Correct fan installed as per latest drawing,,,,,,
checkpoint,Fan connections secured and sealed,,,,,,
checkpoint,Access to fan and isolator,,,,,,
checkpoint,Ventilation fan access panel coordinated and marked,,,,,,
,,,,,,,
checklist-flat,Plantroom / Outdoor Equipment,,,,,,Plantroom / Outdoor Equipment Checklist
checkpoint,Floor or Platform Mounted Thermal Plant correctly supported as per project engineering requirements,,,,,,
checkpoint,Maintenance and ventilation clearance maintained as per manufacturer's specs,,,,,,
checkpoint,All manufacturer specific requirements have been provided in addition to project requirements,,,,,,
,,,,,,,
checklist-flat,Grille Fit-Off,,,,,,Grille Fit-Off Checklist
checkpoint,Grilles installed in correct location as per latest duct layout / RCP,,,,,,
checkpoint,Correct grille type installed,,,,,,
checkpoint,Grille installed flush and square,,,,,,
checkpoint,"Are all grilles installed correctly? Air leaks, vibration or failure",,,,,,
checkpoint,Grille color as per schedule,,,,,,
checkpoint,Grille left clean of fingerprints and caps installed where required,,,,,,
checkpoint,Grille fit-Off completed to drawings/specification & Area left clean/tidy (Any Issues comment below),,,,,,
,,,,,,,
checklist-flat,Refrigeration Pipe,,,,,,Refrigeration Pipe Checklist
checkpoint,Correct IDU & ODU installed as per latest drawing & schedule,,,,,,
checkpoint,Installed as per latest drawings,,,,,,
checkpoint,No other services suspended from pipe work (Attach Photos below),,,,,,
checkpoint,Installation damage free (Any Issues comment/attach Photos below),,,,,,
checkpoint,Correct supports used and support spacing,,,,,,
checkpoint,Pipe labelled after insulation - provide photo evidence,,,,,,
checkpoint,Pipe mains installation completed to drawings/specification,,,,,,
checkpoint,Pipework system pressure tested,,,,,,
checkpoint,Area left clean and tidy -  photos of cleanliness or issues,,,,,,
checkpoint,Photo of each set of pipes correctly fire sealed and labelled,,,,,,
,,,,,,,
checklist-flat,All Subbie Rough-in Progression,,,,,,All Subbie Rough-in Progression Checklist
checkpoint,All work in zone completed and appear compliant,,,,,,
label,Pass once all work complete,,,,,,
,,,,,,,
checklist-flat,All Subbie Fit off & Testing Progression,,,,,,All Subbie Fit off & Testing Progression Checklist
checkpoint,All work in zone completed and appear compliant,,,,,,
label,Pass once all work complete,,,,,,
,,,,,,,
checklist-flat,As Builts,,,,,,As Builts Checklist
checkpoint,Update As-Built's of any known changes,,,,,,
