"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b53f8f34-bb02-4c50-9ae8-4917c4ea9743","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA"
"4ef3cfe1-228a-4721-9e9b-45bb78739a7f","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA","B01"
"9eb000d2-1b2d-46b7-aced-5d129e272b93","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA","B01","Fitout"
"d10dab5e-a8e8-4ea9-9038-4134e7246ab9","","folder-normal","not-started","","step","TRUE","FALSE","QA","B01","Fitout","Basement"
"0cc0381a-7cee-43ae-823f-23bc4da42e3f","","folder-normal","not-started","","step","TRUE","FALSE","QA","B01","Fitout","Basement","Area A"
"28966d3f-9950-40d7-a988-ed42747ab640","","folder-normal","not-started","","step","TRUE","FALSE","QA","B01","Fitout","Basement","Area A","Common area"
"be950575-57bd-458a-a299-719a35dc3c05","","folder-normal","not-started","","step","TRUE","FALSE","QA","B01","Fitout","Basement","Area A","Common area","Stair area"
"b3d60525-a3a4-4e37-bd1b-3ba3317ba1e0","","checklist-flat","not-started","SYS - PRE - S - Steel Stud Framing (old version)","checklist-flat","FALSE","FALSE","QA","B01","Fitout","Basement","Area A","Common area","Stair area","PRE - S - Steel Stud Framing"
"5b0b8e7b-cdc5-51c1-b154-33c94f43feb1","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Stair area","PRE - S - Suspended ceiling grids","Ceiling Height confirmed"
"12975766-b65d-5417-8ef2-fa7fd9c663d9","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Stair area","PRE - S - Suspended ceiling grids","Bulkheads plumb, level and square (if required)"
"52a9d4b5-05c6-513d-9265-34c64c866117","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Stair area","PRE - S - Suspended ceiling grids","Battens running in correct directions and orientation for critical light"
"557cc020-747c-5ea5-b3f5-5567113836e6","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Stair area","PRE - S - Suspended ceiling grids","Batten joins offset"
"c344117c-fa55-5522-9967-b86e9c88691a","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Stair area","PRE - S - Suspended ceiling grids","Batten joins flush"
"431c7024-1479-53fd-9cd3-1f442be610d2","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Stair area","PRE - S - Suspended ceiling grids","All hangers and clips installed"
"a374cb01-6f2f-5ee5-99fc-9dc748204d41","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Stair area","PRE - S - Suspended ceiling grids","Corners fixed correctly"
"2c2b478c-eed4-5d3b-a2bf-293520042e3f","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Stair area","PRE - S - Suspended ceiling grids","Appropriate fixings used and installed as per required specification"
"403ec00f-e3c0-5c8c-bddb-ae5c83333b15","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Stair area","PRE - S - Suspended ceiling grids","Angles correct to fix plasterboard"
"0ce43add-a5e1-543f-ba30-56a82a89a9e9","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Stair area","PRE - S - Suspended ceiling grids","Any seismic requirements and bracing elements installed"
"15db2e91-7696-5d66-bd0c-56a8839b0ab4","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Stair area","PRE - S - Suspended ceiling grids","Suspended ceiling installation completed and acceptable"
"6c518a92-0ca2-5887-847f-2f656709a2f8","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Stair area","PRE - S - Suspended ceiling grids","Inspections completed and issued to Foreman"
"c3b6b7b7-f985-5afb-9b12-56dbd207e6e3","","holdpoint","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Stair area","PRE - S - Suspended ceiling grids","CLICK AND SEND EMAIL TO FOREMAN TO SIGN FOR RECEIPT OF THE INSPECTION RESULTS"
"a7be1a0d-117c-472e-9979-a25a6072022c","","folder-normal","not-started","","step","TRUE","FALSE","QA","B01","Fitout","Basement","Area A","Common area","Lobby"
"862ba5f3-0bd7-420a-9588-1e0c282338e7","","checklist-flat","not-started","SYS - PRE - S - Steel Stud Framing (old version)","checklist-flat","FALSE","FALSE","QA","B01","Fitout","Basement","Area A","Common area","Lobby","PRE - S - Steel Stud Framing"
"ce819b0d-1f25-503a-9a37-be4b570aa209","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Lobby","PRE - S - Steel Stud Framing","Steel Stud Dimensions / locations checked & accurate (openings considered where applicable)"
"3f127990-e590-5b40-a436-14cf912ae17d","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Lobby","PRE - S - Steel Stud Framing","Steel Studs have been installed square, straight and plumb"
"3dd802c6-e933-5854-ac40-3b8268de60d0","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Lobby","PRE - S - Steel Stud Framing","Fixings are correct to specification including any seismic/bracing requirements"
"dd2bccdb-dad3-5c5e-832b-cf613fcc6fec","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Lobby","PRE - S - Steel Stud Framing","All Nogs (Service/Specialty) & penetrations - installed, checked & correct (consider acoustic & fire rating requirements)"
"2b49a9e5-2173-53bb-bd8d-c82f2c03a091","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Lobby","PRE - S - Steel Stud Framing","All Steel Stud framing completed correctly to specification & within tolerance in respective area(s)"
"5b5c7016-2c29-53b3-bab4-8abf82ccaecb","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Lobby","PRE - S - Steel Stud Framing","Door Timber studs and lintels installed and level"
"6efff108-9ffa-571f-87ea-d8d83620a0c5","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Lobby","PRE - S - Steel Stud Framing","Window Timber studs, lintels and still installed and level"
"dc3662d1-5a0b-56a7-bd68-1267b6871e62","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Lobby","PRE - S - Steel Stud Framing","Inspections completed and issued to Foreman"
"c86bcf3a-9afc-5ed9-8728-51a7a4d02e61","","holdpoint","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Lobby","PRE - S - Steel Stud Framing","CLICK AND SEND EMAIL TO FOREMAN TO SIGN FOR RECEIPT OF THE INSPECTION RESULTS"
"7b950a87-0ed9-4852-bd70-a2b8b39371e0","","checklist-flat","not-started","PRE - S - Suspended ceiling grids","checklist-flat","FALSE","FALSE","QA","B01","Fitout","Basement","Area A","Common area","Lobby","PRE - S - Suspended ceiling grids"
"636c2146-699a-5346-ae64-746e867f0452","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Lobby","PRE - S - Suspended ceiling grids","Ceiling Height confirmed"
"ce55ec26-7056-5d3d-98be-c72f570dcf71","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Lobby","PRE - S - Suspended ceiling grids","Bulkheads plumb, level and square (if required)"
"9e39da56-37c9-5c4c-af39-e8b93982dffe","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Lobby","PRE - S - Suspended ceiling grids","Battens running in correct directions and orientation for critical light"
"34ac636f-d7ac-5367-8598-cd179605f385","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Lobby","PRE - S - Suspended ceiling grids","Batten joins offset"
"2d8a6a31-737a-58c3-b2c0-6b1a4184e346","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Lobby","PRE - S - Suspended ceiling grids","Batten joins flush"
"966fc824-f12e-5275-890a-eb7375b724b9","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Lobby","PRE - S - Suspended ceiling grids","All hangers and clips installed"
"e1334112-0f2c-5079-a676-7e832c3560fe","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Lobby","PRE - S - Suspended ceiling grids","Corners fixed correctly"
"9f36db50-4110-53da-b390-5d2190e2f665","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Lobby","PRE - S - Suspended ceiling grids","Appropriate fixings used and installed as per required specification"
"d72d31c5-baed-5320-b452-65b5ca611d90","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Lobby","PRE - S - Suspended ceiling grids","Angles correct to fix plasterboard"
"c461a5f7-9722-595d-a8ba-325eace42fa4","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Lobby","PRE - S - Suspended ceiling grids","Any seismic requirements and bracing elements installed"
"5635d2de-39a0-50ed-a5c5-35b91e790020","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Lobby","PRE - S - Suspended ceiling grids","Suspended ceiling installation completed and acceptable"
"82dc4a51-212a-5502-9ad2-b3aab7b5d30b","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Lobby","PRE - S - Suspended ceiling grids","Inspections completed and issued to Foreman"
"4ed311a3-0829-56c0-ba1a-9d86c3d4d354","","holdpoint","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Lobby","PRE - S - Suspended ceiling grids","CLICK AND SEND EMAIL TO FOREMAN TO SIGN FOR RECEIPT OF THE INSPECTION RESULTS"
"1bda3ede-3964-4c79-b0e9-24fafcd7731a","","folder-normal","not-started","","step","TRUE","FALSE","QA","B01","Fitout","Basement","Area A","Common area","Workshop"
"85b1e9fd-79a8-48db-ad56-28a3d2436518","","checklist-flat","not-started","SYS - PRE - S - Steel Stud Framing (old version)","checklist-flat","FALSE","FALSE","QA","B01","Fitout","Basement","Area A","Common area","Workshop","PRE - S - Steel Stud Framing"
"c424fd78-67fc-5f6a-b290-90b78ac63369","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Workshop","PRE - S - Steel Stud Framing","Steel Stud Dimensions / locations checked & accurate (openings considered where applicable)"
"532675d7-415d-5944-8617-fb07993bb171","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Workshop","PRE - S - Steel Stud Framing","Steel Studs have been installed square, straight and plumb"
"df1647a4-4115-5084-b11b-9f5ff6d320be","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Workshop","PRE - S - Steel Stud Framing","Fixings are correct to specification including any seismic/bracing requirements"
"545ab8f5-b22d-5e09-b645-30d3627ce4a6","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Workshop","PRE - S - Steel Stud Framing","All Nogs (Service/Specialty) & penetrations - installed, checked & correct (consider acoustic & fire rating requirements)"
"c88ccf15-3c38-5775-ae9a-caeb3856e78d","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Workshop","PRE - S - Steel Stud Framing","All Steel Stud framing completed correctly to specification & within tolerance in respective area(s)"
"3bc6ca93-c9f3-55d7-b401-0e0c08aa8e21","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Workshop","PRE - S - Steel Stud Framing","Door Timber studs and lintels installed and level"
"4208aaa6-0219-52f9-8fd7-fed326308d88","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Workshop","PRE - S - Steel Stud Framing","Window Timber studs, lintels and still installed and level"
"c8f7fe0b-0e96-5b38-8585-c374d5d31711","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Workshop","PRE - S - Steel Stud Framing","Inspections completed and issued to Foreman"
"c52b54c4-fce5-5c13-ad5b-bd1f6f119498","","holdpoint","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Workshop","PRE - S - Steel Stud Framing","CLICK AND SEND EMAIL TO FOREMAN TO SIGN FOR RECEIPT OF THE INSPECTION RESULTS"
"0178d295-6b57-424e-98bd-e8b532303f06","","checklist-flat","not-started","PRE - S - Suspended ceiling grids","checklist-flat","FALSE","FALSE","QA","B01","Fitout","Basement","Area A","Common area","Workshop","PRE - S - Suspended ceiling grids"
"95b44530-1b4c-5d55-8afa-97d491be7d1b","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Workshop","PRE - S - Suspended ceiling grids","Ceiling Height confirmed"
"af81f7d2-ee32-5e75-9233-9830c30e8200","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Workshop","PRE - S - Suspended ceiling grids","Bulkheads plumb, level and square (if required)"
"ebf24dc7-c000-5ce2-9993-73391f3a882f","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Workshop","PRE - S - Suspended ceiling grids","Battens running in correct directions and orientation for critical light"
"32b8b7a5-b637-5a90-ad41-3fd4c1a89698","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Workshop","PRE - S - Suspended ceiling grids","Batten joins offset"
"760b38e7-0a7f-5959-ac98-49571ab622ad","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Workshop","PRE - S - Suspended ceiling grids","Batten joins flush"
"bf747c54-a3cf-5040-bf8d-89cecb2cd768","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Workshop","PRE - S - Suspended ceiling grids","All hangers and clips installed"
"ebf202d4-b161-5e4e-a95d-92af8c3942e0","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Workshop","PRE - S - Suspended ceiling grids","Corners fixed correctly"
"083504c6-54af-5595-8015-3c46caa23b0c","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Workshop","PRE - S - Suspended ceiling grids","Appropriate fixings used and installed as per required specification"
"4bbcf37c-bde0-5d77-be64-2b4eca8c5f0d","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Workshop","PRE - S - Suspended ceiling grids","Angles correct to fix plasterboard"
"8a4169c3-2b22-5f29-9d22-b98519f694e2","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Workshop","PRE - S - Suspended ceiling grids","Any seismic requirements and bracing elements installed"
"fdabc30a-3b00-5175-b455-035c0bfad286","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Workshop","PRE - S - Suspended ceiling grids","Suspended ceiling installation completed and acceptable"
"1db15ec2-650d-5e71-a117-768695e69490","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Workshop","PRE - S - Suspended ceiling grids","Inspections completed and issued to Foreman"
"03e7556c-ae38-5605-bb77-3cb8a08a3be1","","holdpoint","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","Workshop","PRE - S - Suspended ceiling grids","CLICK AND SEND EMAIL TO FOREMAN TO SIGN FOR RECEIPT OF THE INSPECTION RESULTS"
"cefb833f-5e4c-4f69-a79c-b2ba785dc090","","folder-normal","not-started","","step","TRUE","FALSE","QA","B01","Fitout","Basement","Area A","Common area","WC"
"c4909462-86f9-4df1-a9cd-2ef30c7b61b2","","checklist-flat","not-started","SYS - PRE - S - Steel Stud Framing (old version)","checklist-flat","FALSE","FALSE","QA","B01","Fitout","Basement","Area A","Common area","WC","PRE - S - Steel Stud Framing"
"4b8d2f26-24a9-54a0-9736-d2b83e0bc7f9","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","WC","PRE - S - Steel Stud Framing","Steel Stud Dimensions / locations checked & accurate (openings considered where applicable)"
"a5397422-026f-5d8a-9e54-956036383993","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","WC","PRE - S - Steel Stud Framing","Steel Studs have been installed square, straight and plumb"
"ad10bd3d-b41c-5208-ae5d-7d82672ae0cf","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","WC","PRE - S - Steel Stud Framing","Fixings are correct to specification including any seismic/bracing requirements"
"f908fee3-dae5-5413-b150-2f84d7b3c446","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","WC","PRE - S - Steel Stud Framing","All Nogs (Service/Specialty) & penetrations - installed, checked & correct (consider acoustic & fire rating requirements)"
"c6ba892f-154a-5a1d-97d9-b3d5e19f78e1","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","WC","PRE - S - Steel Stud Framing","All Steel Stud framing completed correctly to specification & within tolerance in respective area(s)"
"4bfa47c2-2de7-50ee-823b-691eef408e65","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","WC","PRE - S - Steel Stud Framing","Door Timber studs and lintels installed and level"
"2b1d376d-5b2f-50c1-b82f-8e9dac11d460","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","WC","PRE - S - Steel Stud Framing","Window Timber studs, lintels and still installed and level"
"ac19848c-80e4-53ff-a1cf-ce5b02117f81","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","WC","PRE - S - Steel Stud Framing","Inspections completed and issued to Foreman"
"fc6920c3-090f-5bf9-a20d-88a4e7bb45d4","","holdpoint","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","WC","PRE - S - Steel Stud Framing","CLICK AND SEND EMAIL TO FOREMAN TO SIGN FOR RECEIPT OF THE INSPECTION RESULTS"
"3e92c375-aee7-4c10-b7b1-e7361bc83f08","","checklist-flat","not-started","PRE - S - Suspended ceiling grids","checklist-flat","FALSE","FALSE","QA","B01","Fitout","Basement","Area A","Common area","WC","PRE - S - Suspended ceiling grids"
"d4831c48-afaa-5837-98dd-4ef62a2a7650","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","WC","PRE - S - Suspended ceiling grids","Ceiling Height confirmed"
"e58da1a8-891c-5bc4-9d49-45244093300b","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","WC","PRE - S - Suspended ceiling grids","Bulkheads plumb, level and square (if required)"
"183cdcd3-772e-5442-8794-8073f48f8b8f","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","WC","PRE - S - Suspended ceiling grids","Battens running in correct directions and orientation for critical light"
"e2a2286e-0dfb-53b7-90c4-29ab90b44ea1","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","WC","PRE - S - Suspended ceiling grids","Batten joins offset"
"655d357f-79c0-5dce-8fca-07c599aa8678","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","WC","PRE - S - Suspended ceiling grids","Batten joins flush"
"c91dea64-9ab0-522c-8539-06ae3d9056b4","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","WC","PRE - S - Suspended ceiling grids","All hangers and clips installed"
"7fef8885-eea4-5022-94cb-1cc74d3909a6","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","WC","PRE - S - Suspended ceiling grids","Corners fixed correctly"
"178484f4-770c-533a-a53b-082dd280a5d6","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","WC","PRE - S - Suspended ceiling grids","Appropriate fixings used and installed as per required specification"
"02feb6ac-1f5e-5a60-8186-3da89f2e0c27","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","WC","PRE - S - Suspended ceiling grids","Angles correct to fix plasterboard"
"7658f260-9ff0-5dc5-b286-90d154b3b8cf","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","WC","PRE - S - Suspended ceiling grids","Any seismic requirements and bracing elements installed"
"1e6f19de-3cca-57b2-aeee-05412e9cb389","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","WC","PRE - S - Suspended ceiling grids","Suspended ceiling installation completed and acceptable"
"5935f0b6-f323-5e54-893c-6f68964690be","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","WC","PRE - S - Suspended ceiling grids","Inspections completed and issued to Foreman"
"abbf284b-1a89-59ac-9e66-d1afddfb391f","","holdpoint","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area A","Common area","WC","PRE - S - Suspended ceiling grids","CLICK AND SEND EMAIL TO FOREMAN TO SIGN FOR RECEIPT OF THE INSPECTION RESULTS"
"3c03382d-7491-4546-bcb3-8c7258705548","","folder-normal","not-started","","step","TRUE","FALSE","QA","B01","Fitout","Basement","Area E"
"be902fcd-ae2b-4b29-97fb-07784c1c59c9","","folder-normal","not-started","","step","TRUE","FALSE","QA","B01","Fitout","Basement","Area E","Common area"
"4f353d84-53de-48b1-bdbb-a96ae3137327","","folder-normal","not-started","","step","TRUE","FALSE","QA","B01","Fitout","Basement","Area E","Common area","Lobby(Near lift 3)"
"eafe4639-4487-43fd-870e-a045adbdac2d","","checklist-flat","not-started","SYS - PRE - S - Steel Stud Framing (old version)","checklist-flat","FALSE","FALSE","QA","B01","Fitout","Basement","Area E","Common area","Lobby(Near lift 3)","PRE - S - Steel Stud Framing"
"6669497a-f79d-5233-90ae-16439b26ce1f","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area E","Common area","Lobby(Near lift 3)","PRE - S - Steel Stud Framing","Steel Stud Dimensions / locations checked & accurate (openings considered where applicable)"
"2da742a3-6362-582c-a031-3c2b00ab9d6d","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area E","Common area","Lobby(Near lift 3)","PRE - S - Steel Stud Framing","Steel Studs have been installed square, straight and plumb"
"0adbe744-b922-5e1e-b956-dbc582ce4516","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area E","Common area","Lobby(Near lift 3)","PRE - S - Steel Stud Framing","Fixings are correct to specification including any seismic/bracing requirements"
"d8a9690d-a5ef-50d9-a7a0-29a259de0f8e","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area E","Common area","Lobby(Near lift 3)","PRE - S - Steel Stud Framing","All Nogs (Service/Specialty) & penetrations - installed, checked & correct (consider acoustic & fire rating requirements)"
"5f38262e-c0ed-55df-9ee9-fa733d288c46","","checkpoint-status","not-started","","","TRUE","TRUE","QA","B01","Fitout","Basement","Area E","Common area","Lobby(Near lift 3)","PRE - S - Steel Stud Framing","All Steel Stud framing completed correctly to specification & within tolerance in respective area(s)"
