"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"091c66b8-395d-42a0-9f5e-53d77c07663d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"905efdc1-df68-4ccc-9792-59b4750cb9a5","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","In Ground Drainage Services"
"cbc5c778-eae4-4b78-a643-4fe05478290f","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","In Ground Drainage Services","Stormwater (in-ground)"
"1972ece5-9e65-45c1-bb0d-d34953bbe012","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 1"
"0999ec0b-2048-4acc-935b-f8135072d6fc","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 2"
"de144d89-4aa4-43c4-94ee-330aa61dd02d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 3"
"56b4b8c9-efe5-498a-9536-dbe61e08f94b","","folder-normal","pass","","step","TRUE","FALSE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 4"
"b2e5c49d-5f14-4e1c-962a-cc56428580f3","","checklist-flat","pass","75180dba9da3255b68dedd748ee12838a79552bbe6e6fe74729584a56a5c5a49","checklist-flat","FALSE","FALSE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 4","Zone 4"
"989f09bc-9530-44e3-9c11-94aa91183baf","","checklist-flat","pass","ITR 003 Stormwater Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 4","Symphonic tank overflows","ITR 003 Stormwater Drainage In Ground"
"910d252d-3b7a-59c5-a8ea-fb3c217101c7","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 4","Symphonic tank overflows","ITR 003 Stormwater Drainage In Ground","All works to be set out as per approved IFC drawings. Works set out to Drawing No."
"ec20d853-542e-5a49-8e3c-58eeba2f1704","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 4","Symphonic tank overflows","ITR 003 Stormwater Drainage In Ground","All pipe work to be as per specifications & AS3500.2.2015 or alternatively approved and appropriately sized"
"5a1dc5b0-8149-5852-8302-dfe0494a069c","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 4","Symphonic tank overflows","ITR 003 Stormwater Drainage In Ground","All pipework, material and fittings to be installed as per approved IFC Drawing No:"
"1c22d393-d0eb-5541-aa7a-17e1c9481b51","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 4","Symphonic tank overflows","ITR 003 Stormwater Drainage In Ground","All pipework to be checked for correct invert levels & gradients in accordance to specifications, requirements & approved IFC drawings."
"a4f548b8-c77e-5e31-a9c9-df38d8cb65a9","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 4","Symphonic tank overflows","ITR 003 Stormwater Drainage In Ground","All pits to be checked for correct invert levels & finished floor levels in accordance to specifications & requirements & IFC drawings."
"c9abbd95-1c06-56a9-988b-146389455634","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 4","Symphonic tank overflows","ITR 003 Stormwater Drainage In Ground","Ensure correct locations of pits."
"46c62a1c-d685-5a79-911e-0c49ec75c5f7","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 4","Symphonic tank overflows","ITR 003 Stormwater Drainage In Ground","All pipework to be checked for correct invert levels & gradients in accordance to specifications & requirements"
"316bdfd9-d43f-508a-abc2-f42598e13c45","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 4","Symphonic tank overflows","ITR 003 Stormwater Drainage In Ground","Ensure all backfill is in accordance to specifications & compaction requirements."
"bf8a349b-0e68-5145-92c0-cc2052d939f0","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 4","Symphonic tank overflows","ITR 003 Stormwater Drainage In Ground","Ensure all excess material is removed from work area & leave clean & tidy."
"3547b5d4-7dfe-5e76-b245-da532f16a22c","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 4","Symphonic tank overflows","ITR 003 Stormwater Drainage In Ground","Are all works completed in this zone? Please attach site foreman signature."
"680ab421-aa0c-4bb7-b497-b275885f4756","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 5"
"2b74e245-250e-47a3-b4eb-d443fbda249a","","checklist-flat","work-in-progress","75180dba9da3255b68dedd748ee12838a79552bbe6e6fe74729584a56a5c5a49","checklist-flat","FALSE","FALSE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 5","Zone 5"
"3706547d-a59e-543d-8ce9-5f1ee4c4e9af","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 5","Zone 5","All works to be set out as per approved IFC drawings. Works set out to Drawing No."
"b798f9dc-7993-5242-a2e6-4967308ccc64","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 5","Zone 5","All pipe work to be as per specifications & AS3500.2.2015 or alternatively approved and appropriately sized"
"c7fee19e-017a-57ff-ab52-876690b5a3e5","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 5","Zone 5","All pipework, material and fittings to be installed as per approved IFC Drawing No:"
"923c2b90-6844-5693-a614-70a4d8a60551","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 5","Zone 5","All pipework to be checked for correct invert levels & gradients in accordance to specifications, requirements & approved IFC drawings."
"3551d9e6-d8ba-5cce-9d86-bf991c292352","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 5","Zone 5","All pits to be checked for correct invert levels & finished floor levels in accordance to specifications & requirements & IFC drawings."
"6a4f6c0f-b958-5698-8426-ec5537b2bdf6","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 5","Zone 5","Ensure correct locations of pits."
"b935118c-c78c-53cb-972c-2ec2547eaff7","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 5","Zone 5","All pipework to be checked for correct invert levels & gradients in accordance to specifications & requirements"
"8864568e-bf70-572b-92d8-69b3604417c2","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 5","Zone 5","Ensure all backfill is in accordance to specifications & compaction requirements."
"35e29e30-2839-580f-8c88-379a63d6e642","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 5","Zone 5","Ensure all excess material is removed from work area & leave clean & tidy."
"36ee8670-17aa-4d10-88e9-d470e448fd05","","checklist-flat","pass","ITR 003 Stormwater Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 5","Grids TC-AA & NC-T3"
"22f9c4ce-3352-59b7-b2ee-bb4bab3b3f95","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 5","Grids TC-AA & NC-T3","All works to be set out as per approved IFC drawings. Works set out to Drawing No."
"580150b9-6264-50b8-9c6e-77796adb3e43","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 5","Grids TC-AA & NC-T3","All pipe work to be as per specifications & AS3500.2.2015 or alternatively approved and appropriately sized"
"18dc335d-a0b0-55df-ab5b-a7031e4a2fdd","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 5","Grids TC-AA & NC-T3","All pipework, material and fittings to be installed as per approved IFC Drawing No:"
"5649dc6d-1ce6-53b2-93bd-dc86ad702a08","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 5","Grids TC-AA & NC-T3","All pipework to be checked for correct invert levels & gradients in accordance to specifications, requirements & approved IFC drawings."
"6e74b65a-7bad-5aeb-b6b1-1f1ce9dcc83c","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 5","Grids TC-AA & NC-T3","All pits to be checked for correct invert levels & finished floor levels in accordance to specifications & requirements & IFC drawings."
"6fe88db7-4418-5d0e-8f6d-06bf511f5f41","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 5","Grids TC-AA & NC-T3","Ensure correct locations of pits."
"7dae4a00-fdbe-52d1-862c-2390ce8b370c","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 5","Grids TC-AA & NC-T3","All pipework to be checked for correct invert levels & gradients in accordance to specifications & requirements"
"935f5cad-e6af-5d05-9768-7538bbfddf7a","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 5","Grids TC-AA & NC-T3","Ensure all backfill is in accordance to specifications & compaction requirements."
"2b5e78c6-262c-597a-b063-a0bfefe47a11","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 5","Grids TC-AA & NC-T3","Ensure all excess material is removed from work area & leave clean & tidy."
"7d3a761d-ddcf-5799-9280-b9989943cab2","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 5","Grids TC-AA & NC-T3","Are all works completed in this zone? Please attach site foreman signature."
"b774d3b5-72a4-467c-ab27-90422c3408fd","","checklist-flat","work-in-progress","ITR 002 Sewer Drainage","checklist-flat","FALSE","FALSE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 5","Grids td,te.f1a,na."
"b4fa1b0d-77fe-5bd7-859a-e843f664f79a","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 5","Grids td,te.f1a,na.","All works to be set out as per approved IFC drawings. Works set out to Drawing No."
"0b88c045-4e3e-533c-802f-b74734da03c7","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 5","Grids td,te.f1a,na.","All pipe work to be as per specifications & AS3500.2.2015 or alternatively approved and appropriately sized"
"4fc862ef-ce4c-5b9b-bd22-9fa46880f8d3","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 5","Grids td,te.f1a,na.","All pipework, material and fittings to be installed as per approved IFC Drawing No:"
"d2b915b7-af71-5c43-8cc5-4bace3c33f6b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 5","Grids td,te.f1a,na.","All pipework to be checked for correct invert levels & gradients in accordance to specifications, requirements & approved IFC drawings."
"2d8d669e-6fd6-59c6-a3ec-82d16bbb3d15","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 5","Grids td,te.f1a,na.","Notify HP Management for inspection of drainage prior to backfill."
"28c915d4-7a10-58ff-9421-647225e49d73","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 5","Grids td,te.f1a,na.","Book inspection with VBA for in-ground drainage. HP can sign off if inspector does not attend."
"02763abf-b8b2-50df-90aa-36560b50f985","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 5","Grids td,te.f1a,na.","Ensure all backfill is in accordance to specifications & compaction requirements."
"fcfdf651-0c97-5678-a891-43bd70decce7","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 5","Grids td,te.f1a,na.","Ensure all excess material is removed from work area & leave clean & tidy."
"7257a3f2-f49a-5967-bb5a-a7d03de8ed81","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 5","Grids td,te.f1a,na.","Are all works completed in this zone? Please attach site foreman signature."
"887ec71a-5efb-4537-be6d-e155c39a4c91","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 6"
"e8df6f84-11ab-46b9-b128-22da35003c35","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 7"
"7710c0e2-bfee-4b39-b2d0-1791b81f7398","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 8"
"140d6931-d171-4204-b8cc-9f7ce172f4ac","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 9"
"ae198605-a0c9-4f3e-ac0a-17697afa2430","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","In Ground Drainage Services","Stormwater (in-ground)","Zone 10"
"08201dac-3bac-431b-b469-517987c4cb98","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","In Ground Drainage Services","Sewer (in-ground)"
"ec0a0bbb-478e-4cbb-88bf-340be6d51987","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","In Ground Drainage Services","Sewer (in-ground)","Zone 2"
"c09b3091-33da-44f9-a675-3ad196420e9a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","In Ground Drainage Services","Sewer (in-ground)","Zone 3"
"e18dccd5-ca58-48ab-af98-11732a13ccd2","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","In Ground Drainage Services","Sewer (in-ground)","Zone 4"
"0918e4ce-436b-4727-bee7-a1ba56b4df27","","checklist-flat","work-in-progress","25361a247e42618d615720568a62e36c967c3c7cffdc342a744a159677926b80","checklist-flat","FALSE","FALSE","Site QA","In Ground Drainage Services","Sewer (in-ground)","Zone 4","Zone 4"
"1eee54f0-dcdd-53f6-97aa-cab2f94e7f9a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Sewer (in-ground)","Zone 4","Zone 4","All works to be set out as per approved IFC drawings. Works set out to Drawing No."
"df6aff2c-4e8a-550e-9f28-5a751f5581e5","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Sewer (in-ground)","Zone 4","Zone 4","All pipe work to be as per specifications & AS3500.2.2015 or alternatively approved and appropriately sized"
"7baca21d-87ec-5bb0-9001-0d432668c2f7","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Sewer (in-ground)","Zone 4","Zone 4","All pipework, material and fittings to be installed as per approved IFC Drawing No:"
"33133736-6990-511b-b7e2-8a34ab19770a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Sewer (in-ground)","Zone 4","Zone 4","All pipework to be checked for correct invert levels & gradients in accordance to specifications, requirements & approved IFC drawings."
"084265f1-c7d0-5bad-8ee5-114af6500c7b","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Sewer (in-ground)","Zone 4","Zone 4","Notify HP Management for inspection of drainage prior to backfill."
"9a9ed534-3cec-57f6-965e-515af4247436","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Sewer (in-ground)","Zone 4","Zone 4","Book inspection with VBA for in-ground drainage. HP can sign off if inspector does not attend."
"1f7a2790-945f-5617-9fc7-6bf0ffd153d2","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Sewer (in-ground)","Zone 4","Zone 4","Ensure all backfill is in accordance to specifications & compaction requirements."
"1e4f254b-e334-5a76-98e1-9d72fffe7582","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Sewer (in-ground)","Zone 4","Zone 4","Ensure all excess material is removed from work area & leave clean & tidy."
"f66ca0d5-bbda-4999-b3df-593a6d876287","","folder-normal","pass","","step","TRUE","FALSE","Site QA","In Ground Drainage Services","Sewer (in-ground)","Zone 5"
"20f29f65-836c-4a66-b78a-c0f166d5d577","","checklist-flat","pass","25361a247e42618d615720568a62e36c967c3c7cffdc342a744a159677926b80","checklist-flat","FALSE","FALSE","Site QA","In Ground Drainage Services","Sewer (in-ground)","Zone 5","Zone 5"
"e6640753-3918-5c6f-8488-dab41388f1ac","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Sewer (in-ground)","Zone 5","Zone 5","All works to be set out as per approved IFC drawings. Works set out to Drawing No."
"96684d58-9afb-5678-8d58-05d47f8485a4","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Sewer (in-ground)","Zone 5","Zone 5","All pipe work to be as per specifications & AS3500.2.2015 or alternatively approved and appropriately sized"
"94012288-e20e-5560-abf2-fd8b1985512d","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Sewer (in-ground)","Zone 5","Zone 5","All pipework, material and fittings to be installed as per approved IFC Drawing No:"
"e4d5505a-c2d0-5878-b279-c22e70af8a1b","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Sewer (in-ground)","Zone 5","Zone 5","All pipework to be checked for correct invert levels & gradients in accordance to specifications, requirements & approved IFC drawings."
"da8fe0ba-0155-536c-9da7-a24d1aa8c4ed","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Sewer (in-ground)","Zone 5","Zone 5","Notify HP Management for inspection of drainage prior to backfill."
"f3274ff6-41d7-5af3-8903-1b4c3d66c4c9","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Sewer (in-ground)","Zone 5","Zone 5","Book inspection with VBA for in-ground drainage. HP can sign off if inspector does not attend."
"af1ff10e-60fe-573a-8d1a-f65b2980af93","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Sewer (in-ground)","Zone 5","Zone 5","Ensure all backfill is in accordance to specifications & compaction requirements."
"e641905e-c683-510a-bce6-1cb07ad18460","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Sewer (in-ground)","Zone 5","Zone 5","Ensure all excess material is removed from work area & leave clean & tidy."
"bca1ac4d-e01f-4203-9335-86e8ba45aaec","","checklist-flat","pass","ITR 002 Sewer Drainage","checklist-flat","FALSE","FALSE","Site QA","In Ground Drainage Services","Sewer (in-ground)","Zone 5","Grids N1-T1 & TB-TD"
"d98ff3da-4f81-5f9b-ab18-2ae28105a940","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Sewer (in-ground)","Zone 5","Grids N1-T1 & TB-TD","All works to be set out as per approved IFC drawings. Works set out to Drawing No."
"92c2f57a-fab7-5b7b-bfc3-846c100c34e4","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Sewer (in-ground)","Zone 5","Grids N1-T1 & TB-TD","All pipe work to be as per specifications & AS3500.2.2015 or alternatively approved and appropriately sized"
"d145a44c-2e78-5c21-9ff6-e188f32e1666","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Sewer (in-ground)","Zone 5","Grids N1-T1 & TB-TD","All pipework, material and fittings to be installed as per approved IFC Drawing No:"
"b747603d-6bc4-54a1-af67-d5176226a71e","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Sewer (in-ground)","Zone 5","Grids N1-T1 & TB-TD","All pipework to be checked for correct invert levels & gradients in accordance to specifications, requirements & approved IFC drawings."
"d51bcc40-8f80-578f-82ae-08b36b55cb8a","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Sewer (in-ground)","Zone 5","Grids N1-T1 & TB-TD","Notify HP Management for inspection of drainage prior to backfill."
"fc16f307-8a57-5b45-bde8-a9330f498b11","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Sewer (in-ground)","Zone 5","Grids N1-T1 & TB-TD","Book inspection with VBA for in-ground drainage. HP can sign off if inspector does not attend."
"52859e57-bb74-58c6-a83f-179170ba6b39","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Sewer (in-ground)","Zone 5","Grids N1-T1 & TB-TD","Ensure all backfill is in accordance to specifications & compaction requirements."
"75105b1a-fe0a-50d9-8f27-210177532548","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Sewer (in-ground)","Zone 5","Grids N1-T1 & TB-TD","Ensure all excess material is removed from work area & leave clean & tidy."
"bbd27146-9ccb-567a-aeac-ccf3b54452fd","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Sewer (in-ground)","Zone 5","Grids N1-T1 & TB-TD","Are all works completed in this zone? Please attach site foreman signature."
"7d26f36a-0ac6-4717-afce-4f656b7f2a4f","","checklist-flat","pass","ITR 002 Sewer Drainage","checklist-flat","FALSE","FALSE","Site QA","In Ground Drainage Services","Sewer (in-ground)","Zone 5"," GridTe,tf..n1,f1a e-w sewer150mm"
"ecf70a7b-9b32-5c59-a1a5-1ba6ee522a1f","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Sewer (in-ground)","Zone 5"," GridTe,tf..n1,f1a e-w sewer150mm","All works to be set out as per approved IFC drawings. Works set out to Drawing No."
"7e8201b4-f348-5f10-b741-a296c506e78b","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Sewer (in-ground)","Zone 5"," GridTe,tf..n1,f1a e-w sewer150mm","All pipe work to be as per specifications & AS3500.2.2015 or alternatively approved and appropriately sized"
"baf8cf57-d3da-5051-9c0c-539b728fe12b","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Sewer (in-ground)","Zone 5"," GridTe,tf..n1,f1a e-w sewer150mm","All pipework, material and fittings to be installed as per approved IFC Drawing No:"
"44ba076c-4695-5376-bce7-751ad5993a63","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Sewer (in-ground)","Zone 5"," GridTe,tf..n1,f1a e-w sewer150mm","All pipework to be checked for correct invert levels & gradients in accordance to specifications, requirements & approved IFC drawings."
"faa99e21-3b3e-54ec-9eea-f6a2bbeaf9d4","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Sewer (in-ground)","Zone 5"," GridTe,tf..n1,f1a e-w sewer150mm","Notify HP Management for inspection of drainage prior to backfill."
"1ba91f92-6aa3-55d7-ad81-17c9f29ce49d","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Sewer (in-ground)","Zone 5"," GridTe,tf..n1,f1a e-w sewer150mm","Book inspection with VBA for in-ground drainage. HP can sign off if inspector does not attend."
"52cd024e-6536-51ad-9167-d53c8e11a62b","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","In Ground Drainage Services","Sewer (in-ground)","Zone 5"," GridTe,tf..n1,f1a e-w sewer150mm","Ensure all backfill is in accordance to specifications & compaction requirements."
