"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"819d3d61-999a-4fcf-bb3a-aef89775fb1a","","folder-normal","work-in-progress","","step","TRUE","FALSE","External Works QA"
"76e32474-9c42-461f-9a17-0cbd323f6977","","folder-normal","work-in-progress","","step","TRUE","FALSE","External Works QA","External Walls Ground Floor"
"0df41649-dccc-477a-a60a-b6be34af6a58","","folder-normal","work-in-progress","","step","TRUE","FALSE","External Works QA","External Walls Ground Floor","Stage 1"
"3bbddbf6-ff78-499e-9dc1-60ebab34e720","","folder-normal","work-in-progress","","step","TRUE","FALSE","External Works QA","External Walls Ground Floor","Stage 1","Grid 2"
"006d257c-d042-486a-99af-56c39398d42d","","checklist-flat","work-in-progress","8807480b571d700a79527250b46cc6afa797a57d4818a70c775a9b56db496654","checklist-flat","FALSE","FALSE","External Works QA","External Walls Ground Floor","Stage 1","Grid 2","External Framing"
"9bc72e0d-ca1f-59b0-b74c-65799b27cb5e","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 2","Grid B ( Grid 8-11 )","External Framing","Timber framing installed at correct centres and size of timber as per drawings"
"7744d70d-0ce5-58fb-9fd2-a0e2e874e62b","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 2","Grid B ( Grid 8-11 )","External Framing","Amount of timber studs per wall type installed and at wall junctions."
"5195e7a6-b9d0-53f7-86e8-94b77e2723a2","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 2","Grid B ( Grid 8-11 )","External Framing","All external openings ( doors and windows ) checks, correct openings and approved"
"ccd3d40c-2c70-5361-8965-4139b9df5b26","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 2","Grid B ( Grid 8-11 )","External Framing","Building hardware installed on exterior walls."
"47f36f8d-19e6-5752-881c-f3866ee9072f","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 2","Grid B ( Grid 8-11 )","External Framing","Correct lintel sizes installed as per dwgs S1-03 / S8-10"
"7547e64b-2030-5a1c-bc51-eb77aa123bde","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 2","Grid B ( Grid 8-11 )","External Framing","Plywood strip installed to take steel brick edge angle"
"c8a8c7e8-2d2f-540f-9403-b8f2bafe9b27","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 2","Grid B ( Grid 8-11 )","External Framing","Wrap shield installed into window openings with liquid flash"
"970afe81-5703-5d2c-9f3b-69e21e814a74","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 2","Grid B ( Grid 8-11 )","External Framing","Wrap shield installed to face of weatherline / interstory installed if req"
"f032a33d-5872-517a-92b8-445b12075cc5","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 2","Grid B ( Grid 8-11 )","External Framing","Brackets installed as per S1-03"
"df2fd8c2-a126-454e-b723-c6614ca503f8","","folder-normal","work-in-progress","","step","TRUE","FALSE","External Works QA","External Walls Ground Floor","Stage 2","Grid 8"
"049b0790-6fe2-4310-b52c-701b0ee76c20","","checklist-flat","work-in-progress","External Framing","checklist-flat","FALSE","FALSE","External Works QA","External Walls Ground Floor","Stage 2","Grid 8","External Framing"
"e5180112-7d3a-5622-87cd-ae4008a6a7f6","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 2","Grid 8","External Framing","General info/comments recorded"
"ae88cd41-d2bb-5616-b912-4504a8489839","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 2","Grid 8","External Framing","Walls in correct location off grid and walls built within building tolerances."
"8d7bbae7-b4db-5c01-b0d5-9d581733e06c","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 2","Grid 8","External Framing","DPC under bottom plate against concrete"
"6a3c0cb8-fcd7-5d91-a413-3269e5fdbeea","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 2","Grid 8","External Framing","M16 threaded rods/epoxy installed at correct centres"
"173e5d9f-4fdc-599d-bf5d-87a0f49dc1ad","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 2","Grid 8","External Framing","Timber framing installed at correct centres and size of timber as per drawings"
"8772f885-15c9-5ab0-9ae6-aeb2efe8f7bf","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 2","Grid 8","External Framing","Amount of timber studs per wall type installed and at wall junctions."
"fb1182ee-238a-5c12-9f12-aa7656f3cb7a","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 2","Grid 8","External Framing","All external openings ( doors and windows ) checks, correct openings and approved"
"b1c7fb20-73e0-5a6e-b382-dc6e52eb458a","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 2","Grid 8","External Framing","Building hardware installed on exterior walls."
"f057aa42-c35b-58f6-9a40-70da68e07329","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 2","Grid 8","External Framing","Correct lintel sizes installed as per dwgs S1-03 / S8-10"
"a9cee43d-9e74-5a88-9df7-4d1b1db8665b","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 2","Grid 8","External Framing","Plywood strip installed to take steel brick edge angle"
"61908b54-30c5-5c99-b5c6-d286cbd66538","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 2","Grid 8","External Framing","Wrap shield installed into window openings with liquid flash"
"839cfef7-3d6c-5a50-b491-05a65e583e6c","","checkpoint-status","work-in-progress","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 2","Grid 8","External Framing","Wrap shield installed to face of weatherline / interstory installed if req"
"4b5da88b-6e8a-55da-824c-d53bf0204b84","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 2","Grid 8","External Framing","Brackets installed as per S1-03"
"8900f8b6-7c5a-4218-980e-f5f0c08ab702","","folder-normal","not-started","","step","TRUE","FALSE","External Works QA","External Walls Ground Floor","Stage 2","Grid 11"
"c6cef9f4-e5a9-4fbc-a1d1-0aa1c2347c53","","checklist-flat","not-started","External Framing","checklist-flat","FALSE","FALSE","External Works QA","External Walls Ground Floor","Stage 2","Grid 11","External Framing"
"8908c209-b15e-5407-b465-ca2f5ae0031f","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 2","Grid 11","External Framing","General info/comments recorded"
"df95832b-380a-54f8-a942-ff5b4ebf9467","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 2","Grid 11","External Framing","Walls in correct location off grid and walls built within building tolerances."
"509ce7cc-42f5-5108-8ec2-403a218b6e6f","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 2","Grid 11","External Framing","DPC under bottom plate against concrete"
"bc2cc644-b187-5a14-a729-fc5aabcd8963","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 2","Grid 11","External Framing","M16 threaded rods/epoxy installed at correct centres"
"7f3613f1-66a8-50bb-82d8-60e858432168","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 2","Grid 11","External Framing","Timber framing installed at correct centres and size of timber as per drawings"
"e66e79fd-6413-5687-ae83-9d7fb227f553","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 2","Grid 11","External Framing","Amount of timber studs per wall type installed and at wall junctions."
"d35e73e7-c75b-59cf-8351-ceb2245b1313","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 2","Grid 11","External Framing","All external openings ( doors and windows ) checks, correct openings and approved"
"1f5308b6-4b4e-50f5-a197-5017e04b8b92","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 2","Grid 11","External Framing","Building hardware installed on exterior walls."
"4d65f90c-07d4-56d2-a122-a1e12645b84f","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 2","Grid 11","External Framing","Correct lintel sizes installed as per dwgs S1-03 / S8-10"
"753a213b-4b7f-5203-b889-a23f59a0e614","","checkpoint-status","not-started","","","TRUE","TRUE","External Works QA","External Walls Ground Floor","Stage 2","Grid 11","External Framing","Plywood strip installed to take steel brick edge angle"
