type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,,
label,"Action (Hold, Monitor, Witness) - M",,,,,,,,,,,,,,,,,
label,"Minimum Test Frequency (Lot =  1 day’s production or 1,500m2) - Per Batch",,,,,,,,,,,,,,,,,
label,Inspection / Test method - NZTA M/01 and visual foaming at test nozzle,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Pen 80/100 Bitumen or Pen 180/200 (if approved) Bitumen able to achieve min 10x expansion and min. 6s half life,,,,,,,,,,,,,,,,,
label,Record documents - Certificate in contractor's site folder,,,,,,,,,,,,,,,,,
label,Responsibility - Contractor,,,,,,,,,,,,,,,,,
checkpoint,4.1.5 - Check raw materials (whichever applicable),,,,,,,,,,,,,,,,,
label,Detail of Activity - Bitumen Supply and Storage Tanks,,,,,,,,,,,,,,,,,
label,"Action (Hold, Monitor, Witness) - M",,,,,,,,,,,,,,,,,
label,"Minimum Test Frequency (Lot =  1 day’s production or 1,500m2) - Prior to commencement",,,,,,,,,,,,,,,,,
label,Inspection / Test method - Document Review,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - All test certificates with supply and storage pods,,,,,,,,,,,,,,,,,
label,Record documents - Certificate in contractor's site folder,,,,,,,,,,,,,,,,,
label,Responsibility - Contractor,,,,,,,,,,,,,,,,,
label,Comments - Retain for testing if required,,,,,,,,,,,,,,,,,
checkpoint,4.1.6 - Check raw materials (whichever applicable),,,,,,,,,,,,,,,,,
label,Detail of Activity - Sub-base Aggregate,,,,,,,,,,,,,,,,,
label,"Action (Hold, Monitor, Witness) - M",,,,,,,,,,,,,,,,,
label,"Minimum Test Frequency (Lot =  1 day’s production or 1,500m2) - 1 per source stockpile ",,,,,,,,,,,,,,,,,
label,Inspection / Test method - USE ITP LABELLED UBG SUBBASE,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - NZTA M03 / Project Spec,,,,,,,,,,,,,,,,,
label,Record documents - Certificate in contractor's site folder,,,,,,,,,,,,,,,,,
label,Responsibility - Contractor,,,,,,,,,,,,,,,,,
label,"Comments - The surface finish, line and level is checked by Engineer's Rep. immediately prior to sealing",,,,,,,,,,,,,,,,,
checkpoint,4.1.7 - Check raw materials (whichever applicable),,,,,,,,,,,,,,,,,
label,Detail of Activity - Basecourse Aggregates,,,,,,,,,,,,,,,,,
label,"Action (Hold, Monitor, Witness) - M",,,,,,,,,,,,,,,,,
label,"Minimum Test Frequency (Lot =  1 day’s production or 1,500m2) - 1 per source stockpile ",,,,,,,,,,,,,,,,,
label,Inspection / Test method - USE ITP LABELLED UBG BASECOURSE,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - NZTA M04 / Project Spec,,,,,,,,,,,,,,,,,
label,Record documents - Certificate in contractor's site folder,,,,,,,,,,,,,,,,,
label,Responsibility - Contractor,,,,,,,,,,,,,,,,,
section,4.2. CONSTRUCTION - SUBBASE / BASECOURSE,,,,,,,,,,,,,,,,,
checkpoint,4.2.1 - Modified Subbase / Basecourse,,,,,,,,,,,,,,,,,
label,Detail of Activity - Spreading of powdered stabilising agent,,,,,,,,,,,,,,,,,
label,"Action (Hold, Monitor, Witness) - M",,,,,,,,,,,,,,,,,
label,"Minimum Test Frequency (Lot =  1 day’s production or 1,500m2) - On-going measurement by computer/load cells",,,,,,,,,,,,,,,,,
label,Inspection / Test method - Measurement each run,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - ± 5% of specified rate,,,,,,,,,,,,,,,,,
label,Record documents - Worksheet,,,,,,,,,,,,,,,,,
label,Responsibility - Contractor,,,,,,,,,,,,,,,,,
checkpoint,4.2.2 - Modified Subbase / Basecourse,,,,,,,,,,,,,,,,,
label,Detail of Activity - Mixing process,,,,,,,,,,,,,,,,,
label,"Action (Hold, Monitor, Witness) - M",,,,,,,,,,,,,,,,,
label,"Minimum Test Frequency (Lot =  1 day’s production or 1,500m2) - On-going visual assessment",,,,,,,,,,,,,,,,,
label,Inspection / Test method - Visual Inspection,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Mixed material free of pockets or streaks. Overlaps and construction joints as per spec,,,,,,,,,,,,,,,,,
label,Record documents - ITP / Daily work Log,,,,,,,,,,,,,,,,,
label,Responsibility - Contractor,,,,,,,,,,,,,,,,,
checkpoint,4.2.3 - Modified Subbase / Basecourse,,,,,,,,,,,,,,,,,
label,Detail of Activity - Bitumen Injection,,,,,,,,,,,,,,,,,
label,"Action (Hold, Monitor, Witness) - M",,,,,,,,,,,,,,,,,
label,"Minimum Test Frequency (Lot =  1 day’s production or 1,500m2) - On-going measurement by computer supplemented with tanker dips at the end of each run",,,,,,,,,,,,,,,,,
label,Inspection / Test method - Measurement each run,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - ± 5% of specified rate,,,,,,,,,,,,,,,,,
label,Record documents - Worksheet,,,,,,,,,,,,,,,,,
label,Responsibility - Contractor,,,,,,,,,,,,,,,,,
checkpoint,4.2.4 - Modified Subbase / Basecourse,,,,,,,,,,,,,,,,,
label,Detail of Activity - Depth of stabilisation,,,,,,,,,,,,,,,,,
label,"Action (Hold, Monitor, Witness) - M",,,,,,,,,,,,,,,,,
label,"Minimum Test Frequency (Lot =  1 day’s production or 1,500m2) - 9 per Lot",,,,,,,,,,,,,,,,,
label,Inspection / Test method - Measurement,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - +15mm / -5mm from specified depth,,,,,,,,,,,,,,,,,
label,Record documents - Daily work Log,,,,,,,,,,,,,,,,,
label,Responsibility - Contractor,,,,,,,,,,,,,,,,,
checkpoint,4.2.5 - Modified Subbase / Basecourse,,,,,,,,,,,,,,,,,
label,Detail of Activity - Modified Maximum Dry Density,,,,,,,,,,,,,,,,,
label,"Action (Hold, Monitor, Witness) - M",,,,,,,,,,,,,,,,,
label,"Minimum Test Frequency (Lot =  1 day’s production or 1,500m2) - 3 per Lot ",,,,,,,,,,,,,,,,,
label,Inspection / Test method - NZS 4402.4.1.3,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - For analysis of DoC,,,,,,,,,,,,,,,,,
label,Record documents - IANZ Report,,,,,,,,,,,,,,,,,
label,Responsibility - Contractor,,,,,,,,,,,,,,,,,
label,Comments - Basecourse only,,,,,,,,,,,,,,,,,
checkpoint,4.2.6 - Modified Subbase / Basecourse,,,,,,,,,,,,,,,,,
label,Detail of Activity - Degree of Compaction,,,,,,,,,,,,,,,,,
label,"Action (Hold, Monitor, Witness) - H",,,,,,,,,,,,,,,,,
label,"Minimum Test Frequency (Lot =  1 day’s production or 1,500m2) - 9 per Lot",,,,,,,,,,,,,,,,,
label,Inspection / Test method - NZS 4407.4.2.1,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - NZTA B/5: ,,,,,,,,,,,,,,,,,
label,"○ Subbase DoC Mean ≥95%, Miin ≥ 92%",,,,,,,,,,,,,,,,,
label,"○ Basecourse DOC Mean  ≥98%, Min ≥ 95%",,,,,,,,,,,,,,,,,
label,Record documents - IANZ Report,,,,,,,,,,,,,,,,,
label,Responsibility - Contractor,,,,,,,,,,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,,,,,,,,,
checkpoint,4.2.7 - Modified Subbase / Basecourse,,,,,,,,,,,,,,,,,
label,Detail of Activity - Layer Width,,,,,,,,,,,,,,,,,
label,"Action (Hold, Monitor, Witness) - H",,,,,,,,,,,,,,,,,
label,"Minimum Test Frequency (Lot =  1 day’s production or 1,500m2) - every 20m",,,,,,,,,,,,,,,,,
label,Inspection / Test method - Measurement,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - ± 10 mm,,,,,,,,,,,,,,,,,
label,Record documents - Survey,,,,,,,,,,,,,,,,,
label,Responsibility - Contractor,,,,,,,,,,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,,,,,,,,,
checkpoint,4.2.8 - Modified Subbase / Basecourse,,,,,,,,,,,,,,,,,
label,Detail of Activity - Surface Shape,,,,,,,,,,,,,,,,,
label,"Action (Hold, Monitor, Witness) - H",,,,,,,,,,,,,,,,,
label,"Minimum Test Frequency (Lot =  1 day’s production or 1,500m2) - every 20m",,,,,,,,,,,,,,,,,
label,Inspection / Test method - Measurement,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - < 6mm using 3m straight edge,,,,,,,,,,,,,,,,,
label,Record documents - Worksheet,,,,,,,,,,,,,,,,,
label,Responsibility - Contractor,,,,,,,,,,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,,,,,,,,,
checkpoint,4.2.9 - Modified Subbase / Basecourse,,,,,,,,,,,,,,,,,
label,Detail of Activity - Surface Levels,,,,,,,,,,,,,,,,,
label,"Action (Hold, Monitor, Witness) - H",,,,,,,,,,,,,,,,,
label,"Minimum Test Frequency (Lot =  1 day’s production or 1,500m2) - every 20m",,,,,,,,,,,,,,,,,
label,Inspection / Test method - NZTA Z/16,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Subbase: ,,,,,,,,,,,,,,,,,
label,○ No Concrete Channel: -25mm + 5mm with Concrete Channel: -25mm + 5mm,,,,,,,,,,,,,,,,,
label,Basecourse: ,,,,,,,,,,,,,,,,,
label,○ No Concrete Channel: -5mm + 15mm with Concrete Channel: ,,,,,,,,,,,,,,,,,
label,– within 1m from channel: -5mm + 5mm,,,,,,,,,,,,,,,,,
label,– other locations: -5mm + 15mm,,,,,,,,,,,,,,,,,
label,Record documents - Survey,,,,,,,,,,,,,,,,,
label,Responsibility - Contractor,,,,,,,,,,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,,,,,,,,,
checkpoint,4.2.10 - Modified Subbase / Basecourse,,,,,,,,,,,,,,,,,
label,Detail of Activity - Stabilised material strength - ITS,,,,,,,,,,,,,,,,,
label,"Action (Hold, Monitor, Witness) - S",,,,,,,,,,,,,,,,,
label,"Minimum Test Frequency (Lot =  1 day’s production or 1,500m2) - 3 soaked ITS + 3 dry ITS per Lot",,,,,,,,,,,,,,,,,
label,Inspection / Test method - NZTA T/19,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Modified:,,,,,,,,,,,,,,,,,
label,○ Dry ITS: 150kPa to 350 kPa,,,,,,,,,,,,,,,,,
label,○ Soaked ITS: 100 kPa to 300 kPa,,,,,,,,,,,,,,,,,
label,Bound Subbase:,,,,,,,,,,,,,,,,,
label,○ Dry ITS > 500 kPa,,,,,,,,,,,,,,,,,
label,○ Soaked ITS > 450 kPa,,,,,,,,,,,,,,,,,
label,Record documents - IANZ Report,,,,,,,,,,,,,,,,,
label,Responsibility - Contractor,,,,,,,,,,,,,,,,,
checkpoint,4.2.11 - Modified Subbase / Basecourse,,,,,,,,,,,,,,,,,
label,Detail of Activity - Stabilised material strength - UCS,,,,,,,,,,,,,,,,,
label,"Action (Hold, Monitor, Witness) - S",,,,,,,,,,,,,,,,,
label,"Minimum Test Frequency (Lot =  1 day’s production or 1,500m2) - 3 per Lot",,,,,,,,,,,,,,,,,
label,Inspection / Test method - NPTG Guide,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - UCS < 0.75 Mpa,,,,,,,,,,,,,,,,,
label,Record documents - IANZ Report,,,,,,,,,,,,,,,,,
label,Responsibility - Contractor,,,,,,,,,,,,,,,,,
label,Comments - If ITS testing is not available,,,,,,,,,,,,,,,,,
section,4.3. CLOSE OUT MODIFIED LAYER LOT,,,,,,,,,,,,,,,,,
checkpoint,4.3.1 - Non-conforming results,,,,,,,,,,,,,,,,,
label,Detail of Activity - Assessment of all test results for conformity,,,,,,,,,,,,,,,,,
label,"Action (Hold, Monitor, Witness) - H",,,,,,,,,,,,,,,,,
label,"Minimum Test Frequency (Lot =  1 day’s production or 1,500m2) - Each Lot",,,,,,,,,,,,,,,,,
label,Inspection / Test method - Site Inspection,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Reporting of any non-conforming results to Designer via NCR,,,,,,,,,,,,,,,,,
label,Record documents - NCR,,,,,,,,,,,,,,,,,
label,Responsibility - Engineer's Rep,,,,,,,,,,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,,,,,,,,,
checkpoint,Client Final Inspection - the signature below verifies that this ITP has been completed in accordance with the Specifications and verifies lot compliance.,,,,,,,,,,,,,,,,,
textbox,Contractor's Rep Name:,,,,,,,,,,,,,,,,,
textbox,Engineer's Rep. Name:,,,,,,,,,,,,,,,,,
signoff,Add Signature,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
