"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"6ddb48e3-7720-45e8-970e-3eb9e1efba25","","checklist-flat","no-status-started","734b9d363aedb7dda42c38a805789356110a5ecc0dc38ec6ebe7d6973e97b96f","checklist-flat","FALSE","FALSE","Overall Pre-set"
"596ca763-e77f-4330-8e83-dfb577dd65a7","","checkpoint-no-status","no-status-started","","","FALSE","FALSE","Overall Pre-set","Overall Pre-set"
"7355ce5e-545f-4e51-b847-68528ce0eb30","","checkpoint-no-status","no-status-started","","","FALSE","FALSE","Overall Pre-set","System information:"
"44557989-c69a-447d-af7b-21017a488f9b","","checkpoint-no-status","no-status-not-started","","","FALSE","FALSE","Overall Pre-set","SSP Attached"
"dbff3e76-c523-46b8-870c-99d5d5b81619","","checkpoint-no-status","no-status-not-started","","","FALSE","FALSE","Overall Pre-set","Task Analysis Attached"
"c88361e8-17b3-496e-b697-e633abd30e57","","checkpoint-no-status","no-status-started","","","FALSE","FALSE","Overall Pre-set","Relevant Drawings Attached"
"8db0a20a-04ed-4899-83a8-28d84e339029","","folder-normal","work-in-progress","","step","TRUE","FALSE"," QA"
"dbbac37e-8a15-4106-8d92-151d091b0c8e","","folder-normal","work-in-progress","","step","TRUE","FALSE"," QA","Separable Portion 01 - Existing AF Tower Re-Roof Works"
"4e1448d5-c02b-49e3-a794-49620479463d","","folder-normal","work-in-progress","","step","TRUE","FALSE"," QA","Separable Portion 01 - Existing AF Tower Re-Roof Works","RoofSafe Cable System - Line 01"
"8312b9f1-3bd1-4ca5-8535-311db14673a2","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","Separable Portion 01 - Existing AF Tower Re-Roof Works","RoofSafe Cable System - Line 01","Pre-Fit Off Checklist - Line 01"
"747baabd-1214-4029-a98d-7255b529b2b8","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 01 - Existing AF Tower Re-Roof Works","RoofSafe Cable System - Line 01","Fit Off Checklist - Line 01","Installed as per PBI drawings supplied and manufacturer's requirements"
"f9405204-2289-4479-983b-9c33c95eb55b","","folder-normal","work-in-progress","","step","TRUE","FALSE"," QA","Separable Portion 02 - New Build Works"
"476c52de-ce0e-42be-9834-bb21abd8052f","","folder-normal","pass","","step","TRUE","FALSE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 02"
"f39259c8-960a-4273-bfa7-837772b6e6d5","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 02","Pre-Fit Off Checklist - Line 02"
"9f585399-3e93-4b3a-a11e-8e732a29293e","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 02","Pre-Fit Off Checklist - Line 02","Confirm structure is in accordance to the details provided"
"2211fdfb-b184-427e-80cd-e1f1d4e69cfc","","holdpoint","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 02","Pre-Fit Off Checklist - Line 02","EMAIL PM"
"fb0786d0-bb4b-4ac3-ac61-8c2f9783846a","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 02","Pre-Fit Off Checklist - Line 02","Plinths/ bases/post installed in accordance with details provided"
"7874c633-8a88-4a18-9899-9fe5b6e4fed9","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 02","Pre-Fit Off Checklist - Line 02","Photos taken"
"1b244e4f-9eeb-4a43-8721-e545937557d5","","checklist-flat","pass","Fit Off Checklist - Line","checklist-flat","FALSE","FALSE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 02","Fit Off Checklist - Line 02"
"27814e83-5633-4ea0-9c42-e3a9032b14fa","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 02","Fit Off Checklist - Line 02","Confirm the structure is in accordance with the details supplied by PBI"
"2d59e79d-a1f3-464c-b5c7-853fd3cc13cf","","holdpoint","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 02","Fit Off Checklist - Line 02","EMAIL PM"
"95457fff-a486-4ff6-8417-1f09c8bf0944","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 02","Fit Off Checklist - Line 02","Photo taken of line pull test and swages"
"51e99eec-b324-454f-a380-cbd9746f88b9","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 02","Fit Off Checklist - Line 02","Photo taken of Engraved Line Plate / ID Tag"
"430b8078-d4fe-42ca-be69-dab9763e9569","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 02","Fit Off Checklist - Line 02","Video taken of system"
"da255466-a209-44e6-9343-340b646504ae","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 02","Fit Off Checklist - Line 02","Installed as per PBI drawings supplied and manufacturer's requirements"
"184df81b-901f-4204-87a6-4066d00ad191","","folder-normal","pass","","step","TRUE","FALSE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 03"
"2d776198-bdff-4c3d-a8bd-c8a4def15266","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 03","Pre-Fit Off Checklist - Line 03"
"f3411c51-ef2c-40fb-b00a-980e597a1046","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 03","Pre-Fit Off Checklist - Line 03","Confirm structure is in accordance to the details provided"
"ee64aa79-c014-4562-932c-1ed68e874b74","","holdpoint","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 03","Pre-Fit Off Checklist - Line 03","EMAIL PM"
"24475919-b3c6-45db-b314-6dda77bf5aca","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 03","Pre-Fit Off Checklist - Line 03","Plinths/ bases/post installed in accordance with details provided"
"3096c3b4-adb1-4f5e-a0d3-42f418867457","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 03","Pre-Fit Off Checklist - Line 03","Photos taken"
"3a6a049b-7716-48c8-b27e-ab0dcef0f224","","checklist-flat","pass","Fit Off Checklist - Line","checklist-flat","FALSE","FALSE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 03","Fit Off Checklist - Line 03"
"4f5865f0-6d28-4fef-a9c8-96205b608edf","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 03","Fit Off Checklist - Line 03","Confirm the structure is in accordance with the details supplied by PBI"
"809d96b3-c4d8-41dd-92f5-9091efa102fa","","holdpoint","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 03","Fit Off Checklist - Line 03","EMAIL PM"
"3c41e63c-9e76-480f-8de0-28950aeb3303","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 03","Fit Off Checklist - Line 03","Photo taken of line pull test and swages"
"43bfe893-0d32-49b5-899a-2fe8f3829ea9","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 03","Fit Off Checklist - Line 03","Photo taken of Engraved Line Plate / ID Tag"
"d696757c-60e3-4491-8823-9775d6e6b046","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 03","Fit Off Checklist - Line 03","Video taken of system"
"d74a06b6-9dab-4db5-9de0-9e1bc97608ed","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 03","Fit Off Checklist - Line 03","Installed as per PBI drawings supplied and manufacturer's requirements"
"a2136d11-7800-47a6-b149-7e716c97d60e","","folder-normal","pass","","step","TRUE","FALSE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 04"
"9af90f50-23cd-46b7-ae37-11376634ebdc","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 04","Pre-Fit Off Checklist - Line 04"
"76c4adb9-25d7-4630-9b98-eac4dc578abf","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 04","Pre-Fit Off Checklist - Line 04","Confirm structure is in accordance to the details provided"
"f6907df0-7c6b-46c6-aa1f-ea0c396c8c7d","","holdpoint","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 04","Pre-Fit Off Checklist - Line 04","EMAIL PM"
"09f38cb8-90b8-4580-8b30-34af2f867ebe","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 04","Pre-Fit Off Checklist - Line 04","Plinths/ bases/post installed in accordance with details provided"
"56d634c5-508c-4b26-9209-c1fc1779a653","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 04","Pre-Fit Off Checklist - Line 04","Photos taken"
"64c8b999-20e7-4eb9-b77c-7b88b09248ef","","checklist-flat","pass","Fit Off Checklist - Line","checklist-flat","FALSE","FALSE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 04","Fit Off Checklist - Line 04"
"c05cd82e-50f8-4887-9e19-ce88de4de9d9","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 04","Fit Off Checklist - Line 04","Confirm the structure is in accordance with the details supplied by PBI"
"4aea7e5f-0622-4d1b-8a28-9be814ceee6b","","holdpoint","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 04","Fit Off Checklist - Line 04","EMAIL PM"
"938363ea-3f7e-438c-b511-7d8700026629","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 04","Fit Off Checklist - Line 04","Photo taken of line pull test and swages"
"378de9bd-41a0-419b-b123-dea9960660df","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 04","Fit Off Checklist - Line 04","Photo taken of Engraved Line Plate / ID Tag"
"5720b2fa-9450-41d0-9654-f92a14725502","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 04","Fit Off Checklist - Line 04","Video taken of system"
"58234da1-1f5f-4fcb-96de-040a0e91c291","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 04","Fit Off Checklist - Line 04","Installed as per PBI drawings supplied and manufacturer's requirements"
"2ba4bfcc-b9ab-46a5-a910-895e56fb72e2","","folder-normal","pass","","step","TRUE","FALSE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 05"
"84425dff-f591-4cec-9e88-d2f36fac85a0","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 05","Pre-Fit Off Checklist - Line 05"
"eb6c6dfd-762d-489a-bf09-9cb52d131174","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 05","Pre-Fit Off Checklist - Line 05","Confirm structure is in accordance to the details provided"
"8cdf51fe-f233-46e4-b973-70f3c33b73eb","","holdpoint","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 05","Pre-Fit Off Checklist - Line 05","EMAIL PM"
"022c3a53-247b-462d-860e-36a441d7fd37","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 05","Pre-Fit Off Checklist - Line 05","Plinths/ bases/post installed in accordance with details provided"
"0eed02d7-f485-48c6-8f6c-f221f76e8f84","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 05","Pre-Fit Off Checklist - Line 05","Photos taken"
"64f0c9f9-30a6-475d-b938-0541cfb0519a","","checklist-flat","pass","Fit Off Checklist - Line","checklist-flat","FALSE","FALSE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 05","Fit Off Checklist - Line 05"
"f5c47ba3-2d07-421f-8e76-f4062c1b1f51","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 05","Fit Off Checklist - Line 05","Confirm the structure is in accordance with the details supplied by PBI"
"902fb407-c01a-4e10-ad22-fc85aa8548b1","","holdpoint","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 05","Fit Off Checklist - Line 05","EMAIL PM"
"5021cfcd-c82a-4a49-b092-827ac0ef45dd","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 05","Fit Off Checklist - Line 05","Photo taken of line pull test and swages"
"0b68e129-0549-437e-8ad9-370f5c4ebfc8","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 05","Fit Off Checklist - Line 05","Photo taken of Engraved Line Plate / ID Tag"
"060e7084-9036-41dd-9c4a-19ddebf4e7a1","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 05","Fit Off Checklist - Line 05","Video taken of system"
"9a95d39a-96f9-495c-926d-4ed72f3d57d3","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 05","Fit Off Checklist - Line 05","Installed as per PBI drawings supplied and manufacturer's requirements"
"cff0e0e7-15ea-4596-b6a5-cdd598484ea2","","folder-normal","pass","","step","TRUE","FALSE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 06"
"893d156d-b5e7-414b-a187-157e128de12d","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 06","Pre-Fit Off Checklist - Line 06"
"95ee03de-dcdc-4d07-9f66-63686cfb6e5a","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 06","Pre-Fit Off Checklist - Line 06","Confirm structure is in accordance to the details provided"
"889f52ac-5df1-48ad-a4e4-b17be95184a4","","holdpoint","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 06","Pre-Fit Off Checklist - Line 06","EMAIL PM"
"47c4f719-2757-4bdd-bd58-91566d7f8683","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 06","Pre-Fit Off Checklist - Line 06","Plinths/ bases/post installed in accordance with details provided"
"7f326e16-c909-4132-81a3-605f343f9f50","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 06","Pre-Fit Off Checklist - Line 06","Photos taken"
"39c33f45-f57f-4722-9bad-1154162102eb","","checklist-flat","pass","Fit Off Checklist - Line","checklist-flat","FALSE","FALSE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 06","Fit Off Checklist - Line 06"
"d3500469-66fc-4b2e-aa65-1a10ec24b83e","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 06","Fit Off Checklist - Line 06","Confirm the structure is in accordance with the details supplied by PBI"
"a833db4a-2bcd-4266-81e1-b0c08f49737a","","holdpoint","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 06","Fit Off Checklist - Line 06","EMAIL PM"
"ab6bb7bb-9247-43df-9924-38d93f621362","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 06","Fit Off Checklist - Line 06","Photo taken of line pull test and swages"
"0b19f29b-1569-41e7-82ec-8186c90c4166","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 06","Fit Off Checklist - Line 06","Photo taken of Engraved Line Plate / ID Tag"
"d6352351-c18e-455d-a20d-1fffd6ad9cd1","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 06","Fit Off Checklist - Line 06","Video taken of system"
"589c8457-518e-4e9d-9e7e-9b798cbf0de7","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 06","Fit Off Checklist - Line 06","Installed as per PBI drawings supplied and manufacturer's requirements"
"8eb4f294-e748-4c96-b37e-3cdefd785aed","","folder-normal","pass","","step","TRUE","FALSE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 07"
"09da392a-dd73-4018-8452-212ba656c0d3","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 07","Pre-Fit Off Checklist - Line 07"
"3b1f36ec-f3b4-4a21-879f-ca9d7e1b7df3","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 07","Pre-Fit Off Checklist - Line 07","Confirm structure is in accordance to the details provided"
"a4f693b0-1488-48ff-8ff9-a5cfb5be8c12","","holdpoint","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 07","Pre-Fit Off Checklist - Line 07","EMAIL PM"
"36358bcf-2b80-4e14-96fc-5edfc9a07523","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 07","Pre-Fit Off Checklist - Line 07","Plinths/ bases/post installed in accordance with details provided"
"b0109060-f849-4157-911f-38c338dc2ea3","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 07","Pre-Fit Off Checklist - Line 07","Photos taken"
"3bb6acf7-f176-4624-b1b0-b1392aa1a633","","checklist-flat","pass","Fit Off Checklist - Line","checklist-flat","FALSE","FALSE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 07","Fit Off Checklist - Line 07"
"0ae60812-641f-489b-86d1-0dc7620b4ab5","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 07","Fit Off Checklist - Line 07","Confirm the structure is in accordance with the details supplied by PBI"
"b068a7bf-7019-43b0-9d1e-dc65bbecf533","","holdpoint","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 07","Fit Off Checklist - Line 07","EMAIL PM"
"0f162850-9d8d-4668-91ac-9d1e18cc5506","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 07","Fit Off Checklist - Line 07","Photo taken of line pull test and swages"
"4673d19e-76d3-4771-a712-b4148f3139f9","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 07","Fit Off Checklist - Line 07","Photo taken of Engraved Line Plate / ID Tag"
"4b992b8b-235c-4b50-a04a-77696580c9bf","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 07","Fit Off Checklist - Line 07","Video taken of system"
"b3c561f4-8591-4805-9b82-6732d9a6801d","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 07","Fit Off Checklist - Line 07","Installed as per PBI drawings supplied and manufacturer's requirements"
"1daed003-4288-4899-873f-c29c013d69d2","","folder-normal","pass","","step","TRUE","FALSE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 08A"
"f6e06bf6-b75b-4a04-bdb9-fe0b0039e158","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 08A","Pre-Fit Off Checklist"
"de25d8ac-859c-5f90-a6dd-6bea496250cb","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 08A","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"d830146b-a2d2-55cc-a9b7-9c6702c95ea0","","holdpoint","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 08A","Pre-Fit Off Checklist","EMAIL PM"
"d69a82b8-3254-5d2e-90c5-b85769ad6651","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 08A","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"106322a6-d508-5908-8287-460d2d18d8aa","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 08A","Pre-Fit Off Checklist","Photos taken"
"9923f89f-a655-4d19-84a0-63db30ac7b97","","checklist-flat","pass","Fit Off Checklist - Line","checklist-flat","FALSE","FALSE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 08A","Fit Off Checklist - Line 08"
"7456675c-230d-5b92-9379-cc1b41ac00a5","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 08A","Fit Off Checklist - Line 08","Confirm the structure is in accordance with the details supplied by PBI"
"34d3479d-0e7c-5378-9424-e8ff0bccef26","","holdpoint","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 08A","Fit Off Checklist - Line 08","EMAIL PM"
"7b276f31-b9d9-59b2-980e-cc33b6c32869","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 08A","Fit Off Checklist - Line 08","Photo taken of line pull test and swages"
"4a47dda7-b6d3-5bf8-a99c-d0b7e572605d","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 08A","Fit Off Checklist - Line 08","Photo taken of Engraved Line Plate / ID Tag"
"246bfaa4-d290-537d-a338-6a41f4da2a56","","checkpoint-status","pass","","","TRUE","TRUE"," QA","Separable Portion 02 - New Build Works","RoofSafe Cable System - Line 08A","Fit Off Checklist - Line 08","Video taken of system"
