"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f053c89d-8907-4c34-958a-c06df2b8334e","","checklist-flat","work-in-progress","c6e66142321f04d98d9e5ad1b0964b2f6448ff942b808391f4c42596010219ea","checklist-flat","FALSE","FALSE","Eve - Project Details"
"37d30fcf-8035-5c28-a029-d9c1ca2eadea","","checkpoint-status","pass","","","TRUE","TRUE","Eve - Project Details","Project details entered below"
"07ff5dfe-7144-563b-9ff7-452e0e560277","","checkpoint-status","not-started","","","TRUE","TRUE","Eve - Project Details","Grouts submitted for approval (UPLOAD TDS and SDS for each grout submitted)"
"848975a0-b829-5dd6-a45a-bb3f80f97dc0","","checkpoint-status","not-started","","","TRUE","TRUE","Eve - Project Details","Have submitted grouts been approved? (UPLOAD copy of approval)"
"e50c413c-6da4-5329-a6d6-62a57237dbe8","","checkpoint-status","not-started","","","TRUE","TRUE","Eve - Project Details","Caulking products submitted for approval (UPLOAD TDS and SDS for each caulking product submitted)"
"9cc806fa-9091-5872-8f13-c42ce87514f0","","checkpoint-status","not-started","","","TRUE","TRUE","Eve - Project Details","Have submitted caulking products been approved? (UPLOAD copy of approval)"
"8d73931a-37e7-50b6-93f1-e20b9615261f","","checkpoint-status","not-started","","","TRUE","TRUE","Eve - Project Details","Patching products submitted for approval (UPLOAD TDS and SDS for each patching product submitted)"
"9a6d6c75-f47e-5e5c-a847-0264aef014ef","","checkpoint-status","not-started","","","TRUE","TRUE","Eve - Project Details","Have patching products been approved? (UPLOAD copy of approval)"
"f5d7d255-8963-4d55-9757-3f2ccd65355d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Manufacture QA"
"c1624075-e0c9-4c04-958a-2ea044578f89","","folder-normal","pass","","step","TRUE","FALSE","Manufacture QA","Level 1"
"075baef4-ed01-4a3d-b99b-a84ad404aa5f","","folder-normal","pass","","step","TRUE","FALSE","Manufacture QA","Level 1","Column"
"12280e7c-0fe5-4ddc-9af9-5536cc334cae","","checklist-sectioned","pass","85df41a7e4119831c689ac23206fbd401ea5a52c21e6255eec5dab80a4bf7641","checklist","FALSE","FALSE","Manufacture QA","Level 1","Column","L1-C03"
"ba51723e-6a0d-55ed-9571-d6dc7a1452be","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 1","Column","L1-C03","Manufacturing Documents"
"91e1f453-e1c2-5705-8206-d2a342bf1aa4","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C03","Concrete Pour Checks","Concrete Strength correct as per design"
"43b797e6-ac81-5213-bfd1-b23812bed800","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 1","Column","L1-C03","Post-Pour / Pre Delivery Checks"
"a01360e6-7ad8-5f61-b27d-9ee1c2d73adf","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C03","Post-Pour / Pre Delivery Checks","Visual Check"
"489d0b78-053b-5850-888b-d05ceffea83f","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C03","Post-Pour / Pre Delivery Checks","Any Strongbacks Installed where required"
"c50b0f47-50be-540b-a91f-1d4f96dfe4b5","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C03","Post-Pour / Pre Delivery Checks","Element free from defects that will impact structural integrity or durability?"
"a3722d61-c313-5ca7-93d5-b285282b3139","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C03","Post-Pour / Pre Delivery Checks","All Post Pour Works complete - Element Checked, Approved and Ready for delivery"
"2f6daeb5-418e-54a2-b9ca-98cf99051619","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 1","Column","L1-C03","Concrete Test Results"
"2e571d83-5aa3-505e-af86-5cf151f74053","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C03","Concrete Test Results","Concrete Test Result attached"
"623acc1f-8b6a-4bcb-a615-779b9f684185","","checklist-sectioned","pass","85df41a7e4119831c689ac23206fbd401ea5a52c21e6255eec5dab80a4bf7641","checklist","FALSE","FALSE","Manufacture QA","Level 1","Column","L1-C04"
"57970d67-f933-5aa4-94e6-645b76590cf0","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 1","Column","L1-C04","Manufacturing Documents"
"c8e05e84-093a-5126-a164-adb6e4ab5766","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C04","Manufacturing Documents","IFC Element Drawing"
"b43d533d-db87-5f87-bf24-b92eb48ea72b","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C04","Manufacturing Documents","Euro Precast Primary Lifting and Propping Certification"
"4a9007bc-7ca6-58dd-920f-f64392ff6552","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C04","Manufacturing Documents","Secondary Lifting Certification"
"b64f6015-b37d-5917-a9e7-fb84ace4fe73","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 1","Column","L1-C04","Pre-Pour Checks"
"7dd7a1fb-6390-5234-8133-08505ffe29ee","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C04","Pre-Pour Checks","Mould check"
"74a67a5e-8ed0-5b2d-939f-8af727d5c822","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C04","Pre-Pour Checks","Reinforcing check"
"b3e9daf7-4ede-50c5-8783-c41105285f7f","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C04","Pre-Pour Checks","Cast in items check"
"aa5b1202-7156-5cdc-bd70-ff69d30d37d1","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C04","Pre-Pour Checks","Check Minimum Cover"
"1c096b1e-22d1-5af8-aa08-2177ebbdbe73","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C04","Pre-Pour Checks","ID Tag installed in non-visible face"
"aa486c15-5e41-5f53-8316-5c6f5910981e","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C04","Pre-Pour Checks","Pre-Pour checks completed and approval given to pour Element"
"c2c37107-38fa-566f-a83f-522bbd1659a7","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C04","Pre-Pour Checks","Upload photo of signed pre-pour check of shop drawing"
"175ed10b-bcf0-55f4-846a-e81f2f02a122","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 1","Column","L1-C04","Concrete Pour Checks"
"a6f0a342-e243-5d85-9fee-bcb9b601739e","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C04","Concrete Pour Checks","Concrete Strength correct as per design"
"6e5997d1-4731-5f48-8965-bf58a069b412","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 1","Column","L1-C04","Post-Pour / Pre Delivery Checks"
"4828861b-d2ea-518b-9ee2-78975722793e","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C04","Post-Pour / Pre Delivery Checks","Visual Check"
"08035f10-b1bc-5f11-a20d-8bc82d29658a","","checkpoint-status","not-applicable","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C04","Post-Pour / Pre Delivery Checks","Any Strongbacks Installed where required"
"96497e77-1b29-5787-acab-66b03dfde2d5","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C04","Post-Pour / Pre Delivery Checks","Element free from defects that will impact structural integrity or durability?"
"f1257f7c-da83-57de-a42e-c66396d8394d","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C04","Post-Pour / Pre Delivery Checks","All Post Pour Works complete - Element Checked, Approved and Ready for delivery"
"784a679a-a782-53a1-921d-5ba0dac6dc63","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 1","Column","L1-C04","Concrete Test Results"
"9cb85071-5e87-5f2e-a4e9-285fe653bd74","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C04","Concrete Test Results","Concrete Test Result attached"
"bad4fe7f-c087-4e1d-88b3-67878e42ba67","","checklist-sectioned","pass","85df41a7e4119831c689ac23206fbd401ea5a52c21e6255eec5dab80a4bf7641","checklist","FALSE","FALSE","Manufacture QA","Level 1","Column","L1-C09"
"72e154d2-27e3-5d4e-9918-404c3750da3d","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 1","Column","L1-C09","Manufacturing Documents"
"3803ab4b-3863-5e35-bd60-1d90ed8a278d","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C09","Manufacturing Documents","IFC Element Drawing"
"65447c65-7ed1-547f-a8bf-fc1c5646182f","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C09","Manufacturing Documents","Euro Precast Primary Lifting and Propping Certification"
"29d0b124-978e-5e1e-8342-c87a5ff7a229","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C09","Manufacturing Documents","Secondary Lifting Certification"
"eae37759-9103-58f7-9990-7def8a5391a3","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 1","Column","L1-C09","Pre-Pour Checks"
"873809b9-3e88-5801-9b3b-1ada4884b0c6","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C09","Pre-Pour Checks","Mould check"
"35392d6a-592d-5b84-9694-87414cd83418","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C09","Pre-Pour Checks","Reinforcing check"
"54d21d0c-4d65-572a-98ec-6eb0cf2c64fa","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C09","Pre-Pour Checks","Cast in items check"
"cf145de2-89d7-52a4-a49e-7c922917a456","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C09","Pre-Pour Checks","Check Minimum Cover"
"79a80007-5255-59a3-9f47-9b336ce824c4","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C09","Pre-Pour Checks","ID Tag installed in non-visible face"
"de3d235c-bea0-594a-a1e1-3ceefc790809","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C09","Pre-Pour Checks","Pre-Pour checks completed and approval given to pour Element"
"29066341-e014-538b-9ca9-a0da73c1ec55","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C09","Pre-Pour Checks","Upload photo of signed pre-pour check of shop drawing"
"7bcf358d-d55e-537a-8a51-77f70f70a724","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 1","Column","L1-C09","Concrete Pour Checks"
"2217edf0-fd0a-597f-ba86-0e086b0ffaef","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C09","Concrete Pour Checks","Concrete Strength correct as per design"
"befe944b-5eb8-5827-bacd-1934732c419a","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 1","Column","L1-C09","Post-Pour / Pre Delivery Checks"
"bd18028a-692a-56ec-81c6-b2c76110e280","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C09","Post-Pour / Pre Delivery Checks","Visual Check"
"50cf60db-efcc-5410-a9c7-7dbafec2ad72","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C09","Post-Pour / Pre Delivery Checks","Any Strongbacks Installed where required"
"67c93e86-59be-5de1-9bf2-6b4ab30e0275","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C09","Post-Pour / Pre Delivery Checks","Element free from defects that will impact structural integrity or durability?"
"c72e536d-8db9-5ecf-8dae-178211806d41","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C09","Post-Pour / Pre Delivery Checks","All Post Pour Works complete - Element Checked, Approved and Ready for delivery"
"f1ab7ede-5289-5558-a088-089a9f043667","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 1","Column","L1-C09","Concrete Test Results"
"e377e407-9d8d-56ce-a6b5-0e49aa598e5d","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C09","Concrete Test Results","Concrete Test Result attached"
"68c62f4a-cf03-4e77-b3e3-2d721c1a6539","","checklist-sectioned","pass","85df41a7e4119831c689ac23206fbd401ea5a52c21e6255eec5dab80a4bf7641","checklist","FALSE","FALSE","Manufacture QA","Level 1","Column","L1-C15"
"d5a2308b-f7f3-523e-9e95-af989b034b3c","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 1","Column","L1-C15","Manufacturing Documents"
"2fe87368-6e51-5df5-b69e-7f4182e0625d","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C15","Manufacturing Documents","IFC Element Drawing"
"0045b29b-f773-51e6-b416-528a5325bc6e","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C15","Manufacturing Documents","Euro Precast Primary Lifting and Propping Certification"
"ff3b62ed-46ce-55e0-99f7-1facb9c84c82","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C15","Manufacturing Documents","Secondary Lifting Certification"
"a7bcc5ae-9f74-598c-9ce4-5453036b2991","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 1","Column","L1-C15","Pre-Pour Checks"
"1b513049-f8eb-5f63-8abf-5ca92b658c0e","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C15","Pre-Pour Checks","Mould check"
"f7341780-7655-53d8-b3e9-d2963318730f","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C15","Pre-Pour Checks","Reinforcing check"
"5ab76b74-77ac-54d3-acdf-9556fb203b55","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C15","Pre-Pour Checks","Cast in items check"
"e64d8c90-9b13-5c09-816d-472d37e864e3","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C15","Pre-Pour Checks","Check Minimum Cover"
"6a7a745d-4e7e-5be5-ba1f-3d3c4ea22b43","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C15","Pre-Pour Checks","ID Tag installed in non-visible face"
"fd5ae29b-3cb2-5562-89a6-a23cf89bcae2","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C15","Pre-Pour Checks","Pre-Pour checks completed and approval given to pour Element"
"31a5595a-e516-5a2d-b019-7e30eb2f05ed","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C15","Pre-Pour Checks","Upload photo of signed pre-pour check of shop drawing"
"473bfbd7-f9be-5d06-b24e-ecf39edb228e","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 1","Column","L1-C15","Concrete Pour Checks"
"f9fdb489-df67-5565-85ab-f7e262488ed5","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C15","Concrete Pour Checks","Concrete Strength correct as per design"
"d672263f-6cd1-54fb-89b3-cf40b128b87e","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 1","Column","L1-C15","Post-Pour / Pre Delivery Checks"
"be371e13-2d4f-5249-929e-8521729f6194","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C15","Post-Pour / Pre Delivery Checks","Visual Check"
"b0857be9-a5c5-5272-a5e9-ca7b66f5007a","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C15","Post-Pour / Pre Delivery Checks","Any Strongbacks Installed where required"
"f954e9df-8013-5c80-a8ea-e6e5f38130e2","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C15","Post-Pour / Pre Delivery Checks","Element free from defects that will impact structural integrity or durability?"
"cbff516c-cab7-598a-a611-9b3bd1264f27","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C15","Post-Pour / Pre Delivery Checks","All Post Pour Works complete - Element Checked, Approved and Ready for delivery"
"9eb02648-bf5c-5348-b536-179970e7398a","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 1","Column","L1-C15","Concrete Test Results"
"acee7694-c966-525b-9485-1f9eeb507c28","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C15","Concrete Test Results","Concrete Test Result attached"
"d30fe202-3a21-4e9f-9fcd-d3a96b9bad7c","","checklist-sectioned","pass","85df41a7e4119831c689ac23206fbd401ea5a52c21e6255eec5dab80a4bf7641","checklist","FALSE","FALSE","Manufacture QA","Level 1","Column","L1-C16"
"179aa6b3-39af-5c02-9297-84d6a271059e","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 1","Column","L1-C16","Manufacturing Documents"
"f9bd196f-8e72-5fe3-8b44-4e2836b60790","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C16","Manufacturing Documents","IFC Element Drawing"
"d20559a4-9e3b-571d-b113-98119f125647","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C16","Manufacturing Documents","Euro Precast Primary Lifting and Propping Certification"
"69d2482b-a529-58ba-9f10-3e1189c417de","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C16","Manufacturing Documents","Secondary Lifting Certification"
"5f443d7b-7589-5e66-8ad2-096e8de5ad4b","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 1","Column","L1-C16","Pre-Pour Checks"
"12690388-ef92-55a6-a52a-5589b583280c","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C16","Pre-Pour Checks","Mould check"
"dc164c64-8ca3-55cc-819f-023aca5f4d16","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C16","Pre-Pour Checks","Reinforcing check"
"6f2291ac-b644-5d47-9a0b-a15007e29686","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C16","Pre-Pour Checks","Cast in items check"
"a72c9e01-e781-548c-805e-6d1ceb1cca06","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C16","Pre-Pour Checks","Check Minimum Cover"
"211fbebc-2672-56fb-848a-db578bc204c0","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C16","Pre-Pour Checks","ID Tag installed in non-visible face"
"4b5d7c99-54cf-5b44-a9fc-c000485ce43b","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C16","Pre-Pour Checks","Pre-Pour checks completed and approval given to pour Element"
"e01c98d2-04dc-55e2-b3ac-e75f047d3a9a","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C16","Pre-Pour Checks","Upload photo of signed pre-pour check of shop drawing"
"d717c41c-8bcf-5ccb-8fd0-12b5edf5d3f4","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 1","Column","L1-C16","Concrete Pour Checks"
"7f98b5ae-7109-5bec-a48c-192f1f92c7aa","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C16","Concrete Pour Checks","Concrete Strength correct as per design"
"11ba3a3d-8e5b-54fc-903d-c0a448c90baa","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 1","Column","L1-C16","Post-Pour / Pre Delivery Checks"
"50b0e8fc-44f6-57d5-8b60-49459ccbbe7d","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C16","Post-Pour / Pre Delivery Checks","Visual Check"
"7dfc5674-c3dd-5917-b32d-3485fe712bf6","","checkpoint-status","not-applicable","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C16","Post-Pour / Pre Delivery Checks","Any Strongbacks Installed where required"
"9fa79a20-131a-54e5-a38d-c4fd060794aa","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C16","Post-Pour / Pre Delivery Checks","Element free from defects that will impact structural integrity or durability?"
"5adf7e94-2111-5887-b183-27d41062de77","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C16","Post-Pour / Pre Delivery Checks","All Post Pour Works complete - Element Checked, Approved and Ready for delivery"
"d0eb893b-f2ca-52bd-ac53-879f7154c99b","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 1","Column","L1-C16","Concrete Test Results"
"e1207592-566b-57fb-b61b-50393fbfabc4","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C16","Concrete Test Results","Concrete Test Result attached"
"51e67efa-7015-4266-b414-747f2594b361","","checklist-sectioned","pass","85df41a7e4119831c689ac23206fbd401ea5a52c21e6255eec5dab80a4bf7641","checklist","FALSE","FALSE","Manufacture QA","Level 1","Column","L1-C10"
"cca6807c-1898-543d-b6f2-30c9cd3e9913","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 1","Column","L1-C10","Manufacturing Documents"
"2c787512-04d4-5fe7-b74f-bd4c3ed67cfa","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C10","Manufacturing Documents","IFC Element Drawing"
"0837c35d-7398-5745-b4c1-e6add4c9bfa7","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C10","Manufacturing Documents","Euro Precast Primary Lifting and Propping Certification"
"617ebd90-f03f-59e8-8c7f-4adb988fdcfc","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C10","Manufacturing Documents","Secondary Lifting Certification"
"f29f872b-ded8-5a45-ae61-514b66b64335","","checkpoint-group","pass","","","FALSE","FALSE","Manufacture QA","Level 1","Column","L1-C10","Pre-Pour Checks"
"03624ce2-a321-5ce0-894c-47eee2ffd40d","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C10","Pre-Pour Checks","Mould check"
"38e4bbff-f837-5bcd-b318-12e1c278bd99","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C10","Pre-Pour Checks","Reinforcing check"
"dd3bec80-b03e-5312-b0c0-40c84b8c4c6b","","checkpoint-status","pass","","","TRUE","TRUE","Manufacture QA","Level 1","Column","L1-C10","Pre-Pour Checks","Cast in items check"
