"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ec210b9a-cafd-4682-af6d-cf70e0901c4b","","folder-normal","","","step","TRUE","FALSE","Project QA"
"aa998636-cc95-4b9a-b92d-4971ff31bec5","","checklist-sectioned","","Formwork Column Checklist","checklist","FALSE","FALSE","Project QA","Formwork Column Checklist"
"af4b0f82-65fa-4cec-9af7-cac752f0c86c","","checklist-sectioned","","Formwork Slab Checklist","checklist","FALSE","FALSE","Project QA","Formwork Slab Checklist"
"925a0835-9523-4eab-973c-4b55ab960950","","checklist-sectioned","","Add Concrete Pour (Core Wall) Checklist","checklist","FALSE","FALSE","Project QA","Concrete Pour for  Walls  Checklist"
"de282b6b-bfeb-41e1-9570-a6bde58c9cf1","","checklist-flat","","Reinforcing Checklist","checklist-flat","FALSE","FALSE","Project QA","Reinforcing Checklist"
"9257cb49-359b-4abb-a321-55299ff27511","","folder-normal","","","step","TRUE","FALSE","Health and Safety"
"0a050cdd-dab0-40f1-8e7e-4d2879a2535a","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Pre-Start"
"ee836203-8bcc-482d-af91-ea75c5816204","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Pre-Start","Sep-24"
"99d47d9b-e28b-40ad-8d6d-52440bce90aa","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Pre-Start","Oct-24"
"6ab54188-d31d-4540-b1ec-77e4f72b70cf","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Toolbox"
"61478404-57d3-4156-a6b0-9d3e03417312","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Toolbox","Jun-23"
"fab7fa0e-9353-467a-ae8c-6b36e1781f73","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Toolbox","Jul-23"
"73abf89a-484b-4499-84bf-ec8f5d8c7a17","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Toolbox","Aug-23"
"be10ed1a-ed7f-49b8-b511-e959158f0c5e","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Toolbox","Sep-23"
"5771ed1c-fae0-450a-bb61-3cef8ac8c5ed","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Toolbox","Oct-23"
"f00d4cbb-6fdc-4e0c-a41c-bbe306d24256","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Toolbox","Nov-23"
"054d9699-fdc4-4e66-9b6e-d65e6b6c675a","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Toolbox","Dec-23"
"019232d5-0eb9-41cc-bb44-6314ff1f570f","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Toolbox","Jan-24"
"beea5730-0f13-49f0-ae21-92b926a8ad57","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Toolbox","Feb-24"
"6e7b2c57-9a9b-438a-bf6a-b249e17af757","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Toolbox","Mar-24"
"d2f93c71-af10-4392-96e8-f40cae55869f","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Toolbox","Apr-24"
"73af2711-b143-450a-9b27-c6801a5f0177","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Toolbox","May-24"
"648692c6-c1b6-48ea-ac29-1a1dc55eae0f","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Toolbox","Jun-24"
"ee2e2a44-dfc2-41c4-a1a1-a33d75d17dc1","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Toolbox","Jul-24"
"4a324e24-37e8-4586-98e0-5cf270f1e822","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Toolbox","Aug-24"
"5cbfd250-20ea-40a0-af1b-b28864084bcd","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Toolbox","Sep-24"
"d71c8a56-3de3-4d6e-8cfc-6c211d27dc0a","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Toolbox","Oct-24"
"0da32420-3e98-4fe0-8f2a-e9274b0c37cd","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Site Inspection"
"b6e406bb-00e4-44dd-90e0-4c93113f04af","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Site Inspection","Jun-23"
"de7594b1-cc62-4337-b6ae-cc877f165762","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Site Inspection","Jul-23"
"d8a92536-9ece-4747-92a2-ee50eec727de","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Site Inspection","Aug-23"
"e3fb5438-db6a-4a54-bbe5-1b7afb2cbb7b","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Site Inspection","Sep-23"
"6013b3bb-dda7-4e36-9a3e-1f24e18daba3","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Site Inspection","Oct-23"
"81b8eb04-cfb8-4637-8cad-ba03187b28c0","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Site Inspection","Nov-23"
"99d473a5-a710-4059-a55a-68713801d0d5","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Site Inspection","Dec-23"
"f08882ca-08e0-46a3-a085-99d51f6d3f9b","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Site Inspection","Jan-24"
"822c80cd-79a6-4bbe-a373-596afe35a0d7","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Site Inspection","Feb-24"
"8f187a85-fa68-4762-9545-f705f30d3eac","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Site Inspection","Mar-24"
"26b4366c-84dc-4ab7-94e1-917951e004f9","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Site Inspection","Apr-24"
"d07b9fbb-89df-46d8-a9a6-064aaae16787","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Site Inspection","May-24"
"7f09b983-eac0-40c3-ad35-a804936a4f6c","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Site Inspection","Jun-24"
"13289a7c-c13a-478b-8689-45e92c801669","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Site Inspection","Jul-24"
"1cf76d80-2c03-447d-a45c-f9d50685382c","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Site Inspection","Aug-24"
"9a2b2a67-e14a-4442-9cb7-70b433c22ad1","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Site Inspection","Sep-24"
"76339d6c-9f5a-41c7-8f5c-e15dea12daa3","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Site Inspection","Oct-24"
"5915128c-ece9-4fdd-a747-b5ed61a72df7","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation"
"23c96a79-449d-492e-b9cf-210afc5bbd69","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Jun-23"
"5a874709-8d4e-4dd1-bdde-8da7bbf581af","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Jul-23"
"d4d53446-0fd6-4b89-98ed-4c0e5adcb8b0","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Aug-23"
"2056074a-f99d-4e69-a170-c7849fc643ed","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Sep-23"
"12badcee-b018-471d-a263-8b895463bb88","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Oct-23"
"5b11480d-b5a5-48c1-91e3-2f347eec12fc","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Nov-23"
"4e7e8cbc-5f35-411f-976b-5189380970e8","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Dec-23"
"abeffd65-012d-406e-80b9-f3c0c584b270","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Jan-24"
"430b0dcf-8007-4fe1-a0a5-8f5ba73dd9fa","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Feb-24"
"ef8978b6-6ec0-4699-bea2-6572505215d1","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Mar-24"
"1c5a208f-503a-4ae2-9777-94a8115b5e48","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Apr-24"
"a4204ba8-b53d-4138-b1b4-f0cbb24b0d84","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","May-24"
"92bda857-b18c-44cb-8a82-dea5f3a963c7","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Jun-24"
"32e58e36-8e26-41bd-9ac6-8de59095efe2","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Jul-24"
"eca29a5d-54f5-4188-b90e-69a6f60067ba","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Aug-24"
"b9636740-67f3-4671-8d5d-f035b67857e0","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Sep-24"
"4abb9113-1c7e-4fcf-9a90-73efdee184bd","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","Oct-24"
"427da6dc-dde3-434b-9c3e-e83f651b738d","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping"
"6fbd84e5-a31b-47bd-998b-50a37c38478e","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Jun-23"
"beba81a3-b8b5-4139-bbd4-d24e6f418395","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Jul-23"
"e58a2242-a81f-4d78-85d1-9c8d457fdef1","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Aug-23"
"cdf44187-69fe-46ed-89bd-daf55c04c75a","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Sep-23"
"36bebd3b-292b-41ea-9b76-7a2f8f6565b3","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Oct-23"
"f1c830a3-9586-4e1e-a2cd-fdf96b48533a","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Nov-23"
"99b5ed86-bbe5-46da-b2db-5eedb06bf38e","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Dec-23"
"b0aa0344-109b-40fc-9e40-1ef416ce5cc6","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Jan-24"
"441ff5e1-7ccc-4e6e-8fc3-edc08c1f06c8","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Feb-24"
"b4dac211-046a-48d7-9896-fb624315b3ce","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Mar-24"
"d2e6ce0c-9a7e-403b-a09f-c69f3487f176","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Apr-24"
"497ea3c0-f289-4e14-9423-bf78ca0bfab9","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","May-24"
"b4a506e1-7139-45d8-aec7-d6da942818d2","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Jun-24"
"fbf0bdf7-dd84-4446-b461-bcb80d08dd97","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Jul-24"
"2bec23a5-dfed-444a-89c9-03be93c52ba7","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Aug-24"
"a8ee55ca-252c-421e-a082-c49a2485f24d","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Sep-24"
"3a8b9bca-623b-4fb0-95d5-3c23d891e850","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","Oct-24"
"7b2bef13-bb3d-4bdf-af72-4149b3f4d3fd","","folder-normal","","","step","TRUE","FALSE","Health and Safety","TA/JSEA"
"6def72de-ce74-4338-8112-0c1e28540725","","folder-normal","","","step","TRUE","FALSE","Health and Safety","TA/JSEA","Jun-23"
"fd143063-7fea-45f0-8056-3ed02bcd47d3","","folder-normal","","","step","TRUE","FALSE","Health and Safety","TA/JSEA","Jul-23"
"db31244f-6dfc-40a0-baac-0796ad415937","","folder-normal","","","step","TRUE","FALSE","Health and Safety","TA/JSEA","Aug-23"
"dadf60bd-c879-4df9-b192-4d9b801370fb","","folder-normal","","","step","TRUE","FALSE","Health and Safety","TA/JSEA","Sep-23"
"b29ef79c-1d07-4fb3-9780-28d0df630439","","folder-normal","","","step","TRUE","FALSE","Health and Safety","TA/JSEA","Oct-23"
"73a65119-fd12-4560-9393-a8d90e663aca","","folder-normal","","","step","TRUE","FALSE","Health and Safety","TA/JSEA","Nov-23"
"a9c08636-e673-4080-aaac-fb341f897806","","folder-normal","","","step","TRUE","FALSE","Health and Safety","TA/JSEA","Dec-23"
"48e36ce4-e67f-44ed-80c1-5e944acd73f0","","folder-normal","","","step","TRUE","FALSE","Health and Safety","TA/JSEA","Jan-24"
"7681ba9e-a4c7-4dc0-9fc5-ef812bce00e2","","folder-normal","","","step","TRUE","FALSE","Health and Safety","TA/JSEA","Feb-24"
"5da15700-c34a-4d01-9434-004f4c7d21f9","","folder-normal","","","step","TRUE","FALSE","Health and Safety","TA/JSEA","Mar-24"
"a35e7fb0-02af-4f8c-ab4c-8d02caa5e3ce","","folder-normal","","","step","TRUE","FALSE","Health and Safety","TA/JSEA","Apr-24"
"c530dd7a-7fed-48b0-8353-81d0898b5156","","folder-normal","","","step","TRUE","FALSE","Health and Safety","TA/JSEA","May-24"
"0f298138-d112-4aea-a6a0-8f171b8b6f80","","folder-normal","","","step","TRUE","FALSE","Health and Safety","TA/JSEA","Jun-24"
"14a692ab-122d-401a-8694-fff8dc0ad502","","folder-normal","","","step","TRUE","FALSE","Health and Safety","TA/JSEA","Jul-24"
"3c049966-7f89-46f9-af99-d52590da8cb7","","folder-normal","","","step","TRUE","FALSE","Health and Safety","TA/JSEA","Aug-24"
"3500492d-8c40-4b06-8806-758f31273c00","","folder-normal","","","step","TRUE","FALSE","Health and Safety","TA/JSEA","Sep-24"
"afab1487-7831-4337-8688-1e7a813a8106","","folder-normal","","","step","TRUE","FALSE","Health and Safety","TA/JSEA","Oct-24"
"d57a3339-c20a-4fac-9a07-66e5f002b29c","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Stand Down"
"e7851f02-167e-43ec-8938-5a5b2ea9e164","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Documents"
