Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id,,,,
checkpoint-status,9a1e0b9a-aca4-4f01-944a-143c2a2b5d14,,checkpoint,Acceptance of Substrate - AS 4654 .2.2012 Section 2.5,,,,,,,,,,,
label,0689a90a-be3a-56bf-964a-5828b9b7a89e,,note,Obtain clearance for work initiation.,,,,,,,,,,,
label,5ea0e44b-396a-55e2-87a5-687fe91e1aec,,note,"Ensure a smooth substrate without protrusions, voids, or formwork distortions. The substrate should be free of honeycombing/bug holes.",,,,,,,,,,,
label,ff750f14-065f-54b3-ba6a-afed75b473d5,,note,Patching products must be fully cured as per PDS before applying the membrane.,,,,,,,,,,,
label,47630c0a-7b93-5e4f-8922-4468a5608bd5,,note,Records - Time stamped photograph,,,,,,,,,,,
checkpoint-status,47c80915-9f9d-4cfd-8030-0f37dd811de4,,checkpoint,Acceptance of Puddle Flanges - AS3740-2021 Section 4.3.1,,,,,,,,,,,
label,90e9d1a9-4ed3-5ec0-a1e9-96d7f998e44f,,note,All Puddle flanges to be recessed into substrate to finish flush ready for waterproofing.,,,,,,,,,,,
label,e21aabb7-5067-5da5-8d8b-cfaa20e6591b,,note,Records - Time stamped photograph,,,,,,,,,,,
checkpoint-status,5f1aa99e-e016-4030-aaac-d3f2962021ea,,checkpoint,Acceptance of wall - AS3740- 2021 Section 4.4.4,,,,,,,,,,,
label,365d1e96-aec5-5297-81e9-4422c8419614,,note,FC sheeting to have max 6mm gap at floor/wall junction.,,,,,,,,,,,
label,d3482fb0-2ae2-51a7-95e3-2951cc566556,,note,"Sheets to be set with manufacturers base coat, including all nails, penetrations and corners.",,,,,,,,,,,
label,dc419936-3f2e-5ce3-99b8-7f34da277acf,,note,"Mortar in block work needs to be a flush joint, smooth and level with the blocks, no blow outs of mortar.",,,,,,,,,,,
label,0352a97c-a581-5c3a-bc99-c294818ad402,,note,Records - Time stamped photograph,,,,,,,,,,,
checkpoint-status,0399a392-14a4-428b-a28f-41949a79076d,,checkpoint,Falls in Substrate- AS3740- 2021 Section 2.3,,,,,,,,,,,
label,1fea8a29-2f38-5020-87e9-99f7e671ad76,,note,Builder to confirm compliant falls; minimum 1-100 falls and 1-80 in Showers,,,,,,,,,,,
label,13c32f08-a74f-5265-84b8-f58085c1c60d,,note,Records - Site Engineer/ Foreman Confirmation,,,,,,,,,,,
checkpoint-status,a82cdb6b-c7be-493d-8fc0-2ff0e8858848,,checkpoint,Cracks in Substrate - AS2870 Table 2.10,,,,,,,,,,,
label,3e960681-1020-5701-be8d-25f962f691f8,,note,Ensure no substrate cracks greater than 1.6mm.,,,,,,,,,,,
label,71cb58a1-87af-533d-a57e-53608479fe69,,note,"Cracks of 1.6mm and over, movement structural joints, cold joints and Live cracks are to be referred to engineers for treatment methodology.",,,,,,,,,,,
label,ce588dc0-4d98-5508-b30c-7eaf9ca4a85b,,note,Records - Time stamped photograph,,,,,,,,,,,
checkpoint-group,900b28da-05bc-46c5-bab6-9b297bd13fea,,section,SUBSTRATE PREPERATION: AS 4654.2-2012,,,,,,,,,,,
checkpoint-status,f445e837-fcb7-497d-9216-d830e007caa6,,checkpoint,Substrate Preperation - Witness Point,,,,,,,,,,,
label,b04cb9fe-226f-5d0d-b458-1b40bde250cb,,note,Ensure Surface is prepared to receive primer application.,,,,,,,,,,,
label,ca184847-1990-5332-a56a-6fa9e7139d30,,note,"Clean Substrate so that it is free of mould, paint, sealers, coatings, curing agents, loose particles and other contamination or foreign matter that may interfere with the adhesion.",,,,,,,,,,,
label,ff38647f-6dd7-5507-abe8-51a9a3399dc1,,note,Achieve CSP2 and CSP3 Concrete finish.,,,,,,,,,,,
label,2ee1733e-aa3b-50c4-9bea-d05b2cd843ac,,note,"Remove all sharp edges including screws, nails and concrete/mortar projection.",,,,,,,,,,,
label,61894b03-2df3-530e-8896-cc6164393686,,note,"Steel surfaces should be treated with appropriate degreasers, then grit blasted and/or wire brushed where necessary.",,,,,,,,,,,
label,4b4c54f2-de48-5f3b-a563-90dd366d4dc7,,note,– Record by timestamped photograph.,,,,,,,,,,,
checkpoint-group,ea240798-c2ac-4810-b1b8-81d367de1e2f,,section,PRIME COAT - EACH LOCATION,,,,,,,,,,,
checkpoint-status,dd76f74b-900c-4fdf-a5c4-4c41c1a58bb0,,checkpoint,Moisture Content - Enviro Prime P2 Product TDS,,,,,,,,,,,
label,0f250987-e026-5bd0-a2ad-15f5cf9cf277,,note,"Check moisture content of substrate, not to exceed 6% (Min.1 test per 10m2).",,,,,,,,,,,
label,a766b95f-fd94-520c-8d79-870f7a6070e1,,note,Records - Time stamped photograph,,,,,,,,,,,
checkpoint-status,67239cd5-1086-4ec2-bd24-6a9247071999,,checkpoint,Weather/RH - Enviro P2 Product TDS,,,,,,,,,,,
label,533d3a3f-f10e-5bf5-82ef-8694a19a6513,,note,Apply within 5-35°C,,,,,,,,,,,
label,f5ae29ec-f927-58c6-a79f-5562566d4d72,,note,RH must be 0-85%,,,,,,,,,,,
label,c5bbf21c-f400-5ade-8f2f-c96cef995b3c,,note,Screenshot - Temperature and weather forecast,,,,,,,,,,,
select,37a97a20-13a9-5861-8fd3-cebb6193ab43,,dropdown,Inspection,"Surveillance point, Witness point",,,,,,,,,,
checkpoint-status,a7ea5e1e-00a7-45aa-ab9c-8dd64286a6bc,,checkpoint,Product Mixing - Enviro Prime P2 Product TDS,,,,,,,,,,,
label,dfc980b4-e0d2-547b-8595-ae7e23d3106d,,note,"Mix Part A (12L) and Part B (6L) seperately add Part B, liquid hardener, to the Enviro P2 Part A base.",,,,,,,,,,,
label,17fc679b-4aab-5180-8da5-9dcbb30b78e9,,note,Enviro P2 should be thoroughly mixed with a mechanical mixer at low speed with a suitable mixing paddle attached.,,,,,,,,,,,
label,3423309e-7f6a-54e0-85ae-803c6c26b4f0,,note,Mix for 3 minutes or until uniform with a mechanical mixer at low speed (less than 400 RPM) prior to application.,,,,,,,,,,,
label,92082d92-cf2b-5a4f-b381-b5af97124620,,note,Inspection,,,,,,,,,,,
checkpoint-status,881f6bf8-20b8-46d3-a9c2-cae850d35381,,checkpoint,Application - Enviro P2 Product TDS,,,,,,,,,,,
label,51006c47-b333-532d-9649-19c1e20e55f5,,note,Apply primer using a brush or roller and casting aggregate for every 5 m2 applied.,,,,,,,,,,,
label,2e224533-9241-5335-b29b-ecc752facbd0,,note,"Applications of excessive build should be avoided, and material must not be allowed to pool on the substrate surface",,,,,,,,,,,
label,2bf6f4ca-bfc3-5912-aa7b-0f6390489289,,note,Ensure Primer is dry and tack free (within 24 hours) prior to next coat.,,,,,,,,,,,
label,4f39ec26-ca9b-5b7d-94d5-9d9e45ffc32e,,note,Records - Time stamped photograph,,,,,,,,,,,
select,abccabdf-104d-5f8a-829e-7a15b7f6c297,,dropdown,Inspection,"Surveillance point, Witness point",,,,,,,,,,
checkpoint-group,7401581c-4dff-448f-94a0-d1119bdc2558,,section,BOND BREAKER,,,,,,,,,,,
checkpoint-status,c0f361f0-a8a6-44b1-aa93-5b63ff63a4f6,,checkpoint,Primer Application - Witness Point,,,,,,,,,,,
label,54d89f12-9541-50c3-8405-e9cf40b730af,,note,"Apply compatible sealant to form smooth flexible cove to all internal corners, penetrations and joints.",,,,,,,,,,,
label,f03ab21d-9b5e-5cb0-a580-38b2f91e43c4,,note,This is to be a 12mm x 12mm coved fillet as per AS3740 class III membrane requirements for internal areas and 15mm x 15mm coved fillet as per AS4654.1 class III membrane requirements for external areas.,,,,,,,,,,,
label,e0b3c35b-23f7-57c0-8ab5-f50f07d6e175,,note,Bond breaker to be tack free prior to coating.,,,,,,,,,,,
label,9dd370cf-a4e4-54b2-8179-568cdddc8286,,note,– Record thickness with a fillet gauge.,,,,,,,,,,,
label,72c59164-5099-52b9-8e05-fce243a16a45,,note,– Provide timestamped photograph.,,,,,,,,,,,
checkpoint-group,d13994a1-80c5-4d8e-bd76-145a51616c16,,section,ENVIRO HP1200 - BASE COAT,,,,,,,,,,,
checkpoint-status,9680f413-0ae4-4477-920d-b95dcbf94805,,checkpoint,Weather/RH - Witness Point,,,,,,,,,,,
label,d0541e6a-16dd-59b1-b712-00505eeb700e,,note,Apply within 5-35°C,,,,,,,,,,,
label,af4466c2-0acb-5880-8281-1f2b372761dd,,note,RH must be 0-85%,,,,,,,,,,,
label,a69a0087-3ce4-5e2b-8efb-b1fc4e88adea,,note,– Provide screenshot of weather reading.,,,,,,,,,,,
checkpoint-status,dbcd0e96-0cd6-40f5-8688-1ed847202963,,checkpoint,Product mixing - Witness Point,,,,,,,,,,,
label,abd27ba8-2a65-5776-80f8-8cd2f4c37968,,note,Mixing by way of 1:1 mix ratio (by volume) in heated plural component.,,,,,,,,,,,
checkpoint-status,96fc1eae-7c8e-4d4b-bf6c-b894118245d4,,checkpoint,HP1200 Application - Witness Point,,,,,,,,,,,
label,35cc1664-fc2b-5f1b-a0dc-50d02219c416,,note,HP1200 must be sprayed using high pressue plural component dispensing equipment - Drums of component must be pre-heated to at least 25C prior to mixing or dispensing.,,,,,,,,,,,
label,889f7743-2691-5502-b42a-2b5c54272513,,note,Mix Part B thoroughly with a mechanical power mixer before use.,,,,,,,,,,,
label,48712704-5d9a-59c1-8832-0d25f7787b54,,note,– Provide timestamped photographs.,,,,,,,,,,,
checkpoint-status,780f5b9d-e1eb-4366-abc8-bbf888d00033,,checkpoint,QA TESTING - Hold Point,,,,,,,,,,,
label,895af413-07ea-5273-a63d-b1f08b8b20d3,,note,Inspect after installation of reinforcement/finishes to check for any damage to waterproofing and rectify as required.,,,,,,,,,,,
label,20418533-4291-5471-8a6a-a58a14bd83fa,,note,Thickness testing of application to the recommended DFT of 1.5mm to manufacturers instructions.( 1 test per 10m2),,,,,,,,,,,
label,b914c62b-5f5c-5240-9593-4a48c9ab62a6,,note,– Conduct Electronic Leak Testing ( ELT) and rectify as required.,,,,,,,,,,,
label,b783ea4e-9794-50af-ba0f-14c283b329a3,,note,– Record DFT with Positector.,,,,,,,,,,,
label,ec18c61e-c9fb-510d-a992-afb30e0fc81e,,note,– Provide timestamped photograph.,,,,,,,,,,,
checkpoint-group,9dded3d4-6333-46ff-8fdd-cc5f6905ec48,,section,ENVIRO 700X COATING - PRIME COAT,,,,,,,,,,,
checkpoint-status,b1f87c63-a624-4896-b965-8d822a79c509,,checkpoint,Weather/RH,,,,,,,,,,,
label,e272cd07-7ed8-53c9-9bc0-e6a58602666a,,note,• Product to be applied at temperatures no less than 10C or no more than 35C.,,,,,,,,,,,
label,6062fd3e-6099-5457-bd38-ba8cee336ef2,,note,• RH must be between 35-85%,,,,,,,,,,,
checkpoint-status,ce2e350f-8022-4536-9084-a6454d42bcbc,,checkpoint,Product Mixing,,,,,,,,,,,
label,7028d530-188d-5ad3-995c-3e948ac7f3e4,,note,• Product should be thoroughly mixed with a mechanical mixer at low speed (less than 400 RPM) prior to application.,,,,,,,,,,,
checkpoint-status,64eec862-96e7-4374-9e3b-18beb2794503,,checkpoint,700X Application,,,,,,,,,,,
label,29ca513d-440c-58f6-acb0-2dc4396b20b0,,note,"• Enviro 700X to be applied by squeegee, roller or brush on substrate.",,,,,,,,,,,
label,ef1f25ef-3e57-53e2-84bf-f9e239a1f0fc,,note,• Allow membrane to dry for 24 Hours before proceeding to the second coat.,,,,,,,,,,,
checkpoint-group,64015720-0da8-4f87-bdda-6b3c16336f60,,section,ENVIRO 700X COATING - SECOND COAT,,,,,,,,,,,
checkpoint-status,7c4cd7de-0fcd-4a34-963e-877874b2e67f,,checkpoint,Weather/RH,,,,,,,,,,,
label,cc0486fa-ad78-5f5a-bfe2-97a34d77d1ee,,note,• Product to be applied at temperatures no less than 10C or no more than 35C.,,,,,,,,,,,
label,39e2e0c3-78c0-50a4-b74e-d9ee137ca665,,note,• RH must be between 35-85%,,,,,,,,,,,
checkpoint-status,13792664-cc5b-43a5-88f2-a3d27b9a66aa,,checkpoint,Product Mixing,,,,,,,,,,,
label,d769a037-d64c-5ffb-8ba4-e5b48d412415,,note,• Product should be thoroughly mixed with a mechanical mixer at low speed (less than 400 RPM) prior to application.,,,,,,,,,,,
checkpoint-status,183fbf47-3b57-4041-85f0-00049afd7c9a,,checkpoint,700X Application,,,,,,,,,,,
label,2d63147c-623b-5482-96c0-44bf679555d9,,note,• Enviro 700X to be applied by roller or brush to finished membrane.,,,,,,,,,,,
label,b934964b-01ce-51c9-8305-327cb32b733d,,note,• Allow each coat to sufficiently dry before proceeding to the next step.,,,,,,,,,,,
checkpoint-status,7f18881f-7942-459e-a4c2-6301a9e1e1c8,,checkpoint,QA TESTING,,,,,,,,,,,
label,45979421-f8a2-59e4-b469-710152fb3445,,note,• Inspect after installation of finishes to check for any damages to waterproofing.,,,,,,,,,,,
label,7e686aa1-4a1d-5852-9391-1fe6256d6879,,note,• Thickness testing of application to the recommended DFT of 1.5mm to manufacturers instructions.(1 test per 10m2),,,,,,,,,,,
label,c7f557e9-4605-588a-bd75-4c5c1aaac9ae,,note,• Conduct Electronic Leak Testing ( ELT) to entire area.,,,,,,,,,,,
checkpoint-group,0ee965f2-a683-49dc-ad0a-b94c1ea099bd,,section,DETAILING- EACH LOCATION,,,,,,,,,,,
checkpoint-status,4fa9a5dc-b5d8-4fa1-b17a-b78638a21637,,checkpoint,Vertical Termination Detailing - AS 4654.2,,,,,,,,,,,
label,143ba4d7-10de-5185-9cf4-4b8861b1c5c0,,note,"Ensure Vertical terminations of membrane on a building element are provided with a pressure seal, reglet or by being overcoated with a waterproof or water resistant material to protect the membrane edge.",,,,,,,,,,,
label,dcf8564a-fa18-508c-bcea-df19193fed52,,note,Records - time stamped photograph,,,,,,,,,,,
holdpoint,2f86cc76-0b48-4d62-9efd-01be64ebd569,,signoff,Subcontractor inspection sign off,,,,,,,,,,,
checkpoint-status,12c7a8a0-0f72-4e1b-a240-23c26cf3b9c2,,checkpoint,Site Engineer/foreman Detailing inspection review,,,,,,,,,,,
holdpoint,99886da4-b4b6-4019-b224-30c83915f075,,signoff,Site Engineer/foreman inspection sign off,,,,,,,,,,,
