"Rich Type","Id","Warnings","type","name","values","prefix","postfix","Usage Count","User Addable","Template Name","Template Id"
"checklist-flat",,"","checklist","Daily Site Diary","",,,1,"Yes","Daily Site Diary","1653ad51-2d85-40a2-8f04-d01bf4c2e364"
"checkpoint-status",,"","checkpoint","Foremans diary - all details inputted and complete"
"date","16f83da0-f0db-5b1d-8dc7-40033110bb4b","","date","Date",,,
"text","8d677400-36d9-539e-809c-d0f90982ce05","","textbox","Area",,,
"select","0c59eacd-d370-50d1-9386-b83368ad4f90","","dropdown","Task","Columns, Framing, Deck, Walls, Cores, Stripping, Setdown, Upstand, Footings G/Slab, Other",,
"text","200701fa-bde2-5940-b17f-8d34ec8b6904","","textbox","Comments",,,
"checkpoint-no-status","2c06a492-500b-4a30-9716-0a96031ac36e","","checkpoint","Work area 5 details entered"
"text","e9c91afa-d1da-5e72-925c-b82c7e92ede5","","textbox","Area",,,
"select","d89202c9-c8ca-55ff-a57b-ca2eb90c6378","","dropdown","Task","Columns, Framing, Deck, Walls, Cores, Stripping, Setdown, Upstand, Footings G/Slab, Other",,
"text","63bc64ff-b50b-51f5-af6d-b74f979120f4","","textbox","Comments",,,
"checkpoint-no-status","950f3492-e347-426e-875b-19215d4b019d","","checkpoint","Work area 6 details entered"
"text","7f857819-b18f-5299-a793-2d06b54b7b49","","textbox","Area",,,
"select","9089a938-f0ef-5ab6-ad5e-7c8abf836fab","","dropdown","Task","Columns, Framing, Deck, Walls, Cores, Stripping, Setdown, Upstand, Footings G/Slab, Other",,
"text","a3fa4811-714a-5cbd-997d-580d786af342","","textbox","Comments",,,
"checkpoint-no-status","6041a84f-034c-439c-b48c-2eb009b8cc4b","","checkpoint","Work area 7 details entered"
"text","257e4801-f907-5606-a795-2c4d55fb457f","","textbox","Area",,,
"select","c3e60fd7-baec-54ee-8b99-4c60e3e2b689","","dropdown","Task","Columns, Framing, Deck, Walls, Cores, Stripping, Setdown, Upstand, Footings G/Slab, Other",,
"text","01484aeb-9ddb-5b96-a864-16b6c19fbcc0","","textbox","Other",,,
"checkpoint-no-status","aaa89126-e834-4961-bf48-40f6aed600bd","","checkpoint","Work area 8 details entered"
"text","85afd92f-94a0-5690-adc6-022934fdfa91","","textbox","Area",,,
"select","30559720-c01e-5fbb-ae09-a440bd983944","","dropdown","Task","Columns, Framing, Deck, Walls, Cores, Stripping, Setdown, Upstand, Footings G/Slab, Other",,
"text","ccc3ad46-ebdd-5d0c-ae40-f6be7c0d58b0","","textbox","Comments",,,
"checkpoint-no-status","25594536-e190-451c-ae07-2817420d4aee","","checkpoint","Weather conditions entered"
"select","e7e258e0-56c8-5d27-a251-c69acd44deb8","","dropdown","Conditions:","Fine, Overcast, Showers, Rain, Windy, Hot",,
"text","0df5a587-aa2c-5cf3-a904-33429a5b4c83","","textbox","Min temp predicted",,,
"text","a7f98cba-b2d1-5e18-8733-06caf3301527","","textbox","Max temp predicted",,,
"checkpoint-no-status","e254e116-24b8-4ef3-b5e8-58d8031ff29c","","checkpoint","Delays from inclemency"
"text","19fc011b-3c65-5a18-b969-63188dcee3b9","","textbox","Total Hours of delay",,,
"select","dc5fd58f-b900-5bb4-baf5-9475083de476","","dropdown","Conditions:","Rain, Windy, Heat, Other trades,",,
"checkpoint-no-status","617fe772-871b-4c7b-ae87-0512ce954309","","checkpoint","Delays from Builders or Others"
"text","3a31ba10-66cb-55f0-b3ac-28dca9a8db6c","","textbox","Total Hours of delay",,,
"select","0df70034-ea24-5bf5-8f5e-a5746344eaca","","dropdown","Conditions:","Builder, Union, Crane, Scaffold, Steel fixer, PT, Concreter, Earthworks, Safety, Other",,

