"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1dbd9579-0627-4161-a5be-97b51dc5a434","","checklist-flat","not-started","Job Details","checklist-flat","FALSE","FALSE","Job Details"
"3efc0035-5d84-5ec0-b10e-9d57fbeb8c6e","","checkpoint-status","not-started","Job Details:d77abe71-7fa7-44a9-a0b2-beddfce10d3d","","TRUE","TRUE","Job Details","Site Info"
"513eb315-5dd1-5208-8a5d-194c8f5e4313","","checkpoint-status","not-started","Job Details:4c1b1e66-3649-48be-9932-e42626eb09fe","","TRUE","TRUE","Job Details","latest drawings (attached or referenced)"
"fc4abf63-5bc7-5a67-b35c-ed6bda22648e","","checkpoint-status","not-started","Job Details:a3bf576b-4273-4550-8452-9926f64ffab4","","TRUE","TRUE","Job Details","Scope of Works Attached"
"ade8ae17-b30f-5d50-b3c2-1c20b7478560","","checkpoint-status","not-started","Job Details:1706b349-a47c-4624-b8bb-9383712c718a","","TRUE","TRUE","Job Details","Additional Pre-Start Docs (attached or referenced)"
"8571d065-619a-4b63-bc3c-214ae1c60127","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"f6d3fdc1-e2ed-485a-b5aa-7f86e3af81c5","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rough-In"
"19505227-12f5-4e00-a5cc-522ba15497f9","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rough-In","Ground Floor"
"e3395677-8e1c-449a-9163-575f45939eb5","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rough-In","Ground Floor","GEF-G"
"73a8a49c-809f-4564-89e4-5683f1d5d2df","","checklist-flat","not-started","Duct Installation Checklist [F]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Ground Floor","GEF-G","Duct Installation Checklist [F]"
"98579f6d-79d4-5bc9-a0d5-dceef9089d94","","checkpoint-status","not-started","Duct Installation Checklist [F]:cd1c1f74-3a64-4b6b-89ed-3b527014f12d","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","GEF-G","Duct Installation Checklist [F]","Are canvas connections to equipment sealed and aligned"
"d5bac024-02b6-5ec0-99ed-96cfeab0655e","","checkpoint-status","not-started","Duct Installation Checklist [F]:56d23bc4-9987-496d-aa79-512deb68aa41","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","GEF-G","Duct Installation Checklist [F]","Is ductwork fire rating complete"
"f2679649-7844-5361-a01b-5acddf2d6c6d","","checkpoint-status","not-started","Duct Installation Checklist [F]:16ed2cac-f2b8-4b99-b4ce-afee78884daa","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","GEF-G","Duct Installation Checklist [F]","Are all spigots installed and dampers fully open"
"b7328237-36a7-59bc-bb23-490de0b46702","","checkpoint-status","not-started","Duct Installation Checklist [F]:5ef522b1-a875-44cd-be29-983ae4aa8a66","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","GEF-G","Duct Installation Checklist [F]","Are all access panels for fire damper access installed and closed"
"286ce1a1-1974-5737-99d6-66f4887eaec7","","checkpoint-status","not-started","Duct Installation Checklist [F]:439828cf-d7c9-40b4-a6a0-b6c6e15ebda8","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","GEF-G","Duct Installation Checklist [F]","Are the correct fixings used for fan installation?"
"20eca91f-c873-5de3-8413-793297f1f639","","checkpoint-status","not-started","Duct Installation Checklist [F]:072ca561-07fe-48ae-97d4-6461bacee89c","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","GEF-G","Duct Installation Checklist [F]","Is the fan secured correctly to hanging equipment?"
"c8d3c796-fe24-5ae1-ab7c-3b0dee5c5d55","","checkpoint-status","not-started","Duct Installation Checklist [F]:3ee8c006-913a-4466-adee-791400170bd8","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","GEF-G","Duct Installation Checklist [F]","Is the hanging equipment correctly installed and secured?"
"d2003b64-b4aa-5225-82b5-8b569a83ec43","","checkpoint-status","not-started","Duct Installation Checklist [F]:28bbd093-44d9-4f26-97df-eba275aafc83","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","GEF-G","Duct Installation Checklist [F]","Is the ductwork connected to the fan as specified in workshop drawings?"
"220f88a1-8710-5a97-b43c-4aebf14588e5","","checkpoint-status","not-started","Duct Installation Checklist [F]:7e06a07c-db95-492e-a9e8-90204f37f49b","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","GEF-G","Duct Installation Checklist [F]","Are the cables connected as per electrical drawings and manufacturer's specifications?"
"feed4de3-8ecd-5262-8380-ac4e50ff1689","","checkpoint-status","not-started","Duct Installation Checklist [F]:0b955b59-5f5d-4b3b-903c-9b50164ac06f","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","GEF-G","Duct Installation Checklist [F]","Is ductwork installation complete"
"d0013456-df4f-4af1-9cc6-d2b94fcdeb7e","","checklist-flat","not-started","Sign Off","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Ground Floor","GEF-G","Sign Off"
"3e08419a-2f8d-554b-900d-c2a44f9ee8a4","","checkpoint-status","not-started","Sign Off:673beb25-e7d2-4e52-bbef-752a7f3d8795","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","GEF-G","Sign Off","Sign-Off Completed as per below (Pass once complete)"
"86fd4c73-2436-5556-bf2b-342f8343fd32","","holdpoint","not-started","Sign Off:673beb25-e7d2-4e52-bbef-752a7f3d8795:3cc615b6-0f02-498b-af8e-36bdfa0b95b5","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","GEF-G","Sign Off","Request Sign-Off(s) + Click to Add Signature(s)"
"deed3d02-bcfe-4761-941c-b8213b46e192","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rough-In","Ground Floor","CPEF-G.1"
"e4954fcd-b73b-4636-8705-df125723c87b","","checklist-flat","not-started","Duct Installation Checklist [F]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Ground Floor","CPEF-G.1","Duct Installation Checklist [F]"
"af7428f3-409d-5a2f-9106-11dec88fc446","","checkpoint-status","not-started","Duct Installation Checklist [F]:5a8a725d-3ffc-43ad-a53b-def64d8103fb","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","CPEF-G.1","Duct Installation Checklist [F]","Is the installation area unobstructed?"
"ff600fee-1f17-50f0-ad72-53347a50e017","","checkpoint-status","not-started","Duct Installation Checklist [F]:c0a25846-5667-4d77-9721-5318b4621377","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","CPEF-G.1","Duct Installation Checklist [F]","Are drawings on site the latest issue"
"e0a2fbdf-e69e-5e10-b661-3cfb23c2c6dd","","checkpoint-status","not-started","Duct Installation Checklist [F]:e9ff3b9e-e10b-4167-9600-373aa000f023","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","CPEF-G.1","Duct Installation Checklist [F]","Are plant and equipment location correct"
"a8c571ec-51cb-5b47-8a84-a81775c21c60","","checkpoint-status","not-started","Duct Installation Checklist [F]:c53be47c-17b7-433e-80b5-645a4375e415","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","CPEF-G.1","Duct Installation Checklist [F]","Duct size and location correct"
"984d1117-cde4-54ff-b79f-918581c137b4","","checkpoint-status","not-started","Duct Installation Checklist [F]:a6f6c6f1-65dd-4c36-9010-42ee6bb6e31d","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","CPEF-G.1","Duct Installation Checklist [F]","Material and gauge correct"
"f15b95a3-f83d-5d6a-80e3-c0e8c0567e63","","checkpoint-status","not-started","Duct Installation Checklist [F]:4f6bf302-f39b-431e-9473-95406f6f8bc6","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","CPEF-G.1","Duct Installation Checklist [F]","Is correct support method being used - Risers are supported at each level."
"0c43a31a-a451-5ded-b289-9d609f62d817","","checkpoint-status","not-started","Duct Installation Checklist [F]:8e3368a0-68ab-415e-aeb7-71789dcc359e","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","CPEF-G.1","Duct Installation Checklist [F]","Is correct jointing method being used"
"e3e32249-73d7-5109-b7b5-3e1e517b3f25","","checkpoint-status","not-started","Duct Installation Checklist [F]:cf7367f1-2f9f-404e-8970-b105aa9ba7ce","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","CPEF-G.1","Duct Installation Checklist [F]","Are joints completed and cleated installed on flanges"
"bef95492-3a98-53db-b9e4-ec5c96498fa6","","checkpoint-status","not-started","Duct Installation Checklist [F]:b1fc48e5-237d-4035-a824-7024da8183d4","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","CPEF-G.1","Duct Installation Checklist [F]","Is correct joint sealant being used"
"ef8726e5-f41e-5a83-a070-a1050440780f","","checkpoint-status","not-started","Duct Installation Checklist [F]:c2595e3b-6c85-4411-9333-a9908e238b93","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","CPEF-G.1","Duct Installation Checklist [F]","Are fire dampers installed and break away joint complete"
"2a87363b-15f8-54c2-bc8a-bc47c15127a3","","checkpoint-status","not-started","Duct Installation Checklist [F]:cd1c1f74-3a64-4b6b-89ed-3b527014f12d","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","CPEF-G.1","Duct Installation Checklist [F]","Are canvas connections to equipment sealed and aligned"
"1656c9c6-10cd-5179-85ec-cd3611226fa4","","checkpoint-status","not-started","Duct Installation Checklist [F]:56d23bc4-9987-496d-aa79-512deb68aa41","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","CPEF-G.1","Duct Installation Checklist [F]","Is ductwork fire rating complete"
"2614abd3-631b-51a3-b19c-e4f23142d899","","checkpoint-status","not-started","Duct Installation Checklist [F]:16ed2cac-f2b8-4b99-b4ce-afee78884daa","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","CPEF-G.1","Duct Installation Checklist [F]","Are all spigots installed and dampers fully open"
"a5b467c7-21e1-57dd-9a96-0fc2c7f1dc97","","checkpoint-status","not-started","Duct Installation Checklist [F]:5ef522b1-a875-44cd-be29-983ae4aa8a66","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","CPEF-G.1","Duct Installation Checklist [F]","Are all access panels for fire damper access installed and closed"
"b473d3bb-40ac-5dab-b260-2eb0c3366432","","checkpoint-status","not-started","Duct Installation Checklist [F]:439828cf-d7c9-40b4-a6a0-b6c6e15ebda8","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","CPEF-G.1","Duct Installation Checklist [F]","Are the correct fixings used for fan installation?"
"04e0ac65-fb5c-5eb3-b762-7e0307dacbc8","","checkpoint-status","not-started","Duct Installation Checklist [F]:072ca561-07fe-48ae-97d4-6461bacee89c","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","CPEF-G.1","Duct Installation Checklist [F]","Is the fan secured correctly to hanging equipment?"
"0debca7c-46f0-5eda-873d-5c9f29194b28","","checkpoint-status","not-started","Duct Installation Checklist [F]:3ee8c006-913a-4466-adee-791400170bd8","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","CPEF-G.1","Duct Installation Checklist [F]","Is the hanging equipment correctly installed and secured?"
"faef0cb5-e388-5752-a2e9-d99bd4ff23a5","","checkpoint-status","not-started","Duct Installation Checklist [F]:28bbd093-44d9-4f26-97df-eba275aafc83","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","CPEF-G.1","Duct Installation Checklist [F]","Is the ductwork connected to the fan as specified in workshop drawings?"
"5225384c-b9c3-50d9-99ee-6c4997c3846e","","checkpoint-status","not-started","Duct Installation Checklist [F]:7e06a07c-db95-492e-a9e8-90204f37f49b","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","CPEF-G.1","Duct Installation Checklist [F]","Are the cables connected as per electrical drawings and manufacturer's specifications?"
"e516c4d7-fba3-5088-aed1-81e6fdf9f554","","checkpoint-status","not-started","Duct Installation Checklist [F]:0b955b59-5f5d-4b3b-903c-9b50164ac06f","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","CPEF-G.1","Duct Installation Checklist [F]","Is ductwork installation complete"
"5604fc3f-4917-4bc4-a82f-0ed8290b3476","","checklist-flat","not-started","Sign Off","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Ground Floor","CPEF-G.1","Sign Off"
"ce7a1e42-e350-5311-b95c-1ad51e1a33d6","","checkpoint-status","not-started","Sign Off:673beb25-e7d2-4e52-bbef-752a7f3d8795","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","CPEF-G.1","Sign Off","Sign-Off Completed as per below (Pass once complete)"
"2ac6fcfe-5b34-5986-bf25-bc042527648f","","holdpoint","not-started","Sign Off:673beb25-e7d2-4e52-bbef-752a7f3d8795:3cc615b6-0f02-498b-af8e-36bdfa0b95b5","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","CPEF-G.1","Sign Off","Request Sign-Off(s) + Click to Add Signature(s)"
"95369a20-99d5-4d1c-8572-b343451fa46b","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rough-In","Ground Floor","PRSF-G"
"344bff04-a4f0-49c7-96ee-e3f822e07ab4","","checklist-flat","not-started","Duct Installation Checklist [F]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Ground Floor","PRSF-G","Duct Installation Checklist [F]"
"6dfe07b4-d8d8-531a-af8e-9fc1419cbc09","","checkpoint-status","not-started","Duct Installation Checklist [F]:5a8a725d-3ffc-43ad-a53b-def64d8103fb","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","PRSF-G","Duct Installation Checklist [F]","Is the installation area unobstructed?"
"2c4dddac-59d8-5692-989c-2f36d058a337","","checkpoint-status","not-started","Duct Installation Checklist [F]:c0a25846-5667-4d77-9721-5318b4621377","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","PRSF-G","Duct Installation Checklist [F]","Are drawings on site the latest issue"
"2478103e-e305-5784-83e0-3dfb9c7ce8aa","","checkpoint-status","not-started","Duct Installation Checklist [F]:e9ff3b9e-e10b-4167-9600-373aa000f023","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","PRSF-G","Duct Installation Checklist [F]","Are plant and equipment location correct"
"201d96bc-1c31-50c8-9b24-a30463e81d1e","","checkpoint-status","not-started","Duct Installation Checklist [F]:c53be47c-17b7-433e-80b5-645a4375e415","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","PRSF-G","Duct Installation Checklist [F]","Duct size and location correct"
"2dfdb39c-3084-5205-b373-488eae11f888","","checkpoint-status","not-started","Duct Installation Checklist [F]:a6f6c6f1-65dd-4c36-9010-42ee6bb6e31d","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","PRSF-G","Duct Installation Checklist [F]","Material and gauge correct"
"2778b8ef-cded-560c-9561-52a70eec0c3a","","checkpoint-status","not-started","Duct Installation Checklist [F]:4f6bf302-f39b-431e-9473-95406f6f8bc6","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","PRSF-G","Duct Installation Checklist [F]","Is correct support method being used - Risers are supported at each level."
"3bf2d613-6ca4-5e0b-befe-7c6f756993bb","","checkpoint-status","not-started","Duct Installation Checklist [F]:8e3368a0-68ab-415e-aeb7-71789dcc359e","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","PRSF-G","Duct Installation Checklist [F]","Is correct jointing method being used"
"cf27d94c-4445-5297-8e79-ae95c0ea397e","","checkpoint-status","not-started","Duct Installation Checklist [F]:cf7367f1-2f9f-404e-8970-b105aa9ba7ce","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","PRSF-G","Duct Installation Checklist [F]","Are joints completed and cleated installed on flanges"
"04097bb7-773f-5663-aba2-84b2a0881121","","checkpoint-status","not-started","Duct Installation Checklist [F]:b1fc48e5-237d-4035-a824-7024da8183d4","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","PRSF-G","Duct Installation Checklist [F]","Is correct joint sealant being used"
"dc226870-55bf-5ea0-b018-d5b9314ee26c","","checkpoint-status","not-started","Duct Installation Checklist [F]:c2595e3b-6c85-4411-9333-a9908e238b93","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","PRSF-G","Duct Installation Checklist [F]","Are fire dampers installed and break away joint complete"
"010dd7a3-3723-557a-8281-7377d44341d0","","checkpoint-status","not-started","Duct Installation Checklist [F]:cd1c1f74-3a64-4b6b-89ed-3b527014f12d","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","PRSF-G","Duct Installation Checklist [F]","Are canvas connections to equipment sealed and aligned"
"18aa0912-a2b4-5f02-a190-a5be59c0c885","","checkpoint-status","not-started","Duct Installation Checklist [F]:56d23bc4-9987-496d-aa79-512deb68aa41","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","PRSF-G","Duct Installation Checklist [F]","Is ductwork fire rating complete"
"6ce66fea-d4ce-5615-ad6f-34879f28724d","","checkpoint-status","not-started","Duct Installation Checklist [F]:16ed2cac-f2b8-4b99-b4ce-afee78884daa","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","PRSF-G","Duct Installation Checklist [F]","Are all spigots installed and dampers fully open"
"fe820fa6-5d1a-576e-8f60-89acfeaa63e5","","checkpoint-status","not-started","Duct Installation Checklist [F]:5ef522b1-a875-44cd-be29-983ae4aa8a66","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","PRSF-G","Duct Installation Checklist [F]","Are all access panels for fire damper access installed and closed"
"43e610db-3cf2-5dc6-ad55-18a5d8789752","","checkpoint-status","not-started","Duct Installation Checklist [F]:439828cf-d7c9-40b4-a6a0-b6c6e15ebda8","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","PRSF-G","Duct Installation Checklist [F]","Are the correct fixings used for fan installation?"
"21076ba7-9401-5b4d-b303-ffedf4a8b5d7","","checkpoint-status","not-started","Duct Installation Checklist [F]:072ca561-07fe-48ae-97d4-6461bacee89c","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","PRSF-G","Duct Installation Checklist [F]","Is the fan secured correctly to hanging equipment?"
"4ed76bb2-3ff9-5a40-93d8-5821aecb20c4","","checkpoint-status","not-started","Duct Installation Checklist [F]:3ee8c006-913a-4466-adee-791400170bd8","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","PRSF-G","Duct Installation Checklist [F]","Is the hanging equipment correctly installed and secured?"
"55c59cb8-46f8-53cd-9bce-5ce6c340ad9c","","checkpoint-status","not-started","Duct Installation Checklist [F]:28bbd093-44d9-4f26-97df-eba275aafc83","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","PRSF-G","Duct Installation Checklist [F]","Is the ductwork connected to the fan as specified in workshop drawings?"
"4890f1fb-d6db-553b-8256-4d75ac42ca32","","checkpoint-status","not-started","Duct Installation Checklist [F]:7e06a07c-db95-492e-a9e8-90204f37f49b","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","PRSF-G","Duct Installation Checklist [F]","Are the cables connected as per electrical drawings and manufacturer's specifications?"
"bcb8d218-36a9-51ae-ab7d-e16c8874bbab","","checkpoint-status","not-started","Duct Installation Checklist [F]:0b955b59-5f5d-4b3b-903c-9b50164ac06f","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","PRSF-G","Duct Installation Checklist [F]","Is ductwork installation complete"
"ff1628e7-4ae1-40f0-af90-2108bb66518e","","checklist-flat","not-started","Sign Off","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Ground Floor","PRSF-G","Sign Off"
"e291c57a-5763-5bcb-9b57-9bedcffc5a92","","checkpoint-status","not-started","Sign Off:673beb25-e7d2-4e52-bbef-752a7f3d8795","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","PRSF-G","Sign Off","Sign-Off Completed as per below (Pass once complete)"
"90c14f58-cb2e-56d0-81b2-265fc3778d17","","holdpoint","not-started","Sign Off:673beb25-e7d2-4e52-bbef-752a7f3d8795:3cc615b6-0f02-498b-af8e-36bdfa0b95b5","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","PRSF-G","Sign Off","Request Sign-Off(s) + Click to Add Signature(s)"
"fd20b9e8-36e0-4952-910b-056ed85e757d","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rough-In","Ground Floor","PREF-G"
"d8c6db5a-3aea-4121-8ffb-af69a5b2d101","","checklist-flat","not-started","Duct Installation Checklist [F]","checklist-flat","FALSE","FALSE","Site QA","Rough-In","Ground Floor","PREF-G","Duct Installation Checklist [F]"
"1c603955-2ca2-5087-af1d-74008dc60c45","","checkpoint-status","not-started","Duct Installation Checklist [F]:5a8a725d-3ffc-43ad-a53b-def64d8103fb","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","PREF-G","Duct Installation Checklist [F]","Is the installation area unobstructed?"
"5ba99f2e-f5a6-5ae0-b3b3-f0eae4968830","","checkpoint-status","not-started","Duct Installation Checklist [F]:c0a25846-5667-4d77-9721-5318b4621377","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","PREF-G","Duct Installation Checklist [F]","Are drawings on site the latest issue"
"a1ce117a-9818-55bb-accf-cda79d1adbfa","","checkpoint-status","not-started","Duct Installation Checklist [F]:e9ff3b9e-e10b-4167-9600-373aa000f023","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","PREF-G","Duct Installation Checklist [F]","Are plant and equipment location correct"
"e65ee6f3-026b-5c0f-9075-ea47ef924c0a","","checkpoint-status","not-started","Duct Installation Checklist [F]:c53be47c-17b7-433e-80b5-645a4375e415","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","PREF-G","Duct Installation Checklist [F]","Duct size and location correct"
"1dea2e7e-d0b4-55b5-b035-58c7f0584c2a","","checkpoint-status","not-started","Duct Installation Checklist [F]:a6f6c6f1-65dd-4c36-9010-42ee6bb6e31d","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","PREF-G","Duct Installation Checklist [F]","Material and gauge correct"
"de66deaa-5c7e-5e09-8e66-0884277dca6b","","checkpoint-status","not-started","Duct Installation Checklist [F]:4f6bf302-f39b-431e-9473-95406f6f8bc6","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","PREF-G","Duct Installation Checklist [F]","Is correct support method being used - Risers are supported at each level."
"590be3fb-d452-57c8-b8b8-f73f9a716a62","","checkpoint-status","not-started","Duct Installation Checklist [F]:8e3368a0-68ab-415e-aeb7-71789dcc359e","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","PREF-G","Duct Installation Checklist [F]","Is correct jointing method being used"
"39eeedb8-dd2f-56ea-8a1f-a5bb755fddb3","","checkpoint-status","not-started","Duct Installation Checklist [F]:cf7367f1-2f9f-404e-8970-b105aa9ba7ce","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","PREF-G","Duct Installation Checklist [F]","Are joints completed and cleated installed on flanges"
"ae8c8aaf-9540-5d78-9ded-19595e4096ce","","checkpoint-status","not-started","Duct Installation Checklist [F]:b1fc48e5-237d-4035-a824-7024da8183d4","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","PREF-G","Duct Installation Checklist [F]","Is correct joint sealant being used"
"e653af14-a68e-592e-a8c5-8267dd8f32ad","","checkpoint-status","not-started","Duct Installation Checklist [F]:c2595e3b-6c85-4411-9333-a9908e238b93","","TRUE","TRUE","Site QA","Rough-In","Ground Floor","PREF-G","Duct Installation Checklist [F]","Are fire dampers installed and break away joint complete"
