Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,,,,,
,Scope,,,Health & Safety,Monthly Safety Audits 2023,,,,,,,,
,Rows,,,,,,,,,,,,
,,JAN 23,dynamic,JAN 23,Monthly Safety Audits 2023,Health & Safety,,,,,,,
,,FEB 23,dynamic,FEB 23,Monthly Safety Audits 2023,Health & Safety,,,,,,,
,,MAR 23,dynamic,MAR 23,Monthly Safety Audits 2023,Health & Safety,,,,,,,
,,APR 23,dynamic,APR 23,Monthly Safety Audits 2023,Health & Safety,,,,,,,
,,MAY 23,dynamic,MAY 23,Monthly Safety Audits 2023,Health & Safety,,,,,,,
,,JUN 23,dynamic,JUN 23,Monthly Safety Audits 2023,Health & Safety,,,,,,,
,,JUL 23,dynamic,JUL 23,Monthly Safety Audits 2023,Health & Safety,,,,,,,
,,AUG 23,dynamic,AUG 23,Monthly Safety Audits 2023,Health & Safety,,,,,,,
,,SEP 23,dynamic,SEP 23,Monthly Safety Audits 2023,Health & Safety,,,,,,,
,,OCT 23,dynamic,OCT 23,Monthly Safety Audits 2023,Health & Safety,,,,,,,
,,NOV 23,dynamic,NOV 23,Monthly Safety Audits 2023,Health & Safety,,,,,,,
,,DEC 23,dynamic,DEC 23,Monthly Safety Audits 2023,Health & Safety,,,,,,,
,Columns,,,,,,,,,,,,
,,ADMINISTRATION - Main Contractor,,ADMINISTRATION - Main Contractor,,,,,,,,,
,,ADMINISTRATION - Subcontractors,,ADMINISTRATION - Subcontractors,,,,,,,,,
,,ASBESTOS,,ASBESTOS,,,,,,,,,
,,CEMENT & CONCRETE,,CEMENT AND CONCRETE,,,,,,,,,
,,CHEMICALS,,CHEMICALS,,,,,,,,,
,,CONFINED SPACE,,CONFINED SPACE,,,,,,,,,
,,CRANES & LIFTING APPLIANCES,,CRANES & LIFTING APPLIANCES,,,,,,,,,
,,DEMOLITION,,DEMOLITION,,,,,,,,,
,,ELECTRICAL,,ELECTRICAL,,,,,,,,,
,,ELEVATED WORK PLATFORMS (EWP),,ELEVATED WORK PLATFORMS (EWP),,,,,,,,,
,,ENVIRONMENTAL ISSUES,,ENVIRONMENTAL ISSUES,,,,,,,,,
,,EQUIPMENT & MACHINERY & TOOLS,,EQUIPMENT & MACHINERY & TOOLS,,,,,,,,,
,,EXCAVATIONS & TRENCHES,,EXCAVATIONS AND TRENCHES,,,,,,,,,
,,FACILITIES,,FACILITIES,,,,,,,,,
,,FALL PREVENTION,,FALL PREVENTION,,,,,,,,,
,,FALSEWORK/FORMWORK,,FALSEWORK / FORMWORK,,,,,,,,,
,,HARNESS USE,,HARNESS USE,,,,,,,,,
,,HOUSEKEEPING,,HOUSEKEEPING,,,,,,,,,
,,LADDERS,,LADDERS,,,,,,,,,
,,MOBILE SCAFFOLD,,MOBILE SCAFFOLD,,,,,,,,,
,,NOISE,,NOISE,,,,,,,,,
,,PERSONAL PROTECTIVE EQUIPMENT (PPE),,PERSONAL PROTECTIVE EQUIPMENT (PPE),,,,,,,,,
,,POWDER-ACTUATED TOOLS,,POWDER-ACTUATED TOOLS,,,,,,,,,
,,SPECIAL SCAFFOLD,,SPECIAL SCAFFOLD,,,,,,,,,
,,STANDARD LADDERS,,STANDARD LADDERS,,,,,,,,,
,,STANDING SCAFFOLD,,STANDING SCAFFOLD,,,,,,,,,
,,STEP LADDERS,,STEP LADDERS,,,,,,,,,
,,SUN EXPOSURE,,SUN EXPOSURE,,,,,,,,,
,,SUSPENDED SCAFFOLDS (SWINGING STAGE),,SUSPENDED SCAFFOLDS (SWINGING STAGE),,,,,,,,,
,,TRAFFIC MANAGEMENT,,TRAFFIC MANAGEMENT,,,,,,,,,
,,TRANSPORT & MOB MECHANICAL PLANT,,TRANSPORT & MOB MECHANICAL PLANT,,,,,,,,,
,,WELDING & GAS CUTTING,,WELDING AND GAS CUTTING,,,,,,,,,
,,,,,,,,,,,,,
Health & Safety - Weekly Safety Audit 2024,,,,,,,,,,,,,
,Scope,,,Health & Safety,Weekly Safety Audits 2024,,,,,,,,
,Rows,,,,,,,,,,,,
,,JAN 24,dynamic,JAN 24,Weekly Safety Audits 2024,Health & Safety,,,,,,,
,,FEB 24,dynamic,FEB 24,Weekly Safety Audits 2024,Health & Safety,,,,,,,
,,MAR 24,dynamic,MAR 24,Weekly Safety Audits 2024,Health & Safety,,,,,,,
,,APR 24,dynamic,APR 24,Weekly Safety Audits 2024,Health & Safety,,,,,,,
,,MAY 24,dynamic,MAY 24,Weekly Safety Audits 2024,Health & Safety,,,,,,,
,,JUN 24,dynamic,JUN 24,Weekly Safety Audits 2024,Health & Safety,,,,,,,
,,JUL 24,dynamic,JUL 24,Weekly Safety Audits 2024,Health & Safety,,,,,,,
,,AUG 24,dynamic,AUG 24,Weekly Safety Audits 2024,Health & Safety,,,,,,,
,,SEP 24,dynamic,SEP 24,Weekly Safety Audits 2024,Health & Safety,,,,,,,
,,OCT 24,dynamic,OCT 24,Weekly Safety Audits 2024,Health & Safety,,,,,,,
,,NOV 24,dynamic,NOV 24,Weekly Safety Audits 2024,Health & Safety,,,,,,,
,,DEC 24,dynamic,DEC 24,Weekly Safety Audits 2024,Health & Safety,,,,,,,
,Columns,,,,,,,,,,,,
,,DOCUMENTATION CHECKS,,Documentation Checks,,,,,,,,,
,,SITE CONTROL,,Site Control,,,,,,,,,
,,SITE FACILITIES,,Site Facilities,,,,,,,,,
,,GENERAL SITE TIDINESS & ACCESSWAYS,,General Site Tidiness and Accessways,,,,,,,,,
,,PERSONAL SAFETY EQUIPMENT,,Personal Safety Equipment,,,,,,,,,
,,FIRST AID/FIRE PREVENTION,,First Aid/Fire Prevention,,,,,,,,,
,,CRANES/HOIST/LIFTING EQUIPMENT,,Cranes/Hoist/Lifting Equipment,,,,,,,,,
,,COMPRESSED AIR EQUIPMENT,,Compressed Air Equipment,,,,,,,,,
,,EXCAVATIONS,,Excavations,,,,,,,,,
,,WELDING/GAS CUTTING,,Welding/Gas Cutting,,,,,,,,,
,,ELECTRICAL EQUIPMENT,,Electrical Equipment,,,,,,,,,
,,CHEMICALS,,Chemicals,,,,,,,,,
,,TOOLS,,Tools,,,,,,,,,
,,SCAFFOLDING,,Scaffolding,,,,,,,,,
,,LADDERS,,Ladders,,,,,,,,,
,,FALL HAZARDS,,Fall Hazards,,,,,,,,,
,,ENVIRONMENTAL ISSUES,,ENVIRONMENTAL ISSUES,,,,,,,,,
,,,,,,,,,,,,,
Health & Safety - Monthly Safety Audit 2024,,,,,,,,,,,,,
,Scope,,,Health & Safety,Monthly Safety Audits 2024,,,,,,,,
,Rows,,,,,,,,,,,,
,,JAN 24,dynamic,JAN 24,Monthly Safety Audits 2024,Health & Safety,,,,,,,
,,FEB 24,dynamic,FEB 24,Monthly Safety Audits 2024,Health & Safety,,,,,,,
,,MAR 24,dynamic,MAR 24,Monthly Safety Audits 2024,Health & Safety,,,,,,,
,,APR 24,dynamic,APR 24,Monthly Safety Audits 2024,Health & Safety,,,,,,,
,,MAY 24,dynamic,MAY 24,Monthly Safety Audits 2024,Health & Safety,,,,,,,
,,JUN 24,dynamic,JUN 24,Monthly Safety Audits 2024,Health & Safety,,,,,,,
,,JUL 24,dynamic,JUL 24,Monthly Safety Audits 2024,Health & Safety,,,,,,,
,,AUG 24,dynamic,AUG 24,Monthly Safety Audits 2024,Health & Safety,,,,,,,
,,SEP 24,dynamic,SEP 24,Monthly Safety Audits 2024,Health & Safety,,,,,,,
,,OCT 24,dynamic,OCT 24,Monthly Safety Audits 2024,Health & Safety,,,,,,,
,,NOV 24,dynamic,NOV 24,Monthly Safety Audits 2024,Health & Safety,,,,,,,
,,DEC 24,dynamic,DEC 24,Monthly Safety Audits 2024,Health & Safety,,,,,,,
,Columns,,,,,,,,,,,,
,,ADMINISTRATION - Main Contractor,,ADMINISTRATION - Main Contractor,,,,,,,,,
,,ADMINISTRATION - Subcontractors,,ADMINISTRATION - Subcontractors,,,,,,,,,
,,ASBESTOS,,ASBESTOS,,,,,,,,,
,,CEMENT & CONCRETE,,CEMENT AND CONCRETE,,,,,,,,,
,,CHEMICALS,,CHEMICALS,,,,,,,,,
,,CONFINED SPACE,,CONFINED SPACE,,,,,,,,,
,,CRANES & LIFTING APPLIANCES,,CRANES & LIFTING APPLIANCES,,,,,,,,,
,,DEMOLITION,,DEMOLITION,,,,,,,,,
,,ELECTRICAL,,ELECTRICAL,,,,,,,,,
,,ELEVATED WORK PLATFORMS (EWP),,ELEVATED WORK PLATFORMS (EWP),,,,,,,,,
,,ENVIRONMENTAL ISSUES,,ENVIRONMENTAL ISSUES,,,,,,,,,
,,EQUIPMENT & MACHINERY & TOOLS,,EQUIPMENT & MACHINERY & TOOLS,,,,,,,,,
,,EXCAVATIONS & TRENCHES,,EXCAVATIONS AND TRENCHES,,,,,,,,,
,,FACILITIES,,FACILITIES,,,,,,,,,
,,FALL PREVENTION,,FALL PREVENTION,,,,,,,,,
,,FALSEWORK/FORMWORK,,FALSEWORK / FORMWORK,,,,,,,,,
,,HARNESS USE,,HARNESS USE,,,,,,,,,
,,HOUSEKEEPING,,HOUSEKEEPING,,,,,,,,,
,,LADDERS,,LADDERS,,,,,,,,,
,,MOBILE SCAFFOLD,,MOBILE SCAFFOLD,,,,,,,,,
,,NOISE,,NOISE,,,,,,,,,
,,PERSONAL PROTECTIVE EQUIPMENT (PPE),,PERSONAL PROTECTIVE EQUIPMENT (PPE),,,,,,,,,
,,POWDER-ACTUATED TOOLS,,POWDER-ACTUATED TOOLS,,,,,,,,,
,,SPECIAL SCAFFOLD,,SPECIAL SCAFFOLD,,,,,,,,,
,,STANDARD LADDERS,,STANDARD LADDERS,,,,,,,,,
,,STANDING SCAFFOLD,,STANDING SCAFFOLD,,,,,,,,,
,,STEP LADDERS,,STEP LADDERS,,,,,,,,,
,,SUN EXPOSURE,,SUN EXPOSURE,,,,,,,,,
,,SUSPENDED SCAFFOLDS (SWINGING STAGE),,SUSPENDED SCAFFOLDS (SWINGING STAGE),,,,,,,,,
,,TRAFFIC MANAGEMENT,,TRAFFIC MANAGEMENT,,,,,,,,,
,,TRANSPORT & MOB MECHANICAL PLANT,,TRANSPORT & MOB MECHANICAL PLANT,,,,,,,,,
,,WELDING & GAS CUTTING,,WELDING AND GAS CUTTING,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
