"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d5cc41d5-36da-4f85-9bc6-488a6a1f7415","","folder-normal","work-in-progress","","step","FALSE","FALSE","MCB Plumbing QA"
"f1ad5bca-e707-4182-b2b5-5158cd3ec63c","","folder-normal","work-in-progress","","step","TRUE","FALSE","MCB Plumbing QA","Building B01A"
"8f7e41aa-2c29-57fa-b457-a58b27785b61","","checklist-sectioned","pass","Sewer & Stormwater","checklist","FALSE","FALSE","MCB Plumbing QA","Building B01A","Sewer & Stormwater"
"c644802b-d1f0-495d-b0f5-20f04fa5a60b","","folder-normal","work-in-progress","","step","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix"
"55d089da-a0f9-4c5e-8841-74b3ddbc50bb","","folder-normal","pass","","step","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 0"
"9860a8fe-9b5a-4183-9065-4d8e8ce5d260","","folder-normal","pass","","step","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 0","Common Areas"
"1ef2bc98-4be2-4b14-b750-65378ea09883","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 1","Common Areas","Entry"
"30348dda-62b4-4cd8-a852-f63659aefe24","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 1","Common Areas","Foyer/Reception"
"a0b84ca5-0804-4bf4-a503-928e02de1e8a","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 1","Common Areas","Kitchen"
"a0ab0184-7c8b-4ae6-a5c3-780dca17b88f","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 1","Common Areas","Laundry"
"0be268ba-1443-4f30-a14d-dda61a42558d","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 1","Common Areas","Library"
"b8ade863-76a1-45c0-8748-36f3fd24278b","","checklist-sectioned","not-applicable","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 1","Common Areas","Lobby Lift 03"
"a2298b25-2169-4640-bc7d-33180e2de4c7","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 1","Common Areas","Lobby Visitors Area"
"70151202-9430-435c-b50e-b64fdfb56224","","checklist-sectioned","not-applicable","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 1","Common Areas","Lounge"
"b10b70d6-386a-4336-8d8d-ab6d199d6d9d","","checklist-sectioned","not-applicable","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 1","Common Areas","Medical store"
"29630737-3db8-4a89-9568-0280f01e3b16","","checklist-sectioned","not-applicable","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 1","Common Areas","MSB"
"a959bd6a-4245-4ff2-9864-1ccfbe809cfc","","checklist-sectioned","not-applicable","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 1","Common Areas","Nurse station"
"d778d847-fc5e-4988-a708-be82fc957ca4","","checklist-sectioned","not-applicable","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 1","Common Areas","Offices"
"2989aeac-8d6f-4196-890a-27eae1fce9de","","checklist-sectioned","not-applicable","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 1","Common Areas","PABX"
"6903985d-c8ea-49d0-9493-3b64d280161d","","checklist-sectioned","not-applicable","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 1","Common Areas","Reflection Room"
"f4b1bc92-733c-4ab0-95b3-c48ec416d631","","checklist-sectioned","not-applicable","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 1","Common Areas","Sales Manager Office"
"0b93bbcd-ef07-4c82-b7ab-b7deb56f3bcf","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 1","Common Areas","Salon"
"2d343a0a-d685-4fdd-93dd-8684d2e74508","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 1","Common Areas","Servery"
"92fa6ebe-c5a3-4c9e-a953-9719c5f92370","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 1","Common Areas","Staff Bathroom"
"79ade67d-c0ce-4f3a-9ae5-5353fd7f4446","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 1","Common Areas","Staffroom"
"0079ee35-8ada-4dea-b5c9-161dae3e84e6","","checklist-sectioned","not-applicable","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 1","Common Areas","Store"
"e0a71e93-95fd-457d-984f-87511245acbc","","checklist-sectioned","not-applicable","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 1","Common Areas","Theatre"
"09af0c8a-67e7-45b0-8614-c911894f1126","","checklist-sectioned","not-applicable","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 1","Common Areas","Visitors Area"
"9a6e11da-62a1-42d0-96ae-57380a81c416","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 1","Corridors"
"2182529a-4aa3-409c-a7a4-836cab3bbd2d","","folder-normal","work-in-progress","","step","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2"
"4fdaeb2a-6bc1-4a8f-a745-93651c0d7e21","","folder-normal","work-in-progress","","step","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Common Areas"
"b319c7a0-62eb-4ff1-afbc-00926aa5df08","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Common Areas","Bathroom Grid 06 - A11"
"1de053ef-be8f-4638-80d8-22294cc2c7cd","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Common Areas","Bathroom Grid 09 - A05"
"1e13b350-20eb-4ff4-b53f-d64ec927c8d1","","checklist-sectioned","not-started","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Common Areas","Dementia Dining 01"
"95fd0bd0-0293-4b21-b827-e504bc4efa60","","checklist-sectioned","not-started","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Common Areas","Dementia Dining 02"
"14ede221-6915-4424-b242-09db93bba0c8","","checklist-sectioned","not-started","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Common Areas","Dementia Dining 03"
"193ce433-dc47-44a7-aece-ef18ab1b88d8","","checklist-sectioned","not-started","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Common Areas","Dementia Dining 04"
"afb88459-238e-4138-8652-45ad649689d7","","checklist-sectioned","not-started","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Common Areas","Dementia Lounge 01"
"a1d7fc57-dbd6-4c8b-bb36-4c1f5fe9e5f6","","checklist-sectioned","not-started","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Common Areas","Dementia Lounge 02"
"d591621a-40f3-465f-bcfd-7ef698ae1b97","","checklist-sectioned","not-started","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Common Areas","Lobby - Lift 02"
"b5f2c5c4-c9f4-40bd-aca2-317ba03df1c9","","checklist-sectioned","not-started","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Common Areas","Lobby - Lift 03"
"b1c157f5-bfbc-462b-9d27-d21131645fbf","","checklist-sectioned","not-started","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Common Areas","Nurse Station"
"b11175c4-a200-445c-9789-322a379414d2","","checklist-sectioned","not-applicable","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Common Areas","Quiet room - Lounge 01"
"cdc9a74b-636d-4856-bab3-44edab488d23","","checklist-sectioned","not-applicable","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Common Areas","Quiet room - Lounge 02"
"4e3c5e1d-ac62-4b66-84e4-cd2d9f3e0604","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Common Areas","Servery Grid 06 - A05"
"cf597b5e-90e1-4f4a-8dd3-0eb49a6a3322","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Common Areas","Servery Grid 06 - A11"
"3472308b-48d6-414c-93c4-5b5cca086179","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Common Areas","Sluice Grid 09 - A05"
"d66ee9e5-7c0c-4fe3-a890-9a0f0f36a617","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Common Areas","Sluice Grid 10 - A11"
"a5134cab-f2c1-4df7-8993-52bd66a6c98b","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Common Areas","Staff bathroom"
"6b210124-2e35-46ab-a7a1-516db2671ec2","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Common Areas","Treatment Room"
"00fce867-a987-4a69-a088-fd26c3c20ef2","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Corridors"
"0f19f506-7c9b-4aec-89a7-a74cfeb3abf4","","folder-normal","pass","","step","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Bedrooms"
"0def2408-812a-4a64-8fd6-7413da25372d","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Bedrooms","Bed 201"
"4aa8520e-612d-477d-bc46-af785ded5ff8","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Bedrooms","Bed 202"
"bc7eec69-a15b-49d5-954d-cff9d1d93515","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Bedrooms","Bed 203"
"cebd4c22-f011-4b44-b867-472171ed7528","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Bedrooms","Bed 204"
"66114113-3889-4405-84e7-c2ebd93b4c55","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Bedrooms","Bed 205"
"51621cc1-f42d-464a-987e-7eaa62b273ba","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Bedrooms","Bed 206"
"087039b4-82d5-4010-ae48-e0ba400dc84e","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Bedrooms","Bed 207"
"b056a28d-bad5-424f-a818-bd863aabe8dd","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Bedrooms","Bed 208"
"006a6add-5e3d-45da-981f-6f4e93125fba","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Bedrooms","Bed 209"
"851e8950-45fe-41a5-82fc-4970c2e020d1","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Bedrooms","Bed 210"
"3ec794d5-6df7-408a-8c14-f7394f2d4d08","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Bedrooms","Bed 211"
"f101057d-0e84-4803-bb49-e6fc9e24f9e7","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Bedrooms","Bed 212"
"30dcf17e-65fa-460e-866f-b11dbf258ee0","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Bedrooms","Bed 213"
"14f6bf70-1ad7-465d-8eb4-53a8330a1f51","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Bedrooms","Bed 214"
"09a0769c-61d6-4916-9438-8e6fa41db1b0","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Bedrooms","Bed 215"
"984c5256-639d-4bb6-be26-24c813839ef5","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Bedrooms","Bed 216"
"ed761feb-f4b2-4c80-a3b6-8c007f8f5967","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Bedrooms","Bed 217"
"aa22908e-f8d5-4ca4-8ffe-b703ea2952f8","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Bedrooms","Bed 218"
"96c7abdf-4128-42b7-958d-079b1b6e5866","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Bedrooms","Bed 219"
"ae8dc95b-2be0-447b-b2c5-db8cdb3fc27e","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Bedrooms","Bed 220"
"c969aad3-b416-4692-8b18-f66080986bac","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Bedrooms","Bed 221"
"777d5d90-82c1-4865-ab9b-f1da2927ef4b","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Bedrooms","Bed 222"
"f867697c-3924-42d5-95f9-9c592e64722f","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Bedrooms","Bed 223"
"d8badbd3-bac1-4cfa-80d1-2c71ca1494e9","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Bedrooms","Bed 224"
"cca00615-c798-4045-9348-cf4bb2881333","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Bedrooms","Bed 225"
"5436a7df-319e-43bd-b1f2-08d4c9521c74","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Bedrooms","Bed 226"
"93975099-98de-4cfd-ba75-464925842681","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Bedrooms","Bed 227"
"d5275dc2-125e-488f-b323-ecd7ac120a33","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Bedrooms","Bed 228"
"9293ec46-344d-4aff-9f25-fafa931717ce","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Bedrooms","Bed 229"
"c1b49a09-3e9c-4ffb-b9fb-d267c7b8eae3","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Bedrooms","Bed 230"
"64c646a7-4b37-4fac-9896-589b722f8f1e","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Bedrooms","Bed 231"
"f23319aa-bab6-470b-b992-c33592ad8ad5","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Bedrooms","Bed 232"
"8011246a-a8f2-4afd-a0c2-a376f39a8fde","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Bedrooms","Bed 233"
"6e85fca7-15d9-4dd4-a1d4-20ff746b5249","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Bedrooms","Bed 234"
"7be8e982-1aa6-4c3f-949d-d5808c1d4c3e","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Bedrooms","Bed 235"
"eba00823-a4d0-41d7-90e6-12fa6914ddaf","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 2","Bedrooms","Bed 236"
"d614c0f8-6d47-4d2a-8b7d-7122331b38a3","","folder-normal","work-in-progress","","step","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 3"
"5c066fe8-3ad3-44b2-bf7a-404fe9beb3ac","","folder-normal","work-in-progress","","step","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 3","Common Areas"
"dd234b49-b4ff-47db-a244-4830c14a3052","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 3","Common Areas","Bathroom 06 - A05"
"430f90da-efe6-4ccf-9447-895c3095f0ec","","checklist-sectioned","not-started","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 3","Common Areas","Care Hub"
"39478b2f-93fe-4264-827d-cdb098594a2a","","checklist-sectioned","not-started","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 3","Common Areas","Hoist Grid 06-A05"
"2f3cdb51-b7ec-48d1-8ea6-68e268a41c1a","","checklist-sectioned","not-started","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 3","Common Areas","Hoist Grid 06-A11"
"f770bc58-2722-4d72-ad93-6c1abbb31797","","checklist-sectioned","not-started","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 3","Common Areas","Lounge"
"5b755825-1990-4a8b-ad17-2bd4df318674","","checklist-sectioned","not-started","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 3","Common Areas","Meeting Room"
"0a2c01c3-b1c9-49c4-b592-f48011947590","","checklist-sectioned","not-started","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 3","Common Areas","Nurse Station"
"6f69fa3d-ed09-4b73-85f7-84fdd66c5cb4","","checklist-sectioned","not-started","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 3","Common Areas","Pabx"
"7b5ab4f1-a834-49ed-aa3c-3355bafe7b2e","","checklist-sectioned","not-started","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 3","Common Areas","Second Lounge"
"fe884ac4-1699-47fa-9ad7-920fa9b5b81d","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 3","Common Areas","Servery"
"40759fde-a25d-4c97-a39b-9c39ff33b55a","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 3","Common Areas","Sluice Grid 09-A05"
"cc0d9723-c0ba-41ad-8db0-c8871a821c23","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 3","Common Areas","Sluice Grid 10-A11"
"24b16f76-ad09-435b-9cdc-db9b199638b4","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 3","Common Areas","Staff bathroom"
"9d2e1122-c4ef-4c38-b8d6-c252fe57c48f","","checklist-sectioned","not-started","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 3","Common Areas","SUB"
"7f540441-09c1-4bce-9a30-a0937cf984cf","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 3","Common Areas","Treatment Room"
"505ca36c-f228-4880-b4a5-1965f49fabe7","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 3","Corridors"
"b887b8df-ed73-4770-b813-fa5bbab925a2","","folder-normal","pass","","step","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 3","Bedrooms"
"24e007dc-aca1-4428-9c43-99b10334d5b9","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 3","Bedrooms","Bed 301"
"e4e9bdfb-3fb5-4dc1-a3d2-f4ffe44a623d","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 3","Bedrooms","Bed 302"
"89fcd01b-db4c-4fe0-8f65-34078954875c","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 3","Bedrooms","Bed 303"
"5af72c80-a08b-4228-bd39-f4d83d95e9c6","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 3","Bedrooms","Bed 304"
"90a199af-3452-4015-85a8-7efa12021999","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 3","Bedrooms","Bed 305"
"d318c96f-002c-4e35-81bf-37cd9212e322","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 3","Bedrooms","Bed 306"
"e71089b7-7b04-41f8-b070-1b9f24108462","","checklist-sectioned","pass","Plumbing 1st Fix QA","checklist","TRUE","FALSE","MCB Plumbing QA","Building B01A","First Fix","Level 3","Bedrooms","Bed 307"
