Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,3.3 - Timber Formwork,,,,,,,,,,,,,,,,,,,,,,
label,,,note,"Inspection Point: Quality Control Activity - Installation of stair nosing rebates, correct step heights and widths",,,,,,,,,,,,,,,,,,,,,,
label,,,note,Acceptance Criteria - Formwork confirmed with drawings ,,,,,,,,,,,,,,,,,,,,,,
label,,,note,Verifying Document - Visual Inspection,,,,,,,,,,,,,,,,,,,,,,
label,,,note,Key - W,,,,,,,,,,,,,,,,,,,,,,
label,,,note,By - IP,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,3.4 - Steel Reinforcement,,,,,,,,,,,,,,,,,,,,,,
label,e0bcc0c3-70d9-5e7a-8919-99dc74b60abc,,note,Inspection Point: Quality Control Activity - Installation of steel mesh and or steel bar reinforcement as per drawings,,,,,,,,,,,,,,,,,,,,,,
label,52bee4cf-9c0f-5ef5-a7f8-6eb53a7261d5,,note,Acceptance Criteria - Reinforcement installed as required,,,,,,,,,,,,,,,,,,,,,,
label,33dadfc9-3477-57fd-b50d-a716bf01932a,,note,Verifying Document - Visual Inspection,,,,,,,,,,,,,,,,,,,,,,
label,e0a16390-c5b1-5731-9355-18c510a161c4,,note,Key - H,,,,,,,,,,,,,,,,,,,,,,
label,b9be93bd-86ce-5f87-8474-b3bfb2862a7b,,note,By - IP,,,,,,,,,,,,,,,,,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,3.5 - Concrete Pour,,,,,,,,,,,,,,,,,,,,,,
label,e5258f0f-3723-5c70-92c7-fee0ceac33fb,,note,Inspection Point: Quality Control Activity - Concrete is poured to required levels and strength,,,,,,,,,,,,,,,,,,,,,,
label,70bcf5f8-f0dc-59a5-9d3b-8becb6499027,,note,Acceptance Criteria - Strength and finish requirement met,,,,,,,,,,,,,,,,,,,,,,
label,91d8b227-6275-592d-91dd-4c7380f3dbc6,,note,Verifying Document - Visual inspection only Strength Test,,,,,,,,,,,,,,,,,,,,,,
label,3d9b9e27-f95a-5b00-a1da-f9508a9fbf1b,,note,Key - I,,,,,,,,,,,,,,,,,,,,,,
label,62d51751-c949-5a8b-98ed-f9f81af7a1e3,,note,By - IP,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,3.6 - Stair edging or surface treatments,,,,,,,,,,,,,,,,,,,,,,
label,feac593f-a6f5-57ad-9e27-ed916a9492b0,,note,"Inspection Point: Quality Control Activity - Stair treatments installed as required. (stair nosing’s, edge treatments, etc.)",,,,,,,,,,,,,,,,,,,,,,
label,75907d04-2d9c-57f8-ac34-7e9959b9822c,,note,Acceptance Criteria - As per drawings,,,,,,,,,,,,,,,,,,,,,,
label,21bc4fe6-af45-50ca-b9fa-2c9c83d5535c,,note,Verifying Document - Visual inspection,,,,,,,,,,,,,,,,,,,,,,
label,96f6a9ea-55ac-5c53-8a32-5fd8dd66a17e,,note,Key - I,,,,,,,,,,,,,,,,,,,,,,
label,9da86c9e-e56c-5f59-ae21-4311034b58ea,,note,By - IP,,,,,,,,,,,,,,,,,,,,,,
checkpoint-group,,,section,SECTION 5 – FINAL INSPECTION AND HANDOVER,,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,5.1 - Completions,,,,,,,,,,,,,,,,,,,,,,
label,1e9cddd2-1604-53aa-bc3b-b27859584b02,,note,Inspection Point: Quality Control Activity - Inspection of works,,,,,,,,,,,,,,,,,,,,,,
label,0f1f5715-2e27-5cf1-9874-7a0546c3f792,,note,Acceptance Criteria - Works completed to the client requirements,,,,,,,,,,,,,,,,,,,,,,
label,1f09bb61-fc3c-5344-b417-c04801fa52c7,,note,Verifying Document - This document,,,,,,,,,,,,,,,,,,,,,,
label,8060618f-21ce-5041-8913-7ec3d4cb3ccb,,note,Key - H,,,,,,,,,,,,,,,,,,,,,,
label,67c5fafd-a153-5e4f-a596-de0dde2cb158,,note,By - PE,,,,,,,,,,,,,,,,,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,,
checkpoint-group,,,section,SECTION 6 – COMMENTS,,,,,,,,,,,,,,,,,,,,,,
checkpoint-no-status,,,checkpoint,Comments,,,,,,,,,,,,,,,,,,,,,,
