"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"fc8496ab-f697-4152-9a57-021dc0eee64b","","folder-normal","work-in-progress","","step","TRUE","FALSE","Ground Floor"
"a80570df-f7ab-4f03-92d3-89d961cb3328","","folder-normal","work-in-progress","","step","TRUE","FALSE","Ground Floor","Internal rooms"
"2cdd393e-27dc-406d-912a-a99622126c0f","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 1","Internal Rooms","1.07 GNB"
"414c28cc-724b-4d44-97ee-e1887b461042","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 1","Internal Rooms","1.08 Male"
"c47f0a7e-ba8e-41d9-9e00-a07cd4663c17","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 1","Internal Rooms","1.09 DM"
"32c81886-0a51-4637-bccd-dfb552a71088","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 1","Internal Rooms","1.10 Assess"
"683c1900-234e-4dcb-9801-10c024cc571c","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 1","Internal Rooms","1.11 MSB Room"
"fdb3c640-fe72-4f6d-a124-bff4bd3283fb","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 1","Internal Rooms","1.12 FHR"
"55aeb7c1-001b-4b99-866c-8d04e613e607","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 1","Internal Rooms","1.13 DB Room"
"a05d2928-7d5c-4850-9f47-c8b8a478675b","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 1","Internal Rooms","1.14 Comms"
"01f2c0d5-88c3-4c9f-aa12-ce3b1cabe5d4","","folder-normal","not-started","","step","TRUE","FALSE","Level 2"
"902298b5-d75c-4fbf-847b-bb802f004f30","","folder-normal","not-started","","step","TRUE","FALSE","Level 2","Internal Rooms"
"ae5e7d20-4e62-485a-9e35-ac0c32a4b428","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 2","Internal Rooms","2.01 Lift Lobby"
"bc941efc-02f4-4852-b993-09524552fe35","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 2","Internal Rooms","2.02 Circulation"
"70f0d810-94b9-4b4d-85e1-71a1017d5ae4","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 2","Internal Rooms","2.03 DDA Changeroom"
"84be79e6-56e4-4067-9aee-13dcf3a98820","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 2","Internal Rooms","2.04 Parents Room"
"a4647fe2-5342-4e6a-989a-832d625b2d7a","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 2","Internal Rooms","2.05 Change 01"
"8ad3eca6-d36f-48e8-ae08-27d503ffe0b3","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 2","Internal Rooms","2.06 Change 02"
"cf9e892b-2edd-4700-bad6-a483f7959440","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 2","Internal Rooms","2.07 Court 2"
"6b9a6235-a4f6-41e7-8053-a6c6aa840402","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 2","Internal Rooms","2.08"
"f9f75e42-90f6-4195-a940-9ebc31d57d84","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 2","Internal Rooms","2.09"
"c99a5d94-b258-487c-8421-95334e23c592","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 2","Internal Rooms","2.10 Court 3"
"7e6d0ecb-302d-4bcc-9446-8818ec876290","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 2","Internal Rooms","2.11 Tournament Office"
"0499e97c-4a3b-49fb-b0d0-0b457f16162f","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 2","Internal Rooms","2.12 First Aid"
"e9565f1d-6948-4345-ac2b-c2e6479b7071","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 2","Internal Rooms","2.13 Male"
"8f13ebf1-c4be-41bb-b824-13d4b29356d8","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 2","Internal Rooms","2.14 Gn"
"1ef74529-767a-48e5-8f80-21afbf571368","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 2","Internal Rooms","2.15 GN"
"f50607df-4f6d-4fd0-a24a-d4b01c5db586","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 2","Internal Rooms","2.16 Female"
"15fddb5e-6e35-4c83-b35e-5290f760b7a6","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 2","Internal Rooms","2.17"
"8299c927-ccc2-49d5-b50a-225642ec2db3","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 2","Internal Rooms","2.18 DB"
"e5d1e0f2-c5fc-4f12-bd03-049459d73447","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 2","Internal Rooms","2.19 Comms"
"d468e483-ee59-4883-b73e-4260cf66b37e","","folder-normal","not-started","","step","TRUE","FALSE","Level 3"
"14b71faf-8fb9-4587-8ae7-0cc0482fd417","","folder-normal","not-started","","step","TRUE","FALSE","Level 3","Internal Rooms"
"cb2a57e1-b76a-4fc6-82d8-a3cc1af9d101","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 3","Internal Rooms","3.01 Lifgt Lobby"
"cfa18337-3896-4a18-a7a0-55446dfcb4b6","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 3","Internal Rooms","3.02 Circulation"
"5eb7285a-3551-4a85-9561-3de0cfa240ba","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 3","Internal Rooms","3.03 DDA Changeroom"
"a9a31c0d-c474-4668-b4fc-f9d182683efb","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 3","Internal Rooms","3.04 Comms / AV"
"bb320cde-15ce-408a-963d-3cfae0b0a427","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 3","Internal Rooms","3.05 Female"
"20b29513-7561-4174-a24b-103a919a257a","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 3","Internal Rooms","3.06 GN"
"4e9f99e0-9d59-45ce-b140-f126ae355ef5","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 3","Internal Rooms","3.07 GN"
"8620c13b-cb01-47ac-9bf8-cabf332cc2fd","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 3","Internal Rooms","3.08 Male"
"1a364dcf-b42e-44fc-b7e8-6f560e67be2e","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 3","Internal Rooms","3.09 Referee Changeroom"
"7a062522-1505-42ac-b530-15922a39d0e0","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 3","Internal Rooms","3.10 Store"
"76577227-bc1a-4b99-82b9-87f8aed658aa","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 3","Internal Rooms","3.11"
"41424833-35d3-4cf2-8151-ceb65f7d2fe2","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 3","Internal Rooms","3.12 DB"
"c428acdc-c462-4198-a06d-70cf371a99d9","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 3","Internal Rooms","3.13 Comms"
"6e3abf27-5a27-4c49-b175-a6c477e1390b","","folder-normal","not-started","","step","TRUE","FALSE","Level 4"
"b616ec66-12db-47db-ba6f-c4da818fbbcf","","folder-normal","not-started","","step","TRUE","FALSE","Level 4","Internal Rooms"
"907ab62d-94f8-4097-8247-fceaa5deb163","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 4","Internal Rooms","4.01 Lift Lobby"
"8e7d2d5c-578f-445b-b412-dd9d851c4b1a","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 4","Internal Rooms","4.02 Circulation"
"aa560e9e-d26b-4d7d-976d-3f7d421796f1","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 4","Internal Rooms","4.03 DDA Changeroom"
"5c6ee960-35ba-4f0c-a36a-cd700f1b6e64","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 4","Internal Rooms","4.04 Cleaners / Store"
"f4c7ed43-c02f-45ba-a06b-b0bce548627c","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 4","Internal Rooms","4.05 Change 01"
"408d7751-90ac-4cb8-b7be-512bb8e1faca","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 4","Internal Rooms","4.06 Change 02"
"2ed0b426-de7e-478d-a0f0-b275c5dba10f","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 4","Internal Rooms","4.07 Court 4"
"8d7b4937-e568-4ebc-a1be-e3101ffc0b5b","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 4","Internal Rooms","4.08 Casual Meeting"
"3f4ed238-51ad-43bd-9c1c-4b946c3a94c1","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 4","Internal Rooms","4.09 Store"
"b5e9a00b-38d8-465f-8626-d306ed1e4bf3","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 4","Internal Rooms","4.10 Court 5"
"22fe0b88-2ad1-4acb-842c-b7b1fd205298","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 4","Internal Rooms","4.11 Plant"
"c093ac57-d933-48cb-ac26-f31519b5f339","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 4","Internal Rooms","4.12 Male"
"515f110d-eb71-4b70-9e3e-064be1873c17","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 4","Internal Rooms","4.13 GN"
"dc8dc112-39b8-473d-8949-2bd32fc8dec7","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 4","Internal Rooms","4.14 GN"
"9b9e36a4-ec9f-4db3-8c8e-0a029223c6b6","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 4","Internal Rooms","4.15 Female"
"d1a74cfc-c3dc-4d37-b078-3db064f8c5e0","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 4","Internal Rooms","4.16"
"ea4a3f78-80d6-4be3-90bc-31ff49312c14","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 4","Internal Rooms","4.17 DB"
"2b11a315-f68e-47b5-ad32-8cd33015fc64","","checklist-flat","not-started","Lighting/Power checklist","checklist-flat","FALSE","FALSE","Level 4","Internal Rooms","4.18 Comms"
